"","GSK3","SUFU","Patched","DSH","SRC","LIV1","Frizzled","EGR1","cfos","ERK","RAS","RAF","PI3K","DELTA","SNAI2","MEK","RKIP","GLI","SNAI1","cateninmemb","CD44","Destcompl","cateninnuc","Wnt","Ecadherin","TCFLEF","NFB","HEY1","SOSGRB2","cMet","AKT","AXIN2","FUS","SMAD","ILK","Csn","STAT","SHH","IKK","SMO","TrCP","TWIST1","Jagged","NOTCHic","NOTCH","Csl","PAK1","CDC42","TGFR","TGF","FOXC2","ZEB2","ZEB1","miR200","KLF4"
"PI3K",0.111544011544012,0,0.00769230769230769,0.1,0.111111111111111,0.1,0.111111111111111,-0.0333333333333333,-0.0333333333333333,-0.0392156862745098,0.0344185494870426,0.0385281385281385,0.0385281385281385,-0.0385281385281385,0.0197588092779588,0.0342976534876246,0.0430187459599224,-0.108301746562616,0.0467713365539452,0.142318222252706,-0.108301746562616,-0.196292449771475,-0.106202614405822,-0.106763285024155,0.165175465730167,-0.104346944302729,0.0666666666666667,0.020246863754078,0.0226923076923077,-0.106763285024155,0.0648567119155354,-0.154857142857143,0,0.0214101640656262,0.0254101640656262,0.0333333333333333,-0.1,-0.00769230769230769,0.0725490196078431,0,0,0.0177703107852787,-0.0203508771929825,0.0423076923076923,0.0455334987593052,0.05,0.025,0.0544117647058824,0.0544117647058824,0.0487207077953133,0.0391800232288037,-0.216285765292046,-0.216285765292046,-0.222190894322042,-0.217543859649123
"ILK",0.111544011544012,0,0.00769230769230769,0.1,0.111111111111111,0.1,0.111111111111111,-0.0333333333333333,-0.0333333333333333,-0.0392156862745098,0.0344185494870426,0.0385281385281385,0.0385281385281385,-0.0385281385281385,0.0197588092779588,0.0342976534876246,0.0430187459599224,-0.108301746562616,0.0467713365539452,0.142318222252706,-0.108301746562616,-0.196292449771475,-0.106202614405822,-0.106763285024155,0.165175465730167,-0.104346944302729,0.0666666666666667,0.020246863754078,0.0226923076923077,-0.106763285024155,0.0648567119155354,-0.154857142857143,0,0.0214101640656262,0.0254101640656262,0.0333333333333333,-0.1,-0.00769230769230769,0.0725490196078431,0,0,0.0177703107852787,-0.0203508771929825,0.0423076923076923,0.0455334987593052,0.05,0.025,0.0544117647058824,0.0544117647058824,0.0487207077953133,0.0391800232288037,-0.216285765292046,-0.216285765292046,-0.222190894322042,-0.217543859649123
"TCFLEF",0.198876739089003,-0.1,-0.0805837173579109,-0.0490196078431373,-0.0391666666666667,-0.0666666666666667,-0.0340196078431373,0.0571428571428571,0.0498257839721254,0.0488734030197445,0.086933090457837,0.0889041811280078,0.0889041811280078,-0.0889041811280078,0.0325550863437682,-0.049553675128588,0.0349065527850485,0.0269537268642128,0.0494997796253026,0.173680307950882,0.0320226576358652,-0.273577478352545,-0.0688937226619584,0.0331649069884364,0.173872431165745,-0.0664882243801715,0.0988051948051948,0.00730142417610302,-0.0962155688622754,0.0383119658119658,0.100979107848673,0.384881562881563,0.0933333333333333,0.0057612868720849,0.00709971899445584,0.0948051948051948,0.0541666666666667,0.0787432265603649,0.0988051948051948,0.0838095238095238,0.0857142857142857,0.0329519365486347,0.0609844486515024,-0.0168181093575642,-0.0171503352711854,-0.0089749721026622,-0.0794871794871795,-0.0678592725104353,-0.0622517958749213,-0.058609411768961,0.0360871365698521,-0.211547625376573,-0.211547625376573,-0.217821676315652,-0.120220588235294
"Frizzled",0.133406478578892,0,0.00519480519480519,0.2,0.125,0.1,0.125,-0.0333333333333333,-0.0533333333333333,-0.0592156862745098,-0.00247011587666374,0.0030416951469583,0.0030416951469583,-0.0030416951469583,0.00794055259436528,0.0592156862745098,0.0545238095238095,-0.12687969924812,0.0726363008971705,0.139687920365886,-0.12687969924812,-0.220621466512055,-0.12605346146824,-0.119736842105263,0.153729977077735,-0.122243937658716,-0.0466666666666667,0.0277686852154937,-0.00909090909090908,-0.119736842105263,-0.0466666666666667,-0.174249471458774,0,0.0316228170390309,0.0344265553567879,-0.0666666666666667,-0.1,-0.00519480519480519,-0.0341666666666667,0.00909090909090909,-0.1,-0.0788795518207283,-0.0242661913250149,0.0559523809523809,0.0618347338935574,0.0642857142857143,-0.0666666666666667,-0.0333333333333333,-0.0289855072463768,-0.0318426501035197,-0.0438640429338104,-0.205398904309369,-0.205398904309369,-0.212228535353535,-0.210924369747899
"DSH",0.133638497140377,0,0.00519480519480519,0.125,0.119736842105263,0.1,0.119736842105263,-0.0533333333333333,-0.0592156862745098,-0.0592156862745098,0.00117134070596931,-0.00247011587666374,-0.00247011587666374,0.00247011587666374,0.010850913479115,0.0509450095827805,0.0524259074259074,-0.122304535849427,0.0729261559696342,0.143103703640327,-0.122243937658716,-0.221193985596025,-0.122936809642773,-0.12687969924812,0.150832698763424,-0.12605346146824,-0.0341666666666667,0.0242599132856692,-0.00909090909090908,-0.12687969924812,-0.0455172413793104,-0.173827530530504,0.00909090909090909,0.0312454585484649,0.0316228170390309,-0.0466666666666667,-0.125,-0.00948928372241256,-0.0466666666666667,-0.00519480519480519,-0.0666666666666667,-0.0767518922462602,-0.0227158037281156,0.0618347338935574,0.0569396289984525,0.0559523809523809,-0.0333333333333333,-0.0289855072463768,-0.0318426501035197,-0.0328879462707671,-0.0468943459641134,-0.204611502734566,-0.204611502734566,-0.211009023158413,-0.208011748388676
"RAS",0.0221447028423773,0.1,0.096,0.1,0.1,0,0.1,0.12,0.12,0.114736842105263,0.0591025641025641,0.157179487179487,0.157179487179487,-0.157179487179487,0.0398317124218245,-0.108854489164087,0.0177798742138365,-0.105147058823529,-0.0748770894788594,0.136569128408854,-0.107008760951189,-0.225440901022296,-0.106647026368491,-0.117647058823529,0.143809119607439,-0.113162607105035,0.0333333333333333,0.0134387351778656,0.0705627705627706,-0.117647058823529,0.0644444444444444,-0.136732542819499,-0.1,-0.0881880024737168,-0.0861471861471862,0,-0.1,-0.101084745762712,0.0533333333333333,-0.1,0,-0.0398472449536279,-0.126311847033314,-0.155263157894737,-0.164697120158888,-0.15,-0.14,-0.12,-0.0964705882352941,-0.0935002912055911,-0.102222222222222,-0.199326215022091,-0.199326215022091,-0.213753846153846,-0.200357142857143
"TWIST1",-0.0989612810847141,0.0333333333333333,0.0193729071537291,-0.0857142857142857,-0.102380952380952,-0.1,-0.102380952380952,0.18,0.184347826086957,0.17908466819222,0.0674366318231394,0.0612722482614956,0.0612722482614956,-0.0612722482614956,0.0117051032330724,-0.182567255256896,-0.0881297446514838,0.100402005012531,-0.129652709447963,0.0746065412368535,0.0996551555767142,0.0913798016688287,0.0975004610496629,0.0908020050125313,0.0962446470195912,0.0912324909519056,-0.0423076923076923,-0.122574036133358,0.0887539361223572,0.0896149949341439,-0.0419848513068852,0.130818536302407,-0.0222222222222222,-0.124763242089975,-0.125093275093275,-0.05,0.0857142857142857,-0.0238064046906749,-0.0470695970695971,-0.0262222222222222,0,0.058572699865606,-0.00511408071430619,-0.0256980056980057,-0.0351319679621566,-0.0385185185185185,0.0466666666666667,0.0432183908045977,0.0419683908045977,0.0412850195061922,0.0597079870617005,-0.19189891646032,-0.19189891646032,-0.205977360863641,-0.177329580988118
"TGFR",-0.113115548437727,0.113333333333333,0.123426724137931,-0.0142857142857143,0,0,-0.0142857142857143,0.080952380952381,0.0756892230576441,0.0823558897243108,0.0886800334168755,0.0880952380952381,0.0880952380952381,-0.0880952380952381,0.0216902607248198,-0.0823558897243108,-0.0112987012987013,0.0117537605425615,-0.0327399497793705,0.00797109910166052,-0.0032025819265144,-0.0183630906690428,-0.00311400796725842,0.0123989218328841,0.0123073309196719,-0.0032025819265144,-0.0369047619047619,-0.102707930367505,0.118827160493827,-0.00188679245283019,-0.0322535991140642,-0.00252212154930324,-0.13,-0.127008519357274,-0.128787878787879,-0.00833333333333333,0,-0.123991695889343,-0.0369047619047619,-0.126551724137931,-0.0333333333333333,-0.0276940819823382,-0.131241328893727,-0.233333333333333,-0.234052757793765,-0.233333333333333,0.0688888888888889,0.0593650793650794,-0.0442063492063492,-0.0420786896318811,-0.043235848544848,-0.184255097933264,-0.184255097933264,-0.197685397657589,-0.182205967818096
"TGF",-0.113360047215233,0.133333333333333,0.126551724137931,0,0,0,-0.0142857142857143,0.0666666666666667,0.080952380952381,0.0756892230576441,0.0880952380952381,0.0880952380952381,0.0880952380952381,-0.0880952380952381,0.0214587792433383,-0.0823558897243108,-0.0155844155844156,0.0123989218328841,-0.0342148760330579,0.00681636469057507,-0.00188679245283019,-0.0187663164754944,-0.0032025819265144,0.0142857142857143,0.0119666154171166,-0.0032025819265144,-0.00833333333333333,-0.102707930367505,0.125,0,-0.0369047619047619,-0.00123456790123457,-0.113333333333333,-0.128787878787879,-0.128787878787879,-0.0333333333333333,0,-0.123426724137931,-0.0369047619047619,-0.13,0,-0.0301851851851852,-0.130516691212568,-0.233333333333333,-0.233333333333333,-0.233333333333333,0.08,0.0688888888888889,0.0593650793650794,-0.0442063492063492,-0.0454192546583851,-0.182368305480434,-0.182368305480434,-0.193873080942046,-0.173277396389525
"KLF4",-0.101817500210101,0,-0.104166666666667,-0.0333333333333333,-0.0980392156862745,-0.1,-0.0980392156862745,0.08,0.107272727272727,0.0837433155080214,0.0457428355957768,0.0229487179487179,0.0229487179487179,-0.0229487179487179,-0.0269138731321298,-0.0971453773636915,-0.0889507318078747,0.0871330408667076,-0.0901528482609035,0.0656819061697111,0.0883324411665576,0.0929125589486127,0.0810928671610515,0.0492020063839489,0.168050905458285,0.0565598659157215,0.06,-0.00209320091673033,-0.12833047455689,0.0492020063839489,0.0562962962962963,0.189409988769371,0.1,0.0106666666666667,0.0106666666666667,0,0.0333333333333333,0.0837365591397849,0.0266666666666667,0.0666666666666667,0.1,0.00925925925925926,0.0751615101540139,0.0837320574162679,0.0476495831894638,0.0363636363636364,-0.0590909090909091,-0.0710909090909091,-0.0697575757575758,-0.0712209903917221,-0.00596726490555891,-0.174979360165119,-0.174979360165119,-0.192523402523403,-0.140740740740741
"HEY1",-0.101817500210101,0,-0.104166666666667,-0.0333333333333333,-0.0980392156862745,-0.1,-0.0980392156862745,0.08,0.107272727272727,0.0837433155080214,0.0457428355957768,0.0229487179487179,0.0229487179487179,-0.0229487179487179,-0.0269138731321298,-0.0971453773636915,-0.0889507318078747,0.0871330408667076,-0.0901528482609035,0.0656819061697111,0.0883324411665576,0.0929125589486127,0.0810928671610515,0.0492020063839489,0.168050905458285,0.0565598659157215,0.06,-0.00209320091673033,-0.12833047455689,0.0492020063839489,0.0562962962962963,0.189409988769371,0.1,0.0106666666666667,0.0106666666666667,0,0.0333333333333333,0.0837365591397849,0.0266666666666667,0.0666666666666667,0.1,0.00925925925925926,0.0751615101540139,0.0837320574162679,0.0476495831894638,0.0363636363636364,-0.0590909090909091,-0.0710909090909091,-0.0697575757575758,-0.0712209903917221,-0.00596726490555891,-0.174979360165119,-0.174979360165119,-0.192523402523403,-0.140740740740741
