"","ZEB2","miR200","NOTCH","NOTCHic","NFB","TrCP","Csl","Csn","IKK","cfos","ERK","EGR1","SNAI1","Destcompl","MEK","SOSGRB2","CDC42","PI3K","RAS","FOXC2","TGFR","RAF","DELTA","TGF","GSK3","PAK1","Frizzled","DSH","STAT","SRC","RKIP","TWIST1","cateninnuc","Wnt","cMet","TCFLEF","Ecadherin","GLI","CD44","AKT","SMO","Patched","ILK","SHH","SMAD","AXIN2","HEY1","cateninmemb","SUFU","LIV1","FUS","SNAI2","Jagged","KLF4","ZEB1"
"SHH",0.1,0.0333333333333333,0.0333333333333333,0,0,0,-0.1,0,-0.1,0.1,0,0,-0.05,-0.161298701298701,-0.06,0,0.1,0.15,-0.126923076923077,-0.075,0,-0.15,-0.15,-0.04,-0.161538461538462,-0.2,0,0,0.1,0.1,0.06,0.05,-2.77555756156289e-18,-0.1,0,-0.0166666666666667,0.00472222222222222,-0.15,-0.05,0.15,0.1,0.133333333333333,0.0666666666666667,0.0133333333333333,0.05,0.123809523809524,0.0666666666666667,0.0514695340501792,0,0,0,0.101685823754789,0.0657142857142857,-0.15,-0.1
"SRC",0.10159478885894,0.0406851119894598,-0.0854761904761905,-0.0961904761904762,0.0166666666666667,0.1,-0.12,0.05,0.00897435897435898,0.0909090909090909,0.0686868686868687,0.1,-0.0660675712631376,-0.0976911132345915,0.0705736611396989,-0.132857142857143,-0.136111111111111,0.0283020442219441,-0.0298171957370956,-0.0872642390289449,-0.107539682539683,-0.0283020442219441,-0.0283020442219441,0.0875396825396826,-0.083982683982684,0.111111111111111,0.05,0.1,0.2,0.05,0.163668947539915,0.00660224832638625,0.046424776845414,0.02,0.02,0.0502279088364654,0.150012803101038,0.0380327868852459,0.0380327868852459,-0.0145299145299145,0.0833333333333333,0.0648148148148148,0.0530701754385965,0.0501089324618736,0.048565670934092,0.0792022610395682,0.0724097980801059,0.154006511001347,0.0333333333333333,0.2,0.0833333333333333,0.0541219564085734,0.0334733003999059,-0.196705426356589,-0.10159478885894
"SNAI2",0.103106775749948,0.0842915045998039,0.0345978582820688,0.0307017543859649,0.108333333333333,0.1,0.0114035087719298,0.133333333333333,0.0841954022988506,0.115686274509804,0.0980392156862745,0.133333333333333,0.0753798966411038,0.103576587485077,0.100741918388977,0.0968897903989182,0.0635854341736695,-0.102684370018644,0.101771128009512,0.101762167230558,0.0729871435753789,0.102684370018644,0.102684370018644,-0.0854095038238261,0.104730640921192,-0.092156862745098,-0.0412987012987013,-0.0127272727272727,-0.0127272727272727,-0.0412987012987013,-0.0634230769230769,0.049174025662432,-0.0440455642425816,-0.0596085604536309,-0.0596085604536309,-0.0428033282177368,-0.182594919778557,-0.0515871700792993,-0.0520816787332008,-0.085400221575959,-0.0105882352941176,-0.0207923169267707,0.0405767940979209,-0.0334683732647989,0.0333997606050979,-0.102617739353794,0.0296865581675708,-0.159152084026046,-0.1,-0.04,-0.04,0.254151439505718,-0.0377419512429016,-0.0946153846153846,-0.103106775749948
"SMO",0.103531073446328,0.0421940928270042,0.00924242424242424,0.0242424242424242,-0.15,0,0.0333333333333333,-0.1,-0.135714285714286,-0.06,-0.0369230769230769,0,-0.0274193548387097,-0.168215815192559,-0.0278321678321678,0.0807017543859649,0.04,0.139423076923077,-0.148725402504472,-0.051551724137931,0.065,-0.139423076923077,-0.139423076923077,-0.0595945945945946,-0.176979977950852,0,-0.15,-0.1,0,-0.05,0.0179365079365079,0.0108932461873638,-0.0185123001678955,-0.1125,-0.0166666666666667,-0.00873786407766991,-0.00854041525852151,-0.0958333333333333,-2.77555756156289e-18,0.115714285714286,0.0133333333333333,-0.0116666666666667,0.03,-0.00611111111111111,0.0315873015873016,0.146693536348709,0.0351648351648352,0.0528719072972127,0.1,0.1,0.133333333333333,0.117114395183361,0.0803968253968254,-0.108333333333333,-0.103531073446328
"SUFU",0.104927001249297,0.0399636095556288,0.0178643578643579,0.0115151515151515,-0.115714285714286,-0.15,0.00924242424242424,-0.135714285714286,-0.115714285714286,-0.0278321678321678,-0.0312804436942368,-0.0369230769230769,-0.0339315209535887,-0.164194037678657,-0.0351102309282793,0.067764691448902,0.0595945945945946,0.146541996390935,-0.1421116166441,-0.0620029452428024,0.0489562967222542,-0.146541996390935,-0.146541996390935,-0.0499424900161398,-0.173715454389022,-0.065,-0.0958333333333333,-0.1125,-0.0166666666666667,-2.77555756156289e-18,0.0271517404212544,0.0225994047667345,-0.0119905610374607,-0.105448717948718,-0.00873786407766991,-0.0163383871244172,-0.00302202579983607,-0.115485892669908,-0.0185123001678955,0.121754554170662,-0.00611111111111111,0.000959595959595956,0.0373937532002048,0.00057349557349557,0.0371628063179877,0.139749233324577,0.0397396561880585,0.049591594509023,0.0133333333333333,-0.05,-0.0116666666666667,0.108764739752215,0.0715395435377978,-0.119524066620857,-0.104927001249297
"FUS",0.107825551973935,0.0421940928270042,0.0115151515151515,0.00924242424242424,-0.135714285714286,-0.1,0.0242424242424242,-0.15,-0.115714285714286,-0.0369230769230769,-0.0278321678321678,-0.06,-0.0330797321972002,-0.164566180156063,-0.0312804436942368,0.0768556005398111,0.065,0.148725402504472,-0.146541996390935,-0.0607622504537205,0.0595945945945946,-0.148725402504472,-0.148725402504472,-0.0489562967222542,-0.177314426111387,-0.04,-0.1125,-0.15,-0.05,-0.0166666666666667,0.0210292914416626,0.0145581676533324,-0.0163383871244172,-0.0958333333333333,-2.77555756156289e-18,-0.0185123001678955,-0.00497877142290508,-0.105448717948718,-0.00873786407766991,0.115714285714286,-0.0116666666666667,-0.00611111111111111,0.0315873015873016,0.000959595959595956,0.0373937532002048,0.146072418336286,0.0337155598025163,0.0467266559005646,0.133333333333333,0,0.0133333333333333,0.109753533423935,0.0755775482883917,-0.116530054644809,-0.107825551973935
"cMet",0.118037518037518,0.0914185331576636,-0.121676531754919,-0.119548872180451,-0.1,-0.1,-0.114285714285714,-0.1,-0.106666666666667,0.18,0.19,0.2,0.0775993656457528,0.132411047957266,0.195454545454545,-0.224285714285714,0.0466666666666667,-0.0171428571428571,0.0228032345013477,0.0483491561181435,0.0411111111111111,0.0171428571428571,0.0171428571428571,-0.0432387706855792,0.176516897081413,-0.0466666666666667,0.1,0.1,0.2,0.2,0.02,-0.101464378318311,0.0991336426023064,0.0933333333333333,0.0933333333333333,0.0940488968395945,0.0857139613190667,0.0842424242424242,0.0863565891472868,0.100416666666667,0.12,0.12,0.10907029478458,0.116875,0.107252112966399,0.115238095238095,0.114413484692122,0.122462620416357,0.1,0.1,0.1,0.229708928541045,0.120314178575048,-0.219047619047619,-0.118037518037518
"CD44",0.119047619047619,0.0914185331576636,-0.119548872180451,-0.114285714285714,-0.1,0,-0.1,-0.1,-0.1,0.2,0.18,0.2,0.0725146198830409,0.131059696605915,0.19,-0.230952380952381,0.0466666666666667,-0.0142857142857143,0.0171428571428571,0.0470833333333333,0.0466666666666667,0.0142857142857143,0.0142857142857143,-0.0411111111111111,0.168452380952381,-0.0666666666666667,0.1,0,0.1,0.2,0.0237037037037037,-0.104835164835165,0.0940488968395945,0.1,0.2,0.0863565891472868,0.0849506025404408,0.0933333333333333,0.0933333333333333,0.106666666666667,0.1,0.12,0.111111111111111,0.12,0.10907029478458,0.12,0.116374269005848,0.117124542124542,0.1,0.1,0.1,0.227519147519148,0.124662004662005,-0.219047619047619,-0.119047619047619
"cateninmemb",0.148550198328271,0.102221767473164,-0.00867617981100726,-0.00161298278498496,0.137142857142857,0.2,-0.0191387559808612,0.18,0.126031746031746,0.115614973262032,0.110460334086774,0.150909090909091,0.124692041659523,0.152099899629981,0.121048569380892,0.132887966055791,0.0772121212121212,-0.154411764705882,0.14714919487348,0.124134789330481,0.102090169992609,0.154411764705882,0.154411764705882,-0.109142611222265,0.151897009847011,-0.0785454545454545,-0.0782489740082079,-0.0294117647058824,-0.0294117647058824,-0.0782489740082079,-0.115276938150132,0.0692697995399277,-0.0612250527667903,-0.0765248360771734,-0.0773794087908166,-0.0540355102831302,0.00417560503935764,-0.0565248360771734,-0.0576469673192447,-0.14031746031746,-0.0333333333333333,-0.0580645161290323,0.0481739130434783,-0.0651511303022606,0.045026213285609,-0.137205153708477,0.0390849103521824,-0.0685478571141949,-0.1,0,-0.0333333333333333,-0.122836263091323,-0.0323112606376238,-0.115799343647445,-0.148550198328271
"STAT",0.174645866953559,0.0865120488001001,-0.0201995256249968,-0.00757816640169581,-0.05,0,-0.0156862745098039,-0.05,-0.0452380952380952,-0.02,-0.0141176470588235,0,0.0626749780066681,-0.10479538340592,-0.00228969006957622,-0.0901477832512315,-0.0522727272727273,0.0767834987593052,-0.0842461853264694,-0.0306134969325153,-0.0338516746411483,-0.0767834987593052,-0.0767834987593052,0.0391656843029841,-0.0732999554962172,0.0772727272727273,0.0321428571428571,0.0571428571428571,0.0571428571428571,0.0321428571428571,-0.0368468468468469,-0.167214985580803,0.0562492015879329,0.0548701298701299,0.0548701298701299,0.0623278666654061,0.174810296982825,0.0674751718869366,0.0676906426906427,0.0299838579499596,0.03,0.0137209302325581,0.0178743961352657,0.0199156204980449,0.0213226719973347,0.106131123778183,0.0226666666666667,0.170200391343475,0.05,0.2,0.05,-0.0247587000359305,0.0299005114225469,-0.267498514557338,-0.174645866953559
"TrCP",0.180726624582654,0.0900917419729005,-0.0361538461538462,-0.0284615384615385,-0.0458333333333333,-0.0333333333333333,-0.0269230769230769,-0.0333333333333333,-0.0353070175438596,-0.0130434782608696,-0.00456890198968312,0,0.0616610450162307,-0.0929741712510876,0.00343109801031688,-0.00101760176017602,-0.0299719887955182,0.00111987884584728,-0.00384715157312001,-0.0206823048815826,-0.0208810797046091,-0.00111987884584728,-0.00111987884584728,0.0268920086663577,0.00815313852813853,0.0476190476190476,0.0562962962962963,0.06,0.06,0.0562962962962963,-0.0392941312830816,-0.10509043854696,0.0685738425349214,0.0694541910331384,0.0698098098098098,0.071056601155611,0.110973584781831,0.0738444349355774,0.0747603048593148,0.0278996101364522,0.0314900153609831,0.0277863116572794,0.0232548216419184,0.0317863116572794,0.0251903055128862,0.100680050810174,0.0275149190110827,0.125466194177002,0.0476190476190476,0.1,0.0476190476190476,-0.10322519822104,0.0323150988411725,-0.177160551652355,-0.180726624582654
"PAK1",0.180726624582654,0.0900917419729005,-0.0361538461538462,-0.0284615384615385,-0.0458333333333333,-0.0333333333333333,-0.0269230769230769,-0.0333333333333333,-0.0353070175438596,-0.0130434782608696,-0.00456890198968312,0,0.0616610450162307,-0.0929741712510876,0.00343109801031688,-0.00101760176017602,-0.0299719887955182,0.00111987884584728,-0.00384715157312001,-0.0206823048815826,-0.0208810797046091,-0.00111987884584728,-0.00111987884584728,0.0268920086663577,0.00815313852813853,0.0476190476190476,0.0562962962962963,0.06,0.06,0.0562962962962963,-0.0392941312830816,-0.10509043854696,0.0685738425349214,0.0694541910331384,0.0698098098098098,0.071056601155611,0.110973584781831,0.0738444349355774,0.0747603048593148,0.0278996101364522,0.0314900153609831,0.0277863116572794,0.0232548216419184,0.0317863116572794,0.0251903055128862,0.100680050810174,0.0275149190110827,0.125466194177002,0.0476190476190476,0.1,0.0476190476190476,-0.10322519822104,0.0323150988411725,-0.177160551652355,-0.180726624582654
"LIV1",0.180726624582654,0.0900917419729005,-0.0361538461538462,-0.0284615384615385,-0.0458333333333333,-0.0333333333333333,-0.0269230769230769,-0.0333333333333333,-0.0353070175438596,-0.0130434782608696,-0.00456890198968312,0,0.0616610450162307,-0.0929741712510876,0.00343109801031688,-0.00101760176017602,-0.0299719887955182,0.00111987884584728,-0.00384715157312001,-0.0206823048815826,-0.0208810797046091,-0.00111987884584728,-0.00111987884584728,0.0268920086663577,0.00815313852813853,0.0476190476190476,0.0562962962962963,0.06,0.06,0.0562962962962963,-0.0392941312830816,-0.10509043854696,0.0685738425349214,0.0694541910331384,0.0698098098098098,0.071056601155611,0.110973584781831,0.0738444349355774,0.0747603048593148,0.0278996101364522,0.0314900153609831,0.0277863116572794,0.0232548216419184,0.0317863116572794,0.0251903055128862,0.100680050810174,0.0275149190110827,0.125466194177002,0.0476190476190476,0.1,0.0476190476190476,-0.10322519822104,0.0323150988411725,-0.177160551652355,-0.180726624582654
"NOTCH",0.180837359098229,0.088051948051948,-0.0246082949308756,0.0657142857142857,-0.0333333333333333,0,0.08,0,-0.0222222222222222,0.02,0.02,0,0.062948717948718,-0.00571385270450691,0.0128571428571429,0.00421052631578948,-0.0111111111111111,-0.0133333333333333,0.0176811594202899,-0.0163265306122449,-0.0151111111111111,0.0133333333333333,0.0133333333333333,0.0151111111111111,0.0279432253570185,0,0.02,0,0,0.02,-0.0306808134394341,-0.0909152542372881,0.0102193045050188,0.0123076923076923,0.0123076923076923,0.00817848817848818,0.0355432937181664,0.00927738927738928,0.00927738927738928,0.0333333333333333,0.0333333333333333,0.041025641025641,0.0285714285714286,0.0351432880844646,0.0285714285714286,0.0123989218328841,-0.0710144927536232,0.0243419967688089,0,0,0.0333333333333333,-0.125692499221911,0.0206253006253006,-0.184541062801932,-0.180837359098229
"SNAI1",0.180849625812666,0.089419311617473,-0.0361538461538462,-0.0361538461538462,-0.0353070175438596,-0.0333333333333333,-0.0284615384615385,-0.0458333333333333,-0.0278996101364522,-0.00456890198968312,0.00343109801031688,-0.0130434782608696,-0.0406521222435558,-0.0917132063388069,0.00118894554394916,-0.00214967723187413,-0.0208810797046091,0.00384715157312001,-0.00269772628576369,-0.0238589249578215,-0.0268920086663577,-0.00384715157312001,-0.00384715157312001,0.0303194280211964,0.00848317153143886,0.0299719887955182,0.0694541910331384,0.0562962962962963,0.0562962962962963,0.0698098098098098,-0.0367836710320355,-0.102526335982858,0.0697612457357474,0.0738444349355774,0.0747603048593148,0.0685738425349214,0.11211822578079,0.0700053124492886,0.071056601155611,0.0299829434697856,0.0277863116572794,0.0317863116572794,0.0251903055128862,0.0346989330165027,0.0272813264230953,0.100213850343974,0.0275149190110827,0.124119043917934,0.0476190476190476,0.06,0.0314900153609831,-0.105538305830829,0.0306680400176431,-0.181210395889115,-0.180849625812666
"NOTCHic",0.181578099838969,0.0897860520981908,-0.0219767159835072,-0.0246082949308756,-0.0222222222222222,0,0.0657142857142857,-0.0333333333333333,-0.0333333333333333,0.02,0.0128571428571429,0.02,0.0645360195360195,-0.00571385270450691,0.0128571428571429,0.00421052631578948,-0.0151111111111111,-0.0176811594202899,0.0181737702577283,-0.0114878209348255,-0.0151111111111111,0.0176811594202899,0.0176811594202899,0.0106525123849965,0.0304225641999937,0.0111111111111111,0.0123076923076923,0.02,0.02,0.0123076923076923,-0.0349061655521102,-0.0928020466901183,0.0112880067950951,0.00927738927738928,0.00927738927738928,0.0102193045050188,0.0356964330749811,0.00820212046018498,0.00817848817848818,0.0310077519379845,0.041025641025641,0.0351432880844646,0.0285714285714286,0.0340680192672603,0.0278520041109969,0.0110100329439952,-0.0694760312151617,0.025761875064955,0.0333333333333333,0,0.0333333333333333,-0.124289693610689,0.0199630489696715,-0.180969634230504,-0.181578099838969
"Csl",0.183235558402505,0.0904396468694326,-0.0228858068925981,-0.0219767159835072,-0.0333333333333333,-0.0333333333333333,-0.0246082949308756,-0.0222222222222222,-0.0310077519379845,0.0128571428571429,0.0128571428571429,0.02,0.0657217902870077,-0.00589666806099685,0.0161180124223603,0.00664955070603338,-0.0151111111111111,-0.0181737702577283,0.0181737702577283,-0.0114878209348255,-0.0106525123849965,0.0181737702577283,0.0181737702577283,0.010425755015382,0.0302752887949863,0.0151111111111111,0.00927738927738928,0.0123076923076923,0.0123076923076923,0.00927738927738928,-0.037210313017548,-0.0943821821302989,0.0110021291507269,0.00820212046018498,0.00817848817848818,0.0112880067950951,0.0354638749354462,0.00981502368599143,0.0102193045050188,0.0286821705426357,0.0351432880844646,0.0340680192672603,0.0278520041109969,0.033205950301743,0.0272964485554414,0.0117812411702163,-0.0688224364439198,0.026373495860062,0.0333333333333333,0.02,0.041025641025641,-0.123618552671091,0.0210047156363381,-0.182398205659075,-0.183235558402505
"TGF",0.215140882509304,0.122853535353535,0.153563218390805,0.146666666666667,-0.0583333333333333,0,0.166666666666667,-0.0333333333333333,-0.044047619047619,0.019047619047619,0.0348370927318296,0.0333333333333333,0.180286077558805,0.00342288330858643,0.0326148705096073,-0.144736842105263,-0.108888888888889,0.0958333333333333,-0.0886904761904762,-0.0160714285714286,-0.123174603174603,-0.0958333333333333,-0.0958333333333333,0.0213888888888889,0.108862175006989,0.12,0.0428571428571429,0,0,0.0333333333333333,-0.0813852813852814,-0.184444444444444,0.0191625289639192,0.0328571428571428,0.0233333333333333,0.0138993710691824,0.0446966574339233,0.0234231805929919,0.0138993710691824,0.0493107769423559,-0.0466666666666667,-0.0363218390804598,-0.0512121212121212,-0.0425718390804598,-0.0512121212121212,0.0188271604938272,-0.0778852353320439,0.0332392241558679,-0.0666666666666667,0,-0.0466666666666667,-0.0161512853944956,-0.051859351988218,-0.216959064327485,-0.215140882509304
"Destcompl",0.228704462358486,0.141664554213924,-0.15304019711966,-0.152839796318057,0.108695652173913,0.1,-0.148491970231101,0.1,0.111398354876616,0.160839160839161,0.164664297451183,0.148717948717949,0.220414699189868,0.222412854115302,0.165508179307723,-0.10862829453695,0.0125756509500352,-0.126332060318268,0.128372876644799,0.03685882873612,0.00783880884477203,0.126332060318268,0.126332060318268,-0.00655802066743213,0.314927412632878,-0.013265306122449,0.215503370297891,0.203174603174603,0.203174603174603,0.215503370297891,-0.18989763846851,-0.215739296687373,0.218610992894081,0.217483568317693,0.217990932486946,0.216673206050634,-0.0293391476553552,0.215442751991162,0.216125260845155,-0.110056072997421,0.143853311439518,0.148516523874751,0.0174603174603175,0.15064418344922,0.0182790309106099,0.270745662994021,0.0292355507740123,0.195604708463942,0.144444444444444,0.188888888888889,0.140996168582375,0.201711673624794,0.215625395814343,-0.234894998664203,-0.228704462358486
"Frizzled",0.243638696724766,0.127427398989899,-0.183053221288515,-0.192857142857143,0.113333333333333,0.1,-0.192857142857143,0.133333333333333,0.100833333333333,0.153333333333333,0.135686274509804,0.133333333333333,0.202398205659075,0.27106738294077,0.135686274509804,-0.0727272727272727,0.02,-0.194087491455913,0.199599302479535,0.0485152057245081,0.02,0.194087491455913,0.194087491455913,-0.0304761904761905,0.355992685475444,-0.0666666666666667,0.2,0.3,0.2,0.2,-0.131190476190476,-0.22140056022409,0.192323441052964,0.173684210526316,0.173684210526316,0.18851391724344,0.105598263525093,0.177255639097744,0.177255639097744,-0.0945833333333333,0.0772727272727273,0.082034632034632,0.0498111707414033,0.0723572126797933,0.0451382735451416,0.220606060606061,0.0631533006001091,0.141496502555825,0,0.1,0.05,0.0560173501577287,0.0877257872846108,-0.251260504201681,-0.243638696724766
"PI3K",0.244078501063018,0.131100213477263,-0.190322580645161,-0.2,0.0333333333333333,0,-0.2,0.0333333333333333,0.0274509803921569,0.161904761904762,0.144257703081232,0.133333333333333,0.198059581320451,0.285432629454154,0.145897047343528,-0.0684615384615385,0.0338235294117647,-0.22195670995671,0.227436162011505,0.0588199767711963,0.0338235294117647,0.22195670995671,0.22195670995671,-0.0411406025824964,0.362626262626263,-0.075,0.211111111111111,0.2,0.2,0.211111111111111,-0.144198448610213,-0.217063209222867,0.205257230030038,0.189371980676328,0.189371980676328,0.200514961988801,0.128437437495639,0.19091044221479,0.19091044221479,-0.0197586726998492,0.0666666666666667,0.0743589743589744,0.0371748699479792,0.066025641025641,0.0347748699479792,0.230476190476191,0.0501933878182491,0.155715497872747,0,0.1,0.05,-0.00947621506126152,0.0885964912280702,-0.24890350877193,-0.244078501063018
"ILK",0.244078501063018,0.131100213477263,-0.190322580645161,-0.2,0.0333333333333333,0,-0.2,0.0333333333333333,0.0274509803921569,0.161904761904762,0.144257703081232,0.133333333333333,0.198059581320451,0.285432629454154,0.145897047343528,-0.0684615384615385,0.0338235294117647,-0.22195670995671,0.227436162011505,0.0588199767711963,0.0338235294117647,0.22195670995671,0.22195670995671,-0.0411406025824964,0.362626262626263,-0.075,0.211111111111111,0.2,0.2,0.211111111111111,-0.144198448610213,-0.217063209222867,0.205257230030038,0.189371980676328,0.189371980676328,0.200514961988801,0.128437437495639,0.19091044221479,0.19091044221479,-0.0197586726998492,0.0666666666666667,0.0743589743589744,0.0371748699479792,0.066025641025641,0.0347748699479792,0.230476190476191,0.0501933878182491,0.155715497872747,0,0.1,0.05,-0.00947621506126152,0.0885964912280702,-0.24890350877193,-0.244078501063018
"Wnt",0.248589191774271,0.128989898989899,-0.192857142857143,-0.192857142857143,0.133333333333333,0.1,-0.15,0.1,0.113333333333333,0.133333333333333,0.153333333333333,0.1,0.189699792960663,0.26974112299382,0.135686274509804,-0.0454545454545455,0.0666666666666667,-0.180451127819549,0.194087491455913,0.0415384615384615,0.02,0.180451127819549,0.180451127819549,-0.02,0.345689655172414,-0.1,0.3,0.2,0.1,0.2,-0.138333333333333,-0.222352941176471,0.18851391724344,0.2,0.2,0.177255639097744,0.107229965156794,0.173684210526316,0.173684210526316,-0.100833333333333,0.05,0.0772727272727273,0.0521367521367521,0.082034632034632,0.0498111707414033,0.220606060606061,0.061025641025641,0.134194915254237,0,0,0,0.0475,0.0867156862745098,-0.26078431372549,-0.248589191774271
"AKT",0.248873021610964,0.135378288343573,-0.193981117230527,-0.190322580645161,0.0274509803921569,0.0333333333333333,-0.2,0.0333333333333333,0.0197586726998492,0.144257703081232,0.145897047343528,0.161904761904762,0.203322739215188,0.286011620355725,0.153491984052388,-0.0595726495726496,0.0338235294117647,-0.227436162011505,0.225749415023553,0.0655868940644294,0.0411406025824964,0.227436162011505,0.227436162011505,-0.0462765542441278,0.364642391658521,-0.0338235294117647,0.189371980676328,0.211111111111111,0.211111111111111,0.189371980676328,-0.155999690846238,-0.227154952342133,0.203872614645423,0.19091044221479,0.19091044221479,0.205257230030038,0.126164710222912,0.200407648918701,0.200514961988801,-0.126829379770556,0.0743589743589744,0.066025641025641,0.0347748699479792,0.0649730094466937,0.0337647689378782,0.236613374591714,0.0509452675174972,0.157856170655622,0.05,0.2,0.0666666666666667,-0.00475259697080926,0.0932322528174741,-0.248048807917229,-0.248873021610964
"DSH",0.249150507748388,0.132305447770387,-0.18794832618362,-0.183053221288515,0.100833333333333,0.133333333333333,-0.192857142857143,0.113333333333333,0.0945833333333333,0.135686274509804,0.135686274509804,0.153333333333333,0.207905452035887,0.271639902024739,0.143956951201533,-0.0629711751662971,0.02,-0.199599302479535,0.197078294076173,0.0558745130838154,0.0304761904761905,0.199599302479535,0.199599302479535,-0.0357026713124274,0.357152778282869,-0.02,0.173684210526316,0.2,0.2,0.173684210526316,-0.144477189477189,-0.233457297812742,0.19009726117763,0.177255639097744,0.177255639097744,0.192323441052964,0.103227763086111,0.188366750208855,0.18851391724344,-0.102629310344828,0.082034632034632,0.0723572126797933,0.0451382735451416,0.0705167218822473,0.0440061980734435,0.227779056386651,0.0613989146351968,0.142556573227203,0.05,0.2,0.0772727272727273,0.0607903420087182,0.0923769500753085,-0.248347882842457,-0.249150507748388
"GSK3",0.254351102102028,0.134532880361243,-0.192883391118685,-0.18794832618362,0.0945833333333333,0.113333333333333,-0.183053221288515,0.100833333333333,0.102629310344828,0.135686274509804,0.143956951201533,0.135686274509804,0.20779471006468,0.273506756550981,0.14907058756517,-0.0587851286546692,0.0304761904761905,-0.197078294076173,0.196237957941719,0.0534821685862078,0.0357026713124274,0.197078294076173,0.197078294076173,-0.0316001072098633,0.257152778282869,-0.02,0.177255639097744,0.173684210526316,0.173684210526316,0.177255639097744,-0.149239094239094,-0.238194813817864,0.189176208546051,0.188366750208855,0.18851391724344,0.19009726117763,0.103260690316931,0.191668637001308,0.192323441052964,-0.107757515473033,0.0723572126797933,0.0705167218822473,0.0440061980734435,0.073866004178898,0.0456553734857374,0.23280188743688,0.0603608523514598,0.14025772265249,0.0772727272727273,0.2,0.082034632034632,0.0600138105160521,0.0942747602942866,-0.253691394292839,-0.254351102102028
"AXIN2",0.274496309522992,0.182629533907931,-0.207997358260516,-0.201240601503759,0.148792270531401,0.133333333333333,-0.190526315789474,0.144444444444444,0.156038647342995,0.197073170731707,0.211091862320492,0.18,0.274675638655076,0.392080943276236,0.218678069217044,-0.115468004023404,0.0329320987654321,-0.181749130494805,0.182536532069608,0.072722546774069,0.0320471430132197,0.181749130494805,0.181749130494805,-0.0287468129802164,0.381703749339905,-0.0341666666666667,0.251627906976744,0.24,0.24,0.251627906976744,-0.242542045767852,-0.268609728988363,0.271480639215378,0.263696872493986,0.263696872493986,0.270745662994021,-0.0426798080525241,0.269357249852476,0.269690563345721,-0.16048309178744,0.177838827838828,0.181410256410256,0.0160110420979986,0.185672551492224,0.0172015182884748,0.628759529534282,0.0283136367314866,0.227191881008511,0.15,0.233333333333333,0.173076923076923,0.244233506433365,0.253246676942329,-0.275721772812378,-0.274496309522992
