"","KLF4","SHH","TGFR","SMO","NOTCHic","FUS","SNAI2","cateninnuc","NFB","cateninmemb","Destcompl","Ecadherin","SUFU","CD44","Csn","cMet","TrCP","SRC","STAT","DSH","cfos","LIV1","RAF","PI3K","DELTA","RAS","SOSGRB2","EGR1","ERK","MEK","Frizzled","Wnt","GLI","AXIN2","TCFLEF","Csl","PAK1","IKK","GSK3","TWIST1","AKT","NOTCH","CDC42","RKIP","Patched","SNAI1","Jagged","TGF","FOXC2","ILK","HEY1","SMAD","ZEB2","ZEB1","miR200"
"SHH",-0.3,-0.293333333333333,-0.4,-0.1,-0.2,0,-0.40727969348659,-0.257777777777778,0,-0.169462365591398,-0.312987012987013,-0.0363888888888889,0,-0.2,0,-0.2,0,-0.1,-0.1,-0.2,-0.1,0,0.05,0.05,0.05,0.0423076923076923,0.15,0,0,0.06,0.2,0.3,0.3,0.342857142857143,0.246666666666667,0.1,0.2,0.1,0.271794871794872,0.225,0.1,0.233333333333333,0.3,0.26,0.133333333333333,0.3,0.174285714285714,0.48,0.375,0.0666666666666667,0.0666666666666667,0.116666666666667,0.375,0.375,0.383333333333333
"RKIP",-0.322812051649928,-0.342491803278689,-0.266666666666667,-0.22,-0.0686868686868687,-0.2,0.149123972722504,-0.332265043112773,-0.0714285714285714,-0.314883286647992,-0.519010252184497,-0.268249313750765,-0.1,-0.258434547908232,0,-0.212280701754386,0,-0.133333333333333,-0.1,-0.1,-0.36,0,-0.24025974025974,-0.24025974025974,-0.24025974025974,-0.24966144966145,-0.146412698412698,0.36,0.432413793103448,0.447307410124725,0.133333333333333,0.203333333333333,0.249487179487179,0.274800750117206,0.296896086369771,0.0777777777777778,0.133333333333333,0.0464285714285714,0.510795902285264,0.265261437908497,0.0858225108225108,0.122533022533023,0.233333333333333,0.51078431372549,0.272,0.330570198199182,0.339696014229121,0.325545171339564,0.322988505747126,0.328626444159178,0.324699961285327,0.351398721386901,0.380812051649928,0.380812051649928,0.389107092994763
"HEY1",-0.3,-0.429233870967742,-0.430666666666667,-0.35,-0.33177033492823,-0.3,-0.564588911431739,-0.489141057959055,-0.12,-0.456129309940286,-0.417570650410019,-0.202543368935773,-0.2,-0.466928368920875,-0.1,-0.445189238486092,-0.1,-0.419607843137255,-0.366666666666667,-0.366666666666667,0.0309090909090909,-0.3,0.115897435897436,0.115897435897436,0.115897435897436,0.115897435897436,-0.00650371640937679,-0.04,-0.0132620320855615,0.000140029770108607,0.419607843137255,0.445189238486092,0.465878893658506,0.515981224590947,0.479302950860674,0.305454545454545,0.3,0.124761904761905,0.399262928673022,0.501525054466231,0.135873015873016,0.349296108124106,0.376,0.346289424860853,0.39375,0.393633014587819,0.470563809004589,0.463349593495935,0.468687683448724,0.110666666666667,0.129488158899924,0.145449275362319,0.402941176470588,0.402941176470588,0.410553520553521
"FOXC2",-0.3,-0.429233870967742,-0.430666666666667,-0.35,-0.33177033492823,-0.3,-0.564588911431739,-0.489141057959055,-0.12,-0.456129309940286,-0.417570650410019,-0.202543368935773,-0.2,-0.466928368920875,-0.1,-0.445189238486092,-0.1,-0.419607843137255,-0.366666666666667,-0.366666666666667,0.0309090909090909,-0.3,0.115897435897436,0.115897435897436,0.115897435897436,0.115897435897436,-0.00650371640937679,-0.04,-0.0132620320855615,0.000140029770108607,0.419607843137255,0.445189238486092,0.465878893658506,0.515981224590947,0.479302950860674,0.305454545454545,0.3,0.124761904761905,0.399262928673022,0.501525054466231,0.135873015873016,0.349296108124106,0.376,0.346289424860853,0.39375,0.393633014587819,0.470563809004589,0.463349593495935,0.468687683448724,0.110666666666667,0.129488158899924,0.145449275362319,0.402941176470588,0.402941176470588,0.410553520553521
"SNAI2",-0.314423076923077,-0.456571360938742,-0.451526251526252,-0.364705882352941,-0.369736842105263,-0.3,-0.225095158452742,-0.547942868952861,-0.158333333333333,-0.519683478978116,-0.464604094735964,-0.384865082525041,-0.2,-0.515981224590947,-0.133333333333333,-0.486948966526431,-0.1,-0.446103896103896,-0.381818181818182,-0.381818181818182,0.0490196078431373,-0.3,0.167111785149011,0.167111785149011,0.167111785149011,0.167568406153577,-0.0484448951994591,-0.0666666666666667,-0.0313725490196078,-0.016507684154743,0.446103896103896,0.486948966526431,0.515291212515736,0.556994846926187,0.534744111188886,0.332894736842105,0.3,0.16867816091954,0.441542246623082,0.54183325907011,0.179521534413516,0.394412166780588,0.385714285714286,0.374025641025641,0.415726290516206,0.426869811735325,0.512067865856913,0.496246748420661,0.499205642092738,0.107511737089202,0.128827606992164,0.14435384235236,0.422709251101322,0.422709251101322,0.429416507444346
"MEK",-0.377714012434242,-0.373210757527055,-0.325545171339564,-0.272,-0.122533022533023,-0.22,0.11335754936484,-0.355870991068163,-0.0464285714285714,-0.335371091526041,-0.548298955113368,-0.278631827411967,-0.2,-0.296896086369771,-0.0714285714285714,-0.258434547908232,0,-0.212280701754386,-0.133333333333333,-0.133333333333333,-0.432413793103448,-0.1,-0.24966144966145,-0.24966144966145,-0.24966144966145,-0.245534465534466,-0.170857142857143,0.36,0.447307410124725,0.363974076791392,0.203333333333333,0.249487179487179,0.287948717948718,0.31894489426135,0.332265043112773,0.0686868686868687,0.233333333333333,0.0858225108225108,0.549862241351603,0.310316382963442,0.117587216704864,0.159759299905285,0.266666666666667,0.572626418988648,0.342491803278689,0.360057377686362,0.371663227343875,0.381019623894308,0.380646163404784,0.351398721386901,0.351972688558054,0.39678617526144,0.437161257999135,0.437161257999135,0.447621024883308
"ERK",-0.431977578325715,-0.41620592660918,-0.381019623894308,-0.342491803278689,-0.159759299905285,-0.272,0.0834206692927027,-0.375176546623719,-0.0858225108225108,-0.352298414433125,-0.570658970145311,-0.287591662633388,-0.22,-0.332265043112773,-0.0464285714285714,-0.296896086369771,-0.0714285714285714,-0.258434547908232,-0.212280701754386,-0.203333333333333,-0.447307410124725,-0.133333333333333,-0.245534465534466,-0.245534465534466,-0.245534465534466,-0.248504762564169,-0.155323162274619,0.432413793103448,0.363974076791392,0.399350121359637,0.249487179487179,0.287948717948718,0.321282051282051,0.357481479627204,0.355870991068163,0.122533022533023,0.266666666666667,0.117587216704864,0.577745983404282,0.342910002935703,0.123091803860827,0.178318856691989,0.325545171339564,0.600203020659957,0.373210757527055,0.401261081390066,0.411121058669177,0.41810753598222,0.417398300156921,0.39678617526144,0.393269616885699,0.431436631188492,0.481413226503072,0.481413226503072,0.493699456255857
"SMO",-0.422222222222222,-0.369722222222222,-0.513333333333333,-0.293333333333333,-0.260606060606061,-0.133333333333333,-0.463660645867542,-0.289444322781063,-0.1,-0.197779517694958,-0.341873630245723,-0.0492646098791085,-0.1,-0.257777777777778,-0.1,-0.246666666666667,0,-0.2,-0.2,-0.3,-0.06,-0.1,0.0548076923076923,0.0548076923076923,0.0548076923076923,0.0571332737030412,0.209649122807018,0,0.0523076923076923,0.0613986013986014,0.3,0.3375,0.348611111111111,0.412449619346171,0.278166127292341,0.233333333333333,0.4,0.142857142857143,0.306468935595149,0.293736383442266,0.162857142857143,0.290606060606061,0.48,0.327460317460317,0.330833333333333,0.361674347158218,0.243862433862434,0.553873873873874,0.456379310344828,0.156666666666667,0.163369963369963,0.199523809523809,0.490819209039548,0.490819209039548,0.502049427365883
"FUS",-0.466484517304189,-0.401035353535354,-0.553873873873874,-0.330833333333333,-0.290606060606061,-0.293333333333333,-0.48143443401835,-0.300585627128889,-0.142857142857143,-0.208394042834623,-0.351946622946453,-0.054744061933903,-0.133333333333333,-0.278166127292341,-0.1,-0.257777777777778,-0.1,-0.246666666666667,-0.2,-0.3,-0.0523076923076923,-0.2,0.0571332737030412,0.0571332737030412,0.0571332737030412,0.0593166798165783,0.213495276653171,0.06,0.0613986013986014,0.067145727835383,0.3375,0.348611111111111,0.36784188034188,0.434188749780954,0.289444322781063,0.260606060606061,0.48,0.162857142857143,0.317505724892808,0.316249472447501,0.185934065934066,0.308787878787879,0.513333333333333,0.3491098019964,0.369722222222222,0.387146045271426,0.272778096513036,0.575150469618555,0.480063520871143,0.199523809523809,0.20539894887721,0.231136712749616,0.530696509653045,0.530696509653045,0.541653387761923
"GLI",-0.518886314886315,-0.330202656111177,-0.412817176317502,-0.278602756892231,-0.163213969938108,-0.247023809523809,-0.214732510940765,-0.057680704723927,-0.175730994152047,-0.077301386867209,0.0307755300615547,-0.114701588109661,-0.20952380952381,-0.0317732439838303,-0.138888888888889,-0.0145318646734854,-0.0833333333333333,0.00741935483870968,0.03,-0.04,0.114047619047619,0.05,0.181879598717757,0.181879598717757,0.181879598717757,0.18524593535142,0.371860705666015,-0.105714285714286,-0.10495670995671,-0.104404223768865,0.0625806451612903,0.0825806451612903,-0.00082361015785862,0.00250301932367149,0.0463836335942199,0.138213969938108,0.366666666666667,0.202261606396945,-0.0368276613770485,0.222621922503077,0.224136606396945,0.18511873184287,0.390804597701149,0.236448496885438,0.30921500179019,0.278794994755873,0.201971363486549,0.435170117493972,0.351102726178191,0.270349510052892,0.271581691276089,0.289808969512351,0.548081754565625,0.548081754565625,0.560781705394709
"SUFU",-0.505406672992812,-0.42767628017628,-0.575150469618555,-0.369722222222222,-0.308787878787879,-0.330833333333333,-0.496002660781699,-0.309025524827098,-0.162857142857143,-0.216716007363954,-0.359867941394087,-0.0600993657444076,-0.293333333333333,-0.289444322781063,-0.142857142857143,-0.278166127292341,-0.1,-0.257777777777778,-0.246666666666667,-0.3375,-0.0613986013986014,-0.2,0.0593166798165783,0.0593166798165783,0.0593166798165783,0.0602660469051859,0.229579192737087,0.0523076923076923,0.067145727835383,0.0743797703885745,0.348611111111111,0.36784188034188,0.378622549486862,0.449411232216551,0.300585627128889,0.290606060606061,0.513333333333333,0.185934065934066,0.328302640059903,0.332950503375336,0.205397153182388,0.328629148629149,0.553873873873874,0.372375108118849,0.401035353535354,0.405374324658138,0.291542942118737,0.598227392695478,0.504132999779332,0.231136712749616,0.236724250082029,0.254924241617976,0.563063659411499,0.563063659411499,0.575854131256347
"PI3K",-0.505921052631579,-0.314316239316239,-0.376176470588235,-0.216666666666667,-0.0211538461538462,-0.15,-0.175892873905406,-0.255133277010827,-0.0666666666666667,-0.128087893884694,-0.467544528463703,-0.0227988813173012,-0.1,-0.20960237829803,-0.0333333333333333,-0.177294685990338,0,-0.155555555555556,-0.1,-0.1,-0.176190476190476,-0.1,-0.19804329004329,-0.19804329004329,-0.19804329004329,-0.195303564015893,0.0784615384615385,0.133333333333333,0.205602240896359,0.226913716306195,0.155555555555556,0.177294685990338,0.20960237829803,0.246761904761905,0.233896163608765,-0.025,0.275,0.107843137254902,0.409656084656085,0.277956533052755,0.130920060331825,0.0437344913151365,0.316176470588235,0.427084680025856,0.278205128205128,0.451606280193237,0.265263157894737,0.416013868962219,0.423070847851336,0.320896358543417,0.305071805737733,0.369696358543417,0.565900238570524,0.565900238570524,0.573806071347055
"ILK",-0.505921052631579,-0.314316239316239,-0.376176470588235,-0.216666666666667,-0.0211538461538462,-0.15,-0.175892873905406,-0.255133277010827,-0.0666666666666667,-0.128087893884694,-0.467544528463703,-0.0227988813173012,-0.1,-0.20960237829803,-0.0333333333333333,-0.177294685990338,0,-0.155555555555556,-0.1,-0.1,-0.176190476190476,-0.1,-0.19804329004329,-0.19804329004329,-0.19804329004329,-0.195303564015893,0.0784615384615385,0.133333333333333,0.205602240896359,0.226913716306195,0.155555555555556,0.177294685990338,0.20960237829803,0.246761904761905,0.233896163608765,-0.025,0.275,0.107843137254902,0.409656084656085,0.277956533052755,0.130920060331825,0.0437344913151365,0.316176470588235,0.427084680025856,0.278205128205128,0.451606280193237,0.265263157894737,0.416013868962219,0.423070847851336,0.320896358543417,0.305071805737733,0.369696358543417,0.565900238570524,0.565900238570524,0.573806071347055
"NOTCHic",-0.5756038647343,-0.290309200603318,-0.325017921146953,-0.227564102564103,-0.137603686635945,-0.158333333333333,-0.0799099431835492,0.0280323021217242,-0.166666666666667,0.00236470649891608,0.0888318117850828,-0.106762742329816,-0.133333333333333,0.0582550782550783,-0.133333333333333,0.0725407925407925,-0.1,0.0876923076923077,0.08,0.08,-0.0933333333333333,0.1,-0.00938076416337286,-0.00938076416337286,-0.00938076416337286,-0.0108585966756881,0.182775119617225,0.06,0.0719047619047619,0.10047619047619,-0.0876923076923077,-0.0725407925407925,-0.0607128355515452,-0.107514225816113,-0.040704057846915,0.00857142857142857,0.288888888888889,0.222222222222222,0.00118900604794022,0.162983583839676,0.243152454780362,0.156024739267524,0.308888888888889,0.298529283570566,0.256975867269985,0.327303622303622,0.214245322987045,0.340941488025934,0.372863726135616,0.395714285714286,0.294983277591973,0.430966084275437,0.602640901771337,0.602640901771337,0.614969847108575
"AKT",-0.561476608187135,-0.357474134053081,-0.416013868962219,-0.278205128205128,-0.0437344913151365,-0.216666666666667,-0.200314984458169,-0.272825584703135,-0.107843137254902,-0.145315212946875,-0.485989524328053,-0.0324958510142709,-0.15,-0.233896163608765,-0.0666666666666667,-0.20960237829803,-0.0333333333333333,-0.177294685990338,-0.155555555555556,-0.155555555555556,-0.205602240896359,-0.1,-0.195303564015893,-0.195303564015893,-0.195303564015893,-0.197954166425531,0.100683760683761,0.176190476190476,0.226913716306195,0.250964349217587,0.177294685990338,0.20960237829803,0.232507406230991,0.273837717036273,0.255133277010827,0.0211538461538462,0.316176470588235,0.130920060331825,0.431833504010923,0.304562037639911,0.0480917775035422,0.0669052230224536,0.376176470588235,0.458761698659397,0.314316239316239,0.486944626057898,0.299700243987452,0.449548612164636,0.456905434317501,0.369696358543417,0.352440226790364,0.405049893896953,0.611105718022579,0.611105718022579,0.620864894876467
"cfos",-0.60368253968254,-0.347138305740456,-0.398319327731092,-0.25952380952381,-0.196153846153846,-0.176190476190476,-0.220448067747338,-0.0797957363303898,-0.183333333333333,-0.0934687265988277,-0.0123188850410951,-0.143332509722493,-0.133333333333333,-0.0330630630630631,-0.133333333333333,-0.00333333333333333,-0.1,0.03,0.05,0.05,-0.08,0.1,0.0339324618736383,0.0339324618736383,0.0339324618736383,0.0327129496785164,0.191666666666667,-0.04,0.0669565217391304,0.102549742078113,-0.03,0.00333333333333333,0.0296491228070175,-0.00211822660098523,0.0597957363303898,0.15,0.314285714285714,0.245833333333333,0.117467532467532,0.273463203463203,0.272149122807018,0.225384615384615,0.357142857142857,0.348811188811189,0.301459293394777,0.401751328839936,0.296284722222222,0.431652661064426,0.454184600669536,0.404232804232804,0.4047976011994,0.447781191329578,0.648710557669395,0.648710557669395,0.658335455394279
"CDC42",-0.60368253968254,-0.347138305740456,-0.398319327731092,-0.25952380952381,-0.196153846153846,-0.176190476190476,-0.220448067747338,-0.0797957363303898,-0.183333333333333,-0.0934687265988277,-0.0123188850410951,-0.143332509722493,-0.133333333333333,-0.0330630630630631,-0.133333333333333,-0.00333333333333333,-0.1,0.03,0.05,0.05,-0.08,0.1,0.0339324618736383,0.0339324618736383,0.0339324618736383,0.0327129496785164,0.191666666666667,0.06,0.0669565217391304,0.102549742078113,-0.03,0.00333333333333333,0.0296491228070175,-0.00211822660098523,0.0597957363303898,0.15,0.414285714285714,0.245833333333333,0.117467532467532,0.273463203463203,0.272149122807018,0.225384615384615,0.357142857142857,0.348811188811189,0.301459293394777,0.401751328839936,0.296284722222222,0.431652661064426,0.454184600669536,0.404232804232804,0.4047976011994,0.447781191329578,0.648710557669395,0.648710557669395,0.658335455394279
"DSH",-0.614889450926001,-0.391897274175129,-0.570517598343685,-0.294588744588745,-0.0476190476190476,-0.213636363636364,-0.358750073289301,-0.335454714301041,0.00916666666666667,-0.206324420507058,-0.563009775072388,-0.0922253638318568,-0.15,-0.287149579246129,0.0466666666666667,-0.254699248120301,0.0666666666666667,-0.211842105263158,-0.175,-0.175,-0.222745098039216,-0.1,-0.226277576546951,-0.226277576546951,-0.226277576546951,-0.229919033129584,0.121359940872136,0.193333333333333,0.244967320261438,0.277298147329107,0.211842105263158,0.254699248120301,0.285418202368667,0.324531270907485,0.313816245912795,0.0142857142857143,0.446666666666667,0.0220833333333333,0.592021216242754,0.463738303832171,0.0416235632183908,0.0762903762903763,0.516231884057971,0.517241092241092,0.339750034911325,0.567915804002761,0.340810792604568,0.614768469423825,0.624995485950198,0.401573050823214,0.381270853073765,0.443459843276044,0.676302687827047,0.676302687827047,0.682784783813747
"SMAD",-0.629930233042719,-0.480833930175187,-0.447949334742159,-0.398333333333333,-0.332151067323481,-0.358333333333333,-0.330882548638415,-0.23576018158642,-0.307936507936508,-0.232565120466375,-0.225123723723594,-0.237117798868175,-0.283333333333333,-0.197809014514897,-0.255555555555556,-0.17344537815126,-0.2,-0.136190476190476,-0.102857142857143,-0.0761904761904762,-0.06036866359447,-0.06,-0.0475189323049585,-0.0475189323049585,-0.0475189323049585,-0.0465320901996953,0.173343685300207,0.0571428571428571,0.0929268031293538,0.0986960338985845,0.10952380952381,0.144139194139194,0.167880201333439,0.188695567280953,0.218840222113269,0.305714285714286,0.359523809523809,0.329505135387488,0.313719453757048,0.320937635796187,0.357505135387488,0.363897099069513,0.411636485580147,0.370577920282877,0.4432874617737,0.417012756508724,0.458644044127915,0.485399533945346,0.495094402203633,0.528540409362327,0.547141375466812,0.456635647457565,0.680524629887055,0.680524629887055,0.688997796520021
"PAK1",-0.646305490502212,-0.384138305740456,-0.431652661064426,-0.301459293394777,-0.225384615384615,-0.25952380952381,-0.244137037005927,-0.0981405639165967,-0.245833333333333,-0.110684843814945,-0.029160990304253,-0.149768495881662,-0.176190476190476,-0.0597957363303898,-0.183333333333333,-0.0330630630630631,-0.133333333333333,-0.00333333333333333,0.03,0.03,-0.0669565217391304,0.05,0.0327129496785164,0.0327129496785164,0.0327129496785164,0.0358947678603346,0.206518151815182,0.08,0.102549742078113,0.103883075411447,0.00333333333333333,0.0296491228070175,0.0555027813436029,0.0255547293738575,0.0797957363303898,0.196153846153846,0.357142857142857,0.272149122807018,0.13674025974026,0.303897986071899,0.305482456140351,0.257252747252747,0.398319327731092,0.381407873894062,0.347138305740456,0.429197629555927,0.32941355657805,0.463893098222896,0.487977704117812,0.447781191329578,0.448915248258224,0.474877965523127,0.693405091431453,0.693405091431453,0.701482663516106
"GSK3",-0.666797847872566,-0.42969631723733,-0.614768469423825,-0.339750034911325,-0.0762903762903763,-0.294588744588745,-0.384893300209059,-0.35341524061683,-0.0220833333333333,-0.222681626519437,-0.581783991345724,-0.0994364273814122,-0.213636363636364,-0.313816245912795,0.00916666666666667,-0.287149579246129,0.0466666666666667,-0.254699248120301,-0.211842105263158,-0.211842105263158,-0.244967320261438,-0.175,-0.229919033129584,-0.229919033129584,-0.229919033129584,-0.228658528927903,0.131127382732601,0.222745098039216,0.277298147329107,0.286957238238198,0.254699248120301,0.285418202368667,0.311361598595082,0.354820464210377,0.335454714301041,0.0476190476190476,0.516231884057971,0.0416235632183908,0.514650167989842,0.496900915868023,0.0689739905688182,0.105641025641026,0.570517598343685,0.558594475699739,0.391897274175129,0.59836984608471,0.373365537130116,0.653230007885363,0.665346363143181,0.443459843276044,0.423831406706983,0.479291927234065,0.727268512492723,0.727268512492723,0.734015733403431
"SNAI1",-0.688984618228069,-0.410740247488029,-0.463893098222896,-0.347138305740456,-0.257252747252747,-0.301459293394777,-0.264887958896641,-0.111098746673437,-0.272149122807018,-0.123085534661232,-0.0430864289007442,-0.156844458420684,-0.25952380952381,-0.0797957363303898,-0.245833333333333,-0.0597957363303898,-0.183333333333333,-0.0330630630630631,-0.00333333333333333,-0.00333333333333333,-0.102549742078113,0.03,0.0358947678603346,0.0358947678603346,0.0358947678603346,0.0380294148225677,0.206895510305748,0.0669565217391304,0.103883075411447,0.114196976756738,0.0296491228070175,0.0555027813436029,0.0746983937750472,0.0483985522176804,0.0981405639165967,0.225384615384615,0.398319327731092,0.305482456140351,0.154892074921778,0.325744139918053,0.323538011695906,0.278885400313972,0.431652661064426,0.40985975673925,0.384138305740456,0.350727878666247,0.352001791872168,0.492118904674509,0.516821414410061,0.474877965523127,0.477486676829652,0.506243279176263,0.728460441984959,0.728460441984959,0.739234824899392
"ZEB1",-0.718584396424542,-0.618628402509499,-0.588963132646874,-0.518181818181818,-0.453676470588235,-0.45,-0.53307654512019,-0.505804929454344,-0.397894736842105,-0.485349163964848,-0.448300376165395,-0.330744977916673,-0.375,-0.46105485658929,-0.34,-0.426332634367068,-0.3,-0.387116948092558,-0.335897435897436,-0.323809523809524,-0.170666666666667,-0.266666666666667,0.107780875788839,0.107780875788839,0.107780875788839,0.109513159253406,0.175204678362573,0.166666666666667,0.193019607843137,0.212843396389393,0.375029036004646,0.411567497543107,0.444900830876441,0.489772604069583,0.485256984248864,0.4125,0.46551724137931,0.432320966350302,0.430874687591947,0.571950844983398,0.459463823493159,0.485907875546913,0.533633183408296,0.527293325629883,0.569162210338681,0.579606011400233,0.590491281650922,0.631876518473646,0.63709119406924,0.632643723785708,0.641080413541553,0.673989877631861,0.792008827519014,0.792008827519014,0.799854647293969
"ZEB2",-0.827838680671144,-0.631775419702249,-0.584638218923933,-0.523571428571429,-0.472410256410256,-0.446428571428571,-0.432884415696026,-0.427623180158391,-0.418055555555556,-0.415464073480384,-0.385046131773036,-0.378480063682039,-0.375,-0.373148148148148,-0.355555555555556,-0.333333333333333,-0.3,-0.283333333333333,-0.23,-0.213636363636364,-0.199122807017544,-0.15,0.0507575757575758,0.0507575757575758,0.0507575757575758,0.0531130361430147,0.181135531135531,0.183333333333333,0.221703452178834,0.244874183886151,0.266969696969697,0.313123543123543,0.351655653215286,0.391859463259517,0.403077725612937,0.423076923076923,0.454545454545454,0.464722222222222,0.464969910418832,0.47306860359233,0.495563343717549,0.511208070617907,0.525454545454545,0.539355877616747,0.577229965156794,0.595106282774869,0.609351563822583,0.635431869717584,0.640966588966589,0.647762988185523,0.654688698398376,0.692275183307475,0.79822183529454,0.79822183529454,0.805383916116384
"miR200",-0.757625948930297,-0.572659145110989,-0.530139152435168,-0.448333333333333,-0.417241379310345,-0.375,-0.498932868733014,-0.493417372825129,-0.347368421052632,-0.478104109561736,-0.440240797332588,-0.443113080337396,-0.3,-0.4298459442537,-0.3,-0.386025719534599,-0.2,-0.333913043478261,-0.26,-0.26,-0.174285714285714,-0.2,0.12228855721393,0.12228855721393,0.12228855721393,0.125031699358569,0.159400386847195,0.114285714285714,0.183376623376623,0.20582560296846,0.32,0.372112676056338,0.412772016715679,0.449805180336415,0.466750706158462,0.351724137931034,0.4,0.407368421052632,0.41600490311729,0.533571152773607,0.446991062562066,0.461874147671927,0.46078431372549,0.489155899842621,0.520485232067511,0.542980722980723,0.553689890513866,0.587115896621214,0.590934539715027,0.58141873858688,0.589661016949153,0.639412468994404,0.833924731182796,0.833924731182796,0.741629185407296
