"","TCFLEF","cateninmemb","CD44","FOXC2","SRC","STAT","TWIST1","LIV1","ILK","RKIP","TGFR","CDC42","SNAI1","AKT","SMO","Patched","MEK","ZEB2","ZEB1","ERK","cfos","SNAI2","SHH","IKK","FUS","miR200","PAK1","NFB","EGR1","TGF","SUFU","Csn","GSK3","SMAD","TrCP","SOSGRB2","RAF","PI3K","DELTA","HEY1","KLF4","RAS","Csl","NOTCHic","NOTCH","Ecadherin","DSH","Jagged","Frizzled","cMet","Wnt","GLI","cateninnuc","Destcompl","AXIN2"
"SNAI2",-0.294478759162994,-0.271120394552962,-0.274478759162994,-0.205262651219455,-0.222987012987013,-0.187272727272727,-0.247115914282287,-0.16,-0.0479543930248156,-0.0665512820512821,-0.150046685340803,-0.138935574229692,-0.0999370843359289,0.230362830632876,0.165882352941176,0.184249699879952,0.162268150503445,-0.0716572267673589,-0.0716572267673589,-0.156862745098039,-0.13921568627451,0.0523993528273871,-0.192700404105304,-0.207471264367816,-0.16,-0.0683494831287712,0.129411764705882,-0.183333333333333,-0.133333333333333,0.156257865465027,-0.1,-0.133333333333333,0.348142067737108,0.0503467375224232,-0.1,0.0606490872210953,0.28604713383689,0.28604713383689,0.28604713383689,0.054249547920434,-0.0628846153846154,0.312074531097164,0.0864035087719298,0.0916666666666667,0.0916666666666667,0.131826348725524,0.187272727272727,0.264928543447954,0.222987012987013,0.249747576367295,0.249747576367295,0.273811747490289,0.311404225001503,0.374239308593634,0.313827810149246
"ZEB2",-0.219222057491146,-0.208532486884064,-0.207602339181287,-0.197950271950272,-0.183333333333333,-0.17,-0.156619974190892,-0.15,-0.0962234948150441,-0.0776811594202898,-0.0721706864564007,-0.0701298701298701,-0.0603981139351893,-0.0525493250259605,-0.0521428571428571,-0.0521428571428571,-0.0209339241100391,0.0219378963720988,0.0219378963720988,0.023372948500283,0.0298245614035088,0.0444503689581964,0.0494155844155844,0.0572222222222222,0.0607142857142857,0.0608269546921264,0.061038961038961,0.0638888888888889,0.0666666666666667,0.0742870885728029,0.075,0.0888888888888889,0.0923528409260371,0.09988203140041,0.1,0.106355311355311,0.110411255411255,0.110411255411255,0.110411255411255,0.112316715542522,0.117816835635237,0.123045088387701,0.133333333333333,0.134666666666667,0.137398907103825,0.145291590712839,0.177272727272727,0.178590378881929,0.190606060606061,0.196491228070175,0.203426573426573,0.2144357477385,0.228962317231405,0.239890308072932,0.24179545658909
"TWIST1",-0.567102706906358,-0.545212928010541,-0.524070547641427,-0.0764387525452792,-0.413492063492063,-0.352380952380952,-0.39456685191239,-0.266666666666667,0.00395850395850397,0.0605809584070454,-0.134858934169279,-0.114858934169279,-0.0243824821146711,0.437058421804185,0.369333333333333,0.387141552511416,0.323637191616289,0.0944541032260331,0.0944541032260331,-0.306224256292906,-0.290434782608696,0.220684530575004,-0.408323818521268,-0.401465201465201,-0.333333333333333,0.114534115920763,0.0872727272727273,-0.353846153846154,-0.26,0.149665312301397,-0.3,-0.3,0.587785664886919,0.00363225511740362,-0.2,0.0728295096716149,0.474622574698476,0.474622574698476,0.474622574698476,-0.00961072825479606,0.109245361684386,0.528047232232723,0.0385185185185185,0.0410826210826211,0.0476863946675267,0.39678280060352,0.352380952380952,0.384882639104042,0.413492063492063,0.47306653157717,0.471386800334169,0.521786800334169,0.602467859292787,0.643569096733975,0.552800962478382
"SRC",-0.484722111155538,-0.477621239335429,-0.440819672131148,-0.0982492997198879,-0.3,-0.1,-0.226565618289756,0,-0.0614035087719298,0.00951449983708048,0.0275793650793651,0.0513888888888889,-0.138488993025897,0.167521367521368,-0.0133333333333333,0.02,0.196779111873451,0.153556454028152,0.153556454028152,-0.17979797979798,-0.157575757575758,0.155364491621966,-0.0464705882352941,-0.123076923076923,0.0333333333333333,0.16102181232616,-0.0888888888888889,-0.1,-0.166666666666667,0.00696608946608947,0.0333333333333333,-0.1,0.614545454545455,0.0659080132764343,-0.1,-0.127142857142857,0.456036712557363,0.456036712557363,0.456036712557363,0.0299569678914267,0.266989664082687,0.512097318617969,-0.055,-0.0311904761904762,-0.0276190476190476,0.389837803808392,0.2,0.232030110562221,0.3,0.39,0.39,0.440819672131148,0.516265735316612,0.531586239847109,0.458765778401122
"cateninmemb",0.687488170179646,0.53820646793821,0.648260274787367,0.388191917686381,0.54391244870041,0.476470588235294,0.55416893660009,0.4,0.0780289855072464,0.154706547242663,0.270218773096822,0.254121212121212,0.230888765012762,-0.442087542087542,-0.364583333333333,-0.387163978494624,-0.248720069096055,0.166792633241872,0.166792633241872,0.234210265174486,0.21668449197861,-0.229544342639744,0.407636419439506,0.400529100529101,0.333333333333333,0.160075874880344,-0.231454545454545,0.352380952380952,0.187272727272727,-0.284866151035339,0.3,0.3,-0.713865948003118,-0.0845665157735902,0.2,-0.060778339502272,-0.591285822021116,-0.591285822021116,-0.591285822021116,-0.0855926702590737,0.150445382090952,-0.644917106937317,-0.134354066985646,-0.137446850490801,-0.137818597702696,-0.250035498553936,-0.476470588235294,-0.600101336891363,-0.54391244870041,-0.600434187830845,-0.599084862493514,-0.646418195826847,-0.71848723647283,-0.775409021505688,-0.677617466242974
"ERK",0.0886424478065617,0.0438129150543506,0.0901294366541454,0.162491536629468,0.0975708502024291,0.105263157894737,0.0960875218442323,0.1,0.084385822883763,0.0834899595375461,-0.073031357300407,-0.0657320872274143,0.119755544692725,0.0411159276054041,0.0590819672131148,0.0662715096967749,-0.0357869915276464,0.259547876099419,0.259547876099419,0.0366226461237466,0.13995597945708,-0.0850543080191681,-0.0667546014842145,-0.0420333587980647,-0.064,0.277826508110797,0.0666666666666667,-0.0455627705627706,0.116551724137931,0.0752291594982092,-0.06,-0.0607142857142857,-0.322179319918319,-0.0862095310904499,-0.0857142857142857,0.0144971490214209,-0.182317127317127,-0.182317127317127,-0.182317127317127,-0.0967780118916388,0.253416079988433,-0.183307226327028,-0.0852369852369852,-0.0801274961858904,-0.0787424546346438,0.044991399657973,-0.11,-0.108927190773248,-0.102307692307692,-0.0954729481045271,-0.10020979020979,-0.0949466323150534,-0.0861424478065617,-0.374247435034295,-0.128978445874093
"SHH",0.27,0.136344086021505,0.25,0.225,0.1,0.1,0.175,0,-0.0666666666666667,0.12,-0.1,-0.1,0.1,-0.15,-0.1,-0.133333333333333,-0.06,0.275,0.275,0,-0.1,-0.0276628352490421,0.0933333333333333,0.1,0,0.283333333333333,0.2,0,0,0.06,0,0,-0.335897435897436,0.05,0,-0.15,-0.3,-0.3,-0.3,0.0666666666666667,0.25,-0.353846153846154,-0.1,0,0,0.0888888888888889,0,-0.134285714285714,0,-0.2,-0.1,-0.15,-0.286666666666667,-0.436103896103896,-0.371428571428571
"TGFR",-0.253878005476814,-0.25631613562992,-0.227083747103608,0.11609814478288,-0.136666666666667,-0.0666666666666667,-0.00257611704230923,0,0.0357575757575758,0.12038961038961,0.0155555555555556,0.144126984126984,0.0540309181298723,0.198402984204698,0.0403448275862069,0.0684698275862069,0.129705313512091,0.280458093302962,0.280458093302962,-0.116006683375104,-0.113784461152882,0.169738915765007,-0.0837240648743425,-0.168170426065163,-0.03,0.295707632498511,-0.148888888888889,-0.152380952380952,-0.119047619047619,0.00288416075650118,-0.0466666666666667,-0.166666666666667,0.445036700638881,-0.0354017038714548,-0.166666666666667,-0.0734243014944769,0.273214285714286,0.273214285714286,0.273214285714286,-0.0639587362991618,0.29005439322945,0.308302005012531,-0.136666666666667,-0.122873563218391,-0.122154138757959,0.234795637358805,0.0428571428571429,0.0639028515933491,0.112857142857143,0.187610062893082,0.163800539083558,0.203155377793235,0.275224329657505,0.318812694446614,0.214905647523673
"CD44",-0.181550387596899,-0.258827838827839,-0.146666666666667,0.213333333333333,0,0.1,0.148644688644689,0.1,0.0777777777777778,0.0537037037037037,-0.0983333333333333,-0.0733333333333333,0.163423710792132,0.0933333333333333,0.1,0.1,0.005,0.29047619047619,0.29047619047619,-0.005,-0.025,0.0551093351093351,-0.0909090909090909,-0.1,-0.1,0.305990338164251,0.133333333333333,-0.1,0,0.0927777777777778,-0.1,-0.1,-0.0982142857142857,-0.0798185941043084,0,-0.0690476190476191,0,0,0,-0.083625730994152,0.376190476190476,0.0142857142857143,-0.1,-0.0857142857142857,-0.0804511278195489,0.266841276734339,0,-0.045034965034965,0.1,0,0.1,0.146666666666667,0.210781156827668,-0.0610717014078358,0.16
"GLI",-0.506151539932977,-0.492643393409053,-0.472385306166744,0.00239465084279327,-0.374193548387097,-0.3,-0.180203306408739,-0.2,-0.052737831473898,-0.00746755396209219,-0.16590761223162,-0.141379310344828,-0.0431622009882133,0.0321262605919561,0.104197994987469,0.128687790905836,-0.0604660256870202,0.295037037037037,0.295037037037037,0.082012987012987,0.109285714285714,0.233177397426492,-0.146383264156865,0.000686239408043909,-0.0726190476190476,0.314671293618662,0.1,0.0353801169590643,0.134285714285714,0.183554671055149,-0.0476190476190476,0.0722222222222222,0.484702492359306,0.0608459395820061,0.0833333333333333,-0.0132942573650538,0.200166508877705,0.200166508877705,0.200166508877705,0.0623908867966593,0.29830459030459,0.243928885115329,0.126755083996463,0.134255083996463,0.137112226853606,0.403897137840564,0.36,0.258455525818738,0.434193548387097,0.43273013375295,0.491840607210626,0.431415075295733,0.533945921283844,0.554489849800439,0.499240640096618
"miR200",-0.429338339104813,-0.42451790508945,-0.398385958152432,-0.0906973243558609,-0.316521739130435,-0.26,-0.249837687874498,-0.2,-0.00812848246476565,-0.0204159716528606,-0.0976438962681847,-0.0799019607843137,-0.0435416435416435,0.0822584763796283,0.0525,0.0664240506329114,0.0667532467532467,0.296814516129032,0.296814516129032,-0.0524675324675325,-0.0342857142857143,0.19153989693784,-0.0805544854155201,-0.0615037593984962,-0.0325,0.233833965370256,0.0583333333333333,-0.0357894736842105,-0.0142857142857143,0.111597384640278,-0.02,-0.02,0.332542109219714,0.0128306768221324,0,0.0209026434558349,0.310929965556831,0.310929965556831,0.310929965556831,0.0100847457627119,0.30200138026225,0.348087072788751,0.0446305418719212,0.0515270935960591,0.056611839358771,0.364960160008645,0.26,0.160051802125789,0.312,0.360183710961421,0.355661971830986,0.393024609193623,0.455398945165419,0.472000150650861,0.422330730973131
"FUS",0.310566221378689,0.140017104649506,0.299288025889968,0.279872958257713,0.27,0.25,0.229212435410464,0.2,-0.0288888888888889,0.144660448371789,-0.0433333333333333,-0.0433333333333333,0.177612091702171,-0.256813186813187,-0.0933333333333333,-0.0988888888888889,-0.0961144602523913,0.336691102561436,0.336691102561436,0.094965034965035,0.0676923076923077,-0.0418281767896081,0.0978787878787879,0.241428571428571,0.0933333333333333,0.341358864638724,0.06,0.221428571428571,0.06,0.0475886524822695,0.133333333333333,0.15,-0.469775039931224,0.025663082437276,0.1,-0.119838056680162,-0.417654293381038,-0.417654293381038,-0.417654293381038,0.0286829112916069,0.321311475409836,-0.440798398184531,0.0272727272727273,0.0322727272727273,0.0345454545454545,0.107141306258122,-0.15,-0.179138139861031,-0.175,-0.286666666666667,-0.191666666666667,-0.203205128205128,-0.321435786596081,-0.537066623751397,-0.448700325162094
"ZEB1",-0.556799873356392,-0.541082119029366,-0.519831788250009,0.00210511184897755,-0.417135709818637,-0.351282051282051,-0.262865195552232,-0.266666666666667,0.0711935855197872,0.0209530508176543,-0.132729362898923,-0.109886723305014,-0.0331156161256877,0.24651094950491,0.176515151515152,0.202005347593583,0.174513950073421,0.359693065555135,0.359693065555135,-0.157333333333333,-0.137333333333333,0.237547394023979,-0.21873132624127,-0.210796663790624,-0.158333333333333,0.383541458563855,0.0852490421455939,-0.179649122807018,-0.133333333333333,0.149658496757191,-0.133333333333333,-0.153333333333333,0.537369291683435,-0.0668666624428642,-0.133333333333333,-0.0642105263157895,0.442360890832983,0.442360890832983,0.442360890832983,-0.0826348780752926,0.366844598428561,0.489447505006212,-0.0354166666666667,-0.0275735294117647,-0.0242677442877978,0.36618737623648,0.338095238095238,0.16074836969771,0.403948896631823,0.473998454916676,0.459718127401054,0.504735309531638,0.587132554374005,0.619637684956763,0.540885156343509
"SUFU",0.321435786596081,0.14179063807379,0.310566221378689,0.301957325503371,0.286666666666667,0.27,0.245913466338299,0.25,-0.025663082437276,0.159762489188115,-0.0475886524822695,-0.0433333333333333,0.193455362570995,-0.27090714654473,-0.0988888888888889,-0.0978787878787879,-0.0956889283374977,0.359879508358538,0.359879508358538,0.0961144602523913,0.094965034965035,-0.0441353620236226,0.100581490581491,0.256813186813187,0.0933333333333333,0.365894180623854,0.0433333333333333,0.241428571428571,0.0676923076923077,0.0458135045532754,0.0933333333333333,0.221428571428571,-0.494967841987779,0.0235845604973222,0.15,-0.11774015458226,-0.440798398184531,-0.440798398184531,-0.440798398184531,0.0274780920144985,0.348257583194267,-0.45946928426048,0.0322727272727273,0.0345454545454545,0.0377200577200577,0.114865302138657,-0.175,-0.18745167905343,-0.191666666666667,-0.299288025889968,-0.203205128205128,-0.21398579735011,-0.328648062810915,-0.557002827898128,-0.462049271297926
"STAT",-0.599815799342613,-0.608417309860878,-0.546503496503496,0.0189243353783231,-0.4,-0.3,-0.278061943054447,-0.1,-0.0442834138486312,0.0653925353925354,-0.156877990430622,-0.114772727272727,-0.00184784029602378,0.118143664245359,0.0716666666666667,0.106550387596899,0.108045540796964,0.364846691769769,0.364846691769769,-0.0768627450980392,-0.0533333333333333,0.227688830542757,-0.132214104411059,-0.0723809523809524,-0.025,0.386443679749748,0.0772727272727273,-0.02,-0.0333333333333333,0.182481855164922,0,0,0.527661326212728,0.0523293908601255,0,0.0260673234811166,0.394158395368073,0.394158395368073,0.394158395368073,0.0493333333333333,0.470627847098435,0.458337499845685,0.096078431372549,0.109591944886063,0.116388061390917,0.531240214618067,0.3,0.309378487633826,0.4,0.477272727272727,0.477272727272727,0.545339954163484,0.644988624134032,0.639707992151093,0.561115355233002
"SNAI1",-0.579650693370051,-0.563381128715719,-0.543236900266603,0.0168607804823807,-0.448048048048048,-0.377777777777778,-0.217547908613126,-0.3,-0.0461461000170678,0.0419630742590127,-0.141301289517297,-0.119989814107461,-0.12244588969617,0.112244152046784,0.073226375376913,0.096226375376913,0.0931891570365915,0.373436667973138,0.373436667973138,-0.0779425202652911,-0.0539425202652911,0.265159415513158,-0.111177831687593,-0.0796052631578947,-0.0497695852534562,0.394272999589654,0.0927170868347339,-0.0462719298245614,-0.0217391304347826,0.156422257259233,-0.0142857142857143,-0.00416666666666667,0.506408110453903,0.0529111676677443,0.0333333333333333,-0.0344516574298939,0.348217637880479,0.348217637880479,0.348217637880479,0.0527588096707948,0.380273778517076,0.393702038537293,0.106410256410256,0.115201465201465,0.117242281527996,0.463046129136575,0.377777777777778,0.294210877039978,0.446198830409357,0.4995331965629,0.497418342604479,0.540379951379616,0.610006914330299,0.641001407824541,0.571837163053819
"Csl",-0.55348666600575,-0.551491808940739,-0.507532467532468,0.0241650208470485,-0.381818181818182,-0.3,-0.216629514823079,-0.2,-0.0417129153819801,0.0515662641890532,-0.14315704403808,-0.114494623655914,-0.0118939192852236,0.10749354005168,0.0713046757164404,0.0960358585121393,0.105,0.377748685509915,0.377748685509915,-0.08,-0.0485714285714286,0.278411815137576,-0.120173789546622,-0.0710594315245478,-0.0301282051282051,0.397133534794194,0.0693333333333333,-0.0222222222222222,-0.02,0.164698994151458,0.00833333333333333,0.0222222222222222,0.477404217007681,0.0517129153819801,0.0333333333333333,-0.0329630061850858,0.341702265750242,0.341702265750242,0.341702265750242,0.148251470041751,0.38268115942029,0.398319912809065,0.104700460829493,0.112595197671598,0.120777015853417,0.46263802099473,0.3,0.298181986412533,0.381818181818182,0.453246753246753,0.451710654936461,0.505742913000978,0.591851445879964,0.602927216491894,0.529439028202185
"Jagged",-0.381818181818182,-0.441951710261569,-0.3,0.117142857142857,-0.1,0,-0.085,0,-0.0333333333333333,0.0769230769230769,-0.0333333333333333,0,0.05,-0.0222222222222222,-0.0333333333333333,-0.00833333333333333,0.02,0.38768115942029,0.38768115942029,-0.02,0,0.23255404725993,-0.0301282051282051,0.0333333333333333,0,0.407272727272727,0,0,-0.1,0.0693333333333333,0,0,0.257088122605364,0.0285714285714286,0,-0.04,0.113333333333333,0.113333333333333,0.113333333333333,0.133333333333333,0.383333333333333,0.204242424242424,0.1,0.16,0.188571428571429,0.429368421052632,0,0.167359307359307,0.1,0.2,0.2,0.3,0.453246753246753,0.389189189189189,0.3
"TrCP",-0.543236900266603,-0.542137605399657,-0.4995331965629,0.0451962315624315,-0.377777777777778,-0.3,-0.183599190664408,-0.2,-0.0371138419525516,0.0566074257234478,-0.119989814107461,-0.0927170868347339,0.0021092704461787,0.0796052631578947,0.0497695852534562,0.073226375376913,0.0779425202652911,0.388565819264651,0.388565819264651,-0.0539425202652911,-0.0217391304347826,0.25573936858054,-0.096226375376913,-0.0462719298245614,-0.0142857142857143,0.407625545218857,0.0476190476190476,-0.00416666666666667,0,0.141301289517297,0.019047619047619,0.0333333333333333,0.450368506493507,0.0461461000170678,0.0333333333333333,-0.0333195819581958,0.294581274244115,0.294581274244115,0.294581274244115,0.0432350001469853,0.391177205308353,0.348217637880479,0.0987179487179487,0.106410256410256,0.115201465201465,0.460288584911809,0.3,0.263152053510566,0.377777777777778,0.448048048048048,0.446198830409357,0.497418342604479,0.579650693370051,0.590288688526295,0.521953713170369
"LIV1",-0.543236900266603,-0.542137605399657,-0.4995331965629,0.0451962315624315,-0.377777777777778,-0.3,-0.183599190664408,-0.2,-0.0371138419525516,0.0566074257234478,-0.119989814107461,-0.0927170868347339,0.0021092704461787,0.0796052631578947,0.0497695852534562,0.073226375376913,0.0779425202652911,0.388565819264651,0.388565819264651,-0.0539425202652911,-0.0217391304347826,0.25573936858054,-0.096226375376913,-0.0462719298245614,-0.0142857142857143,0.407625545218857,0.0476190476190476,-0.00416666666666667,0,0.141301289517297,0.019047619047619,0.0333333333333333,0.450368506493507,0.0461461000170678,0.0333333333333333,-0.0333195819581958,0.294581274244115,0.294581274244115,0.294581274244115,0.0432350001469853,0.391177205308353,0.348217637880479,0.0987179487179487,0.106410256410256,0.115201465201465,0.460288584911809,0.3,0.263152053510566,0.377777777777778,0.448048048048048,0.446198830409357,0.497418342604479,0.579650693370051,0.590288688526295,0.521953713170369
"NOTCHic",-0.507532467532468,-0.522592726371931,-0.453246753246753,0.0574983541803818,-0.3,-0.2,-0.176674661549941,-0.1,-0.0352380952380952,0.0676952964471177,-0.114494623655914,-0.0693333333333333,0.0134025234025234,0.0710594315245478,0.0301282051282051,0.0713046757164404,0.08,0.389903381642512,0.389903381642512,-0.0485714285714286,-0.02,0.26595842214727,-0.0960358585121393,-0.0222222222222222,0.00833333333333333,0.409551835447789,0.0333333333333333,0.0222222222222222,-0.02,0.14315704403808,0.0333333333333333,0.0333333333333333,0.410393907729331,0.0417129153819801,0,-0.0256459330143541,0.278155467720685,0.278155467720685,0.278155467720685,0.139754738015608,0.391252587991718,0.341702265750242,0.188571428571429,0.104700460829493,0.112595197671598,0.457289183785428,0.2,0.261202819745866,0.3,0.381818181818182,0.381818181818182,0.451710654936461,0.55348666600575,0.540830933737476,0.466457023060797
"NOTCH",-0.453246753246753,-0.487501448481465,-0.381818181818182,0.0865306122448979,-0.2,-0.1,-0.130762711864407,0,-0.0285714285714286,0.0803713527851459,-0.0693333333333333,-0.0333333333333333,0.0361538461538462,0.0222222222222222,-0.00833333333333333,0.0301282051282051,0.0485714285714286,0.395088566827697,0.395088566827697,-0.02,-0.02,0.252130766836649,-0.0713046757164404,0.0222222222222222,0.0333333333333333,0.41012987012987,0,0.0333333333333333,0,0.114494623655914,0,0,0.334360849878091,0.0352380952380952,0,-0.0347368421052632,0.204242424242424,0.204242424242424,0.204242424242424,0.128985507246377,0.38768115942029,0.278155467720685,0.16,0.188571428571429,0.104700460829493,0.445497453310696,0.1,0.215507455507456,0.2,0.3,0.3,0.381818181818182,0.507532467532468,0.470497600404143,0.388679245283019
"CDC42",-0.4995331965629,-0.514298777560829,-0.448048048048048,0.0748514039762246,-0.3,-0.2,-0.147186147186147,-0.1,-0.0322751322751323,0.0704195804195804,-0.0927170868347339,-0.0476190476190476,0.0233503205655104,0.0462719298245614,0.0142857142857143,0.0497695852534562,0.0539425202652911,0.396604404473654,0.396604404473654,-0.0217391304347826,0,0.243804468038045,-0.073226375376913,-0.00416666666666667,0.019047619047619,0.416254986843222,-0.0857142857142857,0.0333333333333333,-0.02,0.119989814107461,0.0333333333333333,0.0333333333333333,0.387459415584416,0.0371138419525516,0,-0.0263888888888889,0.233605664488017,0.233605664488017,0.233605664488017,0.0358820589705147,0.396095238095238,0.294581274244115,0.0833333333333333,0.0987179487179487,0.106410256410256,0.454267823666134,0.2,0.229409722222222,0.3,0.377777777777778,0.377777777777778,0.446198830409357,0.543236900266603,0.531341320105242,0.461576354679803
"IKK",-0.367832826307403,-0.471995806800276,-0.320940170940171,0.317835497835498,-0.205555555555556,-0.15,0.0140196078431373,-0.1,0.0541666666666667,0.225136612021858,-0.0404040404040404,-0.0222222222222222,0.205491942324003,0.0223938223938224,0.12,0.138518518518519,0.0945079365079365,0.403984962406015,0.403984962406015,-0.0922857142857143,-0.0642857142857143,0.192025994568299,-0.159208173690932,-0.0142857142857143,-0.12,0.421705685618729,0,0.0857142857142857,-0.05,0.0604040404040404,-0.1,0.1,-0.0728388278388278,-0.0492161716171617,0.2,-0.0107142857142857,0.0272837265577737,0.0272837265577737,0.0272837265577737,-0.0496388028895769,0.39047619047619,0.068128796980309,0.109090909090909,0.132900432900433,0.153535353535354,0.488736016074686,0.15,0.148236488597313,0.205555555555556,0.267094017094017,0.267094017094017,0.320940170940171,0.410448860062677,0.0931049928454873,0.333333333333333
"NFB",-0.410448860062677,-0.501668457275461,-0.367832826307403,0.296719959986892,-0.267094017094017,-0.205555555555556,-0.0161391223155929,-0.15,0.0492161716171617,0.222572509457755,-0.0604040404040404,-0.0404040404040404,0.190971394378798,0.0468382668382668,0.138518518518519,0.159208173690932,0.108233426704015,0.408199521792988,0.408199521792988,-0.0945079365079365,-0.0922857142857143,0.203611360421958,-0.177280462847559,-0.0223938223938224,-0.12,0.424424718851358,0.0222222222222222,-0.0142857142857143,-0.0642857142857143,0.0812901163534075,-0.12,0.0857142857142857,-0.0285251023486317,-0.0436399634387231,0.1,-0.00966165413533835,0.068128796980309,0.068128796980309,0.068128796980309,-0.044281660032434,0.398168498168498,0.107432279567374,0.132900432900433,0.153535353535354,0.161922450309547,0.500614025705504,0.205555555555556,0.179891164856306,0.267094017094017,0.320940170940171,0.320940170940171,0.367007586670508,0.4445665071215,0.139118281882032,0.383687943262411
"Csn",-0.102116549132554,-0.297198272279699,-0.0773577066888242,0.351321122240103,-0.0114942528735632,0.0333333333333333,0.152279102384292,0.0666666666666667,-0.0270419254658385,0.257000917501338,-0.119318616706676,-0.0975237449118046,0.264777311243937,-0.1737,-0.0226551226551227,-0.00437555276264953,-0.0151677489177489,0.473422663358147,0.473422663358147,0.0255844155844156,0.0372727272727273,0.100727206665813,-0.00546051281112096,0.1825,0.0317460317460317,0.489646746026184,0.0840909090909091,0.186666666666667,0.01,0.133399762291402,0.0428571428571429,0.17,-0.405478802895605,0.0278131336920596,0.22,-0.13615127406895,-0.315841962785174,-0.315841962785174,-0.315841962785174,0.03703211517165,0.457320979673921,-0.296456166240069,0.167676767676768,0.181962481962482,0.18965478965479,0.415407982693798,-0.0333333333333333,0.0882979568338562,0.0114942528735632,0.0440243733554909,0.0440243733554909,0.0767754650585477,0.124305364526421,-0.286210655642476,0.030863825936418
