"","PAK1","FOXC2","CDC42","TGFR","ERK","MEK","SNAI2","SOSGRB2","AXIN2","TrCP","GLI","Csn","TCFLEF","cateninnuc","Ecadherin","HEY1","NFB","IKK","AKT","ZEB2","LIV1","Destcompl","Patched","Csl","ZEB1","NOTCHic","NOTCH","miR200","RAF","DELTA","GSK3","PI3K","RAS","TWIST1","KLF4","cateninmemb","Jagged","SHH","SMO","ILK","SMAD","FUS","STAT","SUFU","SRC","DSH","cMet","SNAI1","Frizzled","CD44","Wnt","RKIP","EGR1","TGF","cfos"
"TWIST1",-0.154545454545455,-0.170501188608841,-0.144200626959248,-0.155450626959248,-0.112616323417239,-0.110128761228184,-0.304212003618094,-0.198247569872284,0.0303056083701245,-0.2,-0.0101122807017544,-0.2,-0.00745281474534545,-0.00337000853487967,-0.0871101281079927,-0.135344881107593,-0.161538461538462,-0.171062271062271,-0.176147016824983,-0.13975730116081,1.11022302462516e-17,0.0355202151075701,-0.135963470319635,-0.0614814814814815,-0.0587675394692938,-0.0743019943019943,-0.0724152018491641,-0.140489815882332,0.0553195622518836,0.0553195622518836,-0.0568365039011134,-0.0553195622518836,-0.0450455896491439,0.0446244687806473,0.139264123410465,-0.029403964194604,-0.00368572311172316,0.128574307758058,0.137333333333333,0.11980161980162,0.125412180857725,0.133333333333333,-1.11022302462516e-17,0.166666666666667,-0.0166666666666667,-1.11022302462516e-17,-0.00602836879432625,0.0820740703728758,-0.0166666666666667,0.00883106895667776,-0.00508771929824562,0.110194068889721,0.106666666666667,0.151122608736013,0.128405797101449
"miR200",-0.141666666666667,-0.135270745514648,-0.131862745098039,-0.122185325743201,-0.154675324675325,-0.151273964131107,-0.249968362062011,-0.106969696969697,-0.254171638057521,-0.1,-0.22859185884538,-0.08,-0.220170728545403,-0.221231334606009,-0.235267843912646,-0.0715819209039548,-0.0642105263157895,-0.0556390977443609,-0.0556390977443609,-0.0632706093189964,-0.2,-0.150733517164929,-0.035337552742616,-0.0267980295566503,-0.109081541218638,-0.0199014778325123,-0.0136867885669756,-0.116539965311462,-0.122920015308075,-0.122920015308075,0.00150293032983763,0.122920015308075,0.126660663687127,-0.0677994193945114,0.074223602484472,0.0832329283193049,0.0152744985215376,0.0288158136121813,0.0416666666666667,0.0611256262583696,0.0633199836251408,0.055,0.2,0.08,0.204347826086957,0.2,0.219840783833435,0.0634513634513635,0.212,0.220964379339053,0.227492957746479,0.100647988465127,0.142857142857143,0.111720209464131,0.172857142857143
"NFB",-0.211111111111111,-0.196008117601743,-0.183838383838384,-0.179838383838384,-0.0757142857142857,-0.0672175536881419,-0.254875704894573,-0.173724015922158,0.0854812563323202,0.1,0.0537962162681264,0.0571428571428571,0.0446311546805003,0.0453370370334415,-0.0322390541688972,-0.107574082264485,-0.0428571428571429,-0.0293436293436293,-0.0337880737880738,-0.048797914326045,0.1,0.0738645659406453,-0.108888888888889,-0.00346320346320346,-0.00930412237490277,0.00447330447330447,-0.00391379230088908,-0.0443422351106575,-0.0144525957925411,-0.0144525957925411,0.0168810601163542,0.0144525957925411,0.0194277201706505,0.205985060690943,0.0444139194139194,-0.00861909546526656,0.0754545005045636,0.110093708165997,0.108888888888889,0.104180418041804,0.103065176406116,0.12,-0.0444444444444444,0.12,-0.0444444444444444,-0.0444444444444444,-0.0582905982905983,0.0911311730008792,-0.0444444444444444,-0.0543357960307113,-0.0582905982905983,0.108897295782542,0.0357142857142857,0.18806623193965,0.0557142857142857
"IKK",-0.2,-0.189235209235209,-0.211111111111111,-0.183838383838384,-0.0557142857142857,-0.0757142857142857,-0.249184647984003,-0.18109243697479,0.0861904761904762,0.2,0.0582905982905983,0.1,0.0543357960307113,0.0446311546805003,-0.0349677861111123,-0.111145510835913,0.0571428571428571,-0.0428571428571429,-0.0293436293436293,-0.0468822055137845,0.1,0.075359582551941,-0.108888888888889,-0.0272727272727273,-0.00125814536340852,-0.00346320346320346,0.00447330447330447,-0.0428316610925307,-0.02994555353902,-0.02994555353902,0.0133516483516484,0.02994555353902,0.0144525957925411,0.205032679738562,0.0501831501831502,0.000356617311924571,0.0804904717275851,0.108888888888889,0.12,0.111111111111111,0.104180418041804,0.12,-0.1,0.1,-0.0444444444444444,-0.1,-0.0444444444444444,0.0914051456036189,-0.0444444444444444,-0.0582905982905983,-0.0444444444444444,0.0973588342440802,0.05,0.179838383838384,0.0357142857142857
"Csn",-0.115909090909091,-0.117753936559365,-0.117401628222524,-0.122529833350729,-0.0568831168831169,-0.0537581168831169,0.022049423510586,-0.131405511357085,0.110504308309726,0.18,0.0766958210798321,0.08,0.0766259520841989,0.0784900531064478,0.0166434085111287,0.0019047619047619,0.08,0.08,0.0728,-0.0287460711331679,0.0666666666666667,0.0282275517143943,-0.0144812177070242,0.0757575757575758,-0.00240860215053763,0.0718614718614719,0.0660922410922411,-0.0274561419884886,0.00900414951678424,0.00900414951678424,0.089920190685027,-0.00900414951678424,-0.00689282514058463,0.0889262895434003,0.0261983767866121,0.0174293363782772,0.0165608700590196,0.0161205619693192,0.0112554112554113,0.00252587991718427,0.00329708814340534,0.0142857142857143,-0.0666666666666667,0.0142857142857143,-0.0770114942528736,-0.0666666666666667,-0.0806259520841989,0.0933039526758789,-0.0770114942528736,-0.0766259520841989,-0.0806259520841989,0.1155453125512,0.04,0.125632458649058,0.0581818181818182
"RAS",0.02,-0.00968253968253967,5.55111512312578e-18,0.00588235294117648,-0.235263157894737,-0.252910216718266,-0.285956707150175,-0.183982683982684,0.0352569169960474,0.1,0.0142156862745098,0,0.00421295850582459,-0.00286919446867966,-0.100738413942652,-0.0312252964426877,-0.0333333333333333,-0.04,-0.0511111111111111,0.043059646539028,0,0.0203763081670058,-0.129333333333333,-0.05,0.0327356406480118,-0.0342105263157895,-0.0436444885799404,0.0487076923076923,-0.0407692307692308,-0.0407692307692308,-0.0509819121447028,0.0407692307692308,-0.0688461538461538,0.100665575559193,-0.0482142857142857,0.0733799126729033,0.136069386950522,0.120858757062147,0.133333333333333,0.127272727272727,0.129313543599258,0.1,-0.1,0.1,0,-0.1,-0.00588235294117647,0.039567354965585,0,-0.0165206508135169,-0.00588235294117647,0.145767295597484,0.18,0.00500873616773441,0.23
"cateninmemb",0.0767272727272727,0.119656619058892,0.102060606060606,0.0996215816703622,-0.0492838634985391,-0.0434015105573626,-0.0864616816577209,0.134579158015106,-0.106919617289552,0.1,-0.0123815588785635,0.04,-0.0191852080167303,-0.016197346205339,0.0266051290757313,0.0167156649114801,0.0733333333333333,0.0807407407407408,0.072948532948533,0.0952381406541165,0,-0.0291739019252587,-0.00752688172043011,0.102488038277512,0.00805173653397503,0.10145711044246,0.0921634301450626,0.101785322064652,-0.0809125188536953,-0.0809125188536953,0.0328147325802011,0.0809125188536953,0.0870577702503434,-0.0244953688489673,-0.0877168307548054,0.0243468789276901,-0.0116539816216294,0.00752688172043011,0,-0.00614492753623188,-0.0044500122819946,0,0.0294117647058824,0.0333333333333333,0.0177838577291382,0.0294117647058824,0.00647950990305121,-0.0208194904330116,0.0177838577291382,0.0128340249532184,0.00571489221189679,-0.0128383120357438,0.0309090909090909,-0.0911224858294942,0.0544385026737968
"SUFU",0.0583333333333333,-0.0427514152026768,0.0286036036036036,0.0200929653057313,0.187274334860542,0.185997739115861,0.262772427495507,0.0657158630842841,0.29221461230211,-0.1,0.0389313856321291,-0.0857142857142857,0.14233380958376,0.142794167640026,0.090122093214247,-0.0198279980888677,-0.113714285714286,-0.11756043956044,-0.118231580500037,0.149324502855501,0.1,0.0408574395364235,-0.0182323232323232,-0.220909090909091,-0.0578744539033385,-0.227727272727273,-0.223759018759019,0.106053452270078,0.192547954863254,0.192547954863254,-0.0449016570599875,-0.192547954863254,-0.195079600432874,0.0689457305024887,-0.164456060556483,0.0678158019201635,0.120372961135346,0.013985218985219,0.0172222222222222,0.00921658986175115,0.00713806792179734,0.0116666666666667,-0.133333333333333,-0.0133333333333333,-0.144444444444444,-0.0375,-0.133764832793959,0.00547759938510643,-0.0486111111111111,-0.135268592192455,-0.0370726495726496,-0.0236856254529303,-0.187692307692308,-0.024629454457605,-0.190722610722611
"FUS",0.0666666666666667,-0.045480943738657,0.0583333333333333,0.0286036036036036,0.190722610722611,0.187274334860542,0.259542368167887,0.0831983805668016,0.291512036189697,-0.1,0.0370726495726496,-0.1,0.135268592192455,0.14233380958376,0.0921818254490565,-0.0198279980888677,-0.0857142857142857,-0.113714285714286,-0.11756043956044,0.152706145367578,0.1,0.0392093799936272,-0.0172222222222222,-0.190909090909091,-0.062222279990295,-0.220909090909091,-0.227727272727273,0.106425199481974,0.196478085867621,0.196478085867621,-0.0423309629725839,-0.196478085867621,-0.192547954863254,0.0683271738014578,-0.174635701275046,0.061813073407203,0.119185312679289,0.0182323232323232,0.0116666666666667,0.00857142857142857,0.00921658986175115,-0.0133333333333333,-0.1,0.0666666666666667,-0.133333333333333,0,-0.144444444444444,0.00735153464916094,-0.0375,-0.133764832793959,-0.0486111111111111,-0.0224611356570119,-0.18,-0.0200929653057313,-0.187692307692308
"SMO",0.0666666666666667,-0.0375862068965517,0.0666666666666667,0.0583333333333333,0.187692307692308,0.190722610722611,0.261876299945266,0.0947368421052632,0.29213315420212,0,0.0486111111111111,-0.1,0.133764832793959,0.135268592192455,0.0971133322983715,-0.0241758241758242,-0.1,-0.0857142857142857,-0.113714285714286,0.163135593220339,0.1,0.0364356573658899,-0.0116666666666667,-0.2,-0.0701977401129944,-0.190909090909091,-0.220909090909091,0.114345991561181,0.191826923076923,0.191826923076923,-0.0419965148120488,-0.191826923076923,-0.196478085867621,0.0730392156862745,-0.186111111111111,0.0668410063680969,0.127619047619048,0.0172222222222222,-0.0133333333333333,0.0133333333333333,0.00857142857142857,0.0666666666666667,-0.1,0.1,-0.1,0,-0.133333333333333,0.00829493087557603,0,-0.144444444444444,-0.0375,-0.0234920634920635,-0.2,-0.0286036036036036,-0.18
"ZEB1",0.0478927203065134,0.0308992370808987,0.0464434449441946,0.0347683180406413,0.0747843137254902,0.0822733005096312,0.193670122928645,0.0108771929824561,0.209922024692291,-0.0333333333333333,0.178791029187056,-0.0533333333333333,0.174350519384899,0.177970871635389,0.0980770479803594,-0.0198123120402913,-0.0480701754385965,-0.0464308311763014,-0.05500225974773,0.169416179111479,0.166666666666667,0.102077294943984,-0.0622549019607843,-0.04375,-0.108586191713452,-0.051593137254902,-0.0565518149408524,0.150029332228596,0.122155841834365,0.122155841834365,-0.00938598501117736,-0.122155841834365,-0.116014109550901,0.110960335757594,-0.179321757822148,0.0196607709983979,0.032930756736767,0.0583403112134533,0.0583333333333333,0.021004247211527,0.0219657856730655,0.0583333333333333,-0.158974358974359,0.0583333333333333,-0.180925578486554,-0.166666666666667,-0.180925578486554,0.0398125252788694,-0.188617886178862,-0.173286689597665,-0.186694809255785,0.0244678339069055,-0.116666666666667,-0.0320124125288302,-0.0806666666666667
"TGFR",0.182222222222222,0.0672493151428029,0.163174603174603,0.0542460317460317,0.249707602339181,0.253817191380277,0.17152129457134,0.341682910981157,0.0447648189779806,0.233333333333333,0.0502947569776541,0.258333333333333,0.0487382263549096,0.0498896878252373,0.0464558151927507,0.13283389628261,0.258333333333333,0.258333333333333,0.253682170542636,0.178632558476261,0,0.0646325465829971,0.0907399425287356,0.243333333333333,-0.00542291792324174,0.236436781609195,0.23859505499049,0.138088390104519,-0.232738095238095,-0.232738095238095,0.1839504662322,0.232738095238095,0.23390768588137,-0.00467312508237775,-0.181241600377756,-0.0138544911723311,-0.0948544321359203,-0.0879150837716735,-0.100114942528736,-0.0972922776148583,-0.0948011744120113,-0.0966666666666667,-0.0333333333333333,-0.113333333333333,-0.0533333333333333,-0.0428571428571429,-0.040125786163522,-0.0677247223144246,-0.0628571428571429,-0.040125786163522,-0.0496495956873315,-0.158874458874459,-0.233333333333333,-0.0592105707531239,-0.23859649122807
"SHH",0.2,0,0.166666666666667,0.0666666666666667,0.2,0.18,0.248352490421456,0.1,0.247619047619048,0,0,0,0.133333333333333,0.144444444444444,0.0711111111111111,0,0,-0.1,-0.1,0.2,0,0.0376623376623377,-0.0666666666666667,-0.1,-0.05,-0.2,-0.2,0.133333333333333,0.15,0.15,-0.041025641025641,-0.15,-0.173076923076923,0.025,-0.2,0.0627956989247312,0.0942857142857143,-0.0133333333333333,0.1,0,0.0333333333333333,0,-0.1,0,-0.1,0,-0.1,-0.0166666666666667,0,-0.1,0,-0.06,0,-0.0666666666666667,-0.1
"AKT",-0.00735294117647059,-0.0313179289687634,-0.0193529411764706,-0.0315480631276901,-0.00620379299260688,0.000125320931443755,0.00458159269570239,-0.00730769230769231,0.0748151968368575,0.166666666666667,0.0156607271496754,0.166666666666667,0.0178214553166881,0.0212060707013035,-0.0653637205837476,-0.0528511016214737,0.16078431372549,0.163348416289593,0.0522373051784817,0.203480524077037,0,0.0315709060971313,-0.0722222222222222,0.0673076923076923,-0.0815212522518136,0.0608560794044665,0.0571975428191007,0.141581666702207,-0.0576699282452707,-0.0576699282452707,0.0986516470387438,0.0576699282452707,0.0646578800524996,0.0874052989905652,-0.208142150247413,0.0471198231039105,0.0377634483559893,0.0680116959064327,0.0666666666666667,0.0630101640656262,0.0640202650757273,0.0666666666666667,-0.0111111111111111,0.05,-0.0328502415458937,-0.0111111111111111,-0.025157933853586,0.0151574891334617,-0.0328502415458937,-0.0155534140795747,-0.025157933853586,0.0246711728169529,-0.0333333333333333,0.0312459483240647,0.00784313725490196
"PI3K",-0.025,-0.0298141695702671,-0.00735294117647059,-0.0193529411764706,-0.00784313725490196,-0.00620379299260688,0.00649114043439585,0.0126923076923077,0.080952380952381,0.2,0.025157933853586,0.166666666666667,0.0155534140795747,0.0178214553166881,-0.0600606902807173,-0.0566105001177143,0.166666666666667,0.16078431372549,0.163348416289593,0.207590113118133,0.1,0.029668507420539,-0.0666666666666667,0.075,-0.0815212522518136,0.0673076923076923,0.0608560794044665,0.145324982210228,-0.0521904761904762,-0.0521904761904762,0.10026455026455,0.0521904761904762,0.0576699282452707,0.0907692133636538,-0.217543859649123,0.046610139107988,0.0443859649122807,0.0722222222222222,0.0666666666666667,0.0654101640656262,0.0630101640656262,0.05,0,0,-0.0111111111111111,0,-0.0328502415458937,0.0209219001610306,-0.0111111111111111,-0.025157933853586,-0.0328502415458937,0.0165966386554622,-0.0333333333333333,0.0315480631276901,-0.0333333333333333
"GSK3",0.0823188405797101,0.0729901188163122,0.0699378881987578,0.0661051355855174,0.0234350582338198,0.0149123309610926,0.100178226911656,0.0344560752161433,0.0684007446155353,0.0466666666666667,0.0152046783625731,0.0466666666666667,0.0200751087498605,0.0199435298024921,-0.0535134649408388,-0.0435435896044939,0.0591666666666667,0.0465229885057471,0.0490870910698497,0.207703363187037,0,0.0170764886792721,-0.0577131325696534,0.0623249299719888,-0.0682617045982693,0.0546326222796811,0.0606066482537071,0.144012161203289,-0.0414049883224209,-0.0414049883224209,0.00727358286479688,0.0414049883224209,0.0393041479862864,-0.0352185941530016,-0.207893521300909,0.0427043354922511,0.0346730863711153,0.0543638502730027,0.0607806172322301,0.0531079558544466,0.0544572811917779,0.0543290043290043,-0.0263157894736842,0.0590909090909091,-0.0263157894736842,-0.0263157894736842,-0.0150575113279888,-0.00544023945945078,-0.0263157894736842,-0.0155337018041793,-0.0152046783625731,0.00596570096570097,-0.012156862745098,-0.0720025714829532,-0.012156862745098
"STAT",0.122727272727273,0.110024539877301,0.116477272727273,0.111214114832536,0.209019607843137,0.220847564832385,0.17438123467676,0.0802545155993432,0.152270866388513,0,0.106464858670741,-0.05,0.103611377231251,0.105399219901096,0.0433160149000536,-0.0666666666666667,-0.07,-0.0461904761904762,-0.0546650524616626,0.241742872512103,0,0.0792134227913314,-0.0753100775193798,-0.0725490196078431,-0.11278465124619,-0.064440911499735,-0.0731787755774049,0.152048532875326,0.0858664185277088,0.0858664185277088,-0.0601090342679128,-0.0858664185277088,-0.0828813439008432,0.0342892406610548,-0.152792632204397,-0.0187043613201196,0.0721001526112839,0.0726552102627427,0.0683333333333333,0.0602254428341385,0.0556277416847132,0.075,-0.0857142857142857,0.05,-0.0982142857142857,-0.0857142857142857,-0.107305194805195,-0.0267627346397039,-0.0982142857142857,-0.106450493950494,-0.107305194805195,-0.0722635135135135,-0.266666666666667,-0.103001554446062,-0.226666666666667
"SRC",0.266666666666667,0.21593370681606,0.229166666666667,0.219642857142857,-0.0656565656565657,-0.078864112826377,0.0507749013572339,0.0328571428571429,0.143546262059586,0.1,0.0981967213114754,0.1,0.100635745701719,0.0950429045384084,0.00800179667826726,-0.0835567692816948,0.0333333333333333,0.0102564102564103,0.0213675213675214,0.248397723869422,0,0.056335005574136,-0.114444444444444,0.03,-0.0707322551662174,0.0157142857142857,0.0264285714285714,0.191922119748207,-0.110538172715895,-0.110538172715895,-0.054025974025974,0.110538172715895,0.101447263624986,-0.0163950991537199,-0.166149870801034,-0.00240158658883401,0.0933209832980475,0.117385620915033,0.103333333333333,0.115789473684211,0.104077761972499,0.0833333333333333,0,0.0333333333333333,-0.1,-0.1,-0.09,-0.0917121497052015,-0.1,-0.0981967213114754,-0.09,-0.0280873248615184,0.0666666666666667,-0.217824675324675,0.0212121212121212
"NOTCHic",0.188888888888889,0.155510204081633,0.168888888888889,0.15921146953405,0.21952380952381,0.225238095238095,0.182924987133404,0.207081339712919,0.0210100329439952,0,0.0175261297841943,-0.0333333333333333,0.0211759668902526,0.0225500126917793,0.0236053337909314,0.0422965440356745,-0.0444444444444444,-0.0333333333333333,-0.0356589147286822,0.259549114331723,0,0.0164161344254802,-0.066025641025641,0.0657142857142857,-0.10805152979066,-0.0310599078341014,-0.028428328886733,0.166114155593924,-0.0485902503293808,-0.0485902503293808,0.0239392356163516,0.0485902503293808,0.0520385261914497,-0.0653238460718474,-0.265131124913734,-0.00574075519362034,0.0413159663490789,0.0584987593052109,0.066025641025641,0.0552380952380952,0.0545186707776636,0.0583333333333333,-0.02,0.0333333333333333,-0.0276923076923077,-0.02,-0.0186013986013986,-0.047006512006512,-0.0276923076923077,-0.0175024975024975,-0.0186013986013986,-0.0915306160570852,-0.26,-0.161122297559528,-0.226666666666667
"SOSGRB2",0.185714285714286,0.17956043956044,0.175714285714286,0.17956043956044,0.174131274131274,0.18019188019188,0.338852043411802,0.2325,0.146204620462046,0.3,0.124792960662526,0.3,0.125345973629726,0.120948268084793,0.119950646045584,0.0992424242424242,0.288888888888889,0.294152046783626,0.281652046783626,0.261040100250627,0,0.127186944301038,-0.0297297297297297,0.272727272727273,0.011516290726817,0.272727272727273,0.268501920614597,0.220708140972275,-0.253860640301318,-0.253860640301318,0.177175531341029,0.253860640301318,0.250014486455164,-0.0589275362318841,-0.266754385964912,-0.0636055146055146,0.0407782701154781,0.0274041483343809,0,0.02,0.0193006993006993,-0.0333333333333333,-0.1,0,-0.114285714285714,-0.1,-0.101242236024845,-0.163150675195451,-0.114285714285714,-0.12008281573499,-0.105952380952381,-0.194773391812865,-0.138095238095238,-0.170340581404411,-0.171428571428571
"Csl",0.168888888888889,0.15953319258738,0.15921146953405,0.161122297559528,0.225238095238095,0.217629399585921,0.184043555366066,0.203016299062512,0.0228095188051777,-0.0333333333333333,0.0207519362358072,-0.0444444444444444,0.0225500126917793,0.0219210818741693,0.0247681244886058,0.0416429492644327,-0.0333333333333333,-0.0356589147286822,-0.0302325581395349,0.261759059083104,0.02,0.015989565260337,-0.0584987593052109,-0.0310599078341014,-0.103079154100053,-0.028428328886733,-0.0247919652503693,0.168510669755144,-0.0520385261914497,-0.0520385261914497,0.0220246553512559,0.0520385261914497,0.0479944085443909,-0.0664525142434049,-0.260845410628019,-0.00436460840462952,0.0433992996824123,0.0576366903396937,0.066025641025641,0.0545186707776636,0.0534075596665525,0.066025641025641,-0.0276923076923077,0.0583333333333333,-0.0186013986013986,-0.0276923076923077,-0.0175024975024975,-0.047006512006512,-0.0186013986013986,-0.0211759668902526,-0.0175261297841943,-0.0965997404810483,-0.226666666666667,-0.164523658103746,-0.21952380952381
"NOTCH",0.2,0.155510204081633,0.188888888888889,0.168888888888889,0.226666666666667,0.21952380952381,0.181522181522181,0.225263157894737,0.0223989218328841,0,0.0186013986013986,0,0.0175024975024975,0.0211759668902526,0.0249835880022637,0.0376811594202899,-0.0333333333333333,-0.0444444444444444,-0.0333333333333333,0.264734299516908,0,0.0147494677588136,-0.066025641025641,0.08,-0.111755233494364,0.0657142857142857,-0.0310599078341014,0.169004329004329,-0.0442424242424242,-0.0442424242424242,0.0255921281783351,0.0442424242424242,0.0485902503293808,-0.0646949152542373,-0.275845410628019,-0.00837767202932014,0.0446272246272246,0.066025641025641,0.0583333333333333,0.0619047619047619,0.0552380952380952,0.0333333333333333,0,0,-0.02,0,-0.0276923076923077,-0.0401282051282051,-0.02,-0.0186013986013986,-0.0276923076923077,-0.0957559681697613,-0.2,-0.15921146953405,-0.26
"ERK",0.216190476190476,0.20720577341267,0.202171784601691,0.191222879492202,0.274546343849352,0.280395926022054,0.510140611796064,0.38639975342888,0.166221283030483,0.214285714285714,0.135320293741346,0.226785714285714,0.133587012497714,0.136087012497714,0.154439506565285,0.0965209599172806,0.211634199134199,0.215163610898905,0.210576454935602,0.308473796227408,0.1,0.0789851235836658,0.0558615664845173,0.186441336441336,-0.0313485365979181,0.179871993375643,0.175716868721903,0.238335468542912,-0.0577899877899878,-0.0577899877899878,0.0970256391556177,0.0577899877899878,0.0592201308042892,-0.0950202985668434,-0.315981003859286,-0.081706646517051,-0.0499822596669306,-0.0515137403975608,-0.0669726775956284,-0.0690607582209225,-0.0708844664276094,-0.0653333333333333,-0.105263157894737,-0.0933333333333333,-0.12834008097166,-0.11,-0.131836584468163,-0.129533340581705,-0.133076923076923,-0.130055413984703,-0.136573426573427,-0.246883204241967,-0.367241379310345,-0.187376725646048,-0.377879677182685
"MEK",0.206666666666667,0.211137397344294,0.216190476190476,0.202171784601691,0.377879677182685,0.274546343849352,0.507976499983621,0.397079365079365,0.164107461892272,0.2,0.136573426573427,0.214285714285714,0.130055413984703,0.133587012497714,0.15557235929443,0.100275226128885,0.226785714285714,0.211634199134199,0.215163610898905,0.31398560725103,0.1,0.0768430717234629,0.0669726775956284,0.197979797979798,-0.0305611350231149,0.186441336441336,0.179871993375643,0.240051154817422,-0.06001221001221,-0.06001221001221,0.0962082004635196,0.06001221001221,0.0577899877899878,-0.09710074239486,-0.319081779053085,-0.0823506207580813,-0.0508858741247619,-0.0558615664845173,-0.0653333333333333,-0.0738578061914022,-0.0690607582209225,-0.0933333333333333,-0.1,-0.133333333333333,-0.105263157894737,-0.1,-0.12834008097166,-0.131616673915038,-0.11,-0.131836584468163,-0.133076923076923,-0.251061477222468,-0.35,-0.191222879492202,-0.367241379310345
"RAF",0.2,0.219245505452402,0.206666666666667,0.216190476190476,0.367241379310345,0.377879677182685,0.507003263973888,0.388190476190476,0.155098452883263,0.2,0.133076923076923,0.2,0.131836584468163,0.130055413984703,0.153386566944703,0.10572977158343,0.214285714285714,0.226785714285714,0.211634199134199,0.317160210425634,0,0.0768430717234629,0.0653333333333333,0.188888888888889,-0.0361166905786705,0.197979797979798,0.186441336441336,0.244695117665719,-0.0642857142857143,-0.0642857142857143,0.0964539007092199,0.0642857142857143,0.06001221001221,-0.0981996434937611,-0.315160210425634,-0.0762530597824716,-0.0549842347804996,-0.0669726775956284,-0.0933333333333333,-0.0788083012409071,-0.0738578061914022,-0.133333333333333,-0.1,-0.1,-0.1,-0.1,-0.105263157894737,-0.138026930325294,-0.1,-0.12834008097166,-0.11,-0.245798319327731,-0.3,-0.202171784601691,-0.35
"cMet",0.3,0.25998417721519,0.275,0.252777777777778,0.25,0.237272727272727,0.300349350568329,0.3,0.178412698412698,0.2,0.147575757575758,0.3,0.158884913536076,0.162839715795963,0.109401056320811,0.0737530099759202,0.3,0.266666666666667,0.260416666666667,0.321933621933622,-0.1,0.144428385604856,0.0227272727272727,0.285714285714286,0.0630591630591631,0.248872180451128,0.242489201727724,0.278093983311375,-0.245714285714286,-0.245714285714286,0.145065284178187,0.245714285714286,0.240053908355795,-0.158585010495123,-0.226984126984127,-0.0569772398420085,-0.00846052498226411,-0.000852272727272729,-0.05,-0.0123582766439909,-0.0087219130076273,-0.05,0,-0.1,-0.05,-0.1,-0.156666666666667,-0.245609980266537,-0.15,-0.145038759689922,-0.156666666666667,-0.276296296296296,-0.15,-0.25065011820331,-0.21
"CD44",0.2,0.26125,0.3,0.275,0.21,0.25,0.294509934509935,0.3,0.18,0.1,0.156666666666667,0.2,0.145038759689922,0.158884913536076,0.119324720442949,0.0953216374269006,0.3,0.3,0.266666666666667,0.326984126984127,-0.1,0.140374331550802,0.05,0.3,0.053968253968254,0.285714285714286,0.248872180451128,0.278093983311375,-0.214285714285714,-0.214285714285714,0.143452380952381,0.214285714285714,0.245714285714286,-0.152967032967033,-0.222222222222222,-0.0644505494505495,-0.0171561771561772,-0.0227272727272727,-0.05,-0.0388888888888889,-0.0123582766439909,-0.1,0.1,-0.1,0,0,-0.05,-0.265948963317384,-0.1,-0.156666666666667,-0.15,-0.261481481481481,-0.2,-0.252777777777778,-0.15
