"","TGF","cfos","ERK","EGR1","HEY1","Patched","SHH","SMAD","SMO","ILK","TWIST1","IKK","SRC","TCFLEF","cateninnuc","TrCP","STAT","LIV1","Frizzled","GLI","Wnt","DSH","Csl","NOTCHic","RAS","PI3K","DELTA","FOXC2","SNAI2","GSK3","RAF","RKIP","Jagged","NOTCH","Destcompl","Csn","SNAI1","cMet","CD44","NFB","AKT","SUFU","AXIN2","FUS","MEK","PAK1","CDC42","TGFR","cateninmemb","SOSGRB2","Ecadherin","miR200","ZEB2","ZEB1","KLF4"
"TCFLEF",-0.0799565212240401,0.039581881533101,0.0443437862950058,0.0371428571428571,-0.0121068290671488,0.0631490015360983,0.0631490015360983,-0.00863210026921408,0.0647619047619048,-0.00997053239158502,-0.0153363560837337,-0.0338701298701299,0.0125,-0.0864723972023136,-0.0866442185081555,-0.0571428571428571,0.0125,0,0.00588235294117647,0.00611593578345497,0.00673705379587732,0.00588235294117647,-0.0360752431053722,-0.0341144587916467,-0.0294959582974877,-0.0296273643421658,-0.0296273643421658,-0.00660764446971959,0.27860337665643,-0.130610121275104,0.0296273643421658,0.0778247692519631,0.0784309891209548,0.0324533292235404,-0.11048820892707,0.0298701298701299,-0.0118088234406226,-0.0133547008547009,-0.0127257700370908,0.0338701298701299,0.0393049124788255,-0.0666666666666667,-0.362192918192918,-0.06,-0.0477451468392235,0.0846153846153846,0.0776386404293381,0.0776386404293381,0.15067346465458,-0.0444993090741594,0.131067762460473,-0.0190257132425807,0.0230777954988481,0.0230777954988481,0.120690094219506
"Destcompl",-0.109551094484981,0.00727272727272727,0.00891207153502235,0.0133333333333333,-0.0193162393162393,0.0515891449784607,0.0513957213807818,-0.0214661654135338,0.0521072796934866,-0.0213492063492064,-0.0162897023870675,-0.0965530748139444,-0.00974124809741248,-0.0099034507826166,-0.00985245639199957,-0.1,-0.0111111111111111,-0.0111111111111111,-0.00974124809741248,-0.00980370332252683,-0.0107313471073135,-0.0111111111111111,0.0262828045436741,0.0262828045436741,0.0851886308923347,0.0844037015359768,0.0844037015359768,0.0786955582409745,-0.0968562124152895,0.0121673462575044,-0.0844037015359768,0.0305536767307659,0.00153361813662504,-0.0264832053452773,-0.0812224040367398,0.1,0.025695169410311,0.0102387605352234,0.00949249187850701,0.0956521739130435,0.097895356693139,-0.0555555555555556,-0.091043994407502,-0.0521072796934866,-0.00933401246329239,0.112244897959184,0.110175932441942,0.109649616652469,0.0346499508259489,0.0210071481916142,0.065533763299503,-0.037095166709589,0.0380030248300369,0.0380030248300369,0.0489713544091467
"SOSGRB2",-0.0711690437222352,-0.0253968253968254,-0.0280995280995281,-0.0142857142857143,-0.0241477272727273,-0.0301801801801802,-0.0255290173894825,-0.0199443567185503,-0.0166666666666667,-0.0234408602150538,-0.0204347826086957,-0.183625730994152,-0.0428571428571429,-0.0349547782499727,-0.0339987553054221,-0.3,0,0,-0.0428571428571429,-0.0330745341614907,-0.0345238095238095,0,0.0909090909090909,0.0832167832167832,0.0409821816601478,0.0384180790960452,0.0384180790960452,0.0314407814407814,-0.20671760127442,-0.0394919744428861,-0.0384180790960452,-0.0738669590643275,-0.000985334361311859,-0.0789914311041072,0.0267395170079734,0.2,0.0223944562899787,0.0385093167701863,0.0370600414078675,0.188888888888889,0.187792397660819,0,0.0405734323432343,0,0.0280995280995281,0.107142857142857,0.0771428571428571,0.0732967032967033,0.168026793026793,0.101944444444444,0.185642488855182,-0.0306308181336562,0.0500125313283208,0.0500125313283208,0.0642982456140351
"Wnt",-0.30231884057971,-0.0333333333333333,-0.0333333333333333,0,-0.041025641025641,-0.0272727272727273,-0.032034632034632,-0.054462333532101,0,-0.0521367521367521,-0.115882352941176,-0.153333333333333,0,-0.0018796992481203,0.00143155903002539,-0.1,0.1,0,0.1,0.00526315789473684,0,0.2,0.1,0.114285714285714,0.186431989063568,0.190977443609023,0.190977443609023,0.077165991902834,-0.105,0.0943573667711599,-0.190977443609023,0.188333333333333,0.0254656862745098,-0.105952380952381,0.0315602671274459,0.1,0.173033126293996,0,-0.00526315789473684,0.133333333333333,0.153333333333333,0,-0.0575757575757576,0,0.0509803921568627,0.3,0.3,0.306666666666667,0.0858898305084746,0.160606060606061,0.187020905923345,-0.034040404040404,0.0545671927307508,0.0545671927307508,0.0862745098039216
"FUS",-0.254397163120567,-0.143076923076923,-0.146107226107226,-0.12,-0.0893295110686415,0.0886111111111111,0.0876010101010101,-0.0900307219662058,0.0941666666666667,-0.0880952380952381,-0.0707727360868722,-0.118285714285714,-0.00666666666666667,-0.000892117023951465,-0.000892117023951465,-0.1,0,0,0.0875,0.0930555555555556,0.0930555555555556,0.1,-0.00909090909090909,-0.0140909090909091,0.00917006155720993,0.00786001788908766,0.00786001788908766,0.0868965517241379,-0.183117706770279,0.0131555794704803,-0.00786001788908766,0.108177057764687,0.103970485115063,0.0140909090909091,-0.00803841775832949,0.1,0.144897545141002,0.00111111111111111,0.000140237324703344,0.114285714285714,0.122131868131868,-0.0666666666666667,-0.143911161302466,-0.106666666666667,0.149555501969295,0.253333333333333,0.253333333333333,0.253333333333333,0.00394185138463386,0.206815114709852,0.115658554567325,-0.0250374494954016,0.0566340854736404,0.0566340854736404,0.0660291438979964
"SUFU",-0.254988879096899,-0.146107226107226,-0.149555501969295,-0.143076923076923,-0.0917391496228584,0.0876010101010101,0.086442708942709,-0.0902616688484229,0.0886111111111111,-0.0900307219662058,-0.0718036639219238,-0.122131868131868,-0.00111111111111111,-0.000892117023951465,-0.00155707866078011,-0.1,-0.00666666666666667,0,0.0930555555555556,0.0926838083436596,0.0930555555555556,0.0875,-0.0140909090909091,-0.0140909090909091,0.0104358843420201,0.00917006155720993,0.00917006155720993,0.0881372465132198,-0.183579143817082,0.0126414406529996,-0.00917006155720993,0.109401547560605,0.104208014806275,0.0125036075036075,-0.00766627528092386,0.114285714285714,0.145749333897391,0.000140237324703344,0.000892117023951465,0.118285714285714,0.129514418467439,-0.106666666666667,-0.143676969264995,-0.0941666666666667,0.14657677856504,0.253333333333333,0.253333333333333,0.254397163120567,0.00503325656880849,0.206115814010551,0.116379460849508,-0.0268961855548812,0.0600157279857177,0.0600157279857177,0.0642327367123676
"DSH",-0.297208503762056,-0.0509803921568627,-0.047276688453159,-0.0333333333333333,-0.0431533006001091,-0.032034632034632,-0.0351021166972087,-0.0557742714619193,-0.032034632034632,-0.0553969129713533,-0.115416294177245,-0.159583333333333,0.00526315789473684,0.000955368553834919,0.00104441574884828,-0.133333333333333,0,0,0.00526315789473684,0.00138827460808885,-0.0018796992481203,0,0.105952380952381,0.103991596638655,0.191315202191339,0.188794193787977,0.188794193787977,0.0799244737310833,-0.105664700719419,0.0950154557819171,-0.188794193787977,0.184062604062604,0.0247609646395556,-0.104690897337956,0.0315698850430918,0.153333333333333,0.174910282953761,0.0018796992481203,-0.00143155903002539,0.153333333333333,0.158433908045977,0,-0.0533465357133299,0.0272727272727273,0.0480285681524072,0.306666666666667,0.30231884057971,0.297556935817805,0.0867244258307024,0.163636363636364,0.187462957287258,-0.0418147942843065,0.064717656596035,0.064717656596035,0.0742079356014251
"GSK3",-0.297464914018467,-0.047276688453159,-0.0480285681524072,-0.0509803921568627,-0.0441913628838461,-0.0351021166972087,-0.0341451788981657,-0.0547247961995505,-0.032034632034632,-0.0557742714619193,-0.11580041709658,-0.158433908045977,-0.0018796992481203,0.00104441574884828,0.00104441574884828,-0.153333333333333,0.00526315789473684,0,-0.0018796992481203,0.000916576494881303,0.00138827460808885,0.00526315789473684,0.103991596638655,0.104690897337956,0.190474866056885,0.191315202191339,0.191315202191339,0.0807219218969525,-0.105578419442456,-0.00381981876051219,-0.191315202191339,0.184814483761852,0.0246149792380958,-0.103911676558735,0.0308301879666564,0.153333333333333,0.174799540982554,-0.00143155903002539,-0.000955368553834919,0.159583333333333,0.160143309755379,0.0272727272727273,-0.0531943287118079,0.032034632034632,0.0468922045160435,0.30231884057971,0.297556935817805,0.297208503762056,0.0872549298094822,0.162241014799154,0.187561738979717,-0.0470902925258071,0.0702154277698834,0.0702154277698834,0.0658109890365395
"Frizzled",-0.297556935817805,-0.0333333333333333,-0.0509803921568627,-0.0333333333333333,-0.0431533006001091,-0.032034632034632,-0.032034632034632,-0.0553969129713533,-0.0272727272727273,-0.054462333532101,-0.116834733893557,-0.153333333333333,0,0.00143155903002539,0.000955368553834919,-0.1,0,0.1,0,-0.0018796992481203,0.00526315789473684,0.1,0.114285714285714,0.105952380952381,0.188794193787977,0.186431989063568,0.186431989063568,0.0794915732981828,-0.105315457413249,0.0961755485893417,-0.186431989063568,0.184761904761905,0.0224353832442068,-0.103991596638655,0.0302340071804963,0.133333333333333,0.174620427881297,-0.00526315789473684,0.0018796992481203,0.153333333333333,0.159583333333333,0,-0.0529245947850599,0,0.047276688453159,0.3,0.306666666666667,0.30231884057971,0.0868422114608555,0.163636363636364,0.186321605224044,-0.052790404040404,0.0733790739188696,0.0733790739188696,0.057703081232493
"ILK",-0.29781731229077,-0.0476190476190476,-0.065266106442577,-0.0333333333333333,-0.0501933878182491,-0.0333333333333333,-0.0361111111111111,-0.0636565026010404,-0.0333333333333333,-0.0612565026010404,-0.111577232461053,-0.0392156862745098,0.0111111111111111,0.0030257795917339,0.00240722289070297,0,0,0.1,0.0111111111111111,-0.000929022668153104,0.00676328502415459,0,0.1,0.0846153846153846,0.156211587499259,0.153471861471861,0.153471861471861,0.0850638792102207,-0.135132949359224,0.0882034632034632,-0.153471861471861,0.189447317388494,0.0256140350877193,-0.0878411910669975,0.0178044303598883,0.0333333333333333,0.189641706924316,-0.00676328502415459,0.000929022668153104,0.0333333333333333,0.0469079939668175,0,-0.0578095238095238,0,0.0603480736556918,0.3,0.305882352941176,0.301882352941176,0.0562617560071248,0.178076923076923,0.145826569295532,-0.0598202897383225,0.0862305857149812,0.0862305857149812,0.0723684210526316
"TGFR",-0.0250447483958122,-0.171929824561404,-0.169707602339181,-0.166666666666667,-0.156360364521686,-0.146113505747126,-0.148938364504189,-0.150756653899806,-0.142988505747126,-0.150400782013685,0.000541057071306182,-0.253070175438597,0,-0.00482305678432789,-0.00420303906953604,-0.233333333333333,0,0,0.0142857142857143,0.0105608207981915,0.00862533692722372,0.0142857142857143,-0.0333333333333333,-0.0298850574712644,0.124979114452799,0.123809523809524,0.123809523809524,0.12393806449863,-0.126030909353308,-0.108336798452062,-0.123809523809524,0.0226406926406926,0.14327549038441,0.0320433308525593,-0.00621015225516945,0.258333333333333,0.02949204589993,0.00566037735849057,0.00434458788480636,0.258333333333333,0.250744594043248,0.153333333333333,0.00413288825305993,0.153333333333333,0.17107746535288,0.131111111111111,0.131111111111111,0.0257539682539683,0.0123094720897522,0.281497725795971,0.0189164356781324,-0.0626812317579837,0.0877730720267744,0.0877730720267744,0.0924839272093277
"STAT",-0.222053342347965,-0.233333333333333,-0.227450980392157,-0.233333333333333,-0.0733333333333333,-0.0706589147286822,-0.0733137819853193,-0.0758676217446832,-0.0683333333333333,-0.0747181964573269,-0.207827471545612,-0.0542857142857143,-0.0857142857142857,-0.0875153588087342,-0.0878729273427032,0,-0.0857142857142857,0,-0.0857142857142857,-0.0865546218487395,-0.0857142857142857,-0.0857142857142857,-0.00588235294117647,0.00222575516693164,-0.0133478081058726,-0.0133478081058726,-0.0133478081058726,-0.0167293796864349,-0.0400204080249113,0.11272808188696,0.0133478081058726,0.0893693693693694,0.0122273092650194,-0.00513837652615494,0.0833200281600727,0,0.139410543373677,0.0857142857142857,0.0865689865689866,0.04,0.0627602905569007,0.05,0.133868092691622,0.075,0.226375711574953,0.209090909090909,0.215340909090909,0.220604066985646,0.247222062349565,0.326067323481117,0.291865295987692,-0.0483244238168523,0.0917428725121033,0.0917428725121033,0.194583085759556
"Jagged",-0.223111111111111,-0.2,-0.22,-0.1,-0.166666666666667,-0.0583333333333333,-0.066025641025641,-0.0714285714285714,-0.0333333333333333,-0.0666666666666667,-0.129,-0.0333333333333333,0,-0.0153379953379953,-0.0164368964368964,0,0,0,0,-0.0123076923076923,-0.02,0,-0.1,-0.12,0.0624242424242424,0.0533333333333333,0.0533333333333333,0.0142857142857143,-0.158019105077929,0.0409961685823755,-0.0533333333333333,0.107692307692308,0.0338528138528138,0.12,0.0156911196911197,0,0.15,0.02,0.0123076923076923,0,0.0666666666666667,0,0.0142857142857143,0,0.22,0.2,0.2,0.211111111111111,0.0404591183464423,0.22,0.0645964912280702,-0.0521212121212121,0.092512077294686,0.092512077294686,0.105555555555556
"ZEB1",0.195930810391865,0.120666666666667,0.119490196078431,0.116666666666667,0.1470418614201,0.101581996434938,0.100514380776575,0.134822054508426,0.0996212121212121,0.134341285277656,0.024563885571881,0.134731090020132,-0.000375234521575986,-0.0052971855714995,-0.00559072764586349,0.133333333333333,-0.00769230769230769,0,-0.00696864111498258,-0.0117069440491618,-0.0127378718842133,-0.0142857142857143,0.108333333333333,0.108333333333333,-0.0305716927668621,-0.0304142124519015,-0.0304142124519015,-0.0236345122806595,0.146216581461086,0.0130061982772323,0.0304142124519015,-0.0876187126864109,-0.119792972266519,-0.108333333333333,0.0298178359488082,-0.113333333333333,-0.10573345100229,0.00625758746275246,0.00556314301830801,-0.139649122807018,-0.137588232877275,-0.0916666666666667,0.104417600576642,-0.104166666666667,-0.120811781981515,-0.192337164750958,-0.193786440113277,-0.196324511179267,0.233828302314621,-0.155477582846004,0.171134871743332,0.168763811508557,0.0962578471591612,0.0962578471591612,0.0821132717841908
"AXIN2",-0.142606212809088,0.0108943089430894,0.00622141174682775,0.0133333333333333,-0.018714382304646,0.0857600732600733,0.0847764667026962,-0.0214228203358638,0.0875457875457875,-0.0210259949390384,-0.019823977139731,-0.147342995169082,0.0910077519379845,0.091043994407502,0.0909142927213801,-0.133333333333333,0.0933333333333333,0.1,0.0910077519379845,0.0903788211203744,0.0910077519379845,0.0933333333333333,0.0266666666666667,0.0248809523809524,0.14282719710069,0.142302262717488,0.142302262717488,0.111076511310703,-0.144473272618949,0.118963562753036,-0.142302262717488,0.134885974240813,0.100935797457537,-0.0242052767052767,0.125063358119465,0.144444444444444,0.133421018634708,-0.0910077519379845,-0.0906922945247353,0.148792270531401,0.147342995169082,-0.1,0.308626935387537,-0.0923076923076923,-0.00553175657441396,0.142916666666667,0.144151234567901,0.143266278815689,-0.0631328128368645,0.0237287319194753,0.0799922249916096,-0.0649453662593267,0.101902649020118,0.101902649020118,0.102300566333666
"NOTCH",-0.226336917562724,-0.22,-0.22,-0.2,-0.171014492753623,-0.066025641025641,-0.066025641025641,-0.0747619047619048,-0.0583333333333333,-0.0714285714285714,-0.130694915254237,-0.0666666666666667,-0.02,-0.0164368964368964,-0.0160287331715903,0,0,0,-0.02,-0.0153379953379953,-0.0123076923076923,0,-0.12,-0.12,0.0609749670619236,0.0624242424242424,0.0624242424242424,0.0122448979591837,-0.160664607723431,0.0432688958551027,-0.0624242424242424,0.104244031830239,0.0338528138528138,0.0167741935483871,0.013821960812615,0,0.151538461538462,0.0123076923076923,0.0153379953379953,0.0333333333333333,0.0777777777777778,0,0.0161725067385445,0.0333333333333333,0.22,0.2,0.211111111111111,0.223111111111111,0.0441240398124109,0.235789473684211,0.0678222976796831,-0.0606926406926407,0.107326892109501,0.107326892109501,0.092512077294686
"TrCP",-0.23465541209032,-0.235652173913043,-0.233957258658806,-0.24,-0.0788745333215745,-0.0791375092450361,-0.0801375092450361,-0.078358081583888,-0.0729646697388633,-0.078358081583888,-0.153134199134199,-0.0885964912280702,-0.0911111111111111,-0.0905096185294205,-0.0903716874949378,-0.0333333333333333,-0.08,-0.1,-0.0911111111111111,-0.0889673370417915,-0.0884795321637427,-0.08,-0.00897435897435897,-0.00435897435897436,0.0602068992169423,0.0620250810351241,0.0620250810351241,0.00561081623566163,-0.145520358479797,0.0924074675324675,-0.0620250810351241,0.108617754253113,0.0306829413769598,0.00545787545787546,0.0924687063440066,0.0583333333333333,0.157901001146825,0.0884084084084084,0.0893985074183094,0.0833333333333333,0.0923001949317739,0.0761904761904762,0.118724168912848,0.0761904761904762,0.236623925325473,0.228571428571429,0.230532212885154,0.233562515915457,0.179948348224095,0.271025852585259,0.196431502628176,-0.0522706052117817,0.108449446230797,0.108449446230797,0.103269841269841
"LIV1",-0.23465541209032,-0.235652173913043,-0.233957258658806,-0.24,-0.0788745333215745,-0.0791375092450361,-0.0801375092450361,-0.078358081583888,-0.0729646697388633,-0.078358081583888,-0.153134199134199,-0.0885964912280702,-0.0911111111111111,-0.0905096185294205,-0.0903716874949378,-0.0333333333333333,-0.08,-0.1,-0.0911111111111111,-0.0889673370417915,-0.0884795321637427,-0.08,-0.00897435897435897,-0.00435897435897436,0.0602068992169423,0.0620250810351241,0.0620250810351241,0.00561081623566163,-0.145520358479797,0.0924074675324675,-0.0620250810351241,0.108617754253113,0.0306829413769598,0.00545787545787546,0.0924687063440066,0.0583333333333333,0.157901001146825,0.0884084084084084,0.0893985074183094,0.0833333333333333,0.0923001949317739,0.0761904761904762,0.118724168912848,0.0761904761904762,0.236623925325473,0.228571428571429,0.230532212885154,0.233562515915457,0.179948348224095,0.271025852585259,0.196431502628176,-0.0522706052117817,0.108449446230797,0.108449446230797,0.103269841269841
"SNAI1",-0.23465541209032,-0.233957258658806,-0.236623925325473,-0.235652173913043,-0.0782792952263364,-0.0801375092450361,-0.0803316840023177,-0.0787270852739249,-0.0791375092450361,-0.078358081583888,-0.153441891441891,-0.0923001949317739,-0.0884084084084084,-0.0903716874949378,-0.0904749399471835,-0.0583333333333333,-0.0911111111111111,-0.08,-0.0884795321637427,-0.0895157831112613,-0.0889673370417915,-0.0911111111111111,-0.00435897435897436,-0.00545787545787546,0.0605353064419012,0.0602068992169423,0.0602068992169423,0.00573788103871119,-0.145620928375874,0.0919454213278471,-0.0602068992169423,0.109036164294954,0.0299770590240186,0.00504971219256933,0.0927428291510242,0.0833333333333333,0.057723065203764,0.0893985074183094,0.0905096185294205,0.0885964912280702,0.0950779727095516,0.0761904761904762,0.119656569845249,0.0729646697388633,0.236623925325473,0.230532212885154,0.233562515915457,0.23465541209032,0.180673736825131,0.271403211075825,0.197107881400289,-0.0506375600628864,0.108572447460809,0.108572447460809,0.1066966325471
"RKIP",-0.290529595015576,-0.17,-0.180344827586207,-0.12,-0.14541231126597,-0.14,-0.144918032786885,-0.149096645864843,-0.12,-0.148106546854942,-0.227400475341652,-0.214285714285714,-0.0333333333333333,-0.0378971905287695,-0.0376427376025608,-0.2,0,0,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,0,0.0111111111111111,0.00202020202020202,0.180982905982906,0.175,0.175,0.0466548776893605,-0.366222824503118,0.147005516154452,-0.175,0.113655462184874,0.10848896434635,0.00182595182595183,0.0431342571871954,0.2,0.287590200202114,0.0385964912280702,0.0385964912280702,0.214285714285714,0.223376623376623,0.1,0.0399085794655415,0.1,0.190983125458547,0.3,0.293333333333333,0.293333333333333,0.203701011936306,0.288190476190476,0.249129288503111,-0.0378998915374519,0.117628885700622,0.117628885700622,0.135628885700622
"RAF",-0.290529595015576,-0.17,-0.180344827586207,-0.12,-0.14541231126597,-0.14,-0.144918032786885,-0.149096645864843,-0.12,-0.148106546854942,-0.227400475341652,-0.214285714285714,-0.0333333333333333,-0.0378971905287695,-0.0376427376025608,-0.2,0,0,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,0,0.0111111111111111,0.00202020202020202,0.180982905982906,0.175,0.175,0.0466548776893605,-0.366222824503118,0.147005516154452,-0.175,0.113655462184874,0.10848896434635,0.00182595182595183,0.0431342571871954,0.2,0.287590200202114,0.0385964912280702,0.0385964912280702,0.214285714285714,0.223376623376623,0.1,0.0399085794655415,0.1,0.190983125458547,0.3,0.293333333333333,0.293333333333333,0.203701011936306,0.288190476190476,0.249129288503111,-0.0378998915374519,0.117628885700622,0.117628885700622,0.135628885700622
"GLI",-0.369436067205021,-0.314285714285714,-0.312987012987013,-0.314285714285714,-0.123300492188438,-0.0281462585034013,-0.0285577811371462,-0.122517741499415,-0.0220238095238095,-0.121977200958875,-0.166269195810792,-0.153186537773004,-0.0896774193548387,-0.09097612065354,-0.0909163477904199,-0.0833333333333333,-0.08,-0.1,-0.00967741935483871,-0.10807541685171,-0.00850094876660342,0,-0.0175773651635721,-0.0125773651635721,0.199207833634029,0.201386051455811,0.201386051455811,0.0294339095287238,-0.15497945127013,0.19760344775966,-0.201386051455811,0.114128503075871,0.0684503756964228,0.013529746115953,0.108614530561353,0.116666666666667,0.180811339198436,0.0896774193548387,0.0896774193548387,0.142982456140351,0.156311537773004,0.00952380952380951,0.119799214975845,0.0220238095238095,0.315749443926239,0.361666666666667,0.365114942528736,0.368259596616786,0.18173462031649,0.478710493046776,0.196764013045381,-0.0572213338776806,0.123375832053251,0.123375832053251,0.119972543972544
"MEK",-0.289799668008277,-0.180344827586207,-0.190983125458547,-0.17,-0.14541231126597,-0.144918032786885,-0.145571627558127,-0.150203656934954,-0.14,-0.149096645864843,-0.227766775707952,-0.223376623376623,-0.0385964912280702,-0.0376427376025608,-0.0378286112085088,-0.2,-0.0333333333333333,0,-0.0333333333333333,-0.0326340326340326,-0.0333333333333333,-0.0333333333333333,0.00202020202020202,-0.00182595182595183,0.183205128205128,0.180982905982906,0.180982905982906,0.050258481292964,-0.366952751510418,0.149216818365755,-0.180982905982906,0.113655462184874,0.109308636477497,0.00401573284784964,0.0425066421244339,0.214285714285714,0.286949174561088,0.0385964912280702,0.0378971905287695,0.214285714285714,0.226906035141329,0.1,0.0408094803664424,0.12,0.087649792125214,0.293333333333333,0.293333333333333,0.290529595015576,0.205408329009477,0.292634920634921,0.249493587228066,-0.0499741949430246,0.131120949192685,0.131120949192685,0.117981826877092
"SRC",-0.406215728715729,-0.260606060606061,-0.271717171717172,-0.233333333333333,-0.123030453492221,-0.0996296296296296,-0.111394335511983,-0.117537932669512,-0.103333333333333,-0.109429824561404,-0.258940255147152,-0.0217948717948718,-0.075,-0.089078368652539,-0.0906443641782661,0.1,0,0,-0.075,-0.0866393442622951,-0.085,-0.1,-0.08,-0.0847619047619048,0.116138354761634,0.113108051731331,0.113108051731331,0.1,-0.122345946027507,0.282077922077922,-0.113108051731331,0.166666666666667,0.0470230533992002,0.0776190476190476,0.093525641025641,-0.05,0.314766012471682,0.085,0.0866393442622951,-0.0166666666666667,0.0329059829059829,0.0333333333333333,0.129642143737515,0.0833333333333333,0.277377549075662,0.355555555555556,0.393055555555556,0.402579365079365,0.266583221074689,0.412857142857143,0.327142927878222,-0.0709559361733275,0.14177897574124,0.14177897574124,0.226356589147287
"miR200",0.000347881087919039,-0.0142857142857143,-0.0142857142857143,-0.0142857142857143,2.82485875706215e-05,-0.0212658227848101,-0.0212658227848101,-0.000571476128387938,-0.02,-0.000884955752212389,-0.101538461538462,0.017593984962406,-0.104347826086957,-0.104459796285175,-0.10461131143669,0,-0.1,-0.1,-0.104,-0.103690450394676,-0.102591549295775,-0.1,0.00916256157635468,0.00916256157635468,-0.0782262292985485,-0.078974358974359,-0.078974358974359,-0.0212402231914427,0.122498082331449,0.0131710078223614,0.078974358974359,-0.00337658910783787,-0.0218692240070327,-0.010857476830592,0.083500870231648,-0.02,0.000182040182040182,0.102939375382731,0.104062970888349,-0.0147368421052632,-0.0138204000567456,0.02,0.148568407599396,0.02,0.0136054421768707,0,-0.00196078431372549,-0.000347881087919039,0.267002245678342,0.023030303030303,0.304168046019183,0.248853514419261,0.311129032258065,0.311129032258065,0.311525189786059
"ZEB2",-0.195099292242149,-0.16359649122807,-0.160370684776457,-0.158333333333333,-0.146407624633431,-0.138867595818815,-0.137958504909724,-0.136913677185062,-0.136428571428571,-0.13569416498994,-0.123142321080219,-0.116111111111111,-0.106666666666667,-0.103959585975894,-0.103829715846024,-0.1,-0.1,-0.1,-0.0975757575757576,-0.0942824148328735,-0.0924475524475524,-0.0909090909090909,-0.0897435897435898,-0.0857435897435898,-0.0506470331952131,-0.0504329004329004,-0.0504329004329004,-0.0144257964257964,-0.0111385558418103,0.0137140598512495,0.0504329004329004,0.0684219001610306,0.084620212835995,0.0851971416561581,0.0886228036029665,0.0888888888888889,0.0954608840527318,0.10140350877193,0.103255360623782,0.113888888888889,0.120784008307373,0.125,0.133397094767475,0.139285714285714,0.160370684776457,0.185714285714286,0.191168831168831,0.194570191713049,0.212843107599179,0.244102564102564,0.245316407553303,0.331989344661885,0.338322996097997,0.338322996097997,0.438507006586557
