"","CDC42","MEK","ERK","ZEB2","SOSGRB2","RKIP","TWIST1","AXIN2","SRC","cMet","Destcompl","cateninnuc","ZEB1","LIV1","IKK","SNAI2","RAF","STAT","Jagged","SNAI1","SUFU","NFB","Csl","NOTCH","NOTCHic","FUS","miR200","TrCP","Csn","GSK3","SMAD","SMO","Patched","SHH","DSH","FOXC2","KLF4","ILK","AKT","RAS","PI3K","DELTA","HEY1","Ecadherin","Wnt","Frizzled","GLI","TCFLEF","CD44","cateninmemb","EGR1","cfos","PAK1","TGF","TGFR"
"SUFU",0.00436936936936936,0.0124561034465657,0.00862631621252311,-0.0648436444319866,0.0129615998037051,0.0660275381630315,-0.029265957367996,0.0198194600804771,0.0966666666666667,0.0898705501618123,0.0292308899604596,0.0899081201096999,0.209429419722221,0.1,-0.158945054945055,-0.228947055217346,-0.199839027505449,0.08,-0.13182170600738,0.0502481945993784,-0.08,-0.189714285714286,-0.0142424242424242,-0.0157215007215007,-0.0165151515151515,-0.08,0.176555646348262,0.2,0.185714285714286,0.0587863381869292,0.0448278777601582,0.0577777777777778,0.0688888888888889,0.0661861861861862,0.0125,0.0840865694226153,0.0598248857476304,0.0339733742959549,0.178408142193377,0.201737761682664,0.199839027505449,0.199839027505449,0.0398756996452125,0.0473693362243291,0.00352564102564103,-0.00416666666666667,-0.000563578305213992,-0.0893454602631526,-0.0928780689588048,0.122973920615882,0.00307692307692308,-0.0120745920745921,-0.00166666666666666,-0.0099214277855849,-0.0128800076672417
"AKT",0.180882352941176,0.0355741134386936,0.0317766450842632,-0.0599075619808712,0.0797008547008547,0.207324133666845,0.0720280274819368,-0.0742348289496304,-0.106763285024155,-0.105224823485693,0.0256290823332759,-0.105388069407457,0.292194058480125,-0.1,-0.261236802413273,0.0783623804431589,-0.186601197888869,-0.111111111111111,-0.0127983037062856,0.193215920235371,-0.1,-0.284313725490196,0.1,0.10279307631786,0.106451612903226,-0.116666666666667,0.230833663066064,0.3,0.266666666666667,0.25860428400751,0.0698300847611772,0.0935897435897436,0.107478632478632,0.102215474583896,0.111111111111111,0.165894247814659,0.0510346378767431,0.0607391756702681,0.17840851958499,0.188769872587664,0.186601197888869,0.186601197888869,0.0485689048572395,0.0818774146328743,0.105224823485693,0.106763285024155,0.101314208960553,0.105080377099765,0.102399964728631,-0.0120388921663573,-0.019047619047619,-0.0366946778711485,-0.180882352941176,-0.186688852093781,-0.188199426111908
"FUS",0.00166666666666666,0.00862631621252311,0.0120745920745921,-0.0542156251083151,0.010863697705803,0.0770479463262968,-0.021224720254594,0.0144330432186504,0.08,0.0966666666666667,0.0316232344580673,0.0893454602631526,0.214260337596617,0.1,-0.189714285714286,-0.231649757920048,-0.202895796064401,0.1,-0.13348441384586,0.0449671043097702,0,-0.185714285714286,-0.0242424242424242,-0.0165151515151515,-0.0142424242424242,-0.08,0.174325163076886,0.1,0.2,0.0587863381869292,0.0339733742959549,0.08,0.0577777777777778,0.0688888888888889,0,0.0982304900181488,0.0688069216757741,0.0436507936507937,0.158945054945055,0.199839027505449,0.202895796064401,0.202895796064401,0.04951425386208,0.0470603763891077,-0.00416666666666667,0.0125,0.00352564102564103,-0.0928780689588048,-0.0898705501618123,0.124611028392144,-0.02,0.00307692307692308,0.00666666666666667,-0.0128800076672417,-0.00436936936936936
"PI3K",0.180882352941176,0.0317766450842632,0.0366946778711485,-0.0530582469123781,0.0819230769230769,0.214156431803491,0.0772268042403466,-0.0767619047619048,-0.111111111111111,-0.106763285024155,0.0268697771223578,-0.105080377099765,0.294933784507522,-0.1,-0.284313725490196,0.076653837729591,-0.183861471861472,-0.1,-0.0141228070175439,0.18945652173913,-0.1,-0.266666666666667,0.1,0.106451612903226,0.1,-0.1,0.22815986627462,0.2,0.3,0.258201058201058,0.0607391756702681,0.116666666666667,0.0935897435897436,0.107478632478632,0.1,0.174164924506388,0.0570175438596491,0.0679391756702681,0.261236802413273,0.186601197888869,0.183861471861472,0.183861471861472,0.0553358221504725,0.0817258994813592,0.106763285024155,0.111111111111111,0.105224823485693,0.102399964728631,0.105224823485693,-0.0113253345720658,-0.0333333333333333,-0.019047619047619,-0.175,-0.188199426111908,-0.180882352941176
"ILK",0.180882352941176,0.0317766450842632,0.0366946778711485,-0.0530582469123781,0.0819230769230769,0.214156431803491,0.0772268042403466,-0.0767619047619048,-0.111111111111111,-0.106763285024155,0.0268697771223578,-0.105080377099765,0.294933784507522,-0.1,-0.284313725490196,0.076653837729591,-0.183861471861472,-0.1,-0.0141228070175439,0.18945652173913,-0.1,-0.266666666666667,0.1,0.106451612903226,0.1,-0.1,0.22815986627462,0.2,0.3,0.258201058201058,0.0607391756702681,0.116666666666667,0.0935897435897436,0.107478632478632,0.1,0.174164924506388,0.0570175438596491,0.0679391756702681,0.261236802413273,0.186601197888869,0.183861471861472,0.183861471861472,0.0553358221504725,0.0817258994813592,0.106763285024155,0.111111111111111,0.105224823485693,0.102399964728631,0.105224823485693,-0.0113253345720658,-0.0333333333333333,-0.019047619047619,-0.175,-0.188199426111908,-0.180882352941176
"CD44",-0.113333333333333,-0.255,-0.295,-0.026984126984127,0.0523809523809524,-0.206296296296296,-0.0894505494505494,-0.06,-0.2,-0.15,-0.0775128233111426,-0.0651818723911747,-0.115873015873016,-0.1,0.133333333333333,-0.311737151737152,-0.0285714285714286,-0.1,0.173892773892774,-0.0567783094098884,0.1,0.1,0.1,0.152631578947368,0.2,0.1,-0.108058849363197,0.1,0,-0.106547619047619,-0.163492063492063,-0.2,-0.18,-0.18,0,-0.0329166666666667,-0.0873015873015873,-0.177777777777778,-0.166666666666667,0.0142857142857143,0.0285714285714286,0.0285714285714286,-0.183625730994152,0.115183476278363,0.05,0.1,0.0566666666666667,0.0636434108527132,0.0566666666666667,0.0828754578754579,0.3,0.275,0.133333333333333,0.0952777777777778,0.100833333333333
"cateninnuc",0.000615384615384616,-0.0907261195676418,-0.0902674039713115,-0.0116823418699063,0.11538673404772,-0.0797589961733882,-0.123906341749295,0.0204920221092964,0.10541958041958,0.109767406506537,0.0302250105219449,0.00883700335024275,-0.0168630751570314,0.106060606060606,-0.163893939393939,-0.298618063465543,-0.164629244629245,0.113752913752914,-0.114475407837364,-0.068493643671309,0.111111111111111,-0.151893939393939,0.0100439422473321,0.0100967963699536,0.0123695236426809,0.111111111111111,-0.00734517528388603,0.166666666666667,0.179166666666667,0.0372020460163255,-0.0221992641283228,-0.102914389799636,-0.106019979861747,-0.101880546310549,-0.113752913752914,0.110491115441935,0.0290560270097637,-0.0171515151515151,0.153737689393939,0.163450793450793,0.164629244629245,0.164629244629245,-0.0132783416904951,0.0350230382777166,-0.10851169874398,-0.104163872657023,-0.106535414159,-0.108754153308818,-0.10778327952241,0.125500204720958,0.0956521739130435,0.0940648723257419,0.004,0.000453731481588732,0.00110875331564987
"IKK",0.1,0.0750793650793651,0.0728571428571429,-0.00926315789473684,0.0953781512605042,0.000637522768670309,0.133104575163399,-0.0319047619047619,-0.0111111111111111,-0.0188034188034188,-0.0712450984406132,-0.0129562087296479,-0.0132631578947368,-0.1,0.20952380952381,0.27397663174859,0.131518451300665,0,0.0515120274914089,-0.0122985581000848,0.1,0.342857142857143,-0.0636363636363636,-0.0382395382395382,-0.0398268398268398,0.08,-0.0120401337792642,-0.2,-0.3,-0.18529304029304,-0.0898789878987899,-0.12,-0.108888888888889,-0.10544061302682,0,-0.12040404040404,0.00256410256410256,-0.0888888888888889,-0.201415701415701,-0.128701549892215,-0.131518451300665,-0.131518451300665,-0.0900928792569659,-0.0453979300465423,0.0188034188034188,0.0111111111111111,0.0111111111111111,0.0150659133709981,0.0111111111111111,0.0205951869359691,-0.05,-0.0928571428571429,-0.1,-0.0898545454545455,-0.0954545454545455
"cateninmemb",-0.00375757575757576,-0.102035025819137,-0.103995810132863,-0.00441973696437917,0.130130751406819,-0.024050062653594,-0.179323255559207,0.0826492639869409,0.158458732330141,0.155850036677967,0.106977205173953,0.156977914160818,-0.0108152734778122,0.166666666666667,-0.164126984126984,-0.259842097923682,-0.163435143288084,0.16078431372549,-0.156257182413578,-0.0120995669962333,0.166666666666667,-0.175238095238095,-0.0490909090909091,-0.0484317284677535,-0.0480599812558575,0.166666666666667,-0.00677948990798153,0.2,0.18,0.111537080679997,-0.0107858371056602,-0.172916666666667,-0.167540322580645,-0.166752921005842,-0.16078431372549,0.118870462429604,0.0209563994374121,-0.0134492753623188,0.166724386724387,0.163714472897023,0.163435143288084,0.163435143288084,-0.00221430365923063,-0.0424717561663761,-0.155010456468072,-0.158458732330141,-0.155677123134739,-0.156977914160818,-0.156853381159573,0.10638194475355,0.110909090909091,0.105026737967914,0.00509090909090909,0.00247499294983086,0.00229416112342942
"SNAI2",-0.00112044817927171,-0.092156862745098,-0.092156862745098,-0.00120201384518565,0.0988505747126437,-0.00852564102564103,-0.0879444164257192,0.0663050973991054,0.081948051948052,0.0833565026522773,0.0783058136914382,0.0821834254776241,-0.00510656597440738,0.08,-0.111781609195402,0.199068356603121,-0.108639185071281,0.0890909090909091,-0.0822019582813516,-0.00520742340527012,0.1,-0.108333333333333,-0.0574561403508772,-0.0534916837548417,-0.0521929824561404,0.08,-0.0051818187841147,0.1,0.133333333333333,0.0800334639810389,-0.0087327794518306,-0.0858823529411765,-0.0879231692677071,-0.083697817155031,-0.0890909090909091,0.0953261016583659,0.0146153846153846,-0.00442655935613682,0.103347874255643,0.10635608004845,0.108639185071281,0.108639185071281,0.00394816154309825,-0.202021510936091,-0.0833565026522773,-0.081948051948052,-0.0806827058608335,-0.0826492639869409,-0.0812059650178687,-0.110235498828513,0.1,0.0941176470588235,0.00588235294117647,0.000732913009127843,0.00197514903397256
