"","ZEB1","ILK","SMAD","miR200","FOXC2","SHH","SMO","Patched","NOTCH","IKK","FUS","AKT","RKIP","SNAI1","GSK3","MEK","cfos","TWIST1","EGR1","SNAI2","TGFR","RAS","RAF","DELTA","CDC42","AXIN2","DSH","STAT","LIV1","SRC","Ecadherin","cateninmemb","CD44","cateninnuc","TCFLEF","cMet","Frizzled","GLI","Wnt","PI3K","TGF","PAK1","Destcompl","ZEB2","SOSGRB2","ERK","TrCP","KLF4","NFB","SUFU","Csn","Csl","NOTCHic","Jagged","HEY1"
"DSH",0.399616002337251,0.1684251101117,0.173330770489058,0.304691349470313,0.358872755151825,0.211051083621834,0.170995670995671,0.187124703253736,-0.177086149144973,0.205833333333333,0.109090909090909,0.209281609195402,0.320191475191475,0.356114561766736,-0.562150608412309,0.00656936458794044,0.00431372549019608,0.0385991417843733,-0.0133333333333333,-0.214549343296204,0.13047619047619,-0.204010072551795,-0.202609512327705,-0.202609512327705,0.12,-0.407297526337856,-0.275,-0.275,-0.2,-0.322368421052632,0.24409981297602,-0.0474248700698063,0.370547228999651,0.393942895369494,0.383880562332985,0.347368421052632,0.322368421052632,0.370244238046096,0.347368421052632,0.202609512327705,-0.131521486643438,-0.12,0.58567463164336,0.00239816500770266,-0.223725055432373,-0.00431372549019608,-0.133333333333333,0.0140409561883006,-0.180833333333333,-0.1,-0.193333333333333,0.160714285714286,0.166596638655462,0.0777670860451298,-0.154525511815545
"AKT",-0.323899903313465,-0.132572388955582,-0.132235688618882,-0.256048423719591,-0.295575157405709,-0.179401709401709,-0.153846153846154,-0.159401709401709,0.169970646976941,-0.0669683257918552,-0.1,-0.163938022761552,-0.267318231640482,-0.281002657610209,0.423485236388462,-0.000238784038205448,0.00140056022408963,-0.0127466564864801,0.019047619047619,0.129988265991466,-0.110980870396939,0.167174812753951,0.165969993476843,0.165969993476843,-0.100411764705882,0.388918686608217,0.277777777777778,0.277777777777778,0.2,0.316908212560386,-0.232939435520871,0.0252538234498927,-0.350215470274424,-0.367752345770062,-0.359906191923908,-0.333831289483463,-0.316908212560386,-0.350032406801899,-0.333831289483463,-0.165969993476843,0.110074525986063,0.104411764705882,-0.526123973351112,0.00467551318451744,0.188418803418803,0.000238784038205448,0.0333333333333333,-0.00751237067026541,0.0490196078431372,0.1,0.0666666666666667,-0.155769230769231,-0.158995037220844,-0.0803990937608923,0.122500707423892
"NFB",-0.314493359836373,-0.229668591859186,-0.246397216394502,-0.254208287443543,-0.222615684448354,-0.181800920155719,-0.143703703703704,-0.178186462324393,-0.00365870688451334,-0.245366795366795,-0.14,-0.260922350922351,-0.242517864649012,-0.246051254642701,0.252891618185736,-0.0157535014005602,0.00228571428571429,-0.105686274509804,0.0142857142857143,0.209089698766985,-0.146925252525253,0.109505106048704,0.107017543859649,0.107017543859649,-0.152525252525253,-0.0595947315096251,-0.0666666666666667,-0.0666666666666667,-0.1,-0.0435897435897436,0.0552485191201976,0.0972481566107719,0.023528900478053,0.0135621593512225,0.0167778456257324,0.0297435897435897,0.0435897435897436,0.0241256122154999,0.0297435897435897,-0.107017543859649,0.153887277841708,0.138888888888889,-0.189742971175425,0.00568835882810475,0.197932330827068,0.0177142857142857,0.3,0.0159340659340659,0.264285714285714,0.08,0.314285714285714,0.00519480519480519,0.000432900432900432,0.101936849770418,0.227697921273773
"SRC",0.351796945193172,0.170175438596491,0.194499762920816,0.283179622310057,0.391120448179272,0.142549019607843,0.103333333333333,0.136666666666667,0.128333333333333,-0.00641025641025642,0.0833333333333333,0.0158119658119658,0.399152818507657,0.308497399763441,-0.287705627705628,0.21454164284353,0.175757575757576,0.196342048755842,0.166666666666667,-0.0221069521459988,0.0996031746031746,0.0198816702696553,0.0229119732999583,0.0229119732999583,0.113888888888889,0.00376981597177952,0,0.1,0.2,-0.025,0.150396683926096,0.0284665469241132,0.0531967213114754,0.0729762815231849,0.0678308676529388,0.045,0.025,0.0531967213114754,0.045,-0.0229119732999583,-0.110512265512266,-0.0888888888888889,0.147213330148113,0.0114180892482779,-0.22,-0.22020202020202,0.1,-0.0996770025839793,-0.0166666666666667,-0.0333333333333333,0.05,-0.12,-0.124761904761905,-0.0606051517290049,-0.188728897715988
"KLF4",0.0330804953560372,0.00666666666666667,0.00811594202898551,0.0203907203907204,-0.0579552329098609,0.0406586021505376,0.0333333333333333,0.0395833333333333,-0.0572031766388793,-0.0152380952380952,0.0333333333333333,-0.0115343915343915,0.0424242424242424,0.0425667686715966,-0.129739697858457,0.0624213021666023,0.0672727272727273,-0.0134945533769063,0.04,-0.159056731417747,0.00909090909090909,0.0126923076923077,0.0126923076923077,0.0126923076923077,0.00509090909090909,-0.144760193615259,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0392156862745098,-0.0222792570520574,-0.0375411929985101,0.0458890937568152,0.04918026357568,0.0475613345594907,0.0415412676698586,0.0392156862745098,0.0449895435319276,0.0415412676698586,-0.0126923076923077,-0.00567627494456763,-0.00909090909090909,0.131638009162324,0.0147368421052632,-0.0882361349342481,-0.0613903743315508,0.1,0.0296296296296296,0.02,0,0,0.0509090909090909,0.0561722488038277,0.0407114624505929,0.00209320091673033
"HEY1",0.0330804953560372,0.00666666666666667,0.00811594202898551,0.0203907203907204,-0.0579552329098609,0.0406586021505376,0.0333333333333333,0.0395833333333333,-0.0572031766388793,-0.0152380952380952,0.0333333333333333,-0.0115343915343915,0.0424242424242424,0.0425667686715966,-0.129739697858457,0.0624213021666023,0.0672727272727273,-0.0134945533769063,0.04,-0.159056731417747,0.00909090909090909,0.0126923076923077,0.0126923076923077,0.0126923076923077,0.00509090909090909,-0.144760193615259,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0392156862745098,-0.0222792570520574,-0.0375411929985101,0.0458890937568152,0.04918026357568,0.0475613345594907,0.0415412676698586,0.0392156862745098,0.0449895435319276,0.0415412676698586,-0.0126923076923077,-0.00567627494456763,-0.00909090909090909,0.131638009162324,0.0147368421052632,-0.0882361349342481,-0.0613903743315508,0.1,0.0296296296296296,0.02,0,0,0.0509090909090909,0.0561722488038277,0.0407114624505929,0.00209320091673033
"FOXC2",0.0330804953560372,0.00666666666666667,0.00811594202898551,0.0203907203907204,-0.0579552329098609,0.0406586021505376,0.0333333333333333,0.0395833333333333,-0.0572031766388793,-0.0152380952380952,0.0333333333333333,-0.0115343915343915,0.0424242424242424,0.0425667686715966,-0.129739697858457,0.0624213021666023,0.0672727272727273,-0.0134945533769063,0.04,-0.159056731417747,0.00909090909090909,0.0126923076923077,0.0126923076923077,0.0126923076923077,0.00509090909090909,-0.144760193615259,-0.0333333333333333,-0.0333333333333333,-0.0333333333333333,-0.0392156862745098,-0.0222792570520574,-0.0375411929985101,0.0458890937568152,0.04918026357568,0.0475613345594907,0.0415412676698586,0.0392156862745098,0.0449895435319276,0.0415412676698586,-0.0126923076923077,-0.00567627494456763,-0.00909090909090909,0.131638009162324,0.0147368421052632,-0.0882361349342481,-0.0613903743315508,0.1,0.0296296296296296,0.02,0,0,0.0509090909090909,0.0561722488038277,0.0407114624505929,0.00209320091673033
"SNAI2",0.0323694147262429,0.00617035546613011,0.00760576216469471,0.0220024363679624,-0.0922081879080272,0.134821703329219,0.125882352941176,0.132004801920768,-0.104790385053543,-0.0632183908045977,0.12,-0.0596039329732724,0.0376794871794872,0.0382999908895546,-0.178655971071604,0.0705882352941176,0.0725490196078431,-0.117400852476515,0.0666666666666667,0.14240333393011,0.00844645550527904,0.0590930341280973,0.0590930341280973,0.0590930341280973,0.00588235294117647,-0.19680392380157,-0.129090909090909,-0.129090909090909,-0.12,-0.136233766233766,0.179602710149096,0.064782828893084,0.144760193615259,0.149459239526766,0.147440605986393,0.140459118346442,0.136233766233766,0.144202433854464,0.140459118346442,-0.0590930341280973,-0.00720421948043432,-0.00588235294117647,0.181327198735234,0.0160830711139081,-0.120114942528736,-0.0705882352941176,0.1,0.03,0.0666666666666667,-0.1,0.0666666666666667,0.0969298245614035,0.10219298245614,0.139870910484124,0.00721820373719108
"Ecadherin",0.0340283626546154,0.00811594202898551,0.0107793802856441,0.0235564559586906,-0.0586417317656961,0.0430208068749471,0.0395833333333333,0.0406586021505376,-0.058318418274567,-0.0115343915343915,0.0333333333333333,-0.0128330928330928,0.0442969016002724,0.0422503129753941,-0.130843450617839,0.0620291453038572,0.0613903743315508,-0.0129358941590292,0.0672727272727273,-0.161043486384635,0.00567627494456763,0.0126923076923077,0.0126923076923077,0.0126923076923077,0.00909090909090909,-0.147440605986393,-0.0392156862745098,-0.0392156862745098,-0.0333333333333333,-0.0415412676698586,-0.122473999018951,-0.0385668340241511,0.0475613345594907,0.0497404876653159,0.04918026357568,0.0458890937568152,0.0415412676698586,0.0469895435319276,0.0449895435319276,-0.0126923076923077,-0.00802708868778643,-0.00509090909090909,0.132756368901374,0.0171065103517087,-0.0895519244079324,-0.0624213021666023,0,0.0245663384903891,0.0152380952380952,-0.0333333333333333,0.02,0.0561722488038277,0.0572031766388793,0.0413979613064281,7.97780979383801e-05
"Csn",-0.379177832919768,-0.172422360248447,-0.176278401379553,-0.301522789445458,-0.35920352509764,-0.203465645348247,-0.168686868686869,-0.180514825676116,0.131718281718282,-0.203333333333333,-0.111111111111111,-0.205733333333333,-0.332091848437517,-0.348252510484411,0.547920989131472,-0.0404816017316017,-0.0396969696969697,-0.049636901979118,-0.00333333333333333,0.141225053218826,-0.13433357687089,0.182662662178899,0.182470723599245,0.182470723599245,-0.122795115332429,0.376615714510545,0.266666666666667,0.266666666666667,0.2,0.304597701149425,-0.241319235898508,-0.0168336806905383,-0.339371462862946,-0.35834078379343,-0.34998239533883,-0.320260351751835,-0.304597701149425,-0.339037644328254,-0.320260351751835,-0.182470723599245,0.133140259448456,0.127272727272727,-0.565107684211679,0.0195897435897436,0.234919866251585,0.0383982683982684,0.22,0.00513969690440279,0.178333333333333,0.1,0.195,-0.122727272727273,-0.124025974025974,-0.028843537414966,0.163767995570321
"SOSGRB2",0.178533834586466,0.0761290322580645,0.0698353259643582,0.145973819975277,0.132124542124542,0.0713073538654934,0.05,0.0527027027027027,0.00694376046488723,0.137426900584795,0,0.133260233918129,0.155701754385965,0.123540156361052,-0.022765011208209,0.0291096291096291,0.0142857142857143,0.0466666666666667,0.0476190476190476,-0.205400578299882,0.0735164835164835,-0.00859046791250181,-0.00602636534839925,-0.00602636534839925,0.0542857142857143,-0.047002200220022,0,0,0,-0.0142857142857143,-0.0295835984008027,-0.0746398736398736,0.0490683229813665,0.0483960879003561,0.0459104282445244,0.0447204968944099,0.0142857142857143,0.0436335403726708,0.0392857142857143,0.00602636534839925,-0.0699703842257034,-0.0642857142857143,0.126372397177766,0.0307894736842105,-0.101388888888889,-0.016988416988417,-0.2,0.0407894736842105,-0.111111111111111,0,-0.1,0.00909090909090909,-0.013986013986014,-0.0215477289864527,-0.0792613636363636
"NOTCH",-0.328582930756844,-0.145238095238095,-0.175238095238095,-0.295064935064935,-0.234489795918367,-0.169343891402715,-0.125,-0.163461538461538,-0.0310599078341014,-0.0666666666666667,-0.1,-0.1,-0.256675508399646,-0.231794871794872,0.155041797283177,-0.105714285714286,-0.02,-0.0782542372881356,0,0.0123129593717829,-0.0213333333333333,-0.0727536231884058,-0.08,-0.08,-0.0333333333333333,0.182291105121294,0.1,0.1,0,0.12,-0.209645727221279,-0.099772064083693,-0.14004662004662,-0.154426525855097,-0.14993672993673,-0.143076923076923,-0.12,-0.14004662004662,-0.143076923076923,0.08,0.0342365591397849,0,-0.184572727600765,0.0322866344605475,0.146315789473684,0.12,0,0.0471014492753623,0.1,0,0,-0.08,-0.0657142857142857,0.0156709956709957,0.0456521739130435
"GLI",-0.352836149513569,-0.198638772273762,-0.208909042544032,-0.305674593724129,-0.282750902992776,-0.12222636618,-0.0956453634085213,-0.116053526673827,-0.0909940634078565,-0.0941341448860246,-0.0851190476190476,-0.111321644886025,-0.212514519575096,-0.22623788874132,0.264185870561742,0.0262224055870465,0.0254761904761905,-0.0985400828185208,0.0171428571428571,-0.00859434309334407,-0.142934287573195,-0.126250825740305,-0.126844885146245,-0.126844885146245,-0.143563218390805,0.229883756038647,0.08,0.17,0.15,0.173225806451613,-0.248125037861784,-0.132232648408406,-0.194756504517214,-0.201154917819393,-0.199301959062669,-0.187859952793076,-0.0832258064516129,-0.201698897815818,-0.0961669829222011,0.126844885146245,0.148816640514371,0.136666666666667,-0.235620669176275,0.0344567332309268,0.160533655135425,-0.0267748917748918,0.0833333333333333,0.036030888030888,0.0880116959064327,0.0476190476190476,0.0722222222222222,0.0890893015030946,0.0890893015030946,0.0714112168497335,0.202593421481367
"SUFU",-0.234153941364904,-0.154598054275474,-0.152057638571086,-0.168312678454869,-0.230484073622063,0.139418509418509,0.141111111111111,0.142121212121212,-0.11472582972583,-0.130857142857143,0.146666666666667,-0.13152828379674,-0.110757182598125,-0.1010976874292,-0.276613736015108,-0.0458816849572536,-0.0489044289044289,-0.159132250370507,-0.0276923076923077,-0.411441083078363,-0.168444508338125,-0.0298396089428232,-0.0288902418542157,-0.0288902418542157,-0.164189189189189,-0.385150207523447,-0.3,-0.206666666666667,-0.2,-0.212222222222222,-0.176806951263331,-0.25056117176957,0.222463845698388,0.226085968460537,0.224909497872301,0.220960086299892,0.305555555555556,0.315106599307343,0.313247863247863,0.0288902418542157,0.165880405774023,0.175,0.311080473676226,0.0368133573849448,0.0403447429763219,0.0454561530423599,0.1,0.042119858643369,0.130857142857143,-0.146666666666667,0.142857142857143,0.103939393939394,0.110757575757576,0.224240864222262,0.163877296093116
"RKIP",0.306696317551411,0.217618741976893,0.218608840986794,0.23957169640364,0.322251694665488,0.211147540983607,0.16,0.18,0.0993783993783994,0.151785714285714,0.1,0.154816017316017,0.386834733893557,0.366179590127368,-0.311189913317573,0.142597212032282,0.12,0.205635769459299,0.17,-0.343394824269977,0.0790476190476191,-0.0808968808968809,-0.0766233766233766,-0.0766233766233766,0.06,-0.0923230192217534,0,0,0,-0.0333333333333333,0.0172165169000706,-0.0783506195270901,0.0999325236167341,0.11551287202151,0.107624831309042,0.0807017543859649,0.0333333333333333,0.0925641025641026,0.0733333333333333,0.0766233766233766,-0.0781130396083667,-0.0666666666666667,0.352646075851944,0.0374500239120038,-0.221396825396825,-0.123448275862069,-0.1,0.0494500239120038,-0.114285714285714,-0.1,-0.1,-0.0888888888888889,-0.107070707070707,-0.113857223704422,-0.218892760356175
"RAF",0.306696317551411,0.217618741976893,0.218608840986794,0.23957169640364,0.322251694665488,0.211147540983607,0.16,0.18,0.0993783993783994,0.151785714285714,0.1,0.154816017316017,0.386834733893557,0.366179590127368,-0.311189913317573,0.142597212032282,0.12,0.205635769459299,0.17,-0.343394824269977,0.0790476190476191,-0.0808968808968809,-0.0766233766233766,-0.0766233766233766,0.06,-0.0923230192217534,0,0,0,-0.0333333333333333,0.0172165169000706,-0.0783506195270901,0.0999325236167341,0.11551287202151,0.107624831309042,0.0807017543859649,0.0333333333333333,0.0925641025641026,0.0733333333333333,0.0766233766233766,-0.0781130396083667,-0.0666666666666667,0.352646075851944,0.0374500239120038,-0.221396825396825,-0.123448275862069,-0.1,0.0494500239120038,-0.114285714285714,-0.1,-0.1,-0.0888888888888889,-0.107070707070707,-0.113857223704422,-0.218892760356175
"cateninnuc",0.0869015465212952,0.023968253968254,0.0246503822083631,0.0555423781567491,-0.0977332721922886,0.254136179220243,0.239307832422587,0.247382366584077,-0.135988866459895,-0.00974242424242424,0.231111111111111,-0.00739867424242424,0.15050865842181,0.155101409385427,-0.35609500675104,0.0710700494712855,0.0718771566597654,-0.167977693448693,0.0702898550724638,-0.485521272319784,0.0226570670708602,0.00260776260776261,0.00227106227106227,0.00227106227106227,0.0192087912087912,-0.472901827197174,-0.275990675990676,-0.275990675990676,-0.260606060606061,-0.289879564879565,-0.146842107569086,-0.271414560551184,0.30532124879951,0.211864112713212,0.309130061346186,0.298575217053478,0.288319443113964,0.303339205959814,0.297015095287877,-0.00227106227106227,-0.022002045236799,-0.0222857142857143,0.3673884916801,0.0405669997663598,-0.183821046742532,-0.0706113338749552,0.0333333333333333,0.0667351035678438,0.0117424242424242,-0.211111111111111,0.0208333333333333,0.126993094789705,0.132807048278077,0.274813824777689,-0.00801770524663074
"MEK",0.319394730249824,0.218608840986794,0.234475999658381,0.25721875522717,0.330359802773596,0.218337083467267,0.18,0.211147540983607,0.103028034414896,0.154816017316017,0.16,0.163051311433664,0.402624207577768,0.370666769614548,-0.322246424374084,0.0492638786989484,0.123448275862069,0.209665073488603,0.12,-0.352153948357569,0.0781130396083667,-0.085023865023865,-0.0808968808968809,-0.0808968808968809,0.0790476190476191,-0.106737433636168,-0.0333333333333333,-0.0333333333333333,0,-0.0807017543859649,0.0192201598873201,-0.0827408634295291,0.107624831309042,0.121089080199949,0.11551287202151,0.0999325236167341,0.0733333333333333,0.10025641025641,0.0925641025641026,0.0808968808968809,-0.0846823826740602,-0.06,0.360595866646923,0.0430055794675594,-0.241396825396825,-0.142597212032282,-0.1,0.0376853180296509,-0.151785714285714,-0.1,-0.114285714285714,-0.107070707070707,-0.0993783993783994,-0.109758863048685,-0.218892760356175
"TrCP",-0.355297031887037,-0.180184331797235,-0.195668202764977,-0.313067371233988,-0.262215405926879,-0.193499175058315,-0.167511520737327,-0.188499175058315,-0.0594505494505495,-0.1,-0.164285714285714,-0.12037037037037,-0.274385503998764,-0.24694368841736,0.172948593073593,-0.114680422500614,-0.115652173913043,-0.0822092979484284,-0.12,-0.00224379058066575,-0.0362363127069009,-0.0896038094962055,-0.08914926404166,-0.08914926404166,-0.042296918767507,0.22012020943706,0.17,0.17,0.15,0.166296296296296,-0.237645508181459,-0.131121471990898,-0.182057602156612,-0.18852758938522,-0.186872416971427,-0.177107107107107,-0.166296296296296,-0.180237246232111,-0.17682261208577,0.08914926404166,0.0438865859309447,0.0285714285714286,-0.2166459197787,0.0463197683018927,0.153561606160616,0.117347089167281,0.1,0.0503934426229508,0.1,0.114285714285714,0.075,0.0576923076923077,0.0561538461538462,0.0464696233810498,0.181605520769027
"DELTA",-0.313768115942029,-0.15,-0.145238095238095,-0.263636363636364,-0.224285714285714,-0.163461538461538,-0.1,-0.125,0.0657142857142857,-0.1,0,-0.0666666666666667,-0.225641025641026,-0.233333333333333,0.14367816091954,-0.12,0,-0.063,-0.1,0.0033182503770739,-0.0333333333333333,-0.08,-0.08,-0.08,0,0.172857142857143,0,0,0,0.1,-0.20480701754386,-0.103436985549662,-0.143076923076923,-0.14993672993673,-0.14004662004662,-0.12,-0.1,-0.143076923076923,-0.12,0.08,0.0213333333333333,0,-0.178965250965251,0.0471014492753623,0.12,0.02,0,0.0166666666666667,0,0,0,-0.1,-0.08,0.0156709956709957,0.05
"CDC42",-0.347901533494754,-0.178571428571429,-0.180184331797235,-0.296316102198455,-0.258077474892396,-0.188499175058315,-0.164285714285714,-0.167511520737327,-0.0561538461538462,-0.1,-0.114285714285714,-0.1,-0.261678321678322,-0.246705024932873,0.168584956709957,-0.117347089167281,-0.12,-0.0778614718614719,-0.02,-0.00748791354630771,-0.042296918767507,-0.08914926404166,-0.0867102396514161,-0.0867102396514161,-0.0285714285714286,0.21320197044335,0.15,0.15,0.1,0.17,-0.237299487420213,-0.13313612400555,-0.177107107107107,-0.186872416971427,-0.182057602156612,-0.166296296296296,-0.17,-0.17682261208577,-0.166296296296296,0.0867102396514161,0.0362363127069009,-0.0571428571428571,-0.213036897222309,0.0543583535108959,0.148611111111111,0.115652173913043,0,0.034,0.075,0.1,0.1,0.05,0.0576923076923077,0.0489236111111111,0.180134932533733
"RAS",0.250382916053019,0.155844155844156,0.157884972170686,0.200276923076923,0.237777777777778,0.174146892655367,0.133333333333333,0.145333333333333,0.0458291956305859,0.0533333333333333,0.1,0.0533333333333333,0.312767295597484,0.28125860373648,-0.46546511627907,0.131145510835913,0.12,0.121080196399345,0.12,-0.273775534421181,0.0917647058823529,-0.192051282051282,-0.0958974358974359,-0.0958974358974359,0.08,-0.244584980237154,-0.1,-0.1,0,-0.15,0.0698394878372957,-0.0448353638474095,0.227346683354193,0.252807568078534,0.241192837200347,0.191176470588235,0.15,0.224509803921569,0.191176470588235,0.0958974358974359,-0.0947350029120559,-0.1,0.458393617695943,0.0870692194403535,-0.146320346320346,-0.125263157894737,0,0.0942857142857143,-0.0333333333333333,-0.1,0,-0.05,-0.0552631578947368,-0.049678691109797,-0.154347826086957
"Destcompl",0.388908491549565,0.116825396825397,0.124895572263993,0.287674741702979,0.213496413208933,0.31852036891279,0.279288451012589,0.300531974328651,-0.259557202929164,0.184113927592188,0.242145593869732,0.190825336988162,0.379071501012198,0.409168209684439,-0.649366700838632,0.0265391701747792,0.0240559440559441,-0.0772377307460279,0.021025641025641,-0.507093996907781,0.144907218785881,-0.186444921411983,-0.184561090956724,-0.184561090956724,0.140696692470091,-0.564329458267393,-0.434920634920635,-0.434920634920635,-0.377777777777778,-0.474646662317895,0.064546247165219,-0.348318173910761,0.520417806596502,0.542833473749828,0.533705477829379,0.501014821521875,0.474646662317895,0.519498698541926,0.500389236575321,0.184561090956724,-0.147961405977999,-0.134489795918367,0.607347171967009,0.12148539711907,-0.211506179221207,-0.0256952883182391,-0.133333333333333,0.135412788692296,-0.170600414078675,-0.211111111111111,-0.161904761904762,0.236694085389738,0.249737563650607,0.361102141934121,-0.0952662721893491
"ZEB2",-0.496369828091031,-0.403927410617551,-0.400268874032186,-0.381634412057056,-0.361724941724942,-0.358766233766234,-0.337857142857143,-0.337857142857143,-0.309911727616646,-0.290555555555556,-0.289285714285714,-0.282144340602284,-0.275990338164251,-0.24965084634647,-0.211857723140687,-0.18845155769045,-0.180701754385965,-0.172874582643286,-0.133333333333333,-0.100052908951345,-0.0955102040816326,-0.081256199189818,-0.0793290043290043,-0.0793290043290043,-0.0771428571428571,-0.0593186246059189,-0.0590909090909091,-0.05,-0.05,-0.0366666666666667,-0.0364386388770635,0.0183095117600373,0.0391520467836257,0.0403181342173188,0.0416168355160201,0.0419298245614035,0.0457575757575758,0.0506975898719018,0.0534498834498835,0.0793290043290043,0.0865154950869236,0.0935064935064935,0.0999781315314523,0.147605673202118,0.157179487179487,0.177475947934352,0.2,0.223715864957327,0.252777777777778,0.275,0.277777777777778,0.287179487179487,0.307179487179487,0.317562966724978,0.408242725016919
"AXIN2",0.412041989197299,0.0974005060961583,0.110892569588222,0.310850107991907,0.251305579666235,0.329242478832643,0.262087912087912,0.301373626373626,-0.301871062792115,0.21304347826087,0.219230769230769,0.227487922705314,0.409664421599905,0.446074962331027,-0.681558958712277,0.0206450615585756,0.0157723577235772,-0.0691688055514966,0.0133333333333333,-0.529613345557964,0.168242379547689,-0.236947371490188,-0.231960494849768,-0.231960494849768,0.160277777777778,-0.0899376387889183,-0.386666666666667,-0.386666666666667,-0.3,-0.454108527131783,0.08076466625226,-0.376768746330821,0.539124300002445,0.582012121475348,0.564329458267393,0.504108527131783,0.454108527131783,0.538699722100336,0.504108527131783,0.231960494849768,-0.173852940603795,-0.149166666666667,0.745742541779715,0.1724400815588,-0.221906583365209,-0.0185760960413342,-0.133333333333333,0.179617241885513,-0.197101449275362,-0.15,-0.166666666666667,0.256842105263158,0.283627819548872,0.394584293497337,-0.0782417160713307
