"","Patched","Jagged","FOXC2","SMO","FUS","NOTCHic","CDC42","Csl","SUFU","RKIP","SOSGRB2","MEK","EGR1","SNAI2","AXIN2","Destcompl","cateninmemb","TCFLEF","Ecadherin","cateninnuc","RAS","RAF","PI3K","GSK3","DELTA","LIV1","Frizzled","GLI","Wnt","DSH","SRC","cMet","CD44","STAT","cfos","ERK","TWIST1","TrCP","Csn","PAK1","NFB","TGFR","NOTCH","TGF","IKK","SNAI1","AKT","SHH","HEY1","ZEB2","ZEB1","ILK","miR200","SMAD","KLF4"
"Csn",-0.0105432202206396,-0.0528884815872233,-0.155596269664856,-0.000865800865800867,0.0142857142857143,-0.126695526695527,-0.123507462686567,-0.12020202020202,0.0142857142857143,-0.121058676395094,0.00134901418194396,-0.00906114718614719,-0.0233333333333333,-0.106142475842956,-0.170396797293044,0.131893240722489,-0.0506799057211992,-0.135721737524812,-0.00939908710934622,-0.135060282323369,-0.0340150604955787,-0.0326714904379971,-0.0326714904379971,-0.0381832575908351,0.0326714904379971,0.133333333333333,0.129885057471264,0.135682921416127,0.13349951530259,0.133333333333333,0.129885057471264,0.13349951530259,0.135721737524812,0.133333333333333,0.00515151515151515,0.00385281385281385,0.130854760791647,0.02,-0.08,0.125,-0.0883333333333333,0.127353616532721,0.130541680541681,0.130933568800024,-0.08,0.123302228499173,-0.0712,0.0113628923517871,0.0375636766334441,0.0629611248966088,0.0629611248966088,0.0460817805383023,0.065080145518935,0.0499378216694077,0.0551619622207858
"SOSGRB2",-0.0797297297297297,-0.00473371402428176,-0.0511233211233211,-0.05,0,0.283216783216783,-0.0442857142857143,0.290909090909091,0,-0.119517543859649,-0.0663888888888889,-0.058991458991459,-0.0761904761904762,-0.131182655146768,0.167065456545655,-0.131988183330465,0.143848211848212,0.13231557153754,0.094968038634443,0.135183640371192,0.217050557728524,0.227306967984934,0.227306967984934,-0.0933031251123818,-0.227306967984934,0,-0.142857142857143,-0.127277432712215,-0.13452380952381,-0.1,-0.142857142857143,-0.138509316770186,-0.131262939958592,-0.1,0.0428571428571429,0.0347490347490347,-0.00495652173913043,0.1,0.2,0.0642857142857143,0.166666666666667,0.051978021978022,-0.278991431104107,0.0654531992829865,0.182456140350877,0.115864250177683,0.211622807017544,0.0820553111250786,0.0829545454545455,0.0979949874686717,0.0979949874686717,0.0731182795698925,0.0922778072100709,0.0780133844649974,0.082280701754386
"TWIST1",-0.0133698630136986,-0.135484331786962,-0.202367109634551,-0.012,0,-0.185982905982906,-0.127690700104493,-0.191111111111111,0.0333333333333333,-0.0579535818666253,-0.086895890786051,-0.025000512312579,-0.0266666666666667,-0.401952369673701,-0.164623548494516,-0.120037714939662,-0.119034599827733,-0.111712202855028,-0.0503002174133461,-0.110504612285736,-0.145553412625926,-0.147608207146474,-0.147608207146474,0.126953352230112,0.147608207146474,0.133333333333333,0.113492063492063,0.112439431913116,0.112439431913116,0.119047619047619,0.113492063492063,0.113492063492063,0.113090457066361,0.119047619047619,0.0136231884057971,0.0215179252479024,0.12608200755512,0,-0.05,0.124242424242424,-0.0423076923076923,0.128940700104493,0.182209321077246,0.129624071402899,-0.0327838827838828,0.066414529651723,-0.0276991370211709,0.0128772521762602,0.179394052275408,0.109200428498674,0.109200428498674,0.204536354536354,0.124051287426196,0.206186519552856,0.0973108192620388
"TGF",-0.253908045977011,-0.247649729995091,-0.0658385093167702,-0.236666666666667,-0.22,-0.34,-0.16,-0.32,-0.2,-0.0380952380952381,-0.305263157894737,-0.161303258145363,-0.166666666666667,0.0219484177708163,-0.00123456790123457,0.00624789008025466,0.000649227790123149,-0.0032025819265144,0.0029592624759401,-0.00176717522794981,-0.172619047619048,-0.169047619047619,-0.169047619047619,0.0798465504923431,0.169047619047619,0,-0.0142857142857143,-0.0123989218328841,-0.0142857142857143,0,0,0,0.00188679245283019,0,0.180952380952381,0.154636591478697,0.0238888888888889,0,0.1,0.16,0.1,0.16,0.346896551724138,0.0671428571428571,0.1,0.057822631913541,0.110526315789474,0.269533045977011,0.242166344294004,0.203879065252063,0.203879065252063,0.280909090909091,0.215628432869812,0.288973607038123,0.19115179252479
"TGFR",-0.269533045977011,-0.251997556082047,-0.0723887276573815,-0.253908045977011,-0.236666666666667,-0.346896551724138,-0.16,-0.34,-0.22,-0.0480952380952381,-0.299090318388564,-0.170892299241254,-0.180952380952381,0.0212539733263719,-0.00252212154930324,0.00685272878993208,0.000880174672340239,-0.00176717522794981,0.00278890472466241,-0.00150145335018187,-0.175543024227235,-0.172619047619048,-0.172619047619048,0.0800910492698492,0.172619047619048,0,-0.0142857142857143,-0.0130440831232067,-0.0123989218328841,-0.0142857142857143,0,0.00188679245283019,0.0032025819265144,0,0.154636591478697,0.161303258145363,0.0278034796362199,0.1,0.1,0.16,0.1,0.0671428571428571,0.350493674026296,0.0721073961499493,0.110526315789474,0.0575276466628035,0.129130966952264,0.274617791739723,0.248136493547735,0.213313027516214,0.213313027516214,0.288973607038123,0.22647887275251,0.297158660418906,0.20365179252479
"RAS",-0.262,-0.213412182140745,-0.143174603174603,-0.25,-0.2,-0.0868421052631579,-0.1,-0.05,-0.1,-0.0287672955974843,-0.148917748917749,-0.18843653250774,-0.18,0.230047068590977,0.0487747035573122,-0.0658591879522112,-0.065214911620888,0.0247915663810532,-0.112788426745314,0.0233751357861524,-0.126025641025641,-0.0164102564102564,-0.0164102564102564,0.116770025839793,0.0164102564102564,0,-0.05,-0.0240196078431373,-0.0323529411764706,-0.1,-0.05,-0.0323529411764706,-0.0217146433041302,-0.1,0.155,0.170789473684211,0.00704855428259683,0.2,0.1,0.1,0.133333333333333,0.129411764705882,0.100049652432969,0.138322655794991,0.166666666666667,0.112448377581121,0.183333333333333,0.267084745762712,0.276284584980237,0.238873343151694,0.238873343151694,0.283549783549784,0.252369230769231,0.30599876314162,0.219285714285714
"Patched",-0.0933333333333333,-0.0173544973544974,-0.155,0.0666666666666667,0.1,0.2,-0.0333333333333333,0.2,0.2,-0.134285714285714,-0.05,-0.198461538461538,-0.1,0.198773946360153,0.20995670995671,0.121358641358641,0.0342114695340502,0.0433333333333333,-0.0762432578209277,0.0443042071197411,0.171153846153846,0.196153846153846,0.196153846153846,-0.123443223443223,-0.196153846153846,-0.1,0,0.0625,0.05,0,-0.1,-0.05,-0.0433333333333333,-0.1,0.1,0.16,0.0611111111111111,0,0,0.0333333333333333,0.1,0.0533333333333333,-0.172727272727273,0.07,0.15,0.176344086021505,0.221428571428571,0.118333333333333,0.187179487179487,0.333333333333333,0.333333333333333,0.183333333333333,0.335714285714286,0.223333333333333,0.305555555555556
"Destcompl",-0.0449842460955557,-0.314140376226926,-0.270471074267245,-0.0382484948002189,-0.0268199233716475,-0.127064238151195,-0.184834623504574,-0.117281629455543,0.0111111111111111,-0.220595648405016,-0.0611834311820637,-0.125038989508797,-0.105641025641026,-0.30080733257689,-0.260519013273248,0.0209668673149888,-0.225233824033589,-0.205035017346406,-0.0511755431334448,-0.205035017346406,0.0195807311262714,0.0184818300273703,0.0184818300273703,-0.120280233296692,-0.0184818300273703,0.188888888888889,0.205620787127636,0.206302283848737,0.207600985147438,0.196031746031746,0.205620787127636,0.207113324441069,0.205993921455995,0.196031746031746,0.117762237762238,0.123773166723986,0.222834042184545,0.1,0.114285714285714,0.174489795918367,0.140372670807453,0.190097781399311,0.132875861397688,0.192757879921479,0.148480778915562,0.253197705802393,0.153178765492743,0.0540751551864648,0.290779989241528,0.3343285170991,0.3343285170991,0.306666666666667,0.345714946146543,0.319181286549708,0.314589107381024
"PI3K",-0.241025641025641,-0.143421052631579,-0.0509988385598142,-0.233333333333333,-0.2,-0.0153846153846154,-0.0294117647058824,0,-0.1,-0.061732385261797,-0.152307692307692,-0.100996464159434,-0.0666666666666667,0.071637142231341,0.124761904761905,-0.140047117023836,-0.00752987194915377,0.0810257669948164,-0.0989707072586459,0.0804072102937854,-0.0361385281385281,-0.0361385281385281,-0.0361385281385281,0.0433621933621934,0.0361385281385281,-0.1,-0.0888888888888889,-0.0804607952434039,-0.0758454106280193,-0.1,-0.0888888888888889,-0.0758454106280193,-0.0804607952434039,-0.1,0.0666666666666667,0.096078431372549,-0.0477401034065325,0.2,0.233333333333333,0,0.266666666666667,0.0454117647058824,0.028287841191067,0.0511028216164515,0.296078431372549,0.10377616747182,0.298642533936652,0.25491452991453,0.283856321259207,0.341095882629794,0.341095882629794,0.284177671068427,0.344005853841919,0.308977671068427,0.324342105263158
"ILK",-0.241025641025641,-0.143421052631579,-0.0509988385598142,-0.233333333333333,-0.2,-0.0153846153846154,-0.0294117647058824,0,-0.1,-0.061732385261797,-0.152307692307692,-0.100996464159434,-0.0666666666666667,0.071637142231341,0.124761904761905,-0.140047117023836,-0.00752987194915377,0.0810257669948164,-0.0989707072586459,0.0804072102937854,-0.0361385281385281,-0.0361385281385281,-0.0361385281385281,0.0433621933621934,0.0361385281385281,-0.1,-0.0888888888888889,-0.0804607952434039,-0.0758454106280193,-0.1,-0.0888888888888889,-0.0758454106280193,-0.0804607952434039,-0.1,0.0666666666666667,0.096078431372549,-0.0477401034065325,0.2,0.233333333333333,0,0.266666666666667,0.0454117647058824,0.028287841191067,0.0511028216164515,0.296078431372549,0.10377616747182,0.298642533936652,0.25491452991453,0.283856321259207,0.341095882629794,0.341095882629794,0.284177671068427,0.344005853841919,0.308977671068427,0.324342105263158
"AKT",-0.25491452991453,-0.153354827466016,-0.0547582370560548,-0.241025641025641,-0.233333333333333,-0.028287841191067,-0.0454117647058824,-0.0153846153846154,-0.2,-0.0660802113487536,-0.163418803418803,-0.102262286944244,-0.0666666666666667,0.071134629668527,0.12512291559223,-0.140129830009774,-0.00885505033855235,0.0804072102937854,-0.0986676769556156,0.0788687487553239,-0.0358975642831065,-0.0361385281385281,-0.0361385281385281,0.0433621933621934,0.0361385281385281,-0.1,-0.0758454106280193,-0.0821367728970352,-0.0804607952434039,-0.0888888888888889,-0.0758454106280193,-0.0804607952434039,-0.0810257669948164,-0.0888888888888889,0.096078431372549,0.100996464159434,-0.0449878098285508,0.233333333333333,0.266666666666667,0.0294117647058824,0.296078431372549,0.0511028216164515,0.0368244265569207,0.0550303140635814,0.298642533936652,0.111044337897885,0.207733443027561,0.272809266756635,0.304157073138906,0.35479451276678,0.35479451276678,0.308977671068427,0.358444356515716,0.327496189586946,0.342290823211876
"SMO",-0.118333333333333,-0.0316402116402116,-0.165344827586207,-0.0933333333333333,0.0666666666666667,0.172727272727273,-0.0533333333333333,0.2,0.1,-0.134285714285714,-0.0657894736842105,-0.183310023310023,-0.1,0.196869184455391,0.206508434094641,0.12368422275399,0.0322697219612347,0.0443042071197411,-0.0758742541308908,0.0412966883227486,0.168828264758497,0.171153846153846,0.171153846153846,-0.126355844802447,-0.171153846153846,-0.1,0.05,0.0625,0.0625,0,-0.05,-0.0433333333333333,-0.0433333333333333,-0.1,0.16,0.198461538461538,0.0640522875816994,0,0.1,0.0333333333333333,0.15,0.07,-0.137727272727273,0.0754054054054054,0.221428571428571,0.185867895545315,0.217428571428571,0.135,0.23003663003663,0.355367231638418,0.355367231638418,0.223333333333333,0.359764918625678,0.256666666666667,0.338888888888889
"FUS",-0.135,-0.043688404411296,-0.171923774954628,-0.118333333333333,-0.0933333333333333,0.137727272727273,-0.07,0.172727272727273,0.0666666666666667,-0.137378497790869,-0.0811740890688259,-0.177562896873242,-0.16,0.195253385532591,0.205887316082219,0.123246266549611,0.0309661837861881,0.0412966883227486,-0.0761482267336306,0.0399379926705747,0.17013830842662,0.168828264758497,0.168828264758497,-0.126021396641912,-0.168828264758497,-0.1,0.0625,0.0605769230769231,0.0625,0.05,-0.0433333333333333,-0.0433333333333333,-0.0443042071197411,-0.05,0.198461538461538,0.183310023310023,0.0666700886288198,0.1,0.15,0.0533333333333333,0.221428571428571,0.0754054054054054,-0.119545454545455,0.0807245543415756,0.217428571428571,0.197188650262296,0.217428571428571,0.156212121212121,0.260471412645326,0.371931648816332,0.371931648816332,0.256666666666667,0.376596601793995,0.279247311827957,0.360200364298725
"SUFU",-0.156212121212121,-0.0539021811333862,-0.179119804731303,-0.135,-0.118333333333333,0.119545454545455,-0.0754054054054054,0.137727272727273,-0.0933333333333333,-0.149215232484746,-0.0804747883695252,-0.181392684107284,-0.198461538461538,0.193341717767264,0.203779587744982,0.122661471227973,0.0301476298980571,0.0399379926705747,-0.076251213345371,0.0395799364045901,0.167606662856999,0.17013830842662,0.17013830842662,-0.125764327233171,-0.17013830842662,-0.05,0.0625,0.0631791535601944,0.0605769230769231,0.0625,-0.0433333333333333,-0.0443042071197411,-0.0412966883227486,-0.0433333333333333,0.183310023310023,0.177562896873242,0.0722370989380981,0.15,0.221428571428571,0.07,0.217428571428571,0.0807245543415756,-0.110815295815296,0.0868389527636663,0.217428571428571,0.201447594044238,0.23018024928092,0.170497835497836,0.279748521079061,0.385941310652081,0.385941310652081,0.279247311827957,0.391094743057936,0.291487496585463,0.375170424178965
"Jagged",-0.275,-0.266493506493506,-0.411428571428571,-0.2,-0.1,-0.06,-0.3,0,0,-0.256410256410256,-0.26,-0.293333333333333,-0.1,-0.168652589240825,-0.0242857142857143,-0.0182857142857143,-0.0304993597951344,-0.0246620046620047,-0.0299298245614035,-0.0257609057609058,-0.0733333333333333,-0.0733333333333333,-0.0733333333333333,0.0187739463601533,0.0733333333333333,0,0,0.0276923076923077,0.02,0,0,0.02,0.0276923076923077,0,0.2,0.26,0.22,0,0,0.2,0.1,0.355555555555556,0.117142857142857,0.383555555555556,0.2,0.366666666666667,0.255555555555556,0.328846153846154,0.5,0.565217391304348,0.565217391304348,0.4,0.573333333333333,0.5,0.5
"GLI",-0.19406104547082,-0.313841953746402,-0.396275692294462,-0.159367167919799,-0.117261904761905,-0.245276304155614,-0.215574712643678,-0.222776304155614,-0.104761904761905,-0.246552530554517,-0.0608650346703444,-0.159636818062232,-0.142857142857143,-0.313812863187127,-0.208383152173913,-0.130515259801532,-0.1874048300356,-0.169862568587982,-0.146587553778677,-0.169802795724862,-0.0761057215642338,-0.0759077017622536,-0.0759077017622536,0.184795018194441,0.0759077017622536,0.15,0.276774193548387,0.176674068391942,0.277950664136622,0.28,0.166774193548387,0.169213217938631,0.169213217938631,0.17,0.13452380952381,0.143614718614719,0.26145876948933,0.133333333333333,0.166666666666667,0.198333333333333,0.16140350877193,0.23255584471915,0.26051439939371,0.244085256483856,0.19609738632295,0.312520426839233,0.22422238632295,0.217517835594277,0.402778635248924,0.585615378050862,0.585615378050862,0.42903618517637,0.599216706925685,0.460387536527722,0.553484341484342
"SMAD",-0.528279816513761,-0.439215472699344,-0.420921044925277,-0.4925,-0.4375,-0.359770114942529,-0.370254862508384,-0.333333333333333,-0.375,-0.26293276810586,-0.322981366459627,-0.314029537604181,-0.285714285714286,-0.167640695893251,-0.0236104564515366,-0.0572243962186634,-0.0307439669481611,-0.0219173650464256,-0.0347183667517747,-0.0218160479238319,0.0115408618807837,0.012856651354468,0.012856651354468,-0.0536197636949517,-0.012856651354468,0.02,0,-0.000719424460431655,0,0,0.02,0.0219607843137255,0.0223244206773619,0.02,0.288940092165899,0.300567999142643,0.204391141884793,0.3,0.355555555555556,0.354761904761905,0.379365079365079,0.386455979826819,0.376436781609195,0.397611358312875,0.420541549953315,0.355219844223876,0.445874883286648,0.552443385286996,0.600107589885541,0.647842053522104,0.647842053522104,0.67743398154357,0.659810370466856,0.609338743448332,0.617242685316948
"NOTCHic",-0.387669683257919,-0.32935835810008,-0.458926925608953,-0.328846153846154,-0.275,-0.259078341013825,-0.383555555555556,-0.117142857142857,-0.2,-0.300412199100883,-0.315023923444976,-0.317619047619048,-0.26,-0.175618902820365,-0.0275613956274334,-0.0182857142857143,-0.0301786393423026,-0.0253527424955996,-0.0299705793902332,-0.0258107577627752,-0.0772456628828443,-0.0747826086956522,-0.0747826086956522,0.016501219087426,0.0747826086956522,0,0.0276923076923077,0.0235867358448004,0.0246620046620047,0.02,0.0276923076923077,0.0246620046620047,0.0257609057609058,0.02,0.293333333333333,0.300476190476191,0.240424261805778,0.1,0.2,0.355555555555556,0.255555555555556,0.402910394265233,0.285394130487509,0.420107846494532,0.277777777777778,0.416434676434676,0.326614987080103,0.429605167128886,0.636454849498328,0.664476650563607,0.664476650563607,0.563333333333333,0.674439856867602,0.612973621103117,0.618788819875776
"CDC42",-0.382718894009217,-0.408472222222222,-0.508458017353283,-0.321428571428571,-0.271428571428571,-0.344871794871795,-0.404761904761905,-0.283333333333333,-0.2,-0.309324009324009,-0.304166666666667,-0.287516580692705,-0.26,-0.318356242297848,-0.208029556650246,-0.161446649126274,-0.190627692686618,-0.1699890980089,-0.148554676274461,-0.171100209120011,-0.193866571018651,-0.192647058823529,-0.192647058823529,0.106488095238095,0.192647058823529,0.1,0.17,0.166296296296296,0.166296296296296,0.15,0.17,0.166296296296296,0.168998998998999,0.15,0.28,0.275652173913043,0.324580086580087,0.1,0.2,0.271428571428571,0.25,0.426330532212885,0.38025641025641,0.446027501909855,0.2625,0.433034138856924,0.309868421052632,0.430867042157365,0.541229385307346,0.67976478727084,0.67976478727084,0.57037037037037,0.688935574229692,0.623596176821983,0.627428571428571
"ZEB1",-0.576604278074866,-0.328848796256004,-0.3744182578793,-0.529545454545455,-0.475,-0.194362745098039,-0.361227719473597,-0.170833333333333,-0.4,-0.335591616636104,-0.371968810916179,-0.344974000172756,-0.266666666666667,0.194951619917373,0.280276537482556,0.181772886751169,0.264790730133708,0.233977602357857,0.119295349489895,0.233781907641614,0.212231802387945,0.214279046482433,0.214279046482433,-0.206481672342714,-0.214279046482433,-0.233333333333333,-0.240650406504065,-0.245666266932297,-0.242573483427142,-0.233333333333333,-0.232958098811757,-0.232958098811757,-0.235041432145091,-0.225641025641026,0.318666666666667,0.333960784313725,0.08601735009502,0.3,0.4,0.336590038314176,0.468421052631579,0.374933303229942,0.214197455841841,0.386744326851989,0.502847282139776,0.409274965882303,0.532847282139776,0.610412107256361,0.661077997995096,0.687364661237578,0.687364661237578,0.706312864684635,0.695717902997628,0.744774403146173,0.657256884224861
"Csl",-0.429605167128886,-0.347066691433413,-0.473869454344585,-0.387669683257919,-0.328846153846154,-0.285394130487509,-0.402910394265233,-0.259078341013825,-0.275,-0.314697913386597,-0.327219045396196,-0.331749482401656,-0.293333333333333,-0.1779306105012,-0.0278184650361737,-0.0183466527378776,-0.0300257341435259,-0.0258107577627752,-0.0302031375297681,-0.0257535822339016,-0.0783486040593149,-0.0772456628828443,-0.0772456628828443,0.0142920880123155,0.0772456628828443,0.02,0.0246620046620047,0.0219738326189939,0.0235867358448004,0.0276923076923077,0.0246620046620047,0.0257609057609058,0.0253527424955996,0.0276923076923077,0.300476190476191,0.317619047619048,0.246519069932189,0.2,0.255555555555556,0.383555555555556,0.277777777777778,0.420107846494532,0.303575948669327,0.432125987084101,0.326614987080103,0.42710661319357,0.355297157622739,0.45977758092199,0.676324130544079,0.695968363270789,0.695968363270789,0.612973621103117,0.707337460353441,0.649640287769784,0.660217391304348
"TrCP",-0.430867042157365,-0.429331117927744,-0.527078707008455,-0.382718894009217,-0.321428571428571,-0.38025641025641,-0.426330532212885,-0.344871794871795,-0.271428571428571,-0.328661025898595,-0.315057755775578,-0.304849914026038,-0.28,-0.322696206131483,-0.210545279920687,-0.161446649126274,-0.190078242137168,-0.171100209120011,-0.148208655513216,-0.170824347051046,-0.194321116473197,-0.193866571018651,-0.193866571018651,0.103215367965368,0.193866571018651,0.15,0.166296296296296,0.165808491418248,0.166296296296296,0.17,0.166296296296296,0.168998998998999,0.1699890980089,0.17,0.275652173913043,0.287516580692705,0.333275738754,0.2,0.25,0.404761904761905,0.2625,0.446027501909855,0.402234432234432,0.460781600270511,0.309868421052632,0.445683303534728,0.345053606237817,0.463867042157365,0.582405855895582,0.716099192415535,0.716099192415535,0.623596176821983,0.72700664021954,0.664241338112306,0.673330210772834
"EGR1",-0.430867042157365,-0.429331117927744,-0.527078707008455,-0.382718894009217,-0.321428571428571,-0.38025641025641,-0.426330532212885,-0.344871794871795,-0.271428571428571,-0.328661025898595,-0.315057755775578,-0.304849914026038,-0.28,-0.322696206131483,-0.210545279920687,-0.161446649126274,-0.190078242137168,-0.171100209120011,-0.148208655513216,-0.170824347051046,-0.194321116473197,-0.193866571018651,-0.193866571018651,0.103215367965368,0.193866571018651,0.15,0.166296296296296,0.165808491418248,0.166296296296296,0.17,0.166296296296296,0.168998998998999,0.1699890980089,0.17,0.275652173913043,0.287516580692705,0.333275738754,0.2,0.25,0.404761904761905,0.2625,0.446027501909855,0.402234432234432,0.460781600270511,0.309868421052632,0.445683303534728,0.345053606237817,0.463867042157365,0.582405855895582,0.716099192415535,0.716099192415535,0.623596176821983,0.72700664021954,0.664241338112306,0.673330210772834
"ZEB2",-0.565801393728223,-0.523778291527942,-0.523508935508936,-0.512142857142857,-0.446428571428571,-0.443692307692308,-0.435064935064935,-0.407692307692308,-0.375,-0.373156199677939,-0.336630036630037,-0.306292186011843,-0.25,-0.190190160760327,-0.147838133152403,-0.141301920322901,-0.135180232598138,-0.120004941932296,-0.119535261524096,-0.119225721153075,-0.0599667677076671,-0.0588961038961039,-0.0588961038961039,0.00471796630639721,0.0588961038961039,0.1,0.102424242424242,0.104070913795684,0.104988344988345,0.109090909090909,0.113333333333333,0.11859649122807,0.11859649122807,0.12,0.276315789473684,0.289219015280136,0.297497909888226,0.3,0.377777777777778,0.407792207792208,0.427777777777778,0.453432282003711,0.468282471626734,0.469834398405827,0.47,0.47000392484078,0.51018691588785,0.60307412100095,0.680201894879314,0.734964154929736,0.734964154929736,0.739924160346696,0.745134552925311,0.784436355468647,0.790447492777746
"SNAI1",-0.463867042157365,-0.44486052969245,-0.537879215267667,-0.430867042157365,-0.382718894009217,-0.402234432234432,-0.446027501909855,-0.38025641025641,-0.321428571428571,-0.338284456860938,-0.326755868983125,-0.314715384878056,-0.275652173913043,-0.325009313741272,-0.212176981552388,-0.161611122810484,-0.189767361308152,-0.170824347051046,-0.147480247604787,-0.170669468372677,-0.194321116473197,-0.194321116473197,-0.194321116473197,0.101565202948866,0.194321116473197,0.17,0.166296296296296,0.165991306774737,0.165808491418248,0.166296296296296,0.168998998998999,0.1699890980089,0.171100209120011,0.166296296296296,0.287516580692705,0.304849914026038,0.339121892600153,0.25,0.2625,0.426330532212885,0.309868421052632,0.460781600270511,0.416520146520147,0.46945095510922,0.345053606237817,0.356359460118358,0.367275828460039,0.488527236332122,0.615143951133677,0.741068442108032,0.741068442108032,0.664241338112306,0.753807792957292,0.696098656685492,0.70790965002517
"miR200",-0.520327004219409,-0.39582651642292,-0.419295988564281,-0.460833333333333,-0.3875,-0.271822660098522,-0.3625,-0.233891625615764,-0.3,-0.335825205205771,-0.335235332043843,-0.315194805194805,-0.2,0.0822809573653264,0.161434030799501,0.108802616631808,0.12082975350064,0.112942060439497,0.00331648349087903,0.111729939227376,0.145051359355152,0.149789513968618,0.149789513968618,-0.135146215187232,-0.149789513968618,-0.1,-0.116,-0.123042253521127,-0.123042253521127,-0.12,-0.10695652173913,-0.113998775260257,-0.111751584249021,-0.12,0.26,0.300909090909091,0.131454087834456,0.2,0.3,0.329166666666667,0.389473684210526,0.388306451612903,0.300636219420556,0.404004126031508,0.449473684210526,0.418178303178303,0.48720953326713,0.570327004219409,0.621271186440678,0.773566308243728,0.773566308243728,0.665880039331367,0.682612958226769,0.721365932748295,0.728657694962043
