"","SMAD","CDC42","PAK1","TGFR","TGF","GSK3","FOXC2","HEY1","RKIP","Jagged","ZEB1","SNAI1","LIV1","SNAI2","TWIST1","Destcompl","SOSGRB2","RAS","AXIN2","RAF","Wnt","GLI","miR200","STAT","SRC","Frizzled","DSH","Ecadherin","TCFLEF","cateninmemb","cateninnuc","CD44","PI3K","DELTA","cMet","ZEB2","NOTCH","NOTCHic","Csl","EGR1","cfos","ERK","KLF4","MEK","TrCP","SMO","Csn","Patched","SHH","NFB","SUFU","FUS","ILK","IKK","AKT"
"cateninmemb",-0.00859346597887497,0.00157575757575757,0.00290909090909091,-0.00183887657058389,-0.000211390132970869,-0.0108224615865218,0.0503107607989378,-0.00984469931963023,-0.00450723701124985,-0.0321380458096311,-0.00312803544965005,-0.00792395472946314,0.0333333333333333,-0.0543484479327884,-0.0155309940239286,-0.0118207621356709,0.0427928741235593,0.00276454157081827,-0.0141092628064342,0.00220588235294118,0.0309794487161344,0.0303127820494677,0.00124214705220292,0.0274509803921569,0.0344277245782034,0.0344277245782034,0.0274509803921569,-0.0981825381577562,-0.0333569073668263,0.0157099363339716,-0.0327033125955845,-0.0297454503307117,-0.00220588235294118,-0.00220588235294118,-0.0300798984912469,0.0074192380868536,-0.0187197284941588,-0.0109130370443447,-0.0201913875598086,-0.0527272727272727,-0.0644919786096257,-0.0655229064446772,-0.0037037037037037,-0.0635621221309517,0,-0.0541666666666667,0.02,-0.065994623655914,-0.0628450173567014,0.00571428571428572,-0.1,-0.0666666666666667,0.00689855072463768,0.00571428571428572,0.00571428571428572
"KLF4",-0.0116521739130435,-0.00509090909090909,-0.00909090909090909,-0.00109090909090909,-0.00352993348115299,-0.0783696781887252,0.0859458672223342,-0.0228418640183346,-0.00866831581117295,0.0792921720957703,-0.00957688338493292,-0.0154254687691458,-0.1,-0.141621015680727,0.125538126361656,-0.0821803905556506,0.0783590623213265,0.0454185520361991,-0.0569758531639495,0.0461538461538462,-0.0866393068855449,-0.0883634448165794,0.00443223443223443,-0.0666666666666667,-0.0843137254901961,-0.0843137254901961,-0.0666666666666667,-0.0101652254268234,0.0922580359825349,-0.0397418435223313,0.0898919089588736,0.0892480025377188,-0.0461538461538462,-0.0461538461538462,0.0866393068855449,0.00955108359133127,-0.052400730035022,-0.0596172248803828,-0.0490909090909091,-0.12,-0.0927272727272727,-0.0868449197860963,-0.0111111111111111,-0.0899377032912509,-0.1,0.0833333333333333,-0.1,0.102083333333333,0.101008064516129,-0.04,0.2,0.1,0.016,-0.0352380952380952,-0.0389417989417989
"FOXC2",-0.0116521739130435,-0.00509090909090909,-0.00909090909090909,-0.00109090909090909,-0.00352993348115299,-0.0783696781887252,0.0859458672223342,-0.0228418640183346,-0.00866831581117295,0.0792921720957703,-0.00957688338493292,-0.0154254687691458,-0.1,-0.141621015680727,0.125538126361656,-0.0821803905556506,0.0783590623213265,0.0454185520361991,-0.0569758531639495,0.0461538461538462,-0.0866393068855449,-0.0883634448165794,0.00443223443223443,-0.0666666666666667,-0.0843137254901961,-0.0843137254901961,-0.0666666666666667,-0.0101652254268234,0.0922580359825349,-0.0397418435223313,0.0898919089588736,0.0892480025377188,-0.0461538461538462,-0.0461538461538462,0.0866393068855449,0.00955108359133127,-0.052400730035022,-0.0596172248803828,-0.0490909090909091,-0.12,-0.0927272727272727,-0.0868449197860963,-0.0111111111111111,-0.0899377032912509,-0.1,0.0833333333333333,-0.1,0.102083333333333,0.101008064516129,-0.04,0.2,0.1,0.016,-0.0352380952380952,-0.0389417989417989
"SNAI2",-0.013301820492332,-0.00588235294117647,-0.00588235294117647,-0.00331825037707391,-0.00393936838949627,-0.125192497904788,0.126628294120847,-0.0296865581675708,-0.00247435897435898,0.151720674858892,-0.00770274805957625,-0.0117875944315529,-0.18,0.173730247105713,0.164734782363872,-0.129295214277462,0.11683569979716,0.0997204808011851,-0.106513624486749,0.0997204808011851,-0.154135723431498,-0.155740001506364,0.0051743005524028,-0.152727272727273,-0.152727272727273,-0.152727272727273,-0.152727272727273,0.19170886277422,0.158966673437041,0.0694924079253498,0.158500834927724,0.156286261065907,-0.0997204808011851,-0.0997204808011851,0.154135723431498,0.00984518565135305,-0.105735930735931,-0.108333333333333,-0.103070175438596,-0.133333333333333,-0.127450980392157,-0.12156862745098,-0.0101923076923077,-0.12156862745098,-0.1,0.162352941176471,-0.133333333333333,0.168475390156062,0.169883840860288,-0.108333333333333,0.2,0.18,0.0156941649899396,-0.0979885057471264,-0.096783686470018
"Ecadherin",-0.0128628276660701,-0.00109090909090909,-0.00509090909090909,-0.00352993348115299,-0.00407242896035733,-0.0788111792924779,0.0857170342703892,-0.019486159320348,-0.00904284764637895,0.0827246663749465,-0.00720721513848742,-0.0144761016805382,-0.0666666666666667,-0.141079173417031,0.127958982972457,-0.0814348173962844,0.0823064307423791,0.0465358704719533,-0.058006780999001,0.0454185520361991,-0.0883634448165794,-0.0910301114832461,0.00536333312869626,-0.0843137254901961,-0.0866393068855449,-0.0866393068855449,-0.0843137254901961,-0.11026259641027,0.0898919089588736,-0.0388444076248954,0.088304607371572,0.0922580359825349,-0.0454185520361991,-0.0454185520361991,0.0892480025377188,0.0114468181884877,-0.0542594660945015,-0.052400730035022,-0.0596172248803828,-0.0927272727272727,-0.0868449197860963,-0.0899377032912509,-0.00857946554149086,-0.0895455464285058,-0.1,0.102083333333333,-0.04,0.101008064516129,0.0994332613665228,-0.0352380952380952,0.1,0.0833333333333333,0.0116521739130435,-0.0389417989417989,-0.0402405002405002
"cateninnuc",-0.0215475570359609,-0.00307692307692308,0,-0.00192749778956676,-0.00170915717821304,8.43979889785525e-05,0.0649548702663457,-0.0227515597504399,-0.0638835589555193,0.0271994559704078,-0.0143633408935035,-0.070402880350793,-0.0242424242424242,-0.141410013845133,0.0580211439771882,-0.00354666919309313,0.0497993938164358,-0.0274453574453574,0.0103423638509258,-0.0255935055935056,-0.0332656523543956,-0.0297083401014312,0.00166312453642714,-0.0242424242424242,-0.0325757575757576,-0.0310917393109174,-0.0242424242424242,-0.0742767556067134,0.0304080036562096,-0.0970907181472042,-0.0691225127757152,0.0307814166509819,0.0255935055935056,0.0255935055935056,0.0347496706192358,0.0187366407323463,0.00494783600026012,0.00403874509116921,0.0121782799748901,-0.0710144927536232,-0.0694271911663216,-0.0681613683815115,-0.00933175168050613,-0.0699962307668326,0.0333333333333333,0.0129143897996357,0.0333333333333333,0.0172622158865922,0.0183515405053286,0.0363636363636364,0.0111111111111111,0.0211111111111111,0.0216839826839827,0.0343636363636364,0.0328011363636364
"miR200",-0.00296834688046162,-0.00196078431372549,0,-0.00196078431372549,-0.000216598267213862,-0.0491141510665711,0.0184941887380912,-0.00502824858757062,0.0027583802173155,0.0294656437305203,0.0470161290322581,-0.00103452103452103,-0.2,-0.129909626267423,0.106273828421068,-0.11175047618109,0.0170825274016763,0.0898153678184943,-0.0990681112078062,0.085575966322235,-0.136676056338028,-0.14876396842594,-0.0693597318987565,-0.16,-0.120869565217391,-0.124,-0.16,0.148727998860152,0.143127394339439,0.0655620431605532,0.140703151915197,0.145905172117217,-0.085575966322235,-0.085575966322235,0.133545621555419,0.0463754480286738,-0.018622359522418,-0.0101477832512315,-0.0170443349753695,-0.0142857142857143,-0.0242857142857143,-0.0151948051948052,0.0444444444444444,-0.00907235621521336,0,0.0191666666666667,-0.02,0.00777426160337553,0.0142960007338103,-0.0252631578947368,0.02,0.0325,0.00265486725663717,-0.0109774436090226,-0.00531706625053199
"ZEB2",-0.227872330921111,-0.225194805194805,-0.223376623376623,-0.223153988868275,-0.221566687280973,-0.221138932274962,-0.219395493395493,-0.212501691856531,-0.173365539452496,-0.170104901435209,-0.151592902751609,-0.148912750766688,-0.1,-0.0999458503730161,-0.0941494265727315,-0.086087982078587,-0.0797435897435897,-0.0638211574292945,-0.0600437610526631,-0.0588961038961039,-0.0568764568764569,-0.050454438527833,-0.0423855775176375,-0.04,-0.04,-0.0363636363636364,-0.0363636363636364,0.0301515909964541,0.0498632732064904,0.0505599652250613,0.0527204160636333,0.0554970760233918,0.0588961038961039,0.0588961038961039,0.0610526315789474,0.0803133226337998,0.143732660781841,0.14974358974359,0.156410256410256,0.158333333333333,0.174122807017544,0.187026032823995,0.187821392481899,0.189465057214239,0.2,0.210714285714286,0.211111111111111,0.215592334494774,0.222865061767501,0.223611111111111,0.225,0.225,0.230311355311355,0.243611111111111,0.246414849428868
"AXIN2",-0.079922935357718,-0.0979012345679012,-0.0966666666666667,-0.100556101824538,-0.100226068821238,0.0367906863032721,-0.0902842122748446,-0.07611385653982,-0.0531094174642562,-0.00518290170464083,-0.0432468384609005,-0.0526494337753868,-0.0333333333333333,-0.0727613325825569,-0.0168572936591868,0.036766786161783,-0.0160649978041282,0.0720745796785222,-0.0726994450995707,0.0715496452953201,-0.0173830526597166,-0.0186409142949368,0.0673294326791971,-0.0133333333333333,-0.0156589147286822,-0.0156589147286822,-0.0133333333333333,-0.0357594124587422,0.0174363069006403,-0.0245816975171945,0.0169607340515266,0.0189603397259627,-0.0715496452953201,-0.0715496452953201,0.0173830526597166,0.0863452409310307,0.0251679875364086,0.028546365914787,0.0214035087719298,0,-0.0024390243902439,0.000364713927513107,0.084636982438248,0.00243367944475449,-0.0666666666666667,0.101831501831502,-0.0555555555555556,0.0982600732600733,0.101210892932204,-0.0599033816425121,0.1,0.0923076923076923,0.0795261099608926,-0.0526570048309179,-0.053768115942029
"Destcompl",-0.109636591478697,-0.131154116819141,-0.126326530612245,-0.132206748398089,-0.132699359235527,0.0275923123437631,-0.125395039361318,-0.103362620285697,-0.0620296858701414,-0.0454037855409249,-0.0447655756721437,-0.0634069144255094,0.0111111111111111,-0.0982170606866844,-0.0390483432584783,-0.0751514034736797,-0.0328106302740516,0.0871926843759864,-0.0174363069006403,0.0889195289599738,0.0111740821831694,0.0128438409957853,0.0781301708528945,0.0182539682539683,0.0141443792128724,0.0141443792128724,0.0182539682539683,-0.0499863660727639,-0.0137981650780669,-0.0144513056972019,-0.0133902099531307,-0.0121543294616286,-0.0889195289599738,-0.0889195289599738,-0.0106617921481957,0.126661600810537,0.0550046548247297,0.0560066588327458,0.0570936153544849,-0.00564102564102564,-0.00261072261072261,0.00230731017616264,0.122239837999496,0.00272925110443268,-0.0666666666666667,0.132567049808429,-0.0666666666666667,0.135157723383559,0.138059077348742,-0.0579710144927536,0.122222222222222,0.132567049808429,0.109285714285714,-0.0552683117900509,-0.0545971708504536
"TCFLEF",-0.120919236790627,-0.135420393559928,-0.130769230769231,-0.138224131877685,-0.1385552577055,-0.0202545448512986,-0.0558301491404755,-0.0968222793161417,-0.0538637094181935,0.0342455667945486,-0.0184770069112174,-0.0605699251933562,-0.0333333333333333,0.21969464754657,-0.0491061617638533,-0.0206251611869485,-0.0487345309381238,0.0734677279834493,0.0021010989010989,0.0754388186536201,-0.0432327802916038,-0.040127190229492,0.0351589909421235,-0.0458333333333333,-0.0558333333333333,-0.0492156862745098,-0.0392156862745098,-0.0449490550853842,-0.0552998892762558,-0.0552916965841461,-0.05478442535873,0.0473347040799871,-0.0754388186536201,-0.0754388186536201,0.0498504273504273,0.195079346092504,0.0351959274918135,0.0348637015781923,0.0270205643232903,-0.0657142857142857,-0.0632752613240418,-0.060418118466899,0.0969299083269672,-0.0590575742492119,-0.0571428571428571,0.175714285714286,-0.048051948051948,0.177327188940092,0.179167679737638,-0.0440519480519481,0.15,0.156666666666667,0.120728032201716,-0.0408261416003351,-0.039739185078596
"STAT",-0.197642845244045,-0.283522727272727,-0.277272727272727,-0.283522727272727,-0.283039635485288,-0.115093457943925,-0.289145194274029,-0.191333333333333,-0.241155083655084,-0.105720360209229,-0.0862470862470862,-0.228832898962574,0,-0.112425178411669,-0.092544204088432,-0.0557009805410251,-0.0392857142857143,0.0116909250274681,-0.0429527335409688,0.016914805624483,-0.0467532467532468,-0.0408708938120703,0.0536401559458927,-0.0285714285714286,-0.0285714285714286,-0.0285714285714286,-0.0285714285714286,-0.0393466203350835,0.0396406257604996,0.00378554442589371,0.0419052264756366,0.0424797424797425,-0.016914805624483,-0.016914805624483,0.0467532467532468,0.238963600502062,0.0767566538554545,0.0816110227874934,0.0843137254901961,0.233333333333333,0.253333333333333,0.276862745098039,0.339908892850069,0.284389626818469,0.1,0.143333333333333,0.1,0.15031007751938,0.160044590793716,0.12,0.15,0.15,0.198792270531401,0.162857142857143,0.167941888619855
"NOTCHic",-0.195460774237753,-0.337333333333333,-0.333333333333333,-0.337333333333333,-0.339244161358811,-0.00968857857572591,-0.377998683344306,-0.0830657748049052,-0.264046524949876,-0.181063680004077,-0.0856682769726248,-0.241554741554742,0.1,-0.0396850369560496,-0.222921863340795,0.0978148883195612,-0.157607655502392,-0.109728512367193,0.0893433662773285,-0.100368906455863,0.10032634032634,0.112154297315588,0.0586832820358832,0.16,0.121538461538462,0.121538461538462,0.16,-0.101393754479565,-0.11552257266543,-0.054563945961865,-0.114453870375353,-0.11021645021645,0.100368906455863,0.100368906455863,-0.10032634032634,0.243961352657005,0.150322580645161,0.150322580645161,0.26,0.26,0.326666666666667,0.348095238095238,0.251501035196687,0.350952380952381,0.1,0.116025641025641,0.133333333333333,0.139555052790347,0.147081934510777,0.166666666666667,0.133333333333333,0.108333333333333,0.197619047619048,0.2,0.197674418604651
"NOTCH",-0.197619047619048,-0.333333333333333,-0.3,-0.337333333333333,-0.337333333333333,-0.00638279345175897,-0.381224489795918,-0.0876811594202898,-0.251370468611848,-0.175103415103415,-0.0745571658615137,-0.241025641025641,0,-0.0454966602025426,-0.214745762711864,0.0978148883195612,-0.175789473684211,-0.100368906455863,0.0823989218328841,-0.101818181818182,0.121538461538462,0.10032634032634,0.0511688311688312,0.1,0.16,0.16,0.1,-0.0994029428409734,-0.11021645021645,-0.0567951832843802,-0.11552257266543,-0.10032634032634,0.101818181818182,0.101818181818182,-0.121538461538462,0.247665056360709,0.150322580645161,0.26,0.26,0.2,0.26,0.326666666666667,0.255072463768116,0.348095238095238,0,0.108333333333333,0.1,0.116025641025641,0.139555052790347,0.133333333333333,0.1,0.133333333333333,0.197619047619048,0.166666666666667,0.2
"Csl",-0.196571885348864,-0.337333333333333,-0.337333333333333,-0.339244161358811,-0.339924433467655,-0.010130404790748,-0.382021671850053,-0.0811049904911797,-0.267272331401489,-0.183667846670744,-0.082353359845553,-0.237997429301777,0.16,-0.0385664687233874,-0.225404933318222,0.0975101960587446,-0.147038549811335,-0.113037335896605,0.0901145745035496,-0.109728512367193,0.112154297315588,0.11779945860591,0.063258445434576,0.121538461538462,0.10032634032634,0.10032634032634,0.121538461538462,-0.100579800991192,-0.114453870375353,-0.0560929979496326,-0.114625396961974,-0.11552257266543,0.109728512367193,0.109728512367193,-0.11021645021645,0.247828755971922,0.154868035190616,0.150322580645161,0.150322580645161,0.326666666666667,0.348095238095238,0.350952380952381,0.250072463768116,0.350952380952381,0.133333333333333,0.139555052790347,0.166666666666667,0.147081934510777,0.141047451752156,0.2,0.108333333333333,0.116025641025641,0.195460774237753,0.197674418604651,0.196899224806202
"TrCP",-0.19826420890937,-0.349579831932773,-0.347619047619048,-0.351094983447925,-0.351094983447925,-0.0491536796536797,-0.381776178932464,-0.184232883558221,-0.270571288748084,-0.185312926039536,-0.0819159607454805,-0.240447158251454,0.15,-0.0757075260198239,-0.229635140222097,0.10406432748538,-0.14247799779978,-0.131745141515586,0.103392508597453,-0.127654232424677,0.122007797270955,0.128349260685589,0.0619745206188921,0.13,0.111481481481481,0.111481481481481,0.13,-0.115281127124374,-0.123678331797144,-0.0789184510701175,-0.123264538693695,-0.125530183648996,0.127654232424677,0.127654232424677,-0.11958958958959,0.249472639892515,0.151758241758242,0.148461538461538,0.15,0.32,0.341739130434783,0.350213706705969,0.249864168618267,0.351547040039302,0.133333333333333,0.15184331797235,0.158333333333333,0.158016157478523,0.154016157478523,0.195833333333333,0.119047619047619,0.135714285714286,0.197619047619048,0.20109649122807,0.20109649122807
"LIV1",-0.19826420890937,-0.349579831932773,-0.347619047619048,-0.351094983447925,-0.351094983447925,-0.0491536796536797,-0.381776178932464,-0.184232883558221,-0.270571288748084,-0.185312926039536,-0.0819159607454805,-0.240447158251454,0.15,-0.0757075260198239,-0.229635140222097,0.10406432748538,-0.14247799779978,-0.131745141515586,0.103392508597453,-0.127654232424677,0.122007797270955,0.128349260685589,0.0619745206188921,0.13,0.111481481481481,0.111481481481481,0.13,-0.115281127124374,-0.123678331797144,-0.0789184510701175,-0.123264538693695,-0.125530183648996,0.127654232424677,0.127654232424677,-0.11958958958959,0.249472639892515,0.151758241758242,0.148461538461538,0.15,0.32,0.341739130434783,0.350213706705969,0.249864168618267,0.351547040039302,0.133333333333333,0.15184331797235,0.158333333333333,0.158016157478523,0.154016157478523,0.195833333333333,0.119047619047619,0.135714285714286,0.197619047619048,0.20109649122807,0.20109649122807
"RKIP",-0.259502747450612,-0.32,-0.3,-0.339047619047619,-0.343720516243881,0.164420803782506,-0.366755083996463,-0.226480836236934,-0.197198879551821,-0.228308674913089,-0.0991516021042563,-0.357153470078934,0,-0.338504983388704,-0.286734997029115,0.0576332972213276,-0.245396825396825,0.0319375069375069,0.0475621190811064,0.0327922077922078,0.0866666666666667,0.0866666666666667,0.1008959652312,0,0.0666666666666667,0.0666666666666667,0,-0.18654463279236,-0.0761624340571709,-0.12312362782951,-0.0769257928357968,-0.0824561403508772,-0.0327922077922078,-0.0327922077922078,-0.0824561403508772,0.256524151123864,0.186674436674437,0.182828282828283,0.155555555555556,-0.03,0.02,0.0441379310344828,0.244524151123864,0.0717975055025679,0.1,0.206666666666667,0.1,0.202666666666667,0.204306010928962,0.142857142857143,0.1,0.166666666666667,0.244651262302097,0.180357142857143,0.201569264069264
"RAF",-0.259502747450612,-0.32,-0.3,-0.339047619047619,-0.343720516243881,0.164420803782506,-0.366755083996463,-0.226480836236934,-0.197198879551821,-0.228308674913089,-0.0991516021042563,-0.357153470078934,0,-0.338504983388704,-0.286734997029115,0.0576332972213276,-0.245396825396825,0.0319375069375069,0.0475621190811064,0.0327922077922078,0.0866666666666667,0.0866666666666667,0.1008959652312,0,0.0666666666666667,0.0666666666666667,0,-0.18654463279236,-0.0761624340571709,-0.12312362782951,-0.0769257928357968,-0.0824561403508772,-0.0327922077922078,-0.0327922077922078,-0.0824561403508772,0.256524151123864,0.186674436674437,0.182828282828283,0.155555555555556,-0.03,0.02,0.0441379310344828,0.244524151123864,0.0717975055025679,0.1,0.206666666666667,0.1,0.202666666666667,0.204306010928962,0.142857142857143,0.1,0.166666666666667,0.244651262302097,0.180357142857143,0.201569264069264
"Wnt",-0.210673822301729,-0.333333333333333,-0.3,-0.366666666666667,-0.384057971014493,0.15564263322884,-0.400161943319838,-0.176410256410256,-0.286666666666667,-0.128995098039216,-0.0769966523194644,-0.306314699792961,0,-0.102844827586207,-0.206176470588235,0.0456327153286944,-0.160606060606061,0.17447026657553,-0.00909090909090909,0.169924812030075,0.025,0.0197368421052632,0.10959595959596,-0.1,0,0.1,0,-0.143760068937095,-0.012593984962406,-0.0775847457627119,-0.0159052432405517,-0.0197368421052632,-0.169924812030075,-0.169924812030075,-0.025,0.284696317551411,0.20952380952381,0.192857142857143,0.15,0,0.0333333333333333,0.0533333333333333,0.262745098039216,0.0827450980392157,-0.1,0.15,-0.1,0.159090909090909,0.163852813852814,-0.0666666666666667,0,0.1,0.18974358974359,-0.0466666666666667,-0.0216666666666667
"Frizzled",-0.219085037255,-0.366666666666667,-0.333333333333333,-0.384057971014493,-0.390724637681159,0.150188087774295,-0.407138687505885,-0.191303873431533,-0.297380952380952,-0.134045603089721,-0.0799669493491673,-0.314251207729469,-0.1,-0.105053029478951,-0.205224089635854,0.046958975275644,-0.175757575757576,0.175257668150333,-0.0137420718816068,0.17447026657553,0.0197368421052632,0.012593984962406,0.10334595959596,0,0.025,0.025,0.1,-0.145391770568797,-0.0159052432405517,-0.0772672854452515,-0.0187623860976946,-0.012593984962406,-0.17447026657553,-0.17447026657553,-0.0197368421052632,0.289646812600916,0.207563025210084,0.20952380952381,0.192857142857143,0.0333333333333333,0.0533333333333333,0.0827450980392157,0.281792717086835,0.101263616557734,-0.1,0.159090909090909,-0.0666666666666667,0.163852813852814,0.179981846110878,-0.0466666666666667,0.1,0.15,0.210673822301729,-0.0216666666666667,-0.00291666666666667
"DSH",-0.223235980651227,-0.384057971014493,-0.366666666666667,-0.390724637681159,-0.395254254405898,0.14902799496687,-0.411034791401989,-0.19656703132627,-0.307870462870463,-0.139471959678868,-0.0870535635223957,-0.316280193236715,0,-0.103772470689662,-0.210188628642947,0.0463864561916745,-0.17819660014782,0.170495763388428,-0.00994460352717639,0.175257668150333,0.012593984962406,0.0171691483610988,0.105784983986204,0.025,0.0197368421052632,0.0197368421052632,0.025,-0.14653312263201,-0.0187623860976946,-0.0766783572944859,-0.0190295276827346,-0.0159052432405517,-0.175257668150333,-0.175257668150333,-0.012593984962406,0.290434214175719,0.212458130105189,0.207563025210084,0.20952380952381,0.0533333333333333,0.0827450980392157,0.101263616557734,0.288588833591689,0.108030533850967,-0.0666666666666667,0.163852813852814,-0.0466666666666667,0.179981846110878,0.187957306233578,-0.0216666666666667,0.15,0.159090909090909,0.219085037255,-0.00291666666666667,0.00512931034482758
"GSK3",-0.225784706288408,-0.390724637681159,-0.384057971014493,-0.395254254405898,-0.39704912620077,0.0471977121049732,-0.414384073698639,-0.19898917665499,-0.312131114499536,-0.142829623912445,-0.0869049751122917,-0.317276870977579,0.025,-0.103341064304847,-0.212109243239617,0.0468443639056583,-0.174940786194331,0.168394923052294,-0.00948798252261017,0.170495763388428,0.0171691483610988,0.0204710351535517,0.108481349754082,0.0197368421052632,0.012593984962406,0.012593984962406,0.0197368421052632,-0.14656604986283,-0.0190295276827346,-0.0771204439434691,-0.0195558434722083,-0.0187623860976946,-0.170495763388428,-0.170495763388428,-0.0159052432405517,0.292663040327279,0.216354234001293,0.212458130105189,0.207563025210084,0.0827450980392157,0.101263616557734,0.108030533850967,0.290115551148941,0.112575988396422,-0.0466666666666667,0.179981846110878,-0.0216666666666667,0.187957306233578,0.188914244032621,-0.00291666666666667,0.159090909090909,0.163852813852814,0.223235980651227,0.00512931034482758,0.008548113763631
"SOSGRB2",-0.397265959846605,-0.34,-0.3,-0.363076923076923,-0.373715220949263,0.303537238824756,-0.395726495726496,-0.262121212121212,-0.163706140350877,-0.347273597614186,-0.151027568922306,-0.389304904051173,0,-0.37645294911234,-0.334811594202899,0.148941662364481,-0.374166666666667,0.189446617412719,0.0445338283828383,0.195856873822976,0.0678571428571429,0.0780020703933747,0.149529503771538,0,0.0428571428571429,0.0428571428571429,0,-0.217659207942449,-0.0726359376702626,-0.14398907998908,-0.0728271422591728,-0.0747412008281574,-0.195856873822976,-0.195856873822976,-0.0645962732919255,0.303884711779449,0.394533635378706,0.376223776223776,0.345454545454545,-0.152380952380952,-0.0968253968253968,-0.0725010725010725,0.292456140350877,-0.0452283452283452,0,0.316666666666667,0,0.335585585585586,0.344887911166981,0.0333333333333333,0.2,0.266666666666667,0.38258064516129,0.0701754385964912,0.0951754385964912
"RAS",-0.339146567717996,-0.34,-0.3,-0.369411764705882,-0.390203843913803,0.351886304909561,-0.406666666666667,-0.207707509881423,-0.247301886792453,-0.247798147053026,-0.183368924889543,-0.404877089478859,0,-0.334099391465634,-0.330943807965085,0.140747561677794,-0.232034632034632,0.199230769230769,-0.020368906455863,0.306923076923077,-0.00882352941176471,0.00367647058823529,0.172184615384615,-0.1,-0.05,-0.05,-0.1,-0.171748913882637,-0.000276306922114179,-0.108390303861584,0.00340641262462803,-0.00181476846057572,-0.306923076923077,-0.306923076923077,0.00882352941176471,0.315578055964654,0.332423038728898,0.307894736842105,0.25,-0.04,-0.015,0.0113157894736842,0.293928571428571,0.0407275541795666,-0.1,0.266666666666667,-0.1,0.294666666666667,0.292971751412429,-0.0666666666666667,0.1,0.2,0.320779220779221,-0.0333333333333333,-1.11022302462516e-17
"SRC",-0.249336178283547,-0.427777777777778,-0.377777777777778,-0.442063492063492,-0.451154401154401,0.210649350649351,-0.474887955182073,-0.18320920225091,-0.270869990224829,-0.150925076452599,-0.105667864630129,-0.383822488416821,0,-0.165370487895043,-0.267697360111153,0.0394119286510591,-0.262857142857143,0.186272992756097,-0.0426197458455523,0.1893032957864,-0.04,-0.0416393442622951,0.1189108476065,0,-0.05,-0.05,-0.1,-0.0850132982485924,0.0355417832866853,-0.0241322406825326,0.0339757877609583,0.0416393442622951,-0.1893032957864,-0.1893032957864,0.04,0.346825396825397,0.226666666666667,0.208809523809524,0.185,0.0333333333333333,0.0787878787878788,0.101010101010101,0.44405684754522,0.125538402896893,-0.1,0.17,-0.05,0.195925925925926,0.210631808278867,-0.05,0.1,0.15,0.241228070175439,-0.0269230769230769,0.011965811965812
