"","EGR1","RKIP","ERK","MEK","TWIST1","SNAI1","NOTCH","Csl","NOTCHic","FUS","SMO","RAF","STAT","AXIN2","Destcompl","cMet","RAS","LIV1","cateninmemb","SRC","ZEB2","ZEB1","TGF","SOSGRB2","miR200","CDC42","TGFR","PAK1","GSK3","Ecadherin","CD44","cateninnuc","Frizzled","GLI","TCFLEF","Wnt","PI3K","DELTA","KLF4","SUFU","HEY1","DSH","SHH","SMAD","ILK","Patched","AKT","SNAI2","NFB","TrCP","Jagged","IKK","Csn","cfos","FOXC2"
"Ecadherin",-0.0672727272727273,0.023838708108371,-0.0618755168421633,-0.0371696344892221,0.00462304499701805,0.0417689095926996,-0.048122316256702,-0.0513875598086124,-0.0276762196024269,0,0.01875,-0.0431033182503771,-0.0294117647058824,-0.12308770298728,-0.0521698543995806,-0.0284815321477428,-0.0229915864068016,0,0.0208298995494117,-0.00848153214774282,0.10797027765958,0.10797027765958,-0.0840695153359556,-0.0217319671391171,0.138067816727035,0.0780606060606061,0.0922069475240207,0.0927272727272727,-0.0302917613689782,-0.115953078579777,0.014769157565803,0.0173869086928209,0.00848153214774282,0.0141137160557888,0.0256035286741467,0.0274470493891221,0.0431033182503771,0.0431033182503771,0.109142053445851,-0.0333333333333333,0.0194115083495265,0.0294117647058824,-0.0169465963931928,0.0283580727795908,0.0281159420289855,-0.00907258064516129,0.0376334776334776,0.136850686384406,0.0361904761904762,0,0.0182083121118866,0.0584126984126984,0.06,0.0319786096256684,0.0187624754874025
"KLF4",-0.04,0.0406926406926407,-0.0319786096256684,-0.0618755168421633,0.00816122004357299,0.0227815678205477,-0.0276762196024269,-0.0145454545454545,-0.0513875598086124,0.0333333333333333,0,-0.0158974358974359,0,-0.127829971028517,-0.0344624918646319,-0.00848153214774282,-0.0431033182503771,-0.0333333333333333,0.0169837457032579,-0.0294117647058824,0.119344685242518,0.119344685242518,-0.0922069475240207,-0.0125214408233276,0.137509157509158,0.0927272727272727,0.0780606060606061,0.0727272727272727,-0.0523668165566162,-0.0124477231756879,0.0284815321477428,0.0256035286741467,0.0294117647058824,0.0274470493891221,0.014769157565803,0.00848153214774282,0.0158974358974359,0.0158974358974359,0.0888888888888889,0,0.0147135217723453,0,-0.00907258064516129,0.0281159420289855,0.0266666666666667,-0.01875,0.0584126984126984,0.132576152970799,0.06,0.1,0.0271327972377448,0.0361904761904762,0,0.0672727272727273,0.00800732674598374
"HEY1",-0.04,0.0406926406926407,-0.0319786096256684,-0.0618755168421633,0.00816122004357299,0.0227815678205477,-0.0276762196024269,-0.0145454545454545,-0.0513875598086124,0.0333333333333333,0,-0.0158974358974359,0,-0.127829971028517,-0.0344624918646319,-0.00848153214774282,-0.0431033182503771,-0.0333333333333333,0.0169837457032579,-0.0294117647058824,0.119344685242518,0.119344685242518,-0.0922069475240207,-0.0125214408233276,0.137509157509158,0.0927272727272727,0.0780606060606061,0.0727272727272727,-0.0523668165566162,-0.0124477231756879,0.0284815321477428,0.0256035286741467,0.0294117647058824,0.0274470493891221,0.014769157565803,0.00848153214774282,0.0158974358974359,0.0158974358974359,0.0888888888888889,0,0.0147135217723453,0,-0.00907258064516129,0.0281159420289855,0.0266666666666667,-0.01875,0.0584126984126984,0.132576152970799,0.06,0.1,0.0271327972377448,0.0361904761904762,0,0.0672727272727273,0.00800732674598374
"SUFU",0.187692307692308,-0.00638053159408093,0.16177799212282,0.133267353824947,0.0727426444570739,-0.0592521224112996,0.0119119769119769,0.00469696969696969,-0.0134848484848485,-0.0683333333333333,-0.085,0.0568042980681348,0.183333333333333,0.35028815164485,0.0890327289632206,0.185382955771305,0.0362346778149702,0.15,-0.19361725690737,0.161111111111111,0.160915227111411,0.160915227111411,0.0318127695869103,0.062765304870568,0.153394289058167,-0.0231531531531532,-0.0391105999616638,-0.0366666666666667,0.0731429883611935,0.105843959605852,-0.173352880583335,-0.178637407437555,-0.0652777777777778,-0.0760870428621358,-0.18666809797464,-0.0883547008547008,-0.0568042980681348,-0.0568042980681348,0.167097498991089,0.0933333333333333,0.0467390824645932,-0.0875,0.081996996996997,0.042147876956042,0.0433026113671275,0.0738888888888889,-0.0660941072350468,-0.364022587270674,-0.0728571428571429,-0.05,-0.0987621776174562,-0.0882417582417583,-0.0928571428571429,-0.142237762237762,-0.0608060913385543
"Patched",0.1,-0.0228571428571429,0.18,0.187692307692308,0.0638888888888889,-0.0247311827956989,-0.0303030303030303,0,0.0333333333333333,-0.1,-0.133333333333333,0.0461538461538462,0.1,0.341558441558442,0.0579020979020979,0.15,0.0711538461538462,0.1,-0.185358422939068,0.2,0.166666666666667,0.166666666666667,0.0366666666666667,0.0666666666666667,0.171428571428571,0,-0.02,0.1,0.103296703296703,0.102651024811219,-0.183333333333333,-0.185382955771305,-0.1,-0.0875,-0.161111111111111,-0.05,-0.0461538461538462,-0.0461538461538462,0.211111111111111,0,0.058974358974359,0,0.0683333333333333,0.05,0.05,0.0933333333333333,-0.0928571428571429,-0.350804597701149,-0.1,0,-0.103068783068783,-0.05,0,-0.2,-0.05
"SHH",0,0.02,0.2,0.18,0.075,-0.0666666666666667,0.0333333333333333,0.1,0,0,-0.1,0.1,0.1,0.314285714285714,0.0963636363636364,0.2,0.0461538461538462,0,-0.193691756272401,0.1,0.2,0.2,0.02,0.1,0.2,0.1,0,0.2,0.0461538461538462,0.111388888888889,-0.15,-0.161111111111111,0,-0.05,-0.183333333333333,-0.1,-0.1,-0.1,0.2,0,0.0666666666666667,0,0.0933333333333333,0.05,0.0666666666666667,0.133333333333333,-0.05,-0.357471264367816,0,0,-0.0771428571428571,-0.1,0,-0.1,-0.1
"TGF",-0.0333333333333333,0.0489177489177489,-0.0100250626566416,0.0099749373433584,0.035,0.0663986013986014,0.196436781609195,0.193333333333333,0.203333333333333,0.113333333333333,0.13,-0.00476190476190476,0,-0.0155202821869489,-0.0474502662384263,-0.02,0.00773809523809524,0,-0.00950365367489784,0,0.211467998058387,0.211467998058387,-0.143928571428571,0.0986842105263158,0.225973260456019,0.0266666666666667,0.0457142857142857,0.06,-0.0421116391762184,0.0322317144734989,0.0143396226415094,0.0224735939333755,-0.0142857142857143,5.390835579515e-05,0.0248659384309831,0.00571428571428572,0.00476190476190476,0.00476190476190476,0.20419527078566,-0.133333333333333,-0.0984526112185687,0,-0.126551724137931,-0.125855327468231,-0.124242424242424,-0.126551724137931,-0.0726190476190476,-0.127793564384959,-0.0583333333333333,0,-0.120992881688758,-0.0726190476190476,-0.0333333333333333,0.00476190476190476,-0.0788975155279503
"TWIST1",-0.133333333333333,0.128808598373816,-0.104500381388253,-0.10798296845293,-0.0826891504122625,0.164722738966443,0.0108831908831909,0.0237037037037037,0.0108831908831909,0.244444444444444,0.232444444444444,-0.0801281600775592,-0.133333333333333,-0.191815764880281,-0.124718993865134,-0.138888888888889,-0.0835528176118058,-0.133333333333333,-0.0959015182470249,-0.138888888888889,0.223980120471349,0.223980120471349,-0.0262245699473726,-0.051731893837157,0.237396848688118,0.0268965517241379,0.0218965517241379,0.02,-0.132411916381058,0.174194227544611,0.144109772423025,0.145893022552696,0.138888888888889,0.142636257309942,0.143650354352581,0.137836257309942,0.0801281600775592,0.0801281600775592,0.201011048572024,-0.233333333333333,-0.105494505494505,0.133333333333333,-0.233321696620705,-0.101047672334801,-0.103357903357903,-0.233814307458143,-0.0107592971999752,-0.15446136923408,-0.00769230769230769,0,0.0424940936257563,-0.0124542124542125,0,0.120289855072464,-0.139971965393946
"cateninmemb",-0.0709090909090909,0.159867188278103,-0.0487138210485694,-0.0381255857544517,-0.174880661140931,0.171005147704706,-0.14245495822176,-0.131961722488038,-0.130930794652987,0.216666666666667,0.216666666666667,-0.101866515837104,-0.250980392156863,-0.328101383948398,-0.163256335643326,-0.259959158587601,-0.095721264440456,-0.233333333333333,0.177048218377473,-0.248654810761514,0.239956372671294,0.239956372671294,-0.224227150435239,-0.0264481959616021,0.258684933936331,0.217090909090909,0.224407982261641,0.221090909090909,-0.144825817809883,-0.00257894256243235,0.258286917784925,0.26115187447744,0.248654810761514,0.256999638347721,0.263392770835984,0.258999638347721,0.101866515837104,0.101866515837104,0.200375058602907,-0.233333333333333,0.0371066596254121,0.250980392156863,-0.216590466514266,0.0619267993122083,0.060231884057971,-0.213440860215054,0.117258297258297,0.344085461446909,0.115238095238095,0.1,0.267382815769149,0.126349206349206,0.12,0.0414973262032086,0.0224338853964831
"cateninnuc",-0.0268115942028985,0.0767977688151385,-0.0215272863869452,-0.0458392129924497,-0.100881250142011,0.0696797584578718,-0.0688167378687678,-0.0560577526679222,-0.0874531015051315,0.186666666666667,0.171912568306011,-0.044998514998515,-0.189044289044289,-0.404752185610132,-0.0832174268889774,-0.204382453295497,-0.0673890873890874,-0.212121212121212,0.203649137973575,-0.219599844599845,0.253817966488357,0.253817966488357,-0.263220857444017,0.0232051494863424,0.279939543978714,0.261142857142857,0.252522167487685,0.241142857142857,-0.0871395613583721,-0.12355015248043,0.220652294565338,0.119435098138965,0.21781141233196,0.218404297707454,0.210570143706488,0.202594021027612,0.044998514998515,0.044998514998515,0.196517322140098,-0.166666666666667,0.0401473459610701,0.189044289044289,-0.175282032033531,0.0603344889156622,0.0593795093795094,-0.182471574517191,0.106552083333333,0.403458547169912,0.108333333333333,0.1,0.219266543851953,0.0823333333333333,0.075,0.0569703243616287,-0.0363565287171844
"miR200",0.0142857142857143,0.0010191022777605,0.0124675324675325,-0.0031787260358689,0.0748866675247044,-0.0221961371961372,-0.00421307506053268,0.00128078817733991,-0.0228571428571429,-0.0075,-0.0208333333333333,0.0812705702257941,0.04,0.0829479401835526,0.0347868794833004,0.0306919779546846,0.0620685752133253,0,0.0154414022600623,0.00956521739130435,0.30989247311828,0.30989247311828,0.0219501566568113,-0.019103803997421,0.238117852838287,-0.0227941176470588,-0.0260199240986717,-0.0208333333333333,-0.0620422182768368,-0.0078645313020313,-0.0149616408760329,-0.0181723190867112,-0.012,-0.0177421451787649,-0.0272632281776202,-0.0331267605633803,-0.0812705702257941,-0.0812705702257941,0.301949620427881,0.02,-0.00169491525423729,-0.04,0.0192235369656944,-0.00261623456618879,-0.00104883644706654,0.00944092827004219,-0.0110029791459782,-0.102679459039408,-0.00421052631578948,0,0.00999865739630784,-0.0242105263157895,-0.02,0.00571428571428572,-0.00543813909667569
"TCFLEF",0.0228571428571429,0.0952743720438995,0.0324274099883856,0.0371893147502904,-0.00318452700539679,0.175509156115851,-0.0553573216013575,-0.0562888570062171,-0.0523672883787661,0.0566666666666667,0.0566666666666667,-0.0520471637186439,-0.125,-0.479930158730159,-0.141436470372275,-0.130982905982906,-0.0448198312613508,-0.1,0.124571258418346,-0.125,0.318488437001595,0.318488437001595,-0.18974470432849,0.0237058191309688,0.336541403710078,0.186940966010733,0.18974470432849,0.184615384615385,-0.0844040223066359,-0.10533569720948,0.129096113530076,0.0298120356377505,0.117647058823529,0.122387728781591,0.0312725167374068,0.123629964806435,0.0520471637186439,0.0520471637186439,0.218800929462694,-0.05,0.0372824563072922,0.117647058823529,-0.0588930668249884,0.0530035314835556,0.0509002810055442,-0.0582795698924731,0.0980629678876523,0.218760490078909,0.0851948051948052,0.114285714285714,0.15224652681709,0.10132383745287,0.105194805194805,-0.044808362369338,-0.16787714039191
"SRC",-0.0333333333333333,-0.0379928315412186,-0.0171717171717172,-0.00773775490756623,0.0353505115574081,0.0521748691441221,0.0938095238095238,0.095,0.0902380952380952,0.0333333333333333,0.0333333333333333,-0.1706967042136,0,-0.154275574822559,-0.0249705367096671,-0.11,-0.161605795122691,0,-0.10001384523275,-0.1,0.334037136867326,0.334037136867326,0.0388239538239538,0.0871428571428571,0.338178890352803,-0.0472222222222222,-0.0424603174603175,-0.0222222222222222,0.0118614718614719,0.205879594261947,0.108360655737705,0.109031796677302,0.1,0.108360655737705,0.108360655737705,0.11,0.1706967042136,0.1706967042136,0.421834625322997,-0.0333333333333333,0.0412777226084078,0.1,-0.0311546840958606,0.00633594120436226,0.00723684210526316,-0.037037037037037,0.0978632478632479,-0.0290635221691601,0.1,0.1,0.0271512585274053,0.0923076923076923,0.1,0.00606060606060606,-0.114285714285714
"GLI",0.265714285714286,0.103101922903313,0.243095238095238,0.249172586161536,0.0330537647600466,0.0499964717277689,-0.0813512062649994,-0.0890893015030946,-0.0765893015030946,0.0351190476190476,0.0403822055137845,0.0101470759214045,-0.12,-0.139791666666667,-0.085129932269111,-0.115200629425649,0.0178698481986322,-0.1,-0.0918243934045294,-0.110322580645161,0.34965873015873,0.34965873015873,-0.0889765522344266,-0.0402838754166188,0.3690682588825,0.0881034482758621,0.0925059639991325,0.095,0.136690731718369,0.124964071443313,0.108304077701511,0.108468453075092,0.190322580645161,0.0898219548629335,0.11187550627294,0.196204933586338,-0.0101470759214045,-0.0101470759214045,0.351133419133419,-0.0476190476190476,0.0703387868498225,0.2,-0.0383581860294475,0.075628491449387,0.0772501130710086,-0.0363005728607232,0.0713946324143692,-0.0461680196762859,0.060233918128655,0.0333333333333333,0.0917874424517582,0.0745196324143692,0.0444444444444444,-0.257380952380952,-0.122953108875129
"DELTA",0.1,0.138461538461538,0.18,0.146666666666667,0.054,0.0833333333333333,0.0542857142857143,0.1,0.04,0,-0.0333333333333333,-0.0333333333333333,0,-0.134285714285714,-0.0715212355212355,-0.08,-0.0606060606060606,0,-0.0762136455094202,-0.1,0.413768115942029,0.413768115942029,-0.0453333333333333,-0.06,0.427272727272727,0,0.0333333333333333,0,-0.0241379310344828,0.114140350877193,0.103076923076923,0.0978155178155178,0.1,0.103076923076923,0.0879254079254079,0.08,0.0333333333333333,0.0333333333333333,0.383333333333333,0,0.133333333333333,0,0.016025641025641,0.0380952380952381,0.0333333333333333,0.00833333333333333,0.0444444444444444,-0.0295374560080442,0,0,0.0651948051948052,0.0333333333333333,0,-0.2,-0.177142857142857
"NOTCH",0.2,0.121220159151194,0.146666666666667,0.153809523809524,0.0556949152542373,0.0971794871794872,-0.0553917050691244,0.04,0.0542857142857143,-0.0333333333333333,-0.00833333333333333,-0.0606060606060606,-0.1,-0.132398921832884,-0.0883436654277776,-0.103076923076923,-0.0446640316205534,0,-0.0704544832057552,-0.08,0.42487922705314,0.42487922705314,-0.0421075268817204,-0.0336842105263158,0.441558441558442,0.0333333333333333,0.0453333333333333,0,-0.00595611285266458,0.111720996038483,0.0879254079254079,0.0900604157747015,0.08,0.0879254079254079,0.0978155178155178,0.103076923076923,0.0606060606060606,0.0606060606060606,0.413768115942029,0,0.13768115942029,0.1,0.0101432880844646,0.0414285714285714,0.0380952380952381,0.016025641025641,0.0444444444444444,-0.0247755512461395,0.0333333333333333,0,0.0577873977873978,0.0444444444444444,0,-0.18,-0.171020408163265
"CDC42",0.18,0.122913752913753,0.155652173913043,0.150567428150332,0.0548658008658009,0.0810301934352567,-0.0423076923076923,-0.05,-0.05,-0.019047619047619,-0.019047619047619,-0.035239651416122,-0.1,-0.143448275862069,-0.0928263258422682,-0.108888888888889,-0.0401177001966098,-0.1,-0.0948757708799977,-0.12,0.431598062953995,0.431598062953995,-0.0290170613700025,-0.0319444444444444,0.447907647907648,0.0285714285714286,0.0305322128851541,0.114285714285714,0.0064745670995671,0.131375674220125,0.114294294294294,0.112677132578123,0.12,0.114152046783626,0.109343799244789,0.108888888888889,0.035239651416122,0.035239651416122,0.419142857142857,0.0333333333333333,0.0342328835582209,0.1,0.0195255162997098,0.0397081413210445,0.0380952380952381,0.0158218125960061,0.056359649122807,-0.058066799380668,0.0333333333333333,0,0.0600694444444445,0.0458333333333333,0.0333333333333333,-0.16,-0.174871899979504
"STAT",0.166666666666667,0.151024774774775,0.174901960784314,0.184579380139152,-0.00389999805292159,0.123054664765092,-0.0462047427210191,-0.0509803921568627,-0.0374668786433492,0,0.00666666666666667,-0.0856389578163772,-0.114285714285714,-0.166205167381638,-0.0971319306191183,-0.118831168831169,-0.0766837339357802,0,-0.0884394233825474,-0.114285714285714,0.432642998027613,0.432642998027613,-0.0607054526962994,-0.0808292282430213,0.453844590986185,0.0590909090909091,0.0669856459330144,0.0590909090909091,-0.0622474410324877,0.194556488860164,0.114557664557665,0.115917252169475,0.114285714285714,0.1146294881589,0.118658610929904,0.118831168831169,0.0856389578163772,0.0856389578163772,0.527153891859774,0,0.0386666666666667,0.114285714285714,-0.00234478973725732,0.0441445943694819,0.0429951690821256,0.000310077519379845,0.0521146085552865,0.0406920839738177,0.03,0,0.0648420880951549,0.0538095238095238,0.05,-0.186666666666667,-0.174922972051806
"TrCP",0.16,0.116836404847455,0.150567428150332,0.155900761483665,0.0548658008658009,0.0846101457025598,-0.0467032967032967,-0.05,-0.0423076923076923,-0.019047619047619,-0.0158218125960061,-0.0401177001966098,-0.12,-0.141561483409239,-0.0979391077971554,-0.114294294294294,-0.0337540638329734,-0.1,-0.0935937195979465,-0.108888888888889,0.433848866812516,0.433848866812516,-0.0279241651951392,-0.0269939493949395,0.451460947400034,0.0305322128851541,0.0290170613700025,0.0285714285714286,0.0130200216450216,0.130476020240886,0.109343799244789,0.110332304991916,0.108888888888889,0.109761802881187,0.112677132578123,0.114152046783626,0.0401177001966098,0.0401177001966098,0.428978922716628,0.019047619047619,0.035703471793515,0.12,0.0185255162997098,0.0397081413210445,0.0397081413210445,0.0195255162997098,0.0526559454191033,-0.0569818084222593,0.0458333333333333,0.0333333333333333,0.0576154567143831,0.056359649122807,0.0333333333333333,-0.155652173913043,-0.170733968945021
"PAK1",0.16,0.116836404847455,0.150567428150332,0.155900761483665,0.0548658008658009,0.0846101457025598,-0.0467032967032967,-0.05,-0.0423076923076923,-0.019047619047619,-0.0158218125960061,-0.0401177001966098,-0.12,-0.141561483409239,-0.0979391077971554,-0.114294294294294,-0.0337540638329734,-0.1,-0.0935937195979465,-0.108888888888889,0.433848866812516,0.433848866812516,-0.0279241651951392,-0.0269939493949395,0.451460947400034,0.0305322128851541,0.0290170613700025,0.0285714285714286,0.0130200216450216,0.130476020240886,0.109343799244789,0.110332304991916,0.108888888888889,0.109761802881187,0.112677132578123,0.114152046783626,0.0401177001966098,0.0401177001966098,0.428978922716628,0.019047619047619,0.035703471793515,0.12,0.0185255162997098,0.0397081413210445,0.0397081413210445,0.0195255162997098,0.0526559454191033,-0.0569818084222593,0.0458333333333333,0.0333333333333333,0.0576154567143831,0.056359649122807,0.0333333333333333,-0.155652173913043,-0.170733968945021
"LIV1",0.16,0.116836404847455,0.150567428150332,0.155900761483665,0.0548658008658009,0.0846101457025598,-0.0467032967032967,-0.05,-0.0423076923076923,-0.019047619047619,-0.0158218125960061,-0.0401177001966098,-0.12,-0.141561483409239,-0.0979391077971554,-0.114294294294294,-0.0337540638329734,-0.1,-0.0935937195979465,-0.108888888888889,0.433848866812516,0.433848866812516,-0.0279241651951392,-0.0269939493949395,0.451460947400034,0.0305322128851541,0.0290170613700025,0.0285714285714286,0.0130200216450216,0.130476020240886,0.109343799244789,0.110332304991916,0.108888888888889,0.109761802881187,0.112677132578123,0.114152046783626,0.0401177001966098,0.0401177001966098,0.428978922716628,0.019047619047619,0.035703471793515,0.12,0.0185255162997098,0.0397081413210445,0.0397081413210445,0.0195255162997098,0.0526559454191033,-0.0569818084222593,0.0458333333333333,0.0333333333333333,0.0576154567143831,0.056359649122807,0.0333333333333333,-0.155652173913043,-0.170733968945021
"EGR1",0.16,0.116836404847455,0.150567428150332,0.155900761483665,0.0548658008658009,0.0846101457025598,-0.0467032967032967,-0.05,-0.0423076923076923,-0.019047619047619,-0.0158218125960061,-0.0401177001966098,-0.12,-0.141561483409239,-0.0979391077971554,-0.114294294294294,-0.0337540638329734,-0.1,-0.0935937195979465,-0.108888888888889,0.433848866812516,0.433848866812516,-0.0279241651951392,-0.0269939493949395,0.451460947400034,0.0305322128851541,0.0290170613700025,0.0285714285714286,0.0130200216450216,0.130476020240886,0.109343799244789,0.110332304991916,0.108888888888889,0.109761802881187,0.112677132578123,0.114152046783626,0.0401177001966098,0.0401177001966098,0.428978922716628,0.019047619047619,0.035703471793515,0.12,0.0185255162997098,0.0397081413210445,0.0397081413210445,0.0195255162997098,0.0526559454191033,-0.0569818084222593,0.0458333333333333,0.0333333333333333,0.0576154567143831,0.056359649122807,0.0333333333333333,-0.155652173913043,-0.170733968945021
"ZEB1",0.133333333333333,0.116433469818383,0.133333333333333,0.147870778267254,0.175149524946784,0.104275089514315,0.0704494814454707,0.0645833333333333,0.0861519607843137,0.0541666666666667,0.0678030303030303,0.0841656974429044,-0.00512820512820513,0.114273604207842,0.011495331709164,-0.00374130890630174,0.0997562486240068,0.0333333333333333,-0.0063596800880373,0.0119449656035022,0.435284282551678,0.435284282551678,0.0434866679401283,0.00526315789473685,0.455518772517379,-0.0437864401132767,-0.0371874553417031,-0.0423371647509579,-0.0787219974161867,-0.0565768203727309,-0.00736980220480938,-0.00527441143993449,-0.0218350754936121,-0.017103381071196,0.00167275098667999,-0.00645046010899669,-0.0841656974429044,-0.0841656974429044,0.439875579943791,-0.0666666666666667,-0.0770099762068674,-0.00476190476190476,-0.0647606745707018,-0.088196296386766,-0.0891578348483044,-0.0579991087344029,-0.133044907350343,-0.163379437896004,-0.139649122807018,-0.133333333333333,-0.0944996735981919,-0.121616335921772,-0.113333333333333,-0.153333333333333,-0.217123399630933
"SNAI1",0.155652173913043,0.119346865098501,0.155900761483665,0.15276174803075,0.0543529803529804,-0.0191265091017106,-0.0434379905808477,-0.0423076923076923,-0.0467032967032967,-0.0158218125960061,-0.0195255162997098,-0.0337540638329734,-0.108888888888889,-0.14296008480784,-0.0939917393761028,-0.109343799244789,-0.0380233577574398,-0.12,-0.0943191081989827,-0.114294294294294,0.437415902482873,0.437415902482873,-0.0285290039048166,-0.0281260248666376,0.45424673030109,0.0290170613700025,0.0279241651951392,0.0305322128851541,0.00820153979683683,0.130788195058784,0.112677132578123,0.112139222906216,0.114152046783626,0.112869663941516,0.110332304991916,0.109761802881187,0.0337540638329734,0.0337540638329734,0.430536555115382,0.019047619047619,0.035703471793515,0.108888888888889,0.0202730891152438,0.039093135170983,0.0397081413210445,0.0185255162997098,0.0561281676413255,-0.0578198908895741,0.056359649122807,0.0333333333333333,0.0597331037732066,0.0526559454191033,0.0458333333333333,-0.150567428150332,-0.172639940990765
"Csl",0.146666666666667,0.120480235739757,0.145238095238095,0.156107660455487,0.0534858489964466,0.0930428830428831,-0.0522338103322823,-0.0553917050691244,-0.0422338103322823,-0.016025641025641,-0.0101432880844646,-0.0550088592067603,-0.103076923076923,-0.135126713892296,-0.085911002417418,-0.0978155178155178,-0.0439794474420544,-0.08,-0.0707978220598037,-0.0879254079254079,0.437848328751524,0.437848328751524,-0.0406169943629804,-0.0283257478507799,0.456529413890856,0.0421075268817204,0.0440183549071981,0.0453333333333333,-0.00890283810491935,0.111545063847166,0.0900604157747015,0.0920317930939112,0.0879254079254079,0.0903447627641176,0.0963199577594343,0.0976028272802466,0.0550088592067603,0.0550088592067603,0.4351966873706,0.00833333333333333,0.138103482195554,0.103076923076923,0.0142218939428257,0.0421479958890031,0.0421479958890031,0.0176701698048947,0.0537467700258398,-0.025069053986146,0.0444444444444444,0.0333333333333333,0.0603846659993183,0.0607235142118863,0.0444444444444444,-0.153809523809524,-0.171613659924481
"NOTCHic",0.18,0.131079314080771,0.153809523809524,0.145238095238095,0.0550659844366272,0.083951973951974,-0.0422338103322823,0.0542857142857143,-0.0553917050691244,-0.00833333333333333,-0.016025641025641,-0.0446640316205534,-0.08,-0.13795447738844,-0.0763436654277776,-0.0879254079254079,-0.0550088592067603,-0.1,-0.073091400041455,-0.103076923076923,0.438953301127214,0.438953301127214,-0.0440183549071981,-0.0291387559808612,0.453697169882141,0.0453333333333333,0.0421075268817204,0.0333333333333333,-0.0208321459105158,0.113405528963445,0.0978155178155178,0.0963199577594343,0.103076923076923,0.0976028272802466,0.0900604157747015,0.0879254079254079,0.0446640316205534,0.0446640316205534,0.420910973084886,0.0333333333333333,0.136142697881828,0.08,0.0176701698048947,0.0421479958890031,0.0414285714285714,0.0101432880844646,0.0607235142118863,-0.0273807616669812,0.0444444444444444,0,0.0650721659993183,0.0444444444444444,0.0333333333333333,-0.146666666666667,-0.179084924292298
