"","FOXC2","NFB","FUS","TWIST1","SNAI1","EGR1","AKT","SMO","IKK","SUFU","SNAI2","Csn","cfos","RKIP","SOSGRB2","cateninmemb","Destcompl","TCFLEF","cateninnuc","STAT","AXIN2","TGFR","ZEB1","RAF","DELTA","RAS","PI3K","GSK3","PAK1","TGF","CDC42","SRC","cMet","CD44","Frizzled","DSH","Wnt","LIV1","GLI","Ecadherin","NOTCH","NOTCHic","Csl","Jagged","miR200","MEK","SMAD","ERK","Patched","ILK","TrCP","SHH","HEY1","ZEB2","KLF4"
"Patched",0.035,0.1,-0.1,0.0388888888888889,-0.0505376344086022,0.1,0.107142857142857,-0.0666666666666667,0.15,-0.2,0.332137931034483,0,0,-0.0628571428571429,-0.166666666666667,0.136810035842294,0.345294705294705,0.15,0.160679611650485,0.1,0.0463203463203463,-0.113333333333333,0.0583333333333333,0.223076923076923,0.223076923076923,0.241826923076923,-0.223076923076923,0.302930402930403,0.0333333333333333,0.146666666666667,0.133333333333333,-0.1,-0.1,-0.133333333333333,0,0,0,-0.1,-0.025,-0.0351294498381877,0.227272727272727,0.2,0.2,0.126560846560847,-0.0452380952380952,0.0676923076923077,-0.00666666666666666,0.06,0.0266666666666667,0.0333333333333333,0,0.00166666666666667,0.0435897435897436,0.025,-0.0333333333333333
"CD44",-0.03625,0,-0.1,-0.0139194139194139,-0.00869218500797449,-0.1,0.00666666666666667,-0.05,0,-0.1,0.116665556665557,0,-0.1,-0.0566666666666667,0.080952380952381,-0.0706410256410257,-0.244865218814799,-0.0909302325581395,-0.0986225402504472,-0.1,-0.07,-0.0466666666666667,-0.0444444444444444,-0.0476190476190476,-0.0476190476190476,-0.0504761904761905,0.0476190476190476,-0.213690476190476,0.0666666666666667,0.03,0.0466666666666667,0.2,0.15,0.07,0.1,0,0.05,0.1,0.07,0.0143898599500597,0.112781954887218,0.128571428571429,0.2,0.0353379953379953,-0.0290865173473869,0.05,0.0450113378684807,0.08,0.03,0.0388888888888889,-0.1,0.0390909090909091,0.0929824561403509,0.0507936507936508,0.16984126984127
"cMet",-0.0425791139240506,0,-0.05,-0.0352677285261555,-0.000217608736788052,-0.1,-0.0120833333333333,-0.03,0.00666666666666667,-0.1,0.11301592162906,0,-0.08,-0.0788888888888889,0.080952380952381,-0.0766908477050826,-0.257027380976961,-0.0986225402504472,-0.0986225402504472,-0.2,-0.0747619047619048,-0.03,-0.0515151515151515,-0.0504761904761905,-0.0504761904761905,-0.0636837376460018,0.0504761904761905,-0.226593701996928,0.0466666666666667,0.0491489361702128,0.0466666666666667,0.15,0.07,0.0909302325581395,0.05,0.1,0.07,0.1,0.0927272727272727,0.0146443128762684,0.11065429531275,0.112781954887218,0.128571428571429,0.0288162562075606,-0.0509615173473869,0.0263636363636364,0.0486477015048444,0.05,0.0390909090909091,0.0450113378684807,0,0.0484659090909091,0.0988648090815274,0.0639249639249639,0.150793650793651
"TGFR",-0.00604674658927554,-0.0404761904761905,-0.123333333333333,-0.000628047976802429,0.0081816306514617,-0.0666666666666667,-0.0223611353966311,-0.112988505747126,-0.0246867167919799,-0.0733333333333333,0.0069832843074375,0.0166666666666667,-0.0403508771929825,-0.075021645021645,0.0796783625730994,-0.0061946746663721,-0.00925941816479393,-0.00224564412747134,-0.00251136600523927,0,-0.00166375245059079,-0.102142857142857,-0.0138299361648958,0.0875,0.0875,0.0904239766081871,-0.0875,-0.0798654842808164,-0.0133333333333333,0.104979736575481,0.02,0,0.00188679245283019,0.0032025819265144,0.0142857142857143,0.0142857142857143,0.0161725067385445,0,0.0181079906095122,0.0103458402309655,0.224849086248243,0.229885057471264,0.233333333333333,0.119094843226399,-0.0503141062373543,0.0510966915004406,0.105985987761903,0.0647953216374269,0.106738505747126,0.120576735092864,0.0333333333333333,0.117472969023963,0.151011865238604,0.0769872988335058,0.0680078820239003
"TCFLEF",-0.185622290590751,0.127168831168831,0.18,0.0491264286929088,-0.218768014876801,-0.204285714285714,0.140072056975283,0.194285714285714,0.140072056975283,0.2,0.285561645502014,0.131168831168831,-0.216480836236934,-0.0907838545254167,-0.29742545677875,0.190674502207266,0.243557713624729,0.131324009097302,0.134330881949536,0.2125,0.0875457875457875,-0.0934612876799358,-0.172537037037037,0.123825100242068,0.123825100242068,0.129212748073868,-0.123825100242068,0.187036362644585,0.0846153846153846,0.0951169168190086,0.0915921288014311,-0.2175,-0.223482905982906,-0.226627560070956,-0.222647058823529,-0.217647058823529,-0.228629964806435,-0.2,-0.231735554868547,-0.167030706756654,0.223428891314514,0.21445879164674,0.210537223019289,0.120442336558341,-0.0206277925555034,0.233895802223328,-0.0758482395803519,0.225052264808362,-0.187834101382488,-0.0710681248575985,-0.0857142857142857,-0.192742076842611,-0.0121484441906937,0.0961207690944533,0.0884867583396995
"cfos",-0.181839174694268,0.05,0.0571428571428571,-0.0647186147186147,-0.0786443092772207,-0.08,0.0625,0.0571428571428571,0.0625,0.1,-0.127484753689133,0.1,-0.12,-0.0303030303030303,-0.141666666666667,0.121655979234711,0.139756427722141,0.0873747014341074,0.0873747014341074,0.1,0.0785057471264368,0.00812324929971988,-0.100057650178716,0.0117102396514161,0.0117102396514161,0.0202468250172698,-0.0117102396514161,0.12,-0.0428571428571429,-0.0096384008148714,0.00952380952380953,-0.08,-0.0762962962962963,-0.0844044044044044,-0.08,-0.1,-0.0762962962962963,-0.1,-0.0841910331384016,-0.091452682257521,-0.0212820512820513,-0.0166666666666667,-0.0166666666666667,-0.0127777777777778,0.00491044902809608,0.159351510685335,-0.0486089776412357,0.167826086956522,-0.0539170506912442,-0.0195767195767196,0,-0.040336803777664,-0.023888055972014,0.100299780929321,0.0870476190476191
"CDC42",-0.181839174694268,0.05,0.0571428571428571,-0.0647186147186147,-0.0786443092772207,-0.18,0.0625,0.0571428571428571,0.0625,0.1,-0.127484753689133,0.1,-0.12,-0.0303030303030303,-0.141666666666667,0.121655979234711,0.139756427722141,0.0873747014341074,0.0873747014341074,0.1,0.0785057471264368,0.00812324929971988,-0.100057650178716,0.0117102396514161,0.0117102396514161,0.0202468250172698,-0.0117102396514161,0.12,0.0571428571428571,-0.0096384008148714,0.00952380952380953,-0.08,-0.0762962962962963,-0.0844044044044044,-0.08,-0.1,-0.0762962962962963,-0.1,-0.0841910331384016,-0.091452682257521,-0.0212820512820513,-0.0166666666666667,-0.0166666666666667,-0.0127777777777778,0.00491044902809608,0.159351510685335,-0.0486089776412357,0.167826086956522,-0.0539170506912442,-0.0195767195767196,0,-0.040336803777664,-0.023888055972014,0.100299780929321,0.0870476190476191
"NFB",-0.110554951909534,0.280952380952381,0.18,0.0998319327731092,-0.182120944535459,-0.142857142857143,0.286177606177606,0.168888888888889,0.272844272844273,0.12,0.344720691781186,0.314285714285714,-0.162857142857143,-0.112771472607538,-0.273321539141973,0.211503208141431,0.358816978588432,0.167538054450734,0.17263609366642,0.133333333333333,0.114042553191489,-0.125640404040404,-0.187613574165298,0.215821851861319,0.215821851861319,0.22179200111505,-0.215821851861319,0.42403253609136,0.122222222222222,0.122475847078379,0.104040404040404,-0.148717948717949,-0.156410256410256,-0.160365058670143,-0.148717948717949,-0.133333333333333,-0.156410256410256,-0.1,-0.160904638432728,-0.192619461744884,0.135931666899409,0.124963924963925,0.104329004329004,0.00500421406080384,-0.00702017803554649,0.187432306255836,-0.171480977093992,0.160634920634921,-0.175785440613027,-0.181518151815182,-0.3,-0.187833633384111,-0.175657894736842,0.100905770172558,0.10485347985348
"PI3K",-0.304543554006969,0.1,0.1,-0.0628528436796434,-0.259669887278583,-0.2,0.122322775263952,0.0833333333333333,0.0941176470588235,0,0.0143213514637057,0.0333333333333333,-0.185714285714286,-0.201486748545572,-0.223076923076923,0.15646216670096,0.489994143055861,0.245658283418048,0.253287149397429,0.2,0.145904761904762,-0.108882352941176,-0.195835564860347,0.328554112554113,0.328554112554113,0.343622605704798,-0.328554112554113,0.408874458874459,0.075,0.0999392635102822,0.0808823529411765,-0.211111111111111,-0.224154589371981,-0.234923820141211,-0.211111111111111,-0.2,-0.224154589371981,-0.1,-0.234923820141211,-0.107068504779403,0.193672456575682,0.180769230769231,0.15,0.0501754385964912,-0.0194891985875592,0.249552279928365,-0.0698429771908764,0.215126050420168,-0.0987179487179487,-0.0674429771908764,0,-0.0959401709401709,-0.0589849661991726,0.104628511612055,0.111622807017544
"ILK",-0.304543554006969,0.1,0.1,-0.0628528436796434,-0.259669887278583,-0.2,0.122322775263952,0.0833333333333333,0.0941176470588235,0,0.0143213514637057,0.0333333333333333,-0.185714285714286,-0.201486748545572,-0.223076923076923,0.15646216670096,0.489994143055861,0.245658283418048,0.253287149397429,0.2,0.145904761904762,-0.108882352941176,-0.195835564860347,0.328554112554113,0.328554112554113,0.343622605704798,-0.328554112554113,0.408874458874459,0.075,0.0999392635102822,0.0808823529411765,-0.211111111111111,-0.224154589371981,-0.234923820141211,-0.211111111111111,-0.2,-0.224154589371981,-0.1,-0.234923820141211,-0.107068504779403,0.193672456575682,0.180769230769231,0.15,0.0501754385964912,-0.0194891985875592,0.249552279928365,-0.0698429771908764,0.215126050420168,-0.0987179487179487,-0.0674429771908764,0,-0.0959401709401709,-0.0589849661991726,0.104628511612055,0.111622807017544
"PAK1",-0.182528829866682,0.0625,0.0571428571428571,-0.0679794842838321,-0.0698137603512063,-0.12,0.049537037037037,0.0539170506912442,0.0625,0.0571428571428571,-0.126942258209929,0.05,-0.167826086956522,-0.0319604888665662,-0.142656765676568,0.121289678868411,0.141410563060487,0.0873747014341074,0.0873747014341074,0.08,0.0785057471264368,0.0096384008148714,-0.104237714487397,0.0202468250172698,0.0202468250172698,0.0207013704718152,-0.0202468250172698,0.125454545454545,0.00952380952380953,-0.00417391994055446,-0.00812324929971988,-0.0762962962962963,-0.0844044044044044,-0.0873747014341074,-0.0762962962962963,-0.08,-0.0841910331384016,-0.1,-0.0885812770408406,-0.0919371113232649,-0.0146886446886447,-0.0212820512820513,-0.0166666666666667,-0.0219802317655078,-0.000165693103883612,0.160684844018669,-0.0382863969960744,0.159351510685335,-0.040336803777664,-0.0486089776412357,-0.1,-0.061336803777664,-0.0474174677367199,0.105122932054723,0.0985230288836846
"LIV1",-0.182528829866682,0.0625,0.0571428571428571,-0.0679794842838321,-0.0698137603512063,-0.12,0.049537037037037,0.0539170506912442,0.0625,0.0571428571428571,-0.126942258209929,0.05,-0.167826086956522,-0.0319604888665662,-0.142656765676568,0.121289678868411,0.141410563060487,0.0873747014341074,0.0873747014341074,0.08,0.0785057471264368,0.0096384008148714,-0.104237714487397,0.0202468250172698,0.0202468250172698,0.0207013704718152,-0.0202468250172698,0.125454545454545,0.00952380952380953,-0.00417391994055446,-0.00812324929971988,-0.0762962962962963,-0.0844044044044044,-0.0873747014341074,-0.0762962962962963,-0.08,-0.0841910331384016,-0.1,-0.0885812770408406,-0.0919371113232649,-0.0146886446886447,-0.0212820512820513,-0.0166666666666667,-0.0219802317655078,-0.000165693103883612,0.160684844018669,-0.0382863969960744,0.159351510685335,-0.040336803777664,-0.0486089776412357,-0.1,-0.061336803777664,-0.0474174677367199,0.105122932054723,0.0985230288836846
"EGR1",-0.182528829866682,0.0625,0.0571428571428571,-0.0679794842838321,-0.0698137603512063,-0.12,0.049537037037037,0.0539170506912442,0.0625,0.0571428571428571,-0.126942258209929,0.05,-0.167826086956522,-0.0319604888665662,-0.142656765676568,0.121289678868411,0.141410563060487,0.0873747014341074,0.0873747014341074,0.08,0.0785057471264368,0.0096384008148714,-0.104237714487397,0.0202468250172698,0.0202468250172698,0.0207013704718152,-0.0202468250172698,0.125454545454545,0.00952380952380953,-0.00417391994055446,-0.00812324929971988,-0.0762962962962963,-0.0844044044044044,-0.0873747014341074,-0.0762962962962963,-0.08,-0.0841910331384016,-0.1,-0.0885812770408406,-0.0919371113232649,-0.0146886446886447,-0.0212820512820513,-0.0166666666666667,-0.0219802317655078,-0.000165693103883612,0.160684844018669,-0.0382863969960744,0.159351510685335,-0.040336803777664,-0.0486089776412357,-0.1,-0.061336803777664,-0.0474174677367199,0.105122932054723,0.0985230288836846
"IKK",-0.0997979797979798,0.314285714285714,0.12,0.10078431372549,-0.176915465083404,-0.1,0.272844272844273,0.18,0.280952380952381,0.1,0.34126540722834,0.3,-0.142857142857143,-0.108925318761384,-0.272268907563025,0.205695393991483,0.348517975266173,0.160365058670143,0.167538054450734,0.1,0.113333333333333,-0.104040404040404,-0.171904761904762,0.203145795523291,0.203145795523291,0.215821851861319,-0.203145795523291,0.411483516483517,0.1,0.125640404040404,0.122222222222222,-0.133333333333333,-0.148717948717949,-0.156410256410256,-0.133333333333333,-0.1,-0.148717948717949,-0.1,-0.156410256410256,-0.189569702515349,0.124963924963925,0.104329004329004,0.109090909090909,0.00788191190253046,-0.0169899665551839,0.160634920634921,-0.181518151815182,0.162857142857143,-0.168888888888889,-0.166666666666667,-0.2,-0.175785440613027,-0.163157894736842,0.108185463659148,0.0721611721611722
"SNAI2",0.0148196148593977,0.133333333333333,0.08,0.0692234433489939,-0.143927923872404,-0.166666666666667,0.154853898352029,0.0858823529411765,0.136781609195402,0.1,0.404452199706785,0.133333333333333,-0.172549019607843,-0.120153846153846,-0.136477349560514,0.23511934305337,0.200369296351141,0.118912884954516,0.122018475016627,0.0890909090909091,0.0821889966531909,-0.0283056812468577,-0.138940843297672,0.157813300889392,0.157813300889392,0.161922889930488,-0.157813300889392,0.189939825778784,0.0274509803921569,0.0301690352841248,0.0274509803921569,-0.110519480519481,-0.114744832632157,-0.115820101449361,-0.110519480519481,-0.0890909090909091,-0.114744832632157,-0.08,-0.116349110707023,-0.256731108135763,0.153474595579859,0.150877192982456,0.13859649122807,0.104335667119311,-0.0642784614759758,0.185188129305776,-0.0286295123211357,0.17843137254902,-0.112412965186074,-0.0291079812206573,-0.1,-0.112412965186074,-0.00691681735985533,0.109464652821481,0.0953846153846154
"SMAD",-0.233729819506069,-0.0412698412698413,-0.05,-0.101485942281472,-0.0821179792429792,-0.142857142857143,-0.0434659197012138,-0.04,-0.0314659197012138,-0.05,-0.153131680378499,-0.0555555555555556,-0.178341013824885,-0.0452525752683109,-0.1324016563147,0.0195422294793484,0.0894285734366057,0.0262198100407056,0.0267263956536742,0.02,0.0138750711227246,-0.0129557606345709,-0.112064229285011,0.103190910981304,0.103190910981304,0.103848805718146,-0.103190910981304,0.179151685129129,0.0261904761904762,0.0205254817501088,0.013514419852448,-0.02,-0.02,-0.0247272727272727,0,0,0,-0.02,-0.00575539568345324,-0.0107187499931003,0.106710454296661,0.100361247947455,0.103809523809524,0.0832626728110599,-0.00264178796661131,0.175210423484992,-0.0407116627664573,0.171364269638838,0.0555963302752294,0.0521454800906856,0,0.0418416834350807,0.10293253996316,0.111824861908024,0.104637541535976
"Csn",-0.339689596216741,0.203333333333333,0.0777777777777778,-0.0762427925822035,-0.292854184245922,-0.206666666666667,0.2413,0.0929292929292929,0.2325,0.1,0.0304964214079487,0.22,-0.215757575757576,-0.210536355990519,-0.288354663899458,0.179697757217881,0.541391135429444,0.251564246712244,0.256194433122346,0.216666666666667,0.164421230720806,-0.108875204397592,-0.187454094292804,0.400430382379481,0.400430382379481,0.415209653012879,-0.400430382379481,0.549604730736302,0.0818181818181818,0.112932483633869,0.119131614654003,-0.220114942528736,-0.230958316022711,-0.2438472049116,-0.220114942528736,-0.216666666666667,-0.230958316022711,-0.2,-0.243622071481227,-0.134878718227911,0.176956376956377,0.169264069264069,0.157575757575758,0.0316427337774488,-0.0126495960954077,0.267462121212121,-0.0834921355655261,0.261212121212121,-0.0961550993809058,-0.0626695134575569,-0.22,-0.0945157551186107,-0.0573089700996678,0.135167907361456,0.115650362709186
"Frizzled",-0.357228132944167,0.233333333333333,0.1,-0.0825910364145658,-0.327329192546584,-0.2,0.270833333333333,0.0909090909090909,0.233333333333333,0,0.0998104536060046,0.133333333333333,-0.22,-0.228809523809524,-0.287878787878788,0.205475517890772,0.560855501357807,0.273878404620824,0.283878404620824,0.2,0.158393234672304,-0.123768115942029,-0.239758796539625,0.412952836637047,0.412952836637047,0.432637876007126,-0.412952836637047,0.560658307210031,0.1,0.117101449275362,0.0933333333333333,-0.225,-0.240789473684211,-0.258646616541353,-0.225,-0.1,-0.240789473684211,-0.1,-0.258646616541353,-0.156759029064301,0.215266106442577,0.197619047619048,0.164285714285714,0.0518360071301248,-0.0202335858585859,0.293856209150327,-0.0892654328211816,0.249411764705882,-0.114718614718615,-0.0920691711389386,-0.1,-0.121170227621841,-0.080949263502455,0.135537025725528,0.13921568627451
"Wnt",-0.338623481781377,0.133333333333333,0,-0.0873529411764706,-0.308281573498965,-0.1,0.233333333333333,0.1,0.233333333333333,0,0.0912931034482759,0.1,-0.2,-0.221666666666667,-0.278787878787879,0.194364406779661,0.536717570323324,0.258646616541353,0.273878404620824,0.1,0.149090909090909,-0.0933333333333333,-0.220946915351506,0.390225563909774,0.390225563909774,0.412952836637047,-0.390225563909774,0.533385579937304,0.1,0.123768115942029,0.1,-0.2,-0.225,-0.240789473684211,-0.1,0,-0.225,0,-0.240789473684211,-0.151863924169196,0.197619047619048,0.164285714285714,0.15,0.0427450980392157,-0.0358585858585859,0.249411764705882,-0.0920691711389386,0.22,-0.0909090909090909,-0.0897435897435898,-0.1,-0.114718614718615,-0.0830769230769231,0.142467718794835,0.105882352941176
"cateninnuc",-0.113528564331843,0.291287878787879,0.171111111111111,0.0628584822011069,-0.310891906136807,-0.263768115942029,0.313787878787879,0.172750455373406,0.301287878787879,0.111111111111111,0.366837521054957,0.245833333333333,-0.281228433402346,-0.251213293736867,-0.238148760011207,0.239135689059991,0.436230102736616,0.228851377036265,0.133352895953691,0.194172494172494,0.0753652260863005,-0.110937223695844,-0.236197574872063,0.333404118404118,0.333404118404118,0.342158327158327,-0.333404118404118,0.400592965985705,0.1,0.11246560797532,0.104615384615385,-0.205283605283605,-0.215066213979257,-0.223399547312591,-0.206501261295782,-0.194172494172494,-0.216283869991434,-0.178787878787879,-0.224584265248351,-0.164984274339418,0.323657020872236,0.315020657235872,0.301067168863779,0.174128965900182,-0.0448510961224768,0.312711420279596,-0.0792531059966258,0.298949952389688,-0.182067225559742,-0.0763881673881674,-0.233333333333333,-0.18620665911094,-0.0374565341068608,0.147692674535585,0.123355993551723
"AXIN2",-0.178386531501286,0.197101449275362,0.138461538461538,-0.0111695028733568,-0.235494541670067,-0.18,0.223236714975845,0.138461538461538,0.204347826086957,0.1,0.213161271849668,0.166666666666667,-0.19219512195122,-0.193805978967269,-0.169190077493023,0.19133030753774,0.309077379788664,0.197380503711408,0.202179466097919,0.153333333333333,0.00609510390982741,-0.118565907352781,-0.193686765859366,0.24988365775563,0.24988365775563,0.259332476653268,-0.24988365775563,0.285144810186,0.107083333333333,0.119225973359381,0.113256172839506,-0.174263565891473,-0.182884255546645,-0.191401605704374,-0.174263565891473,-0.153333333333333,-0.182884255546645,-0.133333333333333,-0.191689286993186,-0.0877892397238865,0.187797873061031,0.18171679197995,0.163859649122807,0.146845346193172,-0.0683922578235151,0.225614393623794,-0.0511157119852772,0.211821290175519,-0.158104395604396,-0.047941108810674,-0.133333333333333,-0.159743739866691,-0.0369300189787005,0.148451461426595,0.139962759505211
"DSH",-0.365453241169275,0.233333333333333,0.0909090909090909,-0.0811725966982538,-0.342691511387164,-0.22,0.283477011494253,0.114718614718615,0.270833333333333,0.1,0.107843049647914,0.233333333333333,-0.249411764705882,-0.242096237096237,-0.314708056171471,0.212896012590419,0.57860359296086,0.283878404620824,0.290735038636852,0.225,0.164722348596355,-0.117101449275362,-0.241333599689232,0.432637876007126,0.432637876007126,0.450284934830655,-0.432637876007126,0.57991584781328,0.0933333333333333,0.123721658334596,0.123768115942029,-0.240789473684211,-0.258646616541353,-0.273878404620824,-0.240789473684211,-0.225,-0.258646616541353,-0.2,-0.273679296279915,-0.16035867787905,0.22855281972929,0.215266106442577,0.197619047619048,0.0619135265099697,-0.0238921224439517,0.306638164037545,-0.106246564896653,0.293856209150327,-0.121170227621841,-0.0892654328211816,-0.133333333333333,-0.125464706149448,-0.0774404915726304,0.152859860371197,0.13047782219684
"GSK3",-0.373268233194794,0.270833333333333,0.114718614718615,-0.0825810474024791,-0.348117867976311,-0.249411764705882,0.292878720895962,0.121170227621841,0.283477011494253,0.0909090909090909,0.113278770096576,0.233333333333333,-0.293856209150327,-0.249364407522302,-0.327266195706354,0.218112635048421,0.591319337941487,0.290735038636852,0.295998196531589,0.240789473684211,0.168831937637451,-0.123721658334596,-0.250991846345992,0.450284934830655,0.450284934830655,0.460789136511328,-0.450284934830655,0.496721172272514,0.123768115942029,0.12808063269357,0.117101449275362,-0.258646616541353,-0.273878404620824,-0.283878404620824,-0.258646616541353,-0.240789473684211,-0.273679296279915,-0.225,-0.284528352883689,-0.16335505588366,0.241799572976044,0.22855281972929,0.215266106442577,0.0614755703055902,-0.0244782889152296,0.325388164037545,-0.102798289034584,0.306638164037545,-0.125464706149448,-0.106246564896653,-0.233333333333333,-0.14173264873318,-0.0902432597387204,0.158951985185462,0.146508356547985
"miR200",-0.209326391765416,-0.0831578947368421,-0.0825,-0.193582307263289,-0.0777444777444777,-0.114285714285714,-0.103211803092637,-0.1025,-0.108872180451128,-0.12,-0.18880771489311,-0.12,-0.104285714285714,-0.0578830115066015,-0.0763249516441006,-0.181333219662197,-0.125141279767331,-0.0858412735545881,-0.0847806674939821,-0.08,-0.0637620290842131,0.000600885515496521,0.0221057347670251,-0.0796058170685036,-0.0796058170685036,-0.082847712330349,0.0796058170685036,0.0126364384198675,0,-0.00641483900386861,-0.0215686274509804,0.0756521739130435,0.0855113288426209,0.0866349243482389,0.084,0.08,0.0938591549295775,0.1,0.0949580560284786,0.182268468281234,0.0685975898249423,0.0691625615763547,0.0553694581280788,0.0776326380564213,0.0659029308874974,0.0972047000618429,0.105975769729203,0.0815584415584415,0.10376582278481,0.0962579013906447,0.1,0.107026692350028,0.111638418079096,0.2028270609319,0.21832298136646
"ZEB2",-0.344923076923077,-0.204166666666667,-0.203571428571429,-0.200929979924277,-0.200164164495248,-0.2,-0.184395119418484,-0.183571428571429,-0.179722222222222,-0.175,-0.170608808722792,-0.166666666666667,-0.163157894736842,-0.152576489533011,-0.140311355311355,-0.139661197527453,-0.092815615583021,-0.0850023336902507,-0.0848724635603805,-0.08,-0.0783316303035753,-0.0623376623376623,-0.0200451127604694,-0.0125324675324675,-0.0125324675324675,-0.0114618037209044,0.0125324675324675,0.033182876304058,0.0493506493506494,0.0686868686868687,0.0766233766233766,0.08,0.0852631578947368,0.0871150097465887,0.0909090909090909,0.0909090909090909,0.0986013986013986,0.1,0.10043626098672,0.126747000464812,0.157094577553594,0.157641025641026,0.158974358974359,0.163869420461599,0.171291492823633,0.171537123690422,0.182102426944406,0.18251273344652,0.188449477351916,0.196736573285869,0.2,0.20208584098828,0.218618317166704,0.258829268551556,0.349450482556147
"Destcompl",-0.318148344537818,0.364182194616977,0.206130268199234,-0.0260179899206248,-0.513106108268837,-0.353846153846154,0.419451557940032,0.237558839627805,0.399317329752112,0.188888888888889,0.383468659630049,0.338095238095238,-0.393240093240093,-0.409297617685244,-0.293576069311062,0.385512094890147,0.637527860527685,0.418496185088906,0.426451310025163,0.348412698412698,0.197380503711408,-0.174914256083559,-0.350724417426545,0.516949991105022,0.516949991105022,0.533904465202353,-0.516949991105022,0.674492529494725,0.158979591836735,0.180530019630357,0.170703729767769,-0.374440095672972,-0.392848055871977,-0.407400294677948,-0.374440095672972,-0.348412698412698,-0.393251976861091,-0.305555555555556,-0.40790874866072,-0.153253706155442,0.368447506057944,0.352215041128085,0.331562867215041,0.297352492970128,-0.080319680002014,0.448936295771739,-0.100634920634921,0.426573426573427,-0.251548476933505,-0.093968253968254,-0.266666666666667,-0.261026233219772,-0.0685948239794394,0.266437381613145,0.239939602320253
