"","FOXC2","TGF","TGFR","CDC42","PAK1","RKIP","SHH","ILK","Patched","FUS","SNAI1","AKT","HEY1","TWIST1","EGR1","MEK","ERK","AXIN2","cMet","cateninnuc","TCFLEF","CD44","ZEB2","GSK3","RAS","RAF","PI3K","DELTA","SNAI2","KLF4","SRC","STAT","GLI","Frizzled","Wnt","DSH","LIV1","miR200","Destcompl","Ecadherin","cateninmemb","cfos","TrCP","Csl","NOTCH","NOTCHic","SOSGRB2","Jagged","NFB","IKK","Csn","SMAD","SUFU","SMO","ZEB1"
"CD44",0.167083333333333,0.165833333333333,0.165833333333333,0.153333333333333,0.133333333333333,0.0037037037037037,0.110909090909091,0.111111111111111,0.12,0.1,0.148272195640617,0.00666666666666667,0.105847953216374,0.134212454212454,-0.1,-0.105,-0.115,0.09,0.15,0.0537567084078712,0.0583720930232558,0.07,0.16984126984127,-0.080952380952381,-0.122857142857143,-0.114285714285714,-0.114285714285714,-0.114285714285714,-0.0358619158619159,0.0698412698412698,-0.2,-0.1,-0.07,-0.1,-0.05,0,-0.1,0.146772068511199,0.107290188802794,0.0171376614916947,-0.0465567765567766,0.075,0,-0.2,-0.201503759398496,-0.185714285714286,-0.3,-0.093986013986014,0,0,-0.1,-0.0968253968253968,-0.1,-0.1,-0.0650793650793651
"Destcompl",0.149423319627834,0.111487092114523,0.111388569947035,0.107178043631246,0.0995918367346939,0.127741795542647,0.0863241059496652,-0.0244444444444444,0.0834227519844815,0.0896551724137931,0.119250830642085,0.0596431021876018,-0.0167999521845676,0.120058434992712,-0.00974358974358975,0.00106212249395482,0.00232794527876495,0.167635313713753,0.114621608201653,0.115426563676179,0.116038496363583,0.116860414171802,0.171261324758087,0.118507174388434,0.0510930491676158,0.0528198937516032,0.0528198937516032,0.0528198937516032,0.0529905596034925,0.166163836330666,-0.108153946510111,-0.10952380952381,-0.117496513419863,-0.108153946510111,-0.115084639579418,-0.10952380952381,-0.116666666666667,0.132144067447436,0.0169461574084275,0.0274059566922251,-0.138869202112432,0.00368298368298369,-0.0666666666666667,0.0802898550724638,0.0862713833464029,0.082463768115942,-0.0994205461797421,0.154426292113208,-0.0567287784679089,-0.0576296793688098,-0.0523809523809524,0.0247953216374269,-0.1,-0.0839408866995074,-0.0446788687723008
"cMet",0.175944092827004,0.17008865248227,0.165833333333333,0.165833333333333,0.153333333333333,0.0037037037037037,0.104659090909091,0.0968253968253968,0.110909090909091,0.1,0.138102704115193,0.000416666666666667,0.0882008943928449,0.1308416676956,-0.075,-0.0995454545454545,-0.105,0.0852380952380953,0.07,0.0582764824191706,0.0537567084078712,0.0583720930232558,0.178932178932179,-0.0793394777265745,-0.117196765498652,-0.122857142857143,-0.122857142857143,-0.122857142857143,-0.0380516968838137,0.0698412698412698,-0.15,-0.2,-0.0609090909090909,-0.05,-0.07,-0.1,-0.1,0.151459568511199,0.109992891505497,0.0250257022041629,-0.0440656733539296,0.115,-0.1,-0.185714285714286,-0.199376099824028,-0.201503759398496,-0.313333333333333,-0.0918121009425357,0,-0.00666666666666667,0,-0.10046176046176,-0.1,-0.12,-0.0640692640692641
"PI3K",0.0881835075493612,0.110573409851746,0.104882352941176,0.0808823529411765,0.075,0.0326599870717518,-0.0576923076923077,-0.0289395758303321,-0.0576923076923077,-0.05,0.040426731078905,0.188386123680241,-0.0255944573369657,3.50722374956168e-05,-0.0333333333333333,-0.0379896220783395,-0.0560224089635854,-0.221238095238095,-0.193236714975845,-0.184995295960357,-0.181902512455202,-0.182467484206615,0.203937225116445,0.0858345358345358,0.0774507501630789,0.0801904761904762,0.0801904761904762,0.0801904761904762,-0.0709003947021407,0.20109649122807,0.188888888888889,0.2,0.182467484206615,0.188888888888889,0.193236714975845,0.2,0.1,0.156438554799211,-0.118076673674082,0.244739470195595,0.206684244820082,0.0619047619047619,-0.2,0.05,0.0609181141439206,0.0576923076923077,-0.0419230769230769,-0.0483333333333333,-0.166666666666667,-0.196078431372549,-0.166666666666667,0.0313395758303321,0,0.05,0.0397316487333041
"ILK",0.0881835075493612,0.110573409851746,0.104882352941176,0.0808823529411765,0.075,0.0326599870717518,-0.0576923076923077,-0.0289395758303321,-0.0576923076923077,-0.05,0.040426731078905,0.188386123680241,-0.0255944573369657,3.50722374956168e-05,-0.0333333333333333,-0.0379896220783395,-0.0560224089635854,-0.221238095238095,-0.193236714975845,-0.184995295960357,-0.181902512455202,-0.182467484206615,0.203937225116445,0.0858345358345358,0.0774507501630789,0.0801904761904762,0.0801904761904762,0.0801904761904762,-0.0709003947021407,0.20109649122807,0.188888888888889,0.2,0.182467484206615,0.188888888888889,0.193236714975845,0.2,0.1,0.156438554799211,-0.118076673674082,0.244739470195595,0.206684244820082,0.0619047619047619,-0.2,0.05,0.0609181141439206,0.0576923076923077,-0.0419230769230769,-0.0483333333333333,-0.166666666666667,-0.196078431372549,-0.166666666666667,0.0313395758303321,0,0.05,0.0397316487333041
"Wnt",0.0691497975708502,0.0994202898550725,0.0733333333333333,0.0666666666666667,0.1,0.0383333333333333,-0.0638528138528139,-0.0452991452991453,-0.0590909090909091,0,0.0258281573498965,0.0716666666666667,-0.0364102564102564,-0.00558823529411764,0,-0.0474509803921569,-0.0533333333333333,-0.209090909090909,-0.175,-0.161931733306777,-0.162593984962406,-0.169736842105263,0.204256336681014,-0.00344827586206897,0.0481203007518797,0.0481203007518797,0.0481203007518797,0.0481203007518797,-0.0767241379310345,0.172549019607843,0.2,0.1,0.169736842105263,0.3,0.175,0.2,0,0.154949494949495,-0.0996762091564315,0.214747480424113,0.179915254237288,0.0333333333333333,-0.1,0.05,0.0523809523809524,0.0357142857142857,-0.00606060606060606,-0.0349509803921569,-0.0666666666666667,-0.0466666666666667,-0.1,0.0429735639037965,0,0.05,0.0368244858919177
"GSK3",0.0700659356962907,0.0977853394396343,0.100349442003737,0.104182194616977,0.0994202898550725,0.023370664423296,-0.0617189732332378,-0.0487785365717563,-0.0612405043337163,-0.0638528138528139,0.0171873946747556,0.0622925876805187,-0.0434550531182157,-0.0121253820949744,-0.0474509803921569,-0.0406122294744586,-0.0372031385653677,-0.204308732678648,-0.161931733306777,-0.167131177263954,-0.167196966737638,-0.166217447592491,0.205696290085394,-0.103086498641769,0.0432029007210012,0.0427827326537743,0.0427827326537743,0.0427827326537743,-0.0798604680362299,0.209210004315963,0.162593984962406,0.169736842105263,0.16665737132324,0.162593984962406,0.161940390191164,0.169736842105263,0.175,0.159927352868461,-0.0985872298802269,0.222996085814062,0.188323252829276,0.0289324618736383,-0.0466666666666667,0.0621848739495798,0.0645425163072222,0.0642827760474819,-0.0353811512745149,-0.0317848769884028,-0.0654166666666667,-0.066566091954023,-0.0716666666666667,0.0507275620590126,0.0590909090909091,0.060627007401201,0.0547729394870286
"AKT",0.0896872669478575,0.109667065440869,0.110573409851746,0.104882352941176,0.0808823529411765,0.0332811050841741,-0.055587044534413,-0.0313395758303321,-0.0576923076923077,-0.05,0.0371685857154965,0.0914164267105444,-0.02785009643471,0.000340882635049134,-0.0619047619047619,-0.0468503815720104,-0.0379896220783395,-0.219433041086471,-0.182467484206615,-0.185610680575741,-0.184995295960357,-0.181902512455202,0.205992019636993,0.0850280842216326,0.0757640031751271,0.0774507501630789,0.0774507501630789,0.0774507501630789,-0.0714029072649548,0.207079397210976,0.193236714975845,0.188888888888889,0.181908824988738,0.193236714975845,0.182467484206615,0.188888888888889,0.2,0.160181870307232,-0.117332256800633,0.248830379286504,0.209436538398064,0.0560224089635854,-0.166666666666667,0.0576923076923077,0.0657961629244084,0.0609181141439206,-0.053034188034188,-0.0470088300220751,-0.196078431372549,-0.188386123680241,-0.166666666666667,0.0323496768404331,0.05,0.0576923076923077,0.0417864432538521
"DSH",0.0730962387265937,0.100349442003737,0.104182194616977,0.0994202898550725,0.0733333333333333,0.0241225441225441,-0.0612405043337163,-0.0476464611000581,-0.060627007401201,-0.0590909090909091,0.0172981366459627,0.066566091954023,-0.0438010738794613,-0.00866827582096668,-0.0533333333333333,-0.0372031385653677,-0.0289324618736383,-0.202330041658861,-0.162593984962406,-0.167196966737638,-0.166217447592491,-0.161931733306777,0.206439232135914,-0.00475039215258433,0.0427827326537743,0.0441832928778639,0.0441832928778639,0.0441832928778639,-0.0803781556980073,0.210736721873215,0.169736842105263,0.175,0.161940390191164,0.169736842105263,0.162593984962406,0.175,0.2,0.160513519339739,-0.0993269269566623,0.221843632735366,0.186024402254563,0.0474509803921569,-0.0666666666666667,0.0523809523809524,0.0642827760474819,0.0621848739495798,-0.0358462675535846,-0.029595095966505,-0.0716666666666667,-0.0654166666666667,-0.0466666666666667,0.0487785365717563,0.05,0.0638528138528139,0.0516525828748444
"Frizzled",0.0761265417568967,0.104182194616977,0.0994202898550725,0.0733333333333333,0.0666666666666667,0.0276190476190476,-0.060627007401201,-0.0429735639037965,-0.0638528138528139,-0.05,0.0210662525879917,0.0654166666666667,-0.0385379159847245,-0.0065406162464986,-0.0333333333333333,-0.0289324618736383,-0.0474509803921569,-0.204439746300211,-0.169736842105263,-0.166217447592491,-0.161931733306777,-0.162593984962406,0.207226633710717,-0.00405433646812957,0.0441832928778639,0.0481203007518797,0.0481203007518797,0.0481203007518797,-0.0795632546502774,0.205882352941176,0.175,0.2,0.162593984962406,0.175,0.169736842105263,0.3,0.1,0.158074494949495,-0.100471965124601,0.218243983920616,0.18213747645951,0.0533333333333333,-0.1,0.0357142857142857,0.0621848739495798,0.0523809523809524,-0.0212121212121212,-0.0319206773618538,-0.0466666666666667,-0.0716666666666667,-0.0666666666666667,0.0476464611000581,0,0.0590909090909091,0.0477155750008286
"RAS",0.196984126984127,0.204635993011066,0.191764705882353,0.18,0.18,0.0169937106918239,0.0943050847457627,0.0995670995670996,0.096,0.1,0.159154375614553,0.0922222222222222,0.0952569169960474,0.10607746863066,-0.14,-0.198668730650155,-0.216315789473684,-0.158155467720685,-0.120588235294118,-0.132204449831193,-0.137020313853856,-0.135481852315394,0.207249631811487,-0.0317958656330749,-0.0535897435897436,0.0387179487179487,0.0387179487179487,0.0387179487179487,-0.0998903662369687,0.191785714285714,0.15,0.1,0.133088235294118,0.15,0.120588235294118,0.1,0,0.174184615384615,-0.0227405686708012,0.178183315486933,0.14691077351477,0.19,-0.2,-0.05,-0.0458291956305859,-0.0552631578947368,-0.224675324675325,-0.143930613049478,-0.0666666666666667,-0.0866666666666667,-0.1,-0.0995670995670996,-0.1,-0.1,-0.0771833578792342
"TWIST1",0.193621822663458,0.19442999431119,0.194657784743992,0.197157784743992,0.200606060606061,0.179887986409726,0.00562002234368791,0.112430612430612,0.00611263318112634,0.0222222222222222,0.22091999262038,0.134155957037313,0.102427515986838,-0.0272248102139406,-0.0666666666666667,-0.059577968282159,-0.0580854309687262,-0.13341593889981,-0.0788247213779129,-0.0850176374139877,-0.0858802021063396,-0.0872584563176719,0.253987320653987,0.141184786284111,0.0274843972333423,0.0250871369593697,0.0250871369593697,0.0250871369593697,-0.0696220891791889,0.253721075672295,0.080952380952381,0.080952380952381,0.0865944862155388,0.080952380952381,0.0777944862155388,0.080952380952381,0.0666666666666667,0.203096460888097,0.135090249014095,0.323880433654336,0.248985549889914,0.0449275362318841,-0.1,-0.0785185185185185,-0.0766317260656883,-0.0785185185185185,-0.139554851454165,-0.083131176784503,-0.142307692307692,-0.137545787545788,-0.15,-0.109460315400909,0.0333333333333333,-0.0102222222222222,-0.119696889872328
"NOTCH",0.179591836734694,0.192888888888889,0.192888888888889,0.188888888888889,0.2,0.104244031830239,-0.0776772247360483,-0.0785714285714286,-0.0717948717948718,-0.0333333333333333,0.0826923076923077,-0.0555555555555556,0.0210144927536232,0.0760847457627119,0,0.0128571428571429,0.02,-0.0323989218328841,-0.0430769230769231,-0.0318814518814519,-0.029024309024309,-0.0279254079254079,0.260628019323672,0.0456199930337861,-0.00239789196310935,0.00484848484848485,0.00484848484848485,0.00484848484848485,-0.0774090832914362,0.260628019323672,0.02,0,0.0279254079254079,0.02,0.0430769230769231,0,0,0.23965367965368,0.0245175910222639,0.134106395019808,0.0886776537377525,-0.02,0,0.12,0.0153917050691244,0.105714285714286,-0.104210526315789,0.0230784030784031,0.0333333333333333,0.0444444444444444,0,0.0919047619047619,0,0.0333333333333333,0.072866344605475
"Jagged",0.185714285714286,0.192888888888889,0.188888888888889,0.2,0.2,0.107692307692308,-0.0717948717948718,-0.0833333333333333,-0.0333333333333333,0,0.075,-0.0444444444444444,0.0166666666666667,0.071,0.1,0.02,0.02,-0.0342857142857143,-0.02,-0.029024309024309,-0.0279254079254079,-0.0430769230769231,0.260628019323672,0.0478927203065134,0.00484848484848485,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,-0.0737053795877325,0.238888888888889,0,0,0.0430769230769231,0,0.02,0,0,0.233939393939394,0.0235830115830116,0.135719298245614,0.0839656118529358,0,0,0.1,0.105714285714286,0.12,-0.12,0.0156709956709957,0,0.0333333333333333,0,0.0785714285714286,0,0.0333333333333333,0.0654589371980676
"DELTA",0.185714285714286,0.192888888888889,0.188888888888889,0.2,0.2,0.107692307692308,-0.0717948717948718,-0.0833333333333333,-0.0333333333333333,0,0.075,-0.0444444444444444,0.0166666666666667,0.071,0.1,0.02,0.02,-0.0342857142857143,-0.02,-0.029024309024309,-0.0279254079254079,-0.0430769230769231,0.260628019323672,0.0478927203065134,0.00484848484848485,-0.0133333333333333,-0.0133333333333333,-0.0133333333333333,-0.0737053795877325,0.238888888888889,0,0,0.0430769230769231,0,0.02,0,0,0.233939393939394,0.0235830115830116,0.135719298245614,0.0839656118529358,0,0,0.1,0.105714285714286,0.12,-0.12,0.0156709956709957,0,0.0333333333333333,0,0.0785714285714286,0,0.0333333333333333,0.0654589371980676
"Csl",0.183169886419529,0.192758900587836,0.194799716914367,0.192888888888889,0.192888888888889,0.104373842955052,-0.0826271691186957,-0.0940630352860568,-0.0809030311876612,-0.0717948717948718,0.0746282300630127,-0.0540051679586563,0.00697728812818328,0.0732311318950003,0.02,0.0165217391304348,0.01,-0.0341984076940666,-0.029024309024309,-0.0305633595364259,-0.029591375545574,-0.0318814518814519,0.266189713614648,0.0475345732988819,-0.000802339949200339,-0.00190528112567093,-0.00190528112567093,-0.00190528112567093,-0.0770408598946053,0.267770876466529,0.0279254079254079,0.0430769230769231,0.0322264831942251,0.0279254079254079,0.0290006767426122,0.0430769230769231,0.02,0.243766667173672,0.025879565428114,0.139128831716271,0.0903565093989667,-0.0128571428571429,0.0333333333333333,0.0153917050691244,0.026827111767689,0.0259180208585981,-0.105356128680904,0.0266724980011404,0.0555555555555556,0.0439276485788114,0.0444444444444444,0.0957297019527235,0.0333333333333333,0.0776772247360483,0.0782029519310326
"NOTCHic",0.18604344963792,0.194799716914367,0.192888888888889,0.192888888888889,0.188888888888889,0.111286285351365,-0.0809030311876612,-0.0919047619047619,-0.0776772247360483,-0.0333333333333333,0.0758140008140008,-0.0439276485788114,0.0102452619843924,0.077971538215542,0.02,0.01,0.0128571428571429,-0.0323989218328841,-0.0279254079254079,-0.029591375545574,-0.0318814518814519,-0.029024309024309,0.267294685990338,0.0456199930337861,-0.00190528112567093,-0.00239789196310935,-0.00239789196310935,-0.00239789196310935,-0.0780102856962459,0.260628019323672,0.0430769230769231,0.02,0.0290006767426122,0.0430769230769231,0.0279254079254079,0.02,0,0.244855991792408,0.0261842576889306,0.138547436367434,0.0892861730075294,-0.02,0,0.105714285714286,0.0259180208585981,0.0153917050691244,-0.0996650717703349,0.0277141646678071,0.0444444444444444,0.0555555555555556,0.0333333333333333,0.0940630352860568,0.0333333333333333,0.0717948717948718,0.0721256038647343
"SNAI1",0.178723869545317,0.197758862931741,0.199774991963999,0.201960784313725,0.201960784313725,0.115012506930258,-0.0946519977839531,-0.098547533708824,-0.0913510269101667,-0.0841781874039939,-0.00862781121506143,-0.0478070175438596,-0.096315025260479,0.0594636522897393,0.00434782608695652,-0.000760835968729932,0.00192974699091132,-0.140791585339406,-0.111136681235691,-0.110310176344386,-0.110206923892141,-0.10965519975421,0.27782430926964,0.115063429557241,0.0366413531626513,0.0361487423252129,0.0361487423252129,0.0361487423252129,-0.0899395211754799,0.28207483444836,0.106186186186186,0.108888888888889,0.110343456104627,0.10625730994152,0.111623163600057,0.108888888888889,0.12,0.253551336650425,0.131691439005536,0.29183147839231,0.241923233143379,0.000736919675755343,0.0333333333333333,0.0230769230769231,0.025149136577708,0.0263736263736264,-0.0979126450380887,0.0228968458037612,0.0353070175438596,0.0464181286549708,0.0458333333333333,0.100884557079058,0.080952380952381,0.0903510269101667,0.0782483408205694
"cfos",0.184731843957095,0.201960784313725,0.201960784313725,0.2,0.185714285714286,0.122913752913753,-0.0903510269101667,-0.0933862433862434,-0.0841781874039939,-0.0476190476190476,0.0915063839114472,-0.0353070175438596,-0.0927786106946527,0.0654112554112554,-0.08,-0.000736919675755343,0.00434782608695652,-0.138275862068966,-0.108888888888889,-0.10965519975421,-0.111136681235691,-0.106186186186186,0.279347784311465,0.113244047619048,0.035239651416122,0.035239651416122,0.035239651416122,0.035239651416122,-0.0909239422378108,0.276222222222222,0.12,0.1,0.10625730994152,0.12,0.108888888888889,0.1,0.1,0.253509888804006,0.131431413942879,0.290049345449765,0.238951834938821,0,0,0,0.0230769230769231,0.0153846153846154,-0.0930555555555556,0.0230902777777778,0.0333333333333333,0.0458333333333333,0.0333333333333333,0.0966120498378563,0.0333333333333333,0.080952380952381,0.0706349206349206
"CDC42",0.184731843957095,0.201960784313725,0.201960784313725,0.2,0.285714285714286,0.122913752913753,-0.0903510269101667,-0.0933862433862434,-0.0841781874039939,-0.0476190476190476,0.0915063839114472,-0.0353070175438596,-0.0927786106946527,0.0654112554112554,0.02,-0.000736919675755343,0.00434782608695652,-0.138275862068966,-0.108888888888889,-0.10965519975421,-0.111136681235691,-0.106186186186186,0.279347784311465,0.113244047619048,0.035239651416122,0.035239651416122,0.035239651416122,0.035239651416122,-0.0909239422378108,0.276222222222222,0.12,0.1,0.10625730994152,0.12,0.108888888888889,0.1,0.1,0.253509888804006,0.131431413942879,0.290049345449765,0.238951834938821,0,0,0,0.0230769230769231,0.0153846153846154,-0.0930555555555556,0.0230902777777778,0.0333333333333333,0.0458333333333333,0.0333333333333333,0.0966120498378563,0.0333333333333333,0.080952380952381,0.0706349206349206
"TrCP",0.182662878439854,0.199774991963999,0.201960784313725,0.201960784313725,0.2,0.117941377223145,-0.0913510269101667,-0.0966120498378563,-0.0903510269101667,-0.080952380952381,0.0888810855820916,-0.0464181286549708,-0.0957197871652409,0.0599764728025598,0,0.00192974699091132,-0.000736919675755343,-0.140791585339406,-0.106186186186186,-0.110206923892141,-0.10965519975421,-0.111136681235691,0.279669327719825,0.115789502164502,0.0361487423252129,0.035239651416122,0.035239651416122,0.035239651416122,-0.0898389512794022,0.281140255009107,0.108888888888889,0.12,0.111623163600057,0.108888888888889,0.10625730994152,0.12,0.1,0.25249466037761,0.131581789882729,0.291779449255993,0.240783336770322,-0.00434782608695652,0.0333333333333333,0.0153846153846154,0.0263736263736264,0.0230769230769231,-0.0960258525852585,0.0212497869802318,0.0458333333333333,0.0353070175438596,0.0333333333333333,0.098547533708824,0.0476190476190476,0.0841781874039939,0.0773873322104833
"PAK1",0.182662878439854,0.199774991963999,0.201960784313725,0.201960784313725,0.2,0.117941377223145,-0.0913510269101667,-0.0966120498378563,-0.0903510269101667,-0.080952380952381,0.0888810855820916,-0.0464181286549708,-0.0957197871652409,0.0599764728025598,0,0.00192974699091132,-0.000736919675755343,-0.140791585339406,-0.106186186186186,-0.110206923892141,-0.10965519975421,-0.111136681235691,0.279669327719825,0.115789502164502,0.0361487423252129,0.035239651416122,0.035239651416122,0.035239651416122,-0.0898389512794022,0.281140255009107,0.108888888888889,0.12,0.111623163600057,0.108888888888889,0.10625730994152,0.12,0.1,0.25249466037761,0.131581789882729,0.291779449255993,0.240783336770322,-0.00434782608695652,0.0333333333333333,0.0153846153846154,0.0263736263736264,0.0230769230769231,-0.0960258525852585,0.0212497869802318,0.0458333333333333,0.0353070175438596,0.0333333333333333,0.098547533708824,0.0476190476190476,0.0841781874039939,0.0773873322104833
"TGF",0.303540372670807,0.312261904761905,0.410476190476191,0.42,0.42,0.11991341991342,0.0738218390804598,0.0751515151515151,0.0863218390804598,0.113333333333333,0.201325492689129,-0.0149749373433584,0.0529980657640232,0.190925925925926,-0.133333333333333,-0.136106934001671,-0.120551378446115,-0.0451940035273369,-0.0533333333333333,-0.0444320062592158,-0.040125786163522,-0.040125786163522,0.283550377921087,-0.0451433541453111,-0.151190476190476,-0.144047619047619,-0.144047619047619,-0.144047619047619,-0.0891057401554808,0.27627765064836,0.0333333333333333,0,0.021078167115903,0.0142857142857143,0.0342857142857143,0,0,0.232809862551242,0.0369915940228059,0.159641507440965,0.115462868176408,0.104761904761905,0,-0.233333333333333,-0.239885057471264,-0.243333333333333,-0.359210526315789,-0.112469317623957,-0.00833333333333333,0.0202380952380952,-0.0333333333333333,-0.0686999022482893,-0.133333333333333,-0.0966666666666667,-0.0212555763585512
"TGFR",0.309217228566004,0.314389564336373,0.312261904761905,0.410476190476191,0.42,0.11991341991342,0.0732568673290473,0.0686999022482893,0.0738218390804598,0.0966666666666667,0.196310743426592,-0.0126493559480096,0.0470279165102919,0.191281797812047,-0.104761904761905,-0.131997344960575,-0.136106934001671,-0.0447648189779806,-0.040125786163522,-0.0413319176852565,-0.0444320062592158,-0.040125786163522,0.286946604336182,-0.044898855367805,-0.151190476190476,-0.151190476190476,-0.151190476190476,-0.151190476190476,-0.0916520364517771,0.283420507791217,0.0533333333333333,0.0333333333333333,0.0204330058255804,0.0342857142857143,0.021078167115903,0.0142857142857143,0,0.237208689530714,0.0392093359582897,0.164070808974185,0.11615570882306,0.120551378446115,-0.0333333333333333,-0.243333333333333,-0.227654841643926,-0.239885057471264,-0.353037686809617,-0.109570766899319,0.0202380952380952,0.0149749373433584,-0.00833333333333333,-0.0640735677287164,-0.113333333333333,-0.0863218390804598,-0.0201235008868531
"GLI",0.26781905744754,0.379035031318969,0.381152678377792,0.381781609195402,0.378333333333333,0.174668102503256,-0.156810566981828,-0.0462222832901087,-0.154752953813104,-0.139285714285714,0.183402212635226,-0.0212778971237618,-0.0489195863559191,0.114983028667239,-0.0771428571428571,-0.0775016144076917,-0.0758441558441558,-0.151361714975845,-0.119213217938631,-0.12143015408285,-0.12125083549349,-0.123523562766217,0.32626113671275,0.203428197702411,-0.0390639858494794,-0.0408461640673011,-0.0408461640673011,-0.0408461640673011,-0.101089979612336,0.32600858000858,0.116774193548387,0.12,0.142631515200452,0.236774193548387,0.237950664136622,0.24,0.1,0.283939146508806,0.113722362285302,0.308147945848463,0.254249501358919,0.0771428571428571,0.0166666666666667,-0.0352961980548187,-0.0308914361500568,-0.0327961980548187,-0.331529326131096,-0.022374706399277,0.0108187134502924,0.00877789712376179,0.00555555555555556,0.0500060670738925,0.114285714285714,0.144548872180451,0.0472206861239119
"SMO",0.271896551724138,0.378738738738739,0.373333333333333,0.373333333333333,0.333333333333333,0.248095238095238,-0.170277777777778,-0.02,-0.159166666666667,-0.266666666666667,0.244700460829493,0.111142857142857,-0.021978021978022,0.102178649237473,0,0.0251282051282051,0.0584615384615385,-0.18440065681445,-0.0433333333333333,-0.0576267529665588,-0.0576267529665588,-0.0488888888888889,0.34364406779661,0.2201643017177,0.161616726296959,0.163942307692308,0.163942307692308,0.163942307692308,-0.017504105090312,0.327777777777778,0.05,0,0.155555555555556,0.15,0.15,0.1,0.1,0.249487643158529,0.188235640328664,0.154896503819407,0.167163934996694,-0.02,0,0.0333333333333333,0.0110606060606061,0.00606060606060606,-0.205263157894737,-0.087010582010582,-0.15,-0.107142857142857,-0.1,0.0215873015873016,0.3,0.146666666666667,-0.00663841807909605
"SUFU",0.270159579019423,0.380394284502304,0.379802568525973,0.378738738738739,0.373333333333333,0.246269023073147,-0.183732791232791,-0.0325550435227855,-0.173308080808081,-0.159166666666667,0.247779757541267,0.105283280477911,-0.0325769393867875,0.0966256725008182,0.0584615384615385,0.0315552043945294,0.0285764809902741,-0.193809067363274,-0.0576267529665588,-0.0574029678003184,-0.0581702312274284,-0.0576267529665588,0.349610103183825,0.225026266622137,0.165774871230904,0.162926769965081,0.162926769965081,0.162926769965081,-0.0174269424961813,0.346723492904901,0.0488888888888889,0.0433333333333333,0.164799192959044,0.155555555555556,0.16517094017094,0.15,0.05,0.257537258528988,0.190930898713511,0.161168811707053,0.175255982931129,-0.0251282051282051,-0.15,0.0110606060606061,0.0116378066378066,0.0156060606060606,-0.206661759293338,-0.0877918543684219,-0.111142857142857,-0.107296703296703,-0.107142857142857,0.0332478841694367,0.146666666666667,0.170277777777778,0.00230322561848257
