"","GLI","STAT","Wnt","Frizzled","DSH","LIV1","RAS","RAF","DELTA","Csl","ZEB2","EGR1","PAK1","cfos","NFB","miR200","HEY1","KLF4","ILK","TWIST1","FUS","SMO","Csn","RKIP","TrCP","SUFU","ZEB1","SNAI1","Patched","SHH","SMAD","MEK","cateninmemb","TGF","ERK","IKK","AKT","TGFR","FOXC2","CDC42","Jagged","GSK3","NOTCHic","NOTCH","PI3K","Ecadherin","SOSGRB2","SRC","cMet","CD44","TCFLEF","cateninnuc","SNAI2","AXIN2","Destcompl"
"TWIST1",-0.251605346700083,-0.195238095238095,-0.238805346700084,-0.223015873015873,-0.195238095238095,-0.166666666666667,-0.286497815241154,-0.271771787843894,-0.271771787843894,-0.225925925925926,0.0020573204783731,-0.0466666666666667,-0.0103030303030303,-0.016231884057971,-0.273076923076923,-0.0230045767389861,-0.114198795554728,-0.0289764436105899,-0.0912730912730913,-0.229498474446987,-0.0666666666666667,-0.0786666666666667,-0.25,0.0548184352532179,-0.2,-0.0333333333333333,-0.00600688407705952,-0.0719074908267224,0.0882557077625571,0.091703983624626,0.0916031242763916,-0.0294868904903401,0.0516528492817553,-0.068880753374607,-0.0100839054157132,0.301648351648352,0.321987334699199,-0.0504297283176594,-0.0331418487738818,-0.0241797283176593,0.233146167351137,0.299232175731694,0.254131054131054,0.272998978659356,0.271771787843894,0.268531782878329,0.167163449314479,0.223015873015873,0.240037149611618,0.252486948808405,0.261522170860472,0.268710209963405,0.466985579164727,0.29154028766932,0.346234415564901
"miR200",0.0949580560284786,0.08,0.0938591549295775,0.084,0.08,0.1,0.12539402546065,0.123149636433219,0.123149636433219,0.0308374384236453,0.0326254480286738,-0.0142857142857143,-0.0458333333333333,-0.0242857142857143,0.0252631578947368,-0.0744076491166182,0.00508474576271186,0.0333505866114562,0.00281874795149131,0.109774336093354,0.02,0.0133333333333333,0.02,-0.0209226013777765,0,0.02,-0.0528181003584229,0.0339340289340289,-0.0120675105485232,-0.0164153366354797,-0.00187830908001796,0.0322325293753865,0.00161527357571683,0.0495552196872748,0.0288311688311688,-0.022406015037594,-0.0261795999432544,0.0454854522454143,0.0402989422501618,0.0438725490196078,-0.0215358906736994,-0.0853489287861724,-0.0308374384236453,-0.037052127689182,-0.123149636433219,0.00178222511762,0.0201515151515151,-0.0843478260869565,-0.094206981016534,-0.095330576522152,-0.0945369257285012,-0.0955975317891072,-0.110396961982015,-0.135340976452634,-0.161305119853085
"NFB",0.134067031595121,0.111111111111111,0.12957264957265,0.118803418803419,0.111111111111111,0.1,-0.036553741097432,-0.0440164276645962,-0.0440164276645962,0.0138528138528139,0.0334044882320744,0.0642857142857143,0.111111111111111,0.0682857142857143,0.0142857142857143,0.0209286409549118,0.0936643078283945,0.0405677655677656,0.0918591859185919,-0.00665732959850607,-0.08,-0.0688888888888889,0.114285714285714,0.0680117696511139,0.1,-0.08,0.0174307608100712,-0.0793186703382249,0.0654406130268199,0.0630309744726031,-0.0959484052494469,-0.0601811391223156,-0.0923847975326328,-0.0901707198567958,-0.0660634920634921,-0.0115830115830116,-0.0182496782496782,-0.0977656565656566,-0.128898087304462,-0.106565656565657,-0.118199708274617,0.170886662357251,-0.0154401154401154,-0.023827212214309,0.0440164276645962,-0.188859771868719,-0.155674480318443,-0.118803418803419,-0.12957264957265,-0.134657395335361,-0.138454863689792,-0.140572510748615,-0.369818996685804,-0.161854103343465,0.0793330865012326
"Patched",0.0625,0.1,0.05,0,0,0.1,0.319711538461538,0.288461538461538,0.288461538461538,0.2,0.0666666666666667,0.1,0.166666666666667,0.1,0.1,0.0119047619047619,0.0384615384615385,0.0944444444444444,0.0333333333333333,0.111111111111111,-0.1,-0.0666666666666667,0,-0.06,0,-0.2,-0.0166666666666667,0.0596774193548387,-0.0133333333333333,-0.00083333333333333,-0.0433333333333333,-0.0415384615384615,0.131344086021505,-0.00166666666666667,-0.08,-0.1,-0.142857142857143,-0.0266666666666667,0.07,-0.0666666666666667,-0.148783068783069,-0.320512820512821,-0.2,-0.245454545454545,-0.288461538461538,-0.0106903991370011,-0.166666666666667,-0.1,-0.15,-0.17,-0.181111111111111,-0.189848975188781,-0.277241379310345,-0.303463203463203,-0.39044955044955
"Csl",0.145360929393187,0.127692307692308,0.136489961651252,0.124662004662005,0.127692307692308,0.12,0.212645125107423,0.203821595695659,0.203821595695659,0.0383410138248848,0.0736450743320789,0.146666666666667,0.0324444444444444,0.118095238095238,0.0444444444444444,-0.00650539330580133,0.0997339716265547,0.0869323671497585,-0.00167180541281262,0.0380964299627772,0.0435897435897436,0.0553544494720965,-0.0111111111111111,-0.012884213239851,-0.0666666666666667,0.0666666666666667,-0.00452113415361074,0.0284688339036165,-0.0564297182893008,-0.0616021320824043,-0.00277263903163183,-0.0879089026915114,-0.0269022855632806,-0.00173491797924566,-0.100952380952381,-0.051421188630491,-0.055297157622739,-0.0119389996118987,-0.0126525315354173,-0.0227670250896057,-0.0140397719309143,-0.219628719408153,-0.0409725927722532,-0.0473362291358896,-0.203821595695659,-0.0871533942968292,-0.172398179484187,-0.124662004662005,-0.134552114552115,-0.143939869654155,-0.150810098661789,-0.153726050634345,-0.277811040867157,-0.185848282854879,-0.240380197956186
"Csn",-0.174455418421162,-0.15,-0.168778562525966,-0.160344827586207,-0.15,-0.133333333333333,-0.385273659001994,-0.378171931554777,-0.378171931554777,-0.177272727272727,0.0749545078577337,0.103333333333333,0.177272727272727,0.130606060606061,-0.161666666666667,0.0378807169798597,-0.0201190476190476,0.0660288730876966,-0.00956521739130435,-0.16810737104566,-0.0142857142857143,-0.0173160173160173,-0.145,0.142865662512424,-0.02,-0.0142857142857143,0.0389396195202647,-0.188323955395311,0.0205418237676302,0.0246401844233679,0.0103364256175254,-0.157391774891775,-0.0721036034835547,-0.211551900527072,-0.144891774891775,0.174166666666667,0.182966666666667,-0.202244024632084,-0.203235038203957,-0.190705563093623,0.0575748005592565,0.462368368213352,0.188961038961039,0.197614885114885,0.378171931554777,-0.0113093393909533,-0.0777885391444713,0.160344827586207,0.168778562525966,0.174556340303744,0.179701034837506,0.183008310844722,0.079005734461886,0.20914178076802,0.484782582986182
"SHH",0.05,0.1,0,0,0,0,0.288461538461538,0.25,0.25,0.1,0.075,0,0.2,0.1,0,-0.0166666666666667,0,0.15,0,0.1,-0.2,-0.1,0,-0.06,0,-0.2,-0.025,0.05,0.0666666666666667,-0.0133333333333333,-0.0333333333333333,-0.08,0.123010752688172,-0.0266666666666667,-0.1,-0.1,-0.1,-0.0666666666666667,0.05,-0.166666666666667,-0.122857142857143,-0.287179487179487,-0.2,-0.2,-0.25,-0.00777777777777777,-0.2,-0.1,-0.1,-0.15,-0.17,-0.181111111111111,-0.270574712643678,-0.276190476190476,-0.360779220779221
"RAF",-0.202051282051282,-0.1,-0.186666666666667,-0.166666666666667,-0.1,0,-0.302278277278277,-0.286038961038961,-0.286038961038961,-0.233333333333333,0.0781099952175992,-0.03,0.133333333333333,0.02,-0.214285714285714,0.03338553212182,-0.130778164924506,0.0701099952175992,-0.112419768934531,-0.244818775995247,0.1,0.1,-0.2,0.232773109243697,-0.2,0.1,0.0447680535628886,-0.241485264796657,-0.08,-0.0685245901639344,0.107469273885027,-0.0452384446074835,0.0668120221061398,-0.201602136181575,-0.0303448275862069,0.239285714285714,0.254437229437229,-0.185714285714286,-0.182463896257,-0.166666666666667,0.183759802732638,0.313159968479117,0.26969696969697,0.288927738927739,0.286038961038961,0.183768005699771,0.034031746031746,0.166666666666667,0.192982456140351,0.208367071524966,0.22165378481168,0.231577448933817,0.417127411552136,0.239791373652133,0.453313869101648
"MEK",-0.215337995337995,-0.166666666666667,-0.202051282051282,-0.186666666666667,-0.166666666666667,-0.1,-0.31529415029415,-0.302278277278277,-0.302278277278277,-0.26969696969697,0.0916020587096627,0.02,0.166666666666667,0.0303448275862069,-0.239285714285714,0.0405062751558757,-0.128959983106325,0.0759923481587757,-0.107469273885027,-0.259104490280961,0.1,0.08,-0.214285714285714,0.244615214506855,-0.2,0.1,0.0479426567374917,-0.254946803258195,-0.0685245901639344,-0.0600278581377906,0.110052299715285,-0.160238444607483,0.0621778757646763,-0.218390457349459,-0.0452384446074835,0.254437229437229,0.260319582378406,-0.201602136181575,-0.199581013374117,-0.185714285714286,0.189497507650671,0.331587486906636,0.288927738927739,0.298416790022629,0.302278277278277,0.183039408249862,0.0273650793650794,0.192982456140351,0.208367071524966,0.22165378481168,0.231577448933817,0.238083025141995,0.422236900603231,0.25690849076925,0.47088709085897
"PAK1",0.103125089145628,0.1,0.0967836257309942,0.0888888888888889,0.1,0.1,0.172647058823529,0.167647058823529,0.167647058823529,0.0141025641025641,0.101538932284088,0.16,0.0619047619047619,0.138260869565217,0.0333333333333333,0.00507101471568477,-0.0070501513948908,0.109944314337757,-0.00663935825226149,-0.0059339356295878,0.0190476190476191,0.0287250384024578,-0.0166666666666667,0.0202588571649345,-0.0666666666666667,0.0523809523809524,0.00822451166961962,-0.0173631536484622,-0.0299596063036923,-0.0339596063036923,0.00212322922000342,-0.124452959960698,-0.0476987599624938,-0.0553707623138674,-0.129786293294031,-0.0333333333333333,-0.0296296296296296,-0.0608352431881844,-0.0634937911245238,-0.0638655462184874,0.0165967961826858,-0.168841991341991,-0.00948717948717949,-0.00948717948717949,-0.167647058823529,-0.0700374560194013,-0.168069306930693,-0.0888888888888889,-0.0942942942942943,-0.101224987363601,-0.106039802178416,-0.107005319419795,-0.248824729122244,-0.128660346376677,-0.169383330386825
"ERK",-0.225112431428221,-0.192982456140351,-0.215337995337995,-0.202051282051282,-0.186666666666667,-0.166666666666667,-0.326625283407462,-0.31529415029415,-0.31529415029415,-0.288927738927739,0.101838279182104,0.0303448275862069,0.185714285714286,0.0452384446074835,-0.254437229437229,0.0424670594696012,-0.134079437031239,0.0876202551355199,-0.110052299715285,-0.269784101931446,0.08,0.0685245901639344,-0.239285714285714,0.254364518128025,-0.214285714285714,0.1,0.0509347827217437,-0.264669025480418,-0.0600278581377906,-0.057129307413153,0.112787862025315,-0.172216160484921,0.0585900192789358,-0.232126721085722,-0.160238444607483,0.260319582378406,0.26674160072703,-0.218390457349459,-0.213427167220271,-0.201602136181575,0.196425218494044,0.346028903800369,0.298416790022629,0.307558064260857,0.31529415029415,0.182112528744197,0.0195980890738172,0.208367071524966,0.22165378481168,0.231577448933817,0.238083025141995,0.242319136253106,0.425212554345341,0.269428815972502,0.484077620734956
"DELTA",0.127692307692308,0,0.12,0.1,0,0,0.187272727272727,0.16,0.16,0,0.101932367149758,0.1,0.2,0.2,-0.1,0.0187878787878788,0.116666666666667,0.0888888888888889,0.0166666666666667,0.012,0.1,0.0666666666666667,0,0.0102564102564103,0,0,0.00289855072463768,-0.00833333333333333,-0.0666666666666667,-0.0435897435897436,-0.00238095238095237,-0.146666666666667,-0.0375214925919151,-0.0324444444444444,-0.18,0.0666666666666667,0.0111111111111111,-0.0444444444444444,-0.0471428571428571,-0.1,-0.0110822510822511,-0.186590038314176,-0.06,-0.102857142857143,-0.16,-0.0824561403508772,-0.22,-0.1,-0.12,-0.127692307692308,-0.124662004662005,-0.134552114552115,-0.266189039718451,-0.162857142857143,-0.200478764478765
"cMet",0.0754545454545455,0,0.08,0.1,0.1,-0.1,-0.0809703504043127,-0.0828571428571429,-0.0828571428571429,-0.214285714285714,0.130735930735931,0.025,0.153333333333333,0.045,-0.233333333333333,0.0863592446201142,-0.121603027175783,0.0317460317460317,-0.128684807256236,-0.0940412396592172,0.15,0.15,-0.2,0.181481481481481,-0.1,0.1,0.0779220779220779,-0.115803440290505,-0.15,-0.1375,0.126866625438054,-0.0431818181818182,-0.0572163779281217,-0.137405437352246,-0.045,0.226666666666667,0.220416666666667,-0.135277777777778,-0.139150843881857,-0.140833333333333,0.119224688355123,0.102380952380952,0.209022556390977,0.211150215965446,0.0828571428571429,-0.0629145771885203,0.0880952380952381,0,-0.08,-0.0730232558139535,-0.0684078711985689,-0.0667129559443316,0.180384919217036,-0.102063492063492,0.119716781061319
"CD44",0.08,-0.1,0.1,0.1,0,-0.1,-0.0828571428571429,-0.0857142857142857,-0.0857142857142857,-0.2,0.131746031746032,0,0.133333333333333,0.025,-0.2,0.0863592446201142,-0.127485380116959,0.0365079365079365,-0.138888888888889,-0.0951648351648352,0.1,0.15,-0.1,0.188888888888889,0,0.1,0.080952380952381,-0.112413609782031,-0.15,-0.15,0.128684807256236,-0.045,-0.0547252747252747,-0.135277777777778,-0.045,0.233333333333333,0.226666666666667,-0.140833333333333,-0.140416666666667,-0.153333333333333,0.121398601398601,0.102380952380952,0.214285714285714,0.209022556390977,0.0857142857142857,-0.0641868418195636,0.0880952380952381,0,0,-0.08,-0.0730232558139535,-0.0684078711985689,0.178195138195138,-0.11,0.117014078358616
"RAS",-0.180147058823529,-0.1,-0.167647058823529,-0.15,-0.1,0,-0.437307692307692,-0.327692307692308,-0.327692307692308,-0.2,0.202135493372607,0.06,0.22,0.11,-0.2,0.122646153846154,-0.104347826086957,0.192857142857143,-0.19004329004329,-0.27379159847245,0.2,0.2,-0.1,0.259993710691824,0,0.1,0.129440353460972,-0.273933136676499,-0.188,-0.172745762711864,0.185961657390229,-0.160567595459236,-0.0644188364565818,-0.290518345952242,-0.146842105263158,0.233333333333333,0.238888888888889,-0.277647058823529,-0.278571428571429,-0.26,0.226386753400355,0.493062015503876,0.236842105263158,0.246276067527309,0.327692307692308,0.0059598718714539,-0.0774891774891775,0.15,0.167647058823529,0.182540675844806,0.194848368152498,0.202497093364963,0.209515727706713,0.206113306982872,0.471470656935773
"SRC",0.198360655737705,0.1,0.2,0.2,0.2,0,0.0667831000872302,0.0592073425114727,0.0592073425114727,0.065,0.204559748427673,0.1,0.288888888888889,0.109090909090909,0,0.0621343873517787,-0.00653757034094671,0.110658914728682,-0.0508771929824561,-0.084278135657446,0.1,0.12,0,0.244053437601825,0.1,0.1,0.0282719377059,-0.164216941095442,-0.108888888888889,-0.108888888888889,0.0481744902797534,-0.0996569468267581,-0.065679538991169,-0.253672438672439,-0.109090909090909,-0.0230769230769231,-0.0397435897435897,-0.259126984126984,-0.273165266106443,-0.263888888888889,-0.0167748764996471,0.134199134199134,-0.0792857142857143,-0.09,-0.0592073425114727,-0.204671292759528,-0.17,-0.2,-0.2,-0.198360655737705,-0.202019192323071,-0.205822324314122,-0.133747791382809,-0.239124059671044,-0.0637486064659978
"ILK",-0.138000743218135,-0.1,-0.124154589371981,-0.111111111111111,-0.1,-0.1,-0.339874755381605,-0.330285714285714,-0.330285714285714,-0.225,0.262309671032345,0.2,0.325,0.228571428571429,-0.133333333333333,0.0926998160604718,-0.0531362459220395,0.244956140350877,-0.0351420568227291,-0.238442566382695,0.05,0.0333333333333333,-0.1,0.22365869424693,0,0.1,0.0601301588847234,-0.275813204508857,-0.017948717948718,-0.017948717948718,0.0375420568227291,-0.269458603113376,-0.13183022714944,-0.379720229555237,-0.257983193277311,0.127450980392157,0.119758672699849,-0.362647058823529,-0.374236933797909,-0.342647058823529,0.0852631578947368,0.439886964886965,0.225,0.225,0.330285714285714,-0.127675965765053,-0.253461538461538,0.111111111111111,0.124154589371981,0.138000743218135,0.141955545478022,0.144223586715135,-0.0748716435790499,0.178285714285714,0.476519929298317
"GSK3",-0.167938761072122,-0.140789473684211,-0.163221779940046,-0.158646616541353,-0.140789473684211,-0.125,-0.365788212583756,-0.35990585964258,-0.35990585964258,-0.224579831932773,0.262606916202705,0.249411764705882,0.375072463768116,0.260522875816993,-0.21375,0.0977497067904043,-0.0626598919046522,0.252784502224517,-0.0422767485567615,-0.253830417175179,0.0170995670995671,0.0170995670995671,-0.22,0.215155546208178,-0.22,0.0409090909090909,0.0707048294264772,-0.277237068066188,-0.0115780947069291,-0.0110996258074075,0.0409274232194302,-0.283331317375435,-0.123425414904908,-0.413567952019702,-0.274808590102708,0.22639367816092,0.233231284998526,-0.405362823814574,-0.402647625732081,-0.393167701863354,0.106247299298314,0.360962504651257,0.239265146618088,0.245758653111594,0.35990585964258,-0.0861257753315192,-0.276156345072964,0.158646616541353,0.164606881442016,0.16889259572773,0.171474964383117,0.174435490698907,-0.00201289752844339,0.216304136041051,0.505164897095444
"TCFLEF",-0.128783917134301,-0.1125,-0.126920563097034,-0.122647058823529,-0.117647058823529,-0.1,-0.171368998627743,-0.166769787064011,-0.166769787064011,-0.205659174238801,0.281718057770689,0.242857142857143,0.425641025641026,0.269686411149826,-0.099012987012987,0.0955123524400633,-0.013089605734767,0.179507257448434,0.03516776790461,-0.278032852282165,-0.126666666666667,-0.140952380952381,-0.087012987012987,0.14871975019516,-0.114285714285714,-0.133333333333333,0.0693522948786107,-0.285129085233688,0.132887864823349,0.133501361755864,-0.0342117449600593,-0.292271445163431,-0.162848953133531,-0.464681055810108,-0.282067363530778,0.105464599916213,0.116334165133604,-0.458720790909446,-0.472200767266171,-0.446571258199165,0.100627029790473,0.267071155160398,0.211541527179978,0.219847175020509,0.166769787064011,-0.195703663411312,-0.231552280055274,0.1175,0.121773504273504,0.123660296726334,0.0256076048592096,0.0267244433471821,-0.291196406558022,0.472831257631258,0.382082513957795
"cateninnuc",-0.208746916176934,-0.175990675990676,-0.200841777837013,-0.191059169141361,-0.175990675990676,-0.160606060606061,-0.353374543374543,-0.344620334620335,-0.344620334620335,-0.315254237288136,0.28463176201863,0.255797101449275,0.309714285714286,0.273257418909593,-0.285984848484849,0.138578229957896,-0.0539396610449613,0.220787328527542,-0.025988455988456,-0.288760317812055,-0.108888888888889,-0.113806921675774,-0.270833333333333,0.26998019433007,-0.233333333333333,-0.0888888888888889,0.117828874548216,-0.327272797271829,0.12312369186211,0.123777286633351,0.0272162868206524,-0.308079158544943,-0.166750171553556,-0.361514254053932,-0.294776406251365,0.299984848484849,0.308578598484848,-0.34906883920677,-0.383268600252207,-0.331252747252747,0.193804293027182,0.414657596619357,0.329207725660229,0.338298634751138,0.344620334620335,-0.0127316173750488,-0.139267187130851,0.189879564879565,0.199662173575217,0.207598681511725,0.212751780839582,0.116480032703708,0.238672813666522,0.355494026096813,0.470256301332808
"KLF4",-0.334250043241033,-0.266666666666667,-0.317008663930689,-0.296078431372549,-0.266666666666667,-0.233333333333333,-0.384117647058824,-0.365,-0.365,-0.305454545454545,0.294246646026832,0.16,0.263636363636364,0.223636363636364,-0.26,0.16964183964184,-0.0695951107715814,0.22962962962963,-0.044,-0.400531590413943,-0.233333333333333,-0.233333333333333,-0.2,0.282529375386518,-0.1,-0.2,0.167162022703818,-0.341955152840304,0.245833333333333,0.253360215053763,0.0425507246376812,-0.298530238712167,-0.0742978712795786,-0.374823355506282,-0.270695187165775,0.302857142857143,0.328783068783069,-0.348969696969697,-0.394537989289955,-0.315636363636364,0.32707010131298,0.428236768674809,0.342296650717703,0.366007990923889,0.365,0.211447869425452,-0.0479988564894225,0.296078431372549,0.317008663930689,0.333530403061123,0.345904985000923,0.355494026096813,0.289512343067594,0.388359502075995,0.485263574798783
"Ecadherin",-0.3469167099077,-0.296078431372549,-0.334250043241033,-0.317008663930689,-0.296078431372549,-0.266666666666667,-0.398084127505751,-0.384117647058824,-0.384117647058824,-0.342296650717703,0.311782191050528,0.223636363636364,0.315636363636364,0.270695187165775,-0.302857142857143,0.178021727909996,-0.0716085335903733,0.247351148616971,-0.0425507246376812,-0.416360268253794,-0.233333333333333,-0.245833333333333,-0.26,0.295637989618728,-0.2,-0.233333333333333,0.173797093793866,-0.358727304739038,0.253360215053763,0.262021632376598,0.0456984243955504,-0.322451807339618,-0.0801953071770145,-0.395619015542449,-0.298530238712167,0.328783068783069,0.346964886964887,-0.374823355506282,-0.416277119724738,-0.348969696969697,0.335079254631058,0.446779815032425,0.366007990923889,0.383480109882997,0.384117647058824,0.110376788607535,-0.0690514880683699,0.317008663930689,0.333530403061123,0.345904985000923,0.355494026096813,0.362310085854049,0.292101144994144,0.403823419601768,0.503716510493098
"cateninmemb",-0.3469167099077,-0.296078431372549,-0.334250043241033,-0.317008663930689,-0.296078431372549,-0.266666666666667,-0.398084127505751,-0.384117647058824,-0.384117647058824,-0.342296650717703,0.311782191050528,0.223636363636364,0.315636363636364,0.270695187165775,-0.302857142857143,0.178021727909996,-0.0716085335903733,0.247351148616971,-0.0425507246376812,-0.416360268253794,-0.233333333333333,-0.245833333333333,-0.26,0.295637989618728,-0.2,-0.233333333333333,0.173797093793866,-0.358727304739038,0.253360215053763,0.262021632376598,0.0456984243955504,-0.322451807339618,-0.168508178565098,-0.395619015542449,-0.298530238712167,0.328783068783069,0.346964886964887,-0.374823355506282,-0.416277119724738,-0.348969696969697,0.335079254631058,0.446779815032425,0.366007990923889,0.383480109882997,0.384117647058824,0.128405271581481,-0.0690514880683699,0.317008663930689,0.333530403061123,0.345904985000923,0.355494026096813,0.362310085854049,0.292101144994144,0.403823419601768,0.503716510493098
"SNAI2",-0.388785009522375,-0.305454545454545,-0.367929394549113,-0.341168831168831,-0.305454545454545,-0.26,-0.428526816443665,-0.404782524206222,-0.404782524206222,-0.332894736842105,0.327776798825257,0.166666666666667,0.276470588235294,0.231372549019608,-0.275,0.201992561847538,-0.0817811934900542,0.258846153846154,-0.0546613011401744,-0.440435009070722,-0.26,-0.277647058823529,-0.2,0.317269230769231,-0.1,-0.2,0.201490035661842,-0.378925896351713,0.291932773109244,0.301791928038821,0.056096707838739,-0.320800211976683,0.0324374907844128,-0.414263230375762,-0.284313725490196,0.326724137931034,0.361663896967179,-0.3819650937298,-0.431007226380211,-0.338375350140056,0.381393224089593,0.465628282842221,0.376754385964912,0.407923217133743,0.404782524206222,0.395641003092264,0.000338066260987158,0.341168831168831,0.367929394549113,0.388359502075995,0.403823419601768,0.415624661837793,0.553617116767719,0.437131787727523,0.5243402353264
"Destcompl",-0.361591743462856,-0.311904761904762,-0.350274489288459,-0.332452707110241,-0.311904761904762,-0.283333333333333,-0.50409432897297,-0.491064501657428,-0.491064501657428,-0.357555816686251,0.388595840124517,0.333846153846154,0.402857142857143,0.376270396270396,-0.387577639751553,0.200864460816655,-0.151054927978005,0.36128554233946,-0.126587301587302,-0.405252225618906,-0.0812260536398468,-0.095511767925561,-0.357142857142857,0.388534377232064,-0.3,-0.0777777777777778,0.199065716635097,-0.4830897419213,0.102247519220898,0.109404192335018,0.128809523809524,-0.421535665690055,-0.311477604671259,-0.474620171117449,-0.400860560204822,0.402892955066868,0.416986914798412,-0.456196525797252,-0.480417683073097,-0.432512315270936,0.346070293751115,0.632882421397635,0.374947121034078,0.390377982757524,0.491064501657428,-0.0487993555664301,-0.218093074253337,0.332452707110241,0.349865642433624,0.361432806612729,0.369651984694921,0.375210373272177,0.260399078405751,0.409472483460739,0.626116675639769
"AXIN2",-0.394833840210215,-0.313333333333333,-0.374079123229083,-0.348217054263566,-0.313333333333333,-0.266666666666667,-0.541141844054072,-0.519357067151185,-0.519357067151185,-0.349824561403509,0.419823456893693,0.286666666666667,0.375,0.352520325203252,-0.373913043478261,0.234998631803478,-0.186629414114201,0.386252591510918,-0.168368990108121,-0.437937008775413,-0.107692307692308,-0.112454212454212,-0.3,0.427527275591792,-0.2,-0.1,0.24173713332035,-0.51889411878997,0.123168498168498,0.131365219479974,0.169162640901771,-0.43840495298282,-0.343848127339524,-0.49886654594663,-0.403922194362131,0.418840579710145,0.445507246376812,-0.469493608652901,-0.504593626514001,-0.430555555555556,0.380697803958674,0.664155870445344,0.390895989974937,0.417247341326289,0.519357067151185,-0.0607020645289782,-0.195009846005638,0.348217054263566,0.374079123229083,0.394583855090282,0.409472483460739,0.420151255618111,0.302342892347242,0.741676442511397,0.757200474844023
