"","CDC42","NOTCHic","AKT","Csl","GSK3","SHH","FUS","Csn","SNAI2","cateninnuc","CD44","cfos","TrCP","SRC","ERK","cMet","STAT","LIV1","AXIN2","Destcompl","FOXC2","ZEB1","RAF","PI3K","DELTA","RAS","TWIST1","SOSGRB2","DSH","EGR1","RKIP","cateninmemb","Wnt","TCFLEF","Frizzled","MEK","SNAI1","GLI","SUFU","Patched","SMO","NFB","IKK","HEY1","NOTCH","miR200","ILK","SMAD","PAK1","Ecadherin","TGFR","TGF","Jagged","ZEB2","KLF4"
"RAF",-0.1,-0.0393939393939394,-0.212987012987013,0.0333333333333333,0.0290780141843972,-0.137420765027322,-0.0666666666666667,-0.2,-0.335818907734452,-0.0774588609462053,-0.0759784075573549,-0.1,-0.2,-0.0666666666666667,-0.0344827586206897,-0.0298245614035088,0,0,-0.0535630567276137,0.00720685486738249,-0.0687592101385205,-0.0339158297465328,-0.113311688311688,-0.113311688311688,0.113311688311688,0.158610833610834,-0.00688057040998217,0.0606984126984127,0,0,0.16484593837535,0.168831857067151,0.0366666666666667,0.0487056802846276,0.0666666666666667,0.0834189288334556,0.0907843297917862,0.0828205128205128,0.1,0.122666666666667,0.126666666666667,0.185714285714286,0.185714285714286,0.153348819202478,0.0201631701631702,0.126625637051262,0.164773213521609,0.147941530353292,0.133333333333333,0.232530193011725,0.104761904761905,0.111303960836671,0.164934513703614,0.158140602582496,0.166140602582496
"TWIST1",-0.149885057471264,0.0068945868945869,-0.128568324331036,-0.00592592592592592,0.0471882984689156,-0.184196834394284,-0.177777777777778,-0.15,-0.234251395637526,0.0787887622046649,0.0824385688651262,-0.131594202898551,-0.1,0.0880952380952381,-0.142120518688024,0.0732016210739615,0.0714285714285714,0.1,0.0744732686668171,0.0633841648811466,0.100066737463587,0.067192631227719,-0.0262793212129076,-0.0262793212129076,0.0262793212129076,0.0170327458704418,0.118325296937997,0.110438303115649,-0.0714285714285714,0.153333333333333,0.0815994685559903,-0.0630554536856343,-0.0723057644110276,-0.0740159042403176,-0.0880952380952381,0.130677732618373,0.119245638849599,-0.0811057644110276,0.166666666666667,0.19158599695586,0.173777777777778,0.111538461538462,0.135347985347985,0.107419134537779,0.0100865451808848,0.160825559864445,0.112858312858313,0.111868213848412,0.153333333333333,-0.056952494702811,0.149885057471264,0.151935171366481,0.0208520374204579,0.165815815815816,0.169783197831978
"ERK",-0.111303960836671,-0.0573894475354329,-0.204794892101962,-0.0201631701631702,0.0356795624753187,-0.122700674092398,-0.122666666666667,-0.185714285714286,-0.343674782802191,-0.0748416573113436,-0.0774588609462053,-0.0834189288334556,-0.185714285714286,-0.0759784075573549,-0.146752262166789,-0.0487056802846276,-0.0298245614035088,-0.0666666666666667,-0.050636227459321,0.000730619016827674,-0.0728663942457046,-0.0392264159232607,-0.124007659007659,-0.124007659007659,0.124007659007659,0.152720530294788,-0.00641113693083996,0.0723920480813685,0.0366666666666667,0.0344827586206897,0.173459044957963,0.165162325799621,0.0555477855477855,0.0583138795335659,0.0828205128205128,0.181571203670967,0.0826290591365155,0.083367334419966,0.126666666666667,0.110623379406407,0.137420765027322,0.212987012987013,0.188281130634072,0.138915061833567,0.0271955417182584,0.132507989992439,0.152000570943698,0.152912425047041,0.104761904761905,0.236158360694188,0.119333157916963,0.115761729345534,0.160658392826663,0.167544427104431,0.170700566102788
"Patched",-0.233333333333333,0.0333333333333333,0.0357142857142857,0,0.0567765567765568,-0.145833333333333,-0.1,0,0.229026819923372,0.202880258899676,0.21,-0.1,0,0.2,-0.16,0.15,0.1,0.1,0.0922077922077922,0.0277322677322677,-0.015,-0.025,-0.0192307692307692,-0.0192307692307692,0.0192307692307692,-0.0245192307692308,0.180555555555556,0.233333333333333,0,0.1,0.122857142857143,0.120483870967742,-0.05,-0.176666666666667,-0.1,0.136923076923077,0.159677419354839,-0.1125,0,0.133333333333333,0.133333333333333,-0.1,-0.05,0.171794871794872,0.0303030303030303,0.221428571428571,0.166666666666667,0.166666666666667,0.233333333333333,-0.00515911542610572,0.233333333333333,0.258333333333333,-0.0670899470899471,0.275,0.261111111111111
"SMO",-0.233333333333333,-0.0303030303030303,-0.0162857142857143,0.0333333333333333,0.026679469397916,-0.173611111111111,-0.133333333333333,0.1,0.234741105637657,0.181827627320729,0.176666666666667,-0.16,0,0.15,-0.136923076923077,0.21,0.2,0.1,0.0473802060008957,0.0478873064919576,0.00568965517241379,-0.0300847457627119,0.0245192307692308,0.0245192307692308,-0.0245192307692308,0.00803890876565295,0.165849673202614,0.207017543859649,-0.1,0.1,0.122857142857143,0.140872220482305,-0.1125,-0.202880258899676,-0.05,0.188438228438228,0.162058371735791,-0.0791666666666667,0.1,0.145833333333333,0.133333333333333,-0.05,-0.0357142857142857,0.167032967032967,-0.00469696969696969,0.240415913200723,0.166666666666667,0.161904761904762,0.233333333333333,-0.0106941707766592,0.258333333333333,0.269144144144144,-0.0456613756613757,0.290254237288136,0.286111111111111
"miR200",-0.197303921568627,-0.143645320197044,-0.165492977727337,-0.15743842364532,-0.0965452560530494,-0.110930563199413,-0.1175,-0.12,-0.230809558657068,-0.160465283546949,-0.150739453821119,-0.102857142857143,-0.1,-0.129565217391304,-0.134675324675325,-0.167593386405389,-0.16,-0.1,-0.095029407931523,-0.112598964357461,-0.0382933597567744,-0.0735797491039426,-0.0943742824339839,-0.0943742824339839,0.0943742824339839,0.0696860031322383,-0.00615341713501223,0.0679432624113475,0.16,0.142857142857143,0.0999187658439588,0.14703045066565,0.178028169014085,0.17137437445604,0.14,0.114947433518862,0.108525733525734,0.161544652530568,0.08,0.130495780590717,0.124166666666667,0.135789473684211,0.184360902255639,0.156638418079096,0.170198992513429,0.142676455889702,0.174892541087231,0.179594735444598,0.1875,0.328302261668171,0.206981340923466,0.212213899063001,0.180523519539679,0.296227598566308,0.284109730848861
"SUFU",-0.269144144144144,-0.0248484848484849,-0.00614116085257025,0.00469696969696969,0.0253270607693254,-0.176606314106314,-0.145833333333333,0.0357142857142857,0.231987631841577,0.185468931668555,0.181827627320729,-0.188438228438228,0.05,0.176666666666667,-0.166599147978458,0.202880258899676,0.21,0.15,0.0547725285749716,0.0425020672381053,0.0104500051789438,-0.0448234909095658,0.0203453707103296,0.0203453707103296,-0.0203453707103296,-0.00104157324197515,0.166616122168988,0.226947613789719,-0.1125,0.136923076923077,0.112909741216074,0.137746116946162,-0.104166666666667,-0.196773279494642,-0.0791666666666667,0.188301275638033,0.157564784258693,-0.0829770755885998,0.133333333333333,0.158459595959596,0.173611111111111,0.0162857142857143,-0.0106373626373626,0.174017426610407,0.00183261183261184,0.24140233154516,0.175453149001536,0.180303033528095,0.258333333333333,-0.00806335661811627,0.271271803718612,0.268313223836955,-0.0454438785947243,0.297785134416259,0.313125933924501
"TCFLEF",-0.296720333929636,-0.0685477443009724,-0.119746798783264,-0.0352144109676391,0.00685525338002259,0.0264886488931611,0.0466666666666667,-0.0766233766233766,0.194677672665979,-0.0314704686806418,-0.134849621028866,-0.0922996515679443,-0.0857142857142857,-0.135833333333333,-0.0742044134727061,-0.105918803418803,-0.0958333333333333,-0.133333333333333,-0.049960927960928,0.0363719873136808,-0.175025442290988,-0.0567925305688463,-0.030083062691366,-0.030083062691366,0.030083062691366,0.0572841139397234,0.0208600939267865,-0.0543546752648549,0.092156862745098,0.0557142857142857,0.104942829590853,0.1187748233646,0.102242332830568,0.0141165167906074,0.132156862745098,0.102095569935291,0.205850223695412,0.130813761401997,-0.0666666666666667,-0.0405990783410138,-0.0228571428571429,0.120623376623377,0.101268537913699,0.10179858533955,0.0416374452976502,0.241632504042143,0.115675856307435,0.119691152674548,0.28974358974359,0.138607206428624,0.305131548882907,0.302482542260391,0.164377351310881,0.304001816409711,0.205864845938375
"TGF",-0.34,-0.0566666666666667,-0.218546365914787,-0.0466666666666667,-0.269701487901096,-0.156012931034483,-0.126666666666667,-0.166666666666667,-0.0739932694708404,-0.103561132677319,-0.089685534591195,-0.20952380952381,-0.2,-0.0666666666666667,-0.246365914786967,-0.106666666666667,-0.1,0,-0.0669312169312169,-0.0943253021746648,0.00361801242236025,-0.00457573446131799,-0.0428571428571429,-0.0428571428571429,0.0428571428571429,0.0125,0.195555555555556,0.101315789473684,0.1,0.266666666666667,0.106493506493507,0.0855940204017655,0.125714285714286,0.116001324064879,0.0857142857142857,0.221921470342523,0.200066751430388,0.108733153638814,0.0666666666666667,0.184137931034483,0.16,0.166666666666667,0.223809523809524,0.171760154738878,0.0945977011494253,0.2378024274576,0.191212121212121,0.191212121212121,0.34,0.158133960846909,0.359047619047619,0.276904761904762,0.176840942562592,0.305443912812334,0.283625730994152
"TGFR",-0.359047619047619,-0.0945977011494253,-0.227848691496182,-0.0566666666666667,-0.289016891324079,-0.161097676797195,-0.16,-0.166666666666667,-0.0749191953967663,-0.117112948443484,-0.116001324064879,-0.246365914786967,-0.166666666666667,-0.106666666666667,-0.221921470342523,-0.089685534591195,-0.0666666666666667,-0.1,-0.0931114744419465,-0.0806156247553099,0.0223953049987795,-0.0208021495556576,-0.0125,-0.0125,0.0125,0.0364766081871345,0.174559114274417,0.0926738141650422,0.0857142857142857,0.20952380952381,0.0879220779220779,0.0962175769837517,0.108733153638814,0.103561132677319,0.125714285714286,0.257537908698687,0.2033115891885,0.133894443961395,0.126666666666667,0.156012931034483,0.184137931034483,0.223809523809524,0.218546365914787,0.165790005485147,0.0679789961134541,0.241614744173142,0.191212121212121,0.197261943276178,0.34,0.155237879075188,0.276904761904762,0.27548632218845,0.19133369618578,0.307330705265164,0.303268588137009
"SMAD",-0.217437961099933,-0.196354679802956,-0.197267973856209,-0.234285714285714,-0.181467557783347,-0.208802649977832,-0.2375,-0.227777777777778,-0.233166952465456,-0.104204843830196,-0.0965836516424752,-0.199539170506912,-0.15,-0.0780952380952381,-0.239074054227843,-0.117310924369748,-0.111428571428571,-0.04,-0.0661985151558141,-0.0787056861995286,-0.0143912791783725,-0.0958703523864929,0.0117878976918278,0.0117878976918278,-0.0117878976918278,-0.0364589503234068,0.109253579649642,0.0700384501626738,0.138095238095238,0.228571428571429,0.123897214062438,0.0958672799423277,0.143223443223443,0.117072118399599,0.104761904761905,0.206381746535535,0.143878254362125,0.123798982791789,0.225,0.218096330275229,0.2025,0.194444444444444,0.219934640522876,0.210612336300053,0.229688013136289,0.215732847048097,0.267222275441453,0.177222275441454,0.204761904761905,0.195217190844968,0.212410028139039,0.212808434513541,0.241119955313504,0.321158829644925,0.316619930649781
"Wnt",-0.3,0.05,-0.203333333333333,0.15,0.0459247648902821,-0.151948051948052,0,-0.1,-0.0313793103448276,0.00771423592092814,0.00657894736842105,-0.2,-0.1,0,-0.14,0.075,0.1,0,0.00848484848484849,0.0471847320163763,-0.0622672064777328,-0.0563366810138689,-0.0924812030075188,-0.0924812030075188,0.0924812030075188,0.156117566643882,0.169705882352941,0.121212121212121,0,0.1,0.173333333333333,0.103093220338983,-0.075,-0.0494360902255639,0.1,0.204705882352941,0.237991718426501,-0.00657894736842105,0,0.109090909090909,0.1,0.133333333333333,0.153333333333333,0.163076923076923,-0.0833333333333333,0.267171717171717,0.156410256410256,0.154084675014908,0.3,0.133619946798546,0.32,0.328695652173913,0.0990196078431373,0.331850789096126,0.329411764705882
"AKT",-0.221647058823529,0.0291563275434243,-0.168449197860963,0.0807692307692308,0.0534921022824249,-0.131324786324786,-0.1,-0.0333333333333333,0.0227104701090124,0.00135494977368729,-0.00117478852924688,-0.207563025210084,-0.0333333333333333,-0.00096618357487922,-0.163300730128117,0.0344184318097362,0.0555555555555556,0,0.0120385078219013,0.0330605551395814,-0.179049575157406,-0.0559993105887652,-0.110865682262943,-0.110865682262943,0.110865682262943,0.145323513588244,0.0820417377271301,0.127094017094017,-0.0555555555555556,0.142857142857143,0.194223040386723,0.110304194529041,-0.0344184318097362,-0.0221241805429181,0.00096618357487922,0.203807059242041,0.236568050561186,0.000777098916520819,0.1,0.111324786324786,0.130769230769231,0.0745098039215686,0.0411764705882353,0.152069736443824,-0.0608636446165951,0.264077869839683,0.147606242496999,0.147942942833699,0.217647058823529,0.158612798567342,0.228964131994261,0.226849328368883,0.0956523759730452,0.334176218046923,0.339136302294197
"PI3K",-0.217647058823529,0.0807692307692308,-0.0411764705882353,0.05,0.0797017797017797,-0.111324786324786,-0.1,-0.0333333333333333,0.0183888620688114,0.0221241805429181,0.0344184318097362,-0.142857142857143,0,0.0555555555555556,-0.207563025210084,-0.00096618357487922,0,0.1,0.0506666666666667,0.011307039837679,-0.200102206736353,-0.0470952009997241,-0.154701298701299,-0.154701298701299,0.154701298701299,0.110865682262943,0.107424000724072,0.151538461538462,0,0.2,0.213477698771816,0.0928730018684907,0.00096618357487922,0.00117478852924688,-0.0555555555555556,0.163300730128117,0.225289855072464,-0.0344184318097362,0,0.130769230769231,0.1,0.0333333333333333,0.0745098039215686,0.146806578549087,-0.0291563275434243,0.263008351123105,0.135606242496999,0.147606242496999,0.2,0.163612798567342,0.221647058823529,0.228964131994261,0.0698245614035088,0.338970738594868,0.326315789473684
"DSH",-0.328695652173913,0.0225490196078431,-0.196867816091954,0.0833333333333333,0.0493277037920609,-0.152066793289829,-0.109090909090909,-0.153333333333333,-0.0408019020900526,0.0107833959090552,0.00771423592092814,-0.204705882352941,-0.133333333333333,0.00657894736842105,-0.160261437908497,0.0494360902255639,0.075,0,0.0159816593964371,0.036142858648891,-0.067824439941943,-0.0631972095864112,-0.104936464281678,-0.104936464281678,0.104936464281678,0.14387203851137,0.175865963406639,0.142276422764228,-0.075,0.14,0.183797868797869,0.0991894680253367,-0.0494360902255639,-0.0343809025875948,-0.00657894736842105,0.206126099562632,0.233423050379572,-0.00825961963732861,0.1,0.129367406786762,0.151948051948052,0.203333333333333,0.165833333333333,0.170467740546128,-0.0596119566707802,0.276203729366839,0.166234207725188,0.16887571715915,0.32,0.141375492394303,0.339171842650104,0.33673281825986,0.103224446931697,0.346725662410229,0.350678523836719
"Frizzled",-0.32,0.0833333333333333,-0.165833333333333,0.05,0.0792580982236155,-0.129367406786762,-0.1,-0.133333333333333,-0.0455748939410421,0.0343809025875948,0.0494360902255639,-0.14,-0.1,0.075,-0.204705882352941,0.00657894736842105,0,0.1,0.0619732205778717,0.0119062174275169,-0.0924997646172677,-0.051386185964364,-0.156117566643882,-0.156117566643882,0.156117566643882,0.104936464281678,0.204943977591036,0.166666666666667,0.1,0.2,0.20547619047619,0.0792836965294592,-0.00657894736842105,-0.00771423592092814,-0.075,0.160261437908497,0.222118702553485,-0.0494360902255639,0,0.151948051948052,0.109090909090909,0.153333333333333,0.203333333333333,0.165204582651391,-0.0225490196078431,0.274984217171717,0.154084675014908,0.166234207725188,0.3,0.14690666008526,0.328695652173913,0.339171842650104,0.073767082590612,0.350662670284245,0.334173669467787
"GSK3",-0.339171842650104,0.0596119566707802,-0.174645593869732,0.0225490196078431,-0.0302064060249108,-0.138669664103226,-0.151948051948052,-0.203333333333333,-0.0479632480779732,0.0269018169616868,0.0343809025875948,-0.160261437908497,-0.153333333333333,0.0494360902255639,-0.206126099562632,0.00771423592092814,0.00657894736842105,0.075,0.0496194067328146,0.0171573003537166,-0.0871226855559781,-0.0579966152327708,-0.14387203851137,-0.14387203851137,0.14387203851137,0.115090525906328,0.196224478131351,0.169718283229344,-0.00657894736842105,0.204705882352941,0.199587342482079,0.0846890259386878,-0.00825961963732861,-0.0107833959090552,-0.0494360902255639,0.173171554108087,0.227553725905596,-0.0337313177505362,0.109090909090909,0.152066793289829,0.129367406786762,0.165833333333333,0.196867816091954,0.175658051964813,-0.0229885800474036,0.276086496072584,0.16887571715915,0.177121594220619,0.328695652173913,0.149442663945175,0.33673281825986,0.339296920823962,0.0878959797784126,0.353114964044702,0.349151806279467
"DELTA",-0.2,0,-0.177777777777778,0.1,-0.109961685823755,-0.148076923076923,0,0,-0.2149069884364,-0.122617382617383,-0.109230769230769,-0.2,0,-0.1,-0.18,-0.04,0,0,-0.0985714285714286,-0.0561389961389961,-0.0614285714285714,-0.0623188405797102,-0.04,-0.04,0.04,0.103636363636364,0.105,0.04,0,0.1,0.18974358974359,0.117419059813426,0.04,0.081958041958042,0.1,0.28,0.25,0.109230769230769,0,0.125,0.1,0,0.1,0.266666666666667,-0.0142857142857143,0.260606060606061,0.166666666666667,0.161904761904762,0.2,0.199438596491228,0.233333333333333,0.261333333333333,0.151948051948052,0.363768115942029,0.333333333333333
"ZEB2",-0.332467532467532,-0.310153846153846,-0.29081256490135,-0.279487179487179,-0.276331614047181,-0.248360785555907,-0.239285714285714,-0.233333333333333,-0.226491893564043,-0.206471292757431,-0.202621832358674,-0.201315789473684,-0.2,-0.19,-0.18518675721562,-0.179473684210526,-0.15,-0.15,-0.145935099579556,-0.142569163898547,-0.0954188034188034,-0.0654223560242232,-0.0141774891774892,-0.0141774891774892,0.0141774891774892,0.0315222429248125,0.102288197569258,0.103223443223443,0.159090909090909,0.175,0.175571658615137,0.182554064718255,0.191398601398601,0.194523240809379,0.199090909090909,0.203479440142449,0.210551686143945,0.214334381215115,0.225,0.243815331010453,0.253571428571429,0.270833333333333,0.273055555555556,0.285193999548838,0.299771332492644,0.30486202297366,0.318366351957901,0.322024888543267,0.323376623376623,0.336673434315871,0.341311069882498,0.342369270940699,0.344080011003894,0.383412625612871,0.477911816320816
"NOTCHic",-0.261333333333333,-0.134101382488479,-0.174677002583979,0.0142857142857143,-0.115953421360945,-0.139095265897922,-0.125,-0.1,-0.232824304550109,-0.124860722701508,-0.122617382617383,-0.28,0,-0.109230769230769,-0.258571428571429,-0.081958041958042,-0.04,-0.1,-0.0968418688230009,-0.0693134509676566,-0.0604410796576695,-0.0904669887278583,-0.0558102766798419,-0.0558102766798419,0.0558102766798419,0.0878299811133394,0.0987320115126319,0.0586602870813397,0.04,0.18,0.183041307082104,0.116571593186407,0.081958041958042,0.104250035678607,0.109230769230769,0.295714285714286,0.241013431013431,0.121742988194601,0.1,0.118665158371041,0.148076923076923,0.177777777777778,0.144444444444444,0.270011148272018,0.102522435120058,0.276014813702675,0.178571428571429,0.193679342240493,0.233333333333333,0.213801586166671,0.274236559139785,0.26977796041367,0.164555361244103,0.390434782608696,0.3851966873706
"Csl",-0.274236559139785,-0.102522435120058,-0.156847545219638,-0.134101382488479,-0.101373156265216,-0.132198714173785,-0.148076923076923,-0.177777777777778,-0.239759427592615,-0.113940196686642,-0.104250035678607,-0.258571428571429,-0.1,-0.081958041958042,-0.295714285714286,-0.122617382617383,-0.109230769230769,-0.04,-0.0698495809052631,-0.0842433717476687,-0.0776824589680143,-0.0854946130372506,-0.0878299811133394,-0.0878299811133394,0.0878299811133394,0.0646682164074571,0.113856165011503,0.0773594740732096,0.109230769230769,0.28,0.192718726436942,0.106174039669587,0.121742988194601,0.124860722701508,0.081958041958042,0.264192546583851,0.241013431013431,0.104807504323633,0.125,0.139095265897922,0.118665158371041,0.144444444444444,0.174677002583979,0.28504382801058,0.138886071483695,0.274489759236444,0.193679342240493,0.204234897796049,0.261333333333333,0.222755074538764,0.26977796041367,0.271365262000972,0.158305361244103,0.393749699735768,0.388053830227743
"SNAI1",-0.2853705118411,-0.147252747252747,-0.182858187134503,-0.115384615384615,-0.129342928935751,-0.164529644046086,-0.136943164362519,-0.15,-0.235390775988283,-0.131592506327544,-0.13016263788541,-0.299159911569639,-0.175,-0.126616616616617,-0.272493244902972,-0.112755230478003,-0.0914814814814815,-0.11,-0.0986468963697331,-0.086985114931173,-0.0667517163543052,-0.0869634640773118,-0.0699387949316213,-0.0699387949316213,0.0699387949316213,0.084717120054774,0.122814352314352,0.0719950910185358,0.0914814814814815,0.26695652173913,0.191349098515468,0.123140045916129,0.113496885846051,0.121886775816445,0.125692007797271,0.289085173154093,0.15293809006049,0.131229975425576,0.15952380952381,0.153461682881038,0.155461682881038,0.171052631578947,0.159941520467836,0.195387757801771,0.137048665620094,0.279749486395068,0.208487796552313,0.204674758421931,0.289915966386555,0.217673418425841,0.287009856103395,0.289630823845331,0.181941371947552,0.397663083611031,0.394879934630509
"TrCP",-0.289915966386555,-0.115384615384615,-0.159941520467836,-0.138461538461538,-0.11845183982684,-0.153461682881038,-0.15952380952381,-0.175,-0.236228858455598,-0.121886775816445,-0.112755230478003,-0.26695652173913,-0.1,-0.0914814814814815,-0.299159911569639,-0.126616616616617,-0.11,-0.05,-0.0797657774886142,-0.0948798517732783,-0.071961373279337,-0.0883164776074471,-0.0890297040225304,-0.0890297040225304,0.0890297040225304,0.0699387949316213,0.132352813852814,0.0912403740374037,0.11,0.28,0.194277968808356,0.11474626353271,0.125692007797271,0.13016263788541,0.0914814814814815,0.272493244902972,0.246710332053373,0.113496885846051,0.142857142857143,0.155461682881038,0.136943164362519,0.15,0.171052631578947,0.188840138754152,0.147252747252747,0.276963703494011,0.198165215907151,0.208487796552313,0.276190476190476,0.217777476698474,0.2853705118411,0.287009856103395,0.167117842535787,0.397786084841043,0.393945355191257
"PAK1",-0.289915966386555,-0.115384615384615,-0.159941520467836,-0.138461538461538,-0.11845183982684,-0.153461682881038,-0.15952380952381,-0.175,-0.236228858455598,-0.121886775816445,-0.112755230478003,-0.26695652173913,-0.1,-0.0914814814814815,-0.299159911569639,-0.126616616616617,-0.11,-0.05,-0.0797657774886142,-0.0948798517732783,-0.071961373279337,-0.0883164776074471,-0.0890297040225304,-0.0890297040225304,0.0890297040225304,0.0699387949316213,0.132352813852814,0.0912403740374037,0.11,0.28,0.194277968808356,0.11474626353271,0.125692007797271,0.13016263788541,0.0914814814814815,0.272493244902972,0.246710332053373,0.113496885846051,0.142857142857143,0.155461682881038,0.136943164362519,0.15,0.171052631578947,0.188840138754152,0.147252747252747,0.276963703494011,0.198165215907151,0.208487796552313,0.276190476190476,0.217777476698474,0.2853705118411,0.287009856103395,0.167117842535787,0.397786084841043,0.393945355191257
"EGR1",-0.289915966386555,-0.115384615384615,-0.159941520467836,-0.138461538461538,-0.11845183982684,-0.153461682881038,-0.15952380952381,-0.175,-0.236228858455598,-0.121886775816445,-0.112755230478003,-0.26695652173913,-0.1,-0.0914814814814815,-0.299159911569639,-0.126616616616617,-0.11,-0.05,-0.0797657774886142,-0.0948798517732783,-0.071961373279337,-0.0883164776074471,-0.0890297040225304,-0.0890297040225304,0.0890297040225304,0.0699387949316213,0.132352813852814,0.0912403740374037,0.11,0.28,0.194277968808356,0.11474626353271,0.125692007797271,0.13016263788541,0.0914814814814815,0.272493244902972,0.246710332053373,0.113496885846051,0.142857142857143,0.155461682881038,0.136943164362519,0.15,0.171052631578947,0.188840138754152,0.147252747252747,0.276963703494011,0.198165215907151,0.208487796552313,0.276190476190476,0.217777476698474,0.2853705118411,0.287009856103395,0.167117842535787,0.397786084841043,0.393945355191257
"GLI",-0.433563218390805,-0.106675508399646,-0.201600168576202,-0.116675508399646,-0.0519508632750642,-0.101847707894074,-0.0886904761904762,-0.211111111111111,-0.238967645045271,-0.131591063720127,-0.121685070132125,-0.365952380952381,-0.133333333333333,-0.100322580645161,-0.382835497835498,-0.132029897718332,-0.11,-0.05,-0.0863783212560386,-0.0954075775032963,-0.0825969642242862,-0.0849510155316607,-0.170183699569817,-0.170183699569817,0.170183699569817,0.154540135213382,0.166380660463852,0.112207026012336,0.2,0.374285714285714,0.183038556941238,0.121017629112561,0.222087286527514,0.137269485716541,0.190322580645161,0.361288536509531,0.275882677148978,0.113151116314748,0.0761904761904762,0.100613139992839,0.0781641604010025,0.184795321637427,0.203162668576202,0.234485774553686,0.138104079828218,0.309015071615691,0.245397498779324,0.25134344472527,0.426666666666667,0.227883055066487,0.429160702667534,0.433160702667534,0.207187745708961,0.439755248335894,0.435986271986272
