"","ZEB2","ZEB1","NOTCH","Csl","Jagged","miR200","KLF4","TWIST1","Frizzled","GLI","SMAD","SRC","RKIP","cMet","CD44","TCFLEF","cateninnuc","Destcompl","FUS","cateninmemb","SMO","Patched","SUFU","SNAI2","SNAI1","EGR1","MEK","PAK1","TGFR","TGF","CDC42","GSK3","cfos","ERK","Ecadherin","Csn","AKT","IKK","NFB","SHH","TrCP","STAT","LIV1","ILK","RAF","PI3K","DELTA","RAS","Wnt","DSH","HEY1","SOSGRB2","AXIN2","NOTCHic","FOXC2"
"ZEB1",0.118273872113717,0.118273872113717,-0.0650299789337222,-0.0333333333333333,-0.0958177520241879,0.0650750921119387,0.144852956294768,-0.249781224815491,-0.36527293844367,-0.42483545496495,0.110067346749759,-0.377360850531582,-0.0541241092885193,-0.414615752492366,-0.438226863603478,-0.45737579977369,-0.470291651045706,-0.426633526600115,0.170833333333333,-0.444009301070993,0.189015151515152,0.208622994652406,0.133333333333333,-0.205128777573824,-0.106324365150481,0.0833333333333333,0.0626678759609571,0.0367816091954023,0.0497588769067243,0.0533021839933385,0.0411294352823588,-0.39202057834805,-0.0713333333333333,-0.0701568627450981,0.27449480223407,-0.113333333333333,-0.13219072270841,-0.130762151279839,-0.129122807017544,-0.221790254438883,-0.133333333333333,0.335897435897436,0.266666666666667,-0.110067346749759,0.0827420532900741,0.0827420532900741,0.0827420532900741,0.0816396910853497,0.401811399982132,0.323809523809524,-0.115917484933029,0.0294346978557505,0.471255374934974,0.0509803921568627,0.0422343103875605
"SMAD",0.133060603258225,0.133060603258225,0.103218390804598,0.111428571428571,0.0637085602569474,0.0635333832644068,0.139667908302783,0.00440234614006019,-0.0253968253968254,-0.039563953233018,-0.00418371582755144,-0.0453968253968254,0.0194723244093818,-0.0532399626517274,-0.0594217808335455,-0.0633566519325957,-0.066497482733001,-0.113012682744826,0.0916666666666667,-0.0549587388490486,0.0966666666666667,0.0994189602446483,0.0916666666666667,0.0342213527190902,-0.010299563787467,-0.0571428571428571,-0.0604912904050188,0.019047619047619,0.0266485317866229,0.0298357827826388,0.0260898725687458,-0.209797618143483,0.0539170506912442,0.0585682134819419,0.0439733852036306,-0.0611111111111111,-0.0557217553688142,-0.0543884220354809,-0.0563492063492064,-0.0997907074565443,-0.05,0.0342857142857143,0.02,-0.0943877127438771,-0.143838182196261,-0.143838182196261,-0.143838182196261,-0.143838182196261,0.0330891330891331,0.0142857142857143,-0.129274214459138,-0.0504954155575274,0.0576593644793664,-0.107980295566502,-0.092175230218076
"SNAI1",0.136233191246573,0.136233191246573,-0.107142857142857,-0.0853846153846154,-0.133722831208148,0.0625012000094932,0.15312509454014,-0.0854879830314613,-0.257056530214425,-0.292474553133228,-0.000120614262978267,-0.257767767767768,0.0269500748217316,-0.278559846975689,-0.293745032160874,-0.30505537698846,-0.313109068263628,-0.29951594061225,0.0358678955453149,-0.294580701164308,0.0519172782613643,0.0609172782613643,0.0261904761904762,-0.0830559201734474,-0.120531629197243,0.00434782608695652,-0.00226786644680244,0.019327731092437,0.0293376665122085,0.0321602471573697,0.0238731856378915,-0.248801653379624,-0.00265291083271923,-0.0013195774993859,0.226983443424731,0.00833333333333333,0.00231481481481481,0.000925925925925924,0.00833333333333333,-0.0704318413681604,0.00833333333333333,0.230740740740741,0.19,0.000735620413039768,0.0166830427662565,0.0166830427662565,0.0166830427662565,0.0166830427662565,0.278032139970523,0.230740740740741,0.00522317622701254,-0.00134872449509102,0.326320781798986,0.0985714285714286,-0.0637648286386518
"NOTCHic",0.137326892109501,0.137326892109501,-0.123182148920689,-0.174285714285714,-0.154962873770821,0.0618311938543152,0.161559696342305,-0.109190491418825,-0.213846153846154,-0.298694638694639,-0.000709146968139774,-0.213846153846154,0.0260245825083125,-0.265361305361305,-0.299427239427239,-0.32677417820275,-0.345858147668399,-0.314006495146682,0.0166666666666667,-0.326880719396555,0.0397435897435897,0.0573906485671192,-0.0333333333333333,-0.0874965665487886,-0.0374318274318274,0.02,0.0171428571428571,0.0111111111111111,0.0247885304659498,0.0317948998927014,0.0151111111111111,-0.257742788385422,-0.02,-0.02,0.25278386984108,0.0333333333333333,-0.00232558139534884,0,0,-0.0778207560940009,0,0.16,0.1,0.00142857142857143,0.0525691699604743,0.0525691699604743,0.0525691699604743,0.051091337448159,0.265361305361305,0.16,0.105886287625418,-0.00602870813397129,0.327812219227314,0.0968663594470046,-0.0569651086240948
"TrCP",0.147180300717667,0.147180300717667,-0.0985714285714286,-0.0653846153846154,-0.12478165473756,0.0681688272909533,0.164651574290919,-0.0710264445699228,-0.230740740740741,-0.278032139970523,-0.000735620413039768,-0.230740740740741,0.0395023760769617,-0.257767767767768,-0.278559846975689,-0.293745032160874,-0.30505537698846,-0.29030541429646,0.0261904761904762,-0.28736135746828,0.0358678955453149,0.0519172782613643,0.00952380952380952,-0.0775245758891698,-0.0102113444997346,0,0.0013195774993859,0.00952380952380952,0.0238731856378915,0.0293376665122085,0.019327731092437,-0.236986471861472,-0.00434782608695652,-0.00265291083271923,0.225682715016823,0.00833333333333333,0.000925925925925924,0.00833333333333333,0.00833333333333333,-0.0609172782613643,0.0333333333333333,0.19,0.15,0.00267110428400751,0.0157739518571656,0.0157739518571656,0.0157739518571656,0.0166830427662565,0.257056530214425,0.19,0.00581841432225064,-0.011537403740374,0.307439662917867,0.0853846153846154,-0.0806644474442426
"LIV1",0.147180300717667,0.147180300717667,-0.0985714285714286,-0.0653846153846154,-0.12478165473756,0.0681688272909533,0.164651574290919,-0.0710264445699228,-0.230740740740741,-0.278032139970523,-0.000735620413039768,-0.230740740740741,0.0395023760769617,-0.257767767767768,-0.278559846975689,-0.293745032160874,-0.30505537698846,-0.29030541429646,0.0261904761904762,-0.28736135746828,0.0358678955453149,0.0519172782613643,0.00952380952380952,-0.0775245758891698,-0.0102113444997346,0,0.0013195774993859,0.00952380952380952,0.0238731856378915,0.0293376665122085,0.019327731092437,-0.236986471861472,-0.00434782608695652,-0.00265291083271923,0.225682715016823,0.00833333333333333,0.000925925925925924,0.00833333333333333,0.00833333333333333,-0.0609172782613643,0.0333333333333333,0.19,0.15,0.00267110428400751,0.0157739518571656,0.0157739518571656,0.0157739518571656,0.0166830427662565,0.257056530214425,0.19,0.00581841432225064,-0.011537403740374,0.307439662917867,0.0853846153846154,-0.0806644474442426
"EGR1",0.147180300717667,0.147180300717667,-0.0985714285714286,-0.0653846153846154,-0.12478165473756,0.0681688272909533,0.164651574290919,-0.0710264445699228,-0.230740740740741,-0.278032139970523,-0.000735620413039768,-0.230740740740741,0.0395023760769617,-0.257767767767768,-0.278559846975689,-0.293745032160874,-0.30505537698846,-0.29030541429646,0.0261904761904762,-0.28736135746828,0.0358678955453149,0.0519172782613643,0.00952380952380952,-0.0775245758891698,-0.0102113444997346,0,0.0013195774993859,0.00952380952380952,0.0238731856378915,0.0293376665122085,0.019327731092437,-0.236986471861472,-0.00434782608695652,-0.00265291083271923,0.225682715016823,0.00833333333333333,0.000925925925925924,0.00833333333333333,0.00833333333333333,-0.0609172782613643,0.0333333333333333,0.19,0.15,0.00267110428400751,0.0157739518571656,0.0157739518571656,0.0157739518571656,0.0166830427662565,0.257056530214425,0.19,0.00581841432225064,-0.011537403740374,0.307439662917867,0.0853846153846154,-0.0806644474442426
"GLI",0.15863304318143,0.15863304318143,-0.113505115574081,-0.0782670203359859,-0.150453935780975,0.0763195318613275,0.172481338481338,-0.0382795369128136,-0.135483870967742,-0.277636561831321,-0.0427485871732991,-0.225483870967742,0.0545776963850449,-0.249874114870181,-0.267115494180526,-0.280102507167539,-0.289606392403642,-0.233165883297195,-0.111309523809524,-0.27835524496287,-0.10078320802005,-0.0926199427139276,-0.123809523809524,-0.0666471065298133,0.0339642701156085,-0.0942857142857143,-0.0807862763387625,-0.0783333333333333,-0.0682921275211451,-0.0619391863446745,-0.0714367816091954,-0.0653224951590729,0.0859523809523809,0.0846536796536796,0.221861338359233,0.05,0.0403715762620838,0.0450590762620838,0.0552631578947368,0.0823318768703063,0.0833333333333333,0.19,0.15,0.0443702087949207,-0.0270392147092531,-0.0270392147092531,-0.0270392147092531,-0.0256530760953917,0.160189753320683,0.1,0.0494512184664986,-0.0146427613684251,0.297151268115942,0.0982670203359859,-0.0993794074647403
"DELTA",0.175845410628019,0.175845410628019,-0.174285714285714,-0.1,-0.102424242424242,0.0842424242424242,0.188888888888889,-0.036,-0.1,-0.213846153846154,-0.00476190476190476,-0.1,0.0769230769230769,-0.16,-0.213846153846154,-0.265361305361305,-0.299427239427239,-0.263969111969112,0,-0.285032010243278,-0.0333333333333333,0.0166666666666667,0,-0.0595274007038713,0.0166666666666667,0.1,0.02,0,0.0111111111111111,0.0151111111111111,0,-0.193486590038314,0,-0.02,0.239859649122807,0,0,0.0333333333333333,0,-0.0397435897435897,0,0,0,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0424242424242424,0.16,0,0.1,-0.04,0.231428571428571,0.16,-0.127142857142857
"SNAI2",0.211632473253619,0.211632473253619,0.206020733652313,0.184649122807018,0.237303577034388,0.152601120936662,0.173269230769231,0.268705702191418,0.215844155844156,0.253156801773206,-0.0134096444696889,0.215844155844156,0.192576923076923,0.239787817815987,0.253766312439643,0.267168374295313,0.275087628953698,0.258640541147379,-0.16,0.260447580693672,-0.177647058823529,-0.200096038415366,-0.1,0.0796997462356596,0.216899161660388,-0.0666666666666667,-0.0612612612612613,-0.0274509803921569,-0.0443007972419737,-0.0467852692916631,-0.0417366946778711,0.249911957973487,0.0725490196078431,0.0666666666666667,-0.144252910922253,0.0666666666666667,0.091832848635923,0.0882183908045977,0.0916666666666667,0.209955193344944,0.1,-0.187272727272727,-0.16,0.0100603621730382,-0.0885236598568186,-0.0885236598568186,-0.0885236598568186,-0.08715379684312,-0.239787817815987,-0.187272727272727,-0.0122814948764316,-0.160040567951318,-0.29828792364973,-0.196929824561403,-0.282298858209785
"IKK",0.237333333333333,0.237333333333333,-0.118614718614719,-0.109090909090909,0.000148391127772572,0.129219620958751,0.235897435897436,0.13781045751634,-0.0833333333333333,-0.0879487179487179,0.100680693069307,-0.0833333333333333,0.235974499089253,-0.0833333333333333,-0.0879487179487179,-0.0964232942199044,-0.0993768807177947,0.145867750793386,0.12,-0.128494159471813,0.08,0.113333333333333,0.1,0.0083316918852777,0.189051456036189,0.1,0.141079365079365,0.05,0.0631313131313131,0.0623313131313131,0.0722222222222222,0.20459706959707,-0.142857142857143,-0.138857142857143,0.137314077876651,-0.1,-0.233848133848134,-0.20952380952381,-0.142857142857143,-0.109885057471264,0,0.05,0.1,-0.09375,0.17211131276467,0.17211131276467,0.17211131276467,0.17211131276467,0.0833333333333333,0.05,-0.0871001031991744,-0.0525210084033613,0.104047619047619,0.123376623376623,-0.342077922077922
"NFB",0.237716475095785,0.237716475095785,-0.117969557324396,-0.123376623376623,-0.00272930671395405,0.128917506155126,0.237820512820513,0.131778711484594,-0.0833333333333333,-0.0958138864880438,0.0988219570098274,-0.0833333333333333,0.234692447807202,-0.0879487179487179,-0.0964232942199044,-0.0993768807177947,-0.104004331698187,0.143376056441226,0.08,-0.133879587138128,0.113333333333333,0.109885057471264,0.12,0.00690892765763543,0.189873373844408,0.142857142857143,0.143040149393091,0.0722222222222222,0.0623313131313131,0.0629642245237182,0.0631313131313131,0.199891187244128,-0.138857142857143,-0.141079365079365,0.13795613245129,-0.142857142857143,-0.224959244959245,-0.233848133848134,-0.20952380952381,-0.115909153856807,-0.1,0.0833333333333333,0.05,-0.100680693069307,0.17211131276467,0.17211131276467,0.17211131276467,0.175096387391536,0.0879487179487179,0.0833333333333333,-0.0924572460563173,-0.0556789031402034,0.111139817629179,0.118614718614719,-0.340882702954416
"Csn",0.268875103391232,0.268875103391232,-0.123229548229548,-0.116161616161616,-0.00700980265451028,0.140520589310011,0.265992961287079,0.204034595605423,0.0632183908045977,0.0475715238608401,-0.0046980365858202,0.0632183908045977,0.287885814773956,0.0523750173106218,0.0474861284217329,0.0416983470712506,0.0374289544073901,0.357805047831145,-0.00952380952380952,-0.109163875982693,-0.0125541125541126,-0.0114788437369083,-0.0428571428571429,0.0329996193449773,0.254824517400169,0.12,0.132215909090909,-0.1,-0.107883658629927,-0.108122322114414,-0.11044776119403,0.35921935372944,-0.12,-0.129090909090909,0.193408938870724,-0.095,-0.118233333333333,-0.115833333333333,-0.12,0.00656081095002301,-0.02,-0.0666666666666667,-0.0666666666666667,0.00289855072463768,0.219507760636282,0.219507760636282,0.219507760636282,0.218931944897318,-0.0523750173106218,-0.0666666666666667,0.0130952380952381,-0.224540528075637,-0.0840162692791942,0.117460317460317,-0.366743711461905
"Patched",0.3,0.3,0.227272727272727,0.2,0.152804232804233,0.171428571428571,0.261111111111111,0.258333333333333,0.3,0.3625,-0.07,0.2,0.248571428571429,0.25,0.27,0.297777777777778,0.304573894282632,0.352047952047952,-0.1,0.177921146953405,-0.133333333333333,-0.293333333333333,0,0.104367816091954,0.279032258064516,0.1,0.0123076923076923,-0.166666666666667,-0.246666666666667,-0.271666666666667,-0.266666666666667,0.333699633699634,0,-0.02,0.00820658036677454,0,0.142857142857143,0.1,0.1,0.293333333333333,0,-0.1,-0.1,0.05,-0.0423076923076923,-0.0423076923076923,-0.0423076923076923,-0.0360576923076923,-0.35,-0.2,0.0435897435897436,-0.233333333333333,-0.407792207792208,-0.2,-0.39
"Frizzled",0.321116430150906,0.321116430150906,-0.0917366946778711,-0.114285714285714,0.0520254010695187,0.173421717171717,0.303361344537815,0.271218487394958,0.125,0.144360902255639,-0.00443214685770652,0.125,0.336190476190476,0.140789473684211,0.144360902255639,0.150321167156301,0.151749738584873,0.44524426211252,-0.05,-0.015697471078827,-0.0227272727272727,-0.037012987012987,0,0.0825492222343087,0.320169082125604,0.133333333333333,0.170326797385621,-0.1,-0.119710144927536,-0.120662525879917,-0.106666666666667,0.426180773249739,-0.153333333333333,-0.15921568627451,0.17500774861121,-0.133333333333333,-0.132083333333333,-0.138333333333333,-0.113333333333333,0.0402387934645999,-0.1,-0.1,-0.1,0.00536672629695886,0.213568010936432,0.213568010936432,0.213568010936432,0.219079821960054,-0.140789473684211,-0.2,0.0188979814511729,-0.257575757575758,-0.189908386187456,0.0976190476190476,-0.430322945108747
"SMO",0.325423728813559,0.325423728813559,0.237272727272727,0.2,0.163518518518519,0.182820976491863,0.286111111111111,0.287745098039216,0.35,0.390277777777778,-0.0652380952380952,0.25,0.276349206349206,0.27,0.297777777777778,0.304573894282632,0.315100210072106,0.363675859024696,-0.133333333333333,0.185688137244667,-0.293333333333333,-0.293333333333333,-0.1,0.109129720853859,0.288556067588326,0,0.0213986013986014,-0.266666666666667,-0.271666666666667,-0.274369369369369,-0.246666666666667,0.354087983214197,-0.02,-0.0123076923076923,0.0115276135771066,0.1,0.130857142857143,0.142857142857143,0.1,0.31,0,-0.2,-0.1,0.07,-0.0360576923076923,-0.0360576923076923,-0.0360576923076923,-0.0337321109123435,-0.3625,-0.3,0.0578754578754579,-0.23859649122807,-0.438826690550829,-0.227272727272727,-0.421034482758621
"GSK3",0.334086911366757,0.334086911366757,-0.0902581731993497,-0.0917366946778711,0.0560473554632266,0.179448509268478,0.325558039120191,0.281905822235724,0.144360902255639,0.151186651423231,-0.00556931412313041,0.144360902255639,0.351943144574724,0.150321167156301,0.151749738584873,0.15272925773002,0.153058205098441,0.451018860199686,-0.037012987012987,-0.0168756398090854,-0.0402387934645999,-0.0408522903971153,-0.0227272727272727,0.0838735745471793,0.32794990931998,0.15921568627451,0.178999046189449,-0.119710144927536,-0.123101550270161,-0.123101550270161,-0.120662525879917,0.335571541150106,-0.170326797385621,-0.175589955280358,0.178618585168126,-0.138333333333333,-0.138950412614206,-0.135531609195402,-0.132083333333333,0.044201572693766,-0.113333333333333,-0.140789473684211,-0.125,0.00631893931053671,0.218799709915236,0.218799709915236,0.218799709915236,0.220480382184144,-0.150243255196816,-0.140789473684211,0.0192440022124186,-0.273956926038605,-0.200582143003054,0.0910373939785704,-0.446499750759237
"FUS",0.33585317666632,0.33585317666632,0.241818181818182,0.227272727272727,0.169542614904061,0.186781372531467,0.307422586520947,0.295598501180577,0.3625,0.396047008547009,-0.0697542242703533,0.27,0.283565701194567,0.297777777777778,0.304573894282632,0.315100210072106,0.319991514419932,0.372580968513747,-0.293333333333333,0.189226312291222,-0.293333333333333,-0.31,-0.133333333333333,0.116131516185995,0.304593803437382,0.02,0.0340422795595209,-0.246666666666667,-0.274369369369369,-0.273305539582135,-0.271666666666667,0.364455876190785,-0.0123076923076923,-0.0213986013986014,0.0126235039880656,0.1,0.134703296703297,0.130857142857143,0.142857142857143,0.317070707070707,0.1,-0.25,-0.2,0.0652380952380952,-0.0337321109123435,-0.0337321109123435,-0.0337321109123435,-0.0271818925717321,-0.390277777777778,-0.35,0.0535276317885014,-0.253981106612686,-0.454354640861388,-0.237272727272727,-0.4394555353902
"cateninnuc",0.345221561844349,0.345221561844349,0.356362607815111,0.333772755806654,0.406013963393715,0.206278210873555,0.268078748060954,0.469835755486235,0.422588370533576,0.463299832984169,-0.0294432888621156,0.424300699300699,0.35308433997764,0.450387655822439,0.465467020901804,0.476744093343925,0.384946247445001,0.458331633679024,-0.273333333333333,0.345908150408584,-0.291366120218579,-0.304409598479449,-0.233333333333333,0.185335557943278,0.39139574817074,-0.0456521739130435,-0.0244857256823751,-0.122285714285714,-0.132444865479348,-0.133973249758824,-0.123824175824176,0.443096964063624,0.0313664596273292,0.0313664596273292,-0.0649264439030425,0.0333333333333333,0.0355823863636364,0.0363636363636364,0.0363636363636364,0.31552070959056,0.0333333333333333,-0.399300699300699,-0.345454545454545,0.0303982683982684,-0.0269448569448569,-0.0269448569448569,-0.0269448569448569,-0.0257664057664058,-0.448675327055315,-0.399300699300699,-0.00547428173081711,-0.247739002054279,-0.611468515401154,-0.347726244178747,-0.51118827620467
"SUFU",0.345998104202552,0.345998104202552,0.244992784992785,0.237272727272727,0.1745307384195,0.193101075133697,0.316404622449091,0.309000563036247,0.390277777777778,0.406084183268198,-0.0695232773881362,0.297777777777778,0.298667742010894,0.304573894282632,0.315100210072106,0.319991514419932,0.323623227974919,0.378056779252716,-0.293333333333333,0.191136271363528,-0.31,-0.317070707070707,-0.293333333333333,0.116724792389028,0.308852747219324,0.0123076923076923,0.0344678114744146,-0.271666666666667,-0.273305539582135,-0.278236506051563,-0.274369369369369,0.372425027861737,-0.0213986013986014,-0.0340422795595209,0.0121085709293632,0.142857142857143,0.13134759200531,0.134703296703297,0.130857142857143,0.322090012090012,0.1,-0.27,-0.25,0.0697542242703533,-0.0271818925717321,-0.0271818925717321,-0.0271818925717321,-0.0274983482679347,-0.396047008547009,-0.3625,0.0559372703427182,-0.264470617102196,-0.466766818847336,-0.241818181818182,-0.451614344323202
"ILK",0.346096856387036,0.346096856387036,-0.106389578163772,-0.125,0.0478947368421053,0.187747546354104,0.330482456140351,0.28768172510154,0.111111111111111,0.131311780007432,0.00434349739895959,0.111111111111111,0.352537168713639,0.132850241545894,0.131311780007432,0.136396525770144,0.137015082471175,0.447716367021221,-0.05,-0.0314062574692863,-0.0166666666666667,-0.0243589743589744,0,0.0732308582871805,0.346352657004831,0.133333333333333,0.196826927492308,-0.125,-0.135117647058824,-0.13267862266858,-0.119117647058824,0.430218855218855,-0.176190476190476,-0.182072829131653,0.186046945135707,-0.0333333333333333,-0.0653092006033183,-0.0627450980392157,-0.0333333333333333,0.0326923076923077,0,-0.1,-0.1,0.00125650260104041,0.256709956709957,0.256709956709957,0.256709956709957,0.26355927177845,-0.132850241545894,-0.1,0.0138297514546127,-0.238076923076923,-0.176,0.109615384615385,-0.451591173054588
"AKT",0.353631102962379,0.353631102962379,-0.107609090358894,-0.109615384615385,0.0531927500871384,0.192025621220414,0.343302968960864,0.295326985040378,0.132850241545894,0.136339712968326,0.00198659504205723,0.132850241545894,0.363096174924819,0.131311780007432,0.136396525770144,0.137015082471175,0.136707390163483,0.450611321529079,-0.0166666666666667,-0.0341585510472679,-0.0243589743589744,-0.0326923076923077,-0.05,0.0717233205987382,0.350613308633904,0.176190476190476,0.200624395846739,-0.119117647058824,-0.13267862266858,-0.136001885508459,-0.135117647058824,0.435864016509178,-0.182072829131653,-0.196826927492308,0.186804520893283,-0.0333333333333333,-0.164299099593217,-0.0653092006033183,-0.0627450980392157,0.0284817813765182,-0.0333333333333333,-0.111111111111111,-0.1,-0.00434349739895959,0.26355927177845,0.26355927177845,0.26355927177845,0.261872524790498,-0.131311780007432,-0.111111111111111,0.0100703529583721,-0.253632478632479,-0.181415162454874,0.106389578163772,-0.459109970047069
"cateninmemb",0.36768533055527,0.36768533055527,0.393593420076183,0.355215311004785,0.531726194319109,0.237576505844662,0.288279418659166,0.593351638855418,0.522845417236662,0.589052313788386,-0.024593465978875,0.522845417236662,0.37158943250436,0.560236721584488,0.590671504193184,0.611468515401154,0.626314453776504,0.494280402865925,-0.35,0.509979429641798,-0.39375,-0.420631720430107,-0.3,0.292252753413057,0.418897310572007,-0.0709090909090909,-0.0493728062921513,-0.0790909090909091,-0.0964567627494457,-0.103870867631905,-0.0910909090909091,0.473225677689315,0.0650267379679144,0.0536865317823474,-0.283677423672023,0.12,0.12976430976431,0.128465608465608,0.124761904761905,0.43874195665058,0.1,-0.464705882352941,-0.4,0.0228985507246377,-0.124555052790347,-0.124555052790347,-0.124555052790347,-0.124555052790347,-0.559052313788386,-0.464705882352941,-0.0158713296178752,-0.275456651921399,-0.63047529607308,-0.376864795540867,-0.528710206300359
"Destcompl",0.453577705827937,0.453577705827937,0.118342258351407,0.0939913826870349,0.397158880596508,0.274686704559817,0.415595495029493,0.517067845614209,0.470243531202435,0.514847583444394,-0.0144653299916458,0.470243531202435,0.528719800796341,0.495616665530794,0.515765919262137,0.528779617892274,0.537754630640871,0.602825171564734,-0.206130268199234,0.383014469979771,-0.228987411056377,-0.244013317792128,-0.188888888888889,0.265114051860715,0.544358397671088,0.196410256410256,0.227428888466448,-0.167142857142857,-0.184130152968628,-0.189745916515426,-0.178866995073892,0.641224909327068,-0.208531468531469,-0.221099774542397,-0.0195369116450145,-0.133333333333333,-0.144272168287342,-0.142929886408147,-0.142028985507246,0.253877921273753,-0.133333333333333,-0.427777777777778,-0.377777777777778,0.0134126984126984,0.177446087753287,0.177446087753287,0.177446087753287,0.178231017109645,-0.49499600644996,-0.427777777777778,0.00887095810172733,-0.279265235425498,-0.559281847238708,-0.108121817469644,-0.559982682694529
"AXIN2",0.473308990330635,0.473308990330635,0.0969117049380207,0.0610526315789474,0.422095395791048,0.301336965424498,0.427964006005867,0.534522154278746,0.449457364341085,0.533419628492029,-0.0115021854152289,0.449457364341085,0.543722773642129,0.499457364341085,0.533842222385249,0.559281847238708,0.576878042655915,0.741680507412527,-0.203846153846154,0.418101841732097,-0.232417582417582,-0.257417582417582,-0.15,0.311266300760726,0.573891523651167,0.206666666666667,0.27317256575724,-0.172083333333333,-0.201407052332569,-0.209657877415077,-0.188132716049383,0.673364939662423,-0.238373983739837,-0.258000151964137,-0.0332206029428302,-0.166666666666667,-0.194299516908213,-0.189855072463768,-0.179710144927536,0.276106107007746,-0.133333333333333,-0.386666666666667,-0.3,0.0115021854152289,0.227390526958001,0.227390526958001,0.227390526958001,0.230802600448815,-0.499457364341085,-0.386666666666667,0.00887665410991983,-0.28613399067817,-0.0851111026029782,-0.0806954887218045,-0.569115786633351
