"","SNAI2","RAF","SOSGRB2","SRC","STAT","CD44","AKT","Destcompl","IKK","NFB","Csn","SMO","FUS","TWIST1","PAK1","CDC42","cfos","ERK","MEK","EGR1","FOXC2","TGFR","TGF","HEY1","TrCP","SMAD","ILK","AXIN2","SUFU","Patched","SHH","LIV1","Ecadherin","GLI","DSH","Wnt","Jagged","RKIP","TCFLEF","Frizzled","cateninnuc","cMet","cateninmemb","Csl","RAS","NOTCHic","SNAI1","PI3K","DELTA","NOTCH","GSK3","ZEB2","ZEB1","miR200","KLF4"
"KLF4",-0.147530359139831,-0.165384615384615,-0.161878216123499,-0.0588235294117647,-0.1,-0.0666293939213704,-0.207830687830688,-0.153650278822356,-0.215238095238095,-0.22,-0.2,-0.15,-0.166666666666667,0.0523355119825708,-0.190909090909091,-0.146909090909091,0.129090909090909,0.123208556149733,-0.111868349964166,-0.12,0.133826264255786,0.121575757575758,0.113283074648928,0.0301145912910619,0.1,0.0594202898550725,0.0666666666666667,0.0484521596834182,0.2,0.14375,0.140524193548387,0.166666666666667,-0.0980094494722063,0.0656398886739941,0.1,0.0518467852257182,0.0920121757303167,0.183694083694084,0.0850240427508018,0.0588235294117647,0.0938658858392202,0.0518467852257182,0.0985684369830711,0.192727272727273,0.165384615384615,0.171674641148325,0.15761671289511,0.165384615384615,0.165384615384615,0.164458146302965,0.159029245029111,0.24703302373581,0.24703302373581,0.261200651200651,0.251851851851852
"HEY1",-0.147530359139831,-0.165384615384615,-0.161878216123499,-0.0588235294117647,-0.1,-0.0666293939213704,-0.207830687830688,-0.153650278822356,-0.215238095238095,-0.22,-0.2,-0.15,-0.166666666666667,0.0523355119825708,-0.190909090909091,-0.146909090909091,0.129090909090909,0.123208556149733,-0.111868349964166,-0.12,0.133826264255786,0.121575757575758,0.113283074648928,0.0301145912910619,0.1,0.0594202898550725,0.0666666666666667,0.0484521596834182,0.2,0.14375,0.140524193548387,0.166666666666667,-0.0980094494722063,0.0656398886739941,0.1,0.0518467852257182,0.0920121757303167,0.183694083694084,0.0850240427508018,0.0588235294117647,0.0938658858392202,0.0518467852257182,0.0985684369830711,0.192727272727273,0.165384615384615,0.171674641148325,0.15761671289511,0.165384615384615,0.165384615384615,0.164458146302965,0.159029245029111,0.24703302373581,0.24703302373581,0.261200651200651,0.251851851851852
"cateninnuc",-0.150979868450215,-0.183496188496188,-0.138248566879121,0.0364801864801865,0.0531468531468531,0.00521724652159435,-0.212679924242424,-0.157705013982935,-0.214242424242424,-0.224242424242424,-0.233333333333333,-0.0739708561020036,-0.0788888888888889,-0.0459971004230437,-0.114857142857143,-0.104087912087912,0.109178743961353,0.101583807252492,-0.102501238445152,-0.120289855072464,0.130674232870954,0.109835038524694,0.121625431537794,0.0229213868827345,0.233333333333333,0.0502173124737927,0.0530822510822511,-0.0185916264831716,0.0888888888888889,0.0783186821889602,0.0833295754351475,-0.0454545454545455,-0.139161201576012,-0.00685306355348047,-0.0531468531468531,-0.0163392295613856,0.0127052128302763,0.188543397875904,-0.00588938991218434,-0.0380783599961682,-0.110998475800061,-0.0147410560454039,-0.0221747140181591,0.173006905210295,0.191071946071946,0.174169695907969,0.180506051640628,0.183496188496188,0.183496188496188,0.182351514089788,0.173365267090314,0.251458398143145,0.251458398143145,0.26263679923252,0.247156826961097
"TGFR",-0.02956083273523,-0.197619047619048,-0.139554905782976,-0.0633333333333333,-0.0333333333333333,-0.0637305527970871,-0.264698082415341,0.0314089547631995,-0.253070175438597,-0.258333333333333,-0.258333333333333,-0.140114942528736,-0.136666666666667,-0.0553202846975089,-0.26,-0.245714285714286,0.143358395989975,0.150025062656642,-0.159614103752532,-0.138095238095238,0.161340421492311,0.161785714285714,0.169587132725431,0.107965972843712,0.233333333333333,0.137419076542025,0.13919843597263,0.0350468545389862,0.153333333333333,0.155739942528736,0.155174970777323,0,0.0511666628111372,0.0441396400313016,0.0142857142857143,0.0499460916442048,0.164773430663166,0.167099567099567,0.0603812705004363,0.0442857142857143,0.0592298090301086,0.0689937106918239,0.0597492812714597,0.263333333333333,0.19937343358396,0.270229885057471,0.112203500441634,0.197619047619048,0.197619047619048,0.279582403043083,0.180527718785318,0.254076850714302,0.254076850714302,0.266065582236327,0.241364280265882
"PI3K",-0.17488352263838,-0.0226147186147186,-0.0776923076923077,-0.111111111111111,-0.1,-0.110843552582683,-0.175113122171946,0.114882913411356,-0.172549019607843,-0.166666666666667,-0.166666666666667,-0.0333333333333333,-0.05,-0.0128545407233932,0.075,0.0455882352941176,0.019047619047619,0.0131652661064426,-0.0148046103687377,-0.0333333333333333,-0.0556980255516841,-0.0495882352941176,-0.0455231946437111,0.00583863047792016,0.2,0.0159734293717487,0.0135734293717487,0.0784761904761905,0,0.0333333333333333,0.0388888888888889,0.1,-0.0506997348652232,0.110843552582683,0.1,0.115458937198068,0.0480701754385965,0.0463477698771816,0.104628863317146,0.111111111111111,0.102773193214054,0.115458937198068,0.0332632129726045,0.1,0.02124485560102,0.107692307692308,0.0459219001610306,0.0226147186147186,0.0226147186147186,0.110918114143921,-0.010978835978836,0.283330898940228,0.283330898940228,0.286583155435614,0.272149122807018
"ILK",-0.17488352263838,-0.0226147186147186,-0.0776923076923077,-0.111111111111111,-0.1,-0.110843552582683,-0.175113122171946,0.114882913411356,-0.172549019607843,-0.166666666666667,-0.166666666666667,-0.0333333333333333,-0.05,-0.0128545407233932,0.075,0.0455882352941176,0.019047619047619,0.0131652661064426,-0.0148046103687377,-0.0333333333333333,-0.0556980255516841,-0.0495882352941176,-0.0455231946437111,0.00583863047792016,0.2,0.0159734293717487,0.0135734293717487,0.0784761904761905,0,0.0333333333333333,0.0388888888888889,0.1,-0.0506997348652232,0.110843552582683,0.1,0.115458937198068,0.0480701754385965,0.0463477698771816,0.104628863317146,0.111111111111111,0.102773193214054,0.115458937198068,0.0332632129726045,0.1,0.02124485560102,0.107692307692308,0.0459219001610306,0.0226147186147186,0.0226147186147186,0.110918114143921,-0.010978835978836,0.283330898940228,0.283330898940228,0.286583155435614,0.272149122807018
"SNAI2",0.169431260855065,-0.229396407509421,-0.22816091954023,-0.157012987012987,-0.192727272727273,-0.140853665492466,-0.259140008309098,-0.199556246186465,-0.260344827586207,-0.25,-0.2,-0.214117647058824,-0.22,0.093935102103771,-0.229411764705882,-0.215126050420168,0.150980392156863,0.152941176470588,-0.146184419713831,-0.133333333333333,0.195248196533667,0.193758529052647,0.180715050791777,0.0347498493068113,0.1,0.0750904148976795,0.0765258215962441,0.100854970549345,0.2,0.207995198079232,0.203769845966556,0.22,0.118880287885766,0.140307405932924,0.192727272727273,0.138703127858057,0.166956277474155,0.233346153846154,0.153018613946074,0.157012987012987,0.163111781647938,0.138703127858057,0.187219248533483,0.255263157894737,0.224830197463758,0.242982456140351,0.212219072270841,0.229396407509421,0.229396407509421,0.233891547049442,0.208322808881591,0.289393538913363,0.289393538913363,0.303431683902429,0.286538461538462
"GSK3",-0.153586121595425,-0.0491878143715008,-0.0889351827979168,-0.105263157894737,-0.105263157894737,-0.10099951866421,-0.105179045092838,0.132144884493214,-0.102614942528736,-0.0991666666666667,-0.0991666666666667,-0.042598799050412,-0.0361471861471861,-0.0141231536066629,0.0420289855072464,0.0410766045548654,0.0274509803921569,0.0312103788883975,-0.029505833433852,-0.0274509803921569,-0.0501509017298491,-0.0386375801646215,-0.0401760417030831,0.0131106309655347,0.0866666666666667,0.0244426884968738,0.0242927634593925,0.0738000781177476,0.0409090909090909,0.0456662837129886,0.043273939215381,0.1,-0.0490742570078547,0.100580089698905,0.105263157894737,0.101995184038528,0.0491674148093212,0.043082969661917,0.102513320979437,0.105263157894737,0.103829110453121,0.101951899616591,0.0292616098231344,0.124579831932773,0.0479273101698201,0.126677734030675,0.0255356540998604,0.0491878143715008,0.0491878143715008,0.126937474290415,-0.12621958960569,0.297033939231204,0.297033939231204,0.305131161697754,0.293817294204423
"ERK",0.160213024757428,0.0196786546786547,-0.0893968253968254,-0.134750337381916,-0.13859649122807,-0.125020626888847,-0.100386491544074,0.0983115413534986,-0.0994690603514133,-0.0912337662337662,-0.0821428571428571,-0.104306010928962,-0.102666666666667,-0.0925022112857635,-0.00190476190476191,0.0008989764129951,0.0803961848862803,-0.0162704817803864,0.0198916516968209,-0.0910344827586207,-0.0147233971371902,-0.00016904940569583,-0.000993225229871654,0.0746869054435857,0.0571428571428571,0.0878197864220533,0.0890355918931779,0.0956654091572276,0.106666666666667,0.104959605700204,0.108341248212281,0.133333333333333,0.110757342325283,0.120331422963002,0.133333333333333,0.124592074592075,0.120894862416469,0.0755013865977413,0.124834753282899,0.129487179487179,0.127265308838455,0.129855232486811,0.14752329396726,0.123853923853924,-0.0215488416973566,0.12750355889042,0.100063993138209,-0.0196786546786547,-0.0196786546786547,0.126118517339174,0.018024924138322,0.318329510461121,0.318329510461121,0.332510499239701,0.31515687386696
"RAS",0.0435868135175833,-0.101282051282051,-0.0142857142857143,-0.15,-0.1,-0.158010012515645,-0.163333333333333,0.131448155866761,-0.146666666666667,-0.166666666666667,-0.2,-0.1,-0.1,-0.135613747954173,-0.06,-0.06,-0.01,-0.00473684210526316,-0.0129102167182663,0.06,0.0693650793650794,0.0776470588235294,0.0845777518928363,-0.0270750988142292,0.2,0.0854669140383426,0.0813852813852814,0.121449275362319,0.1,0.112,0.103525423728814,0,0.0148218268422872,0.155882352941176,0.1,0.155882352941176,0.139645180366647,0.233754716981132,0.158010012515645,0.15,0.156027009682783,0.155882352941176,0.060882781656989,0.2,0.00512820512820513,0.194736842105263,0.179567354965585,0.101282051282051,0.101282051282051,0.207944389275074,0.0423255813953488,0.348516200294551,0.348516200294551,0.361476923076923,0.328928571428571
"STAT",-0.0167135928773981,0.131746277915633,0.0811986863711002,0.135714285714286,0.185714285714286,0.0979131979131979,0.0458111380145279,0.155384208872988,0.0542857142857143,0.04,0,0.0433333333333333,0.05,-0.159579950284598,0.0954545454545455,0.114204545454545,-0.02,-0.02,0.0167741935483871,0,-0.0489815950920245,-0.0826255980861244,-0.0608864676513418,-0.004,0,-0.0155477816647232,-0.0109500805152979,-0.0793625981861276,0,-0.0270542635658915,-0.01908966179598,-0.3,-0.0747928691490747,-0.0980137509549274,-0.185714285714286,-0.103896103896104,-0.00830717972017382,0.00140444015444016,-0.10516871841793,-0.135714285714286,-0.115299826880385,-0.103896103896104,-0.11227285578643,-0.0843137254901961,-0.122044785378319,-0.0708002119766826,0.0404337897661229,-0.131746277915633,-0.131746277915633,-0.052353610034935,-0.160874499332443,0.349910346064192,0.349910346064192,0.369179235340394,0.242523271935037
"miR200",-0.179139655962138,-0.199533103712208,-0.0954674403610574,-0.215652173913043,-0.22,-0.199051445949758,-0.0557355653284154,-0.219622352082326,-0.0500751879699248,-0.0357894736842105,-0.02,-0.0391666666666667,-0.0325,0.103406266535101,-0.0708333333333333,-0.0845588235294118,0.0242857142857143,0.0333766233766234,-0.035417439703154,-0.0142857142857143,0.0584799482360458,0.0845588235294118,0.0799076607387141,0.00502824858757062,0,0.0127197105836105,0.00989839396919043,0.128341047922947,0.02,0.0404324894514768,0.0404324894514768,0.2,0.200974425361503,0.199547438477016,0.22,0.206140845070423,0.0536228722128986,0.0610072281435828,0.199051445949758,0.216,0.202687809586122,0.205793018983466,0.22285628628318,0.0800985221674877,0.196291208450363,0.0869950738916256,0.0634459984459984,0.199533103712208,0.199533103712208,0.0864301021402132,0.153033603427369,0.35872311827957,0.35872311827957,0.29336170150219,0.352708764665286
"NOTCH",-0.113039574804281,0.0642424242424242,-0.0136842105263158,0.12,0.1,0.0482051282051282,0.0222222222222222,0.0934487063832858,0,-0.0333333333333333,0,0.0166666666666667,-0.0333333333333333,-0.0975762711864407,0,0.0333333333333333,0.02,-0.0133333333333333,0.0133333333333333,0,-0.0459183673469388,-0.0773333333333333,-0.054752688172043,-0.0956521739130435,0,0.00142857142857143,0.00476190476190476,-0.0525067385444744,0,-0.0243589743589744,-0.00671191553544495,0,0.0317628749292586,-0.0482051282051282,-0.1,-0.0815384615384615,-0.00124098124098124,0.0358090185676393,-0.0361172161172161,-0.12,-0.0373417059131345,-0.0815384615384615,-0.0301270641459418,0.08,-0.0425032938076416,0.0514285714285714,0.0669230769230769,-0.0642424242424242,-0.0642424242424242,-0.0453456221198157,-0.0979101358411703,0.388808373590982,0.388808373590982,0.404502164502164,0.392512077294686
"NOTCHic",-0.112839174002677,0.0425032938076416,-0.0045933014354067,0.0815384615384615,0.12,0.0361172161172161,0.0152454780361757,0.0907820397166192,0.0222222222222222,0,-0.0333333333333333,0.0243589743589744,0.0166666666666667,-0.0982052020040507,0.0333333333333333,0.0773333333333333,-0.0133333333333333,-0.0133333333333333,0.0133333333333333,-0.02,-0.0249506254114549,-0.054752688172043,-0.0311858091911513,-0.097190635451505,0,-0.00792394655704008,0.00142857142857143,-0.0497289607666966,0.0333333333333333,-0.00671191553544495,0.00296550381939376,-0.1,0.021808816736303,-0.0363771712158809,-0.12,-0.0482051282051282,0.00471928365968101,0.0484850749056674,-0.0373417059131345,-0.0815384615384615,-0.0445172784322185,-0.0482051282051282,-0.0368207761134874,0.0514285714285714,-0.0311732445465579,-0.0453456221198157,0.0801505901505902,-0.0425032938076416,-0.0425032938076416,-0.0269245694882367,-0.0879927804692695,0.389549114331723,0.389549114331723,0.408548407276731,0.385369220151829
"Jagged",-0.105103066867773,0.0733333333333333,-0.04,0.1,0,0.0815384615384615,0,0.106532818532819,-0.0333333333333333,0,0,-0.0333333333333333,0,-0.123,0,0,0,0.02,0.0133333333333333,0.1,-0.0642857142857143,-0.0333333333333333,-0.0773333333333333,-0.1,0,0.00476190476190476,0,-0.0657142857142857,0,-0.0166666666666667,-0.0243589743589744,0,0.043859649122807,-0.0815384615384615,0,-0.12,-0.0234632034632035,0.0461538461538462,-0.0482051282051282,-0.1,-0.0361172161172161,-0.12,-0.0358862264496067,0.1,-0.0642424242424242,0.08,0.05,-0.0733333333333333,-0.0733333333333333,0.0514285714285714,-0.116091954022989,0.392512077294686,0.392512077294686,0.418787878787879,0.405555555555556
"DELTA",-0.105103066867773,0.0733333333333333,-0.04,0.1,0,0.0815384615384615,0,0.106532818532819,-0.0333333333333333,0,0,-0.0333333333333333,0,-0.123,0,0,0,0.02,0.0133333333333333,0.1,-0.0642857142857143,-0.0333333333333333,-0.0773333333333333,-0.1,0,0.00476190476190476,0,-0.0657142857142857,0,-0.0166666666666667,-0.0243589743589744,0,0.043859649122807,-0.0815384615384615,0,-0.12,-0.0234632034632035,0.0461538461538462,-0.0482051282051282,-0.1,-0.0361172161172161,-0.12,-0.0358862264496067,0.1,-0.0642424242424242,0.08,0.05,-0.0733333333333333,-0.0733333333333333,0.0514285714285714,-0.116091954022989,0.392512077294686,0.392512077294686,0.418787878787879,0.405555555555556
"TCFLEF",0.254395137091371,-0.137184956488206,-0.0998206663595885,-0.0141666666666667,0.0208333333333333,-0.0377757619738752,-0.153425802808692,-0.0559646030409425,-0.146904063678257,-0.15012987012987,-0.17012987012987,-0.13952380952381,-0.13,-0.0962869848398377,-0.158974358974359,-0.15664877757901,0.153519163763066,0.156376306620209,-0.157736850837896,-0.165714285714286,0.197480697769465,0.177209525242562,0.187805551732628,0.0296984806673645,0.142857142857143,0.0890355330936995,0.0903739652160705,-0.00842686202686202,0.15,0.149201228878648,0.150428222743679,-0.0333333333333333,-0.0105203303536216,0.03046668165594,-0.0274509803921569,0.0254977375565611,0.139796335792937,0.217563943610231,-0.0646297363079118,0.00754901960784314,-0.0702139287477743,0.0321153846153846,-0.0856320604062431,0.209676390881556,0.142572604320006,0.221441096763909,0.226694741799344,0.137184956488206,0.137184956488206,0.23240455191341,0.10454663931198,0.396762404749247,0.396762404749247,0.410952120168988,0.385009230965113
"Csl",-0.109334326873669,0.0311732445465579,-0.0249185046874392,0.0482051282051282,0.0815384615384615,0.0373417059131345,0.00516795865633075,0.0938899007769482,0.0152454780361757,0.0222222222222222,0,0.00671191553544495,0.0243589743589744,-0.103848542861839,0.0773333333333333,0.054752688172043,-0.0133333333333333,-0.0133333333333333,0.0122463768115942,0.0133333333333333,-0.018054073687317,-0.0311858091911513,-0.0232493012546434,-0.103072988392681,0.0333333333333333,-0.00403505766815119,-0.00792394655704008,-0.0515284466278791,-0.0166666666666667,0.00296550381939376,0.00210343485387652,-0.12,0.0206460260386286,-0.0379900744416873,-0.0815384615384615,-0.0363771712158809,0.000552616993014343,0.0600058122328564,-0.0445172784322185,-0.0482051282051282,-0.05097811319494,-0.0361172161172161,-0.0453834672449859,-0.0453456221198157,-0.0289673621936167,-0.0269245694882367,0.0848936731545427,-0.0311732445465579,-0.0311732445465579,-0.0160154785791458,-0.0851945477741296,0.398388893337248,0.398388893337248,0.414430760217907,0.385369220151829
"cfos",-0.17011501880115,-0.0148692810457516,-0.0319444444444444,0.06,0.1,0.0286686686686687,-0.00635964912280701,0.0666374269005848,0.00416666666666667,-0.00833333333333333,-0.0333333333333333,0.00952380952380952,0.00952380952380952,-0.0876796536796537,0.0142857142857143,0.0476190476190476,0,0.00434782608695652,-0.00604274134119381,-0.12,-0.00113001298080208,-0.0221288515406162,-0.00243188184364655,0.00434782608695652,0,-0.00168970814132104,0.00476190476190476,-0.0504761904761905,0.0333333333333333,0.00660522273425499,0.015247198042897,-0.1,0.00309992922597618,-0.0288109161793372,-0.1,-0.0340740740740741,0.0220138888888889,0.0712121212121212,-0.0316389656983716,-0.06,-0.0371945212539272,-0.0340740740740741,-0.0270650270369407,-0.0166666666666667,0.0234058664116053,-0.00897435897435897,0.10122965641953,0.0148692810457516,0.0148692810457516,0.00794871794871795,-0.0636201298701299,0.413695760790192,0.413695760790192,0.432756132756133,0.404793650793651
"CDC42",-0.17011501880115,-0.0148692810457516,-0.0319444444444444,0.06,0.1,0.0286686686686687,-0.00635964912280701,0.0666374269005848,0.00416666666666667,-0.00833333333333333,-0.0333333333333333,0.00952380952380952,0.00952380952380952,-0.0876796536796537,0.114285714285714,0.0476190476190476,0,0.00434782608695652,-0.00604274134119381,-0.02,-0.00113001298080208,-0.0221288515406162,-0.00243188184364655,0.00434782608695652,0,-0.00168970814132104,0.00476190476190476,-0.0504761904761905,0.0333333333333333,0.00660522273425499,0.015247198042897,-0.1,0.00309992922597618,-0.0288109161793372,-0.1,-0.0340740740740741,0.0220138888888889,0.0712121212121212,-0.0316389656983716,-0.06,-0.0371945212539272,-0.0340740740740741,-0.0270650270369407,-0.0166666666666667,0.0234058664116053,-0.00897435897435897,0.10122965641953,0.0148692810457516,0.0148692810457516,0.00794871794871795,-0.0636201298701299,0.413695760790192,0.413695760790192,0.432756132756133,0.404793650793651
"GLI",-0.162085637593239,-0.0953855033467869,-0.0747745469869364,0.0374193548387097,0.06,0.030102281667978,-0.0683975563909774,0.0510145069507127,-0.0590225563909774,-0.0447368421052632,-0.05,-0.139598997493734,-0.123809523809524,-0.0928961153918709,-0.0683333333333333,-0.0959195402298851,0.102619047619048,0.0987229437229437,-0.099275429910789,-0.0942857142857143,0.0148974458204334,0.112900672305357,0.114547731128886,0.0371705167121126,0.0833333333333333,0.0448910613524254,0.0400261964875605,-0.0502974033816425,0.123809523809524,0.143680630146796,0.142446062245561,-0.1,0.00836880286065909,-0.0519625338124268,0.02,0.0484629981024668,0.0523592351985026,0.0890851055597828,-0.0349724115381078,0.0425806451612903,-0.039216284819638,-0.030102281667978,-0.0301572622170002,0.0406012378426171,0.0963756023566879,0.0581012378426171,0.0941815522615111,0.0953855033467869,0.0953855033467869,0.0666726664140457,-0.129053622016852,0.41694896740058,0.41694896740058,0.432939702196668,0.404906048906049
"SRC",0.00121332337475198,-0.100659157279933,-0.0128571428571429,0.175,0.3,0.100409836065574,-0.0948717948717949,0.149061554387641,-0.111538461538462,-0.15,-0.15,0.00666666666666667,-0.0333333333333333,-0.185513452065176,-0.0888888888888889,-0.0388888888888889,-0.0939393939393939,-0.0828282828282828,0.0809414903754526,0.0666666666666667,0.0558356676003735,0.0246031746031746,0.0518759018759019,0.0011833829857663,0.1,0.0264935988620199,0.0364035087719298,-0.0747843087254027,0.0333333333333333,-0.00296296296296297,0.0117429193899782,-0.2,-0.0825445632798574,-0.100409836065574,-0.2,-0.125,0.0168383909668313,0.248093841642229,-0.095531787285086,-0.175,-0.100677201155332,-0.125,-0.110047897021404,0.095,0.121871278492054,0.0807142857142857,0.203416016466852,0.100659157279933,0.100659157279933,0.0878571428571429,0.0345454545454545,0.423218029350105,0.423218029350105,0.437994437124872,0.317118863049096
"TrCP",-0.167402541405128,-0.0234058664116053,-0.0507563256325632,0.0340740740740741,0.06,0.0316389656983716,-0.0174707602339181,0.0697953216374269,-0.00635964912280701,0.00416666666666667,-0.00833333333333333,-0.00660522273425499,0.00952380952380952,-0.0942013928100884,0.0476190476190476,0.0221288515406162,0.00434782608695652,0.00604274134119381,-0.00604274134119381,0,0.00300791805368068,-0.00243188184364655,0.001939702855807,-6.39386189258316e-05,0.0333333333333333,0.00282642089093702,-0.00168970814132104,-0.0523629829290207,-0.00952380952380952,0.015247198042897,0.013247198042897,-0.1,0.00386117490071666,-0.0322255503256787,-0.06,-0.0288109161793372,0.0177194103612815,0.0828143311568726,-0.0371945212539272,-0.0340740740740741,-0.0411945212539272,-0.0286686686686687,-0.0329258328977465,-0.00897435897435897,0.0234058664116053,0.00794871794871795,0.103377627779912,0.0234058664116053,0.0234058664116053,0.0167399267399267,-0.0628928571428571,0.425592866899517,0.425592866899517,0.441893188593696,0.411351027842831
"PAK1",-0.167402541405128,-0.0234058664116053,-0.0507563256325632,0.0340740740740741,0.06,0.0316389656983716,-0.0174707602339181,0.0697953216374269,-0.00635964912280701,0.00416666666666667,-0.00833333333333333,-0.00660522273425499,0.00952380952380952,-0.0942013928100884,0.0476190476190476,0.0221288515406162,0.00434782608695652,0.00604274134119381,-0.00604274134119381,0,0.00300791805368068,-0.00243188184364655,0.001939702855807,-6.39386189258316e-05,0.0333333333333333,0.00282642089093702,-0.00168970814132104,-0.0523629829290207,-0.00952380952380952,0.015247198042897,0.013247198042897,-0.1,0.00386117490071666,-0.0322255503256787,-0.06,-0.0288109161793372,0.0177194103612815,0.0828143311568726,-0.0371945212539272,-0.0340740740740741,-0.0411945212539272,-0.0286686686686687,-0.0329258328977465,-0.00897435897435897,0.0234058664116053,0.00794871794871795,0.103377627779912,0.0234058664116053,0.0234058664116053,0.0167399267399267,-0.0628928571428571,0.425592866899517,0.425592866899517,0.441893188593696,0.411351027842831
"SNAI1",-0.16522352699011,-0.0234058664116053,-0.0616997218589783,0.0286686686686687,0.0340740740740741,0.0371945212539272,-0.0195540935672515,0.0728106725146199,-0.0174707602339181,-0.00635964912280701,0.00416666666666667,-0.015247198042897,-0.00660522273425499,-0.0979962646049602,0.0221288515406162,0.00243188184364655,0.00604274134119381,0.00604274134119381,-0.00873332430083507,-0.00434782608695652,0.00110194600793735,0.001939702855807,-0.000278039079676869,0.00350748995250274,0.00833333333333333,0.00614745410126912,0.00282642089093702,-0.0551601857262235,-0.00952380952380952,0.013247198042897,0.0146064213438678,-0.06,0.00739915617022759,-0.0371615649509072,-0.0340740740740741,-0.0322255503256787,0.0158370574201051,0.0849063813660776,-0.0411945212539272,-0.0288109161793372,-0.0415559048367873,-0.0316389656983716,-0.0345493216714944,0.00794871794871795,0.022256441124249,0.0167399267399267,0.00515698721051668,0.0234058664116053,0.0234058664116053,0.0167399267399267,-0.0649390617633192,0.43112792225007,0.43112792225007,0.449866291379479,0.424123613512613
"SMAD",-0.211713457232244,-0.156182309684493,-0.108104111209701,-0.0596825396825397,-0.0485714285714286,-0.0524882437823614,-0.153264239028945,0.00108781278089742,-0.143930905695612,-0.134126984126984,-0.138888888888889,-0.123333333333333,-0.108333333333333,-0.122220189671572,-0.0119047619047619,-0.0302146210596915,0.00967741935483871,0.0120030007501875,-0.0110414622886491,0,0.0346342804687158,0.0430637830708647,0.0418685639473587,0.068633086499574,0.15,0.00862927027310589,0.104819746463582,0.0262595014621154,0.108333333333333,0.127920489296636,0.123831269965781,0.02,0.0609672987387643,0.0322392635342276,0.0285714285714286,0.0358363858363858,0.131902527579947,0.150075412604917,0.0507243360483044,0.0396825396825397,0.0503190675579296,0.0557609710550887,0.0571077368199693,0.141904761904762,0.153879678105546,0.152249589490969,0.171891444129347,0.156182309684493,0.156182309684493,0.156217843459223,0.0788477687725808,0.474123450644956,0.474123450644956,0.48892800156306,0.461594944714712
"ZEB2",-0.20989579441038,-0.194805194805195,-0.176904761904762,-0.176666666666667,-0.17,-0.164922027290448,-0.160911214953271,-0.158212523872535,-0.1525,-0.145833333333333,-0.133333333333333,-0.127857142857143,-0.125,-0.0883783483945634,-0.0701298701298701,-0.0683116883116883,-0.0364035087719298,-0.0267260894170911,0.0242870650268472,0.0416666666666667,0.0596596736596737,0.0744341372912802,0.0754923383494812,0.0873900293255132,0.1,0.107611824794923,0.107611824794923,0.12208603433853,0.125,0.135174216027875,0.136992397846056,0.15,0.151567683221291,0.154207352280747,0.159090909090909,0.160629370629371,0.162633786656133,0.163848631239936,0.164217801938336,0.165757575757576,0.166945074665608,0.17140350877193,0.186324863851866,0.187179487179487,0.193306265469006,0.193846153846154,0.194102483674781,0.194805194805195,0.194805194805195,0.196578394283312,0.23677593321859,0.524111869317914,0.524111869317914,0.542857417584157,0.608910809292489
