"","KLF4","cfos","SOSGRB2","ERK","MEK","EGR1","NOTCHic","NOTCH","Jagged","RKIP","TrCP","SUFU","FUS","SMO","Patched","SHH","Destcompl","CD44","SMAD","Frizzled","TCFLEF","Wnt","cateninnuc","cateninmemb","GLI","Ecadherin","RAS","PI3K","DELTA","FOXC2","PAK1","TGF","SNAI2","TGFR","CDC42","RAF","HEY1","AKT","IKK","NFB","ILK","Csn","cMet","DSH","SRC","STAT","LIV1","AXIN2","TWIST1","Csl","SNAI1","GSK3","ZEB2","ZEB1","miR200"
"RKIP",-0.108273553323769,0.03,0.0482539682539683,0.033448275862069,0.0398312545854732,0.03,-0.00707070707070707,0.000621600621600621,-0.0612478777589134,-0.211274509803922,-0.2,-0.1,-0.1,-0.08,-0.068,-0.0630819672131148,-0.0953346495392582,0.109109311740891,-0.0768210068760406,0.1,0.109808612440191,0.11,0.1100630653664,0.137137305372599,0.113846153846154,0.107394454775348,-0.0502719502719503,-0.0545454545454545,-0.0545454545454545,-0.0474064249926319,-0.0333333333333333,-0.0609701824655096,0.11046890482019,-0.0619047619047619,-0.0666666666666667,0.0545454545454545,0.0816879597367402,0.151623376623377,0.160714285714286,0.185714285714286,0.0817715019255456,0.2,-0.105263157894737,-0.1,-0.1,-0.1,0,-0.142440225035162,0.0534581105169341,-0.0111111111111111,0.187648103132767,0.0134357762017337,0.110273553323769,0.110273553323769,0.109436583600691
"RAF",-0.108273553323769,0.03,0.0482539682539683,0.033448275862069,0.0398312545854732,0.03,-0.00707070707070707,0.000621600621600621,-0.0612478777589134,-0.211274509803922,-0.2,-0.1,-0.1,-0.08,-0.068,-0.0630819672131148,-0.0953346495392582,0.109109311740891,-0.0768210068760406,0.1,0.109808612440191,0.11,0.1100630653664,0.137137305372599,0.113846153846154,0.107394454775348,-0.0502719502719503,-0.0545454545454545,-0.0545454545454545,-0.0474064249926319,-0.0333333333333333,-0.0609701824655096,0.11046890482019,-0.0619047619047619,-0.0666666666666667,0.0545454545454545,0.0816879597367402,0.151623376623377,0.160714285714286,0.185714285714286,0.0817715019255456,0.2,-0.105263157894737,-0.1,-0.1,-0.1,0,-0.142440225035162,0.0534581105169341,-0.0111111111111111,0.187648103132767,0.0134357762017337,0.110273553323769,0.110273553323769,0.109436583600691
"SUFU",-0.18977018640315,0.0120745920745921,0.11808367071525,0.022419419660799,0.0185896324267564,-0.00307692307692308,0.0409090909090909,0.0440836940836941,0.125383047857077,0.0339285129859504,0.05,-0.0133333333333333,0.0116666666666667,0.00611111111111111,0.00712121212121212,0.00827951327951328,0.264516324585476,0.150746526510451,0.000229681581838325,0.0625,0.148844352597407,0.0586538461538462,0.146951769477203,0.171845234930298,0.0560516156705748,0.0802680101455385,0.0419242081549756,0.0416077524587731,0.0416077524587731,-0.0240866144569089,0.03,0.0365721645099714,0.0196411284684972,0.03598044853364,0.0381081081081081,-0.0416077524587731,0.00393931195397932,-0.0419817095656022,-0.048021978021978,-0.0557142857142857,-0.00277009728622632,-0.0357142857142857,-0.153754045307443,-0.0625,-0.156666666666667,-0.156666666666667,-0.15,-0.30025061984656,-0.0910081623792773,-0.0454545454545455,-0.0362707788143351,-0.242037315637731,0.17097320113989,0.17097320113989,0.172512044861255
"FUS",-0.196357012750455,-0.00307692307692308,0.110391363022942,0.0120745920745921,0.022419419660799,0.02,0.0454545454545455,0.0409090909090909,0.125620577548288,0.0351530027818688,0.1,0.0666666666666667,-0.0133333333333333,0.0116666666666667,0.00611111111111111,0.00712121212121212,0.265739078439808,0.153754045307443,0.00277009728622632,0.0625,0.150746526510451,0.0625,0.148844352597407,0.174710173538756,0.0586538461538462,0.0824307289920884,0.0416077524587731,0.0385509838998211,0.0385509838998211,-0.0238384754990926,0.0466666666666667,0.03598044853364,0.0195752088903825,0.0381081081081081,0.03,-0.0385509838998211,0.00514413123108775,-0.048021978021978,-0.0557142857142857,-0.0357142857142857,0.00174603174603175,-0.05,-0.156666666666667,-0.05,-0.156666666666667,-0.15,-0.1,-0.301889964108855,-0.0920390902143289,-0.0454545454545455,-0.034737559052836,-0.242551454455211,0.176770302589165,0.176770302589165,0.177716505827798
"SMO",-0.211111111111111,0.02,0.121929824561403,-0.00307692307692308,0.0120745920745921,0,0.0454545454545455,0.0454545454545455,0.126825396825397,0.0279365079365079,0,0.1,0.0666666666666667,-0.0133333333333333,0.0116666666666667,0.00611111111111111,0.267052947052947,0.156666666666667,-0.00174603174603175,0.05,0.153754045307443,0.0625,0.150746526510451,0.177875909106727,0.0625,0.0862663454304446,0.0385509838998211,0.0269230769230769,0.0269230769230769,-0.0212068965517241,0.0666666666666667,0.0381081081081081,0.0219091406677614,0.03,0.0466666666666667,-0.0269230769230769,0.00659340659340659,-0.0557142857142857,-0.0357142857142857,-0.05,0.00333333333333334,-0.1,-0.156666666666667,0,-0.15,-0.1,-0.1,-0.301268846096432,-0.0904684095860566,0,-0.0337941628264209,-0.242217006294676,0.184745762711864,0.184745762711864,0.188607594936709
"SHH",-0.2,-0.1,0.05,0,0.02,0,0,0,0.122857142857143,0.02,0,0,0,0.1,0.0666666666666667,-0.0133333333333333,0.261558441558442,0.15,0.0166666666666667,0,0.156666666666667,0,0.156666666666667,0.18078853046595,0.05,0.0925,0.0269230769230769,0.05,0.05,-0.025,0,0.0466666666666667,0.0207662835249042,0.0666666666666667,-0.0333333333333333,-0.05,0,-0.05,-0.1,0,0,0,-0.1,0,-0.1,-0.1,0,-0.276190476190476,-0.075,-0.1,0,-0.223076923076923,0.2,0.2,0.2
"Patched",-0.211111111111111,0,0.116666666666667,0.02,-0.00307692307692308,-0.1,0,0.0454545454545455,0.133968253968254,0.00571428571428572,0,0,0.1,0.0666666666666667,-0.0133333333333333,0.0116666666666667,0.267052947052947,0.156666666666667,-0.00333333333333334,0,0.156666666666667,0.05,0.153754045307443,0.18078853046595,0.0625,0.0895873786407767,0.0269230769230769,0.0269230769230769,0.0269230769230769,-0.035,-0.0333333333333333,0.03,0.0247662835249042,0.0466666666666667,0.0666666666666667,-0.0269230769230769,-0.00769230769230769,-0.0357142857142857,-0.05,-0.1,-0.0166666666666667,0,-0.15,0,-0.1,-0.1,-0.1,-0.294372294372294,-0.0787037037037037,0,-0.0290322580645161,-0.237362637362637,0.2,0.2,0.2
"PI3K",-0.19890350877193,-0.0333333333333333,-0.0819230769230769,-0.0274509803921569,-0.0192542590806815,-0.0333333333333333,-0.05,-0.0564516129032258,-0.00982456140350877,0.0292824822236587,0,0,0,0,0,-0.00277777777777778,0.114317718301905,-0.0830026012634708,0.023728531412565,-0.0888888888888889,-0.0846975165177081,-0.0845410628019324,-0.0861408154867803,-0.00752987194915377,-0.0830026012634708,0.0722936367653557,0.0581626045187689,0.0595324675324675,0.0595324675324675,0.0135400696864111,0.05,0.0219139167862267,-0.0168160880234944,0.0243529411764706,0.0323529411764706,-0.0595324675324675,-0.0308815121245754,0.0530920060331825,0.0607843137254902,0.0666666666666667,-0.021328531412565,0.0333333333333333,0.0845410628019324,0.1,0.0888888888888889,0.1,0.1,0.12847619047619,-0.0368699725078912,0.05,-0.0339935587761675,-0.0465848965848966,0.205290341951085,0.205290341951085,0.210566453189404
"ILK",-0.19890350877193,-0.0333333333333333,-0.0819230769230769,-0.0274509803921569,-0.0192542590806815,-0.0333333333333333,-0.05,-0.0564516129032258,-0.00982456140350877,0.0292824822236587,0,0,0,0,0,-0.00277777777777778,0.114317718301905,-0.0830026012634708,0.023728531412565,-0.0888888888888889,-0.0846975165177081,-0.0845410628019324,-0.0861408154867803,-0.00752987194915377,-0.0830026012634708,0.0722936367653557,0.0581626045187689,0.0595324675324675,0.0595324675324675,0.0135400696864111,0.05,0.0219139167862267,-0.0168160880234944,0.0243529411764706,0.0323529411764706,-0.0595324675324675,-0.0308815121245754,0.0530920060331825,0.0607843137254902,0.0666666666666667,-0.021328531412565,0.0333333333333333,0.0845410628019324,0.1,0.0888888888888889,0.1,0.1,0.12847619047619,-0.0368699725078912,0.05,-0.0339935587761675,-0.0465848965848966,0.205290341951085,0.205290341951085,0.210566453189404
"AKT",-0.203177013045434,-0.0274509803921569,-0.0841452991452991,-0.0192542590806815,-0.0205200818654916,-0.0333333333333333,-0.0564516129032258,-0.0601101494885917,-0.00982456140350877,0.0236924201118574,-0.0333333333333333,0,0,0,-0.00277777777777778,-0.000672514619883041,0.114069579344088,-0.0846975165177081,0.024738632422666,-0.0845410628019324,-0.0861408154867803,-0.0830026012634708,-0.0867562001021649,-0.0080395559450763,-0.0846785789171021,0.0727481822199012,0.0593674237958774,0.0581626045187689,0.0581626045187689,0.0112844305886668,0.0323529411764706,0.019799113160849,-0.0169165905360572,0.0219139167862267,0.0243529411764706,-0.0581626045187689,-0.0301296324253273,-0.0479180949769185,0.0530920060331825,0.0607843137254902,-0.023728531412565,0.0666666666666667,0.0830026012634708,0.0888888888888889,0.0845410628019324,0.0888888888888889,0.1,0.128837201306515,-0.0341176789299096,0.05,-0.0367504510067439,-0.0490042514236063,0.208714999485332,0.208714999485332,0.215379287414003
"AXIN2",-0.236341623592858,0.0473170731707317,0.00715655857310836,0.0538591292454981,0.0600660257972222,0.04,-0.00721177944862155,-0.00383340107024318,0.258789430311169,-0.136680255228642,0.2,0.15,0.173076923076923,0.187362637362637,0.19271978021978,0.193703386777157,-0.148340019252343,0.271710941169427,0.0248619737750173,0.264961240310078,0.271124774698149,0.270133654103181,0.26961158836006,0.303443357006399,0.271391515738401,0.159469419096773,-0.230178611008516,-0.232278348541324,-0.232278348541324,-0.136136985574925,-0.176666666666667,-0.178561300574502,0.148126521582486,-0.177901234567901,-0.177901234567901,0.232278348541324,-0.0263528524177611,-0.238019323671498,-0.239130434782609,-0.23768115942029,-0.0252587991718426,-0.233333333333333,-0.270133654103181,-0.253333333333333,-0.264961240310078,-0.253333333333333,-0.233333333333333,0.149979514117545,-0.0705579235329066,0.016140350877193,0.118364629525756,0.137955749183438,0.218666648886591,0.218666648886591,0.234072240177184
"CD44",-0.298412698412698,-0.025,0.138095238095238,-0.045,-0.045,0,-0.0142857142857143,0.00150375939849624,-0.0938927738927739,-0.223703703703704,0,-0.1,-0.1,-0.1,-0.1,-0.0909090909090909,-0.118940303394085,-0.0433333333333333,-0.0827664399092971,-0.1,-0.0363565891472868,-0.05,-0.0317412045319022,-0.0446886446886447,-0.0433333333333333,0.0104814895233959,0.0485714285714286,0.0571428571428571,0.0571428571428571,-0.0925,-0.0666666666666667,-0.0908333333333333,0.0295393495393495,-0.0741666666666667,-0.0866666666666667,-0.0571428571428571,0.083625730994152,0.193333333333333,0.2,0.2,0.0888888888888889,0.1,-0.05,0,0,-0.1,-0.1,0.07,0.128498168498168,0,0.160233918128655,-0.0154761904761905,0.222222222222222,0.222222222222222,0.233768115942029
"GSK3",-0.254590501434399,-0.0237472766884532,-0.0565193626566287,-0.0214916375907088,-0.0214916375907088,-0.0274509803921569,-0.0598029421558833,-0.0590237213766625,0.00546877264663369,0.011155335892178,0.0466666666666667,-0.00909090909090909,-0.00432900432900433,-0.00110319787739143,0.00196428678518526,0.00435663128279292,0.149035933383396,-0.0478040299424057,0.015475480139092,-0.0520676691729323,-0.0477149827473923,-0.0487996953167232,-0.0475834038000239,0.0549218590095797,-0.0478562990903081,0.150950733282647,0.0607826225845045,0.0593120343492104,0.0593120343492104,0.0999114797890808,0.113623188405797,0.107191490022879,0.0149678144584292,0.106422259253648,0.108861283643892,-0.0593120343492104,-0.0234890839078736,-0.0580743442381374,-0.0563649425287356,-0.0529166666666667,-0.0150257050266482,-0.0466666666666667,0.0487564108947866,0.0592105263157895,0.0520676691729323,0.0592105263157895,0.075,0.0935340142343098,0.0664439841918733,0.0591036414565826,-0.0235032981847946,-0.179195903544012,0.256167293583449,0.256167293583449,0.263936412924025
"DSH",-0.250773707541269,-0.0274509803921569,-0.0569844789356985,-0.0237472766884532,-0.0214916375907088,-0.0333333333333333,-0.0591036414565826,-0.0598029421558833,0.00415490403349501,0.0073959373959374,0.0666666666666667,0,-0.00909090909090909,-0.00432900432900433,-0.00110319787739143,0.00196428678518526,0.148578025669412,-0.0487564108947866,0.0150257050266482,-0.0592105263157895,-0.0478040299424057,-0.0520676691729323,-0.0477149827473923,0.0543029377010032,-0.0487996953167232,0.151444641744945,0.0593120343492104,0.0584716982147567,0.0584716982147567,0.0981570938241685,0.126666666666667,0.106422259253648,0.0150540957353921,0.108861283643892,0.113623188405797,-0.0584716982147567,-0.0217589801016453,-0.0563649425287356,-0.0529166666666667,-0.0466666666666667,-0.013138912573818,-0.0466666666666667,0.0520676691729323,0.075,0.0592105263157895,0.075,0.1,0.096121533260185,0.0691328446272126,0.0571428571428571,-0.0196273291925466,-0.0767000632777895,0.256613058813761,0.256613058813761,0.26405364621828
"miR200",-0.292080745341615,0.0242857142857143,0.00802385557704707,0.0242857142857143,0.029047619047619,0.0142857142857143,0.0160591133004926,0.0200139155603796,0.0329407016702629,0.0355079961927379,0,0.02,0.02,0.0266666666666667,0.030464135021097,0.030464135021097,0.165451317831313,0.127449582694015,0.00198927531853989,0.124,0.127449582694015,0.128225352112676,0.126085946330378,0.147713864700102,0.127126451013775,0.0433416596638917,-0.0795786175586674,-0.0828205128205128,-0.0828205128205128,-0.00963475548841403,-0.0208333333333333,-0.0296057470249915,0.0892610721545895,-0.0290243516761543,-0.0306372549019608,0.0828205128205128,-2.82485875706215e-05,-0.017593984962406,-0.017593984962406,-0.0147368421052632,-0.00104883644706654,-0.02,-0.128573178199633,-0.12,-0.124347826086957,-0.12,-0.1,-0.175817809561046,-0.132539791496847,-0.0160591133004926,-0.0472629222629223,-0.0950438530914331,0.282894265232975,0.282894265232975,0.217456418849399
"Csl",-0.354699792960663,-0.0847619047619048,-0.0537834052981678,-0.0733333333333333,-0.0646376811594203,-0.113333333333333,0.0802037351443124,0.0847491896897669,0.130011994153137,0.0600183916309815,0.0333333333333333,0.0583333333333333,0.0814102564102564,0.0990573152337858,0.108734734588625,0.110458872519659,0.251907736373215,0.224760001902859,0.0401535914125842,0.21967365967366,0.22155389503263,0.225050003759681,0.21840924094458,0.276571457412869,0.224243552146778,0.239568285155838,-0.102380658410291,-0.108263011351467,-0.108263011351467,-0.0106906388806913,-0.0453333333333333,-0.0561546497374376,0.146881562947251,-0.0581954660639682,-0.055010752688172,0.108263011351467,-0.135489103110586,-0.079328165374677,-0.0801033591731266,-0.0777777777777778,-0.0407091469681398,-0.0666666666666667,-0.225168165168165,-0.198461538461538,-0.21967365967366,-0.198461538461538,-0.16,-0.27418027848801,-0.0816290186470275,-0.0696774193548387,-0.0513917322612975,-0.168193053521722,0.330194838124216,0.330194838124216,0.350167362326492
"HEY1",-0.266666666666667,-0.169090909090909,-0.107961692395655,-0.180855614973262,-0.190133965488726,-0.16,-0.157799043062201,-0.156768115227149,-0.266146926536732,-0.257658214801072,-0.1,-0.2,-0.233333333333333,-0.266666666666667,-0.266666666666667,-0.261290322580645,-0.279915879538693,-0.257746188465275,-0.0241159420289855,-0.272549019607843,-0.250053880772967,-0.265572275421797,-0.244200829714437,-0.358905518600641,-0.256951585766624,-0.270844017487543,0.0482202111613876,0.0541025641025641,0.0541025641025641,0.060350429073962,0.109090909090909,0.111985218033999,-0.088048314074395,0.114424242424242,0.121090909090909,-0.0541025641025641,0.00294881588999236,0.0773544973544974,0.0847619047619048,0.08,0.0226666666666667,0.1,0.265572275421797,0.266666666666667,0.272549019607843,0.266666666666667,0.233333333333333,0.32788266254418,0.343407407407407,0.147272727272727,0.285399514004593,0.294049154116442,0.341357069143447,0.341357069143447,0.351986161986162
"SNAI1",-0.365716401467895,-0.0863964627855564,-0.0680421674242896,-0.0783964627855564,-0.0757058798259151,-0.0982608695652174,0.0686813186813187,0.0715384615384615,0.107048954448855,0.0402536039363058,0.0583333333333333,0.0642857142857143,0.0804147465437788,0.0865875860499516,0.0885875860499516,0.0887817608072332,0.238282592719697,0.212691800711603,0.0374802319451766,0.213781676413255,0.210484904159879,0.214269481291304,0.208264976436595,0.251745367511659,0.211892881656935,0.224902412306454,-0.112524660109135,-0.115316121521287,-0.115316121521287,-0.00257854898157279,-0.038375350140056,-0.0387976054803441,0.118584278758284,-0.0387976054803441,-0.0398905016552075,0.115316121521287,-0.0336376454629828,-0.0700779727095517,-0.0742446393762183,-0.0760964912280702,-0.0380952380952381,-0.0708333333333333,-0.214914022933825,-0.208518518518518,-0.213923923923924,-0.208518518518518,-0.19,-0.255390876744162,-0.0459616325703282,-0.0653846153846154,-0.12389297668278,-0.117734275213236,0.349991807177768,0.349991807177768,0.369551751552314
"TrCP",-0.376619828259173,-0.0982608695652174,-0.0714383938393839,-0.0863964627855564,-0.0783964627855564,-0.12,0.0653846153846154,0.0686813186813187,0.108460719154738,0.0364879135597368,0.0333333333333333,0.0476190476190476,0.0642857142857143,0.0804147465437788,0.0865875860499516,0.0885875860499516,0.239379083947767,0.214914022933825,0.0380952380952381,0.208518518518518,0.212691800711603,0.213781676413255,0.210484904159879,0.25502688737349,0.214269481291304,0.227816043940169,-0.115316121521287,-0.119861576066741,-0.119861576066741,-0.00270561378462234,-0.0285714285714286,-0.0387976054803441,0.119623501017754,-0.0398905016552075,-0.038375350140056,0.119861576066741,-0.0342328835582209,-0.0742446393762183,-0.0760964912280702,-0.0708333333333333,-0.0380952380952381,-0.0583333333333333,-0.213923923923924,-0.19,-0.208518518518518,-0.19,-0.15,-0.254691576044862,-0.0448334274421231,-0.0576923076923077,-0.0219356813091141,-0.117536255411255,0.359954906808764,0.359954906808764,0.379446083925033
"PAK1",-0.376619828259173,-0.0982608695652174,-0.0714383938393839,-0.0863964627855564,-0.0783964627855564,-0.12,0.0653846153846154,0.0686813186813187,0.108460719154738,0.0364879135597368,0.0333333333333333,0.0476190476190476,0.0642857142857143,0.0804147465437788,0.0865875860499516,0.0885875860499516,0.239379083947767,0.214914022933825,0.0380952380952381,0.208518518518518,0.212691800711603,0.213781676413255,0.210484904159879,0.25502688737349,0.214269481291304,0.227816043940169,-0.115316121521287,-0.119861576066741,-0.119861576066741,-0.00270561378462234,-0.0285714285714286,-0.0387976054803441,0.119623501017754,-0.0398905016552075,-0.038375350140056,0.119861576066741,-0.0342328835582209,-0.0742446393762183,-0.0760964912280702,-0.0708333333333333,-0.0380952380952381,-0.0583333333333333,-0.213923923923924,-0.19,-0.208518518518518,-0.19,-0.15,-0.254691576044862,-0.0448334274421231,-0.0576923076923077,-0.0219356813091141,-0.117536255411255,0.359954906808764,0.359954906808764,0.379446083925033
"EGR1",-0.376619828259173,-0.0982608695652174,-0.0714383938393839,-0.0863964627855564,-0.0783964627855564,-0.12,0.0653846153846154,0.0686813186813187,0.108460719154738,0.0364879135597368,0.0333333333333333,0.0476190476190476,0.0642857142857143,0.0804147465437788,0.0865875860499516,0.0885875860499516,0.239379083947767,0.214914022933825,0.0380952380952381,0.208518518518518,0.212691800711603,0.213781676413255,0.210484904159879,0.25502688737349,0.214269481291304,0.227816043940169,-0.115316121521287,-0.119861576066741,-0.119861576066741,-0.00270561378462234,-0.0285714285714286,-0.0387976054803441,0.119623501017754,-0.0398905016552075,-0.038375350140056,0.119861576066741,-0.0342328835582209,-0.0742446393762183,-0.0760964912280702,-0.0708333333333333,-0.0380952380952381,-0.0583333333333333,-0.213923923923924,-0.19,-0.208518518518518,-0.19,-0.15,-0.254691576044862,-0.0448334274421231,-0.0576923076923077,-0.0219356813091141,-0.117536255411255,0.359954906808764,0.359954906808764,0.379446083925033
"cfos",-0.388095238095238,-0.12,-0.0763888888888889,-0.0982608695652174,-0.0863964627855564,-0.08,0.0576923076923077,0.0653846153846154,0.107847222222222,0.025990675990676,0,0.0333333333333333,0.0476190476190476,0.0642857142857143,0.0804147465437788,0.0865875860499516,0.239679835827466,0.213923923923924,0.0380952380952381,0.19,0.214914022933825,0.208518518518518,0.212691800711603,0.257590989937592,0.213781676413255,0.232175905531865,-0.119861576066741,-0.127178649237473,-0.127178649237473,-0.00546423447427752,-0.0142857142857143,-0.0398905016552075,0.121250987455367,-0.038375350140056,-0.0285714285714286,0.127178649237473,-0.0342328835582209,-0.0760964912280702,-0.0708333333333333,-0.0583333333333333,-0.0380952380952381,-0.0333333333333333,-0.208518518518518,-0.15,-0.19,-0.15,-0.1,-0.249031198686371,-0.0383116883116883,-0.05,-0.0159690941969423,-0.113536255411255,0.372495099734809,0.372495099734809,0.393659281894576
"CDC42",-0.388095238095238,-0.12,-0.0763888888888889,-0.0982608695652174,-0.0863964627855564,-0.18,0.0576923076923077,0.0653846153846154,0.107847222222222,0.025990675990676,0,0.0333333333333333,0.0476190476190476,0.0642857142857143,0.0804147465437788,0.0865875860499516,0.239679835827466,0.213923923923924,0.0380952380952381,0.19,0.214914022933825,0.208518518518518,0.212691800711603,0.257590989937592,0.213781676413255,0.232175905531865,-0.119861576066741,-0.127178649237473,-0.127178649237473,-0.00546423447427752,0.0857142857142857,-0.0398905016552075,0.121250987455367,-0.038375350140056,-0.0285714285714286,0.127178649237473,-0.0342328835582209,-0.0760964912280702,-0.0708333333333333,-0.0583333333333333,-0.0380952380952381,-0.0333333333333333,-0.208518518518518,-0.15,-0.19,-0.15,-0.1,-0.249031198686371,-0.0383116883116883,-0.05,-0.0159690941969423,-0.113536255411255,0.372495099734809,0.372495099734809,0.393659281894576
"TGFR",-0.431805964185827,-0.142355889724311,0.025909681611436,-0.126800334168755,-0.118581156086563,-0.147619047619048,-0.00333333333333333,-0.00117505995203837,-0.067472946148428,-0.152510822510823,-0.233333333333333,-0.113333333333333,-0.0966666666666667,-0.0863218390804598,-0.0738218390804598,-0.0687370933177479,0.0788912260382946,0.0793462429659053,-0.0852062004501449,0.0728571428571429,0.082695525262556,0.0822911051212938,0.082784099221812,0.113679135651313,0.0893878793148422,0.12667462622225,0.0410505430242272,0.0398809523809524,0.0398809523809524,-0.02745945102932,0.0688888888888889,-0.0412301587301587,0.0962117406548288,-0.0412301587301587,0.0641269841269841,-0.0398809523809524,0.0830335748722538,0.181995686891648,0.188972431077694,0.204761904761905,0.0855620723362659,0.233333333333333,-0.0727672955974843,-0.0428571428571429,-0.0633333333333333,-0.0333333333333333,0,-0.0794920559226711,0.150050085672861,0.00333333333333333,0.19476836250368,0.0798650134044083,0.429294324881735,0.429294324881735,0.4448299846242
"TGF",-0.42466310704297,-0.147619047619048,0.0197368421052632,-0.142355889724311,-0.126800334168755,-0.133333333333333,-0.00333333333333333,-0.00333333333333333,-0.0725454099165439,-0.165367965367965,-0.2,-0.133333333333333,-0.113333333333333,-0.0966666666666667,-0.0863218390804598,-0.0738218390804598,0.0756654195866817,0.0727672955974843,-0.0855620723362659,0.0428571428571429,0.0793462429659053,0.0728571428571429,0.082695525262556,0.111831560593577,0.0822911051212938,0.12735605722736,0.0398809523809524,0.0363095238095238,0.0363095238095238,-0.0296428571428571,0.08,-0.0412301587301587,0.0962117406548288,0.0641269841269841,0.0688888888888889,-0.0363095238095238,0.0845261121856866,0.188972431077694,0.204761904761905,0.233333333333333,0.0887878787878788,0.233333333333333,-0.0633333333333333,0,-0.0333333333333333,0,0,-0.0696208112874779,0.16037037037037,0.0133333333333333,0.203912905276542,0.0874444755070978,0.431935834315697,0.431935834315697,0.445709750020095
"ZEB2",-0.581682433008267,-0.13859649122807,-0.136410256410256,-0.135370684776457,-0.134151172581335,-0.133333333333333,-0.132,-0.131453551912568,-0.115065606013581,-0.109726247987118,-0.1,-0.1,-0.1,-0.0971428571428571,-0.0947038327526132,-0.0928856509344314,-0.0909978315352471,-0.0851461988304094,-0.0843058350100604,-0.0842424242424242,-0.0823292974219587,-0.0816783216783217,-0.0807708558635171,-0.0807176820199655,-0.0761737345223584,-0.0472936355134026,-0.0422688802988589,-0.0399134199134199,-0.0399134199134199,-0.00637762237762238,0.00519480519480519,0.00527451384594242,0.00623069962751982,0.00633271490414348,0.00701298701298701,0.0399134199134199,0.0725366568914956,0.0732320872274143,0.0741666666666667,0.0763888888888889,0.0843058350100604,0.0888888888888889,0.0907017543859649,0.0909090909090909,0.0933333333333333,0.1,0.1,0.117514067025802,0.132537839454565,0.133333333333333,0.144538523690389,0.199908715901292,0.491986974001685,0.491986974001685,0.513007985700025
