"","FOXC2","TGF","TGFR","Csl","NOTCHic","HEY1","NOTCH","Jagged","Csn","AKT","SHH","TrCP","RKIP","SNAI1","SNAI2","TWIST1","MEK","DSH","EGR1","ERK","KLF4","STAT","LIV1","SRC","cMet","RAS","RAF","PI3K","ZEB2","GSK3","DELTA","Ecadherin","cateninmemb","TCFLEF","cateninnuc","CD44","GLI","Wnt","Frizzled","AXIN2","cfos","Destcompl","miR200","ILK","SMAD","NFB","IKK","Patched","SMO","FUS","SUFU","SOSGRB2","CDC42","PAK1","ZEB1"
"cateninnuc",0.0825046428980855,0.0812389567968547,0.079492231906025,-0.231324544883867,-0.231324544883867,-0.0541418220766797,-0.231779090338412,-0.0803142384447691,0.208333333333333,0.204804924242424,-0.109875019937491,0.233333333333333,-0.0663098183867415,-0.0712363412664316,-0.182666209275886,0.0602265590868597,0.0690797573104329,-0.0652680652680653,0.0623188405797102,0.0677036105214421,-0.00875840253064452,-0.0652680652680653,-0.0575757575757576,-0.0680458430458431,-0.0691327995675822,0.206996386996387,0.206828036828037,0.206828036828037,-0.0212846207843085,-0.147373805828845,-0.206828036828037,-0.0967244983502989,0.0444036497515107,0.0702998633560052,-0.0293963531587697,0.069926450361233,0.0712551246648924,0.0704646108309003,0.0693776543091612,0.235178295253563,-0.0639061421670117,0.127204841681313,-0.00855723870148844,0.0325093795093795,0.0345557642297069,-0.199242424242424,-0.203242424242424,0.110092884861238,0.109471766848816,0.111111111111111,0.111111111111111,-0.193991580881417,-0.0760439560439561,-0.0714285714285714,0.0125540224705201
"Ecadherin",0.133514139616352,0.159270741196644,0.15619660014782,-0.292535885167464,-0.295628668672619,-0.078394593957168,-0.296743910308307,-0.247082391818445,0.26,0.247830687830688,-0.258112670392007,0.2,-0.0140243295138961,-0.0202649445058252,-0.241638486933318,0.21052771996446,0.105956594446588,-0.227450980392157,0.110909090909091,0.103995810132863,-0.00496952648851383,-0.227450980392157,-0.233333333333333,-0.229776561787506,-0.23238525743968,0.264558528611273,0.264837858220211,0.264837858220211,-0.0197621772580322,-0.190745847933423,-0.264837858220211,0.067127076931364,0.305504386083654,0.235178295253563,0.235831890024805,0.234057498242355,0.235224837649575,0.233224837649575,0.229776561787506,0.304134784216987,-0.105026737967914,0.17221595667718,-0.0129333360618277,0.0518840579710145,0.0506734042179879,-0.255238095238095,-0.247830687830688,0.257325268817204,0.25625,0.25,0.233333333333333,-0.252114742258734,-0.153757575757576,-0.155090909090909,0.00810348284986232
"cateninmemb",0.133514139616352,0.159270741196644,0.15619660014782,-0.292535885167464,-0.295628668672619,-0.078394593957168,-0.296743910308307,-0.247082391818445,0.26,0.247830687830688,-0.258112670392007,0.2,-0.0140243295138961,-0.0202649445058252,-0.241638486933318,0.21052771996446,0.105956594446588,-0.227450980392157,0.110909090909091,0.103995810132863,-0.00496952648851383,-0.227450980392157,-0.233333333333333,-0.229776561787506,-0.23238525743968,0.264558528611273,0.264837858220211,0.264837858220211,-0.0197621772580322,-0.190745847933423,-0.264837858220211,0.0748356147031767,0.210198736400183,0.235178295253563,0.235831890024805,0.234057498242355,0.235224837649575,0.233224837649575,0.229776561787506,0.304134784216987,-0.105026737967914,0.17221595667718,-0.0129333360618277,0.0518840579710145,0.0506734042179879,-0.255238095238095,-0.247830687830688,0.257325268817204,0.25625,0.25,0.233333333333333,-0.252114742258734,-0.153757575757576,-0.155090909090909,0.00810348284986232
"ZEB2",-0.287198135198135,-0.278576238576239,-0.275930735930736,-0.233333333333333,-0.218666666666667,-0.213680351906158,-0.212655737704918,-0.212249790737919,-0.211111111111111,-0.209244548286604,-0.202979094076655,-0.2,-0.19194847020934,-0.157986248023058,-0.134265099608984,-0.118610692497076,-0.111174030670697,-0.109090909090909,-0.108333333333333,-0.106295981890209,-0.106266098974014,-0.1,-0.1,-0.08,-0.0721052631578947,-0.0385583117810099,-0.0353463203463203,-0.0353463203463203,0.0046945836315915,0.0228878546564727,0.0353463203463203,0.0363387006970634,0.0654158271755227,0.0661975949262828,0.0661975949262828,0.0665497076023392,0.0784581168067407,0.083962703962704,0.0890909090909091,0.0996397206486227,0.103070175438596,0.113270348347007,0.150749630154881,0.192615436206986,0.196273972792351,0.198611111111111,0.200833333333333,0.202979094076655,0.207857142857143,0.210714285714286,0.225,0.22525641025641,0.271168831168831,0.276623376623377,0.278393907552519
"ZEB1",-0.31767287598325,-0.337727759686247,-0.334971854174436,-0.0333333333333333,-0.0176470588235294,-0.186662379071705,-0.0110354885755955,-0.0578408788645436,-0.273333333333333,-0.296897982661572,-0.123665004662493,-0.233333333333333,-0.189704840613932,-0.166065329980904,0.164486726976373,-0.30597476766523,-0.147026172583571,0.233333333333333,-0.15,-0.144823529411765,-0.00116987429822629,0.241025641025641,0.233333333333333,0.253220762976861,0.259103115918037,-0.295253524706478,-0.292576359352148,-0.292576359352148,0.00765726218984884,0.224835573596404,0.292576359352148,-0.176773113896776,-0.307531979028645,-0.265988458707635,-0.266673390214484,-0.264658671473593,-0.255216533529332,-0.249374609130707,-0.245528455284553,-0.306774299646263,0.146,-0.195714690452412,0.151902532629842,0.176599319916908,0.179964704532293,0.289122807017544,0.294040839804429,0.124732620320856,0.132575757575758,0.141666666666667,0.166666666666667,0.341286549707602,0.332433783108446,0.336781609195402,0.277414634634848
"KLF4",-0.130539311241066,-0.15619660014782,-0.153757575757576,0.287272727272727,0.292535885167464,0.0777234530175707,0.295628668672619,0.24639589296261,-0.2,-0.247830687830688,0.257325268817204,-0.1,0.0166460523603381,0.0227965900754455,0.240735416493824,-0.208479302832244,-0.103995810132863,0.233333333333333,-0.12,-0.105026737967914,0.0037037037037037,0.233333333333333,0.233333333333333,0.227450980392157,0.229776561787506,-0.264837858220211,-0.264102564102564,-0.264102564102564,0.0226057791537668,0.191408099589053,0.264102564102564,-0.166250738080342,-0.304478745058013,-0.234057498242355,-0.235178295253563,-0.23238525743968,-0.233224837649575,-0.229776561787506,-0.227450980392157,-0.301866742979873,0.110909090909091,-0.171749973452576,0.0142368742368742,-0.0533333333333333,-0.0518840579710145,0.26,0.255238095238095,-0.25625,-0.25,-0.233333333333333,-0.2,0.253430531732418,0.155090909090909,0.159090909090909,-0.00952528379772962
"HEY1",-0.130539311241066,-0.15619660014782,-0.153757575757576,0.287272727272727,0.292535885167464,0.0777234530175707,0.295628668672619,0.24639589296261,-0.2,-0.247830687830688,0.257325268817204,-0.1,0.0166460523603381,0.0227965900754455,0.240735416493824,-0.208479302832244,-0.103995810132863,0.233333333333333,-0.12,-0.105026737967914,0.0037037037037037,0.233333333333333,0.233333333333333,0.227450980392157,0.229776561787506,-0.264837858220211,-0.264102564102564,-0.264102564102564,0.0226057791537668,0.191408099589053,0.264102564102564,-0.166250738080342,-0.304478745058013,-0.234057498242355,-0.235178295253563,-0.23238525743968,-0.233224837649575,-0.229776561787506,-0.227450980392157,-0.301866742979873,0.110909090909091,-0.171749973452576,0.0142368742368742,-0.0533333333333333,-0.0518840579710145,0.26,0.255238095238095,-0.25625,-0.25,-0.233333333333333,-0.2,0.253430531732418,0.155090909090909,0.159090909090909,-0.00952528379772962
"cMet",0.0684440928270042,0.0684160756501182,0.0577777777777778,-0.185714285714286,-0.201503759398496,-0.131269349845201,-0.199376099824028,-0.126300800648627,0,-0.0208333333333333,-0.123409090909091,-0.1,0.193703703703704,0.0414925346236675,0.23722590467116,0.0395135201876775,0.201818181818182,0.1,0.2,0.2,0.0349206349206349,0.2,0.1,0.15,0.03,0.0979874213836478,0.0866666666666667,0.0866666666666667,0.0741702741702742,-0.0687019969278034,-0.0866666666666667,0.0278703607783922,-0.0212400766493293,-0.0168336314847943,-0.0162686597333818,-0.0183720930232558,-0.0163636363636364,-0.03,-0.05,-0.0457142857142857,-0.2,-0.109892089513938,0.0778182641633729,0.121315192743764,0.115860647289219,0,0.0333333333333333,0.110909090909091,0.12,0.1,0.1,-0.0257142857142857,-0.0466666666666667,-0.0466666666666667,-0.0354978354978355
"miR200",-0.302284436430778,-0.309188878101878,-0.305700506008855,-0.135369458128079,-0.118128078817734,-0.198248587570621,-0.102873841529598,-0.130304739071366,-0.22,-0.252946517236487,-0.159649146945515,-0.2,-0.190171797988936,-0.162035187035187,0.0841983998481549,-0.261272612867705,-0.128991960420532,0.12,-0.142857142857143,-0.128311688311688,-0.100776397515528,0.12,0.1,0.124347826086957,0.139840783833435,-0.229745030840427,-0.223011863758132,-0.223011863758132,0.106644265232975,0.156422943420482,0.223011863758132,-0.0715086540329259,-0.174965470372238,-0.152137912422699,-0.15304700333179,-0.146582356867143,-0.135888562142083,-0.131492957746479,-0.116,-0.191013743320679,0.132857142857143,-0.127852537680901,0.15009010200782,0.182289647422391,0.183857045541513,0.246315789473684,0.249172932330827,0.166170886075949,0.1725,0.1925,0.18,0.294084461637653,0.310539215686275,0.3125,0.376774193548387
"ILK",0.00567711962833914,0.0117833572453372,-0.000411764705882354,0.05,0.0423076923076923,-0.0904449601452931,0.0294044665012407,-0.0554385964912281,-0.166666666666667,-0.220211161387632,-0.066025641025641,-0.2,-0.0737394957983193,-0.0750966183574879,0.125339575706374,-0.0221871499847266,-0.0563117050098728,0.1,-0.0333333333333333,-0.0677871148459384,-0.115350877192982,0.1,0.1,0.0888888888888889,0.0584541062801932,0.0405270711024136,0.035047619047619,0.035047619047619,0.113130710680494,-0.0438552188552189,-0.035047619047619,0.135036758378491,0.0428837316606289,-0.0535866573449477,-0.0570918119841229,-0.0507617985878855,-0.0507617985878855,-0.0584541062801932,-0.0888888888888889,-0.101333333333333,0.0619047619047619,0.15794494472509,0.0978638847491306,0.0993517406962785,0.0921517406962785,0.2,0.217647058823529,0.0743589743589744,0.0666666666666667,0.05,0,0.0238461538461538,0.00441176470588235,-0.025,0.0715946897771719
"DSH",0.0281360989072127,0.0330394384689189,0.030600414078675,0.0488095238095238,0.0350840336134454,-0.0910443047061188,0.0315875301169419,-0.056157453467645,-0.126666666666667,-0.121925287356322,-0.0695373199924952,-0.0666666666666667,-0.0514435564435564,-0.0554623878536922,0.107256530092555,0.00183473389355742,-0.0428414172686618,0.075,-0.0533333333333333,-0.0481045751633987,-0.146106986483914,0.075,0.1,0.0486842105263158,0.0415413533834586,0.0132705125903732,0.0146710728144628,0.0146710728144628,0.148488335203678,-0.057453020484063,-0.0146710728144628,0.161674568126164,0.0604219891226539,-0.0477097545187472,-0.0492235568339743,-0.0448526116616043,-0.0448093272396678,-0.0415413533834586,-0.0486842105263158,-0.0905048126243299,0.0592156862745098,0.172995781012649,0.11884154040404,0.0978514518397152,0.0982288103302813,0.139166666666667,0.139166666666667,0.0701508169250105,0.0733766233766234,0.0590909090909091,0.05,0.0114560236511456,-0.0220289855072464,-0.0133333333333333,0.0695252910778939
"GSK3",0.0286145678067343,0.0327830282125086,0.0330394384689189,0.0350840336134454,0.0315875301169419,-0.0920823669898558,0.0323667508961627,-0.0545516140515866,-0.139166666666667,-0.116797082228117,-0.0685803821934521,-0.126666666666667,-0.0491879173458121,-0.0551301619400709,0.108637030523962,0.000938447081777653,-0.0428414172686618,0.0486842105263158,-0.0592156862745098,-0.0428414172686618,-0.14687034526254,0.0486842105263158,0.075,0.0415413533834586,0.0448526116616043,0.0111696722542387,0.0132705125903732,0.0132705125903732,0.14893410043399,-0.156621073728655,-0.0132705125903732,0.161180659663865,0.0590073118459077,-0.0492235568339743,-0.0494209252550269,-0.0477097545187472,-0.0471678178057055,-0.0448093272396678,-0.0415413533834586,-0.0915702616349843,0.0481045751633987,0.171340268508246,0.118724307109785,0.0982288103302813,0.0998779857425751,0.139166666666667,0.121925287356322,0.0695373199924952,0.0701508169250105,0.0733766233766234,0.0590909090909091,0.00261881434882003,-0.030600414078675,-0.0220289855072464,0.0690795258475819
"SRC",0.0585901027077498,0.0607756132756133,0.0462301587301587,-0.17,-0.184285714285714,-0.167055610724926,-0.198571428571429,-0.103866149141378,0.1,0.0435897435897436,-0.111503267973856,0.1,0.097979797979798,-0.0127186623946485,0.12047147545436,0.0240785651130479,0.174556889651229,0.1,0.166666666666667,0.157575757575758,-0.0625322997416021,0.2,0.2,0.075,0.045,0.243200212386695,0.234109303295786,0.234109303295786,0.166966157532195,-0.0904761904761905,-0.234109303295786,0.0557744815097756,-0.0369533004041311,-0.0302459016393443,-0.0309170425789416,-0.0302459016393443,-0.0302459016393443,-0.045,-0.075,-0.0842704747333078,-0.157575757575758,-0.108043080108298,0.132630654369785,0.146929824561403,0.146028923660503,-0.0666666666666667,-0.0435897435897436,0.114444444444444,0.103333333333333,0.0833333333333333,0.0333333333333333,-0.204285714285714,-0.0319444444444444,-0.0444444444444444,0.0535714285714286
"Csn",0.034347281051591,0.0485227076560386,0.043988101450788,0.0141414141414141,-0.0131313131313131,-0.126043743078627,-0.0208236208236208,-0.11082957166747,-0.155,-0.140766666666667,-0.12363813400302,0.02,-0.0613190173997575,-0.0704863707448865,0.0826002995890581,0.0181673679289388,-0.0288609307359307,0.0333333333333333,-0.0366666666666667,-0.0340692640692641,-0.170760611937083,0.0333333333333333,0.0666666666666667,0.00229885057471265,-0.00854452291926325,0.0675126104581071,0.0677045490377616,0.0677045490377616,0.172665012406948,-0.0856720316458007,-0.0677045490377616,0.180706064623374,0.126957118534357,0.00681390484137829,0.0051903329832905,0.00810007847481881,0.00810784169655583,0.00854452291926325,-0.00229885057471265,-0.0229746026125275,0.0457575757575758,0.20177776665461,0.151581901533249,0.128203933747412,0.12691858670371,0.163333333333333,0.159166666666667,0.121998789740725,0.120923520923521,0.0936507936507937,0.0714285714285714,-0.0290187939582613,-0.0362957937584803,-0.0318181818181818,0.0772555831265509
"Patched",0.155,0.263333333333333,0.28,-0.2,-0.233333333333333,-0.171794871794872,-0.278787878787879,-0.181375661375661,0,0.0857142857142857,-0.318333333333333,0,0.0657142857142857,0.0301075268817204,-0.174773946360153,0.0712962962962963,0.0569230769230769,-0.2,0.1,0.08,-0.211111111111111,-0.1,-0.1,-0.1,-0.1,0.270192307692308,0.257692307692308,0.257692307692308,0.183333333333333,-0.187545787545788,-0.257692307692308,0.0412459546925566,0.133351254480287,0.123333333333333,0.132071197411003,0.106666666666667,0.2125,0.2,0.2,0.256709956709957,-0.1,0.147452547452547,0.14047619047619,0.166666666666667,0.186666666666667,-0.1,-0.1,0.293333333333333,0.333333333333333,0.3,0.2,-0.3,-0.3,-0.3,0.05
"FUS",0.156814882032668,0.270780141843972,0.263333333333333,-0.278787878787879,-0.293787878787879,-0.188358018792801,-0.30969696969697,-0.200437623509913,0.1,0.0737142857142857,-0.333989898989899,0.1,0.0611896579937817,0.0414732052285309,-0.187474638845406,0.0839849319599859,0.0596399003295555,-0.2,0.08,0.0538927738927739,-0.19608378870674,-0.1,-0.1,-0.106666666666667,-0.123333333333333,0.277900239041957,0.274843470483005,0.274843470483005,0.184414751655055,-0.190188902134871,-0.274843470483005,0.0402450953688949,0.14048003537378,0.134326836508748,0.134598575639182,0.132071197411003,0.238782051282051,0.229166666666667,0.2125,0.281062066369413,-0.0569230769230769,0.153417578856384,0.138107472591744,0.175555555555556,0.173620071684588,-0.0857142857142857,-0.0737142857142857,0.335,0.318333333333333,0.293333333333333,0.333333333333333,-0.272672064777328,-0.263333333333333,-0.28,0.0495632733700738
"SMO",0.151551724137931,0.263333333333333,0.263333333333333,-0.233333333333333,-0.278787878787879,-0.195604395604396,-0.293787878787879,-0.199232804232804,0.1,0.0737142857142857,-0.335,0,0.0601587301587302,0.0348694316436252,-0.183345374931582,0.0771786492374728,0.0538927738927739,-0.2,0.1,0.0569230769230769,-0.194444444444444,-0.1,-0.1,-0.1,-0.106666666666667,0.274843470483005,0.270192307692308,0.270192307692308,0.185028248587571,-0.188516661332195,-0.270192307692308,0.0416149583825935,0.139176497198733,0.132071197411003,0.134326836508748,0.123333333333333,0.229166666666667,0.2125,0.2,0.270503060158233,-0.08,0.152103710243245,0.13414707655214,0.186666666666667,0.175555555555556,-0.1,-0.0857142857142857,0.318333333333333,0.293333333333333,0.333333333333333,0.3,-0.284210526315789,-0.28,-0.3,0.0550847457627119
"GLI",0.145233810629515,0.281594805261076,0.276183040555194,-0.232007073386384,-0.239507073386384,-0.189232734818473,-0.243316597195908,-0.211200732684068,-0.0722222222222222,-0.0374595342522974,-0.318578357268833,-0.0833333333333333,0.023217649612883,0.00926807292455886,0.0251146160440287,0.124461547695843,-0.0861531654349334,-0.3,-0.114285714285714,-0.0911255411255411,-0.190538824538825,-0.19,-0.15,-0.21258064516129,-0.217458693941778,0.303123893359987,0.301737754746126,0.301737754746126,0.188832394606588,-0.212273095450216,-0.301737754746126,0.202892022120913,0.239043833184665,0.213999222378858,0.213580812337017,0.216596624976261,0.22888853001736,0.328462998102467,0.32258064516129,0.255608393719807,0.0976190476190476,0.154444931053529,0.188265460030166,0.173097851201006,0.178503256606412,0.0564327485380117,0.0421470342522974,0.319812925170068,0.313690476190476,0.313690476190476,0.276190476190476,-0.20114316362104,-0.260459770114942,-0.246666666666667,0.0751532684758491
"SUFU",0.16351463389371,0.278077972218725,0.270780141843972,-0.293787878787879,-0.30969696969697,-0.18956283806991,-0.312077922077922,-0.201150212583547,0.0857142857142857,0.0810968360498562,-0.336692601692602,0.1,0.0664957804427613,0.0433471404925854,-0.188331593360897,0.0883148288672023,0.0643207513933853,-0.2125,0.0569230769230769,0.0596399003295555,-0.19548498631153,-0.106666666666667,-0.1,-0.123333333333333,-0.132071197411003,0.278533150434362,0.277900239041957,0.277900239041957,0.189728761316891,-0.191217179769832,-0.277900239041957,0.0401421087571544,0.139934332781693,0.134598575639182,0.134035915792635,0.134326836508748,0.241384281765323,0.238782051282051,0.229166666666667,0.286448483231239,-0.0538927738927739,0.152832783534746,0.138850967015536,0.173620071684588,0.1710796559802,-0.0737142857142857,-0.0737142857142857,0.333989898989899,0.335,0.318333333333333,0.293333333333333,-0.276168568273831,-0.263333333333333,-0.263333333333333,0.048113998007755
"TrCP",0.159454146671284,0.201936571946215,0.195925642984467,-0.203846153846154,-0.220769230769231,-0.185882058970515,-0.225164835164835,-0.195289280845262,-0.1,-0.0627436647173489,-0.207707401718154,-0.1,0.00231503303326507,-0.0187720385110192,0.0332104508876199,0.144855919442876,-0.0178717759764186,-0.19,-0.04,-0.0218717759764186,-0.208822794691647,-0.19,-0.15,-0.208518518518518,-0.213923923923924,0.226931993294978,0.226022902385887,0.226022902385887,0.207341314639104,-0.147846861471861,-0.226022902385887,0.210243143889328,0.244640052164141,0.214052270091874,0.213500545953943,0.215904121943726,0.217196310559597,0.213781676413255,0.208518518518518,0.255320506862472,0.0269565217391304,0.182553548463136,0.202029573558388,0.173732718894009,0.175023041474654,0.0875,0.0664473684210526,0.208707401718154,0.202534562211982,0.192857142857143,0.142857142857143,-0.216446644664466,-0.186834733893557,-0.180952380952381,0.0929674011410657
"LIV1",0.159454146671284,0.201936571946215,0.195925642984467,-0.203846153846154,-0.220769230769231,-0.185882058970515,-0.225164835164835,-0.195289280845262,-0.1,-0.0627436647173489,-0.207707401718154,-0.1,0.00231503303326507,-0.0187720385110192,0.0332104508876199,0.144855919442876,-0.0178717759764186,-0.19,-0.04,-0.0218717759764186,-0.208822794691647,-0.19,-0.15,-0.208518518518518,-0.213923923923924,0.226931993294978,0.226022902385887,0.226022902385887,0.207341314639104,-0.147846861471861,-0.226022902385887,0.210243143889328,0.244640052164141,0.214052270091874,0.213500545953943,0.215904121943726,0.217196310559597,0.213781676413255,0.208518518518518,0.255320506862472,0.0269565217391304,0.182553548463136,0.202029573558388,0.173732718894009,0.175023041474654,0.0875,0.0664473684210526,0.208707401718154,0.202534562211982,0.192857142857143,0.142857142857143,-0.216446644664466,-0.186834733893557,-0.180952380952381,0.0929674011410657
"EGR1",0.159454146671284,0.201936571946215,0.195925642984467,-0.203846153846154,-0.220769230769231,-0.185882058970515,-0.225164835164835,-0.195289280845262,-0.1,-0.0627436647173489,-0.207707401718154,-0.1,0.00231503303326507,-0.0187720385110192,0.0332104508876199,0.144855919442876,-0.0178717759764186,-0.19,-0.04,-0.0218717759764186,-0.208822794691647,-0.19,-0.15,-0.208518518518518,-0.213923923923924,0.226931993294978,0.226022902385887,0.226022902385887,0.207341314639104,-0.147846861471861,-0.226022902385887,0.210243143889328,0.244640052164141,0.214052270091874,0.213500545953943,0.215904121943726,0.217196310559597,0.213781676413255,0.208518518518518,0.255320506862472,0.0269565217391304,0.182553548463136,0.202029573558388,0.173732718894009,0.175023041474654,0.0875,0.0664473684210526,0.208707401718154,0.202534562211982,0.192857142857143,0.142857142857143,-0.216446644664466,-0.186834733893557,-0.180952380952381,0.0929674011410657
"SNAI1",0.162122507535325,0.204759152591376,0.201936571946215,-0.220769230769231,-0.225164835164835,-0.191239201827658,-0.225572998430141,-0.194583398492321,-0.0875,-0.0592714424951267,-0.209843324048252,-0.1,0.0052439033261521,-0.118416166624898,0.034182626549705,0.144753355340312,-0.017423345483145,-0.208518518518518,-0.0269565217391304,-0.0178717759764186,-0.212249585968906,-0.208518518518518,-0.19,-0.213923923923924,-0.215904121943726,0.227096196907457,0.226931993294978,0.226931993294978,0.209186333089289,-0.14606468325404,-0.226931993294978,0.210711406116175,0.243638325048424,0.213500545953943,0.213500545953943,0.214052270091874,0.215916603064167,0.217196310559597,0.213781676413255,0.256486008027973,0.0218717759764186,0.180579864252609,0.203278372789896,0.175023041474654,0.177114062384863,0.0664473684210526,0.0627436647173489,0.207707401718154,0.208707401718154,0.202534562211982,0.192857142857143,-0.223616455985221,-0.195925642984467,-0.186834733893557,0.0921063925309796
"STAT",0.125627811860941,0.128020623858725,0.12174043062201,-0.0176470588235294,-0.0473767885532591,-0.168666666666667,-0.056114652630929,-0.0873022751895991,-0.1,-0.109507667473769,-0.113313781985319,0,0.0476174388674389,0.0285059255394696,0.127315758638584,0.00288827447747988,-0.0361922833649589,0.0857142857142857,-0.0333333333333333,-0.0415686274509804,-0.113141216082393,0.0857142857142857,0.2,0.0607142857142857,0.0470779220779221,-0.0513041955236226,-0.0527967328370554,-0.0527967328370554,0.218441814595661,0.0741566533155318,0.0527967328370554,0.0664655939877955,-0.0383414098520734,-0.0441983621005703,-0.0459862047704154,-0.0445138195138195,-0.0445569136745607,-0.0470779220779221,-0.0607142857142857,-0.0967111320052496,0.0533333333333333,-0.0840725760525219,0.204547776750717,0.167874396135266,0.164426120273197,0.12,0.124761904761905,0.110658914728682,0.108333333333333,0.075,0.05,-0.0404761904761905,-0.116477272727273,-0.122727272727273,0.0850367581136812
"AXIN2",0.269622071917154,0.283732319274209,0.282412187261007,-0.0610526315789474,-0.0735526315789474,-0.107039479351853,-0.0830120910384068,-0.278095670486975,-0.122222222222222,-0.132898550724638,-0.235883474449048,-0.133333333333333,0.223426680846036,0.219727406414001,-0.231785414748966,0.240330493136443,0.00817975785300876,-0.24,0.0266666666666667,0.0109383785426639,-0.264150950199208,-0.24,-0.233333333333333,-0.242325581395349,-0.249222133119487,-0.0743403377649897,-0.0780148784474044,-0.0780148784474044,0.257121694524386,0.200173414304993,0.0780148784474044,0.0650168205774516,0.261750526654919,0.259480970919643,0.260907689466984,0.25584673879772,0.256140372113198,0.249222133119487,0.242325581395349,0.615845587597184,-0.019349593495935,-0.196390339429925,0.203123410161217,0.108764665286404,0.109955141476881,0.117874396135266,0.12512077294686,0.228342490842491,0.212271062271062,0.188461538461538,0.15,-0.236688908722569,-0.284182098765432,-0.285416666666667,-0.101623135169411
"TCFLEF",0.437005689800237,0.456226191202463,0.448941422990543,-0.29575960465487,-0.319289016419576,-0.201920893202652,-0.32825911608735,-0.278370814152853,0.0298701298701299,0.0617565253820513,-0.295838398688191,0.0571428571428571,0.189577995132479,0.201029481908143,0.187547168430815,0.296623857368173,0.000378297660527626,-0.207843137254902,-0.0142857142857143,-0.000301974448315911,-0.268348930481283,-0.204166666666667,-0.166666666666667,-0.229166666666667,-0.243696581196581,0.166467602205978,0.161079954374178,0.161079954374178,0.269643673577884,0.108034781115471,-0.161079954374178,0.102570305441799,0.0876619449016519,0.150446240795881,0.151047615366328,0.248728027737462,0.252963113896618,0.247373051784816,0.232843137254902,0.596875702075702,0.00696864111498258,-0.191809511574578,0.218963125228185,0.187331206804891,0.191728912349824,-0.0498701298701299,-0.0563217427733557,0.286635944700461,0.278571428571429,0.25,0.216666666666667,-0.359552280055274,-0.436791890280262,-0.42051282051282,0.00288724968988127
