"","FUS","TGF","NOTCHic","NOTCH","RAS","RAF","PI3K","DELTA","Destcompl","EGR1","Wnt","cMet","Frizzled","SRC","DSH","LIV1","Ecadherin","TWIST1","miR200","SNAI2","FOXC2","STAT","cateninmemb","ZEB2","ZEB1","CD44","cfos","TCFLEF","MEK","ERK","GLI","cateninnuc","SOSGRB2","AXIN2","TrCP","SUFU","Csn","Csl","KLF4","PAK1","CDC42","TGFR","HEY1","NFB","RKIP","SMAD","ILK","SNAI1","SMO","Patched","GSK3","Jagged","SHH","IKK","AKT"
"DELTA",-0.1,-0.367555555555556,-0.14,-0.154285714285714,0.0424242424242424,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.160262548262548,-0.1,0.12,0.12,0.1,0.1,0,0,0.0294736842105263,-0.212,-0.130909090909091,-0.139416792357969,0.0385714285714286,0,-0.116643497347723,0.0297101449275362,0.0297101449275362,-0.127692307692308,0.2,-0.136783216783217,0.3,0.3,-0.127692307692308,-0.137882117882118,0.3,-0.162857142857143,0,0,0,0.2,0.0166666666666667,0.2,0.3,0.355555555555556,0.05,0.1,0.18974358974359,0.135714285714286,0.15,0.191666666666667,0.0666666666666667,0.0666666666666667,-0.0547892720306513,0.0633766233766234,0.0897435897435898,0.0666666666666667,0.0777777777777778
"Csl",-0.0897435897435898,-0.382091648740861,-0.0586999757458162,-0.0650636121094525,0.0334680849987535,0.0345710261752241,0.0345710261752241,0.0345710261752241,0.160762420120943,-0.3,0.135707947966012,0.137882117882118,0.136783216783217,0.136783216783217,0.127692307692308,0.12,0.0268274694409074,-0.220293286728397,-0.1353001035762,-0.140486728117418,0.0362896037169039,-0.127692307692308,-0.11609982269104,0.0309788169144403,0.0309788169144403,-0.139106607678036,0.328571428571429,-0.138648592410861,0.357142857142857,0.357142857142857,-0.137320851191819,-0.138248363708745,0.380806784144396,-0.184448009078654,0.0666666666666667,0.0666666666666667,0.0777777777777778,0.063963133640553,0.0218530020703934,0.367555555555556,0.377232974910394,0.379143802935872,0.0581452335672284,0.1,0.22025524700641,0.165650336873358,0.164539225762247,0.195383046904786,0.0779788838612368,0.0919573784848927,-0.0501272751709038,0.0621992870999493,0.0936815164159272,0.0883720930232558,0.101550387596899
"NFB",0.06,-0.211036440352896,0.173593073593074,0.166496299399525,-0.0928338039360214,-0.0858686298066682,-0.0858686298066682,-0.0858686298066682,-0.127878132390203,-0.0428571428571429,0.124102564102564,0.124102564102564,0.125641025641026,0.125641025641026,0.133333333333333,0.1,0.118258318153066,-0.149131652661064,-0.134531722054381,-0.0319770604904545,0.0928159224573567,-0.133333333333333,-0.149716469751954,0.0328147956097139,0.0328147956097139,-0.122407648848327,0.0788571428571428,-0.120297944206977,0.0882689075630252,0.0810793650793651,-0.122978968596946,-0.118023434403055,0.123151260504202,-0.153814589665654,0.1,-0.04,0.142857142857143,-0.178354978354978,0.0249084249084249,0.183333333333333,0.210606060606061,0.206606060606061,0.0223721067374318,0.0261904761904762,0.170302648171501,0.0263641721978889,0.0185574807480748,0.189464080309526,-0.0637037037037037,-0.036117496807152,0.238812755871579,-0.058778506716651,-0.0373223160842604,0.0342985842985843,0.0542985842985843
"SNAI1",-0.104608294930876,-0.364232938259675,-0.0732600732600733,-0.0704029304029304,-0.0557312605360891,-0.0524471882864996,-0.0524471882864996,-0.0524471882864996,0.107659507950374,-0.301739130434783,0.0979527409309181,0.1000109019911,0.0984405458089669,0.101001001001001,0.103703703703704,0.1,0.0455238349015921,-0.201080405102144,-0.140734549650154,-0.0951386292921189,0.0565693717927548,-0.103703703703704,-0.0868371653271089,0.0343596779991441,0.0343596779991441,-0.0981590501392482,0.327162859248342,-0.0967797397944206,0.32675030319453,0.323162859248342,-0.0959417720095287,-0.095798841498086,0.366551466467401,-0.12940103921236,0.0916666666666667,0.114285714285714,0.129166666666667,0.0666666666666667,0.0335926955430556,0.357422969187675,0.358938120702827,0.362216809227417,0.155847076461769,0.12390350877193,0.238684984155984,0.170663343807017,0.163898276156341,0.113976608019503,0.120657677646925,0.123657677646925,0.0400554948351978,0.0990276474598019,0.12424020191877,0.140570175438597,0.147514619883041
"TrCP",-0.114285714285714,-0.362216809227417,-0.0666666666666667,-0.0732600732600733,-0.0524471882864996,-0.0492653701046814,-0.0492653701046814,-0.0492653701046814,0.109688016722304,-0.28,0.0984405458089669,0.101001001001001,0.103703703703704,0.103703703703704,0.1,0.1,0.0457839805831738,-0.202003482025221,-0.140062119294726,-0.0952391991881967,0.0574588254141017,-0.1,-0.0871480461561245,0.0357126915292794,0.0357126915292794,-0.1000109019911,0.301739130434783,-0.0981590501392482,0.323162859248342,0.327162859248342,-0.0979527409309181,-0.0967797397944206,0.360891089108911,-0.130799640610961,0.0666666666666667,0.080952380952381,0.0916666666666667,0.0743589743589744,0.0276736924277908,0.347619047619048,0.357422969187675,0.358938120702827,0.155847076461769,0.129166666666667,0.234082473695733,0.163898276156341,0.163253114866018,0.212197248588898,0.104608294930876,0.120657677646925,0.035237012987013,0.0976158827539196,0.123657677646925,0.12390350877193,0.140570175438597
"LIV1",-0.114285714285714,-0.362216809227417,-0.0666666666666667,-0.0732600732600733,-0.0524471882864996,-0.0492653701046814,-0.0492653701046814,-0.0492653701046814,0.109688016722304,-0.28,0.0984405458089669,0.101001001001001,0.103703703703704,0.103703703703704,0.1,0.1,0.0457839805831738,-0.202003482025221,-0.140062119294726,-0.0952391991881967,0.0574588254141017,-0.1,-0.0871480461561245,0.0357126915292794,0.0357126915292794,-0.1000109019911,0.301739130434783,-0.0981590501392482,0.323162859248342,0.327162859248342,-0.0979527409309181,-0.0967797397944206,0.360891089108911,-0.130799640610961,0.0666666666666667,0.080952380952381,0.0916666666666667,0.0743589743589744,0.0276736924277908,0.347619047619048,0.357422969187675,0.358938120702827,0.155847076461769,0.129166666666667,0.234082473695733,0.163898276156341,0.163253114866018,0.212197248588898,0.104608294930876,0.120657677646925,0.035237012987013,0.0976158827539196,0.123657677646925,0.12390350877193,0.140570175438597
"EGR1",-0.114285714285714,-0.362216809227417,-0.0666666666666667,-0.0732600732600733,-0.0524471882864996,-0.0492653701046814,-0.0492653701046814,-0.0492653701046814,0.109688016722304,-0.28,0.0984405458089669,0.101001001001001,0.103703703703704,0.103703703703704,0.1,0.1,0.0457839805831738,-0.202003482025221,-0.140062119294726,-0.0952391991881967,0.0574588254141017,-0.1,-0.0871480461561245,0.0357126915292794,0.0357126915292794,-0.1000109019911,0.301739130434783,-0.0981590501392482,0.323162859248342,0.327162859248342,-0.0979527409309181,-0.0967797397944206,0.360891089108911,-0.130799640610961,0.0666666666666667,0.080952380952381,0.0916666666666667,0.0743589743589744,0.0276736924277908,0.347619047619048,0.357422969187675,0.358938120702827,0.155847076461769,0.129166666666667,0.234082473695733,0.163898276156341,0.163253114866018,0.212197248588898,0.104608294930876,0.120657677646925,0.035237012987013,0.0976158827539196,0.123657677646925,0.12390350877193,0.140570175438597
"cateninnuc",-0.208888888888889,0.151073413962437,0.00772420035328983,0.00772420035328983,-0.365681920681921,-0.362988317988318,-0.362988317988318,-0.362988317988318,-0.360885557345796,0.238405797101449,-0.292101456217001,-0.290845748454444,-0.285579717086566,-0.284324009324009,-0.275990675990676,-0.260606060606061,0.122033839900084,0.171067759373109,-0.040054392650035,0.09304890617796,0.193139172303107,0.275990675990676,0.152975705357297,0.0410803948337191,0.0410803948337191,0.293623526232222,-0.255866114561767,0.295789321601901,-0.26850692283026,-0.263461051270627,0.29526351155297,0.196755905418526,-0.343718710450299,0.463261057008459,0.3,0.188888888888889,0.3,-0.00539861895794099,0.064813547464793,-0.146857142857143,-0.148395604395604,-0.149545029682961,-0.0378434602781436,0.321212121212121,0.103725915110531,-0.0395539491583148,-0.0383261183261183,0.143355622740874,0.207249544626594,0.21159737071355,0.353984949484573,0.260003072048106,0.213122425179781,0.321212121212121,0.325899621212121
"SMAD",-0.241666666666667,-0.3336236871174,-0.181477832512315,-0.183858784893268,-0.244116008311768,-0.237208113574926,-0.237208113574926,-0.237208113574926,-0.116577341226951,-0.257142857142857,-0.0608669108669109,-0.0457236227824463,-0.0531746031746032,-0.0398412698412698,-0.0476190476190476,-0.02,-0.0177864677484641,-0.133052199864886,-0.168064302538887,-0.047578432510462,0.117694483952088,0.0342857142857143,0.0374422661532728,0.0543832355707523,0.0543832355707523,0.050450895509719,0.266820276497696,0.0541143961881451,0.275004534100558,0.280773764869789,0.0651834576295008,0.0569512756207692,0.29134131913635,0.0497915513067513,0.2,0.191666666666667,0.233333333333333,0.18952380952381,0.0500815582104261,0.316666666666667,0.326525821596244,0.330436436121384,0.251945575344911,0.285714285714286,0.279874935067697,0.176522837892701,0.27557045694032,0.273486549293001,0.241666666666667,0.255428134556575,0.257035843577197,0.256463203463203,0.261747837158805,0.295518207282913,0.312851540616247
"Csn",-0.107936507936508,-0.395993429384944,0.0637806637806638,0.0685883560883561,-0.466794427411503,-0.45009577098156,-0.45009577098156,-0.45009577098156,-0.458624335165765,-0.13,-0.130494391358538,-0.130494391358538,-0.117241379310345,-0.117241379310345,-0.1,-0.0666666666666667,0.0732814230832313,-0.16134564438211,-0.177843502235019,-0.00409021339137255,0.182280948434077,0.1,0.0139338260437193,0.0614971050454921,0.0614971050454921,0.14071661358076,0.111818181818182,0.148433655381403,0.126645021645022,0.118311688311688,0.142284784371638,0.153905693866069,0.220641069987317,0.172806303116147,0.3,0.0857142857142857,0.2,-0.0676767676767677,0.0616088486676722,0.386363636363636,0.384871099050204,0.393845458024563,0.157057032115172,0.241666666666667,0.346462650049698,0.160358370323652,0.156502329192547,0.379669162730135,0.147330447330447,0.15055625378206,0.559370307802282,0.14707581685524,0.166130024273864,0.283333333333333,0.296933333333333
"Wnt",-0.1,-0.36231884057971,0.0928571428571429,0.0845238095238095,-0.459706083390294,-0.418796992481203,-0.418796992481203,-0.418796992481203,-0.49232242095923,0,-0.15,-0.15,0,-0.1,0,0,0.0846109175377468,-0.142352941176471,-0.185757575757576,0.0355172413793104,0.17336032388664,0.1,0.0601694915254237,0.0681013868962219,0.0681013868962219,0.176315789473684,0.0333333333333333,0.197744360902256,0.0356862745098039,0.0533333333333333,0.176315789473684,0.211651645670468,0.160606060606061,0.212121212121212,0.1,0,0.1,-0.05,0.0607843137254902,0.3,0.333333333333333,0.366666666666667,0.145128205128205,0.2,0.31,0.140787119856887,0.138461538461538,0.379244306418219,0.1,0.127272727272727,0.551567398119122,0.152426470588235,0.17012987012987,0.22,0.27
"RKIP",-0.2,-0.190636404094348,-0.0232323232323232,-0.0309246309246309,-0.428549228549229,-0.393506493506493,-0.393506493506493,-0.393506493506493,-0.456442646745109,-0.26,-0.14,-0.136842105263158,-0.1,-0.1,-0.1,0,-0.0704652320239613,0.00842245989304813,-0.144830211473476,0.142830331643061,0.178676687297377,0.1,0.14713806243218,0.0694452415112386,0.0694452415112386,0.159919028340081,0.31,0.171807140228193,0.309706529713866,0.320344827586207,0.163076923076923,0.182748616055165,0.361396825396825,0.184915611814346,0.2,0.1,0.2,0.0777777777777778,0.0594452415112386,0.133333333333333,0.18,0.199047619047619,0.2289972899729,0.3,0.434663865546218,0.214664014540093,0.227535301668806,0.248845127868972,0.18,0.2,0.531914893617021,0.238491389764734,0.247540983606557,0.325,0.364393939393939
"RAF",-0.2,-0.190636404094348,-0.0232323232323232,-0.0309246309246309,-0.428549228549229,-0.393506493506493,-0.393506493506493,-0.393506493506493,-0.456442646745109,-0.26,-0.14,-0.136842105263158,-0.1,-0.1,-0.1,0,-0.0704652320239613,0.00842245989304813,-0.144830211473476,0.142830331643061,0.178676687297377,0.1,0.14713806243218,0.0694452415112386,0.0694452415112386,0.159919028340081,0.31,0.171807140228193,0.309706529713866,0.320344827586207,0.163076923076923,0.182748616055165,0.361396825396825,0.184915611814346,0.2,0.1,0.2,0.0777777777777778,0.0594452415112386,0.133333333333333,0.18,0.199047619047619,0.2289972899729,0.3,0.434663865546218,0.214664014540093,0.227535301668806,0.248845127868972,0.18,0.2,0.531914893617021,0.238491389764734,0.247540983606557,0.325,0.364393939393939
"SOSGRB2",-0.1,-0.152418361780064,0.156643356643357,0.169319412981385,-0.471179197450384,-0.444256120527307,-0.444256120527307,-0.444256120527307,-0.4052802156829,-0.10952380952381,-0.139285714285714,-0.136024844720497,-0.114285714285714,-0.114285714285714,-0.1,0,-0.0557351454676396,-0.0289565217391304,-0.124390436186584,0.0447435830539299,0.111611721611722,0.1,0.133495690495691,0.0696867167919799,0.0696867167919799,0.160662525879917,0.120634920634921,0.169083578511496,0.114246714246714,0.123337623337623,0.163923395445135,0.176922966656812,0.204166666666667,0.183085808580858,0.3,0,0.3,-0.118181818181818,0.0725438596491228,0.107142857142857,0.137142857142857,0.16021978021978,0.213352272727273,0.355555555555556,0.207638888888889,0.10413564929694,0.111827956989247,0.190269367448472,0.1,0.0918918918918919,0.478532983301567,0.130355584549822,0.131426775612822,0.392397660818713,0.404897660818713
"TGFR",-0.156666666666667,-0.112504221546775,-0.0672413793103448,-0.0535723145621434,-0.339672096908939,-0.327976190476191,-0.327976190476191,-0.327976190476191,-0.162990271157873,-0.247619047619048,-0.0685175202156334,-0.0589937106918239,-0.0628571428571429,-0.0533333333333333,-0.0428571428571429,0,-0.0290766183606483,-0.0202866745749308,-0.121843455950797,0.0385457112734348,0.201182361875831,0.0333333333333333,0.0530565162565022,0.0703822299677401,0.0703822299677401,0.0668884475339292,0.231829573934837,0.0735870121272306,0.248420137100743,0.242940685045948,0.0781949395704721,0.0772185444567257,0.364213775178687,0.0665525580761632,0.3,0.14,0.3,0.05,0.0750281500853583,0.211111111111111,0.196825396825397,0.107539682539683,0.196089186562353,0.328571428571429,0.208354978354978,0.205135200008349,0.196950146627566,0.13112224728878,0.201494252873563,0.195244252873563,0.348045016088404,0.219017203474846,0.20371882914475,0.365413533834586,0.372390278020633
"Frizzled",-0.1,-0.370890269151139,0.0845238095238095,0.082563025210084,-0.488839941658011,-0.459706083390294,-0.459706083390294,-0.459706083390294,-0.511685816184695,-0.0333333333333333,-0.176315789473684,-0.176315789473684,-0.15,-0.15,0,-0.1,0.0867088196356489,-0.14140056022409,-0.196695075757576,0.0370945284455564,0.189639393654082,0.1,0.0649313962873285,0.0770122779853308,0.0770122779853308,0.197744360902256,0.0533333333333333,0.211651645670468,0.0356862745098039,0.0356862745098039,0.197744360902256,0.222604026622848,0.16969696969697,0.237702607470049,0.1,0.1,0.2,-0.0928571428571429,0.0703081232492997,0.333333333333333,0.366666666666667,0.36231884057971,0.143000545553737,0.22,0.338571428571429,0.152936652567168,0.140787119856887,0.395117322291235,0.127272727272727,0.17012987012987,0.581264367816092,0.165557783719548,0.179807289484709,0.27,0.31375
"DSH",-0.127272727272727,-0.373329293541383,0.082563025210084,0.0860595287065875,-0.508167672750447,-0.488839941658011,-0.488839941658011,-0.488839941658011,-0.525617113894618,-0.0533333333333333,-0.197744360902256,-0.197744360902256,-0.176315789473684,-0.176315789473684,-0.15,-0.1,0.0896060979499597,-0.140691340365934,-0.202792636733186,0.041634691425766,0.198730302744991,0.15,0.069289464602994,0.0793744827097402,0.0793744827097402,0.211651645670468,0.0356862745098039,0.222604026622848,0.036438154209052,0.0356862745098039,0.212777040640818,0.22981684941893,0.15750184774575,0.255846067385661,0.2,0.1,0.22,-0.0845238095238095,0.0790459873269696,0.366666666666667,0.36231884057971,0.370890269151139,0.157035633273035,0.27,0.35045954045954,0.157842312944526,0.152936652567168,0.407581090407177,0.17012987012987,0.179807289484709,0.60144998266528,0.178736078293192,0.195144712797592,0.31375,0.33558908045977
"ERK",-0.2,-0.204701536042692,-0.0433333900487185,-0.0330840825694941,-0.465280330230825,-0.451088911088911,-0.451088911088911,-0.451088911088911,-0.481931302817087,-0.320344827586207,-0.174965034965035,-0.171807140228193,-0.163076923076923,-0.159919028340081,-0.14,-0.1,-0.065641744323264,0.00437537429256447,-0.161329179481732,0.147184224477403,0.200593989214679,0.136842105263158,0.154012206978593,0.0802601396489714,0.0802601396489714,0.182748616055165,0.309706529713866,0.191112928322823,0.215546826835501,0.2130398630472,0.187245736719421,0.196251817211712,0.353219910617969,0.21520346063878,0.3,0.18,0.325,0.0309246309246309,0.084388241967235,0.199047619047619,0.190636404094348,0.200855382196538,0.22549123970917,0.364393939393939,0.470776605613657,0.234309815861328,0.226103128931237,0.266437720461564,0.247540983606557,0.246887388835316,0.570221815847649,0.251275312340283,0.258481591733866,0.407923351158645,0.420767387855893
"GSK3",-0.17012987012987,-0.375636985849075,0.0860595287065875,0.0868387494858083,-0.520562630733641,-0.508167672750447,-0.508167672750447,-0.508167672750447,-0.535162728547665,-0.0356862745098039,-0.212777040640818,-0.211651645670468,-0.197744360902256,-0.197744360902256,-0.176315789473684,-0.15,0.090692696567016,-0.139282889661708,-0.207833668386175,0.0435328795189497,0.205907336237814,0.176315789473684,0.0714114805181133,0.0827920161421325,0.0827920161421325,0.222604026622848,0.0356862745098039,0.22981684941893,0.0279154269363248,0.036438154209052,0.223626097244591,0.234751059945246,0.156106498908541,0.269392490521125,0.22,0.127272727272727,0.27,-0.082563025210084,0.0828627812200994,0.36231884057971,0.370890269151139,0.373329293541383,0.160841861646738,0.31375,0.36123648281543,0.160990738731633,0.157842312944526,0.415886738247709,0.179807289484709,0.195144712797592,0.514927520102884,0.187349216979323,0.20375715298898,0.33558908045977,0.356956601827291
"MEK",-0.18,-0.200855382196538,-0.0309246309246309,-0.0433333900487185,-0.451088911088911,-0.428549228549229,-0.428549228549229,-0.428549228549229,-0.471296203230465,-0.31,-0.163076923076923,-0.159919028340081,-0.14,-0.136842105263158,-0.1,-0.1,-0.0671865434993711,0.00146275293334117,-0.158142904971928,0.145020112664959,0.199397408018098,0.1,0.151528306334619,0.0829373050033021,0.0829373050033021,0.171807140228193,0.320344827586207,0.182748616055165,0.2130398630472,0.309706529713866,0.174965034965035,0.191112928322823,0.36584126984127,0.202032728931463,0.2,0.2,0.3,0.0232323232323232,0.0712099473935916,0.18,0.199047619047619,0.190636404094348,0.210815471791082,0.325,0.464927023440955,0.226103128931237,0.214664014540093,0.257178461202305,0.2,0.247540983606557,0.553782215484343,0.24013073402703,0.246887388835316,0.364393939393939,0.407923351158645
"ILK",-0.1,-0.303371592539455,0.1,0.0903225806451613,-0.469819605052482,-0.443792207792208,-0.443792207792208,-0.443792207792208,-0.502065723280307,-0.0333333333333333,-0.155072463768116,-0.155072463768116,-0.133333333333333,-0.133333333333333,-0.1,-0.1,0.12081825476196,-0.0668748373666407,-0.208831446946201,0.0415883967404666,0.288501742160279,0.1,0.0296622375747448,0.0869703166333966,0.0869703166333966,0.16891861761427,0.0476190476190476,0.181912967896756,0.0348900215824034,0.0299719887955182,0.16891861761427,0.19160368954624,0.153461538461538,0.210380952380952,0.2,0.1,0.3,-0.1,0.0758771929824561,0.25,0.291176470588235,0.291176470588235,0.141220193051492,0.333333333333333,0.351858435681965,0.149567026810724,0.137567026810724,0.397665056360709,0.116666666666667,0.162820512820513,0.57512025012025,0.148333333333333,0.168376068376068,0.374509803921569,0.418099547511312
"AKT",-0.116666666666667,-0.309111773808337,0.0903225806451613,0.096420141620771,-0.487409966498265,-0.469819605052482,-0.469819605052482,-0.469819605052482,-0.514720810128942,-0.0476190476190476,-0.16891861761427,-0.16891861761427,-0.155072463768116,-0.155072463768116,-0.133333333333333,-0.1,0.122787951731657,-0.0653457853788731,-0.214179040529089,0.0443019645796626,0.293013020355767,0.133333333333333,0.0330261519478335,0.0869703166333966,0.0869703166333966,0.181912967896756,0.0299719887955182,0.19160368954624,0.0412191355064541,0.0348900215824034,0.182885098061197,0.198065228007779,0.14457264957265,0.225182396424274,0.3,0.1,0.333333333333333,-0.1,0.088697705802969,0.291176470588235,0.291176470588235,0.303371592539455,0.155505907337206,0.374509803921569,0.362417441893145,0.158657935901633,0.149567026810724,0.408441998716598,0.162820512820513,0.168376068376068,0.594071863023476,0.160916114790287,0.181007647323437,0.418099547511312,0.335271264683029
"cMet",-0.1,-0.294426713947991,0.0954887218045113,0.106127019676852,-0.329451931716083,-0.321904761904762,-0.321904761904762,-0.321904761904762,-0.212460364981373,-0.15,0.0933333333333333,0.0933333333333333,0.1,0.2,0.1,0.1,0.0974697528096592,-0.213969625879738,-0.177953996486605,-0.0351204837336224,0.139535864978903,-0.2,-0.119793190202443,0.12987012987013,0.12987012987013,-0.0910077519379845,0.19,-0.0771615980918307,0.221818181818182,0.22,-0.0887878787878788,-0.0737717675833561,0.306666666666667,-0.118412698412698,0.2,0.1,0.3,-0.142857142857143,0.0349206349206349,0.26,0.2475,0.275277777777778,0.180426556587547,0.333333333333333,0.295555555555556,0.179208410636982,0.148299319727891,0.278128294542211,0.14,0.149090909090909,0.305837173579109,0.118856795378535,0.136590909090909,0.34,0.37125
"miR200",-0.2,-0.183002919847609,-0.177635467980296,-0.179330383234533,-0.303579493669195,-0.293853807883659,-0.293853807883659,-0.293853807883659,-0.3010792116126,-0.114285714285714,-0.260676056338028,-0.254415186772811,-0.248,-0.241739130434783,-0.22,-0.2,-0.179127033135388,0.0311972485592118,-0.0713603492371461,0.122643914589371,0.095527453576234,0.22,0.238266784539864,0.191173835125448,0.191173835125448,0.261156759806519,0.144285714285714,0.265918664568423,0.118157081014224,0.121558441558442,0.267269462931435,0.269403513053272,0.115157962604771,0.294873518567567,0.1,0.2,0.2,0.174187192118227,0.190907522429262,0.179166666666667,0.181127450980392,0.179514547754586,0.200254237288136,0.215789473684211,0.217455354197883,0.22524814531528,0.218038113967318,0.215572760572761,0.22,0.241518987341772,0.303216959623851,0.257848445616559,0.242605943863511,0.247218045112782,0.271746346999574
"ZEB2",-0.357142857142857,-0.341404521404521,-0.311384615384615,-0.307559478772594,-0.292780713219685,-0.279718614718615,-0.279718614718615,-0.279718614718615,-0.278881573192785,-0.25,-0.230839160839161,-0.223157894736842,-0.215454545454545,-0.21,-0.195454545454545,-0.15,-0.131011054457023,-0.115149068014278,-0.0112123428026346,0.0623753113805509,0.178843822843823,0.19,0.2108074780119,0.231912813089436,0.231912813089436,0.232417153996101,0.234210526315789,0.238050956813003,0.238223114828771,0.240662139219015,0.240930903958427,0.242206800968847,0.249212454212454,0.267323463935279,0.3,0.3,0.311111111111111,0.315384615384615,0.333060183421774,0.333766233766234,0.335584415584416,0.34034632034632,0.352076471915182,0.373611111111111,0.377665056360709,0.377873910127431,0.377873910127431,0.381667855736247,0.382857142857143,0.390174216027875,0.396224912341222,0.397153771184847,0.40562876148242,0.411388888888889,0.427276739356179
