"","ZEB1","GSK3","Jagged","NOTCH","AXIN2","ILK","TWIST1","Wnt","cMet","SRC","SHH","SMO","cateninmemb","RAF","PI3K","DELTA","RAS","EGR1","cfos","MEK","ERK","Destcompl","TrCP","SUFU","LIV1","SNAI1","Patched","Csn","CD44","FUS","TCFLEF","cateninnuc","STAT","Frizzled","GLI","DSH","IKK","RKIP","AKT","NFB","SMAD","miR200","Ecadherin","HEY1","Csl","NOTCHic","SOSGRB2","SNAI2","PAK1","FOXC2","CDC42","TGFR","TGF","ZEB2","KLF4"
"IKK",-0.194456140350877,0.0208241758241758,-0.0521243361449547,-0.147186147186147,-0.167142857142857,0.0333333333333333,-0.118856209150327,-0.133333333333333,-0.133333333333333,-0.133333333333333,0.0888888888888889,0.1,-0.0833714237345522,-0.138777979431337,-0.138777979431337,-0.138777979431337,-0.144411782248238,0.1,0.0571428571428571,0.0766984126984127,0.0611428571428571,0.113382494753743,0,-0.1,0.1,0.0658538309301668,-0.0888888888888889,-0.1,0.141025641025641,-0.12,0.138200782268579,0.139466605053389,0.1,0.133333333333333,0.141025641025641,0.1,-0.197619047619048,0.0804189435336976,-0.18951093951094,-0.114285714285714,-0.0363036303630363,0.0915161649944259,0.165824211380926,-0.0298245614035088,0.109090909090909,0.132900432900433,0.053781512605042,-0.109506968693109,0.1,0.105512265512266,0.1,0.127272727272727,0.137672727272727,0.194456140350877,0.184615384615385
"NFB",-0.199436983262755,0.0220006464124111,-0.0492466383032281,-0.146540985895825,-0.168561296859169,0.0363036303630363,-0.119173669467787,-0.141025641025641,-0.141025641025641,-0.133333333333333,0.0937081659973226,0.0888888888888889,-0.0828434406300116,-0.144411782248238,-0.144411782248238,-0.144411782248238,-0.13993417030794,0.0571428571428571,0.0611428571428571,0.0799663865546218,0.0766984126984127,0.114046946580986,-0.1,-0.12,0.1,0.0622921870945504,-0.0888888888888889,-0.114285714285714,0.138200782268579,-0.1,0.139466605053389,0.13938817368084,0.133333333333333,0.133333333333333,0.137654854508787,0.133333333333333,-0.18951093951094,0.0842650973798515,-0.182844272844273,-0.197619047619048,-0.0314709166083895,0.0930267390125528,0.167108320530204,-0.0316102756892231,0.132900432900433,0.147186147186147,0.0674657231313578,-0.105848432107743,0.1,0.113081986627803,0.127272727272727,0.137672727272727,0.145267663981588,0.199436983262755,0.196153846153846
"GSK3",-0.201846400117093,0.00327198155885749,-0.0813460862784232,-0.156244343891403,-0.173411280002349,-0.0669820521337624,-0.15697192904459,-0.121347486362966,-0.121321515709804,-0.123308270676692,-0.0191337238802528,-0.012987012987013,0.0020320266136725,-0.0795927035999194,-0.0795927035999194,-0.0795927035999194,-0.0798027876335329,0.0376470588235294,0.0450544662309368,0.0352458537907454,0.0397913083362,0.0485261626258536,-0.0866666666666667,0.0272727272727273,0.125,0.0784800263212801,0.014827503784559,-0.0616666666666667,0.122750087138376,0.012987012987013,0.123195323113443,0.123326902060811,0.119736842105263,0.123308270676692,0.122762580702589,0.119736842105263,-0.0644683908045977,0.0943884185989449,-0.062758989095196,-0.0679166666666667,0.0677316773211687,0.0944383745563316,0.112590608958653,0.0771053043898745,0.157563025210084,0.155465123112182,0.120907543959161,0.218701714494157,0.179420289855072,0.169075322881932,0.180372670807453,0.179327374640206,0.178558143870975,0.201846400117093,0.204747248339787
"DSH",-0.201994988527197,0.104103928314265,-0.0782803928477663,-0.155465123112182,-0.172345830991695,-0.0613216747752718,-0.156331724179033,-0.123308270676692,-0.123308270676692,-0.119736842105263,-0.014827503784559,-0.012987012987013,0.00167835729448594,-0.0826739360929166,-0.0826739360929166,-0.0826739360929166,-0.0795927035999194,0.02,0.0376470588235294,0.0397913083362,0.0450544662309368,0.0483500442743214,-0.0666666666666667,0,0.1,0.0754899930986887,0.012987012987013,-0.0866666666666667,0.121321515709804,0.0272727272727273,0.122750087138376,0.123195323113443,0.125,0.119736842105263,0.121347486362966,0.125,-0.0679166666666667,0.0926340326340326,-0.0644683908045977,-0.0616666666666667,0.0669820521337624,0.0940866746735649,0.113677207575709,0.0705309099262067,0.15952380952381,0.157563025210084,0.119512195121951,0.217666339170602,0.153333333333333,0.169553791781454,0.179420289855072,0.180372670807453,0.179327374640206,0.201994988527197,0.206273965897038
"Frizzled",-0.204357193251606,0.101551724137931,-0.0775051990493167,-0.157563025210084,-0.171923890063425,-0.0566487775790101,-0.158459383753501,-0.119736842105263,-0.119736842105263,-0.125,-0.012987012987013,-0.0272727272727273,0.00226728544525155,-0.0818865345181135,-0.0818865345181135,-0.0818865345181135,-0.0826739360929166,0,0.02,0.0450544662309368,0.0376470588235294,0.0472050061063825,-0.1,0,0.1,0.0746204278812974,0.012987012987013,-0.0666666666666667,0.123308270676692,0,0.121321515709804,0.122750087138376,0.1,0.125,0.123308270676692,0.2,-0.0616666666666667,0.0933333333333333,-0.0679166666666667,-0.0866666666666667,0.0613216747752718,0.0953061868686869,0.113940596513374,0.0635133660665576,0.142857142857143,0.15952380952381,0.1,0.215221636027412,0.133333333333333,0.171718293945956,0.153333333333333,0.179420289855072,0.180372670807453,0.204357193251606,0.203361344537815
"RKIP",-0.209434720229555,0.00386130811662727,-0.136413614681866,-0.10951825951826,-0.0149085794655415,-0.153754813863928,-0.180834818775995,-0.02,-0.0157894736842105,0,-0.135081967213115,-0.12,0.0859706765589119,0.114285714285714,0.114285714285714,0.114285714285714,0.116849816849817,0.17,0.07,0.0617828319882612,0.0596551724137931,0.00735137260479105,0.1,0.1,0,0.128866795946795,0.14,0.1,0.0157894736842105,0.1,0.0164887743835112,0.0147076039000507,0,0,0.02,0,0.126785714285714,0.16624649859944,0.147997835497835,0.114285714285714,0.148804318814423,0.115250632065024,-0.0658687508234421,0.159581881533101,0.0888888888888889,0.097979797979798,0.262539682539683,0.402100600338054,0.2,0.210506926024167,0.193333333333333,0.198095238095238,0.212113929684023,0.209434720229555,0.201434720229555
"SMAD",-0.210097407303881,-0.0710294133602404,-0.143917050691244,-0.111313628899836,-0.0206339036880088,-0.160319315387809,-0.107283504705463,-0.0314102564102564,-0.0180392156862745,-0.02,-0.142170259086207,-0.140833333333333,-0.0195725885094575,0.131724531654663,0.131724531654663,0.131724531654663,0.131724531654663,-0.0285714285714286,-0.0124423963133641,-0.0168475841487844,-0.0101168149180152,-0.00916934813418899,0.15,0.158333333333333,0.02,0.137679457639135,0.138081039755352,0.183333333333333,0.0191301247771836,0.145833333333333,0.0200799212493681,0.0201812383719619,0.02,0.0333333333333333,0.0328491053311197,0.0333333333333333,0.176610644257703,0.155092059576717,0.17527731092437,0.178571428571429,0.0627002677687609,0.106831113571483,0.0488056760742324,0.178538259232694,0.117142857142857,0.113694581280788,0.17561372375037,0.176498899669661,0.195238095238095,0.196090808600727,0.202280348759222,0.200604371105591,0.196620307360571,0.210097407303881,0.21385260198147
"ERK",-0.211506961199434,0.00184794969999909,-0.133569451142462,-0.108309128353814,-0.0162225763892945,-0.148435315124386,-0.179298491026075,-0.0206993006993007,-0.0164887743835112,-0.0157894736842105,-0.131330901569466,-0.135081967213115,0.0854186986380287,0.116532356532357,0.116532356532357,0.116532356532357,0.118622565553259,0.0596551724137931,0.0617828319882612,-0.0329386164797054,-0.0332171680117388,0.00643436119403692,0.114285714285714,0.12,0,0.124041297371296,0.131813993356906,0.126785714285714,0.0147076039000507,0.14,0.0152652247178945,0.0154735580512279,0.0157894736842105,0.02,0.0189449147343884,0.02,0.149174306086071,0.163739534811139,0.14825687489341,0.147997835497835,0.150866926066635,0.114953934438605,-0.0638517889847653,0.154468633006883,0.10951825951826,0.110248186525559,0.2658622283865,0.403551897949502,0.198095238095238,0.21291394843119,0.212113929684023,0.21503363771322,0.214209461889044,0.211506961199434,0.212378632678256
"MEK",-0.212609323404158,0.000667204922524071,-0.134774270419571,-0.110248186525559,-0.0167103812673433,-0.148804318814423,-0.181933719874896,-0.02,-0.0157894736842105,-0.0157894736842105,-0.131813993356906,-0.14,0.0859706765589119,0.116849816849817,0.116849816849817,0.116849816849817,0.116532356532357,0.07,0.0596551724137931,-0.0332171680117388,0.0617828319882612,0.00609614247926803,0.1,0.1,0,0.125661667741667,0.135081967213115,0.114285714285714,0.0164887743835112,0.12,0.0147076039000507,0.0152652247178945,0,0.02,0.0206993006993007,0,0.147997835497835,0.16624649859944,0.149174306086071,0.126785714285714,0.148435315124386,0.116179424634684,-0.064229406561147,0.154127336078556,0.097979797979798,0.10951825951826,0.258095238095238,0.402830527345354,0.193333333333333,0.214110529627771,0.198095238095238,0.212113929684023,0.21503363771322,0.212609323404158,0.209277857484457
"Csn",-0.212825475599669,0.100353236004517,-0.0787728470778064,-0.158899433899434,-0.190085969468052,-0.0631275879917184,-0.158982390525168,-0.152243456584961,-0.152243456584961,-0.153448275862069,-0.0274699094900047,-0.0274170274170274,-0.0285424851895242,-0.079678437607973,-0.079678437607973,-0.079678437607973,-0.0779509903910824,0.00666666666666667,0.0248484848484848,0.0282169913419913,0.0313419913419913,0.0591002019784309,0.02,0.0142857142857143,0.133333333333333,0.0643824952152653,0.0241912209654145,-0.08,0.151799012140516,0.0365079365079365,0.152120555548876,0.153022539914481,0.15,0.153448275862069,0.151806775362253,0.15,-0.055,0.0833811016569637,-0.0558,-0.055,0.0680119067577853,0.102383158880738,0.120829068261212,0.0701910299003322,0.162121212121212,0.160822510822511,0.105458318920789,0.239747803136204,0.152272727272727,0.166178249847956,0.17466078697422,0.179788992102425,0.176686366804096,0.212825475599669,0.217420096243626
"TCFLEF",-0.221928584086479,-0.0683922414075159,-0.189364077292707,-0.236699497344788,-0.4936336996337,-0.128510366826156,-0.226861744829512,-0.134886877828054,-0.140769230769231,-0.143333333333333,0.0124662388208796,0.0147619047619048,0.100576946468046,-0.0479522764125652,-0.0479522764125652,-0.0479522764125652,-0.0483464945465994,0.0671428571428571,0.0842160278745645,0.0745561639289862,0.0813588850174216,0.126217916194994,-0.0571428571428571,-0.0166666666666667,0.133333333333333,0.0716013089653257,-0.0179877112135177,-0.0298701298701299,0.142656023222061,-0.01,0.0427705707592889,0.0432001240238937,0.133333333333333,0.137450980392157,0.137371349877744,0.127450980392157,-0.022644323418517,0.163789778206365,-0.0237312799402561,-0.0258701298701299,0.130996026481988,0.103441819224952,-0.0622206872968979,0.150373203920449,0.24095329188586,0.237031723258409,0.157696913864579,0.341732674533238,0.256410256410256,0.264878770247133,0.263387000596303,0.264321580035555,0.260016944273966,0.221928584086479,0.226069518716578
"Csl",-0.223978612289926,0.0106355951983396,-0.0487103433419659,-0.0330617599717769,-0.0259154373298041,-0.0655018842069202,-0.130580295217532,-0.0235867358448004,-0.0235631035631036,-0.0246620046620047,-0.0484201484136052,-0.0447586726998492,-0.0180604332101365,0.0391589919326051,0.0391589919326051,0.0391589919326051,0.0402619331090757,-0.02,-0.0128571428571429,-0.0182919254658385,-0.0128571428571429,0.0156762474148215,0.0333333333333333,0.0583333333333333,0.02,0.144587827631306,0.0458339415170535,0.0666666666666667,0.0231549402977974,0.0506410256410256,0.0239182990764234,0.0237467724898025,0.0276923076923077,0.0246620046620047,0.0235867358448004,0.0276923076923077,0.0643410852713178,0.166224516891142,0.0666666666666667,0.0666666666666667,0.0671685508735868,0.113369876940091,0.0488483310881722,0.168432465516864,0.0375115207373272,0.0348799417899588,0.189518808106741,0.191553196120325,0.231111111111111,0.234883506238981,0.237562724014337,0.234378010638541,0.23233719431201,0.223978612289926,0.226297446514838
"NOTCHic",-0.225636070853462,0.00960466736328805,-0.0476686766752992,-0.0348799417899588,-0.0261725067385445,-0.0619047619047619,-0.132160430657712,-0.0246620046620047,-0.0246620046620047,-0.0276923076923077,-0.0458339415170535,-0.0506410256410256,-0.0182133384089133,0.0376811594202899,0.0376811594202899,0.0376811594202899,0.0391589919326051,-0.02,-0.02,-0.0128571428571429,-0.0128571428571429,0.0152496782496782,0,0.0333333333333333,0,0.143797313797314,0.0447586726998492,0.0333333333333333,0.0235631035631036,0.0583333333333333,0.0231549402977974,0.0239182990764234,0.02,0.0276923076923077,0.0235867358448004,0.02,0.0666666666666667,0.166685346384229,0.0643410852713178,0.0666666666666667,0.0655018842069202,0.114023471711333,0.0495460055067769,0.163857302118172,0.134285714285714,0.0375115207373272,0.183827751196172,0.191180340042771,0.211111111111111,0.237182356813693,0.231111111111111,0.237562724014337,0.234378010638541,0.225636070853462,0.227726017943409
"STAT",-0.226914111529496,-0.0706408544726302,-0.0778187071144818,-0.0742808485241381,-0.164417543241073,-0.0718196457326892,-0.225229701166733,-0.114285714285714,-0.114285714285714,-0.114285714285714,-0.0215438704808946,-0.0183333333333333,-0.0898283584657971,-0.0482165012406948,-0.0482165012406948,-0.0482165012406948,-0.046723963927262,0,0,0.00265654648956357,0.00588235294117647,0.0853457058088604,0,0,0.2,0.139442953360004,0.0206589147286822,0,0.113431013431013,0.025,0.113746470844263,0.114342418400878,0.114285714285714,0.114285714285714,0.113445378151261,0.114285714285714,0.0352380952380952,0.164916344916345,0.0403228410008071,0.04,0.0752679215947582,0.115058916986628,0.194604895845307,0.0773333333333333,0.0725490196078431,0.0752517223105458,0.124630541871921,0.214823895496566,0.259090909090909,0.267164280845262,0.277840909090909,0.280472488038278,0.279989396250838,0.226914111529496,0.330550604080016
"TrCP",-0.227164813642862,-0.0100313852813853,-0.0759027777777778,-0.0629304029304029,-0.141095207113424,-0.0688342720600785,-0.159501788067005,-0.111520467836257,-0.111591591591592,-0.108888888888889,-0.0451144677703817,-0.0379416282642089,-0.0939929717688648,0.0209482437961634,0.0209482437961634,0.0209482437961634,0.0236755165234362,0,0.00434782608695652,-0.00329059199213952,0.00604274134119381,0.0956390630795523,0.0333333333333333,0.0476190476190476,0.1,0.150508815273626,0.0441144677703817,0.0583333333333333,0.10961139357179,0.0476190476190476,0.111463245423641,0.11091152128571,0.12,0.108888888888889,0.110057053202111,0.12,0.0603070175438596,0.170748367654445,0.0695662768031189,0.0708333333333333,0.0714149172213688,0.115060708178057,0.130421416246565,0.0736271570097304,0.0666666666666667,0.0651282051282051,0.178946644664466,0.2851405796458,0.257142857142857,0.255819192269002,0.270868347338936,0.263292589763178,0.263292589763178,0.227164813642862,0.230118136872235
"LIV1",-0.227164813642862,-0.0100313852813853,-0.0759027777777778,-0.0629304029304029,-0.141095207113424,-0.0688342720600785,-0.159501788067005,-0.111520467836257,-0.111591591591592,-0.108888888888889,-0.0451144677703817,-0.0379416282642089,-0.0939929717688648,0.0209482437961634,0.0209482437961634,0.0209482437961634,0.0236755165234362,0,0.00434782608695652,-0.00329059199213952,0.00604274134119381,0.0956390630795523,0.0333333333333333,0.0476190476190476,0.1,0.150508815273626,0.0441144677703817,0.0583333333333333,0.10961139357179,0.0476190476190476,0.111463245423641,0.11091152128571,0.12,0.108888888888889,0.110057053202111,0.12,0.0603070175438596,0.170748367654445,0.0695662768031189,0.0708333333333333,0.0714149172213688,0.115060708178057,0.130421416246565,0.0736271570097304,0.0666666666666667,0.0651282051282051,0.178946644664466,0.2851405796458,0.257142857142857,0.255819192269002,0.270868347338936,0.263292589763178,0.263292589763178,0.227164813642862,0.230118136872235
"EGR1",-0.227164813642862,-0.0100313852813853,-0.0759027777777778,-0.0629304029304029,-0.141095207113424,-0.0688342720600785,-0.159501788067005,-0.111520467836257,-0.111591591591592,-0.108888888888889,-0.0451144677703817,-0.0379416282642089,-0.0939929717688648,0.0209482437961634,0.0209482437961634,0.0209482437961634,0.0236755165234362,0,0.00434782608695652,-0.00329059199213952,0.00604274134119381,0.0956390630795523,0.0333333333333333,0.0476190476190476,0.1,0.150508815273626,0.0441144677703817,0.0583333333333333,0.10961139357179,0.0476190476190476,0.111463245423641,0.11091152128571,0.12,0.108888888888889,0.110057053202111,0.12,0.0603070175438596,0.170748367654445,0.0695662768031189,0.0708333333333333,0.0714149172213688,0.115060708178057,0.130421416246565,0.0736271570097304,0.0666666666666667,0.0651282051282051,0.178946644664466,0.2851405796458,0.257142857142857,0.255819192269002,0.270868347338936,0.263292589763178,0.263292589763178,0.227164813642862,0.230118136872235
"SNAI1",-0.227533817332899,-0.0112855106939265,-0.0780204248366013,-0.063338566195709,-0.142027608045825,-0.0714149172213688,-0.160424864990082,-0.110057053202111,-0.10961139357179,-0.111591591591592,-0.0472503901004788,-0.0441144677703817,-0.0937511755685193,0.0236755165234362,0.0236755165234362,0.0236755165234362,0.0225260912360799,0.00434782608695652,0.00604274134119381,-0.00463588347196015,-0.00329059199213952,0.0953101157111312,0.0583333333333333,0.0476190476190476,0.12,0.05193230281811,0.0451144677703817,0.0708333333333333,0.111463245423641,0.0379416282642089,0.11091152128571,0.111066399964079,0.108888888888889,0.111520467836257,0.1120680221235,0.108888888888889,0.0695662768031189,0.171166777696286,0.0702607212475633,0.0603070175438596,0.0703079061512581,0.115156769657403,0.130057212292351,0.0760081093906828,0.0651282051282051,0.0629304029304029,0.17479570126824,0.285107056347107,0.270868347338936,0.255437997859853,0.263292589763178,0.263292589763178,0.262687751053501,0.227533817332899,0.229806610392484
"cfos",-0.228129443867943,-0.0122132034632035,-0.0759027777777778,-0.0651282051282051,-0.141724137931034,-0.0656084656084656,-0.160588744588745,-0.108888888888889,-0.108888888888889,-0.12,-0.0441144677703817,-0.0476190476190476,-0.0945424223183153,0.0221677559912854,0.0221677559912854,0.0221677559912854,0.0209482437961634,0.08,0,0.00604274134119381,0.00434782608695652,0.0945864315006049,0,0.0333333333333333,0.1,0.150270151789139,0.0379416282642089,0.0333333333333333,0.111591591591592,0.0476190476190476,0.10961139357179,0.111463245423641,0.1,0.12,0.111520467836257,0.1,0.0708333333333333,0.169090909090909,0.0603070175438596,0.0583333333333333,0.0688342720600785,0.114553093964859,0.131459478530302,0.0692153923038481,0.0666666666666667,0.0666666666666667,0.168055555555556,0.284236420513793,0.242857142857143,0.256508847441416,0.257142857142857,0.270868347338936,0.263292589763178,0.228129443867943,0.233396825396825
"Patched",-0.233333333333333,-0.0245421245421245,-0.20021164021164,-0.260606060606061,-0.37012987012987,-0.1,-0.186111111111111,-0.3,-0.2,-0.2,0.161666666666667,0.0666666666666667,0.146344086021505,-0.0269230769230769,-0.0269230769230769,-0.0269230769230769,-0.0331730769230769,0.1,0.1,0.0876923076923077,0.08,0.0662937062937063,0,0,0.1,0.17258064516129,-0.186666666666667,0,0.22,-0.1,0.22,0.222912621359223,0.1,0.3,0.3125,0.2,-0.05,0.16,-0.0642857142857143,-0.1,0.1,0.116666666666667,-0.00263214670981661,0.105128205128205,0.2,0.233333333333333,0.166666666666667,0.410819923371647,0.3,0.26,0.3,0.36,0.368333333333333,0.233333333333333,0.233333333333333
"ZEB1",-0.235178483802701,-0.0851160602258469,-0.121067197667511,-0.0837637741046832,0.0853797292713762,-0.124284788102515,-0.0337537038622133,-0.0231774323237738,-0.0177206342199169,-0.0157598499061914,-0.13237839458009,-0.13219696969697,-0.0306147538092325,0.0889125280179174,0.0889125280179174,0.0889125280179174,0.0909597721124056,0.0333333333333333,0.0373333333333333,0.0465999827243673,0.047921568627451,-0.015555331058171,0.133333333333333,0.133333333333333,0,0.0995434537745766,0.134157754010695,0.133333333333333,0.0156373008865835,0.145833333333333,0.0167011306738176,0.0167989780319389,0.0230769230769231,0.0212543554006969,0.0214592192653545,0.0285714285714286,0.148173712970952,0.11258057223241,0.151030855828095,0.159649122807018,0.1276501727179,0.133198824804246,-0.0169692629284186,0.133852494655603,0.0854166666666667,0.0854166666666667,0.136218323586745,-0.0461982550975861,0.157662835249042,0.177692377933446,0.176503414959187,0.174980572319593,0.174586871532192,0.235178483802701,0.233582360362886
"GLI",-0.239885304659498,0.0609194039246911,-0.106366197030513,-0.0685572186434255,-0.141006944444444,-0.0979183484190097,-0.165343206124191,-0.193851992409867,-0.112761605035405,-0.110322580645161,0.0177768053290192,0.0243107769423559,-0.0974957475235211,0.0995312006909495,0.0995312006909495,0.0995312006909495,0.101709418512732,-0.0942857142857143,-0.0942857142857143,-0.110558943818612,-0.103376623376623,0.107991748147407,0.0833333333333333,-0.0190476190476191,0.1,0.155921124174384,-0.0181883279627641,0.0944444444444444,0.111037467104371,-0.0190476190476191,0.112011493078397,0.111353991584075,0.12,0.190322580645161,0.0925753966651863,0.2,0.0976667860126507,0.144060408310657,0.107041786012651,0.0997076023391813,0.0984588889595502,0.120441601741911,0.13609953453924,0.103784020167721,0.0729619805481874,0.0704619805481874,0.203255947592231,0.279122769615246,0.381666666666667,0.273081140350877,0.385114942528736,0.375680980264585,0.376386862617526,0.239885304659498,0.24167395967396
"CD44",-0.242857142857143,0.0648809523809524,-0.142843822843823,-0.119548872180451,-0.13,-0.133333333333333,-0.228498168498168,-0.1,-0.2,-0.2,-0.118181818181818,-0.1,-0.0733150183150183,0.0142857142857143,0.0142857142857143,0.0142857142857143,0.0171428571428571,0.2,0.225,0.205,0.225,0.100873076503329,0,0.1,0.1,0.241121743753323,0.1,0.1,0.106666666666667,0.1,0.113643410852713,0.113643410852713,0.1,0.1,0.106666666666667,0,0.1,0.281111111111111,0.106666666666667,0.1,0.143537414965986,0.158581466842336,0.117003582672891,0.137426900584795,0.1,0.114285714285714,0.161904761904762,0.337307137307137,0.2,0.266666666666667,0.26,0.2725,0.2725,0.242857142857143,0.342857142857143
"ZEB2",-0.24365562259263,-0.183530165604251,-0.158607061066907,-0.148411937788987,-0.144404825160153,-0.132877263581489,-0.132508631140979,-0.123170163170163,-0.115964912280702,-0.113333333333333,-0.106335128286348,-0.105714285714286,-0.10120057366016,0.026948051948052,0.026948051948052,0.026948051948052,0.0293035123334909,0.0416666666666667,0.0469298245614035,0.0553877317211203,0.0566072439162422,0.0872300040871743,0.1,0.1,0.1,0.102338136764414,0.10815331010453,0.111111111111111,0.11411306042885,0.114285714285714,0.115521511133075,0.115781251392816,0.12,0.120606060606061,0.121335300784842,0.127272727272727,0.129444444444444,0.129661835748792,0.134117341640706,0.136111111111111,0.136535800166855,0.13689010112969,0.144792605360642,0.146173020527859,0.148717948717949,0.150051282051282,0.170128205128205,0.173216474619141,0.214285714285714,0.221412587412587,0.234285714285714,0.234965986394558,0.236024187452759,0.24365562259263,0.345101824651845
"FUS",-0.24703823091054,-0.0278541354522781,-0.205030917320074,-0.272878787878788,-0.386064759827878,-0.107936507936508,-0.196305136365192,-0.3125,-0.22,-0.22,0.162171717171717,0.161666666666667,0.150786240385014,-0.0261963327370304,-0.0261963327370304,-0.0261963327370304,-0.0248862890689081,0.08,0.0876923076923077,0.0881102805240736,0.0846620046620047,0.0675068562965355,-0.1,-0.0666666666666667,0.2,0.170648929078631,-0.167222222222222,-0.05,0.222912621359223,-0.186666666666667,0.222912621359223,0.223727838750528,0.2,0.3125,0.314423076923077,0.3,-0.0362857142857143,0.173573883161512,-0.0401318681318681,-0.0642857142857143,0.109871991807476,0.123547228140536,-0.00428710298540677,0.120035037426342,0.260606060606061,0.270606060606061,0.192982456140351,0.424238748711478,0.36,0.279872958257713,0.368333333333333,0.38454954954955,0.386677209124018,0.24703823091054,0.256420765027322
"SUFU",-0.24752132269798,-0.0278541354522781,-0.205743506393708,-0.273672438672439,-0.388172488165115,-0.109871991807476,-0.197748435334264,-0.314423076923077,-0.222912621359223,-0.22,0.161785616785617,0.167222222222222,0.151468368625123,-0.0248862890689081,-0.0248862890689081,-0.0248862890689081,-0.0233040105878955,0.0876923076923077,0.0846620046620047,0.0842804932900311,0.0881102805240736,0.0677726723518252,-0.05,-0.186666666666667,0.2,0.169797140322242,-0.162171717171717,-0.0642857142857143,0.222912621359223,-0.161666666666667,0.223727838750528,0.22388129143595,0.22,0.3125,0.314794824134973,0.3125,-0.0401318681318681,0.175614699488043,-0.0327493177962977,-0.0362857142857143,0.112412407511864,0.124662469776223,-0.00459606282062819,0.123649495257667,0.270606060606061,0.272878787878788,0.200674763832659,0.426150416476804,0.368333333333333,0.280617375131162,0.38454954954955,0.386677209124018,0.387663402417903,0.24752132269798,0.258217172212951
