"","ZEB2","ZEB1","TGF","CDC42","PAK1","Ecadherin","Csn","AXIN2","miR200","Patched","SHH","SMO","FUS","RKIP","Frizzled","ILK","SMAD","Wnt","DSH","CD44","TrCP","cfos","SNAI1","EGR1","Csl","TWIST1","NOTCH","SNAI2","FOXC2","NOTCHic","Jagged","Destcompl","ERK","STAT","LIV1","TCFLEF","cMet","MEK","HEY1","cateninnuc","SRC","GLI","SUFU","KLF4","NFB","RAS","RAF","PI3K","DELTA","IKK","AKT","SOSGRB2","cateninmemb","TGFR","GSK3"
"STAT",0.217374932759548,0.217374932759548,0.215824000878349,0.215340909090909,0.209090909090909,0.29609940066211,0.05,0.159421362950775,0.110262062465003,0.0589922480620155,0.0581072923098031,0.0566666666666667,0.05,0.156880630630631,0.114285714285714,0.0384863123993559,0.0373368871119996,0.10974025974026,0.114285714285714,0.107176157176157,0,0.04,0.125567592840125,0,-0.0509803921568627,0.00619625252308911,-0.0581176264785631,-0.0145003040865692,-0.0457246080436264,0.0590885002649709,0.0146497512785564,-0.0750793336325725,-0.0517647058823529,-0.114285714285714,0,-0.109384359068902,-0.10974025974026,-0.0528399746995572,-0.0413333333333333,-0.108073274444349,-0.114285714285714,-0.107219251336898,-0.05,-0.12020202020202,-0.07,-0.173950578990902,-0.173950578990902,-0.173950578990902,-0.173950578990902,-0.0842857142857143,-0.0893704600484261,-0.0960591133004926,-0.260944171462743,-0.215340909090909,-0.11064085447263
"CDC42",0.217913832199546,0.217913832199546,0.221008403361345,0.219047619047619,0.314285714285714,0.192931693926773,0.0333333333333333,0.138686371100164,0.110024615906969,0.0572964669738863,0.0535927632701826,0.0476190476190476,0.0476190476190476,0.160909090909091,0.12,0.0417989417989418,0.0401860385731353,0.101481481481481,0.1,0.10958958958959,0,0.04,0.141340347416297,-0.02,-0.0166666666666667,0.0768917748917749,-0.0320512820512821,0.0106265996776946,-0.0281013868962219,0.0397435897435897,0.00173611111111111,-0.0857544448950869,-0.0617391304347826,-0.1,-0.1,-0.103648995530184,-0.101481481481481,-0.0634340456890199,-0.0411294352823588,-0.108093439974628,-0.12,-0.109376218323587,-0.0333333333333333,-0.219873015873016,-0.0583333333333333,-0.149739624847229,-0.152178649237473,-0.152178649237473,-0.152178649237473,-0.0833333333333333,-0.0885964912280702,-0.155555555555556,-0.185508226287971,-0.221008403361345,-0.10211038961039
"SNAI1",0.218565620067907,0.218565620067907,0.221236457301059,0.221008403361345,0.221008403361345,0.193342382043606,0.0833333333333333,0.138035449694526,0.110037781693478,0.0555927632701826,0.0526801419109593,0.0535927632701826,0.0572964669738863,0.16390731093267,0.109376218323587,0.0388957159924902,0.0387727147624779,0.10401036466505,0.101481481481481,0.108093439974628,0.0583333333333333,0.0634340456890199,0.0372180939573749,0.0617391304347826,-0.0320512820512821,0.07675743821396,-0.0302930402930403,0.00882313107714377,-0.0286631009565996,0.0331501831501832,0.00196274409559325,-0.0876983672008514,-0.0621007123556866,-0.101481481481481,-0.12,-0.104783095147042,-0.103648995530184,-0.061652281862413,-0.0417246733775969,-0.107519285131554,-0.10958958958959,-0.108580748577299,-0.0476190476190476,-0.222676754190773,-0.0885964912280702,-0.153211784871113,-0.153375988483593,-0.153375988483593,-0.153375988483593,-0.0885964912280702,-0.0865131578947368,-0.164559852211636,-0.185905842488696,-0.22264774762364,-0.101506729244353
"NOTCH",0.219162640901771,0.219162640901771,0.218336917562724,0.211111111111111,0.2,0.204311262026033,0,0.128625336927224,0.111948051948052,0.0506410256410256,0.0624057315233786,0.0583333333333333,0.0333333333333333,0.162422634836428,0.08,0.0380952380952381,0.0414285714285714,0.103076923076923,0.1,0.0818648018648019,0,-0.02,0.137051282051282,0,0.08,0.0782542372881356,-0.0568663594470046,0.0136907754554813,-0.0430612244897959,-0.0657142857142857,0.0103799903799904,-0.0748372244073179,-0.0466666666666667,-0.1,0,-0.0917549117549118,-0.103076923076923,-0.0680952380952381,0.0623188405797102,-0.0831834831834832,-0.08,-0.0818648018648019,0,-0.215458937198068,-0.0333333333333333,-0.138550724637681,-0.14,-0.14,-0.14,-0.0666666666666667,-0.0888888888888889,-0.145263157894737,-0.191760912931181,-0.215111111111111,-0.0726227795193312
"TrCP",0.220164636058067,0.220164636058067,0.22264774762364,0.221008403361345,0.219047619047619,0.195215430950994,0.0583333333333333,0.136170647829724,0.112055072759761,0.0535927632701826,0.0555927632701826,0.0572964669738863,0.0476190476190476,0.16809141135108,0.101481481481481,0.0401860385731353,0.0388957159924902,0.109376218323587,0.12,0.103648995530184,0.0333333333333333,0.0617391304347826,0.136328414242072,0.04,-0.0397435897435897,0.081783079239601,-0.0331501831501832,0.00429748575364393,-0.0336186282755322,0.0320512820512821,-0.00133137355146558,-0.0919198584289215,-0.0634340456890199,-0.12,-0.1,-0.108093439974628,-0.10958958958959,-0.0621007123556866,-0.0411294352823588,-0.104783095147042,-0.101481481481481,-0.10401036466505,-0.0476190476190476,-0.219873015873016,-0.0833333333333333,-0.153375988483593,-0.149739624847229,-0.149739624847229,-0.149739624847229,-0.0885964912280702,-0.0885964912280702,-0.166446644664466,-0.186423977203722,-0.221008403361345,-0.0962922077922078
"PAK1",0.220164636058067,0.220164636058067,0.22264774762364,0.221008403361345,0.219047619047619,0.195215430950994,0.0583333333333333,0.136170647829724,0.112055072759761,0.0535927632701826,0.0555927632701826,0.0572964669738863,0.0476190476190476,0.16809141135108,0.101481481481481,0.0401860385731353,0.0388957159924902,0.109376218323587,0.12,0.103648995530184,0.0333333333333333,0.0617391304347826,0.136328414242072,0.04,-0.0397435897435897,0.081783079239601,-0.0331501831501832,0.00429748575364393,-0.0336186282755322,0.0320512820512821,-0.00133137355146558,-0.0919198584289215,-0.0634340456890199,-0.12,-0.1,-0.108093439974628,-0.10958958958959,-0.0621007123556866,-0.0411294352823588,-0.104783095147042,-0.101481481481481,-0.10401036466505,-0.0476190476190476,-0.219873015873016,-0.0833333333333333,-0.153375988483593,-0.149739624847229,-0.149739624847229,-0.149739624847229,-0.0885964912280702,-0.0885964912280702,-0.166446644664466,-0.186423977203722,-0.221008403361345,-0.0962922077922078
"LIV1",0.220164636058067,0.220164636058067,0.22264774762364,0.221008403361345,0.219047619047619,0.195215430950994,0.0583333333333333,0.136170647829724,0.112055072759761,0.0535927632701826,0.0555927632701826,0.0572964669738863,0.0476190476190476,0.16809141135108,0.101481481481481,0.0401860385731353,0.0388957159924902,0.109376218323587,0.12,0.103648995530184,0.0333333333333333,0.0617391304347826,0.136328414242072,0.04,-0.0397435897435897,0.081783079239601,-0.0331501831501832,0.00429748575364393,-0.0336186282755322,0.0320512820512821,-0.00133137355146558,-0.0919198584289215,-0.0634340456890199,-0.12,-0.1,-0.108093439974628,-0.10958958958959,-0.0621007123556866,-0.0411294352823588,-0.104783095147042,-0.101481481481481,-0.10401036466505,-0.0476190476190476,-0.219873015873016,-0.0833333333333333,-0.153375988483593,-0.149739624847229,-0.149739624847229,-0.149739624847229,-0.0885964912280702,-0.0885964912280702,-0.166446644664466,-0.186423977203722,-0.221008403361345,-0.0962922077922078
"Csl",0.220631844912412,0.220631844912412,0.219287276474866,0.218336917562724,0.215111111111111,0.203506033919619,0.0666666666666667,0.128935962462785,0.112610462063029,0.0570293874373571,0.0596155943339088,0.0624057315233786,0.0506410256410256,0.171665186923142,0.0818648018648019,0.0392702980472765,0.0381591869361654,0.0915422212196406,0.103076923076923,0.0831834831834832,0.0333333333333333,0.0680952380952381,0.136547277199451,0.0466666666666667,-0.0568663594470046,0.0766244120542386,-0.0490673163848037,0.0159879873288926,-0.0402803568590951,0.0463400436575309,0.0103282519693944,-0.0725191256870254,-0.0680952380952381,-0.103076923076923,-0.08,-0.0897483686796664,-0.0917549117549118,-0.0670082815734989,0.0583570507355674,-0.0850027997831541,-0.0818648018648019,-0.0834777050906083,-0.0583333333333333,-0.221173222912353,-0.0888888888888889,-0.138778919363847,-0.135102448775612,-0.135102448775612,-0.135102448775612,-0.0912144702842377,-0.0919896640826873,-0.162003734391411,-0.19212286093721,-0.217699974887565,-0.0791041144917627
"SHH",0.225,0.225,0.253333333333333,0.233333333333333,0.2,0.0588888888888889,0,0.247619047619048,0.116666666666667,0.333333333333333,0.253333333333333,0.3,0.2,0.16,0.2,0.0666666666666667,0.0666666666666667,0.2,0.2,0.1,0,0.1,0.166666666666667,0,-0.1,0.025,-0.2,-0.0192337164750958,-0.125,0.2,0.0657142857142857,-0.0012987012987013,-0.1,-0.1,0,-0.106666666666667,-0.1,-0.12,-0.0666666666666667,-0.0955555555555555,-0.1,-0.2,-0.2,-0.2,0,-0.207692307692308,-0.2,-0.2,-0.2,-0.1,-0.15,-0.15,-0.134336917562724,-0.233333333333333,0.00769230769230769
"AKT",0.229913954763863,0.229913954763863,0.298545114221357,0.288882352941176,0.280882352941176,0.212221631741749,-0.2,-0.042649131854908,0.125734553699838,0.0444444444444444,0.0370760233918129,0.0333333333333333,0.0333333333333333,0.20359742559231,0.0280193236714976,0.0611748699479792,0.0621849709580802,-0.00121144555927165,-0.0111111111111111,0.0174326222373385,-0.233333333333333,-0.0560224089635854,0.209855042194859,-0.0619047619047619,0.140384615384615,0.151826532858659,0.126773285722932,0.0299768467369815,-0.0759493856592701,-0.114578163771712,-0.0156407575229464,0.0359764899801954,0.0379896220783395,0.0111111111111111,0,-0.00320581811362718,0.00121144555927165,0.0316605081542889,-0.0479093759016652,-0.0145904334982426,-0.0280193236714976,-0.0172243086306725,0,-0.23058367071525,0.194117647058824,0.151467107354878,0.144479155547649,0.144479155547649,0.144479155547649,0.1710407239819,0.0740710270122035,-0.202094017094017,-0.103692771526117,-0.299451458632233,0.137224588434266
"PI3K",0.231283817777561,0.231283817777561,0.299451458632233,0.280882352941176,0.275,0.217221631741749,-0.233333333333333,-0.050952380952381,0.130547387924437,0.0333333333333333,0.0444444444444444,0.0333333333333333,0,0.214156431803491,-0.0111111111111111,0.0571748699479792,0.0611748699479792,0.0280193236714976,0,-0.00121144555927165,-0.2,-0.0619047619047619,0.199078099838969,-0.0333333333333333,0.125,0.168034483928996,0.114578163771712,0.0109818718626097,-0.0954982578397212,-0.140384615384615,-0.0249122807017544,0.0172006421720896,0.0560224089635854,0,0.1,-0.0174326222373385,-0.0280193236714976,0.0379896220783395,-0.0426462180069283,-0.00320581811362718,0.0111111111111111,0.00121144555927165,0,-0.217763157894737,0.2,0.144479155547649,0.148588744588745,0.148588744588745,0.148588744588745,0.194117647058824,0.1710407239819,-0.206538461538462,-0.105221823513885,-0.288882352941176,0.161014911014911
"ZEB1",0.235010983519229,0.235010983519229,0.194356007242259,0.193786440113277,0.192337164750958,0.161054055725361,0.153333333333333,0.128242732378386,0.130467401297071,0.147170231729055,0.14183215343724,0.141287878787879,0.145833333333333,0.121426813032229,0.0361207897793264,0.113211341774832,0.112730572544062,0.020736174394711,0.019047619047619,0.0220599731449803,0.133333333333333,0.112,0.104070423826561,0.1,0.0604166666666667,0.0142713886203321,0.0560899773132394,-0.0352426462780078,-0.0240419510178443,-0.0486519607843137,-0.0984579104869295,-0.017423619678882,-0.117882352941176,-0.0102564102564103,-0.0333333333333333,-0.014081249740725,-0.0116433064783137,-0.118322881575538,-0.103046245636919,-0.0200499385861262,-0.0273295809881176,-0.0313890953569103,-0.133333333333333,-0.240383367045174,-0.15859649122807,-0.156874687000371,-0.15892193109486,-0.15892193109486,-0.15892193109486,-0.166793212539546,-0.163936069682403,-0.142729044834308,-0.23866948711486,-0.196324511179267,-0.0288182140236128
"Patched",0.241666666666667,0.241666666666667,0.27,0.233333333333333,0.233333333333333,0.0598597626752967,0,0.256709956709957,0.123809523809524,0.253333333333333,0.253333333333333,0.333333333333333,0.3,0.174285714285714,0.2,0.0666666666666667,0.0666666666666667,0.2,0.2,0.106666666666667,0,0.1,0.16989247311828,0.1,-0.2,0.0287037037037037,-0.190909090909091,-0.00723371647509579,-0.125,0.2,0.0694179894179894,0.00859140859140859,-0.12,-0.1,-0.1,-0.0955555555555555,-0.1,-0.127692307692308,-0.0743589743589744,-0.100409924487594,-0.1,-0.2125,-0.2,-0.233333333333333,-0.1,-0.213942307692308,-0.207692307692308,-0.207692307692308,-0.207692307692308,-0.15,-0.164285714285714,-0.15,-0.131559139784946,-0.253333333333333,-0.00183150183150183
"FUS",0.244910921631833,0.244910921631833,0.273277745830937,0.27,0.253333333333333,0.0618109328719301,0.15,0.255125034885155,0.123095148574532,0.258888888888889,0.255858585858586,0.253333333333333,0.253333333333333,0.176748486336115,0.2125,0.0682539682539683,0.070189452124936,0.201388888888889,0.2,0.100409924487594,0.1,0.127692307692308,0.167017360809205,0.12,-0.190909090909091,0.0288268943412153,-0.193636363636364,-0.00977111922793839,-0.119736842105263,0.195909090909091,0.0646847708293491,0.00633146404322775,-0.136783216783217,-0.1,-0.1,-0.09815428538985,-0.0955555555555555,-0.137932642070573,-0.080570154483198,-0.100871676694198,-0.106666666666667,-0.20715811965812,-0.333333333333333,-0.254918032786885,-0.164285714285714,-0.214378988915015,-0.213942307692308,-0.213942307692308,-0.213942307692308,-0.168285714285714,-0.172131868131868,-0.173481781376518,-0.135030420362047,-0.275405405405405,-0.000721004055744452
"SMO",0.246751412429379,0.246751412429379,0.275405405405405,0.253333333333333,0.233333333333333,0.0631807958856288,0.1,0.253261680847888,0.125075346594334,0.253333333333333,0.258888888888889,0.253333333333333,0.333333333333333,0.17984126984127,0.2,0.0666666666666667,0.0682539682539683,0.2125,0.2,0.0955555555555555,0,0.12,0.165130568356375,0.1,-0.2,0.0345860566448802,-0.195909090909091,-0.0139003831417625,-0.125,0.190909090909091,0.0622751322751323,0.00238985820381169,-0.127692307692308,-0.1,-0.1,-0.100409924487594,-0.106666666666667,-0.136783216783217,-0.0791208791208791,-0.09815428538985,-0.1,-0.201388888888889,-0.3,-0.25,-0.15,-0.213942307692308,-0.213942307692308,-0.213942307692308,-0.213942307692308,-0.164285714285714,-0.168285714285714,-0.165789473684211,-0.13447176114417,-0.27,0.00496461467335254
"Csn",0.249298593879239,0.249298593879239,0.333098148956803,0.325644504748982,0.318181818181818,0.196966071815942,-0.095,-0.0307303470254958,0.131945325918299,0.0453055904668808,0.0403875576799955,0.0334776334776335,0.0365079365079365,0.243659519622514,0.014367816091954,0.0522347308488613,0.0524918002576016,-0.00852375017310622,-0.0166666666666667,0.00703180538244934,-0.02,-0.0184848484848485,0.243085981955705,-0.0366666666666667,0.12979797979798,0.175396602773882,0.119258519258519,0.0275037365107743,-0.0919721637666105,-0.107720057720058,-0.0110318282753516,0.0342566375781573,0.0041991341991342,0.0166666666666667,0,0.00390067050179503,0.00852375017310622,0.00211580086580087,-0.0427464008859358,-0.00505904086320797,-0.014367816091954,-0.00676009262165361,-0.0142857142857143,-0.249950441715148,0.0866666666666667,0.161020772359577,0.156606185027524,0.156606185027524,0.156606185027524,0.0658333333333333,0.0666333333333333,-0.232789115646258,-0.121601766172793,-0.33333681244129,0.134869763728156
"RAF",0.249646102343376,0.249646102343376,0.315006675567423,0.293333333333333,0.3,0.189071864333042,0,0.019971870604782,0.140727933759965,0.132,0.140196721311475,0.12,0.1,0.154341736694678,0,0.143228498074454,0.144218597084355,0.02,0,0.0234817813765182,0,-0.13,0.335420205937782,-0.08,0.211111111111111,0.229676173499703,0.214957264957265,0.111663752404266,-0.0679192455054524,-0.211111111111111,-0.111059907834101,0.0317372245065273,0.140344827586207,0,0,-0.0171880750828119,-0.0157894736842105,0.133961848862803,-0.11831204026326,-0.0210048689759417,0,-0.0276923076923077,-0.1,-0.239646102343376,0.0142857142857143,0.165703740703741,0.166558441558442,0.166558441558442,0.166558441558442,-0.0107142857142857,-0.0137445887445887,-0.0641904761904762,-0.158687258687259,-0.302857142857143,0.193498817966903
"MEK",0.256788959486234,0.256788959486234,0.321576018633117,0.302857142857143,0.293333333333333,0.193079150307541,-0.0142857142857143,0.0190709697038811,0.145371896608263,0.140196721311475,0.143464695167685,0.132,0.12,0.162236473536783,0.02,0.144218597084355,0.146801622914614,0.0276923076923077,0,0.0171880750828119,0,-0.140344827586207,0.331574052091628,-0.13,0.211111111111111,0.238833682657212,0.205468213862374,0.107284190360471,-0.0751264527126596,-0.214957264957265,-0.115158268489839,0.0258794839207533,0.133961848862803,0,0,-0.0210048689759417,-0.0234817813765182,0.022295182196136,-0.11831204026326,-0.0185885120986183,-0.0157894736842105,-0.0213986013986014,-0.1,-0.249450023912004,-0.0107142857142857,0.164116439116439,0.165703740703741,0.165703740703741,0.165703740703741,-0.0137445887445887,-0.026685765215177,-0.061968253968254,-0.161126283077503,-0.315006675567423,0.201606926075011
"ERK",0.257261400431115,0.257261400431115,0.322125469182567,0.315006675567423,0.302857142857143,0.192701532731159,0.0107142857142857,0.0211847908420925,0.143901308372968,0.143464695167685,0.142981603380245,0.140196721311475,0.132,0.159729509748482,0.0276923076923077,0.146801622914614,0.148321379753519,0.0213986013986014,0.02,0.0210048689759417,-0.0142857142857143,-0.133961848862803,0.335277755795332,-0.140344827586207,0.214957264957265,0.234534098745978,0.207961288654618,0.111071386032247,-0.0688016663878733,-0.205468213862374,-0.113953449212731,0.0301260077839626,0.022295182196136,-0.0157894736842105,0,-0.0185885120986183,-0.0171880750828119,0.0181169092156346,-0.120701118761553,-0.0213662898763961,-0.0234817813765182,-0.025157999894842,-0.12,-0.25642676809805,-0.0137445887445887,0.165986626135141,0.164116439116439,0.164116439116439,0.164116439116439,-0.026685765215177,-0.0276031964078375,-0.0677934966867006,-0.161954249958827,-0.321576018633117,0.195158243059571
"Wnt",0.258297465327594,0.258297465327594,0.328695652173913,0.3,0.3,0.191828706305496,-0.1,-0.0557575757575758,0.14040404040404,0.0272727272727273,0.0225108225108225,0,0,0.221666666666667,0.1,0.0521367521367521,0.054462333532101,-0.025,0,0.0118421052631579,-0.1,-0.0333333333333333,0.237991718426501,0,0.15,0.161176470588235,0.152380952380952,0.0394827586206897,-0.0727935222672065,-0.135714285714286,-0.0122303921568627,0.0457385700275534,0.0533333333333333,0.1,0,0.0131578947368421,0.025,0.0474509803921569,-0.041025641025641,-0.00604740327640293,0,-0.0118421052631579,0,-0.250980392156863,0.133333333333333,0.197060833902939,0.18796992481203,0.18796992481203,0.18796992481203,0.113333333333333,0.113333333333333,-0.206060606060606,-0.0858050847457627,-0.32,0.138166144200627
"TGF",0.258415736310473,0.258415736310473,0.329325396825397,0.431111111111111,0.42,0.0988772651518708,0.233333333333333,0.042989417989418,0.146668274254481,0.16367816091954,0.16992816091954,0.153333333333333,0.153333333333333,0.152813852813853,0.0428571428571429,0.157878787878788,0.161104594330401,0.0528571428571429,0,0.0414465408805031,0.2,-0.080952380952381,0.240785123966942,-0.0666666666666667,0.0533333333333333,0.183333333333333,0.0160919540229885,0.0562406345561671,-0.0339906832298137,-0.0333333333333333,-0.133449926362297,-0.0289722765227088,0.0651629072681704,0,0,-0.0427623303541874,-0.0433333333333333,0.0540517961570593,-0.14455190199871,-0.0418053925551443,-0.0333333333333333,-0.0509703504043127,-0.133333333333333,-0.260233918128655,-0.233333333333333,-0.183928571428571,-0.185714285714286,-0.185714285714286,-0.185714285714286,-0.247619047619048,-0.268671679197995,-0.244736842105263,-0.0802814536466006,-0.431111111111111,-0.153514739229025
"cMet",0.261038961038961,0.261038961038961,0.278882978723404,0.2725,0.26,0.278491364319075,0,0.137936507936508,0.169890755379886,0.129090909090909,0.135340909090909,0.12,0.1,0.101111111111111,0.1,0.128344671201814,0.130162853019996,0.106666666666667,0.1,0.113643410852713,0.1,0,0.259058019985763,0,0.185714285714286,0.206986047660205,0.184594464885618,0.0179411991090823,-0.127674050632911,-0.190977443609023,-0.0907226107226107,0.0630592040255906,0.01,0,0.1,-0.115181872391175,-0.106666666666667,0.00818181818181818,-0.118335053319573,-0.1117920418827,0,-0.115757575757576,-0.1,-0.153968253968254,0,0.0572506738544474,0.0685714285714286,0.0685714285714286,0.0685714285714286,-0.00666666666666667,-0.0254166666666667,-0.154285714285714,-0.251852619503865,-0.2725,0.109427803379416
"DSH",0.268401152861702,0.268401152861702,0.338823410594354,0.328695652173913,0.32,0.198597413161999,-0.113333333333333,-0.0561991418453002,0.145510747721114,0.0354140483172741,0.0298925759246361,0.0225108225108225,0.0272727272727273,0.2304329004329,0.0118421052631579,0.0591352307283627,0.0602673062000608,-0.0131578947368421,-0.025,0.00604740327640293,-0.133333333333333,-0.0474509803921569,0.238764665286404,-0.0533333333333333,0.152380952380952,0.171287919423088,0.144099038216685,0.034100518983227,-0.0783004184717771,-0.130812324929972,-0.0180795817269825,0.0388602417225338,0.0363398692810458,0.025,0,0.00728593005693041,0.0131578947368421,0.0340842301833014,-0.0441611393459098,-0.00384496931973923,-0.0118421052631579,-0.00579635362917096,0,-0.268363656142068,0.113333333333333,0.195296348581251,0.189974219729711,0.189974219729711,0.189974219729711,0.0945833333333333,0.0980316091954023,-0.212712490761271,-0.0910123313664369,-0.339171842650104,0.14442923918762
"Frizzled",0.269188554436505,0.269188554436505,0.339171842650104,0.32,0.3,0.203250617727408,-0.133333333333333,-0.0650599013389711,0.14977904040404,0.0225108225108225,0.0354140483172741,0.0272727272727273,0,0.239523809523809,-0.025,0.054462333532101,0.0591352307283627,0.0118421052631579,0.1,-0.0131578947368421,-0.1,-0.0533333333333333,0.22688060731539,-0.0333333333333333,0.135714285714286,0.186890756302521,0.130812324929972,0.0158234526269988,-0.0960493362206949,-0.152380952380952,-0.0273819073083779,0.0205396310355109,0.0474509803921569,0,0.1,-0.00604740327640293,-0.0118421052631579,0.0363398692810458,-0.0388979814511729,0.00728593005693041,0.025,0.0131578947368421,0,-0.255742296918767,0.113333333333333,0.189974219729711,0.197060833902939,0.197060833902939,0.197060833902939,0.113333333333333,0.0945833333333333,-0.215151515151515,-0.0918368307775087,-0.328695652173913,0.167863113897597
"GSK3",0.27241303993451,0.27241303993451,0.342156743927688,0.339171842650104,0.328695652173913,0.204096260708921,-0.113333333333333,-0.0615263868985727,0.150317312785592,0.0298925759246361,0.0375480783169806,0.0354140483172741,0.0225108225108225,0.242212349054454,-0.0131578947368421,0.0602673062000608,0.0610169313874671,0.00579635362917096,0.0118421052631579,-0.00728593005693041,-0.113333333333333,-0.0363398692810458,0.231787921100358,-0.0474509803921569,0.130812324929972,0.183707893814894,0.135527609645257,0.0197778270073857,-0.0918570372915538,-0.144099038216685,-0.0266927204131139,0.0248764446108748,0.0340842301833014,-0.0118421052631579,0.025,-0.00384496931973923,-0.00604740327640293,0.0346524120014832,-0.0438151185846641,0.00398397804868182,0.0131578947368421,0.00741119354064036,-0.0272727272727273,-0.266836938584817,0.0945833333333333,0.190044247740915,0.195296348581251,0.195296348581251,0.195296348581251,0.0980316091954023,0.0920487032124963,-0.227131095412434,-0.094195355239116,-0.338823410594354,0.0600698381892837
"RAS",0.280706921944035,0.280706921944035,0.308910891089109,0.3,0.3,0.214581874910702,-0.2,-0.052068511198946,0.179446153846154,0.128,0.136474576271186,0.1,0.1,0.150207547169811,-0.05,0.142424242424242,0.142424242424242,-0.0441176470588235,-0.1,-0.0207133917396746,-0.1,-0.08,0.307266470009833,-0.08,0.35,0.260436442989634,0.350397219463754,0.0819680657967963,-0.0715873015873016,-0.344736842105263,-0.129327813916814,0.113043634555262,0.116842105263158,0.1,0,0.0299441609704438,0.0441176470588235,0.122724458204334,-0.0266798418972332,0.0251282969477809,0.05,0.0191176470588235,-0.1,-0.271428571428571,0.233333333333333,0.258717948717949,0.37025641025641,0.37025641025641,0.37025641025641,0.226666666666667,0.21,-0.0593073593073593,-0.127438525183101,-0.3,0.268049095607235
"SRC",0.321428571428571,0.321428571428571,0.39781746031746,0.393055555555556,0.355555555555556,0.34549818917466,-0.1,0.154275574822559,0.172572097789489,0.087037037037037,0.09880174291939,0.0833333333333333,0.0833333333333333,0.194134897360704,0.1,0.0844298245614035,0.088934329065908,0.11,0.1,0.108360655737705,-0.1,-0.0242424242424242,0.306424998283765,-0.0333333333333333,0.145,0.190222306429203,0.133095238095238,0.0182009370119729,-0.117679738562092,-0.140238095238095,-0.0238579157845213,0.0159452142060838,0.00202020202020202,0,0,-0.113238704518193,-0.11,0.00768057937869259,-0.0480304534922211,-0.112120136285531,-0.1,-0.108360655737705,-0.0333333333333333,-0.223643410852713,0.1,0.186272992756097,0.1893032957864,0.1893032957864,0.1893032957864,0.0923076923076923,0.0811965811965812,-0.148571428571429,-0.28893616225116,-0.39781746031746,0.185714285714286
