"","ZEB1","Ecadherin","cateninmemb","GSK3","miR200","AXIN2","GLI","Frizzled","DSH","TCFLEF","cateninnuc","Destcompl","cMet","TWIST1","STAT","LIV1","NOTCHic","NOTCH","Csl","SOSGRB2","TGF","CDC42","TGFR","PAK1","FOXC2","SHH","Patched","SMO","HEY1","RAS","RAF","SNAI2","SMAD","NFB","TrCP","SUFU","ILK","IKK","AKT","PI3K","DELTA","Csn","FUS","SNAI1","ZEB2","Jagged","EGR1","cfos","RKIP","ERK","MEK","SRC","CD44","Wnt","KLF4"
"cMet",-0.0121212121212121,-0.0384418977972736,-0.0747326398394014,0.373425499231951,0.0523202129995608,-0.0525396825396826,-0.0251515151515152,-0.05,-0.1,-0.0239415623136553,-0.0194217883023559,0.147327456781238,-0.0433333333333333,-0.0274700580318558,0,0.1,-0.379699248120301,-0.390337545992641,-0.342857142857143,0.384285714285714,-0.00648345153664302,-0.0308333333333333,-0.0086111111111111,0.00666666666666668,-0.00665084388185653,0.169147727272727,0.147272727272727,0.12,0.137358101135191,0.413369272237197,0.417142857142857,-0.298283841057564,0.187540713254999,-0.133333333333333,0,-0.1,-0.182086167800454,-0.153333333333333,-0.147083333333333,-0.417142857142857,-0.417142857142857,-0.1,-0.1,-0.0585845069787978,-0.0378066378066378,0.141131042870173,-0.275,-0.375,-0.238148148148148,-0.415,-0.435,-0.05,0.0224031007751938,0.0433333333333333,0.0571428571428571
"cateninnuc",-0.0131334059463116,0.00757670856158477,0.0948624562802811,0.0485334674833157,0.0084365441408233,0.260335882297427,0.0917130021060933,0.0930964013155794,0.0862470862470863,0.0900060588536739,-0.00725988977930044,0.0432156066174702,0.0880586804499848,0.0750476037188085,0.0862470862470863,0.0939393939393939,0.150710229346414,0.157528411164596,0.160012554927809,0.19789588784111,0.0900793306979122,0.0895824175824176,0.101651383099659,0.103428571428571,0.0931071878940731,0.119152103702018,0.113269750760841,0.122586520947177,0.0338914568371047,0.0151234351234351,0.0211840411840412,0.200798900150369,0.00693690756719406,0.0174242424242424,0.0333333333333333,-0.111111111111111,-0.0171688311688312,0.0134242424242424,0.0142054924242424,-0.0211840411840412,-0.0211840411840412,0.00833333333333333,-0.111111111111111,0.0852319491271459,-0.030849405516975,-0.0738747944560714,0.0195652173913043,0.0338509316770186,0.0813334349686707,0.0224585266137275,0.0265869669807,-0.0945804195804196,-0.093217410608715,-0.0865746621851446,0.00114137542963166
"Ecadherin",-0.0155350461461711,0.126524244709605,0.226428053653663,0.0372242252519776,0.0128491620111732,0.123253013662996,0.0154775225246474,0.0131326949384405,0.0294117647058824,0.0224270218146614,0.0180385997791805,0.0501636475315848,0.0244370427645275,-6.50673677292116e-05,0.0294117647058824,0,0.0867034972623687,0.0759228281173873,0.0733014354066986,0.131728656976919,0.069001156094086,0.0746060606060606,0.0536304508499631,0.0412727272727273,0.0837899032939671,0.0321987977309288,0.0408602150537634,0.0333333333333333,0.0149340907809127,-0.015116345205895,-0.029920814479638,0.101080924375456,0.0210378636347686,0.0266666666666667,0,-0.0333333333333333,-0.00336231884057971,0.0451851851851852,0.0360942760942761,0.029920814479638,0.029920814479638,0.06,-0.0333333333333333,0.00929381895729363,-0.0159225321458092,-0.0110486383602457,0.0672727272727273,0.0378609625668449,0.0243158482323811,0.0574485914328243,0.0429387875112557,-0.0131326949384405,-0.0160758387511495,-0.0234775225246474,0.00253164556962025
"IKK",-0.0077593984962406,0.30316441274068,0.278081546014507,0.253974358974359,0.0102675585284281,0.187142857142857,0.145042735042735,0.138888888888889,0.15,0.150127480805447,0.148861658020637,0.148486401922004,0.146581196581197,0.220686274509804,0.15,0.1,-0.0861471861471862,-0.0940836940836941,-0.0909090909090909,0.210504201680672,0.17529696969697,0.183333333333333,0.16969696969697,0.15,0.152669552669553,0.143703703703704,0.143703703703704,0.14,0.0993808049535604,0.140400296515938,0.126315789473684,-0.177333840690005,0.115752200220022,0.0857142857142857,0,-0.1,-0.104861111111111,0.00238095238095238,-0.00572715572715573,-0.126315789473684,-0.126315789473684,0.1,-0.12,0.00614221091320328,-0.0142857142857143,-0.0193642611683849,-0.05,-0.0642857142857143,-0.00947176684881603,-0.0682857142857143,-0.0927301587301587,-0.138888888888889,-0.145042735042735,-0.146581196581197,-0.0117216117216117
"HEY1",0.00105263157894737,0.227887438477862,0.222069079294689,0.0535597660908297,0,0.126345797168151,0.0234775225246474,0.0294117647058824,0,0.0160758387511495,0.0224270218146614,0.0367433306629921,0.0131326949384405,0.0120392156862745,0,0.0333333333333333,0.0733014354066986,0.0867034972623687,0.0890909090909091,0.11330760434534,0.0536304508499631,0.0412727272727273,0.0746060606060606,0.0772727272727273,0.0670850978019762,0.0408602150537634,0.0333333333333333,0.0333333333333333,0.0370817417876241,-0.029920814479638,-0.0115384615384615,0.100659491503692,0.00336231884057971,0.06,0.1,0,-0.028,0.0266666666666667,0.0451851851851852,0.0115384615384615,0.0115384615384615,0,-0.0333333333333333,0.0254330594636227,-0.0121310629514964,-0.00898914179273999,0.04,0.0672727272727273,0.0119562976705834,0.0378609625668449,0.0574485914328243,-0.0294117647058824,-0.0244370427645275,-0.0131326949384405,0
"FOXC2",0.00105263157894737,0.227887438477862,0.222069079294689,0.0535597660908297,0,0.126345797168151,0.0234775225246474,0.0294117647058824,0,0.0160758387511495,0.0224270218146614,0.0367433306629921,0.0131326949384405,0.0120392156862745,0,0.0333333333333333,0.0733014354066986,0.0867034972623687,0.0890909090909091,0.11330760434534,0.0536304508499631,0.0412727272727273,0.0746060606060606,0.0772727272727273,0.0670850978019762,0.0408602150537634,0.0333333333333333,0.0333333333333333,0.0370817417876241,-0.029920814479638,-0.0115384615384615,0.100659491503692,0.00336231884057971,0.06,0.1,0,-0.028,0.0266666666666667,0.0451851851851852,0.0115384615384615,0.0115384615384615,0,-0.0333333333333333,0.0254330594636227,-0.0121310629514964,-0.00898914179273999,0.04,0.0672727272727273,0.0119562976705834,0.0378609625668449,0.0574485914328243,-0.0294117647058824,-0.0244370427645275,-0.0131326949384405,0
"NFB",0.000286578515253651,0.305090576464597,0.277975949393599,0.262993966817496,0.00452737725954592,0.191398176291793,0.149537117065207,0.146581196581197,0.138888888888889,0.148861658020637,0.15097930507946,0.143835239131307,0.145042735042735,0.227987861811391,0.138888888888889,0.15,-0.0940836940836941,-0.0934385327933715,-0.0861471861471862,0.20734630694383,0.169600767165324,0.16969696969697,0.17529696969697,0.183333333333333,0.145896644303019,0.149727800089246,0.143703703703704,0.143703703703704,0.110095090667846,0.135922684575639,0.140400296515938,-0.177333840690005,0.112406475312959,0.00238095238095238,0.1,-0.12,-0.115752200220022,-0.00572715572715573,-0.00794937794937795,-0.140400296515938,-0.140400296515938,0.0857142857142857,-0.14,0.0135394711871759,-0.0108374384236453,-0.0186448367079532,-0.0642857142857143,-0.0682857142857143,-0.0197281771052263,-0.0927301587301587,-0.0959981325863679,-0.146581196581197,-0.150127480805447,-0.145042735042735,-0.0097985347985348
"KLF4",-0.00105263157894737,-0.227887438477862,-0.222069079294689,-0.0535597660908297,0,-0.126345797168151,-0.0234775225246474,-0.0294117647058824,0,-0.0160758387511495,-0.0224270218146614,-0.0367433306629921,-0.0131326949384405,-0.0120392156862745,0,-0.0333333333333333,-0.0733014354066986,-0.0867034972623687,-0.0890909090909091,-0.11330760434534,-0.0536304508499631,-0.0412727272727273,-0.0746060606060606,-0.0772727272727273,-0.0670850978019762,-0.0408602150537634,-0.0333333333333333,-0.0333333333333333,-0.0370817417876241,0.029920814479638,0.0115384615384615,-0.100659491503692,-0.00336231884057971,-0.06,-0.1,0,0.028,-0.0266666666666667,-0.0451851851851852,-0.0115384615384615,-0.0115384615384615,0,0.0333333333333333,-0.0254330594636227,0.0121310629514964,0.00898914179273999,-0.04,-0.0672727272727273,-0.0119562976705834,-0.0378609625668449,-0.0574485914328243,0.0294117647058824,0.0244370427645275,0.0131326949384405,0
"SNAI2",0.00303461296412838,-0.410967504940716,-0.312155004593482,-0.105470129549552,-0.00539751425943545,-0.179877072775701,-0.125782287306728,-0.125194805194805,-0.110909090909091,-0.123253013662996,-0.126048044718897,-0.100551424550866,-0.120969453082129,-0.115801387906193,-0.110909090909091,-0.12,-0.129824561403509,-0.135019366598314,-0.13859649122807,-0.158316430020284,-0.112147244628063,-0.103361344537815,-0.119600660777131,-0.117647058823529,-0.10902503312833,-0.133556972084608,-0.127923169267707,-0.125882352941176,-0.0484478601567209,0.0689362321618315,0.0620869170933383,0.198842185736286,-0.0235357921051027,-0.0916666666666667,-0.1,0.1,0.0345405767940979,-0.0744252873563218,-0.080449383741864,-0.0620869170933383,-0.0620869170933383,-0.0666666666666667,0.12,-0.0178637970550039,0.0121785189846864,0.116402338791902,-0.0666666666666667,-0.0725490196078431,-0.0123717948717949,-0.0549019607843137,-0.0616587175410705,0.125194805194805,0.126345797168151,0.120969453082129,-0.00269230769230769
"cateninmemb",0.0155350461461711,0.13791870433114,0.11022287053695,-0.0372242252519776,-0.0128491620111732,-0.123253013662996,-0.0154775225246474,-0.0131326949384405,-0.0294117647058824,-0.0224270218146614,-0.0180385997791805,-0.0501636475315848,-0.0244370427645275,6.50673677292116e-05,-0.0294117647058824,0,-0.0867034972623687,-0.0759228281173873,-0.0733014354066986,-0.131728656976919,-0.069001156094086,-0.0746060606060606,-0.0536304508499631,-0.0412727272727273,-0.0837899032939671,-0.0321987977309288,-0.0408602150537634,-0.0333333333333333,-0.0149340907809127,0.015116345205895,0.029920814479638,-0.101080924375456,-0.0210378636347686,-0.0266666666666667,0,0.0333333333333333,0.00336231884057971,-0.0451851851851852,-0.0360942760942761,-0.029920814479638,-0.029920814479638,-0.06,0.0333333333333333,-0.00929381895729363,0.0159225321458092,0.0110486383602457,-0.0672727272727273,-0.0378609625668449,-0.0243158482323811,-0.0574485914328243,-0.0429387875112557,0.0131326949384405,0.0160758387511495,0.0234775225246474,-0.00253164556962025
"Csn",-5.62448304383761e-05,0.0144456761335475,0.0381218911431768,0.18758005367727,-0.0255937273633324,0.115677919420837,0.0790283857913207,0.0729885057471264,0.0833333333333333,0.0834445980692553,0.0804981158082811,0.068699112208951,0.0838318792411023,0.0844763908368396,0.0833333333333333,0.0666666666666667,-0.101082251082251,-0.110697635697636,-0.107575757575758,0.0566885737345786,-0.0634403379069072,-0.0608548168249661,-0.0775214834916327,-0.0772727272727273,-0.070324294092425,0.0287652531967709,0.0320439417213611,0.0223665223665224,0.00605481727574751,0.16126647952161,0.151093734799921,0.0257096943797066,0.0265016805313832,-0.103333333333333,-0.02,-0.0142857142857143,-0.0139052795031056,-0.0991666666666667,-0.103166666666667,-0.151093734799921,-0.151093734799921,-0.095,-0.0253968253968254,-0.108356178340157,0.0324880066170389,-0.0046987730037323,-0.0766666666666667,-0.113030303030303,-0.126414863521676,-0.109134199134199,-0.122675865800866,-0.0729885057471264,-0.0789429903522135,-0.0838318792411023,0.0338547726783021
"CD44",0.0111111111111111,0.0453121268049072,0.0793589743589743,-0.347619047619048,-0.0616952129995608,0.07,0.0433333333333333,0.1,0,0.0224031007751938,0.0239415623136553,-0.152057186510968,-0.05,0.0375824175824176,-0.1,-0.1,0.342857142857143,0.379699248120301,0.3,-0.364285714285714,0.0086111111111111,-0.00666666666666668,0.0308333333333333,-0.0666666666666667,0.00791666666666666,-0.147272727272727,-0.12,-0.1,-0.115789473684211,-0.417142857142857,-0.414285714285714,0.290984570984571,-0.182086167800454,0.1,0.1,0.1,0.155555555555556,0.133333333333333,0.153333333333333,0.414285714285714,0.414285714285714,0,0.1,0.0653641679957469,0.0428571428571429,-0.136783216783217,0.2,0.275,0.215925925925926,0.375,0.415,0,-0.0433333333333333,-0.05,-0.0428571428571429
"ZEB2",-0.257888813843833,-0.246045867059626,-0.222596354352425,-0.217779392127857,-0.188687535217064,-0.153935470158831,-0.130566070015611,-0.127272727272727,-0.127272727272727,-0.126097795349093,-0.125708184959482,-0.125370147514859,-0.125263157894737,-0.121814900411277,-0.12,-0.1,-0.0756923076923077,-0.075145859604876,-0.0743589743589744,-0.0583882783882784,-0.045880574452003,-0.0428571428571429,-0.0421768707482993,-0.0337662337662338,-0.0292463092463092,-0.0214000633512829,-0.019581881533101,-0.0171428571428571,-0.0147710354161967,-0.0114757547948126,-0.00783549783549783,-0.00711977575816792,-0.00366613061735013,-0.00138888888888889,0,0,0.00122710622710623,0.00527777777777778,0.00621235721703011,0.00783549783549783,0.00783549783549783,0.0111111111111111,0.0142857142857143,0.0666663705382271,0.0762922360616736,0.0804651202434024,0.0916666666666667,0.0969298245614035,0.0995330112721417,0.100155631013016,0.105033679793504,0.12,0.124337231968811,0.132400932400932,0.171394482041328
"RAF",0.0178813964610234,0.241738613151425,0.227240013122366,0.313869188337273,-0.0451676800601768,0.149847632442569,0.11,0.1,0.1,0.12488038277512,0.124117023996494,0.110860790309155,0.115789473684211,0.206087344028521,0.1,0,-0.22020202020202,-0.231740481740482,-0.211111111111111,0.328063492063492,0.00932799287939475,0.0133333333333333,-0.000952380952380949,-0.0333333333333333,-0.00119363395225464,0.190251366120219,0.185333333333333,0.173333333333333,0.151645373596593,0.258552558552559,0.233766233766234,-0.346585650171941,0.195373712595907,0.0142857142857143,0,-0.1,-0.176561831407788,0.0267857142857143,0.0176948051948052,-0.233766233766234,-0.233766233766234,0,-0.133333333333333,-0.215379965221825,0.0769794356767097,0.115360983102919,-0.35,-0.4,-0.339705882352941,-0.403448275862069,-0.452384446074835,-0.1,-0.115789473684211,-0.11,0.0729794356767097
"Destcompl",-0.00558143547273983,0.0440917772350862,0.0421149736489025,0.050841568417251,-0.097863795428803,0.141232629374338,0.0312102540978168,0.027429876060013,0.0452380952380952,0.0388937893701746,0.0339983278709395,-0.0419829118596628,0.0408627118809086,0.0153353474575148,0.0452380952380952,0.0166666666666667,0.0157481394437916,0.00232128573637679,-0.000556208382295342,0.0658296305089687,-0.0322778621430423,-0.0258972554539057,-0.0516867291381162,-0.0624489795918367,-0.027359214289963,0.13464117440731,0.145279472279651,0.129217296113848,0.0521080628772936,0.0743008564427804,0.0597011704145229,0.0963844308150694,0.0733333333333333,-0.0178053830227743,-0.0333333333333333,-0.122222222222222,-0.0533333333333333,-0.0151026803200716,-0.0171161031388636,-0.0597011704145229,-0.0597011704145229,-0.00476190476190476,-0.146360153256705,-0.016451239120859,0.111338744255025,-0.000502130533621798,-0.0369230769230769,-0.0672261072261072,-0.0301604731218439,-0.0524720088654515,-0.067239941354903,-0.027429876060013,-0.0319074880003116,-0.0403011631887259,0.116996684310771
"SOSGRB2",0.0327694235588972,0.25270630574853,0.242090909090909,0.412280121312379,-0.0748514720351169,0.167244224422442,0.1324016563147,0.114285714285714,0.1,0.1437899095565,0.144745932501051,0.188759823323582,0.136024844720497,0.120550724637681,0.1,0,-0.442657342657343,-0.449699596178469,-0.427272727272727,0.403333333333333,-0.0250658561296859,-0.0342857142857143,-0.0342857142857143,-0.0642857142857143,-0.0365934065934066,0.313880159228996,0.302252252252252,0.283333333333333,0.179356060606061,0.452151238591917,0.431638418079096,-0.357284980966912,0.314898864576284,-0.111111111111111,-0.1,-0.2,-0.303010752688172,-0.0953216374269006,-0.0911549707602339,-0.431638418079096,-0.431638418079096,-0.1,-0.233333333333333,-0.169427149964463,0.113471177944862,0.223350645169489,-0.466666666666667,-0.522222222222222,-0.339437134502924,-0.541141141141141,-0.574474474474474,-0.114285714285714,-0.137474120082816,-0.130952380952381,0.110614035087719
"SRC",-0.0627882599580713,0.229641725377019,0.216589582397845,-0.209350649350649,-0.106502708241839,0.132746823069404,0.0849180327868853,0.1,0.1,0.0824790083966414,0.0835975766293035,-0.0175509635292244,0.08,0.0847379057723885,0,0,0.174761904761905,0.174761904761905,0.17,-0.1,0.12738455988456,0.143055555555556,0.138293650793651,0.155555555555556,0.12094304388422,0.00152505446623094,0.00740740740740741,0.0333333333333333,-0.018288646143661,-0.303545720028824,-0.295969962453066,0.055705847648794,-0.0395448079658606,0.183333333333333,0.1,-0.0333333333333333,0.0368421052631579,0.191025641025641,0.163247863247863,0.295969962453066,0.295969962453066,0.15,-0.0333333333333333,0.0660888638299836,0.124206349206349,-0.0304446012702893,0.2,0.227272727272727,0.172531769305963,0.249494949494949,0.243834572136459,-0.1,-0.0849180327868853,-0.08,0.026421188630491
"AXIN2",0.0680409192524818,0.0586115112109731,0.148234139062274,0.188070987111033,-0.141125544151671,0.523869815356499,0.144062630817106,0.142945736434109,0.126666666666667,0.141232629374338,0.144475171527386,0.175600978568986,0.137773322641005,0.134015773123278,0.126666666666667,0.133333333333333,-0.00197368421052632,0.00343172119487909,0.0105263157894737,0.0683338291753439,-0.0370220159921597,-0.0439351851851852,-0.0271210258931498,-0.0254166666666667,-0.0545234078957732,0.182020957184892,0.173168498168498,0.176739926739927,0.117941137312334,0.110118458083883,0.116680137873909,0.144133329276173,0.11104209799862,-0.0647342995169082,-0.0666666666666667,-0.15,-0.120565907522429,-0.0690821256038647,-0.0690821256038647,-0.116680137873909,-0.116680137873909,-0.0777777777777778,-0.157692307692308,-0.116628064546391,0.162653533028796,-0.0974740183435836,-0.113333333333333,-0.110894308943089,-0.140801823624404,-0.128651318288884,-0.125892697599229,-0.142945736434109,-0.144397928319239,-0.137773322641005,0.165409194745124
"SHH",-0.05,0.0658333333333333,0.147240143369176,0.0102564102564103,-0.133333333333333,0.247619047619048,0,0,0,0.12,0.114444444444444,0.0584415584415584,0.1,0.075,0.1,0,0.2,0.166666666666667,0.1,0,-0.08,-0.1,-0.1,-0.2,0.025,0.0133333333333333,0.133333333333333,0.1,0,-0.0269230769230769,-0.05,0.172337164750958,0.0333333333333333,0,0,0,0,0.1,0.1,0.05,0.05,0,0,-0.0833333333333333,0.2,-0.0942857142857143,0,-0.1,-0.08,0,-0.02,-0.1,-0.1,0,0.2
"Patched",-0.025,0.0687459546925566,0.144462365591398,0.0293040293040293,-0.161904761904762,0.265800865800866,0.025,0,0,0.114444444444444,0.117357065803668,0.0441558441558442,0.1,0.100925925925926,0.1,0.1,0.166666666666667,0.193939393939394,0.2,-0.0333333333333333,-0.105,-0.1,-0.08,-0.1,-0.005,0.0383333333333333,0.0133333333333333,0.133333333333333,0.0384615384615385,-0.0331730769230769,-0.0269230769230769,0.176337164750958,0.00333333333333333,0.1,0,0,-0.0333333333333333,0.1,0.114285714285714,0.0269230769230769,0.0269230769230769,0,-0.1,-0.060752688172043,0.208333333333333,-0.0905820105820106,-0.1,0,-0.0942857142857143,-0.02,-0.0276923076923077,-0.1,-0.12,0,0.211111111111111
"SMO",-0.0504237288135593,0.0683769510025197,0.147374986950621,0.0166826700807283,-0.147980711271851,0.269249141662935,0.0194444444444444,0,0,0.117357065803668,0.114349547006675,0.0550085573341387,0.12,0.089161220043573,0.1,0.1,0.193939393939394,0.183939393939394,0.166666666666667,-0.0175438596491228,-0.0806756756756757,-0.08,-0.105,-0.1,0.0191379310344828,0.0327777777777778,0.0383333333333333,0.0133333333333333,0.0146520146520147,-0.0238707513416816,-0.0331730769230769,0.175384783798577,0.0207936507936508,0.1,0,-0.1,-0.00333333333333333,0.114285714285714,0.118285714285714,0.0331730769230769,0.0331730769230769,0.1,-0.133333333333333,-0.0678955453149001,0.210028248587571,-0.0977248677248677,0,-0.02,-0.0776190476190476,-0.0276923076923077,-0.0367832167832168,-0.1,-0.114444444444444,-0.025,0.219444444444444
"Jagged",-0.0884057971014493,0.0387368421052632,0.0276824583866837,0.0187739463601533,-0.198787878787879,0.0142857142857143,0.0123076923076923,0,0,0.0153379953379953,0.012041292041292,0.012988416988417,0.02,0.071,0,0,-0.18,-0.18,-0.2,0.02,0.0786666666666667,0.1,0.0666666666666667,0,0.0671428571428571,0.0685897435897436,0.0916666666666667,0.0666666666666667,-0.05,-0.0133333333333333,-0.0133333333333333,-0.144444444444444,0.0642857142857143,0.1,0,0,-0.05,0.0666666666666667,0.1,0.0133333333333333,0.0133333333333333,0,-0.1,-0.0416666666666667,0.210628019323672,0.0748051948051948,-0.1,0,-0.0923076923076923,-0.02,-0.02,0,-0.0123076923076923,-0.02,0.188888888888889
"RAS",0.0695692194403535,0.159763204359478,0.15247962055697,0.355891472868217,-0.176184615384615,0.182529644268775,0.15171568627451,0.15,0.1,0.159908539520555,0.160758397877495,0.165546128918222,0.155882352941176,0.133769776322968,0.1,0,-0.344736842105263,-0.357944389275074,-0.35,0.238528138528139,-0.0731275480489225,-0.08,-0.0741176470588235,-0.14,-0.0844444444444444,0.259638418079096,0.261333333333333,0.233333333333333,0.131225296442688,0.291153846153846,0.377692307692308,-0.234176080522683,0.25856524427953,-0.166666666666667,-0.1,-0.1,-0.246320346320346,-0.133333333333333,-0.127777777777778,-0.377692307692308,-0.377692307692308,-0.2,-0.2,-0.215496558505408,0.214635493372607,0.149402720283856,-0.36,-0.435,-0.358540880503145,-0.429736842105263,-0.447383900928793,-0.15,-0.153754693366708,-0.155882352941176,0.205357142857143
"ILK",-0.0115220637161822,0.0981763146266019,0.0970122595019714,0.197607022607023,-0.222036828184369,0.147428571428571,0.103218134522482,0.111111111111111,0.1,0.0970034452569456,0.102982826700245,0.0568686789453317,0.0893719806763285,0.0805767686024279,0.1,0.1,-0.123076923076923,-0.116625310173697,-0.1,-0.0161538461538462,-0.173005738880918,-0.166176470588235,-0.146176470588235,-0.125,-0.1812868757259,0.124145299145299,0.11025641025641,0.133333333333333,0.0772912252379511,0.150697740615549,0.165766233766234,0.0341584306678646,0.0809024409763906,-0.133333333333333,-0.2,-0.1,-0.0961024409763906,-0.127450980392157,-0.14027149321267,-0.165766233766234,-0.165766233766234,-0.166666666666667,-0.1,-0.183538647342995,0.25532174562215,0.0293859649122807,-0.133333333333333,-0.119047619047619,-0.243859082094376,-0.160224089635854,-0.161863433898149,-0.111111111111111,-0.103218134522482,-0.0893719806763285,0.25109649122807
"Frizzled",-0.0353428886647632,0.173617577020409,0.148582189938122,0.214080459770115,-0.224791666666667,0.169908386187456,0.123496240601504,0.125,0.2,0.117535975700841,0.124202642367508,0.0705224104464334,0.109210526315789,0.173221288515406,0.1,0.1,-0.132142857142857,-0.12233893557423,-0.107142857142857,0.0484848484848485,-0.0462939958592132,-0.0466666666666667,-0.0205797101449275,0,-0.0554373411166557,0.140999860354699,0.121645021645022,0.145454545454545,0.0804800872885979,0.156026340008934,0.169412166780588,-0.0178154574132492,0.0873719388390112,-0.0466666666666667,-0.1,-0.1,-0.103259789306301,-0.0341666666666667,-0.0529166666666667,-0.169412166780588,-0.169412166780588,-0.0666666666666667,-0.1,-0.141925465838509,0.256361303275234,0.0255510992275698,-0.133333333333333,-0.133333333333333,-0.241904761904762,-0.174509803921569,-0.178213507625272,-0.125,-0.123496240601504,-0.109210526315789,0.253501400560224
"GSK3",-0.0469292746904327,0.174660205208952,0.150936340397549,0.114490063253868,-0.22331123890811,0.173596034300282,0.122910471702749,0.123496240601504,0.109210526315789,0.12001742420188,0.123438476833459,0.0751220571341984,0.117535975700841,0.17019643403715,0.109210526315789,0.125,-0.137024250259544,-0.130530743766038,-0.12233893557423,0.0600900668626137,-0.0364333686815129,-0.0462939958592132,-0.0264333686815129,-0.0205797101449275,-0.044911025327182,0.145047765952492,0.135478387962061,0.140999860354699,0.0837703197902673,0.160998328804453,0.167510933846469,-0.019346623636791,0.0956726941217472,-0.0529166666666667,-0.0466666666666667,-0.145454545454545,-0.106617221857879,-0.0517672413793104,-0.0517672413793104,-0.167510933846469,-0.167510933846469,-0.0341666666666667,-0.121645021645022,-0.14376474553421,0.259451240212909,0.025807988267348,-0.174509803921569,-0.178213507625272,-0.239289832974044,-0.197010500106475,-0.191896863742839,-0.123496240601504,-0.124202642367508,-0.116306698117844,0.263699280942645
"DSH",-0.0589649359088577,0.174232151208294,0.152704686993481,0.203175587380324,-0.210767276422764,0.169486445259186,0.116306698117844,0.109210526315789,0.125,0.124202642367508,0.12001742420188,0.0831178302937617,0.123496240601504,0.16187377078491,0.125,0.1,-0.12233893557423,-0.137024250259544,-0.132142857142857,0.0679970436067997,-0.0264333686815129,-0.0205797101449275,-0.0462939958592132,-0.0466666666666667,-0.0342252199045345,0.135478387962061,0.140999860354699,0.121645021645022,0.068199385534212,0.167510933846469,0.156026340008934,-0.0183975295901992,0.106617221857879,-0.0341666666666667,-0.0666666666666667,-0.1,-0.0873719388390112,-0.0529166666666667,-0.0517672413793104,-0.156026340008934,-0.156026340008934,-0.0466666666666667,-0.145454545454545,-0.152070393374741,0.261085712724053,0.0224503240337714,-0.133333333333333,-0.174509803921569,-0.23001665001665,-0.178213507625272,-0.197010500106475,-0.109210526315789,-0.117535975700841,-0.123496240601504,0.258355769492263
