"","GSK3","Destcompl","SOSGRB2","TrCP","LIV1","AXIN2","ZEB2","ZEB1","STAT","Frizzled","GLI","Wnt","TCFLEF","cateninnuc","SRC","Csn","cMet","DELTA","RAS","SNAI1","EGR1","FUS","SHH","NFB","IKK","KLF4","ILK","SMAD","Jagged","NOTCH","Patched","SNAI2","miR200","NOTCHic","Csl","HEY1","PAK1","SMO","RKIP","TWIST1","AKT","cfos","MEK","ERK","CDC42","SUFU","RAF","PI3K","TGF","TGFR","FOXC2","CD44","DSH","cateninmemb","Ecadherin"
"LIV1",0.0176623376623377,-0.114617144521054,-0.197387238723872,-0.133333333333333,-0.1,-0.10523003996654,-0.0698115611532458,-0.0698115611532458,-0.08,-0.0688888888888889,-0.0742547425474255,-0.0688888888888889,-0.0779025560213679,-0.0765232456765403,-0.0688888888888889,-0.0583333333333333,-0.0715915915915916,-0.0296628407460545,-0.0278446589278727,0.0505323585913296,-0.16,-0.0333333333333333,-0.0365364396654719,-0.0208333333333333,-0.031359649122807,-0.0919011189175124,-0.024142345110087,-0.00736815156169994,0.045336145194274,-0.0607692307692308,-0.0235364396654719,0.0908597971371694,-0.0328155504626093,-0.0453846153846154,-0.0346153846153846,0.0129347091160302,0.080952380952381,0.0172043010752688,-0.0389380417004726,0.0868308865047996,0.0591374269005848,0.17304347826087,0.186241218373864,0.184907885040531,0.114285714285714,0.0333333333333333,0.0296628407460545,0.0296628407460545,0.115179902065148,0.123376623376623,0.130890398211429,0.0775321856509975,0.08,0.0966017864296531,0.108367592876765
"SNAI1",0.0190484762761991,-0.11456231995965,-0.205311767025759,-0.0583333333333333,-0.08,-0.106628641365141,-0.0664905279429137,-0.0664905279429137,-0.0688888888888889,-0.0688888888888889,-0.075900080755835,-0.0742547425474255,-0.0765232456765403,-0.0756455998324515,-0.0715915915915916,-0.0208333333333333,-0.0775321856509975,-0.0278446589278727,-0.029322491440188,-0.0451971787752184,-0.17304347826087,-0.0172043010752688,-0.0243034299567341,-0.031359649122807,-0.0591374269005848,-0.0716518977337118,-0.00736815156169994,0.0104670267900836,0.0389832040178034,-0.0632182103610675,-0.0365364396654719,0.0904239942541657,-0.0233054640072779,-0.0607692307692308,-0.0453846153846154,-0.00135100516968407,0.114285714285714,-0.0235364396654719,-0.0318250709891756,0.0836513993253124,0.0674707602339181,0.184907885040531,0.182653774427676,0.186241218373864,0.123376623376623,-0.0333333333333333,0.0278446589278727,0.0278446589278727,0.108728289161922,0.115179902065148,0.124155963649803,0.0779025560213679,0.0688888888888889,0.0956691439426065,0.107795272377285
"STAT",-0.100311526479751,-0.147468309185642,-0.257266009852217,-0.1,0,-0.113326281561576,-0.0608570916263224,-0.0608570916263224,-0.0857142857142857,-0.0732142857142857,-0.0616023682200153,-0.0641233766233766,-0.0661077924879187,-0.0667037400445337,-0.0732142857142857,-0.1,-0.0641233766233766,0.017447270471464,0.0189398077848969,0.0206351980459793,-0.2,0.025,-0.00986245455169102,-0.06,-0.0361904761904762,0.0315309962368786,0.028341384863124,0.00535287911599756,0.0102261792425354,-0.0124325353337346,0.0193410852713178,0.014749937181685,-0.0355846857538026,-0.00757816640169581,-0.0156862745098039,-0.0346666666666667,0.104545454545455,0.0216666666666667,-0.0188368725868726,0.146079449452763,0.0378853914447135,0.16,0.169108159392789,0.165882352941176,0.117045454545455,0.1,-0.017447270471464,-0.017447270471464,0.147976041883365,0.14072966507177,0.156526244035447,0.0632686757686758,0.0857142857142857,0.109427284082979,0.185557778902279
"TWIST1",-0.177134588758504,-0.182171021263999,-0.207334389485419,0.1,-0.1,-0.127431332108751,-0.0573582354284109,-0.0573582354284109,-0.0857142857142857,-0.0857142857142857,-0.0748511278195489,-0.0804511278195489,-0.071928956394007,-0.0724464952094181,-0.0857142857142857,0.1,-0.0793313069908815,-0.0672792473298482,-0.0686491103435469,0.0301996981530451,-0.133333333333333,-0.2,0.213315608340644,0.0615384615384615,0.052014652014652,-0.0636230977694392,0.114596414596415,0.103045259480903,-0.0867428797083231,0.069889265172284,0.213808219178082,0.221235406926161,0.0466062257624987,0.0689458689458689,0.0740740740740741,-0.0926305333084994,0.115151515151515,0.196,-0.00939962896484636,0.0858796447640841,-0.0587943130316012,0.111594202898551,0.0965902751687785,0.101067887109077,0.108254963427377,-0.233333333333333,0.0672792473298482,0.0672792473298482,0.110760658188197,0.108254963427377,0.164893536695862,0.0733072106053393,0.0857142857142857,0.147803067991318,0.203250599203365
"SMAD",-0.163516149681563,-0.129566343610169,-0.170422951789411,-0.05,-0.08,-0.0815980913940359,-0.0516913508990769,-0.0516913508990769,-0.0514285714285714,-0.0603174603174603,-0.0586295798526014,-0.0564713064713065,-0.0407664453388773,-0.0397532741129401,-0.0403174603174603,0.0277777777777778,-0.0383566760037348,-0.135603319533451,-0.133958582691345,0.0397245805269999,-0.171428571428571,-0.129166666666667,0.0651845378170367,0.0515873015873016,0.0339402427637722,-0.0698710193795742,0.0921371778906025,0.00213717789060256,-0.0539149560117302,0.0164860426929392,0.0752217125382263,0.0687203470242695,-0.0433220445689103,0.0307717569786535,0.0457142857142857,-0.0848838736399729,0.0738095238095238,0.109166666666667,-0.0370646497908496,0.0578216152824168,-0.0112735760971055,0.161751152073733,0.162153656546005,0.164076733469082,0.0949362843729041,-0.0666666666666667,0.135603319533451,0.135603319533451,0.0946291330897685,0.102198854205306,0.104130097179555,0.0409021305491894,0.0714285714285714,0.081258534267163,0.0827415602809327
"cMet",-0.160119047619048,-0.172529208243494,0.208571428571429,-0.1,0.1,-0.0857142857142857,-0.0163059163059163,-0.0163059163059163,0,-0.1,-0.053030303030303,-0.0666666666666667,-0.053500298151461,-0.0546302416542858,0,-0.1,-0.0666666666666667,-0.0342857142857143,-0.0342857142857143,-0.0398318600816371,0.025,0.15,-0.0739204545454546,-0.133333333333333,-0.113333333333333,0.0968253968253968,-0.0631519274376417,-0.0813337456194599,0.0882933009019965,-0.0921132618780995,-0.0645454545454545,0.230139608971726,0.0443868028107159,-0.0984962406015037,-0.114285714285714,0.0440660474716202,0.00666666666666668,-0.11,-0.115925925925926,-0.0282775651314977,0.0883333333333333,-0.025,-0.0504545454545455,-0.045,-0.0183333333333333,0.1,0.0342857142857143,0.0342857142857143,-0.0132505910165485,-0.0238888888888889,-0.0132542194092827,0.0550387596899225,0.1,0.126572810345052,0.160795399515404
"CD44",0.160119047619048,0.175231910946197,-0.195238095238095,0,-0.1,0.1,0.00317460317460318,0.00317460317460318,-0.1,0.1,0.0666666666666667,0.1,0.0550387596899225,0.053500298151461,0,0.1,0,0.0142857142857143,0.0342857142857143,0.0432216905901116,0,-0.1,0.0645454545454545,0.1,0.133333333333333,-0.115873015873016,0.0611111111111111,0.0631519274376417,-0.0817715617715618,0.0984962406015037,0.11,-0.227949827949828,-0.0506368028107159,0.114285714285714,0.1,-0.0421052631578947,-0.0666666666666667,0.15,0.101111111111111,0.0316483516483516,-0.113333333333333,0.025,0.045,0.025,-0.00666666666666668,-0.1,-0.0142857142857143,-0.0142857142857143,0.0238888888888889,0.0183333333333333,0.0195833333333333,-0.0666666666666667,0,-0.123369963369963,-0.157996417327109
"miR200",0.135821675780659,0.164553178228651,0.095712443584784,0,0.1,0.119224799357608,0.0058467741935484,0.0058467741935484,0.1,0.096,0.0778294381674663,0.0833239436619718,0.0724969804715499,0.0744666774412469,0.0869565217391304,0.06,0.0742804654011023,-0.00249138920780712,-0.00473577823523854,0.0263395863395864,0.0857142857142857,-0.0225,-0.0298298477343607,0.0442105263157895,-0.0043609022556391,0.00462387853692203,-0.0270262677342323,0.00526213351968616,0.023429729081755,-0.0299307005093095,-0.0580907172995781,0.0659801526508942,-0.00830114354587413,-0.0316256157635468,-0.00748768472906404,0.017090395480226,-0.0583333333333333,-0.0441666666666667,-0.0150735536644897,-0.109337880932973,0.0100212796141297,-0.0457142857142857,-0.0491156462585034,-0.0457142857142857,-0.0524509803921569,-0.06,0.00249138920780712,0.00249138920780712,-0.0866595325301914,-0.0750316255534472,-0.0855966797430212,-0.0709096788842483,-0.1,-0.110333948019429,-0.191689519270737
"IKK",-0.158736263736264,-0.0598879975820233,0.204621848739496,0,0.1,0.184047619047619,0.0185664160401002,0.0185664160401002,0.15,0.138888888888889,0.143504273504273,0.138888888888889,0.140679414747211,0.136460005464511,0.138888888888889,-0.1,0.138888888888889,-0.147428917120387,-0.143203565007711,-0.073960983884648,0.05,0.12,-0.12544061302682,-0.114285714285714,-0.230952380952381,0.0296703296703297,-0.0826388888888889,-0.10343096809681,0.11481880662293,-0.224098124098124,-0.128888888888889,-0.175863252454711,-0.00824972129319955,-0.232034632034632,-0.227272727272727,0.0724458204334365,-0.15,-0.14,0.0561930783242259,-0.251339869281046,0.217438867438867,-0.0928571428571429,-0.0981904761904762,-0.104857142857143,-0.161111111111111,0.1,0.147428917120387,0.147428917120387,-0.148020202020202,-0.152020202020202,-0.209235209235209,-0.143504273504273,-0.15,-0.116982133322915,-0.207563408150605
"NFB",-0.157559793148028,-0.0590574327979702,0.203569217160548,-0.1,0.15,0.184047619047619,0.0227809754270734,0.0227809754270734,0.138888888888889,0.138888888888889,0.141257082493038,0.143504273504273,0.136460005464511,0.134656083895883,0.138888888888889,-0.114285714285714,0.143504273504273,-0.143203565007711,-0.138228440629602,-0.0775226277202644,0.0928571428571429,0.14,-0.139898444352121,-0.230952380952381,-0.217438867438867,0.0239010989010989,-0.10343096809681,-0.109007176275248,0.120574202306384,-0.223452962807801,-0.12544061302682,-0.177286016682353,-0.0115729841330787,-0.224098124098124,-0.232034632034632,0.0885172490048651,-0.161111111111111,-0.128888888888889,0.0510648731960207,-0.247847805788982,0.212994422994423,-0.104857142857143,-0.0975368814192344,-0.0981904761904762,-0.152020202020202,0.12,0.143203565007711,0.143203565007711,-0.146121467842987,-0.148020202020202,-0.208039990111703,-0.140679414747211,-0.138888888888889,-0.117932502911089,-0.207563408150605
"Csn",-0.295275625950216,-0.219734522591729,0.166927245474461,-0.02,0.133333333333333,0.197655413912496,0.0255980148883375,0.0255980148883375,0.15,0.160344827586207,0.159366240749778,0.161549646863315,0.157076620782572,0.155453048924484,0.160344827586207,-0.145,0.161549646863315,-0.315610502269319,-0.312347546415193,-0.106736244829613,0.103333333333333,0.0142857142857143,-0.0280014010315438,-0.145,-0.145,0.0268921927745457,0.00162008281573499,0.000334735772033187,0.0424916679394844,-0.173903873903874,-0.0230833682446586,0.0903677324407967,-0.00520725912553653,-0.17005772005772,-0.166161616161616,-0.013563122923588,-0.125,-0.0112554112554113,0.076349436938167,-0.126184354059529,0.1506,-0.112424242424242,-0.118390151515151,-0.121515151515151,-0.123507462686567,0.0142857142857143,0.315610502269319,0.315610502269319,-0.118467991417979,-0.119661308840413,-0.146385801655176,-0.159327424641093,-0.15,0.0499410075821526,-0.0107513463829872
"RAS",-0.127906976744186,-0.0839577298879624,-0.0887445887445888,0.1,0,0.170540184453228,0.0324116347569956,0.0324116347569956,0.1,0.15,0.139950980392157,0.144117647058824,0.141989987484355,0.143406418079256,0.15,0.1,0.144117647058824,-0.154102564102564,-0.256025641025641,-0.00137659783677483,-0.06,-0.2,0.11664406779661,0.133333333333333,0.0866666666666667,0.0210714285714286,0.125974025974026,0.150463821892393,-0.0727104277547802,0.0318768619662364,0.098,-0.220112503193999,-0.0696,0.0526315789473684,0.1,-0.0294466403162055,-0.02,0.15,0.0949811320754717,-0.0516639388979815,-0.0533333333333333,0.035,0.0343808049535604,0.0402631578947368,-5.55111512312578e-18,-0.1,0.154102564102564,0.154102564102564,-0.0207338380896913,-0.00588235294117648,-0.0388888888888889,-0.141989987484355,-0.1,-0.0207227129663417,-0.100867857024233
"EGR1",-0.0176623376623377,0.114617144521054,0.197387238723872,0.133333333333333,0.1,0.10523003996654,0.0698115611532458,0.0698115611532458,0.08,0.0688888888888889,0.0742547425474255,0.0688888888888889,0.0779025560213679,0.0765232456765403,0.0688888888888889,0.0583333333333333,0.0715915915915916,0.0296628407460545,0.0278446589278727,-0.0505323585913296,0.16,0.0333333333333333,0.0365364396654719,0.0208333333333333,0.031359649122807,0.0919011189175124,0.024142345110087,0.00736815156169994,-0.045336145194274,0.0607692307692308,0.0235364396654719,-0.0908597971371694,0.0328155504626093,0.0453846153846154,0.0346153846153846,-0.0129347091160302,-0.080952380952381,-0.0172043010752688,0.0389380417004726,-0.0868308865047996,-0.0591374269005848,-0.17304347826087,-0.186241218373864,-0.184907885040531,-0.114285714285714,-0.0333333333333333,-0.0296628407460545,-0.0296628407460545,-0.115179902065148,-0.123376623376623,-0.130890398211429,-0.0775321856509975,-0.08,-0.0966017864296531,-0.108367592876765
"Jagged",-0.0547892720306513,0.00488030888030888,0.18,0,0,0.0142857142857143,0.0763285024154589,0.0763285024154589,0,0,0.0123076923076923,0.02,0.00321678321678322,0.00651348651348651,0,0,0.02,0.0333333333333333,0.0333333333333333,-0.075,0.1,-0.1,-0.0108974358974359,0.1,0.133333333333333,0.0111111111111111,-0.0666666666666667,-0.0523809523809524,-0.023030303030303,-0.0228571428571429,0.0583333333333333,-0.114529914529915,-0.016969696969697,0.02,0,-0.0333333333333333,-0.2,0.133333333333333,0.0205128205128205,-0.078,-0.0777777777777778,-0.2,-0.146666666666667,-0.18,-0.1,0,-0.0333333333333333,-0.0333333333333333,-0.0946666666666667,-0.0666666666666667,-0.0971428571428571,-0.0123076923076923,0,-0.00799158587890982,-0.0273333333333333
"KLF4",-0.116731097005073,-0.113454692999211,-0.0215980560320183,0.1,0.0333333333333333,-0.0524229049762898,0.0821001031991744,0.0821001031991744,0.0333333333333333,0.0392156862745098,0.0479165683915908,0.0461924304605563,0.0477977816311249,0.0464279186174262,0.0392156862745098,0,0.0461924304605563,-0.0324358974358974,-0.0324358974358974,-0.0576798891153897,-0.04,0.0333333333333333,-0.0182795698924731,-0.02,-0.00571428571428572,0.0703703703703704,0.0453333333333333,0.0380869565217391,0.034041161237563,0.03101760962857,0,-0.0559348898641967,-0.031986161986162,0.0361722488038278,0.0309090909090909,-0.0287394957983193,-0.0590909090909091,0,0.0529684601113173,-0.0519651416122004,0.00941798941798942,0.0309090909090909,0.0181134571916864,0.019144385026738,-0.0550909090909091,0,0.0324358974358974,0.0324358974358974,-0.0476762749445676,-0.0510909090909091,-0.0138194304407251,-0.0488011261127302,-0.0333333333333333,0.0309427609427609,0.0074383337223365
"FOXC2",-0.116731097005073,-0.113454692999211,-0.0215980560320183,0.1,0.0333333333333333,-0.0524229049762898,0.0821001031991744,0.0821001031991744,0.0333333333333333,0.0392156862745098,0.0479165683915908,0.0461924304605563,0.0477977816311249,0.0464279186174262,0.0392156862745098,0,0.0461924304605563,-0.0324358974358974,-0.0324358974358974,-0.0576798891153897,-0.04,0.0333333333333333,-0.0182795698924731,-0.02,-0.00571428571428572,0.0703703703703704,0.0453333333333333,0.0380869565217391,0.034041161237563,0.03101760962857,0,-0.0559348898641967,-0.031986161986162,0.0361722488038278,0.0309090909090909,-0.0287394957983193,-0.0590909090909091,0,0.0529684601113173,-0.0519651416122004,0.00941798941798942,0.0309090909090909,0.0181134571916864,0.019144385026738,-0.0550909090909091,0,0.0324358974358974,0.0324358974358974,-0.0476762749445676,-0.0510909090909091,-0.0138194304407251,-0.0488011261127302,-0.0333333333333333,0.0309427609427609,0.0074383337223365
"Ecadherin",-0.115406593693815,-0.112802316484765,-0.0189664770846499,0,0.0333333333333333,-0.0513919771412383,0.0868394396920654,0.0868394396920654,0.0392156862745098,0.0461924304605563,0.0472499017249241,0.0479165683915908,0.0464279186174262,0.0458676945277904,0.0461924304605563,-0.02,0.0488011261127302,-0.0324358974358974,-0.0313185790001432,-0.0586292562039973,-0.0309090909090909,0,-0.023003979341292,-0.00571428571428572,-0.00941798941798942,0.0716361931551805,0.0380869565217391,0.0388133487735551,0.0356429919011786,0.0254414014501314,-0.0182795698924731,-0.0558746851682304,-0.034034579118378,0.03101760962857,0.0361722488038278,-0.0226992273419435,-0.0550909090909091,0,0.0570883102985832,-0.0540135587444164,0.0172101972101972,0.019144385026738,0.0208585552309021,0.0181134571916864,-0.0510909090909091,0.0333333333333333,0.0324358974358974,0.0324358974358974,-0.0493037613821806,-0.0476762749445676,-0.0163365929121209,-0.0477977816311249,-0.0392156862745098,0.0303017353017353,-0.093340634145239
"SNAI2",-0.167380117745837,-0.165408732554162,-0.0576402974983097,0.1,-0.08,-0.109644377803506,0.12298783301867,0.12298783301867,-0.0709090909090909,-0.0637662337662338,-0.0529806647370856,-0.056723980245107,-0.0513919771412383,-0.051857815650555,-0.0637662337662338,0.0666666666666667,-0.056723980245107,0.0165361304967415,0.0156228884876091,-0.1192414750347,-0.0666666666666667,-0.08,0.0939103528735438,0.0416666666666667,0.0451149425287356,0.109807692307692,0.0778001341381623,0.0687092250472532,-0.0701766578580495,0.0868933697881066,0.103769507803121,0.243617120756449,-0.0540264451640055,0.0907894736842105,0.0925438596491228,-0.0506630500301386,-0.0509803921568627,0.0976470588235294,0.118141025641026,0.034276282448336,-0.0439101232516272,0.0490196078431373,0.0298887122416534,0.0352941176470588,-0.0557422969187675,-0.1,-0.0165361304967415,-0.0165361304967415,-0.0524031240143772,-0.0548875960640667,0.00706087092971596,0.0524229049762898,0.0709090909090909,0.12884731362254,0.205354847562541
"SOSGRB2",-0.254782608695652,-0.208670337864969,0.185,0,0,0.0937362486248625,0.129135338345865,0.129135338345865,0,0.0714285714285714,0.0920807453416149,0.0964285714285714,0.0856619810395554,0.0854707764506453,0.0714285714285714,0,0.093167701863354,-0.0760828625235405,-0.0722367086773866,-0.141322672352523,0.0761904761904762,-0.0666666666666667,0.0211292688036874,0.0333333333333333,0.0596491228070175,0.103421052631579,0.0283870967741935,0.0332822016692984,0.00210410824274978,-0.00793854033290653,0.0653153153153153,0.198523913094662,-0.0350522843664068,0.0272727272727273,0.0272727272727273,0.0634469696969697,-0.214285714285714,0.116666666666667,-0.0389254385964912,-0.176463768115942,-0.0179824561403509,-0.0873015873015873,-0.0960648960648961,-0.09000429000429,-0.184285714285714,0,0.0760828625235405,0.0760828625235405,-0.173865637908191,-0.168901098901099,-0.185396825396825,-0.0888198757763975,0,0.0801524511524511,0.0132243532322211
"RKIP",-0.235460992907801,-0.222154715544755,0.324761904761905,-0.1,0,0.0822550398499766,0.135286465805835,0.135286465805835,0,0.0666666666666667,0.0828205128205128,0.0866666666666667,0.0751134830082198,0.0748590300820112,0.0666666666666667,-0.1,0.0824561403508772,-0.124025974025974,-0.11975246975247,-0.28832964611841,0.17,0.0333333333333333,-0.0863169398907104,-0.0571428571428571,-0.0321428571428571,0.111286465805835,-0.0819212665810869,-0.0848915636107898,0.102009054895303,-0.0974358974358975,-0.0453333333333333,0.321259835635601,-0.00762364445558829,-0.0666666666666667,-0.0666666666666667,0.0718544328300426,-0.3,0.00666666666666667,0.0880252100840336,-0.237501485442662,0.0715367965367965,-0.27,-0.277190022010271,-0.266551724137931,-0.28,0.1,0.124025974025974,0.124025974025974,-0.270387182910547,-0.265714285714286,-0.281712348953728,-0.0786099865047233,0,0.0860544578191637,0.0276375955290314
"RAF",-0.235460992907801,-0.222154715544755,0.324761904761905,-0.1,0,0.0822550398499766,0.135286465805835,0.135286465805835,0,0.0666666666666667,0.0828205128205128,0.0866666666666667,0.0751134830082198,0.0748590300820112,0.0666666666666667,-0.1,0.0824561403508772,-0.124025974025974,-0.11975246975247,-0.28832964611841,0.17,0.0333333333333333,-0.0863169398907104,-0.0571428571428571,-0.0321428571428571,0.111286465805835,-0.0819212665810869,-0.0848915636107898,0.102009054895303,-0.0974358974358975,-0.0453333333333333,0.321259835635601,-0.00762364445558829,-0.0666666666666667,-0.0666666666666667,0.0718544328300426,-0.3,0.00666666666666667,0.0880252100840336,-0.237501485442662,0.0715367965367965,-0.27,-0.277190022010271,-0.266551724137931,-0.28,0.1,0.124025974025974,0.124025974025974,-0.270387182910547,-0.265714285714286,-0.281712348953728,-0.0786099865047233,0,0.0860544578191637,0.0276375955290314
"Wnt",-0.309012539184953,-0.200093401204876,0.345454545454545,-0.1,0,0.265454545454545,0.149402199904352,0.149402199904352,0.1,0.3,0.230263157894737,0.225,0.226691729323308,0.224704974356421,0.2,-0.1,0.225,-0.319548872180451,-0.315003417634997,-0.183695652173913,0.1,-0.1,0.00303030303030303,-0.0666666666666667,-0.0866666666666667,0.127450980392157,0.0393162393162393,0.0276883323394951,0.046593137254902,-0.176190476190476,0.0363636363636364,0.0901724137931035,-0.00414141414141414,-0.142857142857143,-0.1,-0.0548717948717949,-0.3,0.1,0.131666666666667,-0.234117647058824,0.124166666666667,-0.2,-0.225882352941176,-0.22,-0.3,0,0.319548872180451,0.319548872180451,-0.288695652173913,-0.28,-0.328097165991903,-0.230263157894737,-0.2,0.0358050847457627,-0.134668989547038
"Frizzled",-0.301133751306165,-0.195584117385247,0.348484848484849,-0.1,0.1,0.270105708245243,0.162273487033065,0.162273487033065,0.2,0.225,0.226691729323308,0.230263157894737,0.224704974356421,0.22422878388023,0.225,-0.0666666666666667,0.230263157894737,-0.315003417634997,-0.307916803461768,-0.185282953761215,0.2,-0.1,-0.00664711632453568,-0.0866666666666667,-0.124166666666667,0.151260504201681,0.0276883323394951,0.0454453416852895,0.049623440285205,-0.189915966386555,0.00303030303030303,0.0892260415533558,0.00679608585858586,-0.176190476190476,-0.142857142857143,-0.0442334969994544,-0.3,0.0363636363636364,0.135238095238095,-0.236974789915966,0.142916666666667,-0.22,-0.244400871459695,-0.225882352941176,-0.28,-0.1,0.315003417634997,0.315003417634997,-0.299171842650103,-0.288695652173913,-0.342050654363996,-0.226691729323308,-0.3,0.0316781006187786,-0.13630069117874
"ILK",-0.309030784030784,-0.210325321870457,0.348461538461538,0,0.1,0.281714285714286,0.172851242351948,0.172851242351948,0.2,0.233333333333333,0.241761426978818,0.246376811594203,0.240066511724581,0.240272697291591,0.233333333333333,0.0333333333333333,0.246376811594203,-0.323376623376623,-0.315157445294432,-0.200148953301127,0.2,-0.1,-0.00854700854700854,0,-0.0411764705882353,0.16140350877193,0.0337174869947979,0.0505174869947979,0.0557894736842105,-0.204590570719603,0.00256410256410257,0.0245187919343087,0.0100384661860072,-0.188461538461538,-0.15,-0.0490330609087546,-0.3,0.0333333333333333,0.15521978021978,-0.242012015069748,0.0591251885369532,-0.228571428571429,-0.255765256922441,-0.234453781512605,-0.282352941176471,-0.1,0.323376623376623,0.323376623376623,-0.304922046867527,-0.294352941176471,-0.345570267131243,-0.241761426978818,-0.2,0.00751506327719547,-0.174417912877643
"SHH",-0.271794871794872,-0.295844155844156,0.15,0,0,-0.219047619047619,0.2,0.2,-0.1,-0.2,-0.15,-0.2,-0.03,-0.0188888888888889,-0.1,0,-0.1,0,-0.0230769230769231,-0.216666666666667,0,-0.2,0.253333333333333,0,0.1,0.2,0.0666666666666667,0.05,-0.105714285714286,0.2,0.333333333333333,-0.198544061302682,0,0.2,0.1,-0.0666666666666667,-0.2,0.3,0.18,-0.075,-0.1,-0.1,-0.16,-0.1,-0.233333333333333,-0.2,0,0,-0.353333333333333,-0.333333333333333,-0.225,0.05,0.2,-0.0992114695340502,-0.0588888888888889
"Patched",-0.276556776556777,-0.299140859140859,0.183333333333333,0,-0.1,-0.200865800865801,0.208333333333333,0.208333333333333,-0.1,-0.2,-0.1375,-0.15,-0.0188888888888889,-0.0120927723840345,-0.1,0,-0.05,-0.0230769230769231,-0.0418269230769231,-0.232795698924731,0.1,-0.3,0.228333333333333,0.1,0.1,0.188888888888889,0.05,0.04,-0.0871957671957672,0.190909090909091,0.253333333333333,-0.191877394636015,-0.00714285714285714,0.2,0.2,-0.0435897435897436,-0.233333333333333,0.333333333333333,0.194285714285714,-0.0935185185185185,-0.114285714285714,-0.1,-0.167692307692308,-0.16,-0.333333333333333,-0.2,0.0230769230769231,0.0230769230769231,-0.361666666666667,-0.353333333333333,-0.245,0.03,0.2,-0.0964336917562724,-0.0637432578209277
"SMO",-0.283352893061631,-0.29681527774551,0.220175438596491,0,-0.1,-0.187072697417525,0.220197740112994,0.220197740112994,-0.1,-0.15,-0.126388888888889,-0.1375,-0.0120927723840345,-0.00833337388779392,-0.05,0.1,-0.03,-0.0418269230769231,-0.0464780858676208,-0.237557603686636,0.1,-0.333333333333333,0.217222222222222,0.1,0.114285714285714,0.197222222222222,0.04,0.0384126984126984,-0.0764814814814815,0.170909090909091,0.228333333333333,-0.187115489874111,-0.00840867992766727,0.190909090909091,0.2,-0.0293040293040293,-0.333333333333333,0.253333333333333,0.19984126984127,-0.10822440087146,-0.0942857142857143,-0.16,-0.188904428904429,-0.167692307692308,-0.353333333333333,-0.3,0.0418269230769231,0.0418269230769231,-0.372477477477478,-0.361666666666667,-0.262241379310345,0.0188888888888889,0.2,-0.0954628179698646,-0.0685403057914074
