"","ILK","AKT","NFB","CDC42","PAK1","Csn","AXIN2","TCFLEF","TrCP","RAS","NOTCHic","RAF","PI3K","DELTA","STAT","SNAI2","cfos","ERK","TWIST1","MEK","EGR1","LIV1","DSH","Frizzled","SRC","NOTCH","RKIP","Ecadherin","Destcompl","Csl","Wnt","SOSGRB2","SNAI1","cMet","GLI","CD44","Jagged","cateninmemb","FOXC2","cateninnuc","TGF","TGFR","GSK3","SUFU","IKK","FUS","SMO","Patched","ZEB2","ZEB1","HEY1","miR200","SHH","SMAD","KLF4"
"SUFU",-0.101351766513057,0.15814116085257,0.118285714285714,0.111441441441441,0.103333333333333,0.114285714285714,-0.453687782466016,-0.290545199180588,0.1,-0.365682595240777,0.293787878787879,-0.36726487372179,-0.36726487372179,-0.36726487372179,-0.283333333333333,-0.412300151961023,0.0596736596736597,0.0746161884092919,-0.180609661363331,-0.0861055501114195,-0.0384615384615385,0.25,0.1875,0.198611111111111,0.294444444444444,-0.30489898989899,-0.0621111812422564,-0.0684098179514601,0.354753551832236,-0.275606060606061,0.200534188034188,0.0413507545086492,-0.0792628974662401,0.297357065803668,0.197188463127125,0.294349547006675,-0.141946001401829,0.153298438453352,-0.126329592484677,0.285174355190819,-0.129497171853964,-0.121015909526548,0.333467835308014,0.133333333333333,-0.141362637362637,0.158333333333333,0.169444444444444,0.158333333333333,0.141377939327449,0.141377939327449,0.120759579167122,0.142068861457023,0.150225225225225,0.0858783254045118,0.17127766325273
"FUS",-0.116190476190476,0.141362637362637,0.114285714285714,0.103333333333333,0.0866666666666667,0.1,-0.45158005412878,-0.294349547006675,0.1,-0.36726487372179,0.275606060606061,-0.365954830053667,-0.365954830053667,-0.365954830053667,-0.25,-0.409861127570779,0.0384615384615385,0.0596736596736597,-0.177104506724156,-0.0746161884092919,0,0.2,0.15,0.1875,0.283333333333333,-0.293787878787879,-0.05435607920144,-0.0613037417413674,0.354913041465409,-0.260606060606061,0.198611111111111,0.0378542510121457,-0.0743225226791873,0.294444444444444,0.200534188034188,0.297357065803668,-0.138383056033658,0.160801849094553,-0.11516333938294,0.290545199180588,-0.121015909526548,-0.111441441441441,0.333981974125495,0.133333333333333,-0.118285714285714,0.133333333333333,0.158333333333333,0.169444444444444,0.154904509375758,0.154904509375758,0.132807771938207,0.156938749932859,0.158333333333333,0.101351766513057,0.186247723132969
"SMO",-0.14,0.118285714285714,0.1,0.0866666666666667,0.0666666666666667,0.1,-0.4410210479176,-0.297357065803668,0,-0.365954830053667,0.260606060606061,-0.354326923076923,-0.354326923076923,-0.354326923076923,-0.2,-0.402859332238643,0,0.0384615384615385,-0.167156862745098,-0.0596736596736597,0.1,0.1,0.1,0.15,0.25,-0.275606060606061,-0.043015873015873,-0.0500708650290386,0.352431289640592,-0.233333333333333,0.1875,0.0263157894736842,-0.0620583717357911,0.283333333333333,0.198611111111111,0.294444444444444,-0.127539682539683,0.16843685840554,-0.100689655172414,0.294349547006675,-0.111441441441441,-0.103333333333333,0.330971940680679,0.1,-0.114285714285714,0.133333333333333,0.133333333333333,0.158333333333333,0.171468926553672,0.171468926553672,0.151648351648352,0.171790235081374,0.169444444444444,0.116190476190476,0.194444444444444
"Patched",-0.15,0.114285714285714,0.1,0.0666666666666667,-0.0333333333333333,0,-0.416883116883117,-0.294444444444444,0,-0.354326923076923,0.233333333333333,-0.323076923076923,-0.323076923076923,-0.323076923076923,-0.1,-0.385716475095785,-0.1,0,-0.158333333333333,-0.0384615384615385,0.1,0.1,0,0.1,0.2,-0.260606060606061,-0.0485714285714286,-0.0378937432578209,0.345454545454545,-0.2,0.15,0,-0.043010752688172,0.25,0.1875,0.283333333333333,-0.116825396825397,0.175232974910394,-0.08,0.297357065803668,-0.103333333333333,-0.0866666666666667,0.324175824175824,0,-0.1,0.1,0.133333333333333,0.133333333333333,0.183333333333333,0.183333333333333,0.156410256410256,0.185714285714286,0.158333333333333,0.14,0.211111111111111
"SHH",-0.133333333333333,0.1,0,-0.0333333333333333,0,0,-0.371428571428571,-0.283333333333333,0,-0.323076923076923,0.2,-0.3,-0.3,-0.3,-0.1,-0.360383141762452,-0.1,-0.1,-0.125,0,0,0,0,0,0.1,-0.233333333333333,-0.02,-0.0213888888888889,0.331168831168831,-0.1,0.1,0,-0.0333333333333333,0.2,0.15,0.25,-0.105714285714286,0.18078853046595,-0.05,0.294444444444444,-0.0866666666666667,-0.0666666666666667,0.305128205128205,0,-0.1,0,0.1,0.133333333333333,0.2,0.2,0.133333333333333,0.2,0.133333333333333,0.15,0.2
"DSH",-0.290282120014787,-0.136738505747126,-0.165833333333333,-0.10231884057971,-0.106666666666667,-0.153333333333333,-0.359522930214717,-0.327043934339159,-0.133333333333333,-0.237992788193905,-0.051890756302521,-0.229309314804549,-0.229309314804549,-0.229309314804549,-0.25,-0.184838993061355,0.0376470588235294,0.0598692810457516,-0.102177722152691,-0.0786662735269546,-0.02,0.2,0.25,0.286842105263158,0.286842105263158,0.0372054416172063,-0.0314718614718615,0.138924325244696,0.352541491978287,0.0773809523809524,0.308270676691729,0.143089430894309,-0.00934437543133195,0.308270676691729,0.31938178780284,0.320853458148683,0.0321984205944534,0.22875984993027,0.0218962514433751,0.328557736654386,0.0850366106145533,0.0937474120082816,0.267038187297408,0.2,0.147083333333333,0.263636363636364,0.296969696969697,0.313098729227761,0.281573887457996,0.281573887457996,0.274723059695064,0.287487758684405,0.323528177080522,0.28613117661856,0.292866661227598
"Frizzled",-0.285609222818525,-0.147083333333333,-0.153333333333333,-0.106666666666667,-0.1,-0.133333333333333,-0.340535588442565,-0.320853458148683,-0.1,-0.229309314804549,-0.0773809523809524,-0.217498291182502,-0.217498291182502,-0.217498291182502,-0.2,-0.171684161862287,0.02,0.0376470588235294,-0.0894117647058823,-0.0598692810457516,0,0.1,0.3,0.25,0.25,0.051890756302521,-0.0223809523809524,0.147440567562519,0.34528958358134,0.0857142857142857,0.286842105263158,0.133333333333333,-0.00151828847481021,0.286842105263158,0.308270676691729,0.308270676691729,0.0376247771836007,0.230526634382567,0.0379135674606911,0.327043934339159,0.0937474120082816,0.10231884057971,0.258453500522466,0.1,0.165833333333333,0.2,0.263636363636364,0.296969696969697,0.288660501631225,0.288660501631225,0.269459901800327,0.294195075757576,0.313098729227761,0.290282120014787,0.293837535014006
"Wnt",-0.278632478632479,-0.165833333333333,-0.133333333333333,-0.1,-0.1,-0.1,-0.31030303030303,-0.308270676691729,-0.1,-0.217498291182502,-0.0857142857142857,-0.190225563909774,-0.190225563909774,-0.190225563909774,-0.1,-0.151810344827586,0,0.02,-0.0694117647058824,-0.0376470588235294,0.1,0,0.2,0.3,0.2,0.0773809523809524,-0.0116666666666667,0.156997677119628,0.332822740080014,0.1,0.25,0.112121212121212,0.0111801242236025,0.25,0.286842105263158,0.286842105263158,0.0467156862745098,0.227669491525424,0.0565182186234818,0.320853458148683,0.10231884057971,0.106666666666667,0.244514106583072,0,0.153333333333333,0.1,0.2,0.263636363636364,0.291630798660928,0.291630798660928,0.263076923076923,0.295757575757576,0.296969696969697,0.285609222818525,0.284313725490196
"NFB",-0.415057755775578,-0.217932217932218,-0.242857142857143,-0.306565656565657,-0.311111111111111,-0.142857142857143,-0.487781155015198,-0.473001831894773,-0.1,-0.222563405461891,-0.0178932178932179,-0.199180320884776,-0.199180320884776,-0.199180320884776,-0.3,-0.0784326900749534,0.0208571428571429,0.0675238095238095,-0.130382819794584,-0.10347152194211,0.00714285714285715,0.2,0.3,0.369230769230769,0.369230769230769,-0.017590653074524,0.0425108589043015,0.336820657042444,0.47500835972198,0.0480519480519481,0.423076923076923,0.329672711189739,0.0274968919562666,0.423076923076923,0.454537597234226,0.455280312907432,-0.0738944664324773,0.460166133678136,0.150937491017172,0.479982224051636,0.276509960363125,0.292965656565657,0.346579400991166,0.2,0.24015444015444,0.3,0.377777777777778,0.429501915708812,0.306370754472388,0.306370754472388,0.40390314020345,0.3198585752441,0.457212759082306,0.408738053173347,0.327472527472527
"AKT",-0.333143817527011,-0.167530508706979,-0.0843137254901961,-0.138647058823529,-0.142647058823529,-0.0666666666666667,-0.388750214887399,-0.369170609209658,-0.0333333333333333,-0.192003826728369,-0.069727047146402,-0.176823103836802,-0.176823103836802,-0.176823103836802,-0.255555555555556,-0.13206213039423,0.0176470588235294,0.0422372227579556,-0.0861282086971468,-0.0624903873149177,0,0.2,0.255555555555556,0.303381642512077,0.303381642512077,0.0514343642195727,0.00259548635507714,0.199247318875665,0.390860371546909,0.0923076923076923,0.33568933481977,0.187179487179487,0.0208777378228179,0.33568933481977,0.355242407445468,0.35659328962203,0.0314476588823051,0.277886458286796,0.0678340974387188,0.374862916901966,0.124798902215075,0.13295600191296,0.19787913699204,0.2,0.0766214177978884,0.266666666666667,0.312820512820513,0.340598290598291,0.323041846439372,0.323041846439372,0.31639410300547,0.328537400379252,0.360598290598291,0.333480517863711,0.330589293747188
"ILK",-0.319543817527011,-0.0766214177978884,-0.0666666666666667,-0.142647058823529,-0.125,-0.0333333333333333,-0.360952380952381,-0.35659328962203,0,-0.176823103836802,-0.0923076923076923,-0.157645021645022,-0.157645021645022,-0.157645021645022,-0.2,-0.113268160544984,0,0.0176470588235294,-0.0680853952414893,-0.0422372227579556,0,0.1,0.2,0.255555555555556,0.255555555555556,0.069727047146402,0.0131544925662573,0.207732167360514,0.379363266501417,0.1,0.303381642512077,0.173846153846154,0.0306521739130435,0.303381642512077,0.33568933481977,0.33568933481977,0.0380701754385965,0.275745785503921,0.0858792102206736,0.369170609209658,0.13295600191296,0.138647058823529,0.183766233766234,0.1,0.0843137254901961,0.2,0.266666666666667,0.312820512820513,0.327151435480468,0.327151435480468,0.303612148118252,0.332280715887273,0.340598290598291,0.333143817527011,0.326315789473684
"Csn",-0.385555124223602,-0.238366666666667,-0.243333333333333,-0.159735413839891,-0.152272727272727,-0.21,-0.378589864652188,-0.360230669063511,-0.06,-0.25258159150587,-0.128499278499279,-0.237418443713163,-0.237418443713163,-0.237418443713163,-0.25,-0.137021491955244,0.00666666666666667,0.0261471861471861,-0.0723390992675705,-0.0480221861471861,-0.00666666666666667,0.2,0.25,0.294827586206897,0.294827586206897,0.115999278499278,0.0325664915404192,0.19201379332054,0.388998480118971,0.147979797979798,0.324948068134607,0.181784849533034,0.0724496850611846,0.324948068134607,0.344598723156441,0.346725845912385,0.103738496665218,0.265610332224184,0.0999902269991371,0.367626940861466,0.151204724163617,0.157171311275789,0.308709867172899,0.2,0.239166666666667,0.277777777777778,0.329292929292929,0.36692733789508,0.412282878411911,0.412282878411911,0.366708194905869,0.421297968526925,0.393976518222949,0.397123247616919,0.411345256051138
"TCFLEF",-0.34648348143085,-0.199626655252181,-0.18774025974026,-0.34752534287418,-0.335897435897436,-0.15974025974026,0.337189255189255,-0.133058078427656,-0.114285714285714,0.0111726124957551,-0.22823210585047,0.0223421262933898,0.0223421262933898,0.0223421262933898,0.0416666666666667,0.204966831033664,-0.19815331010453,-0.191486643437863,0.196732754079104,0.182643106022897,0.195714285714286,-0.0666666666666667,-0.0372549019607843,-0.00725490196078432,-0.0116666666666667,0.224577620800636,0.130125361620058,0.35052276623324,-0.183922383205366,0.236075243105372,0.0106938159879336,-0.0683482266236757,0.256332753717691,0.00628205128205127,0.0262217662984926,0.0226342525399129,0.172954160739145,0.299605304696591,0.433468164181863,0.140016841314254,0.348401124269241,0.349394501752685,-0.0765691075975563,0.0166666666666667,0.194191872643486,0.09,0.128095238095238,0.158740399385561,0.428862041467305,0.428862041467305,0.269465791226568,0.444174012065578,0.178985798158567,0.359294188887829,0.322335752482811
"TGF",-0.437878787878788,-0.376002506265664,-0.308333333333333,-0.442222222222222,-0.42,-0.233333333333333,-0.275352733686067,-0.27751572327044,-0.2,-0.0380952380952381,-0.293333333333333,-0.00952380952380953,-0.00952380952380953,-0.00952380952380953,-0.1,-0.13063344650467,0.0666666666666667,0.0614035087719298,0.134814814814815,-0.0769590643274854,-0.0666666666666667,0,0.1,0.142857142857143,0.166666666666667,0.282988505747126,0.236796536796537,0.228840958170978,0.172943596074061,0.273333333333333,0.192857142857143,0.371052631578947,0.282561983471074,0.216666666666667,0.228706199460916,0.25251572327044,0.221545164457536,0.288166337919153,0.334549689440994,0.293783665854172,0.360079365079365,0.456507936507937,0.275914018575467,0.133333333333333,0.365476190476191,0.233333333333333,0.333333333333333,0.385057471264368,0.476217090816633,0.476217090816633,0.381044487427466,0.487310103689414,0.435057471264368,0.470136852394917,0.45258072718027
"AXIN2",-0.400391074304118,-0.419033816425121,-0.342995169082126,-0.278364197530864,-0.2475,-0.277777777777778,0.662686070314614,0.285622022230093,-0.2,0.345841821324752,-0.358107769423559,0.351616099539975,0.351616099539975,0.351616099539975,0.3,0.405354246859247,-0.296585365853659,-0.319949851834967,0.351589538851202,0.331673989766001,0.26,-0.266666666666667,-0.3,-0.311627906976744,-0.311627906976744,0.375675336991126,0.365299440702667,0.218995548457983,-0.371048196133152,0.325964912280702,-0.308179631114675,-0.0243500927932905,0.433438522209014,-0.308179631114675,-0.298116738032914,-0.29840045130395,0.404160803943413,-0.16503808031795,0.432281286239132,-0.273386829839258,0.313464521722575,0.299603135583962,-0.334586164407675,-0.1,0.38792270531401,-0.0769230769230769,-0.0388278388278388,-0.00132783882783882,0.484423335690631,0.484423335690631,0.367372037351753,0.494755653882181,0.0337541283852759,0.442057740970784,0.437504371766245
"TGFR",-0.470136852394917,-0.380653669056362,-0.365476190476191,-0.456507936507937,-0.442222222222222,-0.308333333333333,-0.306683205789071,-0.293783665854172,-0.233333333333333,-0.0568086883876358,-0.282988505747126,-0.0380952380952381,-0.0380952380952381,-0.0380952380952381,-0.166666666666667,-0.149846409467633,0.0614035087719298,0.0769590643274854,0.115953604850402,-0.0947672835055676,-0.0666666666666667,0.1,0.142857142857143,0.192857142857143,0.216666666666667,0.272197138840652,0.22965367965368,0.22424129888648,0.186048434783738,0.293333333333333,0.228706199460916,0.389571150097466,0.276957263707063,0.25251572327044,0.252577167202852,0.27751572327044,0.222269802138695,0.2955566381501,0.321885933982479,0.303438227413074,0.356533265788585,0.360079365079365,0.292784434223388,0.233333333333333,0.376002506265664,0.333333333333333,0.385057471264368,0.435057471264368,0.486405770061916,0.486405770061916,0.407910159069257,0.499920074363901,0.468390804597701,0.491133293676056,0.47758072718027
"SMAD",-0.564140881949101,-0.308356676003735,-0.31031746031746,-0.262877263581489,-0.264285714285714,-0.305555555555556,-0.346663066674599,-0.319992282032668,-0.25,-0.305731382595035,-0.174745484400657,-0.290928751016087,-0.290928751016087,-0.290928751016087,-0.217142857142857,-0.126709317687463,0.0161290322580645,0.0440360090022506,-0.0333370993181369,-0.0651898551560967,0,0.16,0.19047619047619,0.234920634920635,0.261587301587302,0.162840722495895,0.151816585608875,0.219295464921187,0.207328183877634,0.194285714285714,0.261843711843712,0.228608399881692,0.16133005927764,0.290999066293184,0.279109898894072,0.309544520838639,0.227168132942326,0.314004531233993,0.189378557614474,0.324146284059011,0.247724466946799,0.254497375313332,0.318281924146586,0.4,0.308356676003735,0.45,0.505,0.540779816513761,0.489089614437017,0.489089614437017,0.498172184226211,0.506303363834707,0.56271290201562,0.466998024806244,0.494082237249329
"NOTCHic",-0.543809523809524,-0.273643410852713,-0.255555555555556,-0.375555555555556,-0.355555555555556,-0.2,-0.34714135968853,-0.347119547119547,-0.1,-0.232341751202321,-0.111705069124424,-0.202292490118577,-0.202292490118577,-0.202292490118577,-0.16,-0.126624622752172,-0.0533333333333333,-0.0247619047619048,0.00684703123334399,-0.0123809523809524,0.02,0.1,0.16,0.229230769230769,0.229230769230769,0.093284016492845,0.233389372486021,0.257113382057129,0.311839617989151,0.0342857142857143,0.280745920745921,0.264114832535885,0.288569393569394,0.280745920745921,0.318380329348071,0.321405261405261,0.142903267936381,0.346786608200293,0.311909150757077,0.363150081470692,0.368549186128804,0.375555555555556,0.296237452898895,0.2,0.266666666666667,0.3,0.384615384615385,0.466968325791855,0.602447665056361,0.602447665056361,0.621605351170569,0.617715386732728,0.519656497834866,0.574744775608085,0.59223602484472
"ZEB2",-0.679053810039725,-0.435835929387331,-0.405555555555556,-0.373766233766234,-0.361038961038961,-0.355555555555556,-0.335945917224579,-0.325613623260028,-0.3,-0.264985446388016,-0.260102564102564,-0.247640692640693,-0.247640692640693,-0.247640692640693,-0.21,-0.174003468607954,-0.103070175438596,-0.0837153367289191,0.0445869743879212,0.0666421659972117,0.108333333333333,0.15,0.195454545454545,0.235454545454545,0.25,0.250812946616225,0.253236714975845,0.260292408394712,0.26252047011344,0.264102564102564,0.268787878787879,0.277802197802198,0.282493485743807,0.286842105263158,0.289888796219071,0.30906432748538,0.316841171256325,0.324615350176785,0.329964257964258,0.334444792091197,0.373690647976362,0.375807050092764,0.382495097149803,0.4,0.425555555555556,0.485714285714286,0.557142857142857,0.608362369337979,0.628932221455443,0.628932221455443,0.629861267764494,0.640393505182052,0.644726005701615,0.699785517356799,0.716282204470232
"cfos",-0.557142857142857,-0.321052631578947,-0.275,-0.404761904761905,-0.371428571428571,-0.2,-0.317208538587849,-0.327401559975817,-0.1,-0.177307508369201,-0.175641025641026,-0.148039215686274,-0.148039215686274,-0.148039215686274,-0.15,-0.040252472588239,-0.08,-0.0669565217391304,0.0853766233766234,0.0381429624170965,-0.08,0.1,0.15,0.21,0.21,0.167948717948718,0.275454545454545,0.286176939891016,0.287511032075347,0.183333333333333,0.258148148148148,0.265277777777778,0.345314263795276,0.258148148148148,0.294990253411306,0.298688688688689,0.218298611111111,0.338390551096298,0.381258454601353,0.347031189605447,0.414565826330532,0.414565826330532,0.283192640692641,0.2,0.3,0.3,0.383333333333333,0.463978494623656,0.645485991006572,0.645485991006572,0.532533733133433,0.658496732026144,0.52447232178415,0.602304147465438,0.619428571428571
"TrCP",-0.602304147465438,-0.337719298245614,-0.3,-0.414565826330532,-0.404761904761905,-0.275,-0.351799733556402,-0.347031189605447,-0.2,-0.199580235641929,-0.167948717948718,-0.177307508369201,-0.177307508369201,-0.177307508369201,-0.21,-0.0637606100204271,-0.0669565217391304,-0.0381429624170965,0.0674418407679277,0.0181429624170965,0.08,0.15,0.21,0.258148148148148,0.258148148148148,0.161355311355311,0.276007031642391,0.281263445081328,0.302849377940009,0.175641025641026,0.294990253411306,0.286069856985699,0.337915695776183,0.298688688688689,0.321819521703989,0.327401559975817,0.217685114178596,0.347181759887506,0.369534316670318,0.358341534433033,0.412926482068237,0.414565826330532,0.302829004329004,0.3,0.321052631578947,0.383333333333333,0.463978494623656,0.52447232178415,0.659955444382778,0.659955444382778,0.57076902725108,0.674232772635281,0.56647232178415,0.623594470046083,0.647297423887588
"SNAI1",-0.623594470046083,-0.340497076023392,-0.321052631578947,-0.414565826330532,-0.414565826330532,-0.3,-0.376974558731228,-0.358341534433033,-0.275,-0.214358560765081,-0.161355311355311,-0.199580235641929,-0.199580235641929,-0.199580235641929,-0.258148148148148,-0.0807569224575709,-0.0381429624170965,-0.0181429624170965,0.0529803023063892,0.00289632564579609,0.0669565217391304,0.21,0.258148148148148,0.294990253411306,0.298688688688689,0.151151229722658,0.273078161349504,0.274655744769153,0.312991921799658,0.167948717948718,0.321819521703989,0.303805706042302,0.229374770509279,0.327401559975817,0.339918241996494,0.347031189605447,0.212979231825655,0.350394195120667,0.357209030774511,0.364433429115532,0.408692611100495,0.412926482068237,0.316360357464318,0.383333333333333,0.337719298245614,0.463978494623656,0.52447232178415,0.56647232178415,0.663768482513159,0.663768482513159,0.591007122489176,0.679900399916741,0.589967467415218,0.632573559836981,0.663185274354878
"STAT",-0.556199677938808,-0.355060532687651,-0.28,-0.351136363636364,-0.313636363636364,-0.2,0.128184364654953,0.0481698419001258,-0.1,0.126383127785391,-0.238526762056174,0.139815963606286,0.139815963606286,0.139815963606286,0.114285714285714,0.192365253347522,-0.113333333333333,-0.130980392156863,0.312259887372331,0.129905123339658,0.0333333333333333,-0.2,-0.114285714285714,-0.101785714285714,-0.101785714285714,0.251148121279475,0.317728442728443,0.16629660051593,-0.131143650238032,0.219607843137255,-0.0881493506493506,0.0698686371100164,0.413319797767338,-0.0881493506493506,-0.0688216195569137,-0.0667818292818293,0.275693041624436,0.00571647880447332,0.463540558963872,-0.0316024998262283,0.383300106326422,0.372188995215311,-0.0693146417445483,0.15,0.322857142857143,0.225,0.271666666666667,0.329806201550388,0.672960372960373,0.672960372960373,0.526666666666667,0.684095122297841,0.378478767922069,0.611372091731912,0.526252723311547
"ZEB1",-0.717501157728999,-0.534216689264144,-0.458947368421053,-0.376819923371647,-0.343486590038314,-0.38,0.260554683011044,0.190601287752071,-0.3,0.173816461486469,-0.436029411764706,0.184367642588831,0.184367642588831,0.184367642588831,0.241025641025641,0.311651719871694,-0.235333333333333,-0.250627450980392,0.391754090677563,0.257235380495811,0.183333333333333,-0.233333333333333,-0.247619047619048,-0.245180023228804,-0.238586616635397,0.449252552260574,0.385141215972937,0.0832445026227249,-0.25803969019806,0.4125,-0.231718484767265,0.111189083820663,0.447979722144506,-0.222900342125593,-0.21694185246486,-0.207622564347815,0.482018014389224,-0.124409621255881,0.511439346275765,-0.17729404704757,0.40741267288202,0.395601649259972,-0.0960971356535796,0.308333333333333,0.49993097497843,0.358333333333333,0.408333333333333,0.455392156862745,0.720756053776602,0.720756053776602,0.655049277147723,0.728150653372546,0.498452655083386,0.764135773113614,0.67194056035087
"miR200",-0.649623074401836,-0.466210810043978,-0.368421052631579,-0.346078431372549,-0.316666666666667,-0.3,0.0926231706753104,0.0169779410327241,-0.2,0.0506281655219013,-0.347290640394089,0.0673363949483353,0.0673363949483353,0.0673363949483353,0.1,0.168224983283701,-0.152857142857143,-0.18012987012987,0.289024983196762,0.180810142238714,0.142857142857143,-0.1,-0.1,-0.088,-0.0782608695652174,0.35915504717375,0.321821642965518,0.170034627505221,-0.116720755488255,0.316256157635468,-0.0696901408450704,0.164300451321728,0.373456543456543,-0.0599510104102878,-0.0477121188670484,-0.0352319092866923,0.3960239271158,0.0288551053963082,0.430891060159353,-0.000159759214542243,0.38189988673639,0.370271979759646,0.0620042823160133,0.26,0.434135338345865,0.3475,0.414166666666667,0.473660337552743,0.752925627240143,0.752925627240143,0.601101694915254,0.661988123585266,0.522573381031003,0.700093293837572,0.710041407867495
