"","Jagged","ILK","miR200","Csl","IKK","SMO","cateninmemb","Ecadherin","AKT","GSK3","AXIN2","cateninnuc","NFB","TCFLEF","RKIP","GLI","Wnt","TrCP","Frizzled","cfos","MEK","EGR1","ZEB1","DSH","SNAI2","FOXC2","TGFR","TGF","SOSGRB2","RAF","PI3K","DELTA","RAS","TWIST1","CDC42","PAK1","Destcompl","LIV1","STAT","ERK","SNAI1","SRC","cMet","CD44","FUS","Patched","SUFU","Csn","SHH","HEY1","NOTCHic","NOTCH","SMAD","ZEB2","KLF4"
"Frizzled",-0.00579991087344028,-0.103557940767243,-0.198251262626263,-0.0928571428571429,0.0316666666666667,-0.0909090909090909,0.157641242937853,0.160088731095812,0.0129166666666667,0.132460815047022,0.187582804792107,0.153312337134226,0.00666666666666668,0.148074241896131,-0.0938095238095238,0.140789473684211,0.140789473684211,0.1,0.125,-0.0333333333333333,-0.0583877995642701,-0.0333333333333333,-0.025800341870629,0.2,0.217310453606005,0.0684662461161849,0.055072463768116,0.0484057971014493,-0.096969696969697,0.0119958988380041,0.0119958988380041,0.0119958988380041,0.011208497263201,0.175798319327731,-0.0333333333333333,-0.0666666666666667,-0.0260329390786719,-0.1,-0.1,0.0509803921568627,0.107505175983437,-0.125,-0.140789473684211,-0.140789473684211,0.1,0.105194805194805,0,-0.0666666666666667,0.114872224549644,0.0983306055646481,0.0928571428571429,0.0791316526610644,0.123184108991542,0.256341889569158,0.250700280112045
"TCFLEF",0.0463079290454747,-0.0465919343814081,-0.211680662042108,0.166092778574845,-0.106934227063259,-0.103809523809524,-0.128239496906539,-0.0818782965651343,-0.101499444454564,0.0479006461182397,0.349164346764347,-0.106776870873836,-0.0908051948051948,-0.105831853691706,-0.20731643477063,0.0033478073503649,0.00521116138763198,-0.0857142857142857,0.00264705882352941,-0.20184668989547,-0.202799070847851,-0.204285714285714,-0.00963826865142655,0.0176470588235294,0.166703870122293,-0.00629180462969934,-0.0958074888959479,-0.091171727306544,0.0254887148779364,-0.0704042229439342,-0.0704042229439342,-0.0704042229439342,-0.0679075080950511,0.15104628236249,0.0920691711389386,0.0897435897435897,-0.0825399096864545,0,-0.0125,0.202799070847851,0.188455565819583,0.0025,-6.41025641025646e-05,0.00182268988872762,0.08,0.097357910906298,0.1,0.0948051948051948,0.10103889250139,0.0719451898372823,-0.156288857006217,-0.155292179265353,0.0467831389703182,0.260411704766968,0.163790743570155
"CD44",-0.130722610722611,-0.155555555555556,-0.209104084321476,-0.2,0,-0.1,-0.0132783882783883,0.0405802844425144,-0.02,0.0773809523809524,-0.06,-0.0168694096601073,0,-0.0230232558139535,-0.0737037037037037,-0.03,-0.05,0,-0.1,0,-0.02,0,0.0920634920634921,0,0.28957264957265,-0.106666666666667,-0.100833333333333,-0.106388888888889,-0.019047619047619,0.0857142857142857,0.0857142857142857,0.0857142857142857,0.0885714285714286,0.216263736263736,0.113333333333333,0.133333333333333,0.0727272727272727,0.1,0.1,0.02,0.250212652844232,0.2,0.15,0.03,0.1,0.12,0.1,0.1,0.147272727272727,0.149122807017544,0.214285714285714,0.219548872180451,0.165759637188209,0.263492063492063,0.353968253968254
"DSH",-0.00967587986568835,-0.123184108991542,-0.199470774821385,-0.0928571428571429,0.0129166666666667,-0.105194805194805,0.160114741171069,0.164566343036111,0.00716954022988507,0.135477056346326,0.194755800572698,0.153223289939213,0.0316666666666667,0.153312337134226,-0.10010323010323,0.147979016167871,0.140789473684211,0.0666666666666667,0.140789473684211,-0.0509803921568627,-0.0681622356544957,-0.0333333333333333,-0.031312152894251,0.125,0.223014760940114,0.0671675448174836,0.0484057971014493,0.0473605009342019,-0.0847745750184775,0.011208497263201,0.011208497263201,0.011208497263201,0.0103681611287472,0.180762858334823,-0.055072463768116,-0.0333333333333333,-0.0264146184679848,-0.1,-0.125,0.0583877995642701,0.113592132505176,-0.140789473684211,-0.140789473684211,-0.148074241896131,0.0909090909090909,0.114872224549644,0.1,-0.00666666666666668,0.127755660132466,0.114120079248859,0.0791316526610644,0.0798309533603651,0.117523731633052,0.266578110041599,0.253612901471268
"RKIP",-0.0802550731667879,-0.187580231065469,-0.209449880235312,-0.166666666666667,-0.0642857142857143,-0.18,0.265530067883009,0.257098115385241,-0.0551948051948052,0.071946414499606,0.217323019221753,0.207402969335472,-0.0142857142857143,0.19849711691817,0.00686274509803922,0.192564102564103,0.173333333333333,0,0.133333333333333,0.03,0.0116581071166544,0.08,0.0236374940219991,0.1,0.5103153231917,0.0327880931329207,-0.00190476190476191,0.00650645304850912,-0.178603174603175,-0.0146103896103896,-0.0146103896103896,-0.0146103896103896,-0.0223026973026973,0.302346999405823,-0.0266666666666667,-0.0333333333333333,-0.0729651442458516,0,-0.1,-0.026551724137931,0.174846821256566,-0.133333333333333,-0.170175438596491,-0.18940620782726,0.1,0.192,0.1,0,0.210032786885246,0.158110723964382,0.175757575757576,0.171911421911422,0.190550528095172,0.2693543758967,0.2493543758967
"RAF",-0.0802550731667879,-0.187580231065469,-0.209449880235312,-0.166666666666667,-0.0642857142857143,-0.18,0.265530067883009,0.257098115385241,-0.0551948051948052,0.071946414499606,0.217323019221753,0.207402969335472,-0.0142857142857143,0.19849711691817,0.00686274509803922,0.192564102564103,0.173333333333333,0,0.133333333333333,0.03,0.0116581071166544,0.08,0.0236374940219991,0.1,0.5103153231917,0.0327880931329207,-0.00190476190476191,0.00650645304850912,-0.178603174603175,-0.0146103896103896,-0.0146103896103896,-0.0146103896103896,-0.0223026973026973,0.302346999405823,-0.0266666666666667,-0.0333333333333333,-0.0729651442458516,0,-0.1,-0.026551724137931,0.174846821256566,-0.133333333333333,-0.170175438596491,-0.18940620782726,0.1,0.192,0.1,0,0.210032786885246,0.158110723964382,0.175757575757576,0.171911421911422,0.190550528095172,0.2693543758967,0.2493543758967
"GSK3",-0.00427442001167375,-0.117523731633052,-0.206622005770974,-0.0791316526610644,0.00716954022988507,-0.114872224549644,0.162325174415985,0.166048068423006,-0.00223216917182433,0.0354770563463259,0.200691873632059,0.155591710991845,0.0129166666666667,0.153223289939213,-0.106368894263631,0.154111091639569,0.147979016167871,0.00666666666666668,0.140789473684211,-0.0583877995642701,-0.0681622356544957,-0.0509803921568627,-0.0287861499224828,0.140789473684211,0.225516917972038,0.0660511173852667,0.0473605009342019,0.0450528086265096,-0.0861699238556868,0.0103681611287472,0.0103681611287472,0.0103681611287472,0.00805723675899927,0.186780784071059,-0.0484057971014493,-0.055072463768116,-0.0263793947976784,-0.125,-0.140789473684211,0.0681622356544957,0.115031778130868,-0.140789473684211,-0.148074241896131,-0.153312337134226,0.105194805194805,0.127755660132466,0.0909090909090909,-0.0316666666666667,0.126798722333423,0.108929767830174,0.0798309533603651,0.0821686156980275,0.123970508244746,0.270292820294199,0.26277320681478
"STAT",-0.114675613648808,-0.131803542673108,-0.243927596665521,-0.0823529411764706,-0.0633333333333333,-0.0583333333333333,-0.147540505958467,-0.0741962850286933,-0.0548587570621469,-0.118426791277259,-0.163171730230554,-0.129852725062491,-0.03,-0.126157850211478,-0.141452702702703,-0.119461420932009,-0.11525974025974,0,-0.110714285714286,-0.166666666666667,-0.173624288425047,-0.166666666666667,-0.0739017392863547,-0.0857142857142857,-0.0405587713721685,-0.0365753237900477,-0.00810406698564593,0.000108493400827497,0.107963875205255,0.0818961952026468,0.0818961952026468,0.0818961952026468,0.0871200757996617,-0.00942093888120875,0.00284090909090909,0.00909090909090909,0.083095359730725,0.2,0.0857142857142857,0.172549019607843,0.111012164344069,0.110714285714286,0.11525974025974,0.119533244533245,0.025,0.0467054263565891,0.05,0.05,0.0564399396309254,0.122,0.0958664546899841,0.100720823622023,0.129504692098395,0.276914111529496,0.380550604080016
"MEK",-0.0761567125110502,-0.190550528095172,-0.224000963826644,-0.175757575757576,-0.0551948051948052,-0.192,0.27504226300496,0.261651849447172,-0.0681359816653934,0.0756319181851097,0.232638334537069,0.214094419149599,-0.0642857142857143,0.207402969335472,-0.00234778121775025,0.201655011655012,0.192564102564103,0,0.173333333333333,0.026551724137931,-0.100008559550012,0.03,0.0260184464029514,0.133333333333333,0.522967391318221,0.0327880931329207,0.00650645304850912,0.00285681801201277,-0.198603174603175,-0.0223026973026973,-0.0223026973026973,-0.0223026973026973,-0.0276995226995227,0.311504508563332,0.00190476190476191,-0.0266666666666667,-0.0779860647479437,-0.1,-0.133333333333333,-0.0116581071166544,0.17869297510272,-0.170175438596491,-0.18940620782726,-0.19849711691817,0.18,0.210032786885246,0.1,0.0142857142857143,0.21852951891139,0.163565269418928,0.171911421911422,0.160962516801933,0.207155694146832,0.277290883833208,0.26700143472023
"cMet",-0.132896523766089,-0.165759637188209,-0.221604084321476,-0.214285714285714,-0.02,-0.12,-0.0100755413032993,0.0449059841880615,-0.03875,0.0741551459293395,-0.0488888888888889,-0.0146095226544576,0,-0.0168694096601073,-0.0959259259259259,-0.0209090909090909,-0.03,-0.1,-0.05,-0.02,-0.0218181818181818,0,0.0950937950937951,-0.1,0.296871919645642,-0.115527426160338,-0.106388888888889,-0.117027186761229,-0.0123809523809524,0.0885714285714286,0.0885714285714286,0.0885714285714286,0.0847978436657682,0.233117668848006,0.100833333333333,0.113333333333333,0.0686732186732187,0.1,0.2,0.02,0.255297398606944,0.15,0.03,0.0230232558139535,0.1,0.147272727272727,0.1,0,0.159772727272727,0.15500515995872,0.219548872180451,0.217421212605983,0.16757781900639,0.280663780663781,0.363492063492063
"SHH",0.0942857142857143,-0.133333333333333,-0.2,0.1,-0.1,-0.3,0.238136200716846,0.178333333333333,-0.1,0.0564102564102564,0.304761904761905,0.231111111111111,0,0.22,-0.22,0.3,0.2,0,0.2,-0.1,-0.26,0,0,0.2,0.375708812260536,-0.075,-0.266666666666667,-0.246666666666667,-0.15,0,0,0,-0.00769230769230769,0.2,0.166666666666667,0.2,-0.0568831168831169,0,-0.1,0.2,0.25,-0.1,-0.1,-0.2,0.2,0.333333333333333,0.2,0,0.293333333333333,0.133333333333333,-0.2,-0.166666666666667,0.116666666666667,0.3,0.25
"Jagged",-0.0565367965367965,-0.116666666666667,-0.256969696969697,0.1,-0.1,-0.1,0.00668373879641485,0.00140350877192982,-0.0666666666666667,-0.039463601532567,0.0142857142857143,0.00817848817848818,0,0.00927738927738928,-0.225641025641026,0.0123076923076923,0.02,0,0,-0.2,-0.213333333333333,-0.1,-0.0557971014492754,0,0.147385620915033,-0.0128571428571429,-0.0333333333333333,-0.0133333333333333,0.02,-0.00666666666666667,-0.00666666666666667,-0.00666666666666667,0.00242424242424242,0.138,0,0,-0.0102857142857143,0,0,0.18,0.2,0,-0.02,-0.0123076923076923,0,0.075,0,0,0.113461538461538,0.216666666666667,-0.04,-0.0542857142857143,0.111904761904762,0.305072463768116,0.283333333333333
"SRC",-0.107159491884263,-0.145175438596491,-0.258380910554824,-0.235,0.107692307692308,-0.0633333333333333,-0.0954692411315671,-0.0101874487168605,0.0743589743589744,0.08995670995671,-0.127468230694037,-0.0841545663613749,0.1,-0.082141143542583,-0.154121863799283,-0.0833606557377049,-0.085,0.1,-0.075,-0.00606060606060606,-0.0228320945302077,-0.0333333333333333,-0.00316711590296496,-0.1,0.0813931149989815,-0.10156862745098,-0.0841269841269841,-0.0932178932178932,-0.1,0.261226533166458,0.261226533166458,0.261226533166458,0.255165927105852,0.168547429581912,0.0888888888888889,0.0888888888888889,0.0728256888039497,0.2,0.2,0.0171717171717172,0.239799386206873,0.075,0.085,0.0833606557377049,0.0833333333333333,0.0966666666666667,0.0333333333333333,-0.1,0.0937254901960784,0.106181727904667,0.211190476190476,0.218333333333333,0.160490753911807,0.31816412099431,0.410723514211886
"Csl",-0.0670362446604168,-0.133991092840014,-0.287872442139698,-0.0489400921658986,-0.104134366925065,-0.107579185520362,0.000471360826416119,-0.00818194080639125,-0.121963824289406,-0.0384284136651393,0.00972468590029341,0.00334766281022531,-0.111111111111111,0.0037478915123408,-0.237699360074769,0.00820212046018498,0.00820212046018498,-0.1,0.00927738927738928,-0.22047619047619,-0.224699792960663,-0.213333333333333,-0.0554697022268485,0.0123076923076923,0.143496183007222,-0.0271243180253191,-0.0160043832614204,-0.0221268322410123,0.00942700431789007,-0.00038863685040597,-0.00038863685040597,-0.00038863685040597,-0.00222687214452362,0.140003978552297,0.023010752688172,0.0133333333333333,-0.00985018090340238,-0.02,-0.0123076923076923,0.229047619047619,0.195853936723502,-0.00927738927738928,-0.00817848817848818,-0.00695399838256981,0.113461538461538,0.125858755412835,0.075,0.0666666666666667,0.120686341619732,0.229513410715457,0.051571671113267,0.0579353074769034,0.145102203951125,0.318581774183504,0.315786749482402
"Patched",0.112804232804233,-0.116666666666667,-0.25,0.2,-0.1,-0.333333333333333,0.260358422939068,0.187071197411003,-0.142857142857143,0.0468864468864469,0.341125541125541,0.25344120819849,-0.1,0.231111111111111,-0.277142857142857,0.325,0.3,0,0.2,-0.2,-0.252307692307692,-0.1,0.025,0.2,0.398375478927203,-0.085,-0.246666666666667,-0.271666666666667,-0.15,-0.00769230769230769,-0.00769230769230769,-0.00769230769230769,-0.0139423076923077,0.233333333333333,0.266666666666667,0.166666666666667,-0.0667732267732268,-0.1,-0.1,0.26,0.27258064516129,-0.1,-0.2,-0.22,0.3,0.293333333333333,0.2,0,0.305833333333333,0.125641025641026,-0.166666666666667,-0.175757575757576,0.156666666666667,0.325,0.283333333333333
"cfos",-0.0348263888888889,-0.145238095238095,-0.290527119938885,-0.0166666666666667,-0.125,-0.135714285714286,0.189434410286595,0.151410656772713,-0.119736842105263,0.0054491341991342,0.202906403940887,0.170597924657331,-0.075,0.169486813546219,-0.254475524475524,0.166374269005848,0.161111111111111,0,0.15,-0.24,-0.276993367722918,-0.08,-0.0601349014181944,0.15,0.299816096312447,-0.00373573819771811,-0.038375350140056,-0.0307995925642984,-0.0208333333333333,-0.0589324618736383,-0.0589324618736383,-0.0589324618736383,-0.0540544130931505,0.217731601731602,0.0285714285714286,0.0428571428571429,-0.131928420636654,-0.1,-0.15,0.261739130434783,0.231174310921146,-0.15,-0.161111111111111,-0.166516516516516,0.0857142857142857,0.132488479262673,0.1,0.1,0.158414405188599,0.139905047476262,0.0166666666666667,0.0120512820512821,0.140399385560676,0.338735155078981,0.324666666666667
"CDC42",-0.0348263888888889,-0.145238095238095,-0.290527119938885,-0.0166666666666667,-0.125,-0.135714285714286,0.189434410286595,0.151410656772713,-0.119736842105263,0.0054491341991342,0.202906403940887,0.170597924657331,-0.075,0.169486813546219,-0.254475524475524,0.166374269005848,0.161111111111111,0,0.15,-0.24,-0.276993367722918,-0.18,-0.0601349014181944,0.15,0.299816096312447,-0.00373573819771811,-0.038375350140056,-0.0307995925642984,-0.0208333333333333,-0.0589324618736383,-0.0589324618736383,-0.0589324618736383,-0.0540544130931505,0.217731601731602,0.0285714285714286,0.142857142857143,-0.131928420636654,-0.1,-0.15,0.261739130434783,0.231174310921146,-0.15,-0.161111111111111,-0.166516516516516,0.0857142857142857,0.132488479262673,0.1,0.1,0.158414405188599,0.139905047476262,0.0166666666666667,0.0120512820512821,0.140399385560676,0.338735155078981,0.324666666666667
"TrCP",-0.0311454072937969,-0.140399385560676,-0.30677077476122,-0.0166666666666667,-0.119736842105263,-0.132488479262673,0.191632212484397,0.151895085838457,-0.143810916179337,0.0054491341991342,0.207937850481767,0.172666890174572,-0.125,0.170597924657331,-0.271602596298729,0.170764512908287,0.166374269005848,-0.1,0.161111111111111,-0.261739130434783,-0.276993367722918,-0.24,-0.0501670557590304,0.15,0.301986078229264,-0.014080565783925,-0.0307995925642984,-0.0400892100506372,-0.0238036303630363,-0.0540544130931505,-0.0540544130931505,-0.0540544130931505,-0.0576907767295142,0.226970732166384,0.038375350140056,0.0285714285714286,-0.133582555975,-0.15,-0.15,0.276993367722918,0.231412974405633,-0.161111111111111,-0.166516516516516,-0.169486813546219,0.135714285714286,0.158414405188599,0.0857142857142857,0.075,0.157414405188599,0.138434459240968,0.0120512820512821,0.0153479853479853,0.152657450076805,0.345487566654543,0.334502732240437
"PAK1",-0.0311454072937969,-0.140399385560676,-0.30677077476122,-0.0166666666666667,-0.119736842105263,-0.132488479262673,0.191632212484397,0.151895085838457,-0.143810916179337,0.0054491341991342,0.207937850481767,0.172666890174572,-0.125,0.170597924657331,-0.271602596298729,0.170764512908287,0.166374269005848,-0.1,0.161111111111111,-0.261739130434783,-0.276993367722918,-0.24,-0.0501670557590304,0.15,0.301986078229264,-0.014080565783925,-0.0307995925642984,-0.0400892100506372,-0.0238036303630363,-0.0540544130931505,-0.0540544130931505,-0.0540544130931505,-0.0576907767295142,0.226970732166384,0.038375350140056,0.0285714285714286,-0.133582555975,-0.15,-0.15,0.276993367722918,0.231412974405633,-0.161111111111111,-0.166516516516516,-0.169486813546219,0.135714285714286,0.158414405188599,0.0857142857142857,0.075,0.157414405188599,0.138434459240968,0.0120512820512821,0.0153479853479853,0.152657450076805,0.345487566654543,0.334502732240437
"LIV1",-0.0311454072937969,-0.140399385560676,-0.30677077476122,-0.0166666666666667,-0.119736842105263,-0.132488479262673,0.191632212484397,0.151895085838457,-0.143810916179337,0.0054491341991342,0.207937850481767,0.172666890174572,-0.125,0.170597924657331,-0.271602596298729,0.170764512908287,0.166374269005848,-0.1,0.161111111111111,-0.261739130434783,-0.276993367722918,-0.24,-0.0501670557590304,0.15,0.301986078229264,-0.014080565783925,-0.0307995925642984,-0.0400892100506372,-0.0238036303630363,-0.0540544130931505,-0.0540544130931505,-0.0540544130931505,-0.0576907767295142,0.226970732166384,0.038375350140056,0.0285714285714286,-0.133582555975,-0.15,-0.15,0.276993367722918,0.231412974405633,-0.161111111111111,-0.166516516516516,-0.169486813546219,0.135714285714286,0.158414405188599,0.0857142857142857,0.075,0.157414405188599,0.138434459240968,0.0120512820512821,0.0153479853479853,0.152657450076805,0.345487566654543,0.334502732240437
"EGR1",-0.0311454072937969,-0.140399385560676,-0.30677077476122,-0.0166666666666667,-0.119736842105263,-0.132488479262673,0.191632212484397,0.151895085838457,-0.143810916179337,0.0054491341991342,0.207937850481767,0.172666890174572,-0.125,0.170597924657331,-0.271602596298729,0.170764512908287,0.166374269005848,-0.1,0.161111111111111,-0.261739130434783,-0.276993367722918,-0.24,-0.0501670557590304,0.15,0.301986078229264,-0.014080565783925,-0.0307995925642984,-0.0400892100506372,-0.0238036303630363,-0.0540544130931505,-0.0540544130931505,-0.0540544130931505,-0.0576907767295142,0.226970732166384,0.038375350140056,0.0285714285714286,-0.133582555975,-0.15,-0.15,0.276993367722918,0.231412974405633,-0.161111111111111,-0.166516516516516,-0.169486813546219,0.135714285714286,0.158414405188599,0.0857142857142857,0.075,0.157414405188599,0.138434459240968,0.0120512820512821,0.0153479853479853,0.152657450076805,0.345487566654543,0.334502732240437
"SNAI1",-0.0349101131761498,-0.152657450076805,-0.305906221447099,-0.0120512820512821,-0.143810916179337,-0.158414405188599,0.192910278114795,0.153612047336896,-0.138949805068226,0.00445903518923321,0.21050195304587,0.172873395079063,-0.119736842105263,0.172666890174572,-0.273694646507934,0.171678589690737,0.170764512908287,-0.075,0.166374269005848,-0.276993367722918,-0.282822964135474,-0.261739130434783,-0.0579161332498053,0.161111111111111,0.304634418825979,-0.00988742728328968,-0.0400892100506372,-0.0376698552119276,-0.0181432530045457,-0.0576907767295142,-0.0576907767295142,-0.0576907767295142,-0.0581833875669526,0.22686816806382,0.0307995925642984,0.038375350140056,-0.134240450711842,-0.15,-0.161111111111111,0.276993367722918,0.134615821380722,-0.166516516516516,-0.169486813546219,-0.170597924657331,0.132488479262673,0.157414405188599,0.135714285714286,0.125,0.166540618780832,0.149743983050492,0.0153479853479853,0.0145316588173731,0.149090414406448,0.353482646605343,0.341044788315204
"FUS",0.122528845540894,-0.148730158730159,-0.275692442661988,0.175757575757576,-0.138857142857143,-0.305833333333333,0.285762049704088,0.207573649010862,-0.158087912087912,0.0594980649011886,0.383554326732738,0.26543450666204,-0.142857142857143,0.259456245792475,-0.310075274095893,0.359188034188034,0.336111111111111,-0.1,0.325,-0.252307692307692,-0.292224097741339,-0.26,0.0125220962878236,0.3,0.433386165428015,-0.0789201451905626,-0.274369369369369,-0.274369369369369,-0.163967611336032,-0.023244633273703,-0.023244633273703,-0.023244633273703,-0.0341616638413886,0.263222461759573,0.271666666666667,0.246666666666667,-0.0767047607516119,-0.1,-0.2,0.27958041958042,0.279723502304147,-0.22,-0.231111111111111,-0.25344120819849,0.293333333333333,0.339166666666667,0.333333333333333,0.1,0.338156565656566,0.158353240961937,-0.190757575757576,-0.188484848484848,0.171310803891449,0.368568680461682,0.34275956284153
"GLI",-0.0613795952653876,-0.166212297054919,-0.323248279068712,-0.0668081343943413,-0.0970461868958109,-0.261810776942356,0.196659812990035,0.154348422242582,-0.120483686895811,0.0834032749185357,0.213884359903382,0.179713777303884,-0.0868421052631579,0.1779803642734,-0.285334347876552,0.188194113609754,0.284364326375712,-0.0833333333333333,0.276129032258065,-0.350714285714286,-0.365552486187845,-0.325714285714286,-0.0284206349206349,0.26,0.306938548957174,-0.0383294633642931,-0.158228150075905,-0.168345797134729,-0.0360364709037275,0.0639551879349577,0.0639551879349577,0.0639551879349577,0.0597967720933736,0.249726697562012,0.160114942528736,0.156666666666667,-0.122255736229377,-0.15,-0.15,0.365,0.258061879209786,-0.166129032258065,-0.173446105428796,-0.176032312325348,0.256547619047619,0.290382205513784,0.219047619047619,0.05,0.291616773415019,0.157691516180481,0.0593081343943413,0.0640700391562461,0.175942026784649,0.375533623485236,0.361572715572716
"SUFU",0.118015781407877,-0.171310803891449,-0.278294673145259,0.190757575757576,-0.158087912087912,-0.339166666666667,0.292174055161114,0.21159012686874,-0.160101334906704,0.0574415096312657,0.395498120643745,0.27080535065181,-0.138857142857143,0.26543450666204,-0.313748743483648,0.365507736790265,0.359188034188034,-0.1,0.336111111111111,-0.27958041958042,-0.302011331783892,-0.252307692307692,0.00430953590135021,0.325,0.442417147629729,-0.0717241154138877,-0.274369369369369,-0.273383176075484,-0.16186970923813,-0.0341616638413886,-0.0341616638413886,-0.0341616638413886,-0.0309971068793633,0.265902874130707,0.274369369369369,0.271666666666667,-0.0794160845155672,-0.2,-0.22,0.292224097741339,0.293863195660195,-0.231111111111111,-0.25344120819849,-0.259456245792475,0.305833333333333,0.338156565656566,0.293333333333333,0.142857142857143,0.360936488436488,0.180039987949888,-0.188484848484848,-0.202770562770563,0.172927432066969,0.376781240848156,0.348148784398416
"ZEB2",-0.392474735718451,-0.373418201516793,-0.3584784909475,-0.31025641025641,-0.299444444444444,-0.295,-0.294619350324678,-0.284402168435749,-0.28168743509865,-0.271034518726113,-0.26648813465107,-0.253332170945218,-0.252777777777778,-0.244501002114049,-0.224154589371981,-0.219923654327324,-0.205244755244755,-0.2,-0.192424242424242,-0.190789473684211,-0.180325272268003,-0.175,-0.165225102509982,-0.159090909090909,-0.134486628983935,-0.106382284382284,-0.0809771181199753,-0.0693369064797636,0.02996336996337,0.0319047619047619,0.0319047619047619,0.0319047619047619,0.0402559396349546,0.041300067274086,0.0680519480519481,0.0844155844155844,0.137383950645577,0.15,0.17,0.177886247877759,0.182658309694311,0.203333333333333,0.219122807017544,0.233937621832359,0.246428571428571,0.273048780487805,0.275,0.277777777777778,0.290321507760532,0.325336115497406,0.343589743589744,0.351786464901219,0.364881616150939,0.460074701808164,0.558054661288892
