"","ILK","TGFR","TGF","PAK1","CDC42","Jagged","RKIP","NOTCH","SNAI1","NFB","TrCP","SOSGRB2","TWIST1","MEK","Ecadherin","Destcompl","cateninmemb","EGR1","PI3K","DELTA","RAS","GLI","TCFLEF","cateninnuc","AXIN2","SNAI2","LIV1","GSK3","SRC","CD44","Frizzled","cMet","STAT","Wnt","DSH","RAF","FOXC2","ERK","cfos","ZEB1","Csn","SUFU","Csl","NOTCHic","FUS","IKK","AKT","SMO","Patched","SHH","SMAD","HEY1","miR200","ZEB2","KLF4"
"RKIP",0.15079161317929,0.159047619047619,0.145028927458834,0.133333333333333,0.14,0.121895464467621,0.319117647058824,0.134382284382284,0.200315916932966,0.142857142857143,0.1,-0.239047619047619,0.131889483065954,0.374211298606016,0.0919191415844853,0.201023127020843,0.0774830292477351,0.3,-0.11038961038961,-0.11038961038961,-0.104406704406704,-0.028974358974359,-0.0375536743957797,-0.0393348448792402,-0.0229957805907173,-0.116160167861514,0,-0.0700945626477541,0.0666666666666667,0.0326585695006748,0.0666666666666667,0.0403508771929825,0,0.0366666666666667,0,0.11038961038961,-0.0189360447981138,-0.346551724137931,-0.35,0.017011956001913,-0.1,-0.1,-0.133333333333333,-0.115151515151515,-0.133333333333333,-0.142857142857143,-0.158008658008658,-0.133333333333333,-0.153333333333333,-0.151693989071038,-0.155742108228795,-0.161401471157569,-0.0482618069366643,-0.0778660927785748,-0.0798660927785748
"RAF",0.15079161317929,0.159047619047619,0.145028927458834,0.133333333333333,0.14,0.121895464467621,0.319117647058824,0.134382284382284,0.200315916932966,0.142857142857143,0.1,-0.239047619047619,0.131889483065954,0.374211298606016,0.0919191415844853,0.201023127020843,0.0774830292477351,0.3,-0.11038961038961,-0.11038961038961,-0.104406704406704,-0.028974358974359,-0.0375536743957797,-0.0393348448792402,-0.0229957805907173,-0.116160167861514,0,-0.0700945626477541,0.0666666666666667,0.0326585695006748,0.0666666666666667,0.0403508771929825,0,0.0366666666666667,0,0.11038961038961,-0.0189360447981138,-0.346551724137931,-0.35,0.017011956001913,-0.1,-0.1,-0.133333333333333,-0.115151515151515,-0.133333333333333,-0.142857142857143,-0.158008658008658,-0.133333333333333,-0.153333333333333,-0.151693989071038,-0.155742108228795,-0.161401471157569,-0.0482618069366643,-0.0778660927785748,-0.0798660927785748
"NFB",0.100990099009901,-0.0088,-0.0100658227848101,0,0,0.00345517025929397,0.0862547288776797,-0.0740687985849276,0.0712525319421691,0.0428571428571429,0.1,-0.0766696152145069,0.0161017740429505,0.0601083099906629,-0.14685092495986,0.0781311831476294,-0.153872030456865,0.0714285714285714,0.0127552976662151,0.0127552976662151,0.0107652479149713,-0.0941880341880342,-0.0977065924373369,-0.0974712983196898,-0.082629179331307,-0.0792818901328954,-0.1,-0.0151454427925016,0.0957264957264957,0.0947530059394466,0.0957264957264957,0.0941880341880342,0.111111111111111,0.0941880341880342,0.111111111111111,-0.0127552976662151,-0.110194603979464,-0.0607619047619048,-0.0674285714285714,0.00623962204361478,-0.142857142857143,-0.12,0.0774891774891775,0.0695526695526696,-0.12,-0.0455598455598456,-0.0366709566709567,-0.123703703703704,-0.116807151979566,-0.116807151979566,-0.103592329493172,-0.0983082706766917,-0.0291984021932794,-0.026154466626336,-0.0256410256410256
"SOSGRB2",-0.246451612903226,-0.0226373626373626,-0.0148359441976463,0.0142857142857143,0.00428571428571428,-0.207312273894146,-0.21641081871345,-0.227381069634591,-0.0205998578535892,-0.233333333333333,-0.2,0.356111111111111,0.00768115942028985,-0.43046293046293,-0.0660609504433265,-0.225190730224287,-0.0545459615459616,-0.376190476190476,0.0693032015065913,0.0693032015065913,0.0680211502245401,0.0562111801242236,0.0566764737931786,0.0568676783820887,0.0394664466446645,0.120968928047438,0,0.236568969444145,-0.0714285714285714,-0.0598343685300207,-0.0714285714285714,-0.0583850931677019,0,-0.0547619047619048,0,-0.0693032015065913,0.0127472527472527,0.406220506220506,0.387301587301587,-0.00294486215538847,0.2,0.2,0.227272727272727,0.211888111888112,0.233333333333333,0.23859649122807,0.255263157894737,0.233333333333333,0.252252252252252,0.252252252252252,0.248549515001128,0.254924242424242,0.00870213047755998,0.0142481203007519,0.0171052631578947
"IKK",-0.1,0,0.0088,0,0,-0.00345517025929397,-0.0849726775956284,0.0695526695526696,-0.0698826689284705,-0.142857142857143,0,0.0819327731092437,-0.0157843137254902,-0.0607619047619048,0.145406302166923,-0.0789617479316826,0.153132854110508,0,-0.00852994555353902,-0.00852994555353902,-0.0127552976662151,0.0941880341880342,0.0947530059394466,0.0977065924373369,0.084047619047619,0.0774526218402125,0.1,0.0171062271062271,-0.111111111111111,-0.0941880341880342,-0.111111111111111,-0.0957264957264957,-0.1,-0.0957264957264957,-0.1,0.00852994555353902,0.106608946608947,0.0674285714285714,0.0714285714285714,-0.0020250626566416,0.1,0.1,-0.0727272727272727,-0.0774891774891775,0.12,0.0428571428571429,0.0455598455598456,0.12,0.123703703703704,0.116807151979566,0.100990099009901,0.0947368421052632,0.0258751393534002,0.0280701754385965,0.0256410256410256
"Csn",0.00128364389233954,-0.13966878892252,-0.140384779375981,-0.159090909090909,-0.148643147896879,0.0173178088736934,-0.091500223914017,0.0879009879009879,-0.107383873539832,0.055,-0.02,-0.0310942003920212,-0.105262583761883,-0.00799242424242424,-0.0158752341576221,-0.127456199380429,0.0225849108502434,-0.0233333333333333,0.0772860080440916,0.0772860080440916,0.0813167182168363,0.103023961528995,0.104395530601543,0.104455662892583,0.0849454084041549,0.0140545989192794,0.133333333333333,-0.0776385916959215,-0.0994252873563218,-0.103109356968102,-0.0994252873563218,-0.0982204680792134,-0.116666666666667,-0.0982204680792134,-0.116666666666667,-0.0772860080440916,0.0765946317117059,0.0142424242424242,0.0233333333333333,-0.00746898263027295,-0.055,0.0142857142857143,-0.0853535353535353,-0.084054834054834,0.0142857142857143,-0.0633333333333333,-0.0705333333333333,0.0112554112554113,0.00587906716938975,0.00587906716938975,1.7031513622548e-06,-0.00657530454042082,0.0302507150900963,0.0375913978494624,0.0332773109243698
"TWIST1",-0.132500682500683,0.049737460815047,0.0490540895166416,0.0490909090909091,0.055987460815047,-0.0404190716403501,-0.0722652657435266,-0.0417980970811159,-0.0160910306869196,-0.157692307692308,-0.2,0.170101116783039,-0.0684245940939305,-0.176343795894669,0.207382549769806,0.0895024220916456,0.157029243085569,-0.18,0.0480986825389102,0.0480986825389102,0.0484411482923349,0.0653446950710109,0.0651400094186783,0.0650825051058549,0.0650038133909102,0.0571133730271132,0.0666666666666667,0.109913467224943,-0.0634920634920635,-0.06682454234364,-0.0634920634920635,-0.0656197230665316,-0.0523809523809524,-0.0645446950710109,-0.0523809523809524,-0.0480986825389102,0.082011574322152,0.174851258581236,0.16695652173913,-0.0290132237500659,0.15,0.166666666666667,0.0511111111111111,0.0408547008547009,0.177777777777778,0.148168498168498,0.151558328676973,0.165777777777778,0.172627092846271,0.17607536870834,0.128210253457778,0.13855466567331,0.0483083534220732,0.0383629243278366,0.0316760475297061
"TGF",-0.166969696969697,0.135873015873016,0.0233730158730159,0.12,0.131111111111111,-0.147864506627393,-0.136796536796537,-0.23367816091954,0.00655435473617292,-0.233333333333333,-0.2,0.210526315789474,0.0155555555555556,-0.155104427736007,0.014943441622459,-0.0755482546402294,0.0150110276064684,-0.133333333333333,0.0386904761904762,0.0386904761904762,0.0422619047619048,0.00137466307277628,0.018291956305859,0.0154211429087298,0.00837742504409171,0.0374656591501267,0,0.199329046687168,0,-0.0156603773584906,0.0142857142857143,-0.01,0,0.00428571428571428,0,-0.0386904761904762,0.104052795031056,0.152882205513784,0.147619047619048,-0.021639276055752,0.233333333333333,0.133333333333333,0.233333333333333,0.223333333333333,0.153333333333333,0.219047619047619,0.240100250626566,0.153333333333333,0.170574712643678,0.164324712643678,0.176647116324536,0.192392005157963,0.106933727192348,0.0743203199038439,0.0706839562674803
"TGFR",-0.176647116324536,0.0233730158730159,0.0205361364403918,0.131111111111111,0.135873015873016,-0.150763057352031,-0.132510822510822,-0.230081038617382,0.0050794284824856,-0.219047619047619,-0.233333333333333,0.216699155295646,0.0166231712139185,-0.168803057872993,0.0128991486071268,-0.0759514804466811,0.0150110276064684,-0.147619047619048,0.0422619047619048,0.0422619047619048,0.0440162907268171,0.00331014694374402,0.0154211429087298,0.0153325689494738,0.00966497869216038,0.0342249184093859,0,0.203974523459784,-0.01,-0.018291956305859,0.00428571428571428,-0.0156603773584906,0,-0.00137466307277628,0.0142857142857143,-0.0422619047619048,0.0957558517996149,0.155104427736007,0.152882205513784,-0.0122053137916011,0.233333333333333,0.153333333333333,0.223333333333333,0.23367816091954,0.153333333333333,0.240100250626566,0.237774669231218,0.170574712643678,0.164324712643678,0.172799288914865,0.173444269349447,0.20134722903856,0.101361879685017,0.0784712633000703,0.0742553848389089
"SNAI2",-0.0204560697518444,0.0253393665158371,0.0240971304909924,0.0176470588235294,0.0176470588235294,-0.023819218587298,-0.0451794871794872,-0.0412964228753702,-0.0456673758523179,0.025,0.1,-0.0488843813387424,0.00456991188790987,0.0488871224165342,-0.0800898231457591,-0.0629041377618568,-0.10303265571124,0.0333333333333333,-0.0295134253704862,-0.0295134253704862,-0.0272303203476551,-0.0221820764157135,-0.0204430444362621,-0.0210641624486845,-0.0369901493727105,-0.0330638762116131,-0.02,-0.0632930255360015,0.0251948051948052,0.0227110856733755,0.0251948051948052,0.0237863544905798,0.0109090909090909,0.0237863544905798,0.0109090909090909,0.0295134253704862,0.0786629006506293,-0.0529411764705882,-0.0392156862745098,-0.0407505768827355,0,0,0.0342105263157895,0.0464912280701754,-0.02,-0.0146551724137931,-0.0230889073535521,-0.00235294117647059,-0.0166386554621849,-0.0152302047579595,0.0247622898475382,0.0241862567811935,0.0799910472551109,0.0791783092091462,0.0896153846153846
"ERK",-0.154635097158684,-0.142839146436936,-0.147509476107266,-0.159047619047619,-0.145028927458834,-0.119569768240088,-0.331143009908846,-0.13261913659734,-0.206138566505615,-0.158008658008658,-0.142857142857143,0.235142548928957,-0.139108800964883,-0.265033025625515,-0.0916368194521184,-0.200099904713188,-0.076351250128656,-0.346551724137931,0.107898767898768,0.107898767898768,0.108668844906469,0.0351225967015441,0.0398924656970841,0.0398924656970841,0.0247096896216995,0.117133403871247,0.0666666666666667,0.0688823521712385,-0.0326585695006748,-0.0393348448792402,-0.028974358974359,-0.0375536743957797,-0.0403508771929825,-0.0338694638694639,-0.0366666666666667,-0.107898767898768,0.0269979528600218,0.269211298606016,0.374211298606016,-0.020659000121398,0.142857142857143,0.133333333333333,0.134382284382284,0.135112211389584,0.153333333333333,0.154479246243952,0.153561815051292,0.151693989071038,0.15234758384228,0.153313767417159,0.158586464939839,0.166285119932003,0.0540022610130317,0.0848139742933855,0.078680502263299
"KLF4",-0.0226666666666667,-0.00327272727272727,-0.000833702882483369,-0.0272727272727273,-0.0152727272727273,0.0111762300667848,-0.0490311276025562,-0.0385862970453312,-0.0475945773479036,-0.02,0.1,-0.0443396226415094,-0.0273507625272331,0.0372876123270302,-0.233487810147004,-0.078516034697711,-0.205148464904562,0.04,-0.00205128205128205,-0.00205128205128205,0.000154600301659127,0.0121578061858264,0.0156660520628878,0.0160396510666238,-0.0227110856733755,-0.0142626042454457,0.0333333333333333,-0.0783696781887252,-0.0156862745098039,-0.0113182259759313,-0.0156862745098039,-0.00870953032375741,-0.0333333333333333,-0.00870953032375741,-0.0333333333333333,0.00205128205128205,0.0874358629652036,-0.0362566844919786,-0.0127272727272727,-0.0308668730650155,0,0,0.0290909090909091,0.0396172248803828,0.0333333333333333,0.0247619047619048,0.0173544973544974,0.05,0.0375,0.0321236559139785,0.0299130434782609,0.0233919022154316,0.0937444037444038,0.102997936016512,0.111111111111111
"cateninmemb",-0.0299130434782609,-0.000833702882483369,-0.00318451662570218,-0.0152727272727273,-0.00327272727272727,0.01186272892262,-0.0486565957673502,-0.0337535832906844,-0.0501262229175239,-0.0247619047619048,0,-0.0456554121151936,-0.0308889375737881,0.0376797691897753,0.130189154377456,-0.0775840682485032,0.123062772182667,0.0127272727272727,0.000154600301659127,0.000154600301659127,0.0035065556089217,0.0161578061858264,0.0160396510666238,0.01519931493217,-0.0204430444362621,-0.0152860840768726,0.0333333333333333,-0.0783696781887252,-0.00870953032375741,-0.0156660520628878,-0.00870953032375741,-0.0113182259759313,-0.0156862745098039,-0.0121578061858264,-0.0156862745098039,-0.000154600301659127,0.088580027724929,-0.0372876123270302,-0.0362566844919786,-0.0313408067143046,0.02,0.0333333333333333,0.0396172248803828,0.0385862970453312,0.05,0.0173544973544974,0.0108609908609909,0.0375,0.0321236559139785,0.0376354669376005,0.0287023897252342,0.0307744525510021,0.0939306234836961,0.105841537912246,0.109845288326301
"ILK",-0.0489395758303321,-0.0443529411764706,-0.0663041606886657,-0.05,-0.0323529411764706,-0.0780701754385965,-0.0539915966386555,-0.106389578163772,-0.0296175523349436,0.0333333333333333,0,-0.0976923076923077,0.00181017999977373,0.00424300867888139,-0.16039889992325,0.124008346145399,-0.154073216152572,0,-0.0430995670995671,-0.0430995670995671,-0.0444694301132657,-0.159992567818655,-0.162817426575717,-0.165910210080872,-0.108380952380952,-0.055041626995302,-0.1,-0.021043771043771,0.188888888888889,0.159992567818655,0.188888888888889,0.158454106280193,0.2,0.158454106280193,0.2,0.0430995670995671,-0.0499419279907085,-0.00588235294117647,0,0.0368454322670691,-0.0333333333333333,0,0.125,0.109615384615385,0,-0.0509803921568627,-0.0381598793363499,-0.0166666666666667,-0.00128205128205128,0.00705128205128205,0.0577395758303321,0.0581845087949417,0.154710597333548,0.196388658973984,0.18859649122807
"SMAD",-0.177363732158253,-0.167894517945663,-0.171480175316181,-0.142857142857143,-0.163983903420523,-0.138185448959642,-0.122672081995449,-0.105593869731801,-0.104020328685651,-0.103174603174603,-0.1,-0.105471753918959,-0.0828304067847406,0.0178437466509484,-0.035881864269561,-0.0548672588750269,-0.0234850263030763,0.0285714285714286,-0.125195410121174,-0.125195410121174,-0.128813831173806,-0.0175949350409782,-0.00423898840404547,-0.00525215962998266,-0.00421107546712185,-0.0675979164101499,-0.02,0.0902824159967017,0.00571428571428572,0.00383193277310925,0.019047619047619,-0.000168067226890754,0.00571428571428572,0.0132783882783883,0.019047619047619,0.125195410121174,0.000454906109494845,-0.0178437466509484,-0.0317972350230415,0.0549871367219127,0.0888888888888889,0.133333333333333,0.102857142857143,0.104006568144499,0.145833333333333,0.105135387488329,0.111802054154995,0.145833333333333,0.154090214067278,0.155948950126758,0.0821256369201575,0.193690888702557,0.23882933342017,0.253655592836492,0.252616542809481
"Jagged",-0.0833333333333333,-0.166666666666667,-0.194666666666667,-0.2,-0.2,-0.0556709956709957,-0.18974358974359,0.0685714285714286,-0.191666666666667,0,0,-0.16,-0.103,0.0133333333333333,-0.194666666666667,-0.104880308880309,-0.170499359795134,-0.1,-0.08,-0.08,-0.0618181818181818,-0.0569230769230769,-0.0599533799533799,-0.061052281052281,-0.0571428571428571,-0.101131221719457,0,-0.0409961685823755,0.1,0.0569230769230769,0.1,0.08,0,0.08,0,0.08,0.0528571428571429,0.02,0,0.0432367149758454,0,0,-0.1,-0.04,0,0.0333333333333333,0,0.0333333333333333,0.00833333333333333,0.0467948717948718,0.0785714285714286,-0.0166666666666667,0.258787878787879,0.30024154589372,0.261111111111111
"Patched",-0.0833333333333333,-0.146666666666667,-0.138333333333333,0.0333333333333333,-0.0666666666666667,-0.112804232804233,-0.231428571428571,-0.0454545454545455,-0.213440860215054,0.1,0,0.05,-0.0990740740740741,-0.189230769230769,-0.0815291262135922,-0.165474525474525,-0.121129032258065,-0.1,0.0769230769230769,0.0769230769230769,0.0644230769230769,-0.1125,-0.0311111111111111,-0.0301402373247033,0.00995670995670996,-0.00968582375478927,-0.1,-0.138827838827839,0,0.02,0.1,0,0.1,0.1,0.2,-0.0769230769230769,0.145,0.12,0.1,0,0,0,0,0,-0.1,-0.05,0.0214285714285714,-0.0666666666666667,-0.106666666666667,-0.0941666666666667,0.113333333333333,0.0897435897435897,0.230952380952381,0.316666666666667,0.327777777777778
"NOTCH",-0.0785714285714286,-0.194666666666667,-0.22047311827957,-0.2,-0.166666666666667,-0.0556709956709957,-0.213881520778072,-0.0411059907834101,-0.183974358974359,-0.0333333333333333,0,-0.133684210526316,-0.111474576271186,0.00619047619047619,-0.19547311827957,-0.103945729441057,-0.175211401679951,0,-0.0618181818181818,-0.0618181818181818,-0.0661660079051383,-0.0599533799533799,-0.061052281052281,-0.0655420769706484,-0.0590296495956873,-0.101660322248558,0,-0.0387234413096482,0.08,0.0599533799533799,0.08,0.0569230769230769,0.1,0.0569230769230769,0.1,0.0618181818181818,0.0508163265306122,-0.0133333333333333,0.02,0.0395330112721417,0,0,-0.04,-0.0685714285714286,0.0333333333333333,0,0.0333333333333333,0.00833333333333333,0.0467948717948718,0.0526772247360483,0.101904761904762,-0.0210144927536232,0.281645021645022,0.318760064412238,0.30024154589372
"SMO",-0.113333333333333,-0.138333333333333,-0.12481981981982,-0.0666666666666667,-0.146666666666667,-0.130661375661376,-0.231428571428571,-0.0504545454545455,-0.220583717357911,0.05,0,0.0131578947368421,-0.0931917211328976,-0.168018648018648,-0.0833741446637767,-0.170125688265223,-0.120158158471657,-0.1,0.0644230769230769,0.0644230769230769,0.0551207513416816,-0.123611111111111,-0.0301402373247033,-0.0226214403322221,0.00650843409464099,-0.00492391899288451,-0.1,-0.141740460187062,0,0.0311111111111111,0.1,0.02,0,0.1125,0.1,-0.0644230769230769,0.155344827586207,0.189230769230769,0.12,0.00847457627118644,-0.1,-0.1,0,0.0454545454545455,-0.0666666666666667,0.0214285714285714,0.0174285714285714,-0.106666666666667,-0.0941666666666667,-0.0830555555555556,0.108571428571429,0.113553113553114,0.234749849306811,0.321751412429378,0.319444444444444
"cfos",-0.100793650793651,-0.225490196078431,-0.227005347593583,-0.185714285714286,-0.2,-0.0689236111111111,-0.19986013986014,-0.0456410256410256,-0.187541235136172,-0.00833333333333333,0,-0.143055555555556,-0.111437229437229,-0.0176860722181282,-0.185126821094688,-0.117109474932144,-0.170298506540355,-0.12,-0.0860566448801743,-0.0860566448801743,-0.0836176204899304,-0.0810721247563353,-0.084961397040605,-0.0845910266702346,-0.0746469622331691,-0.0868306632540209,-0.1,-0.0101190476190476,0.08,0.081001001001001,0.08,0.0837037037037037,0.1,0.0837037037037037,0.1,0.0860566448801743,0.0379613308738129,-0.00434782608695652,0,0.059919674084323,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.041025641025641,0.019047619047619,0.0333333333333333,0.0385964912280702,0.0523809523809524,0.0556067588325653,0.0691870057461455,0.100793650793651,0.10312343828086,0.280235124352771,0.324676198162881,0.314444444444444
"SHH",-0.0666666666666667,-0.0666666666666667,-0.146666666666667,0,0.0333333333333333,-0.0942857142857143,-0.26,0,-0.216666666666667,0,0,0.05,-0.125,-0.12,-0.0825,-0.155584415584416,-0.107240143369176,0,0.1,0.1,0.0769230769230769,-0.1,-0.02,-0.0311111111111111,0.019047619047619,-0.00835249042145594,0,-0.143589743589744,0.1,0,0.2,0,0.1,0.1,0.2,-0.1,0.175,0.1,0.1,-0.025,0,0,0.1,0,0,-0.1,-0.05,-0.1,-0.0666666666666667,-0.106666666666667,0.0833333333333333,0.0666666666666667,0.216666666666667,0.325,0.25
"FUS",-0.108571428571429,-0.12481981981982,-0.123755990032586,-0.146666666666667,-0.138333333333333,-0.128251737107159,-0.246892488954345,-0.0572727272727273,-0.223413906037156,-0.0214285714285714,0.1,0.0285425101214575,-0.095809522180018,-0.155374969857728,-0.0822782542528178,-0.168811819652084,-0.117364862382271,-0.12,0.0551207513416816,0.0551207513416816,0.0538107076735593,-0.121688034188034,-0.0226214403322221,-0.0218062229409178,0.00837178813190807,-0.000794655079060452,0,-0.144081597310808,0.02,0.0301402373247033,0.1125,0.0311111111111111,0,0.123611111111111,0.1,-0.0551207513416816,0.161923774954628,0.168018648018648,0.189230769230769,0.00663408547364043,-0.05,-0.0666666666666667,0.0454545454545455,0.0504545454545455,-0.106666666666667,0.0174285714285714,0.0212747252747253,-0.0941666666666667,-0.0830555555555556,-0.0901262626262626,0.120829493087558,0.109205287466157,0.241680542376118,0.327272884822017,0.321083788706739
"LIV1",-0.100793650793651,-0.227005347593583,-0.229737588030741,-0.2,-0.225490196078431,-0.0713775988411725,-0.204832515550748,-0.05003663003663,-0.18539326377579,-0.0333333333333333,-0.0333333333333333,-0.15790704070407,-0.112524185958969,-0.0123527388847949,-0.183811942201955,-0.117710978691542,-0.172130008371857,0,-0.0836176204899304,-0.0836176204899304,-0.0881630750353849,-0.0854623686587743,-0.0845910266702346,-0.0852806818426484,-0.0784205471388295,-0.084841513163605,-0.1,-0.0108463203463203,0.0837037037037037,0.084961397040605,0.0837037037037037,0.081001001001001,0.08,0.0810721247563353,0.08,0.0836176204899304,0.0420992619082957,0.0176860722181282,-0.00434782608695652,0.0570257834090818,0.00833333333333333,0.019047619047619,0.041025641025641,0.0456410256410256,0.0523809523809524,0.0385964912280702,0.0478557504873294,0.0556067588325653,0.0691870057461455,0.0701870057461455,0.107245263696877,0.101652850045565,0.291402637043127,0.328213175654842,0.32591985428051
"SUFU",-0.120829493087558,-0.123755990032586,-0.126320092596688,-0.138333333333333,-0.12481981981982,-0.128014207415947,-0.246484325689038,-0.0525108225108225,-0.228354280824209,-0.0174285714285714,0.05,0.0278432094221568,-0.100139419087235,-0.161757948581133,-0.0831021471467416,-0.167482739375636,-0.116409882846118,-0.189230769230769,0.0538107076735593,0.0538107076735593,0.0598233659014074,-0.114624837162012,-0.0218062229409178,-0.0226757881583091,0.0123530527689104,-0.00270632284438675,0,-0.143310389084587,0.0311111111111111,0.0226214403322221,0.123611111111111,0.0301402373247033,0.02,0.121688034188034,0.1125,-0.0538107076735593,0.162171913912444,0.155374969857728,0.168018648018648,0.00856645262339888,0.0214285714285714,-0.106666666666667,0.0504545454545455,0.0572727272727273,-0.0941666666666667,0.0212747252747253,0.0138921749391548,-0.0830555555555556,-0.0901262626262626,-0.0820181545181545,0.122908015027511,0.123663118791458,0.243911025647494,0.332103802696413,0.326473010263626
"ZEB1",-0.330693181968536,-0.282518385477312,-0.283699487839517,-0.270114942528736,-0.265767116441779,-0.230773670401857,-0.229995059743609,-0.2053891184573,-0.212161806613308,-0.248070175438596,-0.233333333333333,-0.148499025341131,-0.22448169081807,-0.121332124039043,0.133019523838242,0.0713509263626203,0.21340179367885,-0.116666666666667,-0.018808568424861,-0.018808568424861,-0.0167613243303728,-0.0108770577339851,-0.00762470214357482,-0.00654838120424018,0.0182034197997867,0.0119808822612263,0,0.107518431652389,0.00600375234521576,0.00310342554783014,0.0114982578397213,0.00796453665894125,0.0230769230769231,0.0153444116858751,0.0285714285714286,0.018808568424861,0.0216169911305512,0.113843137254902,0.112666666666667,0.132404179293676,0.253333333333333,0.283333333333333,0.202083333333333,0.202083333333333,0.283333333333333,0.259545585274662,0.263831299560376,0.301515151515152,0.307397504456328,0.319141276698321,0.327808566583921,0.336139654818411,0.349909710941282,0.448167084848009,0.431878356998378
"ZEB2",-0.353705566733736,-0.330909090909091,-0.328792688792689,-0.322077922077922,-0.316623376623377,-0.30096117130335,-0.271304347826087,-0.269087852038672,-0.24696687484496,-0.245833333333333,-0.2,-0.18989010989011,-0.158193708541679,-0.13307555868428,-0.126533298690346,-0.113758257711137,-0.111357775404894,-0.108333333333333,-0.0921645021645022,-0.0921645021645022,-0.0898090417790632,-0.0703378884112829,-0.0638805150591659,-0.0614129825916334,-0.058184107053813,-0.0565316837276227,-0.05,0.0364784694766908,0.0566666666666667,0.0607115009746589,0.0639393939393939,0.0671929824561403,0.07,0.0767599067599068,0.0772727272727273,0.0921645021645022,0.0931002331002331,0.128197509903792,0.134649122807018,0.146785266770886,0.233333333333333,0.25,0.256410256410256,0.263076923076923,0.264285714285714,0.265833333333333,0.26863707165109,0.295714285714286,0.300592334494774,0.311501425403864,0.352486054538614,0.360937288517934,0.381924125825425,0.495992629731844,0.579176167344106
"miR200",-0.318691763824507,-0.28780834914611,-0.303506023564715,-0.275,-0.292647058823529,-0.253387357148566,-0.250627538567376,-0.226371656786619,-0.217199467199467,-0.246315789473684,-0.2,-0.174003868471954,-0.237710612495889,-0.119907235621521,0.0105582804865735,0.044726213179416,0.101637407123679,-0.142857142857143,-0.00510141599693839,-0.00510141599693839,-0.00834331125878377,-0.000199349945828822,0.0136914053391619,0.00975201139976799,0.0194327359256036,0.0280882697776581,0,0.0822404881059516,0.00173913043478261,-0.00813584978360638,0.008,-0.0137538273116963,-0.02,-0.00749295774647887,-0.02,0.00510141599693839,0.0569028261711188,0.121948051948052,0.112857142857143,0.219959677419355,0.22,0.22,0.21320197044335,0.223546798029557,0.27,0.249172932330827,0.264267271953469,0.276666666666667,0.300717299578059,0.306152082186755,0.340948817116043,0.325819209039548,0.369167475085986,0.5559229390681,0.544789510006901
