"","GSK3","AXIN2","cateninmemb","cateninnuc","CD44","cMet","SRC","Wnt","Frizzled","STAT","RAF","LIV1","Destcompl","AKT","IKK","NFB","NOTCHic","SNAI2","Csn","SOSGRB2","FOXC2","TGFR","TGF","TrCP","SUFU","FUS","SMO","TWIST1","SNAI1","SHH","Patched","MEK","ERK","RKIP","cfos","EGR1","CDC42","PAK1","ZEB2","ZEB1","SMAD","ILK","HEY1","NOTCH","Csl","miR200","KLF4","DSH","Jagged","PI3K","DELTA","RAS","Ecadherin","GLI","TCFLEF"
"cateninnuc",0.0577069800507973,0.248643825157449,0.0867268836523965,-0.00525739508196563,0.0959130241738937,0.0982939765548461,0.102641802641803,0.0998160465700668,0.104163872657023,0.113752913752914,0.178432333432333,0.106060606060606,0.0450049408064691,0.157325757575758,0.163575757575758,0.157575757575758,-0.0278179243492606,0.288032311723014,0.166666666666667,0.0136261668945783,-0.112333333333333,-0.111841859290135,-0.11096849684472,0.166666666666667,-0.133333333333333,-0.123333333333333,-0.124972677595628,-0.0968785804429325,-0.0460628373604539,0.122019998939625,0.123109323558361,0.122516651988056,0.127103807951359,-0.0372250693888411,0.116977225672878,0.121739130434783,0.11643956043956,0.110285714285714,0.00184639678236664,0.00184639678236664,0.0479057934637744,0.0472236652236652,0.0397246321383281,0.0278179243492606,0.0208411801632141,0.00969147761611521,0.0227887276819661,-0.113752913752914,-0.0938993451326999,-0.178432333432333,-0.178432333432333,-0.175738730738731,0.0302194744469618,-0.0974445050680905,-0.0944940547937593
"KLF4",-0.170132407398542,-0.325707244444182,-0.328508209270404,-0.248643825157449,-0.2570229385991,-0.263109895120839,-0.26078431372549,-0.263109895120839,-0.26078431372549,-0.266666666666667,-0.248333333333333,-0.233333333333333,-0.160009607911853,-0.221058201058201,-0.224761904761905,-0.22,-0.0733014354066986,-0.353036374515441,-0.2,-0.0663236134934248,0.162192198247855,0.183090909090909,0.188456762749446,-0.1,0.2,0.233333333333333,0.266666666666667,0.237834422657952,-0.0056776166810683,-0.27614247311828,-0.272916666666667,-0.149830751419593,-0.146737967914438,-0.0132137703566275,-0.129090909090909,-0.12,-0.179090909090909,-0.159090909090909,0.00226522187822497,0.00226522187822497,-0.0616811594202899,-0.0573333333333333,-0.0373873185637892,0.0702086519015439,0.0890909090909091,-0.00586080586080586,-0.0259259259259259,0.266666666666667,0.244720367089183,0.248333333333333,0.248333333333333,0.246127450980392,0.193164304341463,0.257937481327736,0.252006216191073
"HEY1",-0.170132407398542,-0.325707244444182,-0.328508209270404,-0.248643825157449,-0.2570229385991,-0.263109895120839,-0.26078431372549,-0.263109895120839,-0.26078431372549,-0.266666666666667,-0.248333333333333,-0.233333333333333,-0.160009607911853,-0.221058201058201,-0.224761904761905,-0.22,-0.0733014354066986,-0.353036374515441,-0.2,-0.0663236134934248,0.162192198247855,0.183090909090909,0.188456762749446,-0.1,0.2,0.233333333333333,0.266666666666667,0.237834422657952,-0.0056776166810683,-0.27614247311828,-0.272916666666667,-0.149830751419593,-0.146737967914438,-0.0132137703566275,-0.129090909090909,-0.12,-0.179090909090909,-0.159090909090909,0.00226522187822497,0.00226522187822497,-0.0616811594202899,-0.0573333333333333,-0.0373873185637892,0.0702086519015439,0.0890909090909091,-0.00586080586080586,-0.0259259259259259,0.266666666666667,0.244720367089183,0.248333333333333,0.248333333333333,0.246127450980392,0.193164304341463,0.257937481327736,0.252006216191073
"FOXC2",-0.170132407398542,-0.325707244444182,-0.328508209270404,-0.248643825157449,-0.2570229385991,-0.263109895120839,-0.26078431372549,-0.263109895120839,-0.26078431372549,-0.266666666666667,-0.248333333333333,-0.233333333333333,-0.160009607911853,-0.221058201058201,-0.224761904761905,-0.22,-0.0733014354066986,-0.353036374515441,-0.2,-0.0663236134934248,0.162192198247855,0.183090909090909,0.188456762749446,-0.1,0.2,0.233333333333333,0.266666666666667,0.237834422657952,-0.0056776166810683,-0.27614247311828,-0.272916666666667,-0.149830751419593,-0.146737967914438,-0.0132137703566275,-0.129090909090909,-0.12,-0.179090909090909,-0.159090909090909,0.00226522187822497,0.00226522187822497,-0.0616811594202899,-0.0573333333333333,-0.0373873185637892,0.0702086519015439,0.0890909090909091,-0.00586080586080586,-0.0259259259259259,0.266666666666667,0.244720367089183,0.248333333333333,0.248333333333333,0.246127450980392,0.193164304341463,0.257937481327736,0.252006216191073
"TCFLEF",-0.169920067496162,-0.44178315018315,-0.0774983247054905,0.013470632438732,-0.0870448314787937,-0.0889316239316239,-0.0983333333333333,-0.0962845651080945,-0.105686274509804,-0.108333333333333,-0.113087523056837,-0.133333333333333,-0.136491487196843,-0.0924941257900585,-0.101189777963972,-0.104415584415584,0.0321536744779213,-0.211176110903116,-0.0844155844155844,-0.0702760632580992,0.0468482764404619,0.0382414079436466,0.037910282115832,-0.0571428571428571,0.15,0.143333333333333,0.143333333333333,0.0425014399804039,-0.0460199424006955,-0.143333333333333,-0.143333333333333,-0.121554670648747,-0.122915214866434,-0.0304311888689902,-0.11815331010453,-0.115714285714286,-0.0419797257006559,-0.0512820512820513,0.00413556618819777,0.00413556618819777,-0.0373532972009373,-0.0386917293233083,-0.0293527452659625,-0.033150352218785,-0.0243105372230193,0.00596602861663103,-0.105799592564298,0.115686274509804,0.0612089428786588,0.113087523056837,0.113087523056837,0.109802371939886,0.051559047508574,0.0950423290832498,-0.0119242406861547
"SOSGRB2",0.14960237829803,0.0973872387238724,0.207723216723217,0.104117117967418,0.0975155279503106,0.084472049689441,0.0714285714285714,0.0797619047619048,0.0714285714285714,0,0.0393596986817326,0,0.0911030803648253,0.14890350877193,0.128070175438597,0.133333333333333,0.195804195804196,-0.275950622146795,0.1,-0.157222222222222,0.0227228327228327,0.0126373626373626,0.0133465824955187,0.1,0.2,0.2,0.2,-0.022,-0.0493852167732765,-0.186486486486486,-0.186486486486486,-0.143239343239343,-0.167481767481767,-0.13234649122807,-0.153968253968254,-0.20952380952381,-0.0357142857142857,-0.0357142857142857,0.0384461152882205,0.0384461152882205,-0.199729302955109,-0.203225806451613,-0.209090909090909,-0.185945040874618,-0.172727272727273,-0.00736317137162895,0.0170175438596491,0,-0.243469088629258,-0.0393596986817326,-0.0393596986817326,-0.0573084166304505,-0.210875322480358,-0.0928053830227743,-0.102778685845047
"Patched",-0.0293040293040293,-0.247619047619048,-0.114767025089606,-0.101531823085221,-0.0933333333333333,-0.1,-0.1,0,0,-0.1,-0.157692307692308,-0.1,-0.0437162837162837,-0.107142857142857,-0.15,-0.1,0,-0.310344827586207,0,-0.05,0.185,0.08,0.0883333333333333,0,-0.2,-0.1,-0.133333333333333,0.0861111111111111,-0.0865591397849462,-0.0116666666666667,0.0133333333333333,-0.112307692307692,-0.12,-0.108571428571429,-0.1,-0.1,-0.1,-0.1,0.0416666666666667,0.0416666666666667,-0.0333333333333333,-0.0333333333333333,-0.0230769230769231,0.00909090909090909,0,-0.0428571428571429,-0.00555555555555556,0,0.0871957671957672,0.157692307692308,0.157692307692308,0.151442307692308,0.00877292340884574,-0.0125,0.104444444444444
"TGFR",0.104899590542584,0.114115402956605,0.108431124161959,0.0877549393289302,0.0823320092684542,0.0836477987421384,0.0666666666666667,0.0741239892183288,0.0571428571428571,0.0666666666666667,0.0464285714285714,0.1,0.0722065803900179,0.101168619222475,0.108145363408521,0.0976190476190476,0.219540229885058,-0.0903427573426811,0.0833333333333333,0.0512345679012346,-0.0359480864683067,-0.0281349206349206,-0.0401916582235731,0.0333333333333333,0.153333333333333,0.153333333333333,0.156781609195402,-0.0251818900751285,0.0212516057286773,-0.148307032924216,-0.156781609195402,-0.226098122017372,-0.223358395989975,-0.0932034632034632,-0.243358395989975,-0.238095238095238,-0.0736507936507937,-0.0688888888888889,0.0588484386196056,0.0588484386196056,-0.160471330223368,-0.159403714565005,-0.182498532482654,-0.230331596791532,-0.233333333333333,-0.0485494653041928,0.0802445425157096,-0.0571428571428571,-0.177808371219398,-0.0464285714285714,-0.0464285714285714,-0.0423350041771094,-0.0689495047340836,-0.0721885053473611,-0.0885521049622341
"TWIST1",-0.0993538080905487,-0.163552200487684,-0.110409976887392,-0.104357695866902,-0.110121336409468,-0.114539007092199,-0.116666666666667,-0.115614035087719,-0.116666666666667,-0.133333333333333,-0.133451456126978,-0.133333333333333,-0.110749884379923,-0.0212423170050289,-0.028021978021978,-0.0423076923076923,0.0513960113960114,-0.409950713524687,-0.05,0.0279958536251442,0.204561408209195,0.208409090909091,0.209092462207496,0,0.233333333333333,0.244444444444444,0.256444444444444,0.126193154988922,-0.0673887547916282,-0.253596748918431,-0.255074581430746,-0.204845338524767,-0.204347826086957,-0.110656284569328,-0.204347826086957,-0.2,-0.210909090909091,-0.210909090909091,0.0670424810775688,0.0670424810775688,-0.172597755271023,-0.172267722267722,-0.170695970695971,-0.0532828038488416,-0.0437037037037037,-0.0568189917199455,0.0580675422138837,0.133333333333333,0.00043752436820107,0.133451456126978,0.133451456126978,0.132081593113279,0.0393280397728438,0.111614035087719,0.105680295061841
"DSH",-0.100878567255077,0.128152826468988,0.033430406659879,0.0788613916686239,0.0786523427774735,0.0806390977443609,0.0842105263157895,0.0806390977443609,0.0842105263157895,0.1,-0.12903240563829,0.1,-0.0115247447474937,-0.0649281609195402,-0.0545833333333333,-0.0733333333333333,0.146988795518207,-0.0400889637139763,-0.0733333333333333,0.121729490022173,0.307023364232667,0.295238095238095,0.29349593495935,-0.133333333333333,0,0.0272727272727273,0.032034632034632,0.101476846057572,-0.209240855762595,-0.0403267357354039,-0.0384862449378578,-0.228708372237784,-0.21442265795207,-0.273646353646354,-0.232941176470588,-0.18,-0.286666666666667,-0.286666666666667,0.0724618797694679,0.0724618797694679,-0.0810153616086699,-0.0776191351935755,-0.0874086197490453,-0.153282501811914,-0.160714285714286,-0.0417219450603597,0.094802969731582,-0.1,-0.0629450973483121,0.12903240563829,0.12903240563829,0.134354534489831,-0.00343618399736546,-0.0786783134306354,-0.079128533253664
"TGF",0.0958531357748579,0.111111111111111,0.101733664577663,0.0885521049622341,0.0836477987421384,0.0666666666666667,0.0666666666666667,0.0571428571428571,0.0571428571428571,0.1,0.0232142857142857,0,0.0730130320029211,0.108145363408521,0.0976190476190476,0.0833333333333333,0.233333333333333,-0.0952038684537922,0.0333333333333333,0.05,-0.0250310559006211,0.0736507936507937,-0.0281349206349206,0,0.133333333333333,0.153333333333333,0.153333333333333,-0.0205555555555556,0.0268563254926891,-0.156781609195402,-0.156781609195402,-0.223358395989975,-0.243358395989975,-0.106060606060606,-0.238095238095238,-0.266666666666667,-0.0688888888888889,-0.08,0.0788484386196057,0.0788484386196057,-0.159403714565005,-0.164242424242424,-0.186976144422953,-0.219540229885058,-0.233333333333333,-0.068197559145835,0.0570302568014238,-0.1,-0.180706921944035,-0.0232142857142857,-0.0232142857142857,-0.0464285714285714,-0.072527017510915,-0.0741239892183288,-0.0823320092684542
"STAT",-0.091299510458389,-0.22248300718889,-0.196161356045892,-0.166564459352648,-0.172130647130647,-0.167857142857143,-0.167857142857143,-0.167857142857143,-0.167857142857143,-0.142857142857143,-0.179466501240695,0,-0.120452926563065,-0.0132364810330912,-0.00476190476190476,0,-0.00222575516693164,-0.268177846795916,0,-0.00238095238095238,0.265830947511929,0.290998803827751,0.290515712040312,0,0.05,0.075,0.095,0.248057356603084,-0.121823744790201,-0.113933937024079,-0.111279069767442,-0.268893105629349,-0.25921568627451,-0.164763513513514,-0.253333333333333,-0.233333333333333,-0.277840909090909,-0.259090909090909,0.0823471400394477,0.0823471400394477,-0.0867233050141596,-0.0821256038647343,-0.08,-0.0084538564835538,-0.00588235294117647,-0.0437596904403581,0.190116854822737,0.142857142857143,0.0345422243968359,0.179466501240695,0.179466501240695,0.183197844524277,0.0924258590351222,0.172058823529412,0.167398785931909
"Jagged",0.0103448275862069,-0.0728571428571429,-0.107292847997073,-0.0954645354645355,-0.0830769230769231,-0.06,0,-0.06,0,0,-0.0533333333333333,0,-0.0523706563706564,0.0444444444444444,0.0333333333333333,0,-0.08,-0.243187531422826,0,0.08,0.234285714285714,0.211111111111111,0.239111111111111,0,0,0,0.0333333333333333,0.162,-0.133333333333333,-0.0814102564102564,-0.0583333333333333,-0.253333333333333,-0.22,-0.174358974358974,-0.2,-0.1,-0.2,-0.2,0.0838164251207729,0.0838164251207729,-0.0714285714285714,-0.0666666666666667,0.0333333333333333,0.08,0.1,-0.0454545454545455,0.105555555555556,0,0.00337662337662337,0.0533333333333333,0.0533333333333333,0.0806060606060606,0.113473684210526,0.0830769230769231,0.0921678321678322
"CDC42",0.0810524891774892,0.0435796387520525,0.0222722705225729,0.0233698054490134,0.0208908908908909,0.0262962962962963,0.03,0.0262962962962963,0.03,0.05,-0.0220043572984749,0.1,0.049119964503236,0.0478070175438596,0.0583333333333333,0.0583333333333333,0.0423076923076923,-0.192286788637154,0.0333333333333333,0.0805555555555556,0.220202227232356,0.219327731092437,0.216297428062134,0,0.0333333333333333,0.0476190476190476,0.0642857142857143,0.122008658008658,-0.127899610937586,-0.0751977015417876,-0.073963133640553,-0.249432571849668,-0.244347826086957,-0.173449883449883,-0.24,-0.22,-0.20952380952381,-0.0857142857142857,0.0889407740497329,0.0889407740497329,-0.0762672811059908,-0.0714285714285714,-0.0744627686156921,-0.05,-0.05,-0.0415796621678975,0.105746031746032,-0.05,-0.0357638888888889,0.0220043572984749,0.0220043572984749,0.0244433816887188,-0.00864604777411895,-0.0210331384015595,-0.0248512869304949
"RAS",-0.036937984496124,0.163214756258235,0.139924461760255,0.145515305550548,0.140050062578223,0.129411764705882,0.1,0.129411764705882,0.1,0.1,-0.131538461538462,0,-0.00948278622697227,-0.0188888888888889,-0.0133333333333333,-0.0333333333333333,0.144736842105263,-0.167286568499602,0,-0.0822510822510823,0.112539682539683,0.111764705882353,0.0969132207338381,-0.1,0.1,0.1,0.1,-0.0153300600109111,-0.176401179941003,-0.092135593220339,-0.104,-0.191857585139319,-0.174210526315789,-0.236232704402516,-0.19,-0.14,-0.1,-0.1,0.0931553755522828,0.0931553755522828,-0.11317254174397,-0.109090909090909,-0.11304347826087,-0.161717974180735,-0.15,-0.0511692307692308,0.118928571428571,-0.1,-0.159160260201064,0.131538461538462,0.131538461538462,0.0353846153846154,-0.128039727089782,-0.137745098039216,-0.144665447193607
"PAK1",0.0785070346320346,0.0435796387520525,0.0206239188742213,0.0246111847593582,0.0248512869304949,0.0208908908908909,0.0262962962962963,0.0210331384015595,0.0262962962962963,0.03,-0.0244433816887188,0.05,0.0494207163829352,0.0515107212475634,0.0478070175438596,0.0583333333333333,0.05,-0.193914275074767,0.0583333333333333,0.0835258525852585,0.22089188240477,0.216297428062134,0.217936772324429,0.0333333333333333,0.0476190476190476,0.0642857142857143,0.073963133640553,0.121465179747788,-0.126706293515151,-0.0801977015417876,-0.0751977015417876,-0.244099238516335,-0.249432571849668,-0.17621231438911,-0.244347826086957,-0.24,-0.219327731092437,-0.20952380952381,0.0995517065256171,0.0995517065256171,-0.0782027649769585,-0.0762672811059908,-0.0788745333215745,-0.0456043956043956,-0.0423076923076923,-0.0517319464318568,0.0893525891230809,-0.03,-0.0400583674164963,0.0244433816887188,0.0244433816887188,0.0203524725978098,-0.0118986429298283,-0.0244477725479009,-0.0233698054490134
"LIV1",0.0785070346320346,0.0435796387520525,0.0206239188742213,0.0246111847593582,0.0248512869304949,0.0208908908908909,0.0262962962962963,0.0210331384015595,0.0262962962962963,0.03,-0.0244433816887188,0.05,0.0494207163829352,0.0515107212475634,0.0478070175438596,0.0583333333333333,0.05,-0.193914275074767,0.0583333333333333,0.0835258525852585,0.22089188240477,0.216297428062134,0.217936772324429,0.0333333333333333,0.0476190476190476,0.0642857142857143,0.073963133640553,0.121465179747788,-0.126706293515151,-0.0801977015417876,-0.0751977015417876,-0.244099238516335,-0.249432571849668,-0.17621231438911,-0.244347826086957,-0.24,-0.219327731092437,-0.20952380952381,0.0995517065256171,0.0995517065256171,-0.0782027649769585,-0.0762672811059908,-0.0788745333215745,-0.0456043956043956,-0.0423076923076923,-0.0517319464318568,0.0893525891230809,-0.03,-0.0400583674164963,0.0244433816887188,0.0244433816887188,0.0203524725978098,-0.0118986429298283,-0.0244477725479009,-0.0233698054490134
"Csl",0.000108578362141365,-0.0994569553096497,-0.107509493600973,-0.0908732719102876,-0.0926073926073926,-0.0954645354645355,-0.0921678321678322,-0.0953936386194451,-0.0921678321678322,-0.0830769230769231,-0.0816198394309339,-0.06,-0.0525301385646684,0.024031007751938,0.0217054263565891,0.0333333333333333,0.0220373514431239,-0.261280398382554,0.0444444444444444,0.0695689889913253,0.240519397970534,0.249425473141109,0.25146628946764,0.0333333333333333,0.0583333333333333,0.0814102564102564,0.0931749622926094,0.166681548579413,-0.129739986261725,-0.103723720171734,-0.0985513063786309,-0.265103519668737,-0.266190476190476,-0.177729363546155,-0.260476190476191,-0.253333333333333,-0.24878853046595,-0.239111111111111,0.100063611533705,0.100063611533705,-0.0834589471280119,-0.0812367249057896,0.0184877696898157,-0.021128260534033,-0.0167741935483871,-0.0533503948668859,0.088816425120773,0.0830769230769231,0.00357591206928955,0.0816198394309339,0.0816198394309339,0.0794139570779927,0.106032472835707,0.0929742837807354,0.0927600643631178
"NOTCH",0.00125391849529781,-0.0898382749326146,-0.110957769463042,-0.0926073926073926,-0.0921678321678322,-0.0830769230769231,-0.06,-0.0830769230769231,-0.06,0,-0.0806060606060606,0,-0.0505014974921517,0.0333333333333333,0.0444444444444444,0.0333333333333333,-0.08,-0.255356843592138,0,0.0642105263157895,0.240408163265306,0.239111111111111,0.24878853046595,0,0,0.0333333333333333,0.0583333333333333,0.167084745762712,-0.125641025641026,-0.0931749622926094,-0.0814102564102564,-0.260476190476191,-0.253333333333333,-0.177807250221043,-0.22,-0.2,-0.211111111111111,-0.2,0.102334943639291,0.102334943639291,-0.0747619047619048,-0.0714285714285714,0.0289855072463768,-0.0167741935483871,0.08,-0.0597402597402597,0.0838164251207729,0,0.00708032708032708,0.0806060606060606,0.0806060606060606,0.0791567852437418,0.10944142614601,0.0921678321678322,0.0954645354645355
"SRC",-0.0825974025974026,-0.185360618810829,-0.165888340068852,-0.132105292111343,-0.136803278688525,-0.145,-0.125,-0.145,-0.125,0,-0.244188569044639,0,-0.0814253862079949,-0.0688034188034188,-0.0743589743589744,-0.0666666666666667,0.134285714285714,-0.23774037978408,-0.1,-0.0114285714285714,0.337161531279178,0.337896825396825,0.350624098124098,-0.1,0.0333333333333333,0.0833333333333333,0.103333333333333,0.161797398004295,-0.221395811036347,-0.126209150326797,-0.114444444444444,-0.322355631789594,-0.324242424242424,-0.352101661779081,-0.290909090909091,-0.3,-0.323611111111111,-0.311111111111111,0.10339922132375,0.10339922132375,-0.106164058795638,-0.105263157894737,-0.123030453492221,-0.127142857142857,-0.12,-0.0689708681013029,0.175322997416021,0.1,-0.0205645730416373,0.244188569044639,0.244188569044639,0.230552205408276,0.0590089268030444,0.136803278688525,0.136803278688525
"cMet",0.107277265745008,-0.108412698412698,-0.0423715015707898,-0.0687314918690559,-0.0823255813953488,-0.08,0,-0.08,-0.1,0,-0.0304761904761905,0.1,0.0516899634546693,0.127083333333333,0.133333333333333,0.1,0.127067669172932,-0.352297499742755,0.1,-0.0580952380952381,0.189119198312236,0.198888888888889,0.192505910165485,0,0.1,0.15,0.17,0.115457052310985,-0.192905414537886,-0.175965909090909,-0.179090909090909,-0.325,-0.305,-0.301111111111111,-0.335,-0.275,-0.193333333333333,-0.193333333333333,0.109235209235209,0.109235209235209,-0.179717584003298,-0.174263038548753,-0.191606467148263,-0.146216605343145,-0.142857142857143,-0.054403134606939,0.236507936507937,0.1,-0.142843822843823,0.0304761904761905,0.0304761904761905,0.0436837376460018,-0.0201561593989706,0.0845454545454545,0.0715563506261181
"ZEB2",-0.294860123001798,-0.293638516265978,-0.284641479216688,-0.248323536826131,-0.245711500974659,-0.243859649122807,-0.233333333333333,-0.232680652680653,-0.222424242424242,-0.22,-0.218549783549784,-0.2,-0.197559304820845,-0.187323468328141,-0.186388888888889,-0.170833333333333,-0.152410256410256,-0.148594760625083,-0.133333333333333,-0.127179487179487,-0.126958818958819,-0.109202226345084,-0.100207517350375,-0.1,-0.1,-0.0857142857142857,-0.0828571428571429,0.0116142230553085,0.0529023206674644,0.067358251504593,0.0755400696864112,0.0767688793186743,0.0828664402942841,0.0882447665056361,0.0925438596491228,0.108333333333333,0.115324675324675,0.120779220779221,0.120913878348222,0.120913878348222,0.121568038625751,0.123397306918434,0.13866568914956,0.154049600672551,0.156410256410256,0.165317140870365,0.202710193248562,0.209090909090909,0.209206808541655,0.218549783549784,0.218549783549784,0.221333509459848,0.228866139777386,0.234515515065974,0.249232627735222
"PI3K",-0.215524290524291,0.152857142857143,0.0665876611027628,0.100544294625538,0.105224823485693,0.106763285024155,0.111111111111111,0.106763285024155,0.111111111111111,0.1,-0.194251082251082,0.1,-0.0177824145252215,-0.187933634992458,-0.205882352941176,-0.2,0.173076923076923,0.0402315578442022,-0.233333333333333,0.141923076923077,0.249180023228804,0.225411764705882,0.229476805356289,-0.2,0,0,0.0166666666666667,0.0259670320967541,-0.262512077294686,-0.0222222222222222,-0.0166666666666667,-0.238187078109933,-0.252941176470588,-0.301680672268908,-0.2,-0.2,-0.229411764705882,-0.2,0.122442426603048,0.122442426603048,-0.0693381352541016,-0.0653381352541016,-0.075922375811388,-0.163399503722084,-0.15,-0.0723714772895101,0.101535087719298,-0.1,-0.0708771929824561,0.194251082251082,0.194251082251082,0.187401767182589,-0.0522143405353862,-0.105224823485693,-0.102399964728631
"ILK",-0.215524290524291,0.152857142857143,0.0665876611027628,0.100544294625538,0.105224823485693,0.106763285024155,0.111111111111111,0.106763285024155,0.111111111111111,0.1,-0.194251082251082,0.1,-0.0177824145252215,-0.187933634992458,-0.205882352941176,-0.2,0.173076923076923,0.0402315578442022,-0.233333333333333,0.141923076923077,0.249180023228804,0.225411764705882,0.229476805356289,-0.2,0,0,0.0166666666666667,0.0259670320967541,-0.262512077294686,-0.0222222222222222,-0.0166666666666667,-0.238187078109933,-0.252941176470588,-0.301680672268908,-0.2,-0.2,-0.229411764705882,-0.2,0.122442426603048,0.122442426603048,-0.0693381352541016,-0.0653381352541016,-0.075922375811388,-0.163399503722084,-0.15,-0.0723714772895101,0.101535087719298,-0.1,-0.0708771929824561,0.194251082251082,0.194251082251082,0.187401767182589,-0.0522143405353862,-0.105224823485693,-0.102399964728631
"CD44",0.0863095238095238,-0.11,-0.0576739926739927,-0.0715563506261181,-0.08,0,0,-0.1,-0.1,0.1,-0.0619047619047619,0.1,0.054392666157372,0.133333333333333,0.1,0.1,0.142857142857143,-0.353757353757354,0,-0.0380952380952381,0.192916666666667,0.193333333333333,0.198888888888889,-0.1,0.1,0.1,0.15,0.118827838827839,-0.179346092503987,-0.179090909090909,-0.17,-0.305,-0.335,-0.301111111111111,-0.275,-0.3,-0.193333333333333,-0.133333333333333,0.136507936507937,0.136507936507937,-0.174263038548753,-0.172222222222222,-0.193567251461988,-0.127067669172932,-0.1,-0.087215634606939,0.193650793650794,0,-0.142843822843823,0.0619047619047619,0.0619047619047619,0.0304761904761905,-0.0260085767017696,0.08,0.0823255813953488
"miR200",-0.116810849468766,-0.327212825978197,-0.332185652170634,-0.293811505321547,-0.29097600748605,-0.283110838946724,-0.270434782608696,-0.280676056338028,-0.268,-0.24,-0.223011863758132,-0.2,-0.193079423274713,-0.0576223577812456,-0.0500751879699248,-0.0357894736842105,-0.0411822660098522,-0.289151540437514,-0.02,-0.0251579626047711,0.0534353992890578,0.0833491461100569,0.0897444949472662,0,0.02,0.0325,0.0458333333333333,0.179569980122127,-0.00232878232878233,-0.0648344340487984,-0.0572257383966245,-0.0408596165739023,-0.0333766233766234,-0.00153138635228483,-0.0242857142857143,-0.0142857142857143,-0.0720588235294118,-0.0583333333333333,0.312293906810036,0.312293906810036,-0.0109497990791857,-0.00812848246476565,-0.00502824858757062,0.0394873507556149,0.0377339901477833,0.247675280007055,0.308350586611456,0.24,0.0949718532725965,0.223011863758132,0.223011863758132,0.229745030840427,0.305571200156712,0.288368364030336,0.293356959867002
"ZEB1",-0.0255549829718588,-0.294415994188489,-0.290889579468376,-0.25725939428781,-0.259316791131712,-0.256539013353934,-0.250656660412758,-0.260821495577593,-0.255052264808362,-0.238461538461538,-0.170191837178976,-0.2,-0.140274095853782,0.0645761945848227,0.0702904802991084,0.0719298245614035,0.0729166666666667,-0.323591436291341,0.0666666666666667,0.0739961013645224,0.243699670970441,0.280203849006123,0.281778652155729,0.0666666666666667,0.158333333333333,0.170833333333333,0.189015151515152,0.262433947887974,-0.0757874808622384,-0.198637648200658,-0.196858288770053,-0.162966053381705,-0.159882352941176,-0.0999552864930041,-0.154,-0.15,-0.273604864234549,-0.257662835249042,0.319394607802757,0.319394607802757,-0.148190057372469,-0.145305441987854,-0.153163822360714,-0.0762224517906336,-0.0729166666666667,0.320783194384651,0.312762688669484,0.242857142857143,-0.0199808359835817,0.170191837178976,0.170191837178976,0.172554041903385,0.1888814127502,0.263914279082748,0.257455089004053
