"","ZEB2","Destcompl","AXIN2","RKIP","PAK1","MEK","Frizzled","SNAI1","SMAD","Wnt","ILK","CD44","SHH","HEY1","cateninmemb","AKT","ZEB1","Jagged","RAS","RAF","PI3K","DELTA","Ecadherin","NOTCH","KLF4","miR200","TrCP","GSK3","NOTCHic","SUFU","Csl","Csn","Patched","IKK","SMO","TCFLEF","STAT","LIV1","EGR1","cateninnuc","cMet","SRC","FOXC2","GLI","DSH","SOSGRB2","CDC42","ERK","cfos","FUS","TGF","NFB","TGFR","TWIST1","SNAI2"
"Ecadherin",-0.0312089954465198,0.0722980576918258,0.12921790541092,-0.0698104641924867,0.0949090909090909,0.109176911626881,0.0297765617875057,-0.0809889175417479,-0.0621961609994034,0.0263282859254367,-0.0609855072463768,0.0275023142958669,-0.0598398738464144,-0.0363256956229716,-0.0193300838727668,-0.136065416065416,-0.146872747103331,-0.0452517282028842,-0.11452954237131,-0.113691553544495,-0.113691553544495,-0.113691553544495,-0.10507413034546,-0.135360789901855,-0.0555555555555556,-0.144282849366648,-0.1,-0.0816687774576292,0.134245548266167,0.0333333333333333,0.129090909090909,0.12,0.0637768817204301,0.132169312169312,0.05625,-0.0268796492896402,-0.0274509803921569,-0.0333333333333333,-0.107272727272727,-0.0266929079264283,-0.0271678661353318,-0.0297765617875057,-0.116815934138194,-0.0269949525921034,-0.0274509803921569,-0.157534380548283,-0.0962424242424242,-0.108000441038646,-0.113155080213904,0.05,-0.0958260699884658,0.124761904761905,-0.096730229120473,0.0204648677596427,-0.138179797395754
"ERK",-0.0293198260547417,0.299369275618695,0.214192546977357,-0.413603667533573,0.080952380952381,-0.291490574276662,0.158717948717949,-0.296124457568549,-0.218257472169575,0.167808857808858,-0.210050785239483,0.176906219533781,-0.22651522647548,-0.198872568185812,0.0900619557864895,-0.090890634819399,-0.159975157696393,-0.222749492301281,-0.0391913696864192,-0.0366611166611167,-0.0366611166611167,-0.0366611166611167,0.196921234869701,-0.109806829283344,-0.0322155861777496,-0.131348026490966,-0.0428571428571429,-0.0249117056700105,0.100665555045117,0.153333333333333,0.0838772338772339,0.0428571428571429,0.216370298939248,0.0817163228927935,0.202644808743169,-0.179880197228948,-0.149122807017544,-0.133333333333333,0.367241379310345,-0.181060752784504,-0.173598331493068,-0.164507422402159,-0.0894088783743956,-0.170565750039434,-0.143333333333333,0.21226198181538,-0.089363595905652,0.28731230129616,0.390645634629494,0.181333333333333,-0.105257555960196,0.0640692640692641,-0.100312501015141,0.0784808439862695,0.295343000933365
"RAF",-0.0278900047824008,0.299272810169364,0.194913267698078,-0.383963585434174,0.0333333333333333,-0.390645634629494,0.133333333333333,-0.278282577226668,-0.199349678228413,0.143333333333333,-0.1864783910997,0.164507422402159,-0.202644808743169,-0.182384823848238,0.0898180533474651,-0.0640692640692641,-0.134029650884744,-0.205768453391543,-0.0293595293595294,-0.0233766233766234,-0.0233766233766234,-0.0233766233766234,0.192599361376279,-0.0838772338772339,-0.0298900047824008,-0.111198387688076,0,-0.0220646178092987,0.0646464646464646,0.1,0.0555555555555556,0,0.181333333333333,0.0428571428571429,0.153333333333333,-0.173598331493068,-0.1,0,0.35,-0.176906219533781,-0.149122807017544,-0.133333333333333,-0.0755673445328618,-0.158717948717949,-0.1,0.219619047619048,-0.0666666666666667,0.367241379310345,0.35,0.133333333333333,-0.089363595905652,0.0428571428571429,-0.080952380952381,0.0715389185977421,0.300129101824328
"SOSGRB2",-0.0141353383458647,0.32553777318878,0.207597634763476,-0.269554093567251,0.0142857142857143,-0.491057291057291,0.142857142857143,-0.0756858564321251,-0.268232197909617,0.15952380952381,-0.256344086021505,0.180538302277433,-0.280546825895663,-0.252367424242424,0.0767900237900238,0.0669590643274854,-0.0467418546365915,-0.297605290135642,0.28722294654498,0.294915254237288,0.294915254237288,0.294915254237288,0.175830671936101,0.0390327981877278,-0.0184210526315789,-0.0397004843714524,0.1,0.148573860298965,-0.0573426573426573,0.2,-0.0727272727272727,-0.1,0.268918918918919,-0.083625730994152,0.25,-0.187906723330064,-0.1,0,0.438095238095238,-0.191922019697177,-0.164596273291925,-0.142857142857143,-0.061978021978022,-0.175465838509317,-0.1,0.324722222222222,-0.0542857142857143,0.478936078936079,0.449206349206349,0.233333333333333,-0.0750440339802042,-0.0888888888888889,-0.0658241758241758,-0.0635652173913044,0.292384507414593
"TGFR",-0.00607710017580058,0.0187092278295799,-0.147604476538668,0.19012987012987,-0.153333333333333,-0.248620409471166,-0.0957142857142857,0.341608654150891,0.227085259668201,-0.0976010781671159,0.213206256109482,-0.11188679245283,0.212636128969414,0.16689858252259,-0.121466071850897,0.323009558780673,0.424311662892035,0.194008932573478,0.318953634085213,0.313690476190476,0.313690476190476,0.313690476190476,-0.20140393161633,0.307160340692963,0.000874014747012458,0.332292409419773,0.166666666666667,0.217956545246628,-0.303563218390805,-0.126666666666667,-0.296666666666667,-0.241666666666667,-0.203031609195402,-0.318358395989975,-0.196781609195402,0.114757605849959,0.1,0.1,0.247619047619048,0.114314736053679,0.11188679245283,0.11,0.0566941061596463,0.0982462394574385,0.0857142857142857,0.379694606887589,0.162857142857143,0.241771094402673,0.252882205513784,-0.193333333333333,0.0628318135764944,-0.313095238095238,0.0592857142857143,-0.258671411625148,0.0370267003422328
"TGF",-0.00117143979844209,0.0170963246037734,-0.145458553791887,0.184415584415584,-0.12,-0.241771094402673,-0.0857142857142857,0.331284170375079,0.213206256109482,-0.0957142857142857,0.20030303030303,-0.11188679245283,0.203031609195402,0.160928433268859,-0.120080390557595,0.318358395989975,0.412613549684488,0.188211831124202,0.313690476190476,0.304761904761905,0.304761904761905,0.304761904761905,-0.198678207595888,0.303563218390805,0.0133740147470125,0.328480092704231,0.2,0.221135029354207,-0.296666666666667,-0.0666666666666667,-0.246666666666667,-0.166666666666667,-0.196781609195402,-0.313095238095238,-0.193333333333333,0.11188679245283,0.1,0,0.233333333333333,0.114757605849959,0.11,0.1,0.0527639751552795,0.0976010781671159,0.1,0.371052631578947,0.153333333333333,0.252882205513784,0.247619047619048,-0.126666666666667,0.0592857142857143,-0.241666666666667,0.162857142857143,-0.253333333333333,0.0361007744163069
"RKIP",0.0278900047824008,-0.299272810169364,-0.194913267698078,0.383963585434174,-0.0333333333333333,0.390645634629494,-0.133333333333333,0.278282577226668,0.199349678228413,-0.143333333333333,0.1864783910997,-0.164507422402159,0.202644808743169,0.182384823848238,-0.0898180533474651,0.0640692640692641,0.134029650884744,0.205768453391543,0.0293595293595294,0.0233766233766234,0.0233766233766234,0.0233766233766234,-0.192599361376279,0.0838772338772339,0.0298900047824008,0.111198387688076,0,0.0220646178092987,-0.0646464646464646,-0.1,-0.0555555555555556,0,-0.181333333333333,-0.0428571428571429,-0.153333333333333,0.173598331493068,0.1,0,-0.35,0.176906219533781,0.149122807017544,0.133333333333333,0.0755673445328618,0.158717948717949,0.1,-0.219619047619048,0.0666666666666667,-0.367241379310345,-0.35,-0.133333333333333,0.089363595905652,-0.0428571428571429,0.080952380952381,-0.0715389185977421,-0.300129101824328
"MEK",0.0294773063697024,-0.299482015190284,-0.20752588031069,0.401068848592068,-0.0666666666666667,0.28731230129616,-0.143333333333333,0.289180013124104,0.210050785239483,-0.158717948717949,0.199349678228413,-0.173598331493068,0.216370298939248,0.189657551120966,-0.0900619557864895,0.0817163228927935,0.149109015964109,0.216424191096461,0.0366611166611167,0.0293595293595294,0.0293595293595294,0.0293595293595294,-0.195513751175915,0.100665555045117,0.0298900047824008,0.12203430100077,0,0.0242759200206009,-0.0838772338772339,-0.133333333333333,-0.0646464646464646,-0.0428571428571429,-0.202644808743169,-0.0640692640692641,-0.181333333333333,0.176906219533781,0.133333333333333,0.1,-0.35,0.179880197228948,0.164507422402159,0.149122807017544,0.0854772544427717,0.167808857808858,0.133333333333333,-0.215174603174603,0.080952380952381,-0.390645634629494,-0.367241379310345,-0.153333333333333,0.100312501015141,-0.0428571428571429,0.089363595905652,-0.0755682226270462,-0.296966084792698
"KLF4",0.032156862745098,-0.0725776476265882,-0.12942409097793,0.0686868686868687,-0.0909090909090909,-0.108000441038646,-0.0274509803921569,0.0819382846303555,0.0609855072463768,-0.0297765617875057,0.0653333333333333,-0.0271678661353318,0.0637768817204301,0.0410236822001528,0.0197146992573822,0.132169312169312,0.143555211558308,0.0463958929626096,0.113691553544495,0.115897435897436,0.115897435897436,0.115897435897436,0.00643732411371738,0.134245548266167,0.0555555555555556,0.142234432234432,0.1,0.0812272763538765,-0.129090909090909,0,-0.129090909090909,-0.1,-0.05625,-0.124761904761905,-0.05,0.0275023142958669,0.0333333333333333,0.0333333333333333,0.08,0.0268796492896402,0.0297765617875057,0.0274509803921569,0.117044767090139,0.0263282859254367,0.0333333333333333,0.154902801600915,0.0949090909090909,0.113155080213904,0.107272727272727,-0.0333333333333333,0.096730229120473,-0.12,0.0962424242424242,-0.0195337690631808,0.138842049051383
"HEY1",0.032156862745098,-0.0725776476265882,-0.12942409097793,0.0686868686868687,-0.0909090909090909,-0.108000441038646,-0.0274509803921569,0.0819382846303555,0.0609855072463768,-0.0297765617875057,0.0653333333333333,-0.0271678661353318,0.0637768817204301,0.0410236822001528,0.0197146992573822,0.132169312169312,0.143555211558308,0.0463958929626096,0.113691553544495,0.115897435897436,0.115897435897436,0.115897435897436,0.00643732411371738,0.134245548266167,0.0555555555555556,0.142234432234432,0.1,0.0812272763538765,-0.129090909090909,0,-0.129090909090909,-0.1,-0.05625,-0.124761904761905,-0.05,0.0275023142958669,0.0333333333333333,0.0333333333333333,0.08,0.0268796492896402,0.0297765617875057,0.0274509803921569,0.117044767090139,0.0263282859254367,0.0333333333333333,0.154902801600915,0.0949090909090909,0.113155080213904,0.107272727272727,-0.0333333333333333,0.096730229120473,-0.12,0.0962424242424242,-0.0195337690631808,0.138842049051383
"TWIST1",0.0363433609047644,0.135445446663962,0.191050562340885,0.0153182566226045,-0.0175757575757576,-0.0539265912997939,0.142063492063492,0.0255830924707378,0.058973464914059,0.143116123642439,0.0619437619437619,0.140858672786384,-0.0534785223174453,0.0658843980877879,0.0863642783422152,0.033379896939219,0.0689197969899724,-0.0478817806154458,-0.0634005586477578,-0.0644279559080318,-0.0644279559080318,-0.0644279559080318,0.149802438541624,-0.0524469171638983,0.0280070877631853,0.0774569402228977,0.1,-0.125013643808244,0.0533903133903134,0.0333333333333333,0.0585185185185185,-0.05,0.0470745814307458,-0.0316849816849817,0.0484444444444444,-0.14009297600231,-0.147619047619048,-0.133333333333333,0.0666666666666667,-0.139805454438193,-0.142063492063492,-0.142063492063492,0.0491883116883117,-0.141516123642439,-0.147619047619048,0.0325099258737703,0.0175757575757576,0.0544241037376049,0.0623188405797102,0.0444444444444444,0.0185979671429558,-0.0269230769230769,0.0188257575757576,-0.132982819367259,0.144107370988893
"cMet",0.0370851370851371,0.125599134002495,-0.0684126984126984,-0.0674074074074074,-0.0466666666666667,-0.180454545454545,-0.05,0.0662602834770542,-0.0859616573902288,-0.0433333333333333,-0.0768707482993197,-0.0456589147286822,-0.0802840909090909,-0.0762985896112831,-0.0731713008225464,0.0254166666666667,0.137518037518038,-0.0829492246883551,0.105714285714286,0.105714285714286,0.105714285714286,0.105714285714286,-0.0785518794184296,0.0196608542633179,0.138095238095238,0.132351092446201,-0.1,0.0800115207373272,-0.00902255639097744,0.1,-0.0142857142857143,0,0.0709090909090909,-0.00666666666666667,0.08,0.0379666070363745,0.2,0.1,0.125,0.0368366635335496,0.0433333333333333,0.15,0.055785864978903,0.0478787878787879,0.1,0.284285714285714,0.0591666666666667,0.175,0.185,0.1,0.0549113475177305,0,0.0591666666666667,-0.0840539984360209,0.232119899565155
"RAS",0.0396023564064801,0.292377091795696,0.197417654808959,-0.0801006289308176,-0.02,-0.277249742002064,0.15,0.0258210422812193,-0.0909090909090909,0.167647058823529,-0.0766233766233766,0.169774718397997,-0.099864406779661,-0.0828063241106719,-0.0716012931082453,0.176666666666667,0.155316642120766,-0.140354819633353,0.0361538461538462,0.143846153846154,0.143846153846154,0.143846153846154,-0.0244896553263378,0.13987090367428,0.0385714285714286,0.1408,0.1,0.0512144702842377,-0.134210526315789,0.1,-0.15,-0.2,0.088,-0.16,0.1,-0.175928564551844,-0.1,0,0.22,-0.179611284098586,-0.167647058823529,-0.15,0.0220634920634921,-0.167647058823529,-0.1,0.176623376623377,0.02,0.279210526315789,0.295,0.1,0.00328479906814211,-0.166666666666667,0.00823529411764707,-0.131947626841244,0.101041305748206
"cateninnuc",0.0437454548667718,-0.189716060281184,-0.418003969025887,0.260124990807373,-0.279428571428571,-0.197772277406264,-0.246006961075454,0.297695155401992,0.150352346304597,-0.246006961075454,0.145031746031746,-0.245751470751471,0.296846486753409,0.0922824957278359,0.21592705793557,0.371397727272727,0.333507001538803,0.28660604273862,0.340992475992476,0.340992475992476,0.340992475992476,0.340992475992476,0.0981029302237234,0.413786969683698,0.086609940079691,0.291409846505462,0.3,0.216831405914777,-0.411968787865516,-0.233333333333333,-0.403829252981795,-0.325,-0.292271323354716,-0.368272727272727,-0.28792349726776,0.244929962162972,0.25011655011655,0.242424242424242,0.188405797101449,0.144957578843447,0.247338772338772,0.247338772338772,0.259809698498223,0.244030676490474,0.25011655011655,0.371356307181018,0.284043956043956,0.198230993002595,0.193167701863354,-0.263333333333333,0.283963646853573,-0.352272727272727,0.284618668687634,0.0636023698623339,0.418221109334387
"IKK",0.0521353383458647,-0.08395548657213,0.144047619047619,-0.0725865209471767,-0.1,-0.0338095238095238,0.111111111111111,-0.0576194515125813,-0.0230335533553355,0.111111111111111,-0.0319444444444444,0.115726495726496,-0.00643678160919539,-0.025077399380805,0.160825161802815,-0.0708494208494208,-0.247573934837093,-0.0638175570134333,-0.082637628554144,-0.082637628554144,-0.082637628554144,-0.082637628554144,0.270705744938813,-0.144877344877345,0.0523809523809524,-0.184057971014493,-0.2,-0.0175457875457875,0.124242424242424,-0.1,0.0909090909090909,0.1,0.0133333333333333,0.0357142857142857,-0.02,-0.112901636969434,-0.1,-0.1,0.05,-0.114167459754244,-0.111111111111111,-0.111111111111111,0.0923232323232323,-0.115726495726496,-0.1,0.0252100840336134,0.0888888888888889,0.0271428571428571,0.00714285714285715,-0.08,0.0653616161616161,0.0857142857142857,0.0661616161616162,0.0857843137254902,0.22397663174859
"NFB",0.0647790165067842,-0.0849521643129938,0.144047619047619,-0.0713044696651254,-0.0888888888888889,-0.0383846872082166,0.111111111111111,-0.0589893145262799,-0.0345577169241088,0.115726495726496,-0.0230335533553355,0.112901636969434,-0.00282232377787009,-0.0179345422379478,0.162620304358254,-0.0597383097383097,-0.254853628323683,-0.0587815857904117,-0.0851251907431987,-0.082637628554144,-0.082637628554144,-0.082637628554144,0.272792422306389,-0.140361215845087,0.0504578754578755,-0.187985463461623,-0.1,-0.0183301012712777,0.144877344877345,-0.08,0.124242424242424,0.0857142857142857,0.00643678160919539,0.0708494208494208,0.0133333333333333,-0.114167459754244,-0.111111111111111,-0.1,0.00714285714285715,-0.115187067597381,-0.115726495726496,-0.111111111111111,0.0975025151917582,-0.11347930471526,-0.111111111111111,0.0199469261388766,0.0661616161616162,0.0338095238095238,0.0271428571428571,-0.02,0.0685261731236415,0.0357142857142857,0.0653616161616161,0.0848319327731093,0.225196143943712
"PAK1",0.0742740433685055,0.140879966167147,0.18012020943706,-0.327984648868627,0.0857142857142857,-0.0953210513387374,0.136296296296296,-0.307682662442942,-0.221379074927462,0.14682261208577,-0.210411332991978,0.152057602156612,-0.21515537349946,-0.19573669047829,0.127099351939524,-0.193396686159844,-0.433671003962106,-0.186899497273347,-0.128672255795642,-0.127763164886551,-0.127763164886551,-0.127763164886551,0.227393359336234,-0.178791208791209,0.0740202966432475,-0.309921421268092,-0.1,-0.0521969696969697,0.162307692307692,0.171428571428571,0.157692307692308,0.175,0.19715537349946,0.173026315789474,0.18110599078341,-0.152427972526982,-0.14,-0.1,0.08,-0.154083144940776,-0.147107107107107,-0.136296296296296,-0.0952737158782773,-0.150237246232111,-0.14,-0.0761963696369637,-0.0915966386554622,0.0966543846720708,0.101739130434783,0.171428571428571,-0.103668173677817,0.1625,-0.0976572447160683,0.132417090156221,0.0870128990169644
"EGR1",0.0742740433685055,0.140879966167147,0.18012020943706,-0.327984648868627,0.0857142857142857,-0.0953210513387374,0.136296296296296,-0.307682662442942,-0.221379074927462,0.14682261208577,-0.210411332991978,0.152057602156612,-0.21515537349946,-0.19573669047829,0.127099351939524,-0.193396686159844,-0.433671003962106,-0.186899497273347,-0.128672255795642,-0.127763164886551,-0.127763164886551,-0.127763164886551,0.227393359336234,-0.178791208791209,0.0740202966432475,-0.309921421268092,-0.1,-0.0521969696969697,0.162307692307692,0.171428571428571,0.157692307692308,0.175,0.19715537349946,0.173026315789474,0.18110599078341,-0.152427972526982,-0.14,-0.1,0.08,-0.154083144940776,-0.147107107107107,-0.136296296296296,-0.0952737158782773,-0.150237246232111,-0.14,-0.0761963696369637,-0.0915966386554622,0.0966543846720708,0.101739130434783,0.171428571428571,-0.103668173677817,0.1625,-0.0976572447160683,0.132417090156221,0.0870128990169644
"SHH",0.075,-0.196623376623377,-0.342857142857143,-0.02,0.2,-0.08,0,0,-0.15,-0.1,-0.133333333333333,-0.2,-0.0533333333333333,-0.133333333333333,0.209462365591398,0.1,-0.175,0.0771428571428571,0.257692307692308,0.25,0.25,0.25,0.129444444444444,0.233333333333333,0.1,-0.116666666666667,0,0.241025641025641,-0.2,0,-0.1,0,-0.0666666666666667,-0.1,-0.1,0.206666666666667,0.1,0,0,0.201111111111111,0.2,0.1,0.1,0.1,0,0,-0.1,0.1,0.1,0,0.02,0,0,0.1,0.379693486590038
"Csl",0.0758404284659389,0.0359928990970013,0.0536778825610857,-0.30163891423037,0.0453333333333333,-0.107619047619048,0.0400466200466201,-0.275489590924374,-0.207668151193331,0.0497240394014588,-0.199890373415553,0.053610199324485,-0.190057790036525,-0.0885832950794588,0.0457462790868153,-0.167700258397933,-0.410385672725332,-0.138798007471435,-0.0516978647803676,-0.0509625706627206,-0.0509625706627206,-0.0509625706627206,0.12969318576924,-0.122350891892488,0.075175983436853,-0.292059027149133,-0.1,-0.0110256516438852,0.108714528256124,0.15,0.106082949308756,0.155555555555556,0.175402617622731,0.151421188630491,0.163574660633484,-0.054373558103111,-0.0430769230769231,-0.02,0.0933333333333333,-0.0556885952672048,-0.0499367299367299,-0.0400466200466201,-0.0647978479489682,-0.0521433942401684,-0.0430769230769231,-0.0335410588555646,-0.0517849462365591,0.107619047619048,0.107619047619048,0.157692307692308,-0.0610054497245786,0.144444444444444,-0.0562435449626738,0.140163937096812,0.131930170814651
"NOTCHic",0.0763929146537842,0.0360538375491646,0.0482794249775382,-0.291961494875531,0.0333333333333333,-0.107619047619048,0.0430769230769231,-0.267584452584453,-0.199890373415553,0.0400466200466201,-0.181904761904762,0.0499367299367299,-0.175402617622731,-0.076164994425864,0.044675942695378,-0.151421188630491,-0.401545893719807,-0.129943840804768,-0.0509625706627206,-0.0445586297760211,-0.0445586297760211,-0.0445586297760211,0.128065278792496,-0.108714528256124,0.0766045548654244,-0.283562295122989,0,-0.0108783762388778,0.106082949308756,0.1,0.202857142857143,0.1,0.163574660633484,0.144444444444444,0.157692307692308,-0.053610199324485,-0.02,0,0.06,-0.054373558103111,-0.0400466200466201,-0.0430769230769231,-0.0613495720868993,-0.0497240394014588,-0.02,-0.0343540669856459,-0.0453333333333333,0.107619047619048,0.0933333333333333,0.15,-0.0562435449626738,0.155555555555556,-0.0517849462365591,0.137229399850762,0.132303026892205
"cfos",0.0765248472270264,0.141180718046846,0.17320197044335,-0.314172494172494,0.0714285714285714,-0.0966543846720708,0.14,-0.297420132610006,-0.210411332991978,0.136296296296296,-0.187830687830688,0.147107107107107,-0.19715537349946,-0.179560219890055,0.125267850108022,-0.173026315789474,-0.423060071486222,-0.175243055555556,-0.127763164886551,-0.119226579520697,-0.119226579520697,-0.119226579520697,0.225248030616511,-0.162307692307692,0.0723809523809524,-0.299261522790935,0,-0.0521969696969697,0.157692307692308,0.1,0.15,0.1,0.18110599078341,0.1625,0.171428571428571,-0.152057602156612,-0.1,-0.1,0.16,-0.152427972526982,-0.136296296296296,-0.14,-0.0904461296713807,-0.14682261208577,-0.1,-0.0791666666666667,-0.0857142857142857,0.101739130434783,0.08,0.171428571428571,-0.0976572447160683,0.175,-0.0915966386554622,0.128069264069264,0.0871937308433659
"Csn",0.077682382133995,-0.210074053840596,-0.105412830500472,-0.0731633043155331,-0.0886363636363636,-0.0486066017316017,-0.0660919540229885,-0.0578256507798101,-0.140639456827774,-0.0721160504085307,-0.128557194616977,-0.0681160504085307,-0.101082861553512,-0.119925249169435,0.140251638435681,-0.1494,-0.284982630272953,-0.0773461006740059,0.0723690389106381,0.0763997490833828,0.0763997490833828,0.0763997490833828,0.191572779604843,-0.1246780996781,0.0757667169431875,-0.200960925444375,-0.18,0.0873472205702415,0.13044733044733,0.0714285714285714,0.134343434343434,0.13,0.0953451566354792,0.155,0.100721500721501,0.0652221597332895,0.0833333333333333,0.0666666666666667,0.0166666666666667,0.0650417628601686,0.0721160504085307,0.0660919540229885,0.0798443316594995,0.0681859194041639,0.0833333333333333,0.0495976017525654,0.0871438263229308,0.0517316017316017,0.0348484848484848,0.115873015873016,0.0915560409976753,0.171666666666667,0.0922720314511359,0.116397849462366,0.158865303860221
"DSH",0.0783744028104276,-0.233886949076548,-0.176359176100124,-0.00885447885447885,-0.113333333333333,-0.0168729012072665,-0.119736842105263,0.00580745341614907,-0.101168886215287,-0.12687969924812,-0.0939990748945324,-0.126217447592491,-0.0411734745892672,-0.0855382318316249,0.151364758995771,-0.0802729885057471,-0.205728064870338,-0.0154932878718788,0.104875831205028,0.106836615518754,0.106836615518754,0.106836615518754,0.171729682731524,-0.0523256155609097,0.0775692801392402,-0.144552152623799,-0.0666666666666667,0.101252221389832,0.0628151260504202,0.05,0.0726190476190476,0.0866666666666667,0.0405599776567518,0.0929166666666667,0.0534632034632035,0.124312685687729,0.125,0.1,-0.0133333333333333,0.124223638492716,0.12687969924812,0.119736842105263,0.11130946572807,0.126226104476878,0.125,0.0503325942350333,0.11768115942029,0.0191285403050109,0.00431372549019608,0.0772727272727273,0.129899510175226,0.111666666666667,0.12815734989648,0.11252220036951,0.193934623030861
"cateninmemb",0.0855477381773363,-0.185314205238802,-0.340586634965338,0.232485135695409,-0.239272727272727,-0.177133248800926,-0.274874601003192,0.259775318122575,0.127226164157631,-0.273150463072158,0.123594202898551,-0.273001691304195,0.315458047582762,0.0747163929635307,0.17777186535629,0.315315055315055,0.301067940271644,0.305568985842007,0.290523837811876,0.290803167420815,0.290803167420815,0.290803167420815,-0.0156793318895399,0.339647422350345,0.109939052977028,0.272592274268252,0.2,0.204968823103264,-0.332584225324323,-0.233333333333333,-0.321244019138756,-0.26,-0.30994623655914,-0.302328042328042,-0.291666666666667,0.272129960295478,0.272549019607843,0.266666666666667,0.147272727272727,0.27138299484263,0.274005035785801,0.274874601003192,0.242007578082304,0.271817129738824,0.272549019607843,0.324690800758328,0.245939393939394,0.175956778212691,0.170802139037433,-0.266666666666667,0.24989652356494,-0.283809523809524,0.249354028085735,0.14700027993817,0.352242781997517
"AXIN2",0.125095990019008,-0.329159932389931,0.0763014023104686,0.36871824412147,-0.24125,-0.0740502896488842,-0.334263565891473,0.401994805725065,0.14524959742351,-0.346332531408714,0.132551184725098,-0.350433477780954,0.289554584759503,0.108258345276601,0.270064609613251,0.362946859903382,0.420748107088115,0.352431058952798,0.388177368014166,0.383715425756948,0.383715425756948,0.383715425756948,-0.0591756409963841,0.356644482828693,0.13556802056211,0.375320096487605,0.2,0.349442019206321,-0.337725563909774,-0.15,-0.307368421052632,-0.255555555555556,-0.273489010989011,-0.339613526570048,-0.246703296703297,0.351957510606276,0.313333333333333,0.266666666666667,0.04,0.352519551246138,0.346332531408714,0.334263565891473,0.253664532189122,0.350106116314375,0.313333333333333,0.258063949452449,0.267175925925926,0.0692227034419877,0.0570731707317073,-0.203846153846154,0.289150866782843,-0.303381642512077,0.282220173713537,-0.0178764705607167,0.363777334220663
