"","ZEB2","ZEB1","Csn","TrCP","FUS","miR200","NFB","IKK","SOSGRB2","DSH","AKT","Destcompl","GLI","RKIP","CD44","SHH","Patched","SNAI2","NOTCHic","Csl","PI3K","SRC","SMAD","NOTCH","KLF4","Jagged","TGF","FOXC2","ILK","MEK","EGR1","TGFR","ERK","TWIST1","CDC42","cfos","HEY1","Ecadherin","PAK1","RAF","DELTA","cMet","RAS","Frizzled","Wnt","STAT","cateninnuc","cateninmemb","TCFLEF","AXIN2","SNAI1","SMO","LIV1","SUFU","GSK3"
"RAF",0.0528723098995696,0.0528723098995696,0,0,-0.0333333333333333,0.0475098632536105,0.0428571428571429,0.0678571428571429,0.195873015873016,-0.1,0.0708874458874459,0.124597504507029,-0.121794871794872,0.175840336134454,-0.127058029689609,-0.0179234972677596,0.00666666666666666,0.0852453808940957,0.0828282828282828,0.0555555555555556,-0.0935064935064935,-0.133333333333333,-0.0775528836580706,0.0866744366744367,0.0368723098995696,-0.020512975988358,0.0178282153983088,-0.00455349248452698,-0.0567608044501498,0.164886280264123,0.18,0.0038095238095238,0.162758620689655,0.0188175876411171,0.0133333333333333,0.18,0.0603948896631823,0.0918458977738655,0.0333333333333333,0.0935064935064935,0.0935064935064935,0.13859649122807,0.0875235875235875,0.133333333333333,0.133333333333333,0.1,0.123435189425547,0.136700734347793,0.122162924794504,0.0948429442100328,-0.12479483607826,-0.0266666666666667,0,0.1,0.0695429472025217
"MEK",0.0655707225979823,0.0655707225979823,0.0428571428571429,0,0.0266666666666667,0.0515346310554681,0.0678571428571429,0.0708874458874459,0.184761904761905,-0.133333333333333,0.0720639164756812,0.12501591454887,-0.116899766899767,0.163998230871296,-0.122162924794504,-0.035570556091289,-0.0179234972677596,0.0847587628892295,0.0866744366744367,0.0828282828282828,-0.0875235875235875,-0.13859649122807,-0.0653757618868528,0.0830248016379403,0.050597800095648,-0.0319883858244236,0.0251274854713015,0.00715821922718474,-0.0775528836580706,0.0898862802641233,0.18,0.0178282153983088,0.164886280264123,0.0199164887400181,0.0038095238095238,0.162758620689655,0.0749403442086369,0.0933030926736834,0.0133333333333333,0.0875235875235875,0.0875235875235875,0.127058029689609,0.0814918414918415,0.133333333333333,0.121794871794872,0.133333333333333,0.12585154630287,0.138164148981939,0.123435189425547,0.0948429442100328,-0.117102528385952,-0.00666666666666666,0.1,0.0333333333333333,0.0619262395858141
"ERK",0.0713974942515256,0.0713974942515256,0.0678571428571429,0.0428571428571429,0.00666666666666666,0.0544758075260564,0.0708874458874459,0.0720639164756812,0.19544151641239,-0.133333333333333,0.0592198797784335,0.123024182117454,-0.119155405997511,0.157591545634527,-0.123435189425547,-0.029290362854574,-0.035570556091289,0.0839472209595632,0.0830248016379403,0.0866744366744367,-0.0814918414918415,-0.127058029689609,-0.0535216585433878,0.0733295107792146,0.0622257070723922,-0.0262654942581585,0.0278747382185543,0.0117736038425694,-0.0653757618868528,0.0901648317961567,0.162758620689655,0.0251274854713015,0.0898862802641233,0.0233838951200459,0.0178282153983088,0.164886280264123,0.0616297640038587,0.0938180257323857,0.0038095238095238,0.0814918414918415,0.0814918414918415,0.122162924794504,0.0776414564533376,0.121794871794872,0.116899766899767,0.13859649122807,0.126823768525093,0.140096071705031,0.12585154630287,0.0956559523401141,-0.123584009867434,0.0179234972677596,0.133333333333333,-0.0266666666666667,0.0618354130644698
"SRC",0.088611859838275,0.088611859838275,-0.05,-0.1,0.2,0.0385477968086664,-0.0166666666666667,0.00641025641025641,-0.0128571428571429,-0.2,-0.0102564102564103,-0.17350812231247,-0.155245901639344,-0.0516454871293581,-0.155245901639344,0.12244008714597,0.151851851851852,-0.0345110532708659,0.0242857142857143,0.01,0.0985398414685023,-0.2,0.0873221906116643,0.00285714285714286,0.16531007751938,0.117681133850859,0.0727813852813853,0.0509710550887022,0.0774122807017544,-0.0544692205069564,-0.0333333333333333,0.0636904761904762,-0.0676767676767677,0.0864178350385247,0.0541666666666667,-0.0787878787878788,-0.035824230387289,0.159907336672043,0.0666666666666667,-0.0985398414685023,-0.0985398414685023,0.17,-0.115206508135169,0.2,0.17,0.1,0.160715973118583,0.191274135608442,0.156465413834466,0.103765565897403,-0.0447129273565593,-0.2,0,-0.1,-0.0419047619047619
"Jagged",0.0900966183574879,0.0900966183574879,0,0,0.1,0.0460606060606061,0.1,0.2,0.14,0,0.233333333333333,-0.156509652509653,-0.167692307692308,0.0923076923076923,-0.167692307692308,0.217307692307692,0.225,0.0181246857717446,0.3,0.2,-0.18,-0.1,0.0880952380952381,0.342857142857143,0.0944444444444444,0.212987012987013,0.108888888888889,0.0671428571428571,0.15,0.18,0.1,0.0888888888888889,0.18,0.112,0.1,0.2,-0.25,0.0947368421052632,0.2,0.18,0.18,0.16,0.216363636363636,0.1,0.16,0,0.138787878787879,0.160310956648985,0.146480186480186,0.114285714285714,-0.05,-0.2,0,0,0.195019157088123
"DELTA",0.0900966183574879,0.0900966183574879,0,0,0.1,0.0460606060606061,0.1,0.2,0.14,0,0.233333333333333,-0.156509652509653,-0.167692307692308,0.0923076923076923,-0.167692307692308,0.217307692307692,0.225,0.0181246857717446,0.3,0.2,-0.18,-0.1,0.0880952380952381,0.342857142857143,0.0944444444444444,0.212987012987013,0.108888888888889,0.0671428571428571,0.15,0.18,0.1,0.0888888888888889,0.18,0.112,0.1,0.2,-0.25,0.0947368421052632,0.2,0.18,0.18,0.16,0.216363636363636,0.1,0.16,0,0.138787878787879,0.160310956648985,0.146480186480186,0.114285714285714,-0.05,-0.2,0,0,0.195019157088123
"NOTCH",0.108615136876006,0.108615136876006,0.1,0,0.2,0.0574891774891775,0.2,0.233333333333333,0.113684210526316,-0.1,0.255555555555556,-0.144360119799372,-0.146480186480186,0.0612732095490716,-0.146480186480186,0.182013574660633,0.217307692307692,0.0175955852426441,0.342857142857143,0.3,-0.216363636363636,-0.16,0.0847619047619048,0.258986175115207,0.0900966183574879,0.175949975949976,0.128243727598566,0.0895918367346939,0.0880952380952381,0.201428571428571,0.2,0.108888888888889,0.18,0.110305084745763,0.0888888888888889,0.18,-0.202173913043478,0.101994906621392,0.1,0.216363636363636,0.216363636363636,0.167692307692308,0.21201581027668,0.16,0.167692307692308,0.1,0.140828695114409,0.156646035183016,0.138787878787879,0.101078167115903,-0.0207692307692308,-0.225,0,-0.1,0.181382793451759
"GSK3",0.113203055205426,0.113203055205426,0.205833333333333,0.193333333333333,0.157575757575758,0.0482371739259464,0.212083333333333,0.199439655172414,0.0736764124512281,-0.209210526315789,0.199439655172414,0.110812507039887,-0.201238784159808,0.0644881434355118,-0.199024465136351,0.150772844530591,0.139289590942075,-0.034276963913924,0.222847740494799,0.236134453781513,-0.110509483528181,-0.194924812030075,0.109755969269181,0.222588000235059,0.109012391735023,0.152633106353862,0.0938109610431986,0.0594967415285653,0.103609042732449,0.0902827162231187,0.0525490196078431,0.0958622430944806,0.0874418071322096,0.0920106206320488,0.094120082815735,0.0821786492374728,-0.12681121307167,0.0925800170547178,0.0817391304347826,0.110509483528181,0.110509483528181,0.194262560374446,0.112610323864316,0.194924812030075,0.195578406801317,0.209210526315789,0.20209460151916,0.141244987526768,0.201963022571792,0.128293088110897,-0.064217102412249,-0.134995112414467,0.225,-0.190909090909091,-0.0758328127753775
"DSH",0.115134704536778,0.115134704536778,0.193333333333333,0.133333333333333,0.190909090909091,0.0511680062823356,0.205833333333333,0.212083333333333,0.0564671101256467,-0.225,0.199439655172414,0.113383834972257,-0.195578406801317,0.0542124542124542,-0.194262560374446,0.139289590942075,0.134995112414467,-0.0346220890217756,0.236134453781513,0.238095238095238,-0.117512284648629,-0.209210526315789,0.103609042732449,0.222847740494799,0.101378803948764,0.142852084456052,0.0958622430944806,0.0622080652925206,0.0858731936758453,0.0874418071322096,0.0466666666666667,0.094120082815735,0.0821786492374728,0.0929069074438286,0.0817391304347826,0.0525490196078431,-0.109164154248141,0.0933373433635752,0.06,0.117512284648629,0.117512284648629,0.194924812030075,0.110509483528181,0.209210526315789,0.194924812030075,0.225,0.201963022571792,0.139565058260632,0.199024465136351,0.125705569085022,-0.0581262939958592,-0.157575757575758,0.2,-0.2,0.0210057895540734
"Csn",0.122785773366419,0.122785773366419,0.235,0.26,0.2,0.0591360764619108,0.251666666666667,0.26,0.0427487605211576,-0.233333333333333,0.2464,0.0964255109347376,-0.215322001754949,0.0743647941629439,-0.213520934311961,0.145845552297165,0.145845552297165,-0.0202442305375152,0.274603174603175,0.270707070707071,-0.145033830134817,-0.229885057471264,0.105165325434969,0.261141636141636,0.105814838756015,0.152930449324232,0.0733770937026735,0.0394718498106397,0.0874275362318841,0.115606060606061,0.08,0.0678878335594753,0.107272727272727,0.0896166432912576,0.0512211668928087,0.08,-0.108651716500554,0.106011953555557,0.0318181818181818,0.145033830134817,0.145033830134817,0.216632045423072,0.137164348368982,0.229885057471264,0.216632045423072,0.233333333333333,0.219280293003977,0.148047320192517,0.216093281578842,0.149866619452313,-0.0720430329475669,-0.172727272727273,0.2,-0.2,0.0473902253903614
"SOSGRB2",0.125050125313283,0.125050125313283,0.1,0.1,-0.133333333333333,0.0897897272887812,0.155555555555556,0.18187134502924,0.36,-0.1,0.202704678362573,0.165014627430735,-0.158074534161491,0.0968201754385965,-0.163146997929607,-0.0624554787345485,-0.0531531531531532,0.0726449650783712,0.194405594405594,0.163636363636364,-0.40225988700565,-0.142857142857143,-0.109098428453267,0.215532354968975,0.12219298245614,-0.0687749404817379,0.150548671186969,0.128046398046398,-0.0860215053763441,0.320619320619321,0.280952380952381,0.142747252747253,0.317589017589018,0.115130434782609,0.154285714285714,0.336507936507936,-0.00587121212121212,0.116687096256989,0.164285714285714,0.40225988700565,0.40225988700565,0.164596273291925,0.409952194697957,0.142857142857143,0.15952380952381,0.1,0.159415489426034,0.167598221598222,0.159989103192765,0.118660616061606,0.0862899786780384,0.0666666666666667,0,0.2,0.230962707231992
"IKK",0.125563909774436,0.125563909774436,0.1,0.2,-0.04,0.061571906354515,0.114285714285714,0.0476190476190476,0.0111344537815126,0.1,0.0665379665379665,0.161939638982423,0.0152136752136752,-0.0114754098360656,0.0152136752136752,0.0281736909323116,0.0385185185185185,-0.0103620139075417,0.0519480519480519,0.00909090909090909,-0.0379915305505142,0.0444444444444444,0.0275371287128713,0.0757575757575758,0.128937728937729,0.0260512339893783,0.0241212121212121,0.0108802308802309,0.05625,0.0134920634920635,0.05,0.0121212121212121,0.0157142857142857,-0.0986601307189543,0.0166666666666667,0.0357142857142857,-0.0582043343653251,-0.00324448966495064,0.05,0.0379915305505142,0.0379915305505142,-0.0136752136752137,0.0464422347758663,-0.0444444444444444,-0.0136752136752137,-0.1,-0.0328493757071315,-0.0517373129663632,-0.0282080254961611,-0.0461904761904762,0.0172815945716709,-0.02,-0.1,0.1,-0.0402930402930403
"NOTCHic",0.128615136876006,0.128615136876006,0.2,0.1,0.225,0.0684718364487151,0.233333333333333,0.255555555555556,0.122775119617225,-0.16,0.243927648578811,-0.144026786466039,-0.141103842394165,0.0345126461687899,-0.138787878787879,0.172336155305795,0.182013574660633,0.016593581234628,0.258986175115207,0.342857142857143,-0.21201581027668,-0.167692307692308,0.102747516272696,0.243196701430997,0.104382332643202,0.169989711049314,0.135250097025318,0.104107965766952,0.0847619047619048,0.218571428571429,0.18,0.128243727598566,0.201428571428571,0.115965462104253,0.108888888888889,0.18,-0.206789297658863,0.103679439546354,0.0888888888888889,0.21201581027668,0.21201581027668,0.146480186480186,0.201670982690473,0.167692307692308,0.146480186480186,0.16,0.146172206564791,0.161311349584639,0.140828695114409,0.101078167115903,-0.0212983312983313,-0.217307692307692,0.1,-0.2,0.17229188436085
"CDC42",0.1300837849264,0.1300837849264,0.2,0.1,0.214285714285714,0.0700662083015024,0.225,0.2375,0.1125,-0.15,0.221710526315789,-0.144021083136611,-0.153625730994152,0.0268065268065268,-0.150780780780781,0.153493201342664,0.162135176651306,0.00904161531898758,0.248717948717949,0.233333333333333,-0.219880174291939,-0.17,0.0984297661717017,0.234871794871795,0.10568253968254,0.167743055555556,0.110555131143366,0.0860449545671927,0.0806878306878307,0.196993367722918,0.18,0.0969187675070028,0.181739130434783,0.08395670995671,0.0714285714285714,0.16,-0.102173913043478,0.12506747407088,0.157142857142857,0.219880174291939,0.219880174291939,0.158888888888889,0.210124076730963,0.17,0.158888888888889,0.15,0.152504286464682,0.164246445008114,0.148800582760979,0.115418719211823,-0.010855389336402,-0.197619047619048,0.1,-0.2,0.18075487012987
"SNAI1",0.133023158371581,0.133023158371581,0.2375,0.225,0.162135176651306,0.0674037936962566,0.221710526315789,0.219858674463938,0.1457449093966,-0.158888888888889,0.221942007797271,-0.1482237773722,-0.156977048602392,0.0372505962487238,-0.152504286464682,0.173949512022275,0.162493201342664,0.00741315894868183,0.230476190476191,0.234871794871795,-0.205578622185509,-0.150780780780781,0.124057667612006,0.230884353741497,0.131273673945345,0.182676292654076,0.108910278331803,0.085481487888842,0.117784604881379,0.212108464882858,0.181739130434783,0.112740923493093,0.211660034389585,0.0813312918965093,0.110555131143366,0.196993367722918,-0.140339179149921,0.125705974191501,0.0969187675070028,0.205578622185509,0.205578622185509,0.148800582760979,0.207549065535263,0.153625730994152,0.153137926116103,0.158888888888889,0.156088926772304,0.169947445216886,0.155262907154338,0.117353890958315,-0.124425234502405,-0.153493201342664,0.17,-0.197619047619048,0.180387633406198
"Csl",0.133587512566614,0.133587512566614,0.233333333333333,0.2,0.217307692307692,0.0682539715249678,0.255555555555556,0.243927648578811,0.143100322869257,-0.167692307692308,0.240051679586563,-0.147378401335021,-0.144329648845778,0.0377384526204028,-0.140828695114409,0.180956844960967,0.172336155305795,0.0154750130019658,0.243196701430997,0.258986175115207,-0.201670982690473,-0.146480186480186,0.119414182939363,0.237742155976451,0.121525189786059,0.177802211049314,0.135930369134161,0.106406816341665,0.102747516272696,0.22944099378882,0.18,0.135250097025318,0.218571428571429,0.116191195738565,0.128243727598566,0.201428571428571,-0.22705073556736,0.103679439546354,0.108888888888889,0.201670982690473,0.201670982690473,0.138787878787879,0.199465100337532,0.146480186480186,0.141103842394165,0.167692307692308,0.148058999017621,0.164828169156504,0.146172206564791,0.102363514159605,-0.0284129558042602,-0.182013574660633,0.16,-0.225,0.172144608955843
"NFB",0.135142453835739,0.135142453835739,0.114285714285714,0.1,0.02,0.0673120876233972,0.0476190476190476,0.0665379665379665,-0.00465501990269792,0.0444444444444444,0.0732046332046332,0.167255253600363,0.0286968212810909,-0.026860025220681,0.0282080254961611,0.0101014017756851,0.0281736909323116,-0.010565265940062,0.0757575757575758,0.0519480519480519,-0.0464422347758663,0.0136752136752137,0.028652370348559,0.0789833822091887,0.128937728937729,0.00734619801815529,0.0317161488300729,0.0208403902427807,0.0275371287128713,0.0232959850606909,0.0357142857142857,0.0241212121212121,0.0134920634920635,-0.100247432306256,0.0121212121212121,0.0157142857142857,-0.0332043343653251,0.000286810495563002,0.0166666666666667,0.0464422347758663,0.0464422347758663,-0.0152136752136752,0.040472085522135,-0.0136752136752137,-0.0152136752136752,-0.0444444444444444,-0.0308885913934061,-0.0528988757963527,-0.0328493757071315,-0.0525734549138805,0.0274185808730408,-0.0385185185185185,-0.1,0.04,-0.0481361775479423
"TrCP",0.136836196501963,0.136836196501963,0.225,0.2,0.197619047619048,0.0705738225147004,0.2375,0.221710526315789,0.133292079207921,-0.17,0.219858674463938,-0.145975970354656,-0.153137926116103,0.0284639853700627,-0.148800582760979,0.162493201342664,0.153493201342664,0.00831828801338179,0.234871794871795,0.248717948717949,-0.210124076730963,-0.158888888888889,0.117784604881379,0.230476190476191,0.125354670830081,0.173264527948194,0.112740923493093,0.0901828856016755,0.0984297661717017,0.211660034389585,0.16,0.110555131143366,0.196993367722918,0.0828697534349708,0.0969187675070028,0.181739130434783,-0.121291560102302,0.126382352963614,0.0714285714285714,0.210124076730963,0.210124076730963,0.150780780780781,0.205578622185509,0.158888888888889,0.153625730994152,0.17,0.155262907154338,0.167909448671118,0.152504286464682,0.114789788394213,-0.0187312843244688,-0.162135176651306,0.15,-0.214285714285714,0.178209415584416
"PAK1",0.136836196501963,0.136836196501963,0.225,0.2,0.197619047619048,0.0705738225147004,0.2375,0.221710526315789,0.133292079207921,-0.17,0.219858674463938,-0.145975970354656,-0.153137926116103,0.0284639853700627,-0.148800582760979,0.162493201342664,0.153493201342664,0.00831828801338179,0.234871794871795,0.248717948717949,-0.210124076730963,-0.158888888888889,0.117784604881379,0.230476190476191,0.125354670830081,0.173264527948194,0.112740923493093,0.0901828856016755,0.0984297661717017,0.211660034389585,0.16,0.110555131143366,0.196993367722918,0.0828697534349708,0.0969187675070028,0.181739130434783,-0.121291560102302,0.126382352963614,0.0714285714285714,0.210124076730963,0.210124076730963,0.150780780780781,0.205578622185509,0.158888888888889,0.153625730994152,0.17,0.155262907154338,0.167909448671118,0.152504286464682,0.114789788394213,-0.0187312843244688,-0.162135176651306,0.15,-0.214285714285714,0.178209415584416
"RAS",0.152069219440353,0.152069219440353,0.2,0.1,0,0.113169230769231,0.233333333333333,0.293333333333333,0.213852813852814,-0.1,0.315555555555556,0.141114306811981,-0.229411764705882,0.0505660377358491,-0.23153942428035,0.0994689265536723,0.111333333333333,-0.00990509377746943,0.318421052631579,0.25,-0.282051282051282,-0.2,0.0430426716141002,0.342949354518371,0.159285714285714,0.0953597476838163,0.15120559114735,0.117619047619048,0.0675324675324675,0.270459236326109,0.3,0.148235294117647,0.280263157894737,0.0759738134206219,0.16,0.275,-0.172134387351779,0.109109460209204,0.18,0.282051282051282,0.282051282051282,0.229411764705882,0.203205128205128,0.2,0.229411764705882,0.1,0.223402575293643,0.147292196193079,0.225385578126504,0.16764163372859,0.0454572271386431,-0.0833333333333333,0,0.1,0.163875968992248
"ILK",0.15207515782982,0.15207515782982,0.233333333333333,0.2,0.2,0.0666992253057827,0.3,0.305882352941176,0.0269230769230769,-0.2,0.313574660633484,0.141383703052932,-0.193452248234857,0.0235132514544279,-0.193452248234857,0.156837606837607,0.167948717948718,-0.0392785510900126,0.232692307692308,0.225,-0.137125541125541,-0.211111111111111,0.132384153661465,0.232692307692308,0.138377192982456,0.15719298245614,0.0275734098517456,0.00612078977932637,0.120384153661465,0.0971391835422694,0.0666666666666667,0.0218823529411765,0.0725490196078431,0.0162180814354727,0.00588235294117647,0.0666666666666667,-0.1376551306629,0.083267483777938,0,0.137125541125541,0.137125541125541,0.198067632850242,0.131646089070747,0.211111111111111,0.198067632850242,0.2,0.20132457626794,0.123279076437688,0.197407050494744,0.124761904761905,0.00570450885668277,-0.183333333333333,0.1,-0.1,0.100949975949976
"AKT",0.155499815364066,0.155499815364066,0.3,0.233333333333333,0.183333333333333,0.068303503380649,0.305882352941176,0.313574660633484,0.0402564102564103,-0.211111111111111,0.206503953562777,0.138654174516952,-0.198480181195751,0.0204076613923161,-0.197407050494744,0.163153396311291,0.156837606837607,-0.0411880988287061,0.232692307692308,0.232692307692308,-0.131646089070747,-0.198067632850242,0.143495264772576,0.226594746716698,0.147778902384166,0.164477750668061,0.0284797542626217,0.00837642887707073,0.132384153661465,0.0984050063270795,0.0666666666666667,0.0275734098517456,0.0971391835422694,0.0189703750134544,0.0218823529411765,0.0725490196078431,-0.15344460434711,0.083267483777938,0.00588235294117647,0.131646089070747,0.131646089070747,0.193452248234857,0.130441269793638,0.198067632850242,0.193452248234857,0.211111111111111,0.202093807037171,0.125215875622194,0.20132457626794,0.127288980574179,0.000942604094778008,-0.167948717948718,0.2,-0.2,0.101756427562879
"CD44",0.163492063492063,0.163492063492063,-0.1,0,-0.1,0.109481774264383,0,0.0333333333333333,0.361904761904762,0,0.08,0.0350976754338099,-0.22,0.0581481481481482,-0.22,0.0663636363636364,0.03,0.00483072483072483,0.0428571428571429,0,-0.128571428571429,0,0.0275510204081633,0.100751879699248,0.292063492063492,0.0658275058275058,0.196388888888889,0.175,0.05,0.25,0.2,0.2075,0.25,0.193406593406593,0.22,0.25,-0.0269005847953216,0.189816523721637,0.2,0.128571428571429,0.128571428571429,0.1,0.171428571428571,0.1,0.2,-0.1,0.209982110912343,0.236135531135531,0.217674418604651,0.16,0.0859649122807018,0.05,-0.1,0.1,0.131547619047619
"GLI",0.164991295442908,0.164991295442908,0.116666666666667,0.0833333333333333,0.0476190476190476,0.0823694984066501,0.142982456140351,0.128696741854637,-0.030535187526338,-0.04,0.128696741854637,-0.125542050592627,-0.132819249868788,-0.0518066607341682,-0.160172006836865,0.025365441823253,0.022484783387039,0.00578109151192995,0.145932802829355,0.155932802829355,-0.0899484279236634,-0.166774193548387,0.0995688297010798,0.144028040924593,0.156888030888031,0.136291645259908,0.0790868511360302,0.165563402992776,0.0903796405118907,0.121405252206357,0.0857142857142857,0.0769692040772067,0.112012987012987,0.113452746084325,0.0687931034482759,0.110714285714286,-0.10398209600247,0.129620206527308,0.055,0.0899484279236634,0.0899484279236634,0.161896144767899,0.0881662497058416,0.0367741935483871,0.0332447817836812,0.17,0.163289705038245,0.172910632262873,0.161795383460241,0.120200785024155,0.0551331755638551,-0.0265664160401002,0.15,-0.0476190476190476,0.230162386502209
"SMO",0.178248587570621,0.178248587570621,0.1,0,-0.0666666666666667,0.0869801084990958,0.15,0.192857142857143,0.0157894736842105,0,0.196857142857143,-0.164411402550937,0.0208333333333333,-0.0514285714285714,-0.0866666666666667,0.0988888888888889,0.0933333333333333,0.0121948549534756,0.242424242424242,0.233333333333333,-0.211057692307692,-0.05,0.135714285714286,0.252424242424242,0.172222222222222,0.163518518518519,0.0693693693693694,0.17,0.15,0.127925407925408,0.1,0.0666666666666667,0.143076923076923,0.080119825708061,0.1,0.12,-0.161172161172161,0.0307215773614047,0.1,0.211057692307692,0.211057692307692,0.07,0.218034436493739,-0.05,-0.0375,0.1,0.0908932525488478,0.117380380693879,0.0954045307443366,0.0177489177489177,0.0698924731182796,-0.0933333333333333,0.1,0.1,0.204929051530993
"SUFU",0.183209910590093,0.183209910590093,0.192857142857143,0.15,0.0933333333333333,0.090325833406159,0.196857142857143,0.208395604395604,-0.00588884799411115,0.0375,0.206382181576812,-0.159164310035309,0.0153071680488037,-0.0577235430254576,-0.0908932525488478,0.0931558831558832,0.0958585858585859,0.0167491048727035,0.266060606060606,0.252424242424242,-0.22807810461601,-0.0866666666666667,0.126825065718756,0.268441558441558,0.169100596620966,0.156630157473388,0.0826557011499728,0.180150842366462,0.124746543778802,0.136142575937147,0.143076923076923,0.0757523480927736,0.138270235511615,0.0844033038750605,0.0693693693693694,0.127925407925408,-0.141388679419062,0.0333312298873982,0.0666666666666667,0.22807810461601,0.22807810461601,0.0954045307443366,0.22807810461601,-0.0208333333333333,-0.0112179487179487,0.07,0.0870697231370831,0.111696232744456,0.0876323829836304,0.0184209470738337,0.0826419829379575,-0.0988888888888889,0.05,-0.0933333333333333,0.209586392625129
