"","TGF","SHH","IKK","Csn","NOTCH","TrCP","NOTCHic","Csl","cfos","EGR1","ERK","LIV1","RAF","cateninmemb","TCFLEF","DSH","SRC","cMet","cateninnuc","CD44","GLI","Frizzled","STAT","Wnt","AXIN2","Ecadherin","RAS","PI3K","DELTA","GSK3","Destcompl","SNAI2","MEK","miR200","TWIST1","Jagged","RKIP","SUFU","SOSGRB2","NFB","AKT","FUS","SNAI1","SMO","Patched","ILK","ZEB2","ZEB1","SMAD","HEY1","CDC42","TGFR","PAK1","FOXC2","KLF4"
"cateninnuc",0.0215286479319005,-0.012105618678928,0.0948939393939394,0.104166666666667,-0.0899117969870828,0.166666666666667,-0.0808208878961737,-0.0819836785938481,0.0307453416149068,0.0355072463768116,0.0497326833870587,-0.0909090909090909,-0.112896742896743,-0.0807465744499174,-0.0546204475605066,-0.0447552447552447,0.0253108003108003,0.0361803655281916,-0.14901426142408,0.0512597306075567,-0.0504918845300025,-0.0242072995497653,0.0447552447552447,-0.0350768647671566,-0.115195609125306,-0.141250858548469,0.102795732795733,0.112896742896743,0.112896742896743,0.0898063605960294,-0.081673132279814,0.098475652919286,-0.0621180044879762,0.00703000633704611,0.0114793270254844,0.0716322140411838,0.0863538380560713,-0.0111111111111111,-0.0142702742581014,-0.0768939393939394,-0.119893939393939,0.00888888888888889,0.0741641833481534,0.0236429872495446,0.0192951611625881,0.0283679653679654,0.0200708977110799,0.0200708977110799,0.0358713760091659,0.0263866019847421,-0.0247912087912088,-0.0293889099406341,-0.00171428571428572,-0.0412434942107073,-0.00840785351461508
"RAS",-0.0766569598136284,-0.046361581920904,0.18,0.1,-0.228202581926514,0,-0.226315789473684,-0.2,0.005,-0.02,0.0102631578947368,0,-0.153846153846154,-0.0053595568625772,-0.0884904207182055,-0.1,0.15,0.132352941176471,-0.0984054348825114,0.0961827284105131,-0.0948529411764706,-0.15,0.1,-0.132352941176471,0.13536231884058,-0.036878298091305,0.0634615384615385,0.153846153846154,0.153846153846154,0.079031007751938,-0.0477924966297059,0.169552749154676,-0.00830237358101135,-0.0153538461538462,0.10341516639389,0.094441159077469,0.109660377358491,0.1,-0.00692640692640694,-0.2,-0.141111111111111,0,0.10779744346116,0.0166666666666667,0.0446666666666667,0.0653679653679654,0.0420213549337261,0.0420213549337261,0.067408781694496,0.066403162055336,0.06,0.0776470588235294,0.02,0.069047619047619,0.0389285714285714
"TGF",0.00519841269841269,-0.134992816091954,-0.019047619047619,-0.0333333333333333,-0.197471264367816,0,-0.173333333333333,-0.193333333333333,0.0857142857142857,0.1,0.0593984962406015,0,-0.110714285714286,0.0601492055961982,0.100125786163522,0.1,-0.133333333333333,-0.113333333333333,0.104432006259216,-0.100125786163522,0.109649595687332,0.142857142857143,-0.1,0.122857142857143,-0.141358024691358,0.0919724602131355,0.1,0.110714285714286,0.110714285714286,-0.042071257726835,-0.0630662967667804,0.037463418485695,-0.0705096073517126,0.0750097125097125,-0.00666666666666667,0.094440353460972,0.0402597402597403,0.133333333333333,0.025,0.0333333333333333,0.0243107769423559,0.113333333333333,0.0183630006357279,0.113333333333333,0.144367816091954,0.116060606060606,0.0772577028869935,0.0772577028869935,0.1144477028348,0.149387491940683,-0.102222222222222,-0.121269841269841,-0.08,0.00843167701863354,0.0681667937960844
"ILK",-0.0401654710664754,-0.114529914529915,-0.103921568627451,-0.1,-0.078970223325062,0,-0.0596153846153846,-0.075,0.0476190476190476,0.0333333333333333,0.0535014005602241,0.1,0.00886580086580087,-0.0208043135323203,0.138009057183707,0.2,-0.211111111111111,-0.163285024154589,0.151823490173398,-0.13405425492382,0.13405425492382,0.211111111111111,-0.2,0.163285024154589,-0.187333333333333,0.0655902504825918,-0.0280438830575817,-0.00886580086580087,-0.00886580086580087,-0.0511303511303511,0.129918578017634,0.176574953176615,-0.051862056297929,0.0632691558921067,-0.00493047777438369,0.0263157894736842,0.00517129928894635,0.1,0.111923076923077,0.133333333333333,0.085972850678733,0.15,-0.00176328502415459,0.133333333333333,0.125641025641026,0.0818087234893957,0.144618124868137,0.144618124868137,0.0890087234893957,0.0940739245955672,0.0205882352941176,0.0165882352941176,0.05,0.0527038327526132,0.13640350877193
"AKT",-0.0555733260513696,-0.109266756635178,-0.085972850678733,-0.133333333333333,-0.0899458330811596,-0.1,-0.078970223325062,-0.0596153846153846,0.0535014005602241,0.0476190476190476,0.051862056297929,0.2,0.0280438830575817,-0.0219256183233499,0.151823490173398,0.211111111111111,-0.163285024154589,-0.13405425492382,0.158438874788782,-0.138009057183707,0.139082187884714,0.163285024154589,-0.211111111111111,0.13405425492382,-0.18047412755716,0.0686205535128948,-0.0364776179973407,-0.0280438830575817,-0.0280438830575817,-0.0567755124206737,0.120075732690917,0.18531867176958,-0.0404696512346379,0.0643386746086843,-0.0052362881719372,0.0269780411293133,0.00827688935105815,0.15,0.0963675213675214,0.103921568627451,-0.0069564422505599,0.133333333333333,-0.00752769605172351,0.125641025641026,0.114529914529915,0.0890087234893957,0.148042782402384,0.148042782402384,0.0947326292133015,0.099337082490304,0.0165882352941176,0.0401654710664754,0.0205882352941176,0.0647339079405832,0.140677013045434
"SOSGRB2",-0.136374405736108,-0.0728996438298764,-0.113450292397661,0,-0.0649069240618536,-0.1,-0.0832167832167832,-0.0909090909090909,0.00952380952380951,-0.0238095238095238,0.0014157014157014,0,0.0514124293785311,-0.0788098748098748,0.0326054266100033,0,-0.0428571428571429,-0.0645962732919255,0.0301197669541715,-0.0515527950310559,0.0548136645962733,0.0428571428571429,0,0.0678571428571429,-0.0573432343234323,-0.0564511209279109,-0.0411560191221208,-0.0514124293785311,-0.0514124293785311,0.0666299852555112,0.157743933918431,0.239593073212926,0.0137358137358137,0.0956723492015439,0.107130434782609,0.0226557006210233,0.0510964912280702,0,0.178333333333333,0.0555555555555556,0.105116959064327,0.0333333333333333,0.0959687277896233,0.0833333333333333,0.0752252252252252,0.0604301075268817,0.154674185463659,0.154674185463659,0.0653252124219866,0.071969696969697,0.155714285714286,0.144175824175824,0.185714285714286,0.141440781440781,0.153245614035088
"Wnt",-0.0466666666666667,-0.145670995670996,-0.02,0.1,-0.0773809523809524,0.1,-0.0857142857142857,-0.1,0.0333333333333333,0,0.0333333333333333,0,-0.0300751879699248,-0.0282203389830508,0.131203007518797,0.2,-0.2,-0.2,0.139812279041976,-0.152631578947368,0.152631578947368,0.3,-0.1,0.2,-0.207272727272727,0.0603892697913154,0.0209842788790157,0.0300751879699248,0.0300751879699248,-0.0399686520376176,0.135378819720108,0.175258620689655,-0.0392156862745098,0.0795959595959596,-0.000882352941176473,0.0269362745098039,0.0283333333333333,0,0.124242424242424,0,-0.005,0.1,0.0554865424430642,0.15,0.140909090909091,0.107692307692308,0.174988043998087,0.174988043998087,0.119320214669052,0.121025641025641,0.0666666666666667,0.0466666666666667,0.1,0.0723076923076923,0.172549019607843
"Frizzled",-0.0723809523809524,-0.13921938276777,0.005,0,-0.102871148459384,0.1,-0.0773809523809524,-0.0857142857142857,0.0333333333333333,0.0333333333333333,0.0392156862745098,0.1,-0.0209842788790157,-0.0285377993005112,0.139812279041976,0.3,-0.2,-0.152631578947368,0.152669421899119,-0.131203007518797,0.131203007518797,0.2,-0.2,0.152631578947368,-0.186342494714588,0.0713449807470264,0.00287404265854328,0.0209842788790157,0.0209842788790157,-0.06239289446186,0.136705079667057,0.176204992929403,-0.0392156862745098,0.0858459595959596,0.0210224089635854,0.0441079916815211,0.0426190476190476,0.1,0.115151515151515,0.02,-0.01125,0.15,0.0586611456176674,0.140909090909091,0.145670995670996,0.119320214669052,0.183898935087196,0.183898935087196,0.123993111865314,0.131663938897981,0.0466666666666667,0.0466666666666667,0.0666666666666667,0.0932379248658319,0.172549019607843
"GSK3",-0.0803287769141428,-0.143058875532029,0.000905172413793103,0.005,-0.103910109498345,-0.02,-0.111962057550293,-0.102871148459384,0.0392156862745098,0.0392156862745098,0.027937490785788,0.2,0.00300831028263319,-0.0308653933181259,0.157388923234827,0.152631578947368,-0.131203007518797,-0.139812279041976,0.154428396919037,-0.152669421899119,0.154214476257236,0.131203007518797,-0.152631578947368,0.141006929087424,-0.191690933147819,0.0685679345248841,0.0039244628266105,-0.00300831028263319,-0.00300831028263319,-0.154699220731689,0.120828615263131,0.191070282644655,-0.0171420362403335,0.0846035726117146,0.00807029265516106,0.0358977274366277,0.0408523932208143,0.140909090909091,0.109933137386342,-0.01125,0.0110606395520189,0.145670995670996,0.0515775113550644,0.13921938276777,0.134924904240163,0.131162923186068,0.186097341564247,0.186097341564247,0.130713148073624,0.141055063768982,0.0723809523809524,0.0859698025551684,0.0466666666666667,0.100301037192102,0.183925288784453
"DSH",-0.0859698025551684,-0.134924904240163,0.01125,-0.02,-0.111962057550293,0,-0.102871148459384,-0.0773809523809524,0.0392156862745098,0.0333333333333333,0.0392156862745098,0.2,-0.00287404265854328,-0.029362298711583,0.152669421899119,0.2,-0.152631578947368,-0.131203007518797,0.157388923234827,-0.139812279041976,0.141006929087424,0.152631578947368,-0.2,0.131203007518797,-0.184232790073238,0.073013110685569,-0.00300831028263319,0.00287404265854328,0.00287404265854328,-0.0640170243922544,0.12678141554492,0.185634562195992,-0.027937490785788,0.0870654717910816,0.0181855295309613,0.0410072164877226,0.0461155511155511,0.15,0.102956393200296,-0.005,-0.000905172413793103,0.140909090909091,0.0525741890959282,0.145670995670996,0.13921938276777,0.123993111865314,0.188623344536015,0.188623344536015,0.131162923186068,0.135172710827806,0.0466666666666667,0.0723809523809524,0.0466666666666667,0.104926236554144,0.179345136112698
"SHH",-0.26,0.106666666666667,-0.1,0,0.0333333333333333,0,0,-0.1,-0.1,0,-0.1,0,0.2,0.0927598566308244,0.106666666666667,-0.2,0.1,0,0.0677777777777778,-0.1,0,-0.2,0.1,-0.1,0.0952380952380952,0.107222222222222,-0.146153846153846,-0.2,-0.2,-0.0974358974358975,0.0381818181818182,-0.0449808429118774,0.12,0.1,0,0.0371428571428572,0.08,-0.2,0.2,0,0.15,-0.2,0.116666666666667,-0.3,-0.266666666666667,0.0666666666666667,0.2,0.2,0.0333333333333333,0.0666666666666667,0.3,0.3,0.2,0.175,0.2
"ERK",-0.205106520466368,-0.174461000936369,-0.0862974280621339,-0.0928571428571429,-0.204360074574604,-0.0428571428571429,-0.194664783715879,-0.186635586635587,0.0874027879677183,0.106551724137931,-0.0142638786989484,0.0333333333333333,0.0492851592851593,-0.0788148950787622,0.0283669871683899,0.0533333333333333,-0.0375843454790823,-0.024297632192369,0.0323253205017232,-0.0235342734137431,0.0282575319417425,0.0417948717948718,-0.0491228070175439,0.0285081585081585,-0.0295038493263254,-0.0509693518449872,-0.0548957203412649,-0.0492851592851593,-0.0492851592851593,-0.0452710409142666,0.167023512629968,0.354481555862811,0.013985327166915,0.117137701874126,0.177827497079353,0.142666416811367,0.105767367788634,0.173333333333333,0.106775157959624,0.0898268398268398,0.0835451344841523,0.169333333333333,0.128696723790679,0.177530054644809,0.176876459873567,0.178254412299204,0.213047610081738,0.213047610081738,0.18250973144814,0.194409632470067,0.183898531375167,0.194117509477357,0.188571428571429,0.211495527357596,0.205904596665666
"IKK",-0.102816161616162,-0.224904214559387,-0.0880952380952381,0.1,-0.177344877344877,0.2,-0.185281385281385,-0.209090909090909,-0.0357142857142857,-0.05,-0.0237142857142857,-0.1,-0.117120387174834,-0.00900235704704979,0.0122106330580907,-0.05,-0.0277777777777778,-0.0508547008547009,0.0117886921298206,-0.0308547008547009,0.0308547008547009,0.0277777777777778,0.05,0.0508547008547009,-0.0130952380952381,0.0823889256118128,0.118528837879059,0.117120387174834,0.117120387174834,-0.0326190476190476,0.12828600380982,-0.213962754051392,0.00371428571428571,0.111538461538462,0.0350326797385621,0.0844033114651671,0.104918032786885,0.1,0.104621848739496,-0.0285714285714286,0.0637709137709138,0.16,0.143207520497597,0.2,0.211111111111111,0.217361111111111,0.221548872180451,0.221548872180451,0.224291804180418,0.229308565531476,0.138888888888889,0.111616161616162,0.15,0.113997113997114,0.221978021978022
"Csn",-0.122991107848444,-0.146145179222916,-0.00416666666666667,-0.025,-0.144751082251082,0.1,-0.132251082251082,-0.107575757575758,0.0233333333333333,0.0233333333333333,0.0272294372294372,0.2,-0.00456077851241333,0.00952700947122482,0.174320871318367,0.216666666666667,-0.178735632183908,-0.158253704473065,0.17919158689263,-0.164031482250842,0.165677285259091,0.178735632183908,-0.216666666666667,0.158253704473065,-0.206651813818067,0.0910168333779956,-0.00292482609411258,0.00456077851241333,0.00456077851241333,-0.0571418796936698,0.110015156078055,0.206532648325167,-0.0178544372294372,0.112992893434369,0.033170484650148,0.0707396363266089,0.0638494096315795,0.142857142857143,0.151066528306238,0,0.0129666666666667,0.131746031746032,0.0907750476037963,0.152958152958153,0.151882884140949,0.141297877846791,0.232782464846981,0.232782464846981,0.149781168335223,0.150448504983389,0.0834464043419267,0.10652332741885,0.0909090909090909,0.149255556572175,0.220986856280974
"AXIN2",-0.268131492352775,0.026686783162193,0.0739130434782609,0.1,-0.160677030413873,0.133333333333333,-0.152568922305764,-0.156140350877193,-0.0424390243902439,-0.04,-0.0302894916799635,-0.2,-0.148820490040213,0.236618365014062,-0.144368479901583,-0.153333333333333,0.123100775193798,0.124824913124833,-0.141298873330031,0.138389581894549,-0.138661391112254,-0.123100775193798,0.153333333333333,-0.124824913124833,0.502650315736813,0.188436379446166,0.142783744633389,0.148820490040213,0.148820490040213,0.229975874748186,-0.23143646943346,-0.150592029074402,0.0199446640937566,0.183858412556164,0.202755189117596,0.211254826254826,0.264320079562015,-0.1,0.0980747163075354,-0.0695652173913043,-0.0872463768115942,-0.0615384615384615,0.279062045728774,-0.0377289377289377,-0.027014652014652,0.182677708764665,0.276055763714025,0.276055763714025,0.189423740510697,0.193333437755344,0.268055555555556,0.261860865290069,0.279166666666667,0.279154803042391,0.274706544385983
"Jagged",-0.260888888888889,-0.187179487179487,-0.133333333333333,0,-0.151428571428571,0,-0.18,-0.2,0,-0.1,0.02,0,-0.0533333333333333,0.0640954819828059,0.10965034965035,0,-0.1,-0.16,0.106353646353646,-0.136923076923077,0.136923076923077,0.1,0,0.16,-0.181428571428571,0.104877192982456,0.0715151515151515,0.0533333333333333,0.0533333333333333,0.11455938697318,-0.137698841698842,0.25148315736551,-0.02,0.135757575757576,0.079,0.0678787878787879,0.158974358974359,0,0.26,0.1,0.1,0.1,0.25,0.133333333333333,0.133333333333333,0.15,0.278985507246377,0.278985507246377,0.173809523809524,0.25,0.3,0.288888888888889,0.2,0.294285714285714,0.283333333333333
"DELTA",-0.260888888888889,-0.187179487179487,-0.133333333333333,0,-0.151428571428571,0,-0.18,-0.2,0,-0.1,0.02,0,-0.0533333333333333,0.0640954819828059,0.10965034965035,0,-0.1,-0.16,0.106353646353646,-0.136923076923077,0.136923076923077,0.1,0,0.16,-0.181428571428571,0.104877192982456,0.0715151515151515,0.0533333333333333,0.0533333333333333,0.11455938697318,-0.137698841698842,0.25148315736551,-0.02,0.135757575757576,0.079,0.0678787878787879,0.158974358974359,0,0.26,0.1,0.1,0.1,0.25,0.133333333333333,0.133333333333333,0.15,0.278985507246377,0.278985507246377,0.173809523809524,0.25,0.3,0.288888888888889,0.2,0.294285714285714,0.283333333333333
"miR200",-0.215493395407675,-0.238579618418639,-0.140451127819549,-0.16,-0.157643260694108,-0.1,-0.151428571428571,-0.161773399014778,-0.0371428571428571,-0.0571428571428571,-0.0507792207792208,0.1,-0.155128205128205,0.0359881536898405,0.131595903925971,0.12,-0.13304347826087,-0.128818126148193,0.131444388774456,-0.128818126148193,0.135774647887324,0.14,-0.12,0.135774647887324,-0.176933292973627,0.0615549873633681,0.153382569217981,0.155128205128205,0.155128205128205,0.119889745238392,-0.123191820080633,0.207622099863639,0.0487384044526902,0.0625424052679543,0.0345360161311082,0.150516806521218,0.164106377163967,0.2,0.198662153449387,0.154736842105263,0.159319052347851,0.2125,0.197855662855663,0.205833333333333,0.229883966244726,0.237025799503676,0.281164874551971,0.281164874551971,0.234204482889256,0.247033898305085,0.221813725490196,0.213749209361164,0.204166666666667,0.245734807198222,0.278485162180814
"SNAI1",-0.32776793785636,-0.186044228142359,-0.142300194931774,-0.133333333333333,-0.102490842490843,-0.108333333333333,-0.105347985347985,-0.10974358974359,0.0079587324981577,0.0130434782608696,-0.00670793416850897,0.13,0.00353057113458835,0.0794859891520981,0.123134403095482,0.111481481481481,-0.111481481481481,-0.116431976530986,0.120966101598321,-0.121617161716172,0.124414928712615,0.11411306042885,-0.111481481481481,0.119478914087387,-0.159544077696322,0.114006345151595,0.000574519177398514,-0.00353057113458835,-0.00353057113458835,0.060394930564485,-0.136054789463285,0.25911197141747,0.00939851712815022,0.151071274626631,0.147729386555473,0.114066454649344,0.200575583905065,0.169047619047619,0.259276262531914,0.13859649122807,0.153411306042885,0.178725038402458,0.163790841023141,0.170083063093816,0.178083063093816,0.191073562041304,0.303395361727138,0.303395361727138,0.187752528830972,0.195053733637383,0.330850522026993,0.331396970114424,0.30812324929972,0.354771659319624,0.301243815068543
"cfos",-0.330850522026993,-0.170083063093816,-0.133333333333333,-0.133333333333333,-0.10974358974359,-0.1,-0.0897435897435898,-0.0666666666666667,0,0.12,0.0130434782608696,0.1,-0.0065359477124183,0.0811094779258459,0.116431976530986,0.15,-0.13,-0.111481481481481,0.121617161716172,-0.111481481481481,0.11411306042885,0.13,-0.15,0.111481481481481,-0.153694581280788,0.118233847501008,-0.00443966204367926,0.0065359477124183,0.0065359477124183,0.0532278138528139,-0.130158799488347,0.251213385154991,-0.0079587324981577,0.153582038876157,0.156138528138528,0.112604166666667,0.205011655011655,0.133333333333333,0.245833333333333,0.108333333333333,0.13859649122807,0.119047619047619,0.261603375527426,0.169047619047619,0.178725038402458,0.17010582010582,0.304029747492217,0.304029747492217,0.181396142686465,0.176986506746627,0.29047619047619,0.30812324929972,0.314285714285714,0.356568969051035,0.286571428571429
"CDC42",-0.330850522026993,-0.170083063093816,-0.133333333333333,-0.133333333333333,-0.10974358974359,-0.1,-0.0897435897435898,-0.0666666666666667,0,0.02,0.0130434782608696,0.1,-0.0065359477124183,0.0811094779258459,0.116431976530986,0.15,-0.13,-0.111481481481481,0.121617161716172,-0.111481481481481,0.11411306042885,0.13,-0.15,0.111481481481481,-0.153694581280788,0.118233847501008,-0.00443966204367926,0.0065359477124183,0.0065359477124183,0.0532278138528139,-0.130158799488347,0.251213385154991,-0.0079587324981577,0.153582038876157,0.156138528138528,0.112604166666667,0.205011655011655,0.133333333333333,0.245833333333333,0.108333333333333,0.13859649122807,0.119047619047619,0.261603375527426,0.169047619047619,0.178725038402458,0.17010582010582,0.304029747492217,0.304029747492217,0.181396142686465,0.176986506746627,0.29047619047619,0.30812324929972,0.414285714285714,0.356568969051035,0.286571428571429
"TrCP",-0.331396970114424,-0.178083063093816,-0.13859649122807,-0.108333333333333,-0.105347985347985,-0.133333333333333,-0.10974358974359,-0.0897435897435898,0.0130434782608696,0,0.0079587324981577,0.15,0.00443966204367926,0.0811094779258459,0.121617161716172,0.13,-0.111481481481481,-0.111481481481481,0.123134403095482,-0.116431976530986,0.119478914087387,0.111481481481481,-0.13,0.11411306042885,-0.155581373733618,0.11650374369478,-0.00353057113458835,-0.00443966204367926,-0.00443966204367926,0.0565005411255411,-0.134519701743987,0.257000003599837,0.00670793416850897,0.151551582023365,0.150703745529832,0.113831160531697,0.202249224072429,0.119047619047619,0.246823432343234,0.133333333333333,0.142300194931774,0.169047619047619,0.260410058104992,0.178725038402458,0.170083063093816,0.181396142686465,0.304994377717298,0.304994377717298,0.191073562041304,0.184339447923097,0.30812324929972,0.330850522026993,0.29047619047619,0.357948279395863,0.299686182669789
"PAK1",-0.331396970114424,-0.178083063093816,-0.13859649122807,-0.108333333333333,-0.105347985347985,-0.133333333333333,-0.10974358974359,-0.0897435897435898,0.0130434782608696,0,0.0079587324981577,0.15,0.00443966204367926,0.0811094779258459,0.121617161716172,0.13,-0.111481481481481,-0.111481481481481,0.123134403095482,-0.116431976530986,0.119478914087387,0.111481481481481,-0.13,0.11411306042885,-0.155581373733618,0.11650374369478,-0.00353057113458835,-0.00443966204367926,-0.00443966204367926,0.0565005411255411,-0.134519701743987,0.257000003599837,0.00670793416850897,0.151551582023365,0.150703745529832,0.113831160531697,0.202249224072429,0.119047619047619,0.246823432343234,0.133333333333333,0.142300194931774,0.169047619047619,0.260410058104992,0.178725038402458,0.170083063093816,0.181396142686465,0.304994377717298,0.304994377717298,0.191073562041304,0.184339447923097,0.30812324929972,0.330850522026993,0.29047619047619,0.357948279395863,0.299686182669789
"LIV1",-0.331396970114424,-0.178083063093816,-0.13859649122807,-0.108333333333333,-0.105347985347985,-0.133333333333333,-0.10974358974359,-0.0897435897435898,0.0130434782608696,0,0.0079587324981577,0.15,0.00443966204367926,0.0811094779258459,0.121617161716172,0.13,-0.111481481481481,-0.111481481481481,0.123134403095482,-0.116431976530986,0.119478914087387,0.111481481481481,-0.13,0.11411306042885,-0.155581373733618,0.11650374369478,-0.00353057113458835,-0.00443966204367926,-0.00443966204367926,0.0565005411255411,-0.134519701743987,0.257000003599837,0.00670793416850897,0.151551582023365,0.150703745529832,0.113831160531697,0.202249224072429,0.119047619047619,0.246823432343234,0.133333333333333,0.142300194931774,0.169047619047619,0.260410058104992,0.178725038402458,0.170083063093816,0.181396142686465,0.304994377717298,0.304994377717298,0.191073562041304,0.184339447923097,0.30812324929972,0.330850522026993,0.29047619047619,0.357948279395863,0.299686182669789
"EGR1",-0.331396970114424,-0.178083063093816,-0.13859649122807,-0.108333333333333,-0.105347985347985,-0.133333333333333,-0.10974358974359,-0.0897435897435898,0.0130434782608696,0,0.0079587324981577,0.15,0.00443966204367926,0.0811094779258459,0.121617161716172,0.13,-0.111481481481481,-0.111481481481481,0.123134403095482,-0.116431976530986,0.119478914087387,0.111481481481481,-0.13,0.11411306042885,-0.155581373733618,0.11650374369478,-0.00353057113458835,-0.00443966204367926,-0.00443966204367926,0.0565005411255411,-0.134519701743987,0.257000003599837,0.00670793416850897,0.151551582023365,0.150703745529832,0.113831160531697,0.202249224072429,0.119047619047619,0.246823432343234,0.133333333333333,0.142300194931774,0.169047619047619,0.260410058104992,0.178725038402458,0.170083063093816,0.181396142686465,0.304994377717298,0.304994377717298,0.191073562041304,0.184339447923097,0.30812324929972,0.330850522026993,0.29047619047619,0.357948279395863,0.299686182669789
"SMAD",-0.31639014721476,-0.308152660777827,-0.200280112044818,-0.166666666666667,-0.211127531472359,-0.2,-0.216683087027915,-0.197142857142857,0.0225806451612903,0,0.0225806451612903,0.16,-0.129221497570843,0.0602427572757392,0.135712476578148,0.152380952380952,-0.129047619047619,-0.129047619047619,0.136826964926679,-0.132320346320346,0.141234484939521,0.135714285714286,-0.145714285714286,0.137637362637363,-0.179946823845981,0.126179330291753,0.129879392307685,0.129221497570843,0.129221497570843,0.127612628251726,-0.0598591667152826,0.279103844318452,-0.00719602977667494,0.159999674362565,0.141698255891352,0.189654238234883,0.217654447748862,0.233333333333333,0.260618160307601,0.19047619047619,0.205613445378151,0.295833333333333,0.25814561916578,0.310833333333333,0.302576452599388,0.294538429606923,0.318789845550107,0.318789845550107,0.203586048654542,0.313611416987416,0.297954393024816,0.31639014721476,0.288095238095238,0.349973743086676,0.31299947662525
"ZEB2",-0.410582010582011,-0.376667722521381,-0.334722222222222,-0.311111111111111,-0.30105254308533,-0.3,-0.293948717948718,-0.284615384615385,-0.13859649122807,-0.133333333333333,-0.119241652518393,-0.05,-0.0319047619047619,-0.0252982134453682,-0.00468701095461659,-0.00454545454545455,-0.00333333333333334,-0.00333333333333334,-0.00234934861695425,0.00222222222222222,0.0067648253886786,0.00878787878787879,0.01,0.0113519813519813,0.0201188578528746,0.0252653573596617,0.0261231773223208,0.0319047619047619,0.0319047619047619,0.0477590574876168,0.0661910530679212,0.103990847274265,0.115583115933027,0.203895347548892,0.230570134565922,0.294906931277392,0.295201288244766,0.3,0.319761904761905,0.323611111111111,0.326311007268951,0.328571428571429,0.353422132001758,0.365714285714286,0.373031358885017,0.375690553577878,0.376563306560006,0.376563306560006,0.384836895041292,0.39577825400406,0.4,0.404761904761905,0.409090909090909,0.439623931623932,0.46976627898685
