"","ZEB1","GSK3","SUFU","SMO","FUS","HEY1","Csn","ILK","SMAD","NFB","IKK","AKT","TrCP","TWIST1","NOTCH","NOTCHic","Csl","Jagged","Destcompl","CDC42","TGFR","TGF","Wnt","GLI","STAT","SRC","cMet","miR200","CD44","cateninnuc","ZEB2","RAS","RAF","DELTA","cateninmemb","SOSGRB2","SNAI2","Ecadherin","KLF4","PI3K","TCFLEF","LIV1","FOXC2","Frizzled","DSH","AXIN2","PAK1","EGR1","cfos","ERK","MEK","SHH","Patched","SNAI1","RKIP"
"TrCP",-0.122879662883011,-0.174022727272727,-0.0761904761904762,-0.152534562211982,-0.142857142857143,-0.134479083987418,-0.0833333333333333,-0.138965693804403,-0.138965693804403,-0.120833333333333,-0.115570175438596,-0.130384990253411,-0.0333333333333333,0.171240542066629,0.0601465201465201,0.0579487179487179,0.041025641025641,0.0511349693251534,-0.313971373801031,-0.126890756302521,-0.142042271454036,-0.15624992172726,-0.296530214424951,-0.309700946132268,-0.24,-0.280740740740741,-0.296956956956957,-0.179504618337106,-0.30982824408567,-0.309146251748505,0.171341787209915,0.120139245153592,0.122866517880865,0.122866517880865,-0.275312293968458,0.0139026402640264,0.409914971843273,-0.153164776168576,0.186339318240958,-0.122866517880865,0.310939355196781,0.2,0.126573044693066,0.280740740740741,0.24,0.353444248226291,0.0857142857142857,-0.08,-0.0669565217391304,-0.0483124539425203,-0.0469791206091869,0.189929623940377,0.180929623940377,0.0904936733709278,0.0182884518796121
"EGR1",-0.122879662883011,-0.174022727272727,-0.0761904761904762,-0.152534562211982,-0.142857142857143,-0.134479083987418,-0.0833333333333333,-0.138965693804403,-0.138965693804403,-0.120833333333333,-0.115570175438596,-0.130384990253411,-0.0333333333333333,0.171240542066629,0.0601465201465201,0.0579487179487179,0.041025641025641,0.0511349693251534,-0.313971373801031,-0.126890756302521,-0.142042271454036,-0.15624992172726,-0.296530214424951,-0.309700946132268,-0.24,-0.280740740740741,-0.296956956956957,-0.179504618337106,-0.30982824408567,-0.309146251748505,0.171341787209915,0.120139245153592,0.122866517880865,0.122866517880865,-0.275312293968458,0.0139026402640264,0.409914971843273,-0.153164776168576,0.186339318240958,-0.122866517880865,0.310939355196781,0.2,0.126573044693066,0.280740740740741,0.24,0.353444248226291,0.0857142857142857,-0.08,-0.0669565217391304,-0.0483124539425203,-0.0469791206091869,0.189929623940377,0.180929623940377,0.0904936733709278,0.0182884518796121
"cfos",-0.114841077674007,-0.164204545454545,-0.0333333333333333,-0.142857142857143,-0.0761904761904762,-0.133008495752124,-0.0333333333333333,-0.134126984126984,-0.138965693804403,-0.0833333333333333,-0.120833333333333,-0.115570175438596,0,0.176675324675325,0.0579487179487179,0.041025641025641,0.0333333333333333,0.045,-0.308858591846144,-0.0857142857142857,-0.126890756302521,-0.142042271454036,-0.280740740740741,-0.296530214424951,-0.2,-0.24,-0.280740740740741,-0.194733044733045,-0.296956956956957,-0.310939355196781,0.190312848303163,0.122866517880865,0.126525054466231,0.126525054466231,-0.281356250012414,0.0208333333333333,0.404128353398426,-0.162230520113212,0.207650793650794,-0.126525054466231,0.30982824408567,0.1,0.112779941244791,0.24,0.2,0.335205254515599,0.0428571428571429,0.04,-0.08,-0.0669565217391304,-0.0483124539425203,0.180929623940377,0.152534562211982,0.074980546879281,-0.00657342657342657
"CDC42",-0.114841077674007,-0.164204545454545,-0.0333333333333333,-0.142857142857143,-0.0761904761904762,-0.133008495752124,-0.0333333333333333,-0.134126984126984,-0.138965693804403,-0.0833333333333333,-0.120833333333333,-0.115570175438596,0,0.176675324675325,0.0579487179487179,0.041025641025641,0.0333333333333333,0.045,-0.308858591846144,-0.0857142857142857,-0.126890756302521,-0.142042271454036,-0.280740740740741,-0.296530214424951,-0.2,-0.24,-0.280740740740741,-0.194733044733045,-0.296956956956957,-0.310939355196781,0.190312848303163,0.122866517880865,0.126525054466231,0.126525054466231,-0.281356250012414,0.0208333333333333,0.404128353398426,-0.162230520113212,0.207650793650794,-0.126525054466231,0.30982824408567,0.1,0.112779941244791,0.24,0.2,0.335205254515599,-0.0571428571428571,-0.06,-0.08,-0.0669565217391304,-0.0483124539425203,0.180929623940377,0.152534562211982,0.074980546879281,-0.00657342657342657
"CD44",0.0761904761904762,0.180357142857143,-0.1,-0.05,-0.1,-0.149122807017544,0,-0.0944444444444444,-0.0964852607709751,0,0,-0.0333333333333333,0.1,0.225128205128205,-0.123308270676692,-0.128571428571429,-0.2,-0.0325407925407925,0.116899487067554,0.0866666666666667,0.0741666666666667,0.0575,-0.15,-0.196666666666667,0.1,0,-0.05,-0.159104084321476,-0.196666666666667,-0.237596899224806,0.19047619047619,0.0704761904761905,0.0619047619047619,0.0619047619047619,-0.30974358974359,-0.14047619047619,-0.0484670884670884,-0.301576918901314,0.280952380952381,-0.0619047619047619,0.217596899224806,-0.1,-0.0675,0.1,0,0.21,-0.0666666666666667,-0.2,-0.15,-0.21,-0.25,0.108181818181818,0.09,-0.162838915470494,-0.238888888888889
"cMet",0.0650793650793651,0.172292626728111,-0.1,-0.09,-0.05,-0.151083591331269,0,-0.0964852607709751,-0.109212533498248,0,-0.0333333333333333,-0.0520833333333333,0,0.230746182656295,-0.104159334506479,-0.123308270676692,-0.128571428571429,-0.0238451403668795,0.104737324905392,0.0741666666666667,0.0575,0.0383510638297872,-0.196666666666667,-0.219393939393939,0,-0.05,-0.196666666666667,-0.160666584321476,-0.217596899224806,-0.248331362501642,0.193506493506493,0.0780233602875112,0.0704761904761905,0.0704761904761905,-0.320063874441099,-0.16047619047619,-0.0272992052554096,-0.301322465975105,0.29047619047619,-0.0704761904761905,0.237596899224806,-0.1,-0.0535759493670886,0.15,0.1,0.24015873015873,-0.0866666666666667,-0.15,-0.21,-0.25,-0.240909090909091,0.120681818181818,0.108181818181818,-0.147584678182359,-0.242592592592593
"GLI",-0.093268475849121,-0.269624119105013,0.0571428571428571,0.00911654135338346,0.0196428571428571,-0.0785790845638044,-0.05,-0.0867915886619835,-0.0867915886619835,-0.0763157894736842,-0.0742749731471536,-0.0898999731471536,-0.0166666666666667,0.187588639430745,0.104612226853606,0.101755083996463,0.0867550839964633,0.0874669440065868,-0.325624728735519,0.0255172413793103,0.00727824766861851,-0.00707469350785208,-0.159582542694497,-0.273625095885986,-0.24,-0.281935483870968,-0.301447678992919,-0.202162873246465,-0.315240782441195,-0.318069125646107,0.207821471240826,0.155606363491499,0.158576660521202,0.158576660521202,-0.281776873957603,0.228990154388384,0.420119469836162,-0.16093544236536,0.221271557271557,-0.158576660521202,0.318487535687948,0.2,0.0856785345717234,0.141935483870968,0.1,0.356958031400966,-0.06,0.0485714285714286,0.0652380952380952,0.0717316017316017,0.0778089497979001,0.0280968625266871,0.0194548872180451,0.0229732638672241,-0.0154671412665455
"SMAD",-0.0757247096136482,0.0995314585164209,0.0416666666666667,0.00416666666666667,0.00416666666666667,0.00741767437474955,0.0166666666666667,-0.0287173100871731,-0.128717310087173,-0.0166666666666667,-0.0107843137254902,-0.0241176470588235,0.05,0.140555501137976,0.115588396278051,0.117175697865353,0.111428571428571,0.0804053903086161,-0.0093005169651591,-0.022635814889336,-0.0276637478502299,-0.0324446243442538,-0.0574786324786325,-0.0625146037016541,-0.06,-0.0822222222222222,-0.0841830065359477,-0.224547526783679,-0.0889102792632204,-0.0870160477405354,0.240377323750301,0.153653359032755,0.154640201138018,0.154640201138018,-0.086951231078562,0.00339396628216504,0.215585114052516,-0.0730246718702302,0.24425536765544,-0.154640201138018,0.0882318532116601,0.06,0.0321918511709572,0.0555555555555556,0.0333333333333333,0.0906079867959613,0.00714285714285714,-0.0571428571428571,-0.06036866359447,-0.0580430821991212,-0.0599661591221981,0.0184451132862681,0.0150993883792049,-0.0355743481428965,-0.07193101835116
"TGFR",0.000784251129227603,-0.141698559049838,0.113333333333333,0.0558620689655172,0.08,0.0710480479613538,0.00833333333333333,0.0347702834799609,0.0308556927326299,-0.0202380952380952,-0.0412907268170426,-0.0436163082123914,0.0333333333333333,0.231611967839726,0.24382700735963,0.240229885057471,0.233333333333333,0.12553947621182,-0.0951044378848387,0.0834920634920635,-0.0343650793650794,-0.0442941573792638,-0.0836118598382749,-0.0907086340318233,-0.0666666666666667,-0.0866666666666667,-0.107421383647799,-0.215024669126449,-0.115316120489904,-0.120720827199911,0.251895519244079,0.154803675856307,0.157142857142857,0.157142857142857,-0.111247014143444,0.260445094217024,0.264452987125782,-0.0844497230496893,0.263001253132832,-0.157142857142857,0.120100809485119,0,0.0383863137052809,0.0628571428571429,0.0428571428571429,0.115332939724928,-0.0977777777777778,0.0904761904761905,0.106265664160401,0.108487886382623,0.11122761241002,-0.0292377751802065,-0.0433620689655172,-0.130280048457844,-0.0734632034632035
"SRC",-0.0435684336627733,-0.141645021645022,0.0333333333333333,-0.0566666666666667,-0.0166666666666667,-0.0797831843760344,0.1,-0.0532894736842105,-0.0722083926031295,0.0666666666666667,0.0282051282051282,0.0170940170940171,0.1,0.283882783882784,0.029047619047619,0.0183333333333333,-0.015,0.121581980710421,-0.187822901735945,0.0291666666666667,-0.00892857142857142,-0.0380194805194805,-0.315,-0.349426229508197,-0.1,-0.275,-0.315,-0.217227345922998,-0.349426229508197,-0.37323263535749,0.260691823899371,0.108628968028217,0.105598664997914,0.105598664997914,-0.376786409220177,0.171428571428571,0.395326250669564,-0.284445788416377,0.381007751937985,-0.105598664997914,0.36406037584966,0,0.00964985994397759,0.275,0.2,0.377961239321688,-0.0666666666666667,0.0666666666666667,0.0212121212121212,0.0434343434343434,0.0453211358871736,0.110588235294118,0.09,-0.114557903514962,-0.0560117302052786
"TGF",0.00418047754432194,-0.130696114062063,0.133333333333333,0.08,0.113333333333333,0.0814958091553836,0.0333333333333333,0.0460606060606061,0.0347702834799609,0.00833333333333333,-0.0202380952380952,-0.0412907268170426,0,0.234814814814815,0.240229885057471,0.233333333333333,0.233333333333333,0.12626411389298,-0.0898625024009677,0.0977777777777778,0.0834920634920635,-0.0343650793650794,-0.0628571428571429,-0.0836118598382749,0,-0.0666666666666667,-0.0866666666666667,-0.218250475578062,-0.107421383647799,-0.120100809485119,0.262838915470494,0.157142857142857,0.153571428571429,0.153571428571429,-0.112170801672312,0.259210526315789,0.258202987125782,-0.091604748603352,0.271929824561404,-0.153571428571429,0.115316120489904,0,0.0309627329192547,0.0428571428571429,0,0.102028218694885,-0.12,0.133333333333333,0.0904761904761905,0.106265664160401,0.108487886382623,-0.0433620689655172,-0.0558620689655172,-0.14237444373808,-0.0891774891774892
"PI3K",-0.0108623431845108,0.331685906685907,0,-0.0333333333333333,0,-0.0919046177647731,-0.0333333333333333,-0.104785914365746,-0.121585914365746,-0.0333333333333333,-0.0745098039215686,-0.0924585218702866,0,0.12047879260994,0.0685483870967742,0.075,0.075,-0.0823684210526316,0.379335446016755,0.130882352941176,0.126882352941176,0.121191296030607,0.0932367149758454,0.0886213303604608,0.1,0.0888888888888889,0.0932367149758454,-0.252747680616533,0.0886213303604608,0.0845512039698731,0.3139239171008,0.228203759710609,0.218614718614719,0.218614718614719,-0.0834284465755076,-0.00230769230769231,0.0560488661812233,-0.220373595832267,0.319956140350877,-0.218614718614719,-0.0880563586090484,-0.1,-0.110513356562137,-0.0888888888888889,-0.1,-0.134190476190476,-0.125,-0.133333333333333,-0.176190476190476,-0.205602240896359,-0.210520273683244,0.0564102564102564,0.0564102564102564,-0.241477455716586,-0.272608274078862
"ILK",-0.0108623431845108,0.331685906685907,0,-0.0333333333333333,0,-0.0919046177647731,-0.0333333333333333,-0.104785914365746,-0.121585914365746,-0.0333333333333333,-0.0745098039215686,-0.0924585218702866,0,0.12047879260994,0.0685483870967742,0.075,0.075,-0.0823684210526316,0.379335446016755,0.130882352941176,0.126882352941176,0.121191296030607,0.0932367149758454,0.0886213303604608,0.1,0.0888888888888889,0.0932367149758454,-0.252747680616533,0.0886213303604608,0.0845512039698731,0.3139239171008,0.228203759710609,0.218614718614719,0.218614718614719,-0.0834284465755076,-0.00230769230769231,0.0560488661812233,-0.220373595832267,0.319956140350877,-0.218614718614719,-0.0880563586090484,-0.1,-0.110513356562137,-0.0888888888888889,-0.1,-0.134190476190476,-0.125,-0.133333333333333,-0.176190476190476,-0.205602240896359,-0.210520273683244,0.0564102564102564,0.0564102564102564,-0.241477455716586,-0.272608274078862
"AKT",-0.0101774116776615,0.334508487331068,0,-0.0564102564102564,-0.0333333333333333,-0.10919785084748,-0.0333333333333333,-0.121585914365746,-0.125963018742851,-0.0745098039215686,-0.0924585218702866,-0.193468622880388,-0.0333333333333333,0.123842706983029,0.0697678992918962,0.0685483870967742,0.075,-0.088990937608923,0.379749010946449,0.126882352941176,0.121191296030607,0.125118788477737,0.0886213303604608,0.0880626711425837,0.0888888888888889,0.0932367149758454,0.0886213303604608,-0.257025755482843,0.0880563586090484,0.0847050501237192,0.320088300662444,0.228926651276874,0.228203759710609,0.228203759710609,-0.0845497513665372,-0.0111965811965812,0.0565513787440373,-0.221585717044389,0.315682636077373,-0.228203759710609,-0.0845512039698731,-0.1,-0.116528394156122,-0.0932367149758454,-0.0888888888888889,-0.133107443699501,-0.130882352941176,-0.176190476190476,-0.205602240896359,-0.210520273683244,-0.211786096468054,0.0690418353576248,0.0564102564102564,-0.237718057220346,-0.281925044265198
"Frizzled",-0.015223660099152,0.470538140020899,0,-0.0272727272727273,0,-0.0939225313693399,-0.133333333333333,-0.107453786523554,-0.127079954747853,-0.153333333333333,-0.190833333333333,-0.215833333333333,-0.1,0.128025210084034,0.0798319327731093,0.0857142857142857,0.0857142857142857,-0.0887202911467617,0.429697379683289,0.14,0.144347826086957,0.139585921325052,0.105263157894737,0.101691729323308,0.1,0.1,0.105263157894737,-0.26957702020202,0.101691729323308,0.0972199538581553,0.345466426126113,0.275003094708855,0.263192071086808,0.263192071086808,-0.0884463276836158,-0.00606060606060606,-0.0184463722397476,-0.257769977203494,0.346218487394958,-0.263192071086808,-0.101029477667679,-0.1,-0.125978721400998,-0.1,0,-0.149090909090909,-0.133333333333333,-0.133333333333333,-0.193333333333333,-0.222745098039216,-0.233856209150327,0.0510822510822511,0.0510822510822511,-0.273447204968944,-0.305238095238095
"cateninnuc",0.0918234875696405,0.340854915052382,0.233333333333333,0.248415300546448,0.253333333333333,-0.0336423205399719,0.0458333333333333,-0.00171284271284271,-0.0122176176105235,0.0367424242424242,0.0287424242424242,0.0201486742424242,0.0333333333333333,-0.0536297270395886,-0.270829162734957,-0.274920071825866,-0.276082862523541,-0.249428972493584,0.338428060945448,0.316791208791209,0.317940634078565,0.312482118794722,0.271462089627664,0.261975923619759,0.278787878787879,0.278787878787879,0.270092226613966,-0.257110470693721,0.260171591693331,0.142777249214731,0.350424575412892,-0.00122862622862623,-0.00611078111078111,-0.00611078111078111,0.102086068319587,0.021597155802877,-0.423681999480332,-0.162365066264194,0.349416765519968,0.00611078111078111,-0.250537536428208,-0.278787878787879,-0.288823722725362,-0.280157741801577,-0.278787878787879,-0.438924644457187,-0.313714285714286,0.0202898550724638,-0.00669427191166322,-0.0155550314053341,-0.0201421873686369,-0.23694288549347,-0.242825238434647,-0.348216629808307,-0.336060645723177
"DSH",-0.015223660099152,0.474946492689112,0,-0.0510822510822511,-0.0272727272727273,-0.113220776983375,-0.153333333333333,-0.127079954747853,-0.131985615125212,-0.190833333333333,-0.215833333333333,-0.219281609195402,-0.133333333333333,0.13228052923297,0.0819298348710113,0.0798319327731093,0.0857142857142857,-0.0964722291312579,0.431224097240541,0.144347826086957,0.139585921325052,0.14411553804979,0.101691729323308,0.101038134552066,0.1,0.105263157894737,0.101691729323308,-0.276284337275191,0.101029477667679,0.0962404347130084,0.354915245023751,0.276963879022581,0.275003094708855,0.275003094708855,-0.0916265396977501,-0.0109386548410939,-0.0178643000627977,-0.260491662892695,0.347189361181366,-0.275003094708855,-0.0972199538581553,-0.1,-0.132472227894504,-0.105263157894737,-0.1,-0.148668968162639,-0.14,-0.193333333333333,-0.222745098039216,-0.233856209150327,-0.24062312644356,0.0651926805301038,0.0510822510822511,-0.27083850931677,-0.317126207126207
"GSK3",-0.0198299008123763,0.376610386199927,-0.0272727272727273,-0.0510822510822511,-0.0510822510822511,-0.117719046879569,-0.190833333333333,-0.131985615125212,-0.137232991437056,-0.215833333333333,-0.219281609195402,-0.234666224580018,-0.153333333333333,0.132408570206081,0.08063113357231,0.0819298348710113,0.0798319327731093,-0.0960342729268783,0.432104688998202,0.139585921325052,0.14411553804979,0.141295025229278,0.101038134552066,0.097264549646406,0.105263157894737,0.101691729323308,0.101029477667679,-0.278042836689024,0.0972199538581553,0.09485885576564,0.356846894355103,0.280115139526782,0.276963879022581,0.276963879022581,-0.0934833036234795,-0.0151247013527218,-0.0169152060162058,-0.262566078434348,0.356349666524877,-0.276963879022581,-0.0962404347130084,-0.1,-0.129122945597854,-0.101691729323308,-0.105263157894737,-0.146081449136764,-0.144347826086957,-0.222745098039216,-0.233856209150327,-0.24062312644356,-0.250850399170833,0.0685419628267546,0.0651926805301038,-0.270727767345563,-0.316374327426959
"HEY1",0.164478844169247,0.393101590067477,0.2,0.35,0.3,-0.000687547746371277,0.1,0.036,0.027304347826087,0.12,0.134285714285714,0.134285714285714,0.1,-0.212030501089325,-0.333723671878854,-0.326507177033493,-0.305454545454545,-0.417561219390305,0.402433632817645,0.315636363636364,0.351636363636364,0.366758314855876,0.440538075695394,0.449158765350567,0.366666666666667,0.419607843137255,0.440538075695394,-0.267342287342287,0.448364162651916,0.438924644457187,0.357094943240454,-0.11171568627451,-0.118333333333333,-0.118333333333333,0.389528942150893,-0.0360062893081761,-0.501520295078977,0.0771213972552241,0.325925925925926,0.118333333333333,-0.44602302552817,-0.3,-0.341983150724833,-0.419607843137255,-0.366666666666667,-0.503486903827658,-0.263636363636364,0.04,0.0309090909090909,0.019144385026738,-0.00250509950934451,-0.38877688172043,-0.38125,-0.390642567405208,-0.351844980416409
"FOXC2",0.164478844169247,0.393101590067477,0.2,0.35,0.3,-0.000687547746371277,0.1,0.036,0.027304347826087,0.12,0.134285714285714,0.134285714285714,0.1,-0.212030501089325,-0.333723671878854,-0.326507177033493,-0.305454545454545,-0.417561219390305,0.402433632817645,0.315636363636364,0.351636363636364,0.366758314855876,0.440538075695394,0.449158765350567,0.366666666666667,0.419607843137255,0.440538075695394,-0.267342287342287,0.448364162651916,0.438924644457187,0.357094943240454,-0.11171568627451,-0.118333333333333,-0.118333333333333,0.389528942150893,-0.0360062893081761,-0.501520295078977,0.0771213972552241,0.325925925925926,0.118333333333333,-0.44602302552817,-0.3,-0.341983150724833,-0.419607843137255,-0.366666666666667,-0.503486903827658,-0.263636363636364,0.04,0.0309090909090909,0.019144385026738,-0.00250509950934451,-0.38877688172043,-0.38125,-0.390642567405208,-0.351844980416409
"Ecadherin",0.16258310957209,0.396633598897499,0.3,0.38125,0.35,-0.0120969437195256,0.12,0.027304347826087,0.0217353405621644,0.134285714285714,0.134285714285714,0.129090909090909,0.1,-0.201788415428245,-0.335582407938333,-0.333723671878854,-0.326507177033493,-0.41870538415003,0.401222076433675,0.351636363636364,0.366758314855876,0.373087428779926,0.449158765350567,0.447158765350567,0.419607843137255,0.440538075695394,0.448364162651916,-0.284660723096477,0.44602302552817,0.430241171067831,0.381265559354198,-0.106687753313616,-0.11171568627451,-0.11171568627451,0.376836634458586,-0.0267957629923866,-0.498690674368562,-0.0345631207584078,0.36263478668542,0.11171568627451,-0.438924644457187,-0.366666666666667,-0.34770397452346,-0.440538075695394,-0.419607843137255,-0.509466285270957,-0.315636363636364,0.0309090909090909,0.019144385026738,-0.00250509950934451,-0.0162305897054229,-0.387989480145627,-0.38877688172043,-0.397921048417866,-0.370946104011915
"cateninmemb",0.16258310957209,0.396633598897499,0.3,0.38125,0.35,-0.0120969437195256,0.12,0.027304347826087,0.0217353405621644,0.134285714285714,0.134285714285714,0.129090909090909,0.1,-0.201788415428245,-0.335582407938333,-0.333723671878854,-0.326507177033493,-0.41870538415003,0.401222076433675,0.351636363636364,0.366758314855876,0.373087428779926,0.449158765350567,0.447158765350567,0.419607843137255,0.440538075695394,0.448364162651916,-0.284660723096477,0.44602302552817,0.430241171067831,0.381265559354198,-0.106687753313616,-0.11171568627451,-0.11171568627451,0.279753487853376,-0.0267957629923866,-0.498690674368562,-0.0157233411646227,0.36263478668542,0.11171568627451,-0.438924644457187,-0.366666666666667,-0.34770397452346,-0.440538075695394,-0.419607843137255,-0.509466285270957,-0.315636363636364,0.0309090909090909,0.019144385026738,-0.00250509950934451,-0.0162305897054229,-0.387989480145627,-0.38877688172043,-0.397921048417866,-0.370946104011915
"SNAI2",0.202774910845395,0.437326965575278,0.2,0.364705882352941,0.3,0.00795660036166365,0.133333333333333,0.049027498323273,0.0437643404285361,0.158333333333333,0.175574712643678,0.18159880902922,0.1,-0.268020685163922,-0.383111187058556,-0.366228070175439,-0.332894736842105,-0.468582638912134,0.453322910572096,0.338375350140056,0.383674495439201,0.40976145196094,0.484132065117981,0.503918161374665,0.381818181818182,0.446103896103896,0.484132065117981,-0.290298341293729,0.503486903827658,0.507292372227479,0.382160058737151,-0.167170148441371,-0.172192979491599,-0.172192979491599,0.465436805612585,-0.0717038539553752,-0.173264125109838,0.274258448850094,0.341923076923077,0.172192979491599,-0.509466285270957,-0.3,-0.383540382387329,-0.446103896103896,-0.381818181818182,-0.548720984303528,-0.276470588235294,0.0666666666666667,0.0490196078431373,0.0352941176470588,0.0163751987281399,-0.427281335069239,-0.407563025210084,-0.427256916346461,-0.379205128205128
"Destcompl",0.149504427117748,0.614189284539066,0.166666666666667,0.179868637110016,0.177011494252874,-0.0740613232920925,-0.147619047619048,-0.0726984126984127,-0.0805346700083542,-0.160662525879917,-0.175977841195232,-0.185373814349595,-0.133333333333333,0.0331223632728421,-0.0923200611956384,-0.0913180571876224,-0.0858832745789267,-0.361700413189645,0.54183220358784,0.328881069669247,0.337302122300826,0.342129708507723,0.411288829470031,0.40999012817133,0.391269841269841,0.406338334420526,0.410815946360825,-0.350876383934645,0.409323409047392,0.398798516100684,0.47585847906847,0.212956397515683,0.207618877892449,0.207618877892449,0.211063771329804,-0.0183539875048148,-0.408938902119687,-0.218790401002819,0.463744932810817,-0.207618877892449,-0.404254915896707,-0.355555555555556,-0.298795558508078,-0.406338334420526,-0.391269841269841,-0.466559202185862,-0.306122448979592,-0.231794871794872,-0.259067599067599,-0.281471970652298,-0.29497408035694,-0.172967523671586,-0.17935050239499,-0.509772293940189,-0.514535153316049
"AXIN2",0.206690842262431,0.661409757671771,0.15,0.207509157509157,0.188461538461538,-0.0535918561273531,-0.166666666666667,-0.0535081665516448,-0.0666034046468829,-0.188405797101449,-0.204347826086957,-0.219903381642512,-0.133333333333333,0.0217350435606014,-0.0841221296484454,-0.0753383458646617,-0.0610526315789474,-0.399722633418286,0.699889389829014,0.326126543209877,0.356215038785098,0.372716688950114,0.449756749532211,0.462964296702022,0.373333333333333,0.422170542635659,0.449756749532211,-0.369052305085339,0.462690503475428,0.464786612475529,0.494867141091725,0.256945848955358,0.246972095674518,0.246972095674518,0.267183818035523,-0.0217150466799836,-0.458485008978456,-0.22078807628826,0.465920466047022,-0.246972095674518,-0.466559202185862,-0.3,-0.33207809364718,-0.422170542635659,-0.373333333333333,-0.0265088544139343,-0.282916666666667,-0.22,-0.266341463414634,-0.300920902666971,-0.327817454391109,-0.21938854860986,-0.216437728937729,-0.554803928938403,-0.538142404190791
