,Cycles,Nature,Edge_count
144,"miR-141,TGF-beta,SNAI1,ZEB2,miR-200a,ZEB1",P,6
145,"miR-141,TGF-beta,SNAI1,ZEB2,miR-200c,ZEB1",P,6
146,"miR-141,TGF-beta,SNAI1,ZEB2,miR-200b,ZEB1",P,6
147,"miR-141,TGF-beta,SNAI1,ZEB2,CDH1,SNAI2,miR-200b,ZEB1",P,8
148,"miR-141,TGF-beta,SNAI1,ZEB2,CDH1,SNAI2,miR-101,ZEB1",P,8
149,"miR-141,TGF-beta,SNAI1,ZEB2,CDH1,SNAI2,TWIST2,ZEB1",P,8
150,"miR-141,TGF-beta,SNAI1,ZEB2,CDH1,SNAI2,TWIST2,TWIST1,ZEB1",P,9
151,"miR-141,TGF-beta,SNAI1,ZEB2,CDH1,SNAI2,TWIST2,TWIST1,FOXC2,ZEB1",P,10
152,"miR-141,TGF-beta,SNAI1,ZEB1",P,4
153,"miR-141,TGF-beta,SNAI1,TWIST1,ZEB2,miR-200a,ZEB1",P,7
154,"miR-141,TGF-beta,SNAI1,TWIST1,ZEB2,miR-200c,ZEB1",P,7
155,"miR-141,TGF-beta,SNAI1,TWIST1,ZEB2,miR-200b,ZEB1",P,7
156,"miR-141,TGF-beta,SNAI1,TWIST1,ZEB2,CDH1,SNAI2,miR-200b,ZEB1",P,9
157,"miR-141,TGF-beta,SNAI1,TWIST1,ZEB2,CDH1,SNAI2,miR-101,ZEB1",P,9
158,"miR-141,TGF-beta,SNAI1,TWIST1,ZEB2,CDH1,SNAI2,TWIST2,ZEB1",P,9
159,"miR-141,TGF-beta,SNAI1,TWIST1,ZEB1",P,5
160,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,miR-200b,ZEB2,miR-200a,ZEB1",P,11
161,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,miR-200b,ZEB2,miR-200c,ZEB1",P,11
162,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,miR-200b,ZEB1",P,9
163,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,miR-101,ZEB2,miR-200a,ZEB1",P,11
164,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,miR-101,ZEB2,miR-200c,ZEB1",P,11
165,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,miR-101,ZEB2,miR-200b,ZEB1",P,11
166,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,miR-101,ZEB1",P,9
167,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,TWIST2,ZEB2,miR-200a,ZEB1",P,11
168,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,TWIST2,ZEB2,miR-200c,ZEB1",P,11
169,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,TWIST2,ZEB2,miR-200b,ZEB1",P,11
170,"miR-141,TGF-beta,SNAI1,TWIST1,TCF3,CDH1,SNAI2,TWIST2,ZEB1",P,9
171,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,miR-200b,ZEB2,miR-200a,ZEB1",P,9
172,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,miR-200b,ZEB2,miR-200c,ZEB1",P,9
173,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,miR-200b,ZEB1",P,7
174,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,miR-101,ZEB2,miR-200a,ZEB1",P,9
175,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,miR-101,ZEB2,miR-200c,ZEB1",P,9
176,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,miR-101,ZEB2,miR-200b,ZEB1",P,9
177,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,miR-101,ZEB1",P,7
178,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,TWIST2,ZEB2,miR-200a,ZEB1",P,9
179,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,TWIST2,ZEB2,miR-200c,ZEB1",P,9
180,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,TWIST2,ZEB2,miR-200b,ZEB1",P,9
181,"miR-141,TGF-beta,SNAI1,TWIST1,SNAI2,TWIST2,ZEB1",P,7
182,"miR-141,TGF-beta,SNAI1,TWIST1,FOXC2,ZEB1",P,6
183,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,miR-200b,ZEB2,miR-200a,ZEB1",P,10
184,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,miR-200b,ZEB2,miR-200c,ZEB1",P,10
185,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,miR-200b,ZEB1",P,8
186,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,miR-101,ZEB2,miR-200a,ZEB1",P,10
187,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,miR-101,ZEB2,miR-200c,ZEB1",P,10
188,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,miR-101,ZEB2,miR-200b,ZEB1",P,10
189,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,miR-101,ZEB1",P,8
190,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,TWIST2,ZEB2,miR-200a,ZEB1",P,10
191,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,TWIST2,ZEB2,miR-200c,ZEB1",P,10
192,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,TWIST2,ZEB2,miR-200b,ZEB1",P,10
193,"miR-141,TGF-beta,SNAI1,TWIST1,CDH1,SNAI2,TWIST2,ZEB1",P,8
194,"miR-141,TGF-beta,SNAI1,SNAI2,miR-200b,ZEB2,miR-200a,ZEB1",P,8
195,"miR-141,TGF-beta,SNAI1,SNAI2,miR-200b,ZEB2,miR-200c,ZEB1",P,8
196,"miR-141,TGF-beta,SNAI1,SNAI2,miR-200b,ZEB1",P,6
197,"miR-141,TGF-beta,SNAI1,SNAI2,miR-101,ZEB2,miR-200a,ZEB1",P,8
198,"miR-141,TGF-beta,SNAI1,SNAI2,miR-101,ZEB2,miR-200c,ZEB1",P,8
199,"miR-141,TGF-beta,SNAI1,SNAI2,miR-101,ZEB2,miR-200b,ZEB1",P,8
200,"miR-141,TGF-beta,SNAI1,SNAI2,miR-101,ZEB1",P,6
201,"miR-141,TGF-beta,SNAI1,SNAI2,TWIST2,ZEB2,miR-200a,ZEB1",P,8
202,"miR-141,TGF-beta,SNAI1,SNAI2,TWIST2,ZEB2,miR-200c,ZEB1",P,8
203,"miR-141,TGF-beta,SNAI1,SNAI2,TWIST2,ZEB2,miR-200b,ZEB1",P,8
204,"miR-141,TGF-beta,SNAI1,SNAI2,TWIST2,ZEB1",P,6
205,"miR-141,TGF-beta,SNAI1,SNAI2,TWIST2,TWIST1,ZEB2,miR-200a,ZEB1",P,9
206,"miR-141,TGF-beta,SNAI1,SNAI2,TWIST2,TWIST1,ZEB2,miR-200c,ZEB1",P,9
207,"miR-141,TGF-beta,SNAI1,SNAI2,TWIST2,TWIST1,ZEB2,miR-200b,ZEB1",P,9
208,"miR-141,TGF-beta,SNAI1,SNAI2,TWIST2,TWIST1,ZEB1",P,7
209,"miR-141,TGF-beta,SNAI1,SNAI2,TWIST2,TWIST1,FOXC2,ZEB1",P,8
210,"miR-141,TGF-beta,SNAI1,FOXC2,ZEB1",P,5
211,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,miR-200b,ZEB2,miR-200a,ZEB1",P,9
212,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,miR-200b,ZEB2,miR-200c,ZEB1",P,9
213,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,miR-200b,ZEB1",P,7
214,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,miR-101,ZEB2,miR-200a,ZEB1",P,9
215,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,miR-101,ZEB2,miR-200c,ZEB1",P,9
216,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,miR-101,ZEB2,miR-200b,ZEB1",P,9
217,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,miR-101,ZEB1",P,7
218,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,TWIST2,ZEB2,miR-200a,ZEB1",P,9
219,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,TWIST2,ZEB2,miR-200c,ZEB1",P,9
220,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,TWIST2,ZEB2,miR-200b,ZEB1",P,9
221,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,TWIST2,ZEB1",P,7
222,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,TWIST2,TWIST1,ZEB2,miR-200a,ZEB1",P,10
223,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,TWIST2,TWIST1,ZEB2,miR-200c,ZEB1",P,10
224,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,TWIST2,TWIST1,ZEB2,miR-200b,ZEB1",P,10
225,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,TWIST2,TWIST1,ZEB1",P,8
226,"miR-141,TGF-beta,SNAI1,CDH1,SNAI2,TWIST2,TWIST1,FOXC2,ZEB1",P,9
227,"miR-141,TGF-beta,GSC,ZEB2,miR-200a,ZEB1",P,6
228,"miR-141,TGF-beta,GSC,ZEB2,miR-200c,ZEB1",P,6
229,"miR-141,TGF-beta,GSC,ZEB2,miR-200b,ZEB1",P,6
230,"miR-141,TGF-beta,GSC,ZEB2,CDH1,SNAI2,miR-200b,ZEB1",P,8
231,"miR-141,TGF-beta,GSC,ZEB2,CDH1,SNAI2,miR-101,SNAI1,miR-34a,ZEB1",P,10
232,"miR-141,TGF-beta,GSC,ZEB2,CDH1,SNAI2,miR-101,SNAI1,miR-34a,TWIST2,ZEB1",P,11
